[1.17-2.19] 哈喽 大家好
[2.19-4.31] 长夜漫漫 无心睡眠
[4.31-5.81] 晚上给大家录上一期
[1406.57-1407.33] 与世隔绝了
[1407.59-1408.61] 中间居然
[1408.87-1409.65] 丁忧了一年半
[1409.89-1413.23] 一切结束后我回到美国重新申请了一个德州的会计硕士
[1413.73-1414.77] 我估计是前面那个
[1415.01-1417.83] 波士顿的学也耽误了学费比波士顿少一半
[1418.09-1422.69] 还有奖学金我就这样在德州读完了学位找到了工作组建了家庭
[1422.95-1424.75] 并经过排期拿到了绿卡
[1425.01-1429.09] 09年如今我和我的丈夫有两个可爱的儿子
[1429.61-1430.37] 太幸福了
[1430.37-1434.97] 住在休斯顿一个带泳池的大房子里自己在一家公司
[1435.23-1439.59] 当财务生活自己自足幸福顺心未来可期
[1440.09-1442.15] 熬出来了熬出来了好人有好报
[1443.43-1448.29] 这一切看起来十分圆满唯有一根刺看问题来了这么圆满的人生
[1448.55-1449.31] 有刺
[1450.33-1451.61] 有刺这个刺
[1452.65-1455.21] 根本就是无中生有的一根刺
[1455.71-1458.01] 如果他是跟比如说孩子是
[1458.27-1460.33] ADHD就是跟翟山英的孩子
[1460.63-1461.13] 一样的情况
[1461.39-1463.19] 或者他丈夫忽然就
[1463.45-1465.49] 出了什么问题这才叫真正的刺啊
[1465.75-1467.03] 这是不可承受之刺
[1467.29-1468.57] 他这个刺我给大家念念
[1468.81-1470.35] 他属于无中生有的刺
[1471.13-1476.25] 唯有一根刺让我多年欲结在心我当年在父亲患癌的情况下依然选择出国的行为
[1476.49-1479.31] 以及后来父亲去世后选择丢下母亲
[1479.57-1481.61] 回到美国读书
[1481.87-1485.45] 被周围大多数人严厉抨击特别是我家乡的
[1485.71-1488.53] 各种亲戚邻居背后提我都是极为不耻
[1488.79-1490.07] 尤其是以我的
[1490.37-1491.91] 亲属长辈们为甚
[1492.41-1495.49] 在他们口里我就是个忘恩负义白眼狼
[1496.51-1499.33] 开始我母亲是支持我的但他一个人生活
[1499.59-1503.69] 虽不缺一扫时毕竟孤独久而久之身边人
[1503.93-1505.99] 一再在他面前吹着歪风
[1506.25-1510.33] 所以我母亲经不起挑唆心态变化对我怨气日盛
[1510.85-1514.69] 觉得他自己一个人的苦日子都是我一手造成的天天羡慕
[1514.95-1518.01] 家乡那些没出息整天围在父母转的
[1518.27-1519.05] 孩子
[1519.29-1520.07] 家庭
[1520.37-1521.65] 从出国读书起
[1521.91-1526.77] 他就电话视频三天一吵五天一闹动辄破口大骂白眼狼
[1527.29-1532.15] 后来成家后把他接来美国居住真是人之意尽要是我肯定不接他过来
[1532.41-1533.43] 如果他这么搞我
[1533.93-1538.29] 他还是不依不饶各种挑三挑四见人就大闹苦水
[1538.55-1540.59] 说他多不容易我多不笑
[1540.85-1544.43] 我自己也背负这样的骂名这么多年一直怀着深深的愧疚
[1544.69-1545.21] 父母
[1545.45-1549.29] 父亲刚去世母亲闹得最厉害的那几年我甚至因此
[1549.55-1550.33] 患上了抑郁症
[1550.63-1552.41] 整天无法睡觉大把掉头发
[1552.67-1553.19] 太可怕了
[1553.45-1554.47] 幸亏你没有病倒
[1554.73-1557.03] 否则的话你就都有可能得癌症的
[1557.29-1559.07] 就这种情况因为你免疫力低下了
[1560.61-1561.89] 我今年36岁
[1563.69-1568.29] 身边的同龄人大多都是独生子女到现在还可以撒娇享受父母的
[1568.55-1571.61] 照顾和宠爱而我早早没了父亲被母亲埋怨
[1571.87-1573.15] 被负罪感折腾
[1573.41-1575.71] 折磨不到30就承担起了给父亲
[1576.23-1577.51] 给母亲养老的责任
[1577.77-1579.29] 十几年来想尽一切办法
[1579.55-1580.57] 丝毫不敢代谢
[1580.83-1585.95] 跟母亲的关系再无温暖反而如履薄冰生怕一句话说错又招来一场大骂
[1586.45-1588.25] 我知道自己永远无法摆平
[1588.51-1589.53] 母亲和他身边的人
[1589.79-1593.37] 很多时候自己身处开心的场合热闹的party
[1593.63-1597.97] 或是跟自己的爱人孩子幸福的互动总会不自觉的突然想到母亲
[1598.23-1601.81] 此时还是一个人孤独在家仿佛我根本不配再享用
[1602.07-1604.89] 任何真正的开心和幸福一想到就被压得
[1605.41-1606.17] 喘不过气来
[1606.93-1609.25] 最近听你的油管频道讲到个人的份儿
[1609.55-1612.87] 奋斗与处在底层的父母以及故乡和亲友的关系
[1613.13-1615.17] 给了我思考人生的全新维度
[1615.43-1617.49] 顿觉醍醐灌顶豁然开朗
[1617.73-1621.57] 经过一段时间的思考我决定加家乡那些三姑六婆
[1621.83-1624.91] 亲戚邻里的富平全面抛诸脑后
[1625.17-1625.93] 对咯
[1626.69-1631.05] 终于悟了以后尘归尘土归土生活再不跟他们有任何交集
[1631.57-1633.61] 至于我的母亲我尽力
[1633.87-1638.21] 能保证他的晚年生活但同时我自问无愧于心没错
[1638.47-1639.25] 你已经
[1639.55-1641.59] 99.9%的孩子做的好了
[1641.85-1643.13] 至少你比大老王做的好
[1643.39-1647.73] 如果大老王在你那样的人生命运中肯定做不到你这么好
[1647.99-1649.01] 我给你背书啊
[1649.27-1653.63] 当然我也不是个道德很高尚的人所以我给你背书可能没有什么效果
[1654.91-1656.95] 但同时我也
[1657.21-1659.77] 自问
[1660.03-1661.05] 自无愧于心
[1661.31-1663.87] 逐渐将自己积压十多年的
[1664.13-1665.91] 沉重的负罪感慢慢的放下
[1666.17-1668.47] 现在回首父亲去世后的这十几年
[1668.73-1671.55] 年轻轻失去一位至亲我自己也是受害者
[1671.79-1675.89] 不但毫无时间给自己疗伤反而背上了巨大的道德伦理枷锁
[1676.41-1679.23] 没有一天真正开心过我现在真的学会放下了
[1679.47-1683.31] 未来的日子我要好好的享受自己的幸福生活
[1683.57-1686.65] 老天成不起我派您在这时候走入我的生活
[1687.15-1690.49] 开导我的人生谢谢您大老王2023年底
[1690.75-1694.59] 您的几句话改变了我的下半生2024是我的再生元年
[1694.83-1695.35] 一切
[1695.61-1697.39] 重新开始焕发生机
[1697.39-1698.43] 真棒
[1698.73-1699.75] 太棒
[1700.01-1702.05] 今天太高兴了
[1702.31-1704.61] 我本来是想睡觉了看到你的信
[1704.87-1707.17] 我赶紧打出来下来跟你聊两句
[1708.19-1708.97] 这个女士啊
[1709.99-1711.53] 我再多说几句
[1711.79-1713.07] 你现在这个情况
[1713.83-1715.87] 你在那个环境下
[1716.65-1719.21] 你生出来的那个环境
[1719.71-1721.77] 是典型的五浊恶势
[1722.79-1725.61] 那边的人就你那个三姑六表六表舅
[1725.87-1728.17] 包括你爸爸妈妈原生家庭
[1728.73-1730.77] 都是半寿人
[1731.55-1732.05] 半寿人
[1732.83-1736.15] 他们就像另一封信那个小孩写的那个
[1737.17-1739.47] 都像互相牵着的螃蟹一样
[1739.99-1741.27] 各种缘分
[1741.53-1743.83] 各种俗世的成员把他们牵的
[1744.09-1746.39] 在那个小范围里边出不来
[1746.65-1750.49] 将来他们死了投胎转世还在那个五浊恶势里轮回
[1751.25-1754.07] 因为他们就像巴勒斯坦和以色列一样
[1754.33-1756.37] 你杀我我杀你你害我我害你
[1756.63-1757.39] 互害不止
[1757.39-1757.91] 互害不止
[1758.43-1759.71] 不是一生一世
[1760.21-1762.01] 是累生累世
[1763.29-1764.83] 他们这样是背后说你
[1765.33-1768.67] 你可千万不要以为你有多特殊你不要有偶像包袱
[1768.91-1771.23] 他们彼此之间互相说互害
[1771.47-1773.01] 比这还要损
[1774.29-1776.09] 那只不过你太出色了
[1776.85-1779.41] 所以你超过了他们所有的孩子
[1779.67-1781.97] 所以他们必须把你打下来
[1782.23-1782.99] 把你从
[1783.25-1785.55] 天上打下来坠落凡地间而且
[1785.81-1787.35] 试图让你以头着地
[1787.35-1788.37] 以脸着陆
[1788.89-1791.71] 这样才能平衡他们阴暗和自私的心理
[1792.21-1794.51] 这就是你老家那些三姑六婆
[1794.77-1798.35] 你妈妈你爸爸身边那些亲属真正的心理状态
[1798.61-1800.15] 你看破他们这一点
[1800.41-1801.95] 火眼金睛看透一点
[1802.19-1805.27] 尘归尘土归土你说的都太客气了
[1805.53-1806.55] 他们是个拿性
[1807.07-1809.37] 他们是厕所里的一群蛆
[1810.13-1810.91] 你虽然
[1811.15-1812.43] 是蛆的孩子
[1812.69-1814.75] 但是你一次你父母
[1814.99-1816.27] 就近你父亲
[1816.53-1817.31] 化蝶成蛹
[1817.61-1818.89] 再到你
[1819.15-1822.99] 飞到美国德州这都是上辈子修来的缘分
[1824.27-1826.05] 至于你父亲去世
[1826.31-1827.33] 他英年早逝
[1829.13-1831.17] 跟你一点关系没有
[1831.69-1837.31] 按照我们的这个玄学算命他就是被克死了也是你妈把他给克死了
[1837.57-1839.37] 就是整天骂你白眼狼的
[1839.63-1841.67] 整天骂白养活你的那个人
[1841.93-1843.71] 是他本人克死他老公
[1843.97-1846.03] 因为夫妻之间先死的那个人
[1846.27-1847.31] 就是被厚死的那个人
[1847.61-1849.15] 所有的算命的都知道
[1849.39-1851.71] 当然这个克不是一个贬义词
[1851.95-1852.21] 但是
[1852.47-1857.33] 像你三姑六表舅和你妈妈的那个农村的那种
[1857.59-1859.39] 那种人他一听到克
[1859.63-1860.41] 他就认为是
[1861.17-1863.99] 潘金莲给武大郎下药的那个环节就出现了
[1864.25-1865.01] 这就是克死了
[1865.27-1868.59] anyway让他们怎么理解怎么理解他那种脑子
[1869.63-1872.43] 你也没有办法跟他说清楚但是
[1872.69-1873.21] 确实
[1873.47-1877.31] 你爹你爹爹命中注定英年早逝的这种去世
[1877.61-1879.91] 是因为他福报已满
[1880.93-1882.21] 阎王叫他三经死
[1882.47-1883.75] 岂能留人道五经
[1884.77-1885.79] 福报满了
[1886.05-1886.57] 收走了
[1887.33-1888.11] 你妈妈
[1889.39-1889.89] 是
[1890.15-1891.17] 克死他的那个人
[1891.69-1892.97] 而不是你
[1893.23-1893.73] 懂吗
[1893.99-1895.01] 所以这事
[1895.27-1897.31] 如果他再跟你吵你要告诉他
[1897.57-1898.59] 我告诉你啊
[1898.85-1899.63] 有一个
[1899.87-1900.65] 大师叫
[1900.91-1901.93] 算命的非常厉害
[1902.19-1907.05] 你不信你回咱们山区老家你自己找一个大师你侧面找个同行评价一下
[1907.61-1910.43] 人家说就是你克死我爸你可千万别再说我了
[1910.67-1914.27] 不是我保着我爸我爸可能早一年半就死了
[1914.51-1915.79] 正是因为我保着我爸我爸
[1916.05-1917.07] 才多活了一年半
[1917.33-1918.35] 就是这么回事
[1919.39-1919.89] 你知道吧
[1920.15-1920.67] 所以
[1921.17-1922.45] 你妈妈失去了
[1922.71-1925.01] 丈夫以后他本身毕竟出
[1925.53-1928.59] 出身于比你还要低一个阶层的原生家庭
[1929.37-1930.91] 就是离粪坑更近一些
[1931.15-1933.21] 所以人学好很难
[1933.47-1936.03] 要识识常服侍没识染尘埃
[1936.27-1937.31] 呃深入
[1937.61-1940.93] 菩提树心如明镜台但是人要五浊恶世里边学坏那
[1941.19-1942.21] 出溜就下去了
[1942.47-1943.23] 所以你妈
[1943.49-1945.29] 失去你爸以后你又出了国
[1945.55-1948.11] 他自然就出溜进去他原来的三姑六表
[1948.35-1949.63] 六表舅那个家庭了
[1949.89-1951.69] 所以呢他被他们带坏了
[1951.95-1953.47] 所以你要原谅他
[1953.73-1955.79] 你这种原谅可不是说
[1956.03-1957.83] 他在骂你的时候你不降嘴
[1958.09-1961.41] 或者他在骂你的时候你都接着不是这种你这种原谅
[1961.67-1962.43] 是什么
[1962.69-1963.71] 是居高临下的
[1963.97-1964.49] 慈悲
[1964.99-1967.05] 是耶稣在看那些傻逼的时候
[1967.35-1968.63] 说的那句话上帝呀
[1969.39-1971.71] 父亲原谅他们吧他们这帮傻逼
[1971.95-1973.49] 低等动物都不知道自己在干什么
[1974.01-1975.79] 你要用人类看蛆虫
[1976.05-1979.89] 人类看低等动物的心态
[1980.15-1981.69] 去原谅你的母亲和他们
[1983.76-1985.82] 事实上这句话虽然难听
[1986.32-1987.60] 那些三姑六表舅
[1988.12-1988.88] 包括
[1989.14-1990.42] 你妈妈现在这种状态
[1990.68-1994.52] 他们能跟你这样的人谈话的唯一
[1995.80-1996.56] 理由
[1996.82-1998.10] 唯一原因
[1998.66-2000.46] 就是因为他们是你的亲属
[2001.98-2004.80] 如果他们不是你的亲属没有这个原因
[2005.06-2006.34] 没有这个connection
[2006.60-2007.62] 没有这个链接
[2008.90-2012.22] 你觉得他们说话你会屌他们吗
[2012.74-2014.54] 他们能影响你吗
[2015.30-2019.90] 他们就是用那种
[2020.42-2024.52] 中国的农村老娘们打架的那个最绝招给你发功发出
[2024.78-2026.06] 发出泼妇
[2026.30-2027.08] 泼妇气功波
[2027.34-2028.62] 能伤到你分毫吗
[2028.92-2029.68] 你物理
[2029.94-2030.70] 回绝
[2030.96-2031.98] 自动反击
[2032.24-2033.78] 完全防护罩打开
[2034.04-2035.58] 根本伤不了你分毫
[2035.82-2038.14] 就像你在德克萨斯的那些
[2038.38-2040.44] 朋友和那些同事们一样
[2040.70-2041.98] 看到这个中国的
[2042.22-2043.26] 老太太 农村老太太
[2043.50-2046.58] 大家都是看动物园的动物的心态 你也是这种心态
[2046.84-2048.38] 现在他们居然能伤到你
[2049.40-2050.68] 你的防护罩没了
[2051.18-2052.98] 你的防护罩本来非常健全
[2053.24-2056.82] 怎么在这个问题上 这泼妇气功就能伤到你
[2057.08-2058.62] 而且伤到你的心了
[2058.92-2060.96] 让你得了他妈的这个抑郁症了
[2061.22-2061.74] 为什么
[2061.98-2064.54] 就是因为那个陈议员你没有切断
[2065.32-2066.34] 切断
[2066.86-2067.62] 切断
[2067.88-2068.38] 切断
[2068.64-2069.92] 今天敲黑板画终点
[2070.18-2072.74] 送给你这三个词 切切切
[2073.76-2074.78] 该断则断
[2075.04-2076.06] 不断必乱
[2077.10-2079.66] 说这切断是不是就是冷血了 不是
[2080.42-2084.00] 你不切断反而对双方的伤害更深
[2084.52-2087.84] 因为当你妈骂你的时候你不可能不还嘴
[2088.10-2089.88] 你一定会还嘴
[2090.40-2092.20] 你还嘴正是因为你没切断
[2092.44-2094.24] 你还是把他当成你妈
[2095.00-2097.32] 你才能够被感染感情
[2097.56-2099.10] 你还是把他们当成
[2099.36-2101.40] 比自己高一辈的三姑六表舅
[2101.66-2102.94] 你才能被伤害
[2103.20-2106.02] 当你把他们看成是动物园的动物的时候
[2106.28-2108.32] 把他们看成是个小猫小狗的时候
[2108.58-2110.12] 你除了慈爱他们
[2110.36-2111.14] 你这时候
[2111.40-2112.42] 接电话的时候
[2112.68-2113.96] 你不会再将嘴
[2114.72-2117.02] 你会这样 对不对
[2117.02-2118.04] 所以这个时候
[2118.30-2119.84] 你自己不会受伤害
[2120.10-2122.40] 你妈妈也不会受伤害了
[2122.66-2124.44] 反而是你在跟三姑六表舅
[2124.70-2126.50] 抢白的时候我不同意
[2126.74-2128.54] 你说我是白眼狼我反对
[2128.80-2129.30] 这个时候
[2129.56-2131.36] 反而对他们伤害更深
[2131.62-2132.12] 因为什么
[2132.38-2133.40] 因为他们打到你了
[2133.92-2134.94] 然后又没打倒你
[2135.20-2136.48] 这个时候好伤心
[2136.74-2139.04] 如果他们挥拳就像打到一个空气以后
[2139.30-2141.86] 一样之后他们不会试图打第二拳
[2142.10-2143.14] 因为他们累自己
[2144.92-2146.46] 所以你的这个情况
[2147.02-2148.04] 彻底
[2148.30-2149.58] 想明白你就放下了
[2149.84-2154.96] 你现在有个崭新的人生而且你像一棵树一样已经发了芽长了种子
[2155.22-2158.28] 长成了一片新的森林这个森林在德克萨斯不在
[2158.54-2160.08] 山西那个四线小城
[2160.34-2160.84] 所以断了
[2161.10-2161.62] 就断了
[2161.86-2163.14] 你跟你妈妈的成缘
[2163.40-2165.20] 俗世缘分也没有那么深
[2165.46-2167.24] 你别不爱听没有那么深
[2167.50-2169.80] 人要认识清楚自己的缘分
[2170.58-2171.60] 什么缘分深
[2171.86-2172.88] 什么缘分浅
[2173.14-2174.16] 要认识清楚
[2174.42-2175.70] 就没有那么痛苦了
[2175.94-2176.46] 好吧
[2176.46-2178.00] 这个
[2178.26-2179.28] 什么叫缘分深
[2179.54-2182.10] 我一会儿给你再讲一个案例
[2182.60-2184.40] 你就知道什么叫成缘深
[2185.42-2186.18] 你这个
[2186.96-2189.00] 成缘不深为什么那是五浊恶世
[2189.26-2190.02] 你有
[2190.54-2191.06] 你有
[2191.56-2192.58] 机缘投胎
[2192.84-2193.62] 投生到
[2193.86-2196.18] 这个德克萨斯去德州去
[2196.68-2197.20] 去美国
[2197.46-2199.76] 你们之间深不了你们不是一种东西
[2200.02-2202.82] 你就像一滴水他们就像一锅油
[2203.08-2206.42] 你把自己滴到那锅油里你天生不舒服
[2206.72-2207.74] 啪就会被崩出来
[2208.76-2211.32] 你除非也是个臭油滴进去之后
[2211.58-2214.14] 好开心混作一团
[2214.40-2215.68] 你们去五浊恶世去打去了
[2215.94-2216.96] 但是因为你是
[2217.22-2218.24] 一滴干净的水
[2218.50-2220.28] 所以你进来就崩走了
[2220.54-2222.34] 所以你们缘分不深
[2222.58-2224.64] 成缘不深你的缘分未来在美国这边
[2226.94-2231.30] 多次听您给准备移民北美的人各种建议但似乎鲜少提及德州
[2231.54-2233.34] 我没去过德州不瞒你说
[2233.60-2236.16] 我下次会去的他在那个
[2236.72-2239.78] 马斯克在发射那个星舰第3次发射我一定会去
[2240.56-2242.86] 因为我一定要见证那个星舰
[2243.12-2244.90] 起飞那是人类的一个时间节点
[2245.42-2249.52] 网上很多言论我认为有很多偏见忍不住想用自己的经验做个补充
[2250.28-2253.62] 目前美国的确是风日下极左极右分裂严重
[2253.86-2257.46] 德州是共和党大本营很多人认为一定是极右排外的
[2257.70-2260.78] 然而事实是德州四大城市达拉斯休斯顿
[2261.04-2262.32] 奥斯汀胜安东尼奥
[2262.58-2263.86] 全部都是泛蓝城
[2264.10-2266.42] 政府大都由民主党人担任市长
[2266.72-2267.74] 而德州广大郊县
[2268.00-2271.06] 郊区人民毫无疑问都是共和党的铁票
[2271.58-2275.16] 但支持共和党不代表极右比如我所在的休斯顿
[2276.18-2278.74] 是个近年发展迅速的新兴小城
[2279.00-2281.30] 他那个小城休斯顿旁边的一个小城
[2281.56-2283.86] 西部的小城人口增长极其快速
[2284.12-2287.46] 2023年位列全美治安最好的小型城市第6名
[2287.70-2291.04] 我现在住的社区有四五千户独栋房屋
[2291.30-2294.88] 白人70%黑人5%亚裔20%到30%
[2295.38-2296.42] 学区里的工业
[2296.72-2298.00] 小小出高全
[2298.26-2299.28] 是十分满
[2299.54-2300.30] 满分学校
[2300.56-2304.14] 社区邻里友好彼此来往密切互相帮助
[2304.40-2307.22] 这是典型的美国派
[2307.46-2310.02] 八九十年代那个美国黄金时代的社区吗
[2310.28-2313.10] 这是真的是很好的我们刚来加拿大加拿大也这样
[2314.12-2315.66] 民风淳朴又彪悍
[2315.92-2319.24] 休斯顿这边最大的优势是低廉的税收和房价
[2319.50-2322.06] 州政府不征个人所得税
[2322.82-2324.36] 我也要帮去得住
[2324.62-2325.64] 房产税较高
[2325.90-2326.66] 但房
[2326.92-2329.48] 价整体只有西部大城市的三分之一这我知道
[2329.74-2330.00] 这我认
[2330.24-2333.58] 100万美金可以在郊外买到4000尺带泳池的大house
[2334.08-2334.86] 而且有湖景
[2335.12-2337.92] 哇太美了我还要去德州
[2338.18-2341.00] 而且休斯顿中国城规模很大很健全
[2341.26-2342.54] 对华人也很友好
[2342.80-2344.84] 姑娘你忘了一条
[2345.10-2347.14] 德州还让我们买各种枪呢
[2347.40-2351.50] 不像加拿大这个左逼政府小土豆上台之后把我们枪都给禁了
[2352.26-2353.28] 剥夺我们持枪权
[2353.80-2355.60] 来德州10年了工作读书
[2355.90-2357.68] 生活丝毫没有感受到任何歧视
[2358.20-2362.04] 倒是疫情以来的三五年周围邻居从加州纽约西雅图
[2362.30-2363.58] 班的越来越多
[2363.84-2367.16] 班来越来越多聊起来都是受不了那边学校的极左
[2367.42-2369.46] 高额的税收和每况愈下的治安
[2369.72-2372.80] 我身边的十来个朋友近三五年去湾区旅游的
[2373.04-2375.10] 全部啊注意是全部啊100%
[2375.36-2380.22] 在景点遭遇过抢劫我知道移民生活如人饮水冷暖自知
[2380.48-2384.82] 每个人的追求不同选择不尽相同如果你向往大城市的喧闹
[2385.08-2385.60] 请不要来
[2385.90-2388.72] 德州如果你向往安定移居的和平生活
[2388.96-2391.52] 接受保守主义的价值观德州这边是
[2391.78-2392.30] 不错的选择
[2393.32-2399.20] 错德州这边是最好的选择这个咱们高度一致虽然我从来没提德州因为我有个特点就是
[2399.46-2401.00] 我不熟悉的我没经历的我不讲
[2402.28-2406.88] 因为你外行你漏气你讲那玩意干什么呀有那么多话题你干嘛非讲自己没去过的
[2407.14-2409.44] 所以等我去过德州体会过德州
[2409.70-2413.54] 跟你一起吃过那个德州的大烤肉的时候一定要请我吃大烤肉啊
[2413.80-2415.60] 我给你带来了人生的曙光
[2415.90-2421.02] 请我吃德州大烤肉啊跟你老公一起啊还有带着你两个小宝贝
[2421.52-2423.06] Daisy
[2423.32-2424.60] 你必须答应我
[2424.86-2425.62] 然后
[2425.88-2431.52] 咱们去我带你们去德州靶场练枪去啊虽然我没去过德州但是
[2431.76-2433.82] 我相信打枪我还是在德州还是能够
[2434.08-2435.36] 能够不被他们鄙视了
[2436.64-2440.72] 我真的是考虑过搬到德州因为我老了之后也不喜欢在太冷的地方
[2440.98-2443.54] 也想搬到南方去我咨询过很多美国人
[2443.80-2445.34] 德州是个不错的选择
[2445.90-2450.76] 我唯一的问题就是德州的水质怎么样因为我这个肾有肾结石的老毛病嘛
[2451.02-2454.08] 所以我在温哥华水质很好我就不会肾结石痛风
[2454.34-2456.64] 所以如果德州的水质非常好的话
[2456.90-2458.44] 我会搬去
[2458.70-2459.46] 什么叫
[2459.98-2460.74] 沉缘
[2461.00-2461.52] 紧的
[2461.76-2464.32] 我再给你念另一个案例啊也是个女士
[2464.58-2465.86] 今天是女士专场
[2466.12-2467.66] 女士笑女专场
[2468.68-2470.98] 老王我属于无财可理的房奴
[2471.50-2475.08] 普通公司职员各种保险一步到全部到位吃喝不愁
[2475.64-2478.96] 一年30天代薪年假经常去各地游山玩水的
[2479.22-2480.76] 普通德国老百姓
[2481.02-2482.04] 这个女士呢
[2482.56-2483.32] 是德国人
[2483.58-2487.42] 她嫁给了德国人她也本身现在应该都是德国国籍
[2487.68-2488.18] 上海的
[2488.44-2488.96] 女同胞
[2489.98-2490.74] 我的困
[2491.00-2493.30] 困惑如有幸被老王翻牌
[2493.56-2496.38] 你可以念一念好我现在就
[2496.64-2497.66] 把你作为一个案例
[2498.16-2500.48] 现在很多人国内同胞都想润
[2500.72-2504.06] 但我当年毫不犹豫决定出国定居恰恰相反
[2504.32-2505.60] 是因为我觉得全球化
[2505.90-2507.18] 趋势势不可挡
[2507.44-2510.50] 通信交通便利我随时买张机票就可以回上海
[2510.76-2513.84] 所谓天涯若比邻我随时能回上海陪家人
[2514.34-2518.18] 所以我从来没有考虑过换掉中国国籍之前啊
[2518.44-2521.52] 过户之前他现在已经考虑换中国
[2521.76-2522.80] 换掉了
[2523.30-2525.10] 根本我出国不是因为政治原因
[2525.36-2526.64] 我们上海小老百姓
[2526.88-2528.16] 基本不过问政治
[2528.42-2529.96] 全家无党无派这个我
[2530.22-2533.28] 太同意你的观点了因为我身边的上海人
[2533.54-2534.56] 包括北京人
[2535.90-2536.92] 无党无派的特别多
[2537.18-2538.96] 以前夏河就无党无派
[2539.48-2540.50] 夏河就是你这种
[2540.76-2541.52] 小北京人
[2541.78-2546.14] 哎呦过这个小日子你看他现在那个小状态还保持着那种
[2546.40-2547.68] 夏公子哥的状态了
[2548.70-2552.54] 夏公子哥现在反过我操我听了听反习
[2552.80-2556.88] 我现在听了听夏河夏公子哥的节目操说的比我很多了
[2557.14-2562.00] 我心想为什么不骚扰他骚扰我呀他骂老习骂的很多了
[2562.26-2564.06] 后来我幡然悔悟
[2564.06-2568.92] 夏公子哥对老习骂归骂没有威胁
[2569.18-2571.74] 老习听不懂他的语言可能也听不进去
[2572.00-2575.84] 但是我他们从中央国家机关干了我出来然后又在资本圈混
[2576.10-2577.38] 我骂他他
[2577.88-2579.16] 他能100%吸收
[2579.42-2580.70] 我操所以我威胁了
[2581.72-2583.52] 接着念你呀不说我了我又
[2583.78-2585.06] 我又带出自己了
[2586.08-2588.64] 更不是因为认为国外能赚大钱
[2588.90-2592.22] 或是恰恰相反我发现上海现在消费者比德国高
[2592.74-2593.76] 确实是因为觉得
[2594.06-2595.08] 国外人和人的
[2595.34-2596.62] 关系很简单不攀比
[2596.88-2599.70] 穷人活得有尊严符合我的价值观
[2599.94-2601.22] 所以我才选择到了
[2601.48-2603.54] 德国但是万万没想到
[2604.04-2605.32] 如今中美脱钩
[2605.58-2607.12] 中国开历史倒车
[2607.38-2608.66] 到了一个地步甚至
[2609.16-2612.24] 国内外会再次隔绝没错
[2612.50-2615.30] 这个上海小小男男你说对了
[2615.56-2618.38] 不用任何一个地步很快就会发生
[2618.64-2620.94] 这个时间节俭就是他去打台湾你看
[2621.20-2623.24] 一切都在发生啊势不可挡
[2623.24-2625.80] 赖清德萧美琴马上就会真的当选
[2626.06-2627.84] 势不可挡这就是定数
[2628.88-2630.92] 赖清德是铁杆死台独
[2631.18-2636.30] 赖清德虽然嘴上说不用宣布台独但是事实上一切都是台湾独立
[2636.56-2638.08] 他的副总统萧美琴就是
[2638.34-2640.90] 外交专家萧美琴在美国
[2641.16-2643.98] 各方面的关系基础比他妈中国的这几个
[2644.24-2646.54] 大傻逼战狼强他妈的一万倍
[2646.80-2649.86] 所以台湾的国际地位会急转直上这反过来
[2650.38-2651.40] 会促使
[2651.66-2652.94] 大老习
[2653.24-2653.76] 动台湾
[2654.00-2656.06] 大老习动台湾是势在必得
[2656.32-2657.34] 所以呢他这一动
[2657.60-2660.40] 就触动了美国的店门西方的店门就隔绝了
[2660.66-2662.96] 就是你说的那一天就发生了
[2664.76-2665.52] 如果
[2665.78-2669.12] 当年想到今天这个情形我估计会相当痛苦的挣扎
[2669.36-2671.16] 会犹豫是否在国外安家
[2671.42-2673.98] 因为孝子刻在我们家族的基因里
[2674.48-2676.54] 我舍不下我96岁的奶奶
[2676.80-2679.86] 剥一颗大白兔奶糖放我手里叫一声喃喃
[2680.12-2681.14] 你看多么温暖
[2681.40-2682.94] 上海的市井家庭
[2683.76-2685.54] 德国又不能带父母移民
[2685.80-2687.84] 即便可以他们也不会
[2688.36-2690.16] 愿意离开他们熟悉的环境
[2690.40-2693.22] 对呀上海是中国最宜居的大城市
[2693.48-2694.24] 最宜居的
[2694.50-2695.52] 城市是杭州
[2695.78-2697.58] 最宜居的大城市就是上海
[2697.84-2698.86] 这是我个人的观点啊
[2700.64-2701.16] 所以
[2701.92-2705.00] 如果是个上海的原出家庭像你这样
[2705.26-2709.10] 奶奶96岁都是个地道上海人就是上海恩代
[2709.60-2711.66] 那上海真的是太
[2711.92-2712.94] 有魅力了
[2712.94-2714.74] 你看多少外国人在上海啊
[2714.98-2716.52] 加拿大人美国人德国人
[2716.78-2718.06] 法国人离不开上海
[2718.32-2719.86] 就是他真好上海
[2720.36-2723.44] 说句不好听的上海要是不倒车不关门
[2724.20-2728.82] 轮得着台北什么事啊哪个利利法勒都跑到台北当反贼去了
[2729.32-2735.46] 他妈的上海如果要是他们还想过去一样老雷和利利法勒能跑吗那一个一个黄热命都是
[2736.74-2737.52] 没办法
[2738.54-2742.90] 即便我父亲愿意来他也舍不得下他那个截然
[2743.20-2743.96] 一生无儿无女
[2744.22-2744.98] 70岁高龄
[2745.24-2748.32] 全天候照顾我96岁奶奶的妹妹和我的姑姑
[2749.34-2752.92] 你看上海人就这样这个观众他的这个文
