[0.59-2.35] 哈喽 大家好
[2.35-6.83] 接着今天白天没进行完的话题
[1276.79-1277.31] 学完之后
[1277.31-1279.99] 你像我们当年还可以用中文考试
[1279.99-1282.47] 因为那时候加拿大很nice
[1282.47-1284.79] 我们教练带着我们去考
[1284.79-1286.67] 那么教练跟我们偷偷说中文
[1286.67-1287.99] 直接告诉我们答案了
[1287.99-1290.19] 那个年代10年以前现在都不行
[1290.19-1291.23] 全是英文
[1291.23-1294.23] 因为中国人胡来给你这样一个好的条件
[1294.23-1295.59] 咱们中国人都是傻逼
[1295.59-1295.91] 我操
[1295.91-1297.31] 就是根本不好好学
[1297.31-1298.47] 就让教练替自己答
[1298.47-1301.99] 结果到了靶场之后经常走火
[1301.99-1304.39] 人家皇家骑警最后就说只能用英语
[1304.39-1305.83] 所以现在就完了
[1305.83-1307.47] 我们只能是好好学了
[1307.47-1309.87] 但是好好学对自己有好处
[1309.99-1311.79] 枪械在加拿大是这样的几条
[1311.79-1312.07] 第一
[1312.07-1314.99] 所有的枪械分为两大类
[1314.99-1315.99] 一类是管制类的
[1315.99-1317.47] 一类是非管制类的
[1317.47-1319.07] 非管制类的就是长枪
[1319.07-1320.07] 就是步枪
[1320.07-1320.71] 猎枪
[1320.71-1322.27] 半自动步枪和猎枪
[1322.27-1324.95] 这个是非登记类的
[1324.95-1326.99] 这种枪你只要有枪牌
[1326.99-1328.11] 你可以随便买
[1328.11-1330.99] 不需要在皇家骑警进行任何登记
[1330.99-1331.59] 你看好了
[1331.59-1333.67] 你付钱买回去就得了
[1333.67-1335.31] 民间之间互相买
[1335.31-1336.95] 比如说我有两只长枪
[1336.95-1338.31] 我有两只五六半自动
[1338.31-1338.79] 你想买
[1338.79-1339.71] 我就你给我钱
[1339.71-1340.79] 我把枪给你
[1340.79-1343.63] 咱俩不需要去做任何过户
[1343.63-1344.99] 这叫非管制类枪
[1344.99-1346.51] 还有就是管制类枪
[1346.51-1348.59] 管制类枪就是所有的手枪
[1348.59-1352.55] 和在管制名单上的一些特定的长枪种类
[1352.99-1354.31] 比如A25系列
[1354.31-1357.75] 以前后来特鲁多全办了A25系列
[1357.75-1360.35] 那就是管制类的长枪
[1360.35-1362.99] 你就必须得过户
[1362.99-1363.91] 或者购买之前
[1363.91-1365.51] 要去皇家骑警
[1365.51-1366.91] 要登记枪号
[1366.91-1368.47] 登记你的枪证号
[1368.47-1369.67] 并且要打一颗
[1369.67-1370.23] 子弹
[1370.23-1372.79] 皇家骑警要留这颗子弹的指纹
[1372.79-1376.23] 因为每一个枪堂里边的划痕都不一样
[1376.23-1378.27] 子弹从枪口里面出来之后
[1378.27-1380.71] 都有特定的划痕
[1380.71-1382.99] 所以如果你这个枪有一天是用来杀人
[1382.99-1383.87] 用来作案了
[1383.87-1384.67] 只要他打过
[1384.67-1386.27] 皇家骑警捡到弹头
[1386.27-1387.83] 就能追到这个枪
[1388.71-1390.07] 所以分这两类
[1390.07-1391.03] 这两类枪
[1391.03-1392.23] 所有的这两类枪
[1392.23-1395.43] 在加拿大都是严禁你带出家门
[1395.43-1398.35] 除非你带出家门有明确的目的
[1398.35-1399.63] 一打猎
[1399.67-1400.99] 二打靶
[1400.99-1401.79] 除了打猎
[1401.79-1402.43] 打靶
[1402.43-1403.83] 或者修枪
[1403.83-1405.47] 没有任何理由
[1405.47-1408.11] 你可以把这枪放到后备箱到处走
[1408.11-1409.71] 这是违法的
[1409.71-1411.27] 这是加拿大跟美国不一样的
[1411.27-1412.79] 美国很多州别说带了
[1412.79-1414.03] 都可以带到身上
[1414.03-1416.67] 放到手套箱里
[1416.67-1417.35] 车座底下
[1417.35-1419.43] 在美国有些州都是可以的
[1419.43-1422.39] 但在加拿大绝对不可以
[1422.39-1423.39] 在加拿大
[1423.39-1425.03] 如果你把枪带到靶场
[1425.03-1426.67] 或者带到猎区
[1426.67-1428.19] 或者带到交易
[1428.19-1429.43] 或者维修的地点
[1429.43-1429.51] 或者等等的地方
[1429.51-1429.63] 或者带到交易或者维修的地点
[1429.67-1429.71] 或者带到交易或者维修的地点
[1429.71-1431.39] 从枪垫带回来的过程中
[1431.39-1434.51] 你这把枪放在汽车的后座上可以
[1434.51-1435.95] 放到后备箱里可以
[1435.95-1438.47] 必须用毯子等遮盖物
[1438.47-1439.63] 或者枪盒等遮盖物
[1439.63-1440.71] 把它遮起来
[1440.71-1443.11] 不能露出枪体本身
[1443.11-1444.71] 如果你露出枪体本身
[1444.71-1446.15] 你就是犯罪行为
[1446.15-1447.83] 皇家骑警可以马上抓你
[1447.83-1449.87] 因为任何看到这个枪的人
[1449.87-1451.71] 都可以说你在吓唬我
[1451.71-1452.51] 你想杀我
[1452.51-1453.39] 你吓唬我了
[1453.39-1456.59] 所以这个是一个很重的刑罚
[1456.59-1457.83] 所以射击到枪
[1457.83-1459.51] 一定要小心
[1459.51-1461.27] 一定要谨慎
[1461.27-1465.19] 而且你在家里边存储枪支的时候
[1465.19-1469.23] 你这支枪必须要设扳机锁
[1469.23-1472.23] 而且枪和子弹在家里边
[1472.23-1475.39] 必须分在两个不同的房间
[1475.39-1477.83] 不能你像我子弹放在车库
[1477.83-1479.11] 枪就放在地下室
[1479.11-1480.87] 绝对是两个物理不同的地点
[1480.87-1481.79] 为什么呢
[1481.79-1483.19] 怕你跟你老婆吵架的时候
[1483.19-1484.23] 脑子一肉逼了你
[1484.23-1485.63] 我把你绷了
[1485.63-1487.03] 为什么这样呢
[1487.03-1489.35] 你绷他先打开枪锁
[1489.35-1491.51] 把你老婆绷之前
[1491.51-1493.23] 你先把手枪枪锁打开
[1493.23-1495.43] 然后跑在地下室去翻子弹
[1495.43-1497.39] 上上子弹再跑回来
[1497.39-1498.91] 杀你老婆这个过程中
[1498.91-1500.79] 或者你老婆杀你这个过程中
[1500.79-1502.79] 你就冷静了
[1502.79-1504.07] 算了
[1504.07-1505.39] 我不杀你了
[1505.39-1507.55] 这个可能是立法的用意
[1507.83-1509.83] 总之就是这么规定了
[1509.83-1511.99] 你的枪和子弹不能放在同一个房间
[1511.99-1515.51] 而且枪是必须上扳机锁的
[1517.11-1518.55] 第三个比较重要的点
[1519.35-1523.59] 你跟任何人在任何场合
[1523.59-1526.15] 秀这支枪的时候是可以的
[1526.15-1528.15] 但是枪口不能冲人
[1528.15-1529.27] 包括不能冲自己
[1529.27-1530.31] 我看看
[1530.31-1532.91] 我检查一下枪管是不是里面有子弹
[1532.91-1534.31] 绝对不可以
[1534.31-1535.47] 如果这样的照片
[1535.47-1536.39] 或者你对着别人
[1536.39-1538.47] 你们两个假装打仗游戏对着别人
[1538.47-1540.55] 这个照片一旦被皇家骑警发现
[1540.55-1541.99] 立刻吊销你枪照
[1543.07-1543.83] 第四
[1543.83-1546.15] 在你考枪牌的过程中
[1546.15-1547.99] 不是说你文化及格了
[1547.99-1549.19] 知识及格了
[1549.19-1550.27] 就会发给你枪牌
[1550.27-1551.19] 考完之后
[1551.19-1553.99] 皇家骑警会给你不认识的人打电话
[1553.99-1555.03] 你都不知道是谁
[1555.59-1556.71] 给你的什么人打电话
[1556.71-1557.15] 我告诉你
[1557.15-1559.43] 按你的地址给你周围邻居打电话
[1560.35-1561.55] 如果你离了婚
[1561.55-1564.59] 会给你的前妻或前夫打电话
[1565.07-1566.87] 这就是加拿大对枪支管理
[1566.87-1567.59] 为什么
[1567.59-1570.11] 因为你可能跟他们产生矛盾
[1570.11-1572.11] 当你跟你的邻居产生矛盾
[1572.11-1574.67] 或者你跟你前夫前妻打起来的时候
[1574.67-1575.91] 你可能使用枪
[1575.91-1577.35] 所以他要给他们打电话
[1577.35-1578.19] 问他们什么
[1578.19-1578.71] 哎
[1578.71-1581.15] 这个人老王有没有暴力倾向
[1581.51-1583.31] 你见过没见过他跟别人吵架
[1583.75-1585.47] 他是不是一个很爱激动的人
[1585.47-1587.47] 这些人里边只要有一个人
[1587.47-1588.95] 这是背对背打电话
[1588.95-1590.07] 你根本不知道的
[1590.07-1591.35] 只要有一个人说
[1591.35-1593.23] 我觉得这个人吸毒
[1593.23-1594.39] 或者喝酒
[1594.39-1595.51] 或者酗酒
[1595.51-1596.79] 或者经常跟人吵架
[1596.79-1597.15] 完了
[1597.15-1598.27] 你拿不到这个枪牌
[1598.27-1600.39] 你无论考满分都拿不到的
[1600.99-1603.43] 所以枪牌在加拿大还有一个
[1603.43-1606.23] 别称叫超级好人证
[1606.23-1608.19] 就是有枪牌的加拿大公民
[1608.19-1609.43] 一定没有犯罪记录
[1609.43-1611.71] 甚至都没有跟别人吵架的记录
[1612.47-1614.87] 这就是枪牌在加拿大的管理
[1614.87-1616.67] 和枪支管理非常之严
[1618.03-1619.31] 靶场的知识什么的
[1619.31-1620.55] 我今天就不跟你说了
[1620.55-1621.87] 就是因为你要学枪
[1622.67-1624.19] 我建议你学了枪之后
[1624.35-1625.07] 长枪
[1625.07-1629.95] 你只要买苏系的和中系的
[1629.95-1631.35] 不要买美系的
[1631.35-1633.87] 因为在加拿大人的眼里
[1633.87-1635.43] 在皇家骑警的眼里
[1635.67-1636.87] 在自由党的眼里
[1636.87-1638.03] 只有美国的黑警
[1638.03-1638.87] 黑枪
[1638.99-1642.47] 就是A2系列M16 M14系列枪
[1642.59-1645.31] 黑色的枪才是有威胁的
[1645.31-1647.35] 他认为苏式的枪是没有威胁的
[1647.35-1648.39] 所以大家看到过
[1648.39-1649.55] 我有个81杠的
[1649.55-1650.23] 单用轻机枪
[1650.23-1651.55] 那个都是合法的
[1651.75-1652.91] 都是飞管之类的
[1652.91-1654.75] 就是你说客观的说
[1654.75-1655.63] 它的威力
[1656.43-1658.59] 7.62×39的子弹威力
[1658.59-1660.87] 比他们M16的小子弹
[1660.87-1662.91] 5.58的小子弹要强得多了
[1662.91-1664.51] 对错了
[1664.51-1666.35] 在加拿大人的脑海里
[1666.35-1667.63] 这个枪是可以的
[1668.03-1669.39] 没有危害的
[1669.39-1670.83] 但是那个枪不可以
[1670.83-1672.91] 所有的枪都被办了
[1672.91-1673.51] 特鲁多上来
[1673.51-1673.99] 第一件事
[1673.99-1676.35] 就把所有A2系列的步枪
[1676.35-1678.03] 半自动步枪全部禁止
[1678.03-1680.07] 让你主动上交到皇家骑警
[1680.07-1682.51] 但是皇家骑警的上脚对策下脚政策
[1682.51-1683.71] 阳奉阴违
[1683.71-1687.03] 皇家骑警不催你去还
[1687.03-1688.31] 或者上脚这个枪
[1688.31-1689.07] 因为他们觉得
[1689.07-1691.23] 大概保守党的总理上来之后
[1691.23-1692.47] 这个政策又要改
[1693.19-1696.11] 所以这就是咱们加拿大
[1696.11-1697.59] 对于枪制的管理
[1698.03-1700.91] 你要是买苏式枪和中式枪
[1700.91-1701.79] 还有一个好处
[1701.79-1702.63] 就是子弹便宜
[1702.63-1704.51] 因为他们有大量的军剩弹
[1704.51-1706.47] 就是军用剩余的子弹
[1706.47-1709.91] 你像我经常打的五六班自动步枪
[1709.91-1712.79] 1440发的一箱子子弹的话
[1712.79-1713.87] 在温哥华特价的时候
[1713.87-1715.19] 不到400加币
[1715.19-1716.11] 300多加币
[1716.11-1719.31] 一箱子弹1440发
[1719.31-1720.39] 且够你打
[1720.55-1721.83] 一次我一点不夸张
[1721.83-1722.99] 一次打200发
[1722.99-1723.79] 你都挺累的
[1723.79-1725.03] 你手都哆嗦
[1725.03-1726.95] 一次打200发子弹
[1726.95-1728.43] 不是那么很容易的事
[1728.43-1729.43] 打完200发之后
[1729.43-1732.23] 你那个枪管烫的都不能用手摸
[1733.39-1736.71] 所以你看1440发子弹400块钱
[1736.71-1738.07] 你一次200发
[1738.07-1739.83] 几乎够你打七八次
[1739.83-1740.75] 打八次
[1743.47-1743.99] 足够了
[1744.19-1744.55] 对不对
[1744.55-1746.15] 然后手枪也是
[1746.15-1748.91] 手枪我最喜欢的是1911
[1749.67-1751.71] 力大势沉
[1751.71-1754.31] 而且全钢制造非常稳
[1754.31-1755.59] 如果你是老炮的话
[1755.59-1756.83] 你就知道1911给你的
[1756.83-1757.91] 可靠度远远超过
[1757.91-1760.35] Glog那种所谓的那种
[1760.35-1761.39] Fashion的那种
[1761.39-1761.75] 哎呀
[1761.75-1763.87] 那种特别高科技的枪
[1764.03-1765.79] 你比如说我还买意大利
[1765.79-1767.63] 造的M92
[1768.11-1769.23] 就是贝雷塔
[1769.51-1772.35] 周润发英雄本色里边
[1772.35-1773.71] 打打打横着打的那种
[1773.71-1775.23] 扯击不淡
[1775.23-1776.35] 那破枪我擦
[1776.35-1777.27] 我拆了一次
[1777.27-1778.59] 我再也不想打这枪了
[1778.59-1778.91] 为什么
[1778.91-1780.35] 因为你打完之后要拆
[1780.35-1782.51] 要用枪油洗
[1782.55-1784.99] 你像我就用WD40直接洗了
[1785.27-1786.31] 效果很好
[1786.31-1788.59] 比他们的专业的枪油便宜多了
[1788.59-1789.47] 而且效果很好
[1789.47-1790.35] 绝对不上锈
[1791.35-1793.63] 但是你个意大利枪拆完之后
[1793.63-1795.51] 你装回去之后总会多一个零件
[1795.51-1796.19] 你知道吧
[1796.19-1798.39] 或者装回去之后
[1799.67-1801.07] 或者装回去之后
[1801.07-1803.11] 他下次打他的卡壳
[1803.11-1804.63] 哪儿不顺
[1804.63-1805.75] 因为你装错了
[1805.75-1806.99] 什么东西装反了
[1806.99-1810.03] 但是1911这种枪绝对不会装错
[1810.03-1811.03] 就那么几件
[1811.03-1814.51] 包括Glog这种人体工学设计特别好
[1814.51-1815.23] 拆枪
[1816.31-1817.43] 都很简单
[1818.39-1819.35] 你要玩枪的话
[1819.35-1820.87] 那就是非常好玩
[1820.87-1822.87] 我建议你多去靶场
[1822.87-1823.87] 带着孩子们去
[1823.87-1825.19] 我见的本地系人
[1825.19-1826.39] 包括我们家小孩
[1826.39-1828.71] 开始摸枪学习组装枪
[1828.71-1830.19] 是8-9岁以后
[1830.19-1831.55] 因为他手上有点劲
[1831.55-1832.59] 手没有劲的话
[1832.59-1833.99] 他是弄不了的
[1833.99-1835.03] 小孩的话
[1835.03-1837.63] 开始是用.22开始
[1837.83-1840.43] 就是小口径的半自动步枪.2
[1840.43-1841.75] 鲁格.22
[1841.75-1843.95] R U G E R
[1843.95-1846.23] 鲁格.2是半自动
[1846.31-1848.35] 这边最popular的之一
[1848.35-1852.51] 他们从枪入手
[1852.51-1854.31] 这个枪又准威力又小
[1854.31-1855.23] 又轻
[1855.23-1856.35] 适合孩子玩
[1856.35-1857.67] 他也不害怕
[1857.67-1858.59] 手枪也是
[1858.59-1861.35] 给孩子们玩的手枪都是.22小口径的
[1861.35-1863.51] 后座力小
[1863.51-1865.47] 然后等他到15岁以后
[1865.47-1868.15] 你再让他去碰青春器以后
[1868.15-1870.59] 你再让他去碰成人版的武器
[1870.59-1872.59] 比如说A2系列
[1872.59-1874.79] 或者SKS系列
[1874.79-1876.19] 或者手枪
[1876.31-1877.39] 9毫米系列
[1877.39-1879.55] 或者.45口径系列的
[1879.55-1881.71] 这个就是15岁以后再碰
[1881.71-1883.11] 因为15岁以下
[1883.11-1884.19] 他手上没有劲
[1884.19-1886.27] 也容易出危险
[1886.27-1887.51] 所以
[1887.51-1890.75] 就是民风尚武
[1890.75-1891.91] 所有的孩子
[1891.91-1893.19] 无论男孩女孩
[1893.19-1894.35] 必须学会用枪
[1894.35-1895.43] 为什么
[1895.43-1898.23] 不怕一万只怕万一
[1898.23-1901.63] 如果你从小就在靶场里长大
[1901.63-1904.03] 你对于枪械没有紧张
[1904.03-1905.15] 我就这么跟你讲
[1905.15-1905.87] 就是
[1906.31-1908.15] 你经常摸枪的人
[1908.15-1909.47] 你第一次摸到枪
[1909.47-1911.19] 以后摸到枪的时候
[1911.19-1912.47] 你一点都不会紧张
[1912.47-1913.19] 枪对于你来说
[1913.19-1914.67] 就像方向盘对你一样
[1914.67-1916.27] 从来没有摸过枪的人
[1916.27-1917.55] 第一次摸枪手是抖的
[1917.55-1918.91] 无论男女都是这样
[1918.91-1921.23] 无论你有没有过军训
[1921.23-1922.99] 你手上拿到枪
[1922.99-1924.67] 你总是有心理负担
[1924.67-1926.43] 因为你会把死亡
[1926.43-1927.15] 战争
[1927.15-1927.95] 杀戮血腥
[1927.95-1929.91] 跟这手里边这块铁联系起来
[1929.91-1931.27] 你就不是自己了
[1931.27-1932.59] 你就佛家讲
[1932.59-1934.95] 你就有我了
[1934.95-1936.15] 所以你一定要把枪拿出来
[1936.15-1937.55] 你要把我忘掉
[1937.55-1938.91] 做到物我两忘之后
[1938.91-1940.39] 你才能够游刃有余
[1940.39-1942.23] 这个有什么意义
[1943.27-1943.83] 大家都知道
[1943.83-1944.67] 西方就是美国
[1944.67-1946.07] 它枪击案非常多的
[1946.07-1948.03] 你搞不好加拿大将来也是这样
[1948.03-1950.31] 如果你对枪一点都不紧张的时候
[1950.31-1952.59] 你在枪击案发生在你身边的时候
[1952.59-1954.75] 你逃脱逃生的可能性非常之大
[1954.75-1955.99] 因为你腿不软
[1955.99-1957.31] 你甚至能听得出来
[1957.31-1959.91] 歹徒的枪里边还有几发子弹
[1959.91-1961.35] 你能准确的判断
[1961.35-1962.47] 你是应该跑
[1962.47-1963.11] 还是应该躲
[1963.11-1964.55] 还是现在有机会
[1964.55-1966.11] 只能跟他面对面去
[1966.15-1967.99] 抢他那只手枪了
[1967.99-1969.47] 如果他使用的是半自动手枪
[1969.47-1969.95] 打你的话
[1969.95-1971.27] 他只有机会
[1971.27-1973.07] 面对面打出第一枪
[1973.07-1974.63] 你只要跟他离得足够近
[1974.63-1975.63] 他打出这第一枪
[1975.63-1976.59] 你抓住他的套筒
[1976.59-1978.19] 他没有办法打第二枪
[1978.19-1979.79] 因为他套筒后座
[1979.79-1982.07] 只要被你手攥住
[1982.07-1985.91] 手枪是没有办法上膛的了
[1985.91-1989.19] 所以你所有的这些基本功
[1989.19-1990.87] 这些当时逃生的时候
[1990.87-1991.91] 这些本能激发出来
[1991.91-1993.75] 都是建立在你对枪械
[1993.75-1995.47] 充分不紧张的基础上
[1995.47-1996.11] 你他妈听了
[1996.11-1998.03] 那个东西都浑身筛咔了
[1998.03-1999.31] 腿都这么软了
[1999.31-2000.15] 尿都出来了
[2000.15-2001.87] 那你这个一定走行
[2001.87-2002.95] 动作一定走行
[2002.95-2005.19] 当时你就像个死猪一样
[2005.19-2006.55] 就任人宰割了
[2006.55-2007.59] 所以孩子们
[2007.59-2010.95] 尤其是像孩子们想去美国上大学
[2010.95-2012.59] 他们去美国上大学之前
[2012.59-2015.67] 必须完成枪械的基本功
[2015.67-2016.79] 不但会打
[2016.79-2018.43] 还要会装
[2018.43-2019.55] 了解枪
[2019.55-2021.95] 你才是一个成合格的美国人
[2021.95-2023.43] 否则的话不要去美国
[2023.43-2024.47] 美国太危险了
[2024.47-2025.75] 动不动就枪击案
[2025.75-2026.07] 所以
[2026.07-2028.27] 这就是实用价值
[2028.27-2030.59] 民风尚武也有好处
[2032.67-2033.51] 你的权利
[2033.51-2034.15] 你的选票
[2034.15-2035.39] 实际上你急了
[2035.39-2036.91] 你是可以维护的
[2036.91-2039.67] 所以我们使用枪支
[2039.67-2040.91] 你问我就问对了
[2040.91-2044.03] 学习枪支法律
[2044.03-2044.75] 我讲完了
[2044.75-2047.31] 小孩年龄我也讲完了
[2047.91-2050.87] 上次我们终于切入正题
[2050.87-2054.11] 上次茂伟提了一些怪律乱神的一些想法
[2054.11-2055.91] 找不到合适的人讨论
[2055.91-2056.75] 向您请教
[2056.75-2057.11] 不敢
[2057.11-2058.51] 咱们俩都是同龄人
[2058.51-2059.59] 咱们就探讨
[2059.59-2060.71] 互相探讨
[2060.71-2061.91] 过去十多年来
[2061.91-2063.55] 我一直在帮助朱令一家
[2063.55-2065.19] 也一直困惑这家人的命运
[2065.19-2066.63] 为何如此凄惨
[2066.63-2068.23] 真是命数如此
[2068.23-2070.11] 前几周朱令病危
[2070.11-2072.95] 且大概率成为永久职务人
[2072.95-2074.71] 家属本来已经准备放弃
[2074.71-2077.31] 我也在协调安排葬礼
[2077.31-2078.43] 但是峰回路转
[2078.43-2080.03] 一个清华校友找到我
[2080.03-2081.03] 并推荐了
[2081.03-2082.83] 又用传统中医的毒参汤
[2082.83-2084.19] 把朱令救了回来
[2084.19-2085.71] 但是我这十几年来第一次
[2085.71-2086.15] 困惑
[2086.15-2087.95] 不知道这样做是对是错
[2087.95-2089.39] 也许让朱令的灵魂
[2089.39-2090.59] 一直羁绊在人间
[2090.59-2091.79] 对他和家人来说
[2091.79-2093.59] 并不是一件幸事
[2093.59-2095.43] 这件事最近一直埋在内心
[2095.43-2096.67] 没人可以讨论
[2096.67-2098.27] 非常想听一下您的看法
[2098.27-2099.39] 我的电话365
[2099.39-2100.31] 大大大大大
[2100.31-2102.39] 大老王有时间请随时电话
[2102.39-2104.03] 铁粉张某某
[2105.51-2106.91] 张总你说的这个话
[2107.03-2108.11] 我还是深有感触
[2108.11-2110.51] 其实朱令后来那种状态
[2110.79-2112.19] 这就大家多余救他
[2112.19-2112.99] 真的是这样
[2113.35-2114.71] 你这他太痛苦了
[2114.71-2115.67] 真的是
[2116.15-2117.99] 命数如此
[2118.15-2119.83] 为什么我也是肉眼三胎
[2119.83-2121.19] 我也看不到
[2121.19-2123.19] 究竟是前因还是后果
[2123.51-2126.27] 还是哪一个环节出了问题
[2126.27-2127.23] 我并不知道
[2127.23-2128.59] 但是我所知道
[2128.99-2130.43] 我们总是用毒参汤
[2130.43-2133.31] 把他又拉回来了
[2133.31-2135.23] 他其实真的是挺痛苦的
[2135.35-2137.47] 我估计贝志诚也累了
[2137.47-2139.07] 所以贝志诚
[2139.07-2140.11] 我看方舟子说
[2140.11-2142.27] 贝志诚不参加他葬礼
[2142.79-2143.63] 一毛不扒大师
[2143.63-2144.55] 不参加葬礼
[2144.75-2145.67] 都可以理解
[2145.71-2146.67] 大家都累了
[2146.67-2147.55] 10多年了
[2149.19-2149.95] 这就是人间
[2151.27-2154.35] 我们因为我们那一代是天资骄子
[2154.35-2156.19] 大学还没有那么恶心
[2156.19-2157.75] 所以出政一件事
[2157.75-2160.91] 觉得道德沦丧
[2160.91-2162.19] 究竟是道德的沦丧
[2162.19-2164.67] 还是人性的荒唐
[2164.67-2165.95] 就是接触不了
[2165.95-2167.59] 因为你回头想想
[2167.59-2168.71] 咱们的年代
[2168.71-2169.55] 就是大学生
[2169.67-2170.59] 第一他少
[2170.71-2172.39] 尤其是清华北大211
[2172.51-2173.83] 简直是少的不得了
[2174.07-2175.15] 而且国家都暴露了
[2175.15-2176.55] 国家都包分配
[2176.59-2177.59] 即使不包分配
[2177.59-2180.03] 你找工作也是七八家单位抢着你
[2181.03-2184.67] 想去外企还是想去央企都有可能
[2184.71-2188.59] 所以大家的心态都特别好
[2188.63-2190.31] 在大学里边变态不多
[2190.63-2191.95] 因为你不卷
[2192.11-2193.87] 你在大学内部你不卷了
[2193.99-2195.15] 就是放羊了
[2195.27-2196.07] 到了大学以后
[2196.07-2197.79] 大家反而可以轻松的玩
[2197.79-2200.11] 高考难受期一过去
[2200.11-2201.43] 我们那个年代90年代初
[2201.43-2203.07] 那真的是大学非常自由
[2203.11-2204.43] 说什么话都可以
[2205.15-2206.19] 你骂毛泽东也行
[2206.19-2209.43] 那个时候比现在是要解放的多
[2209.47-2212.59] 所以诸令这种投毒案就很少见
[2212.95-2215.63] 你像我们北理工每年只自杀一个人
[2215.63-2217.59] 每年平时只有一个人自杀
[2217.59-2219.47] 有的时候一年都没有一个人自杀
[2219.51-2220.51] 不像现在
[2220.75-2222.43] 现在自杀率之高
[2222.79-2223.99] 学生之变态
[2226.39-2229.35] 投毒可能这已经是家常便饭了
[2229.35-2233.63] 所以我们就那个时代的大学生
[2233.67-2234.59] 觉得未来
[2234.59-2235.55] 就相当于一个赌徒
[2235.55-2237.15] 你在赌场里边赢了好多钱
[2237.15-2238.63] 你心态当然好了
[2238.67-2240.79] 给小费的时候也给的很顺畅
[2240.79-2243.43] 所以遇到了诸令这种事
[2243.47-2245.51] 一压压在心头压几十年
[2245.55-2248.11] 其实人生是非常苦的
[2248.15-2249.79] 你从玄学的角度上看
[2249.79-2252.19] 我们这一代人特别的幸运
[2252.19-2253.43] 我们真的是中国
[2253.43-2254.91] 如果有几千年历史的话
[2254.91-2256.43] 我们这样一代人
[2256.43-2258.19] 这种幸运程度的中国人
[2258.23-2261.27] 应该是屈指可数凤毛麟角的几代人
[2261.47-2263.71] 大部分你看铁板神术那些命书
[2263.71-2264.55] 倪匡老师
[2264.55-2264.95] 也说过
[2264.95-2267.63] 你看大部分都是苦的
[2267.63-2270.71] 10个里边有8条都是苦
[2271.87-2274.31] 所以我们在这样的一个
[2274.35-2276.23] 我们经历的盛世底下
[2276.23-2277.47] 遇到了诸令这样的事
[2277.47-2279.07] 我们就压在心头
[2279.23-2280.91] 解脱不了
[2281.27-2283.99] 放在历史的长河中
[2283.99-2286.71] 可能那个事简直太常见了
[2286.75-2288.23] 吃人的都有
[2288.55-2289.67] 那是真吃人
[2289.71-2292.07] 那不是说吃人就是会是假的
[2292.07-2294.51] 那真的是把人当成各种菜肴吃
[2294.55-2297.15] 那你想被吃的那些人难道不是人吗
[2297.15-2300.39] 所以放下吧
[2300.39-2301.95] 你不放下还能怎样
[2301.99-2303.83] 你能推动到什么程度
[2303.87-2305.35] 你看这五浊乱世
[2305.35-2307.39] 而真正有好人想推动推动的
[2307.39-2308.75] 你看推得动吗
[2308.79-2309.35] 推不动
[2309.55-2310.71] 孙岳奇又来了
[2310.71-2312.15] 孙福灵又来了
[2312.15-2313.59] 江泽民又来了
[2314.19-2316.07] 好不容易他们下去了
[2317.55-2318.67] 方舟子又来了
[2318.67-2320.83] 所以这个真的是没办法
[2321.95-2323.87] 老汪你好
[2323.87-2326.23] 几天前还是他写的
[2326.23-2327.91] 这个也是玄学部分
[2328.95-2331.47] 几天前看了您的视频
[2331.47-2332.35] 深感意外
[2332.51-2335.15] YouTube第一次见您这样咖位的主播
[2335.15-2337.27] 几天内看了您大量的视频
[2337.27-2339.75] 我介绍一下自己
[2339.75-2340.47] 与您同岁
[2340.47-2341.67] 92级清华本科
[2341.67-2342.75] 02年创业
[2342.79-2344.67] 20多年公司起起落落
[2344.67-2346.23] 好时到两三百人
[2346.23-2348.63] 最后一蜡陪到只剩底裤
[2348.63-2350.67] 亲身目睹了中国的各种黑暗
[2350.79-2353.43] 最后干脆退休
[2353.43-2355.95] 用两年时间安置了身边的老员工
[2355.95-2357.63] 在疫情发生时
[2357.63-2358.55] 经过考察
[2358.55-2360.55] 选择加拿大作为安置地
[2360.55-2363.07] 2021带孩子们来这边上中学
[2363.07-2363.87] 家长陪读
[2363.87-2365.11] 以游客身份入境
[2365.11-2366.27] 目前申请P2
[2367.63-2371.11] 您对各种方面的看法
[2371.11-2372.51] 我非常有同感
[2372.55-2373.95] 您对加拿大的描述
[2373.95-2376.51] 以及对国内企业主难以割舍的分析
[2376.51-2377.83] 我都深感同受
[2377.99-2379.23] 另外惊喜的发现
[2379.23-2381.47] 您的玄学兴趣跟我很多重合
[2381.51-2383.39] 我对清明梦催眠术
[2383.39-2384.51] 佛学气功
[2384.51-2386.15] 古文明等都有所涉猎
[2386.15-2386.51] 没错
[2386.51-2388.71] 催眠术简直太有意思了
[2388.71-2390.83] 后来我跟王林之所以有交集
[2390.83-2392.51] 就是王林后来的徒弟
[2392.51-2393.91] 就是王林出事之后
[2393.91-2396.59] 他徒弟就是我的一个铁粉
[2396.59-2397.91] 我在推特时代的铁粉
[2397.91-2398.67] 那个小子
[2398.67-2400.99] 那小伙子就是深圳的一个催眠师
[2402.11-2402.79] 加拿大
[2402.79-2404.55] 我们温哥华有催眠大师
[2404.55-2405.19] 一个老外
[2405.19-2405.55] 我操
