[0.00-2.40] 哈喽 大家好 老汪又来了
[2.80-5.28] 今天白天跟我儿子钓鱼
[1236.39-1237.71] 也就是最后一个阶段
[1237.71-1238.59] 收尾阶段了
[1238.59-1240.75] 老宅怎么会要你们的钱呢
[1240.75-1241.47] 我不要钱
[1241.47-1243.51] 所有的东西都免费给你们用
[1244.07-1246.11] 然后就在大屏幕上留一个二维码
[1246.47-1247.75] 我今天讲的这个东西
[1247.75-1248.79] 如果感兴趣
[1248.79-1249.75] 可以和我们的工作人员
[1249.79-1250.63] 聊一聊
[1250.63-1252.47] 最后老宅说一段结束语
[1252.47-1254.63] 整场演讲就结束
[1257.63-1258.87] 这哥们真是有心人
[1262.18-1265.14] 把宅商用总结的也太活灵活现
[1265.14-1266.30] 画面感极强
[1266.58-1267.58] 这你们也信
[1267.58-1268.54] 这你们还真买
[1268.54-1272.84] 我是不是从罐子里爬出来
[1272.84-1274.48] 蹭老宅的粉是个错误
[1274.96-1277.76] 我高度怀疑你们的集体智商
[1277.76-1278.92] 是不是到了80
[1278.92-1279.64] 我靠
[1281.28-1281.92] 行吧
[1282.20-1283.52] 当我行差既得了
[1284.40-1286.64] 你的炫富技巧真是高超
[1286.64-1288.44] 让人感觉无比舒适和自在
[1289.04-1290.44] 说我今天钓鱼炫富
[1291.08-1292.60] 老王就是个真子
[1292.60-1293.80] 温哥华卧虎藏龙
[1293.80-1294.76] 比我有钱的人
[1294.76-1295.64] 我知道的
[1295.64-1297.92] 有的是真的是有的是
[1298.20-1300.44] 就光我女儿的学校里边
[1300.44-1303.44] 家长里边至少有20%比我有钱
[1304.20-1306.80] 你想想我这点钱算了什么
[1307.00-1308.04] 真的不算什么
[1309.12-1312.60] 老宅就在比钱这个问题上
[1312.60-1313.52] 压制我
[1313.52-1314.24] 他是肯定不行的
[1314.24-1316.68] 你要是郭总统在那18楼
[1316.68-1317.72] 还要把我压住了
[1317.72-1319.28] 我说那18楼那房子太好了
[1319.28-1322.72] 你还跟我比房子比船比农场
[1322.72-1323.24] 老宅
[1323.24-1327.08] 你的太监们把船开走了
[1327.08-1328.48] 你比不了了
[1328.48-1329.76] 我都怀疑你
[1330.04-1331.68] 我都怀疑你不说了
[1331.68-1333.04] 给你留点面子
[1333.04-1334.52] 咱们还要蹭你6个月
[1334.52-1336.00] 50跟你玩50年
[1338.02-1339.94] 老王为什么敢炫富
[1339.98-1341.78] 为什么敢这么真诚的炫富
[1342.06-1344.90] 为什么敢这样真诚的调戏宅山英
[1344.90-1345.74] 因为我的钱
[1345.74-1346.66] 是好来的
[1346.66-1347.98] 我没有债主
[1347.98-1350.14] 我在中国经商做生意
[1350.14-1352.58] 从来是别人偷我的钱
[1352.58-1353.66] 欠我的钱
[1353.70-1354.50] 抢我的钱
[1354.50-1356.42] 我从来不抢别人钱
[1356.42-1357.58] 骗别人钱
[1357.70-1359.02] 欠别人的钱
[1360.06-1360.66] 为什么
[1360.66-1361.86] 因为我不面对散户
[1362.46-1363.98] 我面对的都是大机构
[1364.06-1364.66] 建盈国际
[1365.34-1366.26] 他说建盈国际
[1366.42-1367.14] 你不骗他们钱
[1367.38-1368.78] 你敢骗建盈国际的钱吗
[1368.78-1369.14] 大哥
[1369.14-1370.26] 建盈国际是什么
[1370.26-1371.54] 你骗他的钱
[1371.54-1372.62] 他给你4个亿
[1372.62-1373.46] 你不还他
[1373.46-1375.14] 你试试你进不进去
[1377.30-1378.42] 填昨天一个小坑
[1378.42-1379.46] 我忘了说了
[1379.62-1380.62] 不是王林的事
[1380.62-1381.10] 不是王林
[1381.10-1383.82] 邓小平为什么变不出来戏法
[1384.06-1385.14] 这个都不用填
[1385.14-1386.06] 你们自己脑补吗
[1386.06-1387.02] 宅山英在我面前
[1387.02-1389.18] 能讲上市公司重组案例
[1389.18-1390.30] 他讲得出来吗
[1390.30-1391.10] 这不就得了吗
[1391.10-1392.74] 因为基因压制
[1392.74-1393.86] 血脉压制
[1394.50-1395.66] 黑山老妖坐在这
[1395.66-1396.82] 他一个小兔子精
[1396.94-1398.22] 他变不出戏法来
[1398.54-1399.78] 王林坐在那
[1399.78-1400.86] 邓小平坐在那
[1400.86-1402.02] 他变什么戏法
[1402.06-1403.34] 邓小平后边有什么东西
[1403.50-1404.82] 上面连着什么东西的
[1404.86-1406.18] 邓小平自己可能都不知道
[1406.18-1406.70] 但是
[1407.30-1408.50] 有的那个玩意
[1408.58-1409.34] 我跟你讲
[1409.34-1410.62] 中国这东西是
[1410.66-1411.66] 说老王行吧
[1411.66-1412.46] 我封建迷信
[1412.46-1412.98] 但是我告诉你
[1412.98-1414.22] 他真的就变不出来
[1415.26-1417.06] 中南海不是一个一般的地方
[1417.94-1419.54] 我填我自己那个坑
[1419.54-1421.22] 建一国际那个项目
[1421.22-1423.46] 就建一号那个项目的年化收益率
[1423.46-1424.18] 实际收益率
[1424.18-1426.34] 最后结账的时候是46%
[1427.10-1428.54] 46%
[1428.58-1431.02] 给老百姓的理财产品是5.8%
[1431.02-1432.62] 你想王国亚挣了多少钱
[1433.14-1435.34] 他怎么可能追我呢
[1435.74-1437.26] 他乐还来不及呢
[1437.30-1439.38] 所以老王的钱都是这么挣来的
[1439.38-1440.58] 王永宏就不用说了
[1440.58-1441.74] 王永宏后来又泡妞
[1441.74-1443.34] 又泡成小电视明星
[1443.34-1444.54] 又买私人飞机的
[1444.54-1445.74] 不全是这么来的吗
[1445.74-1447.02] 王永宏能恨我吗
[1447.38-1449.46] 所以我宣布
[1450.14-1451.46] 我没什么可担心的
[1451.46-1453.06] 习近平朋友知道我也不怕
[1453.82-1455.30] 你过来我请他们吃饺子
[1455.54-1457.58] 据说习近平朋友喜欢包饺子
[1457.62-1462.38] 据说齐心老太太喜欢吃炖鸡
[1462.38-1463.86] 我们家农场有走地鸡
[1463.86-1465.10] 老太太我给你炖鸡
[1465.26-1467.26] 你儿子除了当皇帝
[1467.26-1467.94] 当的不好
[1467.94-1470.26] 做人应该做朋友都是好人
[1471.98-1473.06] 今天说点有用的
[1473.06-1474.06] 就是润血
[1475.30-1476.18] 打朋友问
[1476.22-1477.06] 第二部分
[1479.30-1480.22] 第一个朋友说
[1480.22-1481.22] 这集讲的太好了
[1481.22-1482.90] 就说我上次睡不着觉
[1483.10-1484.14] 在壁炉前面
[1484.14-1485.82] 跟大家讲的一个润血专长
[1486.26-1488.10] 这一集讲的太好了
[1488.10-1489.14] 我刚到中年
[1489.14-1491.10] 在国内事业做的还不错的情况下
[1491.10-1492.46] 毅然决然放弃一切
[1492.46-1494.30] 带着老婆孩子来到加拿大
[1494.38-1495.22] 父母反对
[1495.22-1496.02] 认为我不孝
[1496.02-1496.94] 没人能够理解
[1496.94-1497.22] 我想
[1497.26-1497.66] 要什么
[1497.66-1499.70] 你讲的内容引起我深深的共鸣
[1499.70-1501.14] 我真的想大哭一场
[1502.30-1504.06] 你这个情况我能理解
[1504.54-1508.34] 因为你可能在家受你父母的中式
[1508.34-1510.14] 传统父母文化的毒害
[1511.26-1511.94] 太深了
[1511.94-1513.94] 你已经入心入魂入脑了
[1514.22-1516.74] 也就是说你被无形中的底层代码
[1516.74-1517.54] 催眠了
[1518.54-1519.70] 我们作为中国人
[1519.70-1521.46] 世界观成长的过程中
[1521.74-1524.14] 我们都会接触24校
[1524.14-1525.74] 这种绝对的糟粕
[1525.74-1529.02] 24校就是让你没有人格
[1529.38-1531.90] 让你认同君君臣臣父父子子
[1532.50-1535.98] 翟山英修的自然产就是一种糟粕
[1535.98-1539.02] 他老嘴口就说君君臣臣父父子子
[1539.02-1541.34] 君君臣臣父父子子就是人生糟粕
[1541.34-1543.34] 这样的人是不可能反共的
[1544.22-1545.98] 他只是一个在野共
[1546.42-1547.22] 他成了以后
[1547.22-1550.06] 他比共产党有过之而无不及
[1550.78-1552.26] 中国的文明进化
[1552.30-1555.02] 必须是普世价值观深入人心
[1555.02-1557.98] 破除掉24校和君君臣臣父父子子
[1557.98-1559.10] 才有希望
[1559.74-1560.94] 所有的灵魂
[1560.98-1562.38] 包括你的儿子跟你
[1562.38-1564.50] 包括你跟你的爸爸都是平等的
[1565.10-1566.82] 不是谁不孝
[1567.06-1569.02] 而且你给孩子养大的过程中
[1569.06-1570.02] 孩子多可爱
[1570.26-1572.78] 那比一个派他一个小狗
[1572.82-1573.86] 小猫可爱多了
[1573.86-1574.90] 给你带来多少乐趣
[1575.50-1576.50] 你还整天说
[1576.70-1577.50] 我给你养大了
[1577.50-1578.26] 我多不容易
[1578.26-1579.46] 不要说这些话
[1579.46-1581.42] 中国的这套不孝的理论
[1581.42-1582.54] 是绝对错误的
[1583.02-1583.94] 还有什么
[1583.94-1584.90] 叶洛归根
[1584.90-1586.78] 这理论是绝对错误的
[1586.78-1591.14] 只有辅业才会归根成为肥料
[1591.14-1592.86] 我们是种子
[1592.86-1594.34] 我们落在哪里
[1594.34-1596.34] 哪里就是下一片森林
[1597.26-1598.02] 你必须有一个
[1598.82-1599.46] 《易经》里边
[1599.46-1600.62] 《前卦》里边的
[1600.62-1602.58] 君子自强不息的概念
[1603.18-1604.14] 既然我们都是爷们
[1604.14-1605.02] 我们都是男人
[1605.02-1607.18] 我们选择带领家族走出来
[1607.54-1609.66] 我们就要君子自强不息
[1609.66-1610.66] 一飞冲天
[1611.22-1611.94] 扎根在这儿
[1611.94-1613.98] 让我们子女彻底融入到这片
[1613.98-1614.86] 伟大的土地
[1614.90-1617.42] 这片给了我们安全
[1617.42-1617.82] 自由
[1617.82-1619.94] 和没有恐惧的土地上
[1620.02-1622.34] 保护我们私有财产的土地上
[1622.94-1623.82] 建设它
[1623.82-1624.50] 爱它
[1624.50-1626.94] 并且把我们的爱传播下去
[1627.02-1628.22] 这才是正统
[1628.26-1629.78] 所以你不要哭了
[1630.02-1631.30] 悲伤的人才哭
[1631.30-1632.98] 你的选择太对了
[1633.22-1635.78] 放下父权和孩子和平相处很难
[1635.78-1638.50] 但必须做影响移民后半生的家庭状态
[1638.50-1639.46] 和个人心理健康
[1639.46-1640.34] 多谢老王
[1640.46-1641.30] 是的
[1642.50-1644.78] 移民到加拿大和美国的家庭
[1644.78-1646.18] 离婚率50%
[1647.22-1647.70] 为什么
[1648.22-1650.30] 因为这种价值观的冲击
[1650.30-1651.22] 不单是对孩子
[1651.22-1653.06] 对成年人同样巨大
[1653.58-1656.18] 你原来认为理所应当的东西
[1656.22-1658.18] 原来都不是理所应当的
[1658.34-1661.66] 这个时候你的三观会产生一段时间的混乱
[1662.02-1664.78] 而你在国内熟悉的那种生活模式
[1664.82-1666.22] 熟悉那个环境
[1666.22-1668.22] 一旦缺失之后
[1668.30-1670.98] 你在这边有强烈的不安全感
[1671.14-1672.98] 然后夫妻两个就会吵架
[1673.22-1674.10] 如果合拍
[1674.10-1675.50] 会再次恋爱
[1676.18-1677.50] 如果不合拍
[1677.50-1678.70] 就一拍两散了
[1679.82-1681.82] 所以不光是对孩子
[1681.82-1682.82] 对你的另一半
[1682.82-1685.34] 一定要充满耐心
[1685.70-1686.54] 充满爱
[1688.57-1689.57] 说得很棒
[1689.57-1691.41] 不要把在国内特殊环境下
[1691.41-1693.09] 偶然的成功经验奉为经书
[1693.09-1694.65] 让孩子做自己说的对
[1694.65-1696.13] 因为我都知道
[1696.13-1697.85] 我的人生是不能复制的
[1698.17-1700.09] 我身边温哥华有很多大老板
[1700.13-1701.33] 就比我有钱
[1702.17-1703.49] 整天压他们的孩子
[1703.49-1705.41] 想让他们孩子去美国上长春藤
[1705.41-1705.65] 爬桶
[1705.65-1707.49] 动不动就是你爸爸当年
[1707.61-1709.61] 你妈妈当年多牛逼的
[1709.85-1711.73] 我说你们快给我醒醒
[1712.45-1714.77] 你们是他妈的站在风口上的猪
[1714.77-1716.53] 你们是在一个上升的电梯里
[1716.53-1717.61] 你就是做俯卧撑
[1717.61-1718.89] 都上了10楼了
[1719.17-1720.41] 因为你们的年龄
[1720.41-1722.45] 正好赶上中国最好的时代
[1722.97-1724.53] 你们的孩子到了这边
[1725.49-1727.69] 这边早已经阶级固化了
[1728.29-1729.29] 你们在想
[1729.45-1730.53] 让你们的孩子完成
[1730.53-1733.33] 你们对你们父母之间的那种
[1733.45-1735.29] 阶级跳跃和财富跳跃
[1735.29-1738.45] 比如说你比你爸爸有钱1万倍
[1738.45-1740.85] 你说你孩子有钱一倍都不可能
[1740.85-1742.77] 他能不把你的钱赔光了
[1742.77-1744.09] 你就应该谢天谢地
[1744.09-1745.65] 他能健健康康乐乐呵呵的
[1745.65-1746.89] 多给你生点孙子
[1746.89-1748.05] 你就谢天谢地
[1748.21-1749.53] 你想那么多干嘛
[1749.77-1751.77] 都不知道自己的成功是因为什么的
[1751.77-1754.23] 你知道吧
[1754.39-1755.99] 王老师说的直击心灵
[1755.99-1757.03] 来加拿大5年
[1757.03-1759.19] 我就一直在压抑给孩子留作业的冲动
[1759.19-1760.75] 认真请教您一个问题
[1760.75-1763.59] 我最近看了好多老外抨击现行教育的视频
[1763.59-1765.27] 他们都把孩子转到了私校
[1765.27-1766.55] 让我本来平静的心
[1766.55-1766.99] 又开始交接了
[1766.99-1767.55] 焦虑
[1767.55-1769.75] 您觉得要不要从小镇搬到大城市
[1769.75-1770.87] 从公校转入私校
[1770.87-1771.75] 非常感谢
[1771.87-1774.55] 不方便您就视频里提一句也行
[1774.55-1775.83] 我每期必看
[1775.95-1777.99] 老王您觉得上私校有必要吗
[1777.99-1778.63] 有区别吗
[1778.63-1780.15] 这是两个人问的同一个问题
[1780.15-1781.23] 我一起回答
[1782.07-1784.07] 我的孩子就有在私校的
[1784.07-1784.79] 有在公校的
[1784.79-1785.83] 为什么有这样的区别
[1785.83-1786.39] 我告诉你们
[1786.91-1788.23] 如果你是在美国的话
[1788.35-1789.31] 你不用什么问了
[1789.43-1791.31] 你就最好是找一个好学区的公校
[1791.31-1792.67] 或者是上私校去
[1792.79-1794.95] 因为美国太乱了
[1794.95-1796.19] 尤其是有些
[1796.43-1796.75] 呃
[1796.75-1796.91] 严
[1796.91-1796.95] 呃
[1796.95-1796.99] 呃
[1796.99-1798.83] 颜色比较深的地区城市
[1798.83-1800.43] 那公校是确实是
[1800.71-1801.07] 呃
[1801.07-1802.03] 一团乱麻
[1802.15-1803.95] 但是如果在加拿大的话呢
[1803.95-1805.35] 公校非常好
[1805.51-1808.23] 公校跟私校没有什么太大的区别
[1808.51-1810.67] 那么公校和私校的具体的细节区别
[1810.67-1811.31] 在哪呢
[1811.51-1813.35] 如果你的孩子
[1814.19-1817.35] 是一个很很容易受周围孩子影响的
[1817.43-1820.79] 没有坚定的人格的这样的一个孩子
[1821.07-1823.47] 那你就给他送到最好的私校去
[1823.55-1824.67] 只要他能考上
[1824.75-1826.91] 因为这些最好的私校都是选
[1826.91-1827.79] 过的孩子
[1827.83-1829.43] 他没有太坏的
[1829.79-1831.71] 他没有那种吸毒的搞
[1831.71-1834.67] 下一个大party的那个就相对来说少多了
[1834.71-1837.79] 所以你的孩子进去之后学坏的可能性不大
[1837.83-1839.99] 他在他的人格塑造形成期呢
[1840.03-1842.11] 会比较安定
[1842.47-1845.31] 但是如果你的孩子非常强的自我
[1845.47-1846.91] 而且IQ非常高
[1846.91-1848.19] 不建议你去私校
[1848.23-1849.91] 因为私校的老师的水平
[1849.91-1851.63] 其实跟公校相比
[1851.67-1852.79] 并没有优势
[1853.43-1856.87] 他的优势在于孩子的优势和家长的优势
[1857.19-1859.51] 而不在于师资的优势
[1860.71-1864.67] 加拿大私校老师的收入和公校老师相比并没有优势的
[1865.03-1867.43] 所以好的老师很多都在公校里
[1867.63-1869.07] 但是公校老师呢
[1869.15-1872.71] 并不像私校老师那样一对一的盯着你的孩子
[1872.75-1874.19] 你的孩子爱学不学
[1874.19-1875.39] 人家刚刚和他讲完
[1875.39-1876.63] 你来咨询自己
[1876.63-1877.75] 人家会热情解答
[1877.79-1879.31] 但你不咨询自己
[1879.31-1880.35] 你不问自己问题
[1880.35-1881.27] 那随你的便
[1881.35-1881.87] 自由嘛
[1881.87-1882.95] 这个国家很自由嘛
[1882.99-1883.87] 你不想学好
[1883.87-1884.51] 谁管着你
[1884.51-1885.43] 谁拿鞭子抽你啊
[1885.43-1885.87] 没有
[1885.87-1887.15] 公校老师不会抽你
[1887.15-1888.63] 但私校老师会抽你的
[1888.91-1893.11] 所以你的孩子如果没有一个强大的自我控制能力
[1893.15-1894.47] 所以你就给他送到私校去
[1894.47-1895.11] 老王说到这儿
[1895.11-1898.55] 你就知道我们家哪个孩子在私校了
[1899.35-1901.23] 他没有强大的自信心
[1901.27-1904.23] 他很容易受别人的影响
[1904.39-1906.35] 而他很容易失去自信
[1906.35-1907.95] 所以我就给他送到私校去了
[1907.99-1911.15] 他在私校就改头换面
[1911.27-1912.55] 找回了自己的自信
[1912.55-1913.87] 变得非常阳光
[1914.91-1915.83] 而我们家的
[1916.07-1918.71] 老二非常的自信
[1919.15-1920.75] 而且他IQ非常的高
[1920.75-1922.23] 你这个时候你给他送到私校
[1922.23-1924.11] 他会觉得那是一群傻逼
[1924.15-1926.51] 他就会像你们老王的粉丝
[1926.55-1928.23] 坐在老宅的粉丝群里边
[1928.23-1930.35] 听老宅在台上烹客一样
[1930.39-1932.75] 他最后的结果就是他自己在那玩手机
[1932.75-1933.59] 玩游戏去了
[1933.59-1934.27] 他不想听
[1934.27-1936.03] 因为太傻逼了
[1936.31-1940.87] 这就是私校对于IQ超出常人的孩子的感觉
[1940.91-1943.31] 因为私校都是那种圆桌授课
[1943.35-1944.87] 非常的老师很care
[1944.87-1946.63] 每一个人的均等机会
[1946.67-1949.47] 而公校反而有尖子选拔的机制
[1949.51-1951.19] 如果你是尖子生的话
[1951.19-1952.31] 你再好公校的话
[1952.31-1957.63] IB或者AP类的老牌的名公校的话
[1957.67-1960.99] 他很快这孩子真的能考到哈佛去
[1961.15-1962.43] 但是在私校的话
[1963.31-1965.55] 这样的孩子反而发挥不好
[1966.31-1968.07] 私校老师会觉得他不合群
[1970.40-1972.92] 所以就是因材实教
[1972.96-1973.72] 还是那句话
[1973.72-1975.04] 另外私校很贵
[1975.08-1976.36] 如果是顶级私校的话
[1976.36-1976.56] 很贵
[1976.60-1979.76] 给家里的条件要求的比较大
[1979.76-1982.56] 每个月差不多要3000加币的学费
[1982.56-1983.48] 每个月
[1983.52-1986.04] 所以还有这才是学费
[1986.08-1990.65] 还有其他的旅游费赞助
[1990.89-1992.93] 所以这是一笔不小的开支
[1993.69-1996.49] 到底有没有必要要量力而行
[1996.49-1997.53] 更要三思而行
[1997.53-1999.21] 如果你的孩子还不错
[1999.25-2000.69] 性格非常开朗
[2000.69-2002.49] 跟父母交流非常好
[2002.61-2003.85] 也知道学好
[2003.97-2005.05] 也能控制自己
[2005.05-2006.97] 那就完全没有必要去私校
[2006.97-2007.89] 作为加拿大人
[2007.89-2008.25] 因为加拿大人
[2008.25-2009.65] 加拿大的功效太好了
[2009.65-2010.45] 非常好
[2013.62-2015.46] 我身边的中国人出来以后
[2015.46-2016.94] 超过50%适应不了
[2016.94-2018.38] 就是我刚才说的那个问题
[2018.58-2019.58] 中国人的问题
[2019.58-2020.70] 第一急诊
[2020.70-2023.26] 他总结第一急诊
[2023.30-2024.22] 跑去急诊
[2024.22-2024.98] 医生在哪里
[2024.98-2025.46] 我手断了
[2025.46-2026.54] 怎么医生还不来
[2026.58-2028.34] 三天收到快递各种骂
[2028.34-2029.54] 妈的还是中国好
[2029.58-2030.74] 早上买下午到
[2030.74-2032.14] 晚上没有夜生活
[2032.18-2035.22] 房子外边天黑后漆黑一遍
[2035.26-2036.54] 怎么没有撸串的地方
[2036.54-2038.18] 怎么没有逛商场的地方
[2039.58-2040.66] 浮躁社会
[2040.90-2042.14] 一切都是浮躁的
[2042.18-2043.90] 我每次回国的时候
[2044.06-2046.46] 我的那些旧部
[2047.22-2049.18] 朋友们请我吃饭
[2049.70-2051.30] 我都让他们少点菜
[2051.94-2053.74] 如果咱们只有七八个人
[2053.90-2055.46] 咱们点六七个菜
[2055.66-2057.46] 咱们多聊聊天
[2057.46-2058.26] 多喝茶
[2058.26-2058.90] 他们不行
[2058.90-2060.94] 他们每次都要把那大圆桌摆满
[2060.94-2062.22] 七八个人
[2062.46-2063.90] 那个菜吃完了
[2063.90-2065.26] 能剩四分之三
[2066.78-2068.38] 有的还不愿意打包
[2068.98-2070.42] 就是为了表示
[2070.42-2071.98] 我对王总的景仰
[2072.14-2072.98] 您来了
[2073.02-2073.94] 您回来了
[2074.06-2075.10] 我要请你吃饭
[2075.10-2077.06] 我一定要把钱花到了
[2077.10-2078.86] 我心里想就是韦小宝
[2078.86-2079.98] 那句台词
[2080.02-2080.98] 折现吧
[2081.58-2084.62] 你不如请我吃一顿兰州拉面
[2084.66-2086.18] 剩下你给我折现吧
[2086.50-2087.54] 咱们要聊天
[2087.54-2088.82] 咱们找个喝茶的地方
[2088.82-2090.66] 咱们聊聊天多好
[2090.90-2091.66] 对不对
[2092.78-2095.38] 你在桌上铺张这么一大桌子
[2095.42-2096.34] 吃完了之后
[2096.34-2098.54] 有打那酒格都是臭的
[2098.70-2099.50] 所以这样的话
[2099.62-2100.38] 对身体也不好
[2100.42-2102.46] 这些人来了加拿大
[2102.46-2104.34] 他们会有极强的不适应感
[2104.34-2106.38] 就是刚才你说的这几这几条
[2106.38-2107.82] 因为他浮躁惯了
[2107.82-2110.94] 他的人生不能有一刻的停歇
[2111.10-2111.94] 一旦停下来
[2111.94-2113.18] 他就无所适从
[2114.10-2115.22] 问题二敏感
[2115.22-2116.70] 动不动就是你歧视我
[2116.70-2118.46] 歧视来源与言不过关
[2118.62-2120.10] 彼此之间鸡腾鸭讲
[2120.10-2120.82] 老外骂他
[2120.82-2121.54] 他不知道为什么
[2121.54-2122.34] 老外跟他说什么
[2122.34-2123.38] 他也不知道
[2123.54-2126.70] 然后他的这些行为影响到了
[2126.70-2128.30] 人家这边的公序良俗
[2128.30-2129.22] 然后人家骂他
[2129.22-2130.34] 他就说你歧视我
[2130.34-2132.46] 比如说我有个老大哥
[2133.30-2135.30] 跟我好了30多年了
[2135.46-2136.42] 他开车的时候
[2137.42-2139.62] 他不知道这边并线
[2139.62-2141.66] 有一种工序良俗
[2141.70-2142.98] 叫Zipper Merge
[2142.98-2143.94] 什么叫Zipper Merge
[2144.02-2145.22] Zipper就是拉锁
[2145.22-2148.14] 你车在两道并一道汇车的时候
[2148.14-2149.86] 一定是一边进一辆
[2149.86-2151.14] 不能说你开的快
[2151.18-2152.38] 或者你在跟车
[2152.38-2153.34] 前面车是你朋友
[2153.34-2153.98] 你跟着他
[2153.98-2155.54] 你就贴着他的车
[2156.34-2157.30] 老外就滴滴滴
[2157.30-2158.42] 啊fuck你
[2158.70-2159.62] 这时候他就觉得
[2159.62-2160.14] 人家为什么
[2160.14-2160.74] 老歧视我
[2160.74-2161.30] 我跟你说
[2161.30-2162.46] 人家没有歧视你
[2162.46-2163.58] 还要打高尔夫
[2163.58-2166.14] 一定要随身带一个小耙子
[2166.18-2167.26] 带一个小厂子
[2167.26-2168.42] 在你的球车里
[2168.46-2169.46] 打完之后
[2169.46-2171.54] 要把人家的草坪修一下
[2172.46-2173.94] 好多中国人不懂
[2173.94-2175.06] 打完就走
[2175.10-2176.82] 弄得跟狗啃的一样
[2176.82-2177.38] 那草坪
[2177.38-2178.78] 人家球场上的老外
[2178.82-2180.06] 人家就会骂你
[2180.10-2182.18] 这个与歧视无关
[2182.34-2184.90] 这是你个人做了不好的事
[2184.90-2186.26] 人家骂你的是个人
[2186.26-2187.86] 跟你的脸色并没有关
[2187.90-2188.86] 不要上上道歧视
[2188.86-2190.10] 这边真的没有什么歧视
[2190.14-2190.58] 的
[2191.30-2192.30] 这歧视什么玩意
[2192.34-2194.34] 彼此之间早都融合在一起了
[2196.71-2197.95] 三动手能力弱
[2197.95-2198.63] 不会修车
[2198.63-2199.35] 不会修房子
[2199.35-2200.15] 不会弄花园
[2200.15-2201.95] 这是西人的生活方式
[2201.99-2204.27] 就像老王自己给船做service
[2204.27-2205.75] 但是中国人在国内习惯了
[2205.75-2206.75] 有人伺候
[2206.79-2207.99] 有人送快递
[2207.99-2208.83] 有人修水管
[2208.83-2209.51] 有人装修
[2209.51-2210.83] 总之有人帮我
[2210.87-2212.55] 我只要掏钱躺下就好
[2212.59-2214.23] 一半以上会感到郁闷
[2214.27-2215.51] 只有真正英语好
[2215.51-2218.19] 喜欢西方生活方式的人
[2218.23-2219.31] 能够感到自由自在
[2219.31-2221.35] 老王就是个适应的典型
[2223.04-2223.56] 这也是
[2223.60-2225.28] 说到心坛里
[2225.28-2229.36] 中国是一个社会分工高度发达的
[2229.36-2230.48] 费拉社会
[2231.24-2232.92] 就是他这个社会
[2233.48-2235.76] 他的统治者不鼓励
[2236.00-2239.20] 他的个人公民或者居民
[2239.24-2242.40] 具备强大的自我动手
[2242.44-2244.48] 和off-grid
[2244.48-2245.52] 就是off-grid
[2245.52-2247.80] 就是野外生存的能力
[2248.52-2251.48] 因为你一旦具备了自我生存的能力
[2251.64-2253.12] 你的个体
[2253.16-2253.52] 就会有一个
[2253.52-2253.56] 就会有一个个体
[2253.56-2253.60] 就会有一个个体
[2253.60-2254.84] 就会有反抗精神
[2255.04-2256.44] 这就像小孩一样
[2256.48-2257.88] 你把小孩教会了
[2257.88-2258.72] 他走教会了
[2258.72-2259.12] 他跑
[2259.12-2260.60] 他就不听你的话了
[2260.60-2262.16] 你回头他就没了
[2262.16-2262.80] 撒手没
[2262.80-2263.40] 为什么
[2263.40-2264.24] 因为他会了
[2264.28-2265.20] 最安全的
[2265.20-2266.00] 作为控制者
[2266.00-2266.68] 最安全的是
[2266.68-2267.92] 让你坐在小婴儿车上
[2267.92-2269.20] 永远不让你动
[2269.52-2270.80] 这样我好管你
[2271.04-2273.64] 所以中国人被高度分化了
[2274.72-2276.68] 被管理的像蜜蜂一样
[2276.68-2277.56] 公蜂一样
[2277.56-2279.04] 他根本不会交配
[2279.08-2280.40] 他不会干别的
[2280.56-2282.48] 他并不是一个完整的人
[2282.76-2283.40] 所以为什么
[2283.40-2284.32] 中国的军队
[2284.32-2285.72] 跟美国的军队打仗
[2285.72-2286.56] 你不用问
[2286.56-2288.28] 也知道1比1肯定打不过
[2288.28-2290.56] 中国人的个人动手能力
[2290.56-2291.56] 一旦增强
[2291.56-2292.48] 你的自信心
[2292.48-2293.92] 就会极度的膨胀
[2294.56-2296.72] 因为你觉得你不再弱小了
[2296.72-2298.60] 你可以接触自然
[2298.64-2301.36] 并且跟自然产生良性的互动的时候
[2301.36-2303.24] 你就不再依赖政府的服务
[2303.24-2304.52] 和公共的服务了
[2304.80-2306.20] 你比如说老王的农场
[2306.20-2306.76] 很多东西
[2306.76-2308.20] 我不用政府服务
[2308.20-2309.12] 不过政府服务有
[2309.12-2310.28] 我让他们给拆了
[2310.56-2311.28] 比如说电
[2311.28-2312.60] 老王就自己安太阳能
[2312.60-2313.36] 因为我爱动手
[2313.36-2314.84] 我自己买的太阳能板
[2314.84-2316.04] 自己安的锂电池
[2316.04-2318.12] 自己安的这个manager
[2319.60-2321.24] 自己安的inverter
[2321.28-2322.76] 全是我自己动手
[2323.24-2324.76] 这样我充满了乐趣
[2324.76-2326.00] 我一分电钱也不花
[2326.00-2328.56] 当然我前期投资的比他花的电钱还贵
[2328.56-2329.80] 但是我乐意
[2329.84-2330.40] 这样的话
[2331.00-2333.12] 我跟他们吹牛逼
[2333.12-2333.68] 就是说
[2333.68-2336.32] 如果哪一天温哥华出现重大的自然灾害
[2336.32-2338.40] 我农场里是有电有水的
[2338.52-2339.48] 你们可以过来
[2339.48-2340.64] 我保护你们
[2340.80-2342.88] 我可以给你们提供一个庇护所
[2343.36-2346.12] 所以这种生活方式
