[0.66-1.98] 哈喽 大家好
[1.98-3.54] 老王今天换身军装
[1321.23-1322.87] 所以我们就没有做夺舍的
[1322.87-1324.91] 但是中土的夺舍里边
[1325.55-1326.75] 有一个案例
[1326.79-1328.27] 这个案例就是铁拐李
[1328.31-1331.83] 铁拐李达到修炼灵魂出窍
[1332.23-1334.55] 各地宇宙漫游的时候
[1334.63-1337.43] 他的肉身在他的徒弟旁边
[1337.47-1338.63] 没有呼吸
[1338.63-1339.39] 没有脉搏
[1340.27-1341.55] 他一走走好几天
[1342.07-1343.87] 他的徒弟给他看着肉身
[1343.87-1345.63] 结果他徒弟们有什么事跑了
[1345.63-1346.83] 结果他那肉身
[1346.83-1348.95] 就被好心的邻居给火化了
[1348.95-1349.99] 人震惑回来
[1351.39-1353.27] 我的肉身找不到
[1353.27-1356.03] 最后就在河边找到刚死的一个要饭老头
[1356.03-1356.67] 他附到上面
[1356.67-1358.19] 本来是个帅哥公子哥
[1358.19-1359.27] 附到上面以后
[1359.27-1360.95] 就变成了铁拐李的形象
[1361.79-1363.35] 叫花子脏了巴唧的
[1363.39-1364.59] 还瘸了一条腿
[1364.67-1365.59] 但是他也不在乎了
[1365.59-1367.03] 因为他已经变成了
[1367.31-1368.91] 更高一个层次的生命了
[1368.91-1370.47] 所以肉身对于他来说
[1370.59-1372.07] 就是随意换化
[1372.07-1373.39] 所以他也就一直带着
[1373.87-1374.83] 形象示人
[1375.63-1377.51] 这就是铁拐李的故事
[1377.55-1379.23] 这种高知识的修炼者
[1379.39-1380.79] 主动把灵魂逼出去
[1380.79-1382.67] 然后去周游宇宙去
[1382.71-1385.15] 还有一个著名的是瑞典皇家科学院的
[1385.27-1386.47] 大家感兴趣的
[1386.47-1387.83] 可以搜他的名字
[1390.77-1391.85] 离我们现在并不远
[1391.85-1393.05] 而且他的身份
[1393.09-1395.17] 那就是非常高的一个科学家
[1395.17-1396.29] 他也有这个能力
[1396.29-1397.69] 他也可以把灵魂逼出去
[1397.69-1399.09] 去周游更多的世界
[1400.69-1402.21] 老王说这些东西
[1402.57-1404.41] 听起来是怪力乱神
[1404.45-1406.33] 但是其实都能串出一根线
[1406.33-1406.85] 来
[1407.05-1411.09] 希望老王这些修行的经验
[1411.13-1414.65] 能够让大家产生一些思考
[1414.81-1417.45] 那也就当你们知道了这些东西之后
[1417.49-1419.57] 你们就不愿意再干坏事了
[1419.61-1421.17] 也不愿意干一些
[1421.17-1423.37] 撸带之类的鼠目寸光的事了
[1423.41-1425.81] 因为你干鼠目寸光的事
[1425.85-1427.33] 是会有报应
[1427.33-1428.57] 是会有轮回的
[1428.61-1430.73] 有些人说有什么轮回
[1430.97-1433.21] 200斤都把谁都下药
[1433.25-1434.29] 都把总理弄死了
[1434.29-1435.29] 他也没见着有轮回
[1435.29-1436.01] 你别着急
[1436.33-1437.09] 你别着急
[1437.49-1438.37] 老王一再说
[1439.37-1441.01] 他是带着使命来的
[1441.05-1443.49] 95%都是恶徒
[1443.53-1444.73] 都是垃圾
[1445.05-1447.25] 那么你这种挖地上的这些
[1447.25-1449.37] 像半兽人一样的族群
[1449.49-1450.57] 你不就得
[1450.61-1452.21] 红太师 物走妖魔
[1452.21-1453.89] 来收割你们一趟了
[1453.93-1455.97] 所以大家只有都提升自己的境界
[1455.97-1457.97] 提升到一个更高的维度去
[1458.01-1459.33] 他就奇怪不怪
[1459.33-1460.57] 奇怪自败了
[1461.89-1464.17] 所以你不用说是我单纯的去抗议
[1464.37-1465.09] 不存在
[1465.13-1466.29] 等你快完蛋那一天
[1466.29-1467.53] 你就存在了
[1467.57-1469.25] 我插一个小故事
[1469.73-1471.33] 我还没有移民的时候
[1471.33-1472.65] 我整天琢磨这事
[1472.65-1474.17] 已经琢磨的有点意思了
[1475.98-1478.38] 有一个河南新乡
[1478.38-1480.30] 他现在还在新乡的河南新乡的
[1480.30-1481.70] 可以说是他是首富
[1482.14-1483.94] 老百姓张做印染行业的
[1483.94-1484.70] 我就不点名了
[1484.70-1486.38] 因为他还是非常活跃的
[1486.38-1488.94] 现在他是全国青联的一个委员
[1490.22-1491.30] 看起来好老
[1491.30-1492.30] 像我叔叔一样
[1492.34-1493.82] 他说他是全国青年委员
[1493.82-1495.14] 我还有点奇怪
[1495.14-1498.50] 他在20来岁的时候
[1498.54-1500.18] 遭遇了一次车祸
[1500.18-1501.78] 同车4个人全死
[1501.78-1503.22] 就他一个人活下来
[1503.46-1505.26] 他们车上装着5个人
[1506.74-1509.70] 他在医院里躺了整整三天三夜
[1510.14-1511.10] 才醒过来
[1511.70-1513.78] 他在这三天三夜里没闲着
[1514.22-1515.70] 他这个事跟很多
[1515.70-1517.86] 他认为层次比他高的人探讨过
[1517.86-1519.54] 没有一个人给他个答案
[1520.46-1522.78] 他在洛阳遇到我之后
[1522.82-1525.02] 他认认真真的在吃完饭之后
[1525.14-1526.86] 他把别人排开
[1526.90-1527.78] 他说王总
[1527.90-1529.30] 我看你不是一般的人
[1529.42-1532.46] 你能不能看看我这是什么回事
[1532.46-1533.30] 他就跟我讲
[1533.34-1535.78] 他当年怎么车翻到山下
[1535.82-1537.34] 同车4个人全死
[1537.38-1539.74] 他在鬼门关上转了一圈回来
[1539.78-1540.82] 他说在这个过程中
[1540.82-1543.30] 我并没有觉得是三天三夜
[1543.34-1545.30] 我觉得大概就十几二十分钟
[1545.34-1546.38] 我在一个路上走
[1546.38-1547.10] 凄凄惨惨
[1547.10-1549.18] 我前面有两个人带着我走
[1549.22-1550.74] 然后我还记得特别清楚
[1550.74-1552.46] 月亮就挂在天上
[1552.94-1554.42] 是一轮圆月
[1554.66-1555.02] 然后
[1555.02-1556.74] 我们走山路
[1556.78-1559.26] 走的山路尽头是一个大宅子
[1559.26-1561.42] 门一开里边等着一个老太太
[1562.02-1563.42] 带着我这两个人说
[1563.42-1564.34] 我们把人带来了
[1564.34-1565.30] 老太太看了一眼说
[1565.50-1566.38] 你们把人带错了
[1566.38-1566.98] 快带回去
[1566.98-1567.66] 带回去
[1568.74-1569.54] 我就行了
[1569.78-1570.62] 他说这就是
[1570.82-1572.94] 我到现在我都记得那两个人的长相
[1572.98-1574.38] 有一个有小胡子的
[1574.42-1576.78] 然后我还记得老太太的长相
[1576.82-1579.14] 我还记得那轮圆月和那个房子
[1579.18-1580.86] 但是我都不知道是怎么回事
[1581.74-1582.58] 我是张总
[1583.02-1584.70] 那两个人叫殷差
[1584.70-1586.30] 又叫黑白无常
[1586.82-1588.42] 那两个人都现态的
[1588.42-1589.82] 他们也在与时俱进
[1589.82-1591.62] 那两个人其实不是杜撰的
[1591.62-1594.10] 那两个人就是某个地方在睡觉的人
[1595.02-1596.14] 他真的是真人
[1596.18-1597.46] 我说我问你一个细节
[1597.50-1598.82] 那两个人穿的什么衣服
[1598.82-1599.46] 你能告诉我吗
[1599.46-1600.38] 就是西装
[1600.42-1601.26] 我说张总
[1601.26-1602.54] 你一定是无神论者
[1603.86-1605.86] 他说你怎么知道我真的是无神论者
[1605.86-1606.86] 我就是经历这事
[1606.86-1607.78] 我都不信佛
[1607.82-1608.58] 我说对了
[1609.42-1610.94] 如果你要是信佛
[1610.98-1611.90] 信道
[1611.90-1613.50] 或者信了基督
[1613.82-1614.50] 接你来的那一步
[1614.50-1615.38] 来的那两个人
[1615.42-1616.86] 穿的衣服会不一样
[1616.90-1618.66] 去的地方也不太一样
[1618.70-1620.30] 但是你是个有福之人
[1620.34-1622.86] 所以你的层级很高
[1622.86-1628.70] 所以有一个更高一层的鬼关在等你
[1628.74-1629.94] 但发现不是
[1629.94-1630.90] 弄错了
[1630.90-1632.10] 你还可以回来
[1632.14-1633.18] 而且你这回来的话
[1633.22-1634.46] 那下次他们不会再弄错了
[1634.46-1635.42] 你会活很久
[1636.74-1638.42] 这是我这亲身经历的事
[1639.14-1640.82] 你们有心人是心相人
[1640.86-1641.62] 阴染行业的
[1641.62-1643.30] 你们一定知道
[1643.30-1644.42] 我说的老板是谁
[1644.42-1646.46] 思绪飞扬
[1647.62-1649.06] 知道这些东西之后
[1649.54-1651.50] 古代经文中的很多东西
[1651.54-1652.70] 包括王林这些东西
[1652.70-1653.98] 你都可以理解了
[1654.30-1656.70] 我们今天只是怪力乱神中的
[1656.74-1658.54] 开开这么一个小门
[1658.58-1659.62] 修行的一个小门
[1659.62-1661.18] 你们如果感兴趣的话
[1661.22-1662.18] 给我评论
[1662.22-1662.78] 给我点赞
[1662.78-1663.38] 给我留言
[1663.38-1664.54] 我会接着说
[1664.78-1665.78] 我会接着说
[1665.98-1667.94] 耶稣五鱼二饼是怎么回事
[1668.30-1670.50] 犹太人出了埃及之后
[1670.50-1673.02] 跟着摩西在沙漠里转了40年
[1673.06-1674.42] 他们每天吃白
[1674.42-1675.94] 白色的从天上掉下来的
[1676.46-1677.62] 有点像泡沫塑料
[1677.62-1679.42] 但是又营养无比的
[1679.42-1680.70] 那东西是怎么回事
[1680.74-1682.74] 这些东西在中国有没有
[1683.26-1684.86] 我都会慢慢的给大家讲
[1685.90-1686.90] 今天先这样吧
[1686.90-1687.74] 我还有点事
[1687.74-1688.74] 我先出去了
[1688.78-1689.46] 再见
[1689.46-1690.14] 拜拜
