[1.94-3.94] 哈喽 大家好 今天是周末
[3.94-7.20] 今天咱们的主题是聊孩子
[1297.02-1300.34] 然后11个同学里面呢有一个库尔德难民
[1300.34-1302.14] 一个乌克兰难民
[1302.14-1304.70] 一个伊拉克难民
[1304.70-1306.48] 这三个难民
[1306.48-1308.28] 然后一个香港
[1308.28-1311.36] 有可能是难民有可能是反正他是个港独
[1311.36-1312.88] 一个小年轻港独
[1312.88-1315.96] 然后有几个中国人大概剩下的几个
[1315.96-1318.26] 有一个韩国人一个日本人剩下都是中国人
[1318.26-1321.34] 三四个中国人
[1321.34-1322.88] 这样的一个班级构成里面
[1322.92-1324.96] 是多元化了
[1324.96-1326.50] 老师呢
[1326.50-1327.52] 问了一道问题
[1327.52-1329.58] 说你们如果都是trillionaire
[1329.58-1331.62] 就是你们都是千万富翁的话
[1331.62-1333.16] 你们会怎么花这笔钱
[1333.16-1335.20] 你们怎么会改变你的人生
[1335.20-1337.52] 告诉我们每个人说一段话
[1337.52-1339.82] 我是最后一个说的
[1339.82-1342.12] 前面所有的同学
[1342.12-1344.16] 无论是难民也好还是什么也好
[1344.16-1347.50] 只有一个男生就是那个库尔德难民说我要买一架
[1347.50-1348.52] 飞机
[1348.52-1350.32] 买一架私人小飞机
[1350.32-1351.84] 剩下的所有的学生
[1351.84-1352.88] 都说我要9万
[1352.92-1354.72] 就环游世界
[1354.72-1356.24] 就是你这种想法
[1356.24-1357.52] 我
[1357.52-1358.56] 到我这
[1358.56-1360.60] 因为我本身就已经是trillionaire
[1360.60-1363.68] 如果我不是billionaire的话我其实
[1363.68-1365.20] 我其实可能是billionaire
[1365.20-1368.54] 但是如果让我变成trillionaire的话
[1368.54-1371.10] 那就是这个东西对我来说不是一个
[1371.10-1372.64] 不是个虚拟语气
[1372.64-1374.68] 或者不是一个假设状态
[1374.68-1378.00] 我说了一句话我说live my current life
[1378.00-1378.78] 就是
[1378.78-1380.32] to live my current life
[1380.32-1382.36] 就是我还过我现在的日子
[1382.36-1384.40] 所有的人包括老师包括Randy
[1384.40-1385.44] 沉默了三秒钟
[1385.44-1388.24] 然后大家在7早8时开始讨论
[1388.24-1391.84] Randy教学了这么多年Randy大概今年已经55岁了
[1391.84-1394.64] Randy教学了这么多年可能
[1394.64-1396.96] 这是他第一次碰到这个
[1396.96-1397.98] 答案
[1397.98-1401.30] 大部分人都是买这个买那个或者什么周游世界
[1401.30-1402.84] 绝大部分人周游世界
[1402.84-1406.68] 你有没有想过周游世界是什么意思
[1406.68-1408.98] 在你潜意识中内心深处
[1408.98-1410.78] 周游世界
[1410.78-1412.32] 是逃避
[1412.36-1413.90] 是逃跑
[1413.90-1415.44] 是从你现在的
[1415.44-1417.74] 缠绕着你的牢笼中
[1417.74-1419.28] 逃窜
[1419.28-1423.62] 现在你被侮辱恶势的各种关系呀什么挣钱呀什么
[1423.62-1425.68] 生活呀工作呀
[1425.68-1426.96] 束缚着
[1426.96-1431.30] 所以你寄希望于你有了一笔钱之后解脱逃离
[1431.30-1433.86] 而我就是那个已经逃离了的人
[1433.86-1435.40] 因为我已经是trillionaire了
[1435.40-1436.68] 而且
[1436.68-1438.48] even我曾经是billionaire
[1438.48-1440.00] 对不对
[1440.00-1441.04] 所以
[1441.04-1442.32] 当我再回过头来
[1442.32-1446.42] 就相当于你一生再投胎两次之后你坐在这个屋子里面
[1446.42-1450.00] 你就会说出我那句话to live my current life
[1450.00-1452.82] 为什么to live my current life
[1452.82-1455.88] 因为我知道我有三个宝贝
[1455.88-1456.92] 三个孩子
[1456.92-1460.24] 他们使我不想逃离这个地方
[1460.24-1464.60] 这才是我们有孩子之后真正的乐趣
[1464.60-1467.16] 我没有给你做洗脑工作
[1467.16-1468.94] 我之所以变成
[1468.94-1470.48] 极端保守的
[1470.48-1471.76] 加拿大人
[1471.76-1475.08] 我跟共和党或者我跟保守党
[1475.08-1477.40] 的理念不谋而合
[1477.40-1479.44] 我鼓励子女的教育
[1479.44-1481.48] 我鼓励多子女家庭
[1481.48-1484.56] 然后我鼓励子女去从事各种工作
[1484.56-1486.60] not only这种
[1486.60-1489.16] 白领but also这种蓝领
[1489.16-1490.70] 去丰富这个社会
[1490.70-1494.28] 不要push孩子的任何一方面他不擅长的东西
[1494.28-1495.82] 我成为这样的父亲
[1495.82-1496.60] 这样的
[1496.60-1499.16] 我有这样的一个过程
[1499.16-1501.20] 当我走完这个过程之后
[1501.20-1502.74] 当我想明白之后
[1502.74-1505.56] 也许我有第一个孩子的时候我还有一些纠结
[1505.56-1508.36] 我还卷他我还打他骂他
[1508.36-1510.42] 那当我有二
[1510.42-1512.20] 三的时候我会发现
[1512.20-1516.04] 每一个孩子虽然我跟孩子他妈妈的DNA没有变化
[1516.04-1518.36] 我们还是那两个人的组合
[1518.36-1519.64] 但是我告诉你们
[1519.64-1521.94] 真的每一个孩子都不一样
[1521.94-1525.00] 同一对夫妻他每一个孩子的区别
[1525.00-1526.54] 甚至大于
[1526.54-1528.60] 你的孩子跟别人家孩子的区别
[1528.60-1529.62] 这都是有可能的
[1529.62-1530.64] 无论是智力
[1530.64-1531.66] 还是性格
[1531.66-1533.20] 完全不同
[1533.20-1536.02] 他真的是上帝在给你不同的礼物
[1536.02-1537.56] 如果是打个
[1537.56-1541.90] 比方是给你汽车的话一会给你个德系的一会给你个日系的一会给你个
[1541.90-1542.68] 美系的
[1542.68-1543.70] 每一个
[1543.70-1547.28] 都有他的鲜明的特点
[1547.28-1551.38] 然后每一个如果你静下心来观察他他都是一个
[1551.38-1553.94] 上帝给你的完美的造物
[1553.94-1556.76] 所以你跟这些小精灵们在一起
[1556.76-1558.54] 你跟他们共同度过时间
[1558.54-1560.60] 这他妈逼你去世界上的东西
[1560.64-1562.44] 世界环游地球
[1562.44-1563.96] 幸福多了
[1563.96-1565.50] 你乱跑什么呀
[1565.50-1567.80] 跑到天涯海角
[1567.80-1568.58] 你又能
[1568.58-1569.86] 得到什么呢
[1569.86-1572.92] 真正的快乐能一直伴随你吗
[1572.92-1575.24] 如果快乐是用时间计量的话
[1575.24-1580.60] 你去加勒比一趟也就是十天去夏威夷一趟也就是两星期一星期
[1580.60-1581.88] 回来这就是过去了
[1581.88-1583.42] 但是你跟他在一起
[1583.42-1588.04] 他至少能给你带来18年的连续快乐
[1588.04-1589.82] 18年以后
[1589.82-1591.62] 他怎么走他怎么发展
[1591.62-1596.48] 他那种快乐可能又升级一次我还没有这样的快乐的感觉啊
[1596.48-1598.26] 但是我相信到了那一天
[1598.26-1602.88] 我又会跟大家坐着讲我大闺女结婚了或者大闺女去
[1602.88-1605.70] 上大学了很快就会发生我会给大家汇报
[1605.70-1606.72] 我的心
[1606.72-1611.06] 我的心态我大闺女的出行的时候我是不是哭了
[1611.06-1614.90] 然后那个出嫁的时候我是不是就是泣不成声了
[1614.90-1617.98] 谈成立谈泥了这个我会跟大家讲我的
[1617.98-1619.78] 感受
[1619.82-1623.14] 我觉得我们人类
[1623.14-1628.78] 走完了这个过程之后我们的人生才是圆满的
[1628.78-1632.86] 接着念你的信
[1632.86-1639.02] 在北美应该不会有那种因为没孩子而被护工虐待的事情吧
[1639.02-1642.08] 就是说老了以后没孩子住养老院
[1642.08-1644.90] 护工虐待是吧北美倒不会
[1644.90-1646.94] 咱也没财产值得亲戚惦记
[1646.94-1651.30] 也许有什么值得担心的常识性问题我们没想到
[1651.30-1653.10] 欢迎您和网友的提点
[1653.10-1655.90] 我也想过如果我俩有一方不在了
[1655.90-1658.22] 没孩子可能会缺少心理寄托
[1658.22-1662.56] 到时候就真的有孤家寡人了你可别这么想有孩子你也没心理寄托
[1662.56-1665.38] 孩子长大了他们自己就过去了
[1665.38-1668.46] 去玩可能都觉得没意思了
[1668.46-1671.26] 虽然北美的老年人都跟孩子分开过
[1671.26-1672.80] 老了跟丁克也没差
[1672.80-1674.86] 但选择生孩子的还是多数
[1674.86-1679.46] 另外他们也都有亲朋好友在身边总感觉他们的处理方法
[1679.46-1681.26] 也不合适我们借鉴
[1681.30-1682.58] 想听听您的看法
[1682.58-1686.16] 关于一丁克好像违反了结婚时对父母的承诺
[1686.16-1690.52] 二第一代移民选择丁克有什么需要考思考的
[1690.52-1694.10] 第一个问题我已经回答了其实不是违反了对父母的承诺
[1694.10-1697.94] 因为你们父母给你们并没有施加太大压力他们是高级分子
[1697.94-1699.74] 实际上是违反了
[1699.74-1701.78] 你们自己的这个
[1701.78-1705.36] 人类自我保护进化DNA这种
[1705.36-1706.14] 危险
[1706.14-1709.46] 因为你在打开已经形成的DNA保护所
[1709.46-1711.00] 之后
[1711.30-1713.10] 你感觉到了不舒服
[1713.10-1715.14] 所以你不是对父母的这种
[1715.14-1716.42] 承诺的这个违背
[1716.42-1722.56] 而是对整个人类这个族群人类这个种族这个物种
[1722.56-1724.86] 整体发育发展下去的这个
[1724.86-1727.68] 这一环在你这断了之后你的负罪感
[1727.68-1730.24] 根上是这个对你父母没关系
[1730.24-1733.06] 其实你父母也未必想得这么透
[1733.06-1734.60] 所以这个事呢
[1734.60-1736.64] 它是一个宏大叙事
[1736.64-1739.46] 所以呢其实倒不在你的主要考量之内
[1739.46-1741.00] 因为我们即使在北美
[1741.30-1743.10] 主要选择丁克尔的家庭
[1743.10-1744.88] 有的是白人有的是
[1744.88-1746.94] 因为现在的是个社会
[1746.94-1749.74] 是一个自由的社会没有再有一定之规啊
[1749.74-1751.54] 教会啊政府啊去
[1751.54-1752.82] 施压你
[1752.82-1755.12] 家庭啊家族啊去施压你没有了
[1755.12-1758.70] 所以大家选LGBT都可以丁克尔更可以了
[1758.70-1762.04] 但是呢为什么人类的主流
[1762.04-1763.32] 还是
[1763.32-1765.62] 保守一点好还是遵循
[1765.62-1767.66] 人类发展的这个规律好
[1767.66-1771.00] 这是我的感觉呢就是我们做人来啊
[1771.00-1774.58] 咱们再上一个格咱们做人是干啥来了
[1774.58-1776.64] 咱们做人一趟
[1776.64-1779.44] 是在这吃上一堆的饭然后拉上一堆的屎
[1779.44-1780.72] 最后变成一
[1780.72-1782.52] 一坨肥料吗这是
[1782.52-1785.08] 如果是这样的话那上帝造人有什么道理呢
[1785.08-1786.88] 有什么意义呢
[1786.88-1790.96] 大家就如果是这样的话只是你早20年死还是
[1790.96-1793.02] 晚20年死
[1793.02-1794.80] 都是为了享受那你今天就
[1794.80-1797.12] 出去吃喝嫖赌杀人放火
[1797.12-1798.90] 什么坏事你干什么
[1798.90-1800.70] 都行为什么
[1800.70-1805.56] 百年之后五掌又啊你就是东方事发了被警察干掉了或者
[1805.56-1807.86] 被最后枪毙了
[1807.86-1809.92] 你不就是早死了几十年呀
[1809.92-1810.94] 那又是
[1810.94-1813.76] 对于沧海来说对于人类历史来说
[1813.76-1817.08] 这20年算个屁呀那不如你爽一下
[1817.08-1822.20] 你从来不敢碰的美女从来不敢碰的帅哥你把他给摁住给他干了
[1822.20-1826.56] 从来不敢花的钱你就赶他们骗来就花了这不就得了吗
[1826.56-1830.66] 但一定不是这样为什么大家不敢去做为什么冥冥中有规律因为
[1830.70-1833.00] 这个世界matrix也好这个世界是
[1833.00-1836.08] 人造的也好是什么的神造的也好
[1836.08-1837.86] 他有他的规律
[1837.86-1842.48] 要因事要顺事而为这个规律是什么作为人界的规律来说
[1842.48-1847.34] 我觉得我们来这一趟主要是修行主要是学习就跟我们上学是一样的
[1847.34-1848.88] 一年级进去之后
[1848.88-1853.22] K年级进去之后一定要上到12年级然后去考大学
[1853.22-1856.30] 整个这个过程灵魂也是一样的考验
[1856.30-1859.38] 就是我们怎么学会去爱怎么学会去
[1859.38-1860.14] 生活
[1860.70-1862.24] 学会知识
[1862.24-1865.06] 怎么去提升净化灵魂这才是真正的目的
[1865.06-1868.64] 我想这是造这个宇宙的真正的目的
[1868.64-1873.24] 那作为我们宏大学说完了回到我们这个小小范围来说
[1873.24-1875.54] 我个人觉得就是
[1875.54-1880.66] 说白了大白话就是你活多大岁数你做多大的事别他们装逼
[1880.66-1881.94] 也别他们傻逼
[1881.94-1886.30] 就是10到20岁的时候你还就好好的学习别干别的
[1886.30-1889.88] 操逼生孩子的不是你想的事因为你是10到20岁
[1889.88-1890.66] 你就干这段
[1890.70-1891.98] 时间应该干的事
[1891.98-1894.54] 好好吃饭好好睡觉好好念书
[1894.54-1898.12] 发育好自己身体就像打地基一样你把那个地基打牢了
[1898.12-1900.94] 然后20岁到30岁
[1900.94-1902.22] 你还别躺平
[1902.22-1903.50] 别他们啃老
[1903.50-1907.34] 要精气神足点出去找工作出去见识社会
[1907.34-1910.66] 如果是家庭条件好的给你一个好位置
[1910.66-1913.48] 你他妈好好干好了把你这块砖瓦
[1913.48-1915.28] 铺好砌漂亮
[1915.28-1918.60] 如果你家庭狗屎一样走得远远的去遇到贵人
[1918.60-1920.66] 经历传奇学到本事了
[1920.70-1921.98] 提升维度
[1921.98-1924.28] 这就是20到30岁应该做的事
[1924.28-1926.08] 去完成你的
[1926.08-1928.64] 知识积累人格积累以及
[1928.64-1929.40] 物质积累
[1929.40-1931.46] 30岁到40岁就是生孩子
[1931.46-1932.22] 没别的
[1932.22-1933.50] 30岁到40岁
[1933.50-1935.30] 你就应该成家
[1935.30-1937.08] 生孩子
[1937.08-1937.86] 开始生
[1937.86-1940.42] 40到50岁把孩子养大
[1940.42-1942.98] 养到另一个人类
[1942.98-1946.30] 你的子女作为一个人类成了人
[1946.30-1949.12] 50岁以后你就可以
[1949.12-1950.66] 准备好去死了
[1950.70-1954.28] 因为你的肉体啊机能啊都开始走
[1954.28-1955.56] 急速下坡路了
[1955.56-1958.64] 屈指一数你就是活到90岁
[1958.64-1959.40] 80岁
[1959.40-1961.46] 你的有效
[1961.46-1963.24] 高性能的肉体
[1963.24-1965.30] 时间可能也只有20年
[1965.30-1967.34] 那就是真的是一晃就过去了
[1967.34-1969.64] 十几20年的时间一晃就过去了所以
[1969.64-1971.44] 你要抓紧这段时间呢
[1971.44-1973.74] 去玩一玩去享受一下
[1973.74-1976.56] 去沉淀一下去做一些你以前
[1976.56-1980.66] 因为子女也好因为事业好捆绑你而不能做的事情
[1980.66-1982.70] 这个时候你可以逃脱一下了
[1982.70-1986.30] 为什么因为你已经完成了你该完成的学业和任务
[1986.30-1989.36] 这个时候你相应的放松一下自己做一个
[1989.36-1990.90] 潇洒的银发族
[1990.90-1992.18] 去各地看一看
[1992.18-1996.28] 旅游旅游写写书如果你的故事很精彩把它写下来
[1996.28-1997.30] 这一段时间
[1997.30-1999.10] 然后呢然后就是
[1999.10-2000.88] 提前埋好坟
[2000.88-2003.70] 不要弄得那么潦草那么
[2003.70-2004.46] 草率
[2004.46-2007.28] 那么仓促然后到你最后那一天
[2007.28-2009.34] 也不要哭哭啼啼的
[2009.34-2010.62] 就就相当于你要去
[2010.66-2012.20] 去一个地方去旅游
[2012.20-2016.54] 你的亲朋好友们聚在一起给你送一下行而已
[2016.54-2019.62] 大家有些惜别的感觉但是总归还是以
[2019.62-2022.18] 开心为主的死亡是一个很快乐的过程
[2022.18-2024.22] 如果你准备得好
[2024.22-2029.86] 不是我吹牛逼做宏大叙事啊对于死亡来说我有过体会
[2029.86-2034.46] 我那时候什么都不懂我上三年级的时候那时候我们家家庭条件不太好
[2034.46-2036.26] 那个
[2036.26-2040.62] 家里边有那个取暖的炉子暖气不好使
[2040.66-2041.68] 有炉子
[2041.68-2045.52] 那个时候在炉子在屋里取暖烧的是蜂窝煤经常有人
[2045.52-2046.54] 煤气中毒
[2046.54-2051.92] 有一天我放学早回家了大概三点就放学了早回家了几个小时
[2051.92-2057.56] 我呢去不会处理那个炉子我没管那个炉子我在家里关着门关窗冬天写作业
[2057.56-2058.84] 我就煤气中毒了
[2058.84-2061.66] 五点钟的父母就都回来了下班回来了
[2061.66-2069.34] 煤气中毒没有任何的迹象也没有任何味道他们大人回来之后并不知道我已经煤气中毒了
[2069.34-2070.62] 然后我就从我们家
[2070.66-2072.70] 门出去往外走
[2072.70-2074.76] 我妈从后边拍了我一下
[2074.76-2078.86] 就那拍了一下其实是因为我吸了外面的西洋空气了大概
[2078.86-2081.16] 就忽然那股劲就醉上来了
[2081.16-2084.48] 就离了白鞋的砰就倒在了院里
[2084.48-2085.76] 把我妈吓坏了
[2085.76-2088.58] 然后我妈就在后边喊我爸快看快看
[2088.58-2090.38] 儿子怎么了他怎么倒了
[2090.38-2092.42] 这是我听到的最后一话
[2092.42-2094.98] 然后呢
[2094.98-2097.80] 然后我就看到了一个金光大道吗没有
[2097.80-2100.10] 我看到了小天使来接应我没有
[2100.10-2102.66] 然后我告诉你们我告诉你们我的真实感觉
[2102.66-2104.70] 然后就像电视机关了一样
[2104.70-2107.26] 就是老式的电视机你一关了
[2107.26-2108.04] 黑屏了
[2108.04-2109.32] 我的眼前
[2109.32-2111.62] 视野越来越小黑了
[2111.62-2112.38] 黑屏了
[2112.38-2113.16] 然后
[2113.16-2114.94] 声音也没有了
[2114.94-2118.78] 这就是我当时昏死过去的状态
[2118.78-2120.06] 在那个之前
[2120.06-2122.88] 和昏死过去的那一瞬间
[2122.88-2125.96] 我清晰的记得那时候我的感觉
[2125.96-2128.78] 真的是好舒服好开心
[2128.78-2130.06] 很解脱的感觉
[2130.10-2131.90] 非常好
[2131.90-2133.68] 做个不恰当的比喻
[2133.68-2135.22] 我成年之后
[2135.22-2137.78] 做爱的时候射精的时候都没有这么好
[2137.78-2138.54] 那么好的快感
[2138.54-2140.86] 就是死之前的感觉是那样
[2140.86-2141.88] 是一种解脱
[2141.88-2145.20] 那时候我才10岁嘛因为我那年上三年级嘛
[2145.20-2147.26] 我就有这样的本能的感觉
[2147.26-2150.32] 但是那时候特别小完全不知道是怎么回事
[2150.32-2153.14] 后来我长大了慢慢的读西藏生死书啊
[2153.14-2155.18] 慢慢读密宗的一些经典啊
[2155.18-2157.74] 佛教的一些经典我才知道
[2157.74-2160.06] 我那个时候已经开始死亡的过程了
[2160.10-2162.40] 只不过是因为我命不该绝
[2162.40-2164.20] 缺氧时间太短
[2164.20-2166.76] 新鲜空气一进来
[2166.76-2168.30] 父母一摇晃我
[2168.30-2169.58] 就把我给摇晃醒了
[2169.58-2171.88] 然后因为大人也都很有经验
[2171.88-2173.42] 因为经常会发生煤气中毒
[2173.42-2174.94] 意识到我发生煤气中毒
[2174.94-2177.76] 门窗打开然后把我抬到邻居家里
[2177.76-2181.10] 然后用电风扇吹了一会我就好了
[2181.10-2183.66] 不到两个小时就完全缓过来了
[2183.66-2184.68] 年轻嘛
[2184.68-2185.44] 小孩
[2185.44-2187.24] 但是我是这样
[2187.24-2190.06] 无意识的走过一次
[2190.10-2193.94] 后来我才知道我为什么没有看到那个金光大道啊
[2193.94-2195.98] 没有看到接引的天使啊
[2195.98-2197.52] 因为我死的时间不够长
[2197.52-2199.58] 死亡的第一时间
[2199.58-2201.62] 就是这种关机
[2201.62-2203.16] 寂静
[2203.16-2205.72] 然后你会醒过来
[2205.72-2207.26] 你真的会醒过来
[2207.26-2208.78] 你的灵魂会醒过来
[2208.78-2211.10] 因为你的肉体骤然关机的时候
[2211.10-2212.88] 你的灵魂还没有准备好出去
[2212.88-2216.72] 所以它这个软件暂时处于一个断电的状态
[2216.72-2219.02] 然后它的操作系统会唤醒它
[2219.02-2220.06] 它就会醒过来
[2220.10-2222.14] 但这个时候你醒不来
[2222.14-2223.68] 你可不是被你妈摇醒了
[2223.68-2226.76] 你妈这个时候醒来就是真死了
[2226.76-2229.06] 然后你就有的时候会飘啊
[2229.06-2230.86] 会在现实世界飘一圈啊
[2230.86-2231.88] 或者如果你的
[2231.88-2232.90] 时间真的到了的话
[2232.90-2235.20] 那就会有人把你带走
[2235.20-2236.74] 这是我们说的死亡的过程
[2236.74-2238.78] 那今天要说跑题说什么
[2238.78-2240.58] 咱们都会来就是什么的就是
[2240.58-2242.12] 死亡的过程
[2242.12-2243.40] 我只是走了一半
[2243.40-2245.70] 我10岁的时候走了一半没走完后一半
[2245.70-2246.46] 就拽回来了
[2246.46-2249.02] 我告诉你们这个过程真的好舒服
[2249.02-2250.06] 一点都不痛苦
[2250.10-2251.90] 真的是那种
[2251.90-2253.68] 超级解脱感
[2253.68-2256.76] 就是你所有的重担全部都放下
[2256.76-2259.58] 金榜提名
[2259.58-2260.86] 洞房花烛
[2260.86-2262.14] 都不如这个来路
[2262.14-2263.92] 就是你毕业了的感觉
[2263.92-2265.72] 你彻底毕业了的感觉
[2265.72-2267.76] 能想象吗这种感觉
[2267.76-2269.56] 一个10岁的孩子你说懂什么呀
[2269.56-2270.84] 那不就是个小傻瓜一样吗
[2270.84-2271.60] 什么都不懂
[2271.60-2273.66] 但是人的本能就是这样
[2273.66-2274.94] 所以我相信
[2274.94-2277.50] 如果到了我们七老八十
[2277.50-2280.06] 八九十岁真的要寿终正寝的时候
[2280.10-2281.12] 那种感觉
[2281.12-2282.92] 就会更加的主动
[2282.92-2285.98] 就会更加的知其然知其所以然
[2285.98-2288.30] 所以在这个过程中就像希腊先哲
[2288.30-2289.32] 死亡之前
[2289.32-2293.92] 学生都在哭他问大家你们哭什么呀
[2293.92-2297.26] 你要死了要不当然哭老师
[2297.26-2301.60] 我问问你你出去旅行去一个很好的地方旅行
[2301.60-2302.88] 海滩度假
[2302.88-2306.98] 走之前你爸你妈围着你哭吗不哭啊都很高兴啊
[2306.98-2308.78] 为什么因为
[2308.78-2310.06] 不知道为什么因为你
[2310.10-2312.40] 不知道你去哪你才会哭
[2312.40-2315.22] 老师知道我要去哪而且我要去的地方
[2315.22-2318.30] 会比你们要去的那个度假海滩还要美
[2318.30-2321.88] 所以我知道我要下一站去哪你不要哭了
[2321.88-2323.42] 收起眼泪来
[2323.42-2325.20] 这就是我们面对死亡的
[2325.20-2325.98] 选择
[2325.98-2328.78] 所以当你知道这一点的时候你再回过头来
[2328.78-2330.06] 看人生的话
[2330.06-2332.12] 那你不就是缓然大悟
[2332.12-2334.16] 反正我要是你我就缓然大悟
[2334.16-2335.96] 趁着你40岁还没到
[2335.96-2339.28] 俩人的那个精卵还都是有活力赶紧生吧而且这时候
[2339.28-2340.06] 这个时候生的
[2340.06-2343.14] 特别好比你们20岁的时候生的还好
[2343.14-2344.16] 调理调理
[2344.16-2346.72] 补充补充各种微量元素
[2346.72-2351.06] 吃点叶酸啊备孕之前男的女的都要吃啊吃叶酸吃三个月
[2351.06-2352.10] 然后
[2352.10-2354.90] 生一个漂亮的小宝宝聪明的小宝宝
[2354.90-2360.02] 然后生了第一个争取在一年到两年之内再生第二个
[2360.02-2362.08] 要生就连着生
[2362.08-2363.62] 这是经验之谈
[2363.62-2365.40] 生一个是最累的
[2365.40-2370.02] 如果你生两个到三个连着生你反而不累为什么
[2370.06-2371.34] 你养过狗吗
[2371.34-2373.38] 你养一只狗你得天天遛它去
[2373.38-2375.70] 你养两只狗它俩互相好
[2375.70-2379.54] 这就是真的是经验之谈你如果两个孩子之间
[2379.54-2381.06] 只差个两岁
[2381.06-2386.70] 他们俩之间自己玩的可好了就是像我们俩我们家那个老二老三
[2386.70-2392.58] 就基本上就不耗我们的精力自己玩自己两个去playroom自己玩一玩玩两个小时
[2392.58-2394.38] 过家家玩乐高啊
[2394.38-2395.40] 玩得很好的
[2395.40-2398.22] 所以你要是三个你是个小幼儿园小社会
[2398.22-2400.02] 他们还可以在这里边学一些social的课
[2400.06-2401.34] 功夫呢
[2401.34-2402.62] 对不对
[2402.62-2406.98] 孩子之间的矛盾大人尽可能不要参与
[2406.98-2409.02] 就是你是上帝不要干预人类
[2409.02-2413.38] 他们之间会慢慢的形成自己的矛盾解决方式
[2413.38-2415.94] 除了给他们定下规矩比如说绝对不能打脸
[2415.94-2417.98] 学了空手道之后
[2417.98-2422.08] 绝对不能使用在弟弟身上这都我们家老二干的事
[2422.08-2423.62] 学了跆拳道
[2423.62-2424.12] 我操
[2424.12-2425.66] 然后
[2425.66-2427.20] 在打架的时候
[2427.20-2429.24] 弟弟这儿眼角踢开了
[2429.24-2430.02] 二姐
[2430.02-2431.56] 咔一个高踢
[2431.56-2433.34] 我靠给弟弟
[2433.34-2434.12] 来这儿
[2434.12-2435.14] 这个时候就必须
[2435.14-2436.16] 接住了
[2436.16-2437.96] 绝对不可以干这个
[2437.96-2438.98] 让你学
[2438.98-2441.80] 跆拳道是为了强身将健体
[2441.80-2443.58] 保护弟弟而不是打弟弟
[2443.58-2445.38] 听懂了没有听懂了
[2445.38-2446.66] 记住了没有记住了
[2446.66-2449.22] 然后之后真的就是再也没打
[2449.22-2450.24] 再也没有过
[2450.24-2452.54] 这个规矩是要大人定好的
[2452.54-2453.82] 之后你就不用管了
[2453.82-2456.64] 他们自己弄得好好的
[2456.64-2459.46] 好了今天也跟大家扯了个无聊的
[2459.46-2459.98] 45分钟
[2460.02-2461.82] 其实就跟大家聊聊天
[2461.82-2465.40] 也不要老是金融金融金融
[2465.40-2466.42] 生活
[2466.42-2467.44] 这个
[2467.44-2468.98] 感想
[2468.98-2470.00] 大家都可以交流
[2470.00-2471.02] 就像这个朋友一样
[2471.02-2473.34] 他有感想他就给我写出来信
[2473.34-2475.38] 我就跟大家交流交流
[2475.38-2477.18] 慢慢的我们形成这么一个
[2477.18-2478.46] 稳定的族群
[2478.46-2480.24] 我们这个族群不是为了割韭菜
[2480.24-2482.80] 而是我们这个生命和灵魂共同提升
[2482.80-2483.32] 好吧
[2483.32-2485.10] 记得点赞
[2485.10-2487.16] 这个评论
[2487.16-2488.94] 有利于我们频道推广
[2488.94-2489.46] 再见
[2490.02-2491.30] 拜拜
