[0.75-2.03] Hello 大家好
[2.03-3.35] 老王又来了
[1325.21-1326.37] 今天做完假账
[1326.37-1327.97] 明天就要举报他
[1328.01-1330.09] 同时应该做到如下这么几点
[1330.85-1331.65] 第一
[1331.69-1334.89] 开放财经评论类的媒体
[1335.17-1337.17] 全都让他们自由发言
[1337.21-1338.37] 上市公司评论
[1338.41-1340.65] 商业评论必须放开
[1340.69-1341.37] 这样的话
[1341.37-1343.29] 证监会的执法部门
[1343.57-1346.78] 才有线索可拿
[1347.02-1348.18] 这些犯罪分子
[1348.22-1350.10] 才怕灯光草苗到自己
[1350.70-1351.50] 第二
[1351.54-1352.74] 一旦有了线索
[1352.90-1354.02] 证监会的执法队
[1354.02-1356.62] 必须具有把人抓起来的权利
[1356.82-1360.06] 这个权利应该是跟公安部经侦一样的权利
[1360.94-1361.34] 这样改革呢
[1361.34-1362.46] 改革的中国股市
[1362.50-1364.38] 才是一个健康的中国股市
[1364.42-1366.82] 价值投资才能浮出水面
[1367.42-1369.74] 那么老王什么叫价值投资
[1369.94-1371.06] 你不要听刘继鹏
[1371.06-1372.78] 那个没出息的老帮菜
[1372.82-1374.18] 讲什么价值投资
[1374.22-1376.02] 他懂什么价值投资
[1376.22-1379.34] 他混到跟胡锡进讲价值投资
[1380.66-1381.90] 我这个脸都扫的
[1381.90-1383.10] 没有地方放
[1383.78-1385.06] 刘继鹏要不是他老婆
[1385.06-1386.30] 是刘恒如的秘书
[1386.34-1387.90] 他能有今天吗
[1388.94-1391.30] 研究股市快30年了
[1391.34-1392.98] 开股市那天起
[1393.02-1394.66] 季鹏就在研究股市
[1394.70-1396.82] 到今天坐在电视台上
[1396.86-1400.50] 跟胡锡进探讨中国A股的价值投资
[1400.70-1402.50] 完全说不到点上
[1404.59-1405.07] 丢人
[1406.23-1406.95] 汗颜
[1407.63-1410.15] 这个就是中国股市目前活跃着的
[1410.15-1411.43] 顶级专家的水平
[1412.87-1414.35] 收回来安慰安慰情绪
[1414.35-1414.99] 不骂季鹏了
[1414.99-1416.07] 季鹏也不容易
[1416.23-1417.67] 骂季鹏得罪人
[1417.71-1418.51] 不骂季鹏了
[1418.51-1419.63] 这不是今天的主题
[1419.63-1421.07] 他也没挣着什么钱
[1421.11-1422.71] 什么是价值投资
[1423.03-1424.03] 太简单了
[1424.35-1426.39] 五月散人老兄在日本
[1426.43-1428.19] 做的那20分钟那期小节目
[1428.19-1429.43] 其实就告诉你了
[1429.43-1430.19] 价值投资
[1430.51-1432.03] 价值投资就是
[1432.19-1434.19] 我选几个头部公司
[1434.27-1435.83] 我敢把我的退休金
[1435.87-1437.63] 从我的储蓄账户里拿出来
[1437.67-1439.67] 买了这几个头部公司的股票
[1439.67-1440.79] 我回家睡觉去
[1440.83-1441.67] 为什么
[1441.83-1443.47] 因为茅台给我分的红
[1443.47-1444.99] 中国石油给我分的红
[1445.03-1446.67] 建设银行给我分的红
[1446.71-1448.95] 每年现金6.2%
[1450.11-1452.83] 然后建行还每年给我
[1452.83-1454.31] 发贷金券
[1454.35-1456.83] 茅台还每年给我发贷金券
[1456.87-1458.55] 我有了茅台的贷金券
[1458.55-1459.75] 我可以拿这贷金券
[1459.75-1461.31] 去任何一个茅台柜台
[1461.35-1463.11] 当人民币买茅台盒
[1464.94-1466.70] 这个就叫价值投资
[1467.62-1468.78] 这个才能把
[1468.82-1470.46] 冻结在不敢消费
[1470.46-1471.18] 不敢投资的
[1471.18-1472.58] 尴尬池子里的天量
[1472.58-1474.14] 人民币引导出来
[1474.18-1476.42] 甚至可以把海外的资金
[1476.46-1477.74] 引导回中国
[1477.74-1480.42] 投资中国的3000点的股市
[1480.46-1481.90] 进行价值找寻
[1482.66-1483.98] 沪深100指数
[1483.98-1486.38] 沪深300指数的龙头企业
[1486.42-1488.58] 才真正能焕发出青春
[1489.82-1491.14] 诺打中国
[1491.18-1492.50] 14亿人口
[1492.78-1494.02] 聪明好学
[1494.02-1495.14] 踏实肯干
[1495.62-1496.98] 人人都想发财
[1496.98-1498.38] 人人都想赚钱
[1498.42-1500.02] 试问普天之下
[1500.06-1503.22] 上哪找这样好的人矿矿脉去
[1503.22-1506.62] 巴勒斯坦年轻人虽多
[1506.66-1508.14] 个个端着枪
[1508.18-1510.58] 要跟以色列拼个你死我活
[1510.62-1512.50] 重点不在工作上
[1513.98-1516.66] 奥奇哥全部都是卡特尔统治
[1516.70-1519.22] 越南连个发电厂都不够
[1519.26-1520.70] 高速公路都没有
[1520.74-1522.46] 印度14亿人
[1522.50-1524.26] 8亿都是废的
[1524.30-1526.02] 凝结核太多了
[1526.06-1528.42] 分分钟都有可能分崩离析
[1528.46-1530.14] 中国的生产制造
[1530.18-1531.46] 寄托供管事件
[1531.50-1533.74] 它的基础是非常好的
[1533.78-1536.98] 这一手好牌打到今天
[1538.02-1539.54] 你还怪我骂你们吗
[1539.58-1541.34] 你们这帮臭傻逼
[1551.21-1552.57] 所以你听老王
[1552.61-1553.33] 信口胡言
[1553.33-1554.49] 说了这些
[1554.53-1555.45] 你也就知道
[1555.49-1558.17] 在中国做价值投资是不可能的
[1558.45-1560.13] 我要的那几点
[1560.61-1562.77] 财经媒体的新闻自由
[1563.89-1565.81] 证监会的绝对执法权
[1566.33-1568.33] 上市公司的强制分红
[1568.37-1569.73] 审计评估作假
[1569.73-1570.85] 进入刑法
[1571.69-1572.81] 能做得到吗
[1573.05-1574.29] 谁能做得到
[1574.33-1576.05] 谁有兴趣做得到
[1577.41-1578.77] 这些东西做不到
[1579.25-1581.01] 就好比一个养鱼池
[1581.33-1583.05] 全是假鱼饲料
[1583.33-1585.17] 无论投进多少小鱼苗
[1585.21-1586.29] 等待他们的结果
[1586.29-1587.93] 一定是死得很难看
[1588.29-1591.21] 因为你不是个太平洋广袤的自然环境
[1591.29-1592.57] 这里的鱼苗
[1592.61-1594.13] 不能优胜劣汰
[1594.13-1595.01] 自然进化
[1595.05-1596.73] 长不出大鱼来
[1597.89-1599.69] 中国股市的价值投资
[1599.73-1600.97] 就是个伪命题
[1602.45-1603.21] 好了
[1603.25-1606.37] 昨天股市的价值投资的查疑备注
[1606.41-1607.89] 今天先做到这
[1608.13-1611.65] 以后我会详细的把A股的每一个细节
[1611.69-1612.97] 都展示给大家看
[1613.33-1614.29] 再见
