[0.05-1.93] 美国加州州长访华
[1533.74-1535.94] 美国白人和加拿大白人
[1535.94-1537.62] 对我们中国人实在是太热门了
[1537.78-1538.98] 太好了
[1538.98-1540.34] 完全没有戒备
[1540.34-1542.26] 完全没有戒心
[1542.26-1544.86] 完全没有歧视
[1544.86-1546.34] 他对我们的好
[1546.34-1547.70] 是发自基因里的好
[1547.70-1550.58] 真的是二战的飞虎队的那种好
[1550.58-1554.82] 他对我们中国人比对日本人和俄罗斯人要好得多的多
[1554.82-1556.14] 你看他虽然喜欢日本
[1556.14-1557.34] 虽然尊重日本
[1557.34-1559.82] 但是老白男跟日本人之间基本上不交心
[1559.82-1563.58] 但是他们跟中国人会交心的
[1563.58-1565.50] 跟俄国人就更不要提了
[1565.50-1567.22] 他们天生就
[1567.22-1569.46] 跟俄罗斯尿不到一个壶里
[1569.46-1571.66] 俄国人跟他们这个圈子
[1571.66-1573.46] 这一点是刘仲敬不知道的
[1573.46-1574.06] 刘仲敬说
[1574.06-1577.46] 俄罗斯人很容易进入到西方主流社会
[1577.46-1578.38] 他完全不懂
[1578.38-1583.54] 他还是躲在他颅内脑补的
[1583.54-1588.42] 俄罗斯人很难进入美国的真正的主流
[1588.42-1589.70] 他只要说是俄罗斯裔
[1589.70-1591.74] 这些人天生会排斥的
[1591.74-1594.42] 昂格鲁萨克逊和德意天生会排斥俄裔
[1595.74-1596.02] 这
[1596.02-1597.18] 这什么
[1597.22-1597.66] 道理
[1597.82-1600.74] 可能是不是中国人会排斥河南人是一个道理
[1600.74-1602.22] 就是离得近了吧
[1602.22-1604.34] 可能是反正那个就是这样
[1605.34-1607.18] 讲到这儿大家特别开心
[1607.50-1609.26] 午餐的时候我就跟他们讲
[1609.62-1613.26] 我说丹佛和我们中国是有一个缘分的
[1613.98-1615.46] 那些老外就说什么缘分
[1617.10-1618.62] 我说你们城市有一个酒店
[1618.62-1620.42] 叫brown palace hotel
[1620.42-1621.10] 对不对
[1621.86-1623.62] 有些丹佛的人知道
[1623.62-1625.82] 不是丹佛本地的老外不知道的
[1625.82-1627.06] 西雅图这两个老外
[1627.06-1628.62] 就不知道什么
[1628.62-1630.70] 你怎么知道这有一个老酒店呢
[1630.70-1632.10] 我说这个酒店100多年历史
[1632.10-1634.62] 我说这个酒店我为什么知道
[1635.50-1637.86] 因为在1911年之前
[1637.86-1640.74] 中国政府是清朝满洲人
[1642.02-1644.26] 1911年在武昌打响了
[1644.66-1645.94] 来克星顿的枪声
[1645.94-1650.46] 打响了中国推翻满洲独立的第一枪
[1651.86-1654.62] 那一枪是1911年10月10号打响
[1655.26-1656.34] 而那一天
[1656.34-1656.46] 中国人打响了一枪是1911年10月10号打响了
[1656.46-1656.82] 而那一天中国人打响了一枪是1911年10月10号打响了
[1656.82-1658.86] 中国第一任的总统
[1659.78-1662.38] 孙中山先生就住在这个酒店里
[1663.10-1665.22] 我老外眼睛都瞪大了
[1665.22-1665.86] 为什么
[1665.86-1668.54] 然后他回去了吗
[1668.54-1670.18] 我说他知道这个消息
[1670.18-1671.62] 还是在酒店喝咖啡
[1671.62-1672.50] 吃早餐的时候
[1672.50-1674.42] 酒店的服务员告诉他的
[1675.34-1676.22] 孙中山
[1676.58-1677.94] 你们革命成功了
[1677.94-1679.14] 他们正在找你
[1679.38-1680.70] 抓人行李就跑
[1680.74-1682.94] 从伦敦走那边回到中国
[1683.38-1685.22] 回去之后就变成了中国总统
[1685.58-1686.58] 他为什么
[1686.82-1688.34] 在丹佛住着呢
[1688.70-1690.30] 因为这有金矿银矿
[1690.34-1691.22] 挖金矿
[1691.22-1693.34] 挖银矿的大量的中国劳工
[1693.78-1694.62] 资助他
[1694.94-1697.74] 那个时候中国矿工手里是有钱的
[1697.78-1698.82] 有金沙
[1698.82-1700.10] 他们直接给老孙
[1700.10-1701.62] 老孙拿上这个钱
[1701.62-1702.94] 就是革命的经费
[1703.42-1704.66] 棕色皇宫酒店
[1704.70-1706.58] 是对中国革命的
[1706.82-1708.34] 重要的一个细节
[1709.98-1711.06] 听说这个说
[1711.18-1712.50] 王你想不想去看房间
[1712.50-1713.74] 我说当然想去了
[1713.86-1715.54] 那个房间已经不开放了
[1715.54-1716.22] 你等着
[1716.22-1717.42] 打电话
[1717.78-1718.86] 然后我去
[1719.86-1721.10] 不让拍了酒店
[1721.10-1722.14] 100多年历史
[1722.14-1724.10] 真的就跟美国大片
[1724.10-1725.10] John wicker
[1726.10-1728.70] 我不知道中文翻译大片一模一样
[1728.70-1730.02] 那边的周杰伦一模一样
[1730.02-1732.02] 那里边有一叫key keeper
[1732.82-1735.42] 那个人是干了祖孙三代
[1735.42-1736.22] 在那个酒店
[1736.22-1739.14] 他的扮演的角色就是保存钥匙
[1739.14-1741.02] 那个酒店所有房间的钥匙
[1741.02-1741.98] 都在他手里
[1743.78-1746.94] 这个人叫Issac Jackson先生
[1746.94-1747.34] 就是我
[1747.34-1748.70] 一会给大家放视频
[1748.70-1749.46] 我拍的不好
[1749.46-1750.90] 因为这个也不好
[1750.90-1751.78] 是对意思
[1751.78-1753.06] 对人家的脸拍
[1753.06-1754.58] Issac同意我拍之后
[1754.58-1757.86] 我就尽可能的把手机稍微歪一点拍
[1757.86-1759.50] 所以看的可能不太清楚
[1759.50-1761.50] 那个粉衣服的老外
[1761.50-1762.46] 就是Issac
[1763.54-1765.02] Issac Jackson先生
[1765.70-1769.54] 亲自领我去到孙中山先生的房间
[1769.70-1771.54] 打开孙中山先生的房门
[1771.54-1772.46] 让我们进去
[1772.46-1774.62] 他的酒店的签名的记录
[1775.34-1776.50] 拍摄照片
[1776.50-1777.22] 然后下来
[1777.22-1778.22] 在大堂
[1778.22-1780.86] 在孙中山先生坐着的那个位置
[1781.54-1784.26] 喝了一杯孙中山先生喝的咖啡
[1785.78-1786.90] Issac说不收钱
[1786.90-1787.54] 我说不行
[1787.54-1789.02] 你可以不收钱
[1789.02-1790.06] 但是小费必须给
[1790.06-1790.46] 记住
[1791.30-1792.78] 必须给小费
[1793.02-1795.58] 我们放了30美元的小费
[1798.36-1799.36] 不能太多
[1799.60-1800.64] 也不能太少
[1801.32-1803.12] 主人家不收你咖啡费
[1803.12-1804.24] 是给你面子
[1805.40-1808.28] 但是你要留下比咖啡费更高的小费
[1808.28-1809.52] 是你还他面子
[1809.56-1814.16] 这才是你融入主流文明要使用的语言
[1814.16-1815.92] 你不要把自己当成弱者
[1815.92-1817.72] 占人家的便宜去
[1817.72-1819.32] 你占人家的便宜
[1819.32-1821.80] 你就永远只能被人家恩赐
[1821.80-1824.48] 你永远成不了主流的一员
[1824.48-1828.57] 我们喝完茶
[1828.57-1830.57] 就回了温哥华
[1830.57-1833.90] 我在飞机上感受
[1833.90-1837.78] 对孙中山先生到底怎么定位呢
[1837.78-1840.66] 一方面我们知道
[1840.66-1843.74] 孙先生的个人小节
[1843.78-1846.18] 显然并不完美
[1846.18-1848.38] 他娶了宋美龄
[1848.38-1850.02] 他娶了宋庆
[1850.02-1852.22] 他娶了宋庆龄
[1852.22-1855.62] 宋庆龄可是他哥们的闺女
[1855.62-1856.58] 第二
[1856.58-1859.14] 实话说
[1859.14-1862.74] 那个酒店是丹佛最豪华
[1862.74-1864.26] 最奢侈的酒店
[1864.26-1867.02] 孙先生住在那个酒店里
[1867.02-1869.18] 一住就是好长时间
[1869.18-1871.58] 我们如何评价这种行为呢
[1871.58-1873.74] 究竟是什么
[1873.78-1876.34] 是作为一个中国未来的总统
[1876.34-1878.90] 他应该有的牌面
[1878.90-1884.02] 还是他在挥霍捐赠人的资金呢
[1884.02-1886.06] 如果是后者
[1886.06-1888.38] 当时的那些矿工们
[1888.38-1889.90] 洗衣工们
[1889.90-1892.22] 离酒店并不远
[1892.22-1893.74] 很多洗衣房
[1893.74-1897.34] 华人餐厅老板就在酒店周围开生意
[1897.34-1899.38] 他们知道孙先生住在里面
[1899.38-1902.18] 他们为什么心甘情愿地把钱给孙先生
[1902.18-1903.22] 让他在里面挥霍呢
[1903.22-1912.98] 他们为什么不像今天的中国人一样骂他呢
[1912.98-1914.78] 老王心里面有自己的答案
[1914.78-1918.69] 但是我更想听听你们的答案
[1918.69-1921.49] 孙先生拿到了这样的牌
[1921.49-1924.05] 拿着这些经费
[1924.05-1926.11] 蹭到了辛亥革命的热度
[1926.11-1928.93] 事实证明他也不知道辛亥革命的那个事
[1928.93-1930.97] 跟他有什么关系
[1930.97-1933.01] 回到了中国
[1933.01-1935.33] 在日本人的力挺下
[1935.33-1938.13] 当了第一任大总统
[1938.13-1939.17] 他的行为
[1939.17-1940.45] 究竟
[1940.45-1942.25] 对我们中国的民主
[1942.25-1943.27] 共和
[1943.27-1946.33] 产生了至关重要的积极作用
[1946.33-1948.39] 还是如
[1948.39-1950.43] 后世的历史学家
[1950.43-1951.97] 批判他那样
[1951.97-1954.01] 认为他是个大炮呢
[1954.01-1955.55] 我希望
[1955.55-1957.35] 我带给大家的信息
[1957.35-1959.39] 我的所有的亲身经历
[1959.39-1960.93] 让大家产生思索
[1960.93-1963.49] 最后有个彩蛋
[1963.49-1965.79] 一会我放小片里面
[1965.79-1967.85] 有一个弹钢琴的人
[1967.85-1969.13] piano player
[1969.17-1971.21] 那个弹钢琴的老先生
[1971.21-1976.09] 在那个酒店的大堂里弹了36年的钢琴
[1976.09-1978.13] 他说我是被stuck在这的soul
[1978.13-1980.17] 我是被卡在这的一个灵魂
[1980.17-1983.15] 一会你们看
[1983.15-1986.73] 好了希望今天的视频能给大家带来
[1986.73-1987.77] 思考
[1987.77-1989.05] 与知识
[1989.05-1990.07] 跟着老王的
[1990.07-1990.83] 视角
[1990.83-1993.13] 探索这个世界
[1993.13-1994.41] 体会人生
[1994.41-1995.19] 再见
[2012.70-2014.50] ok right there
[2014.50-2016.80] Jackson the keeper
[2016.80-2019.62] See you talk to the right people
[2019.62-2025.15] We're so lucky
[2025.15-2026.43] 弟兄们
[2026.43-2028.73] 这是孙中山酒店
[2028.73-2029.51] 前面带
[2029.51-2031.55] This place
[2031.55-2032.33] Yes
[2032.33-2034.63] It's pretty remarkable
[2034.63-2036.41] Yes
[2036.41-2037.45] Thank you so much
[2037.45-2041.03] We're so lucky
[2041.03-2070.86] 孙先生的房间
[2070.86-2072.90] We have some equipment to dry it out
[2073.46-2074.48] You'll see the room
[2074.48-2076.54] Ok
[2076.54-2078.84] 人家正在打扫卫生
