[0.08-3.48] 哈喽 大家好 德云二哥又来了
[3.48-5.48] 今天继续跟大家白话
[1332.31-1334.31] 他是不是提前准备了个汤勺
[1334.31-1335.31] 绝不是
[1335.31-1337.31] 因为汤勺是相恶情的汤勺
[1337.31-1339.31] 王林也不可能坐个飞机
[1339.31-1341.31] 提前把相恶情汤勺准备好
[1341.31-1342.31] 而且在相恶情吃饭
[1342.31-1343.31] 是王贵亚请客
[1343.31-1344.31] 建行请客
[1344.31-1346.31] 建行定点的在相恶情
[1346.31-1348.31] 那顿饭都不是我安排的
[1348.31-1349.31] 王永红也不知道
[1349.31-1350.31] 提前要在那吃饭
[1350.31-1352.31] 所以不可能提前准备汤勺
[1352.31-1354.31] 这个东西就是存在的
[1354.31-1355.31] 你看matrix
[1355.31-1356.31] 就是黑客帝国
[1356.31-1358.31] 就有这个细节
[1358.31-1360.31] 尼尔进了一个房间
[1360.31-1361.31] 那个房间里边
[1361.31-1365.31] 有好多小孩正在培养超能力
[1365.31-1367.31] 其中有一个小孩就拿个勺
[1367.31-1370.31] 然后尼尔就也拿这个勺想练
[1370.31-1371.31] 然后那小孩说
[1371.31-1372.31] 你想他没有勺子
[1372.31-1373.31] 他就弯了
[1373.31-1375.31] 你要搓了半天的勺子也弯不了
[1375.31-1377.31] 一模一样
[1377.31-1380.31] 这只是开刚刚开始
[1380.31-1381.31] 刚刚开始
[1381.31-1384.68] 然后张传斌不信
[1384.68-1386.68] 张传斌不信
[1386.68-1388.68] 张传斌是什么人
[1388.68-1389.68] 传生统的传
[1389.68-1390.68] 文武斌
[1390.68-1392.68] 张传斌是王贵亚的铁杆
[1392.68-1393.68] 马仔
[1393.68-1394.68] 左膀右臂
[1394.68-1397.68] 大家可以扩展阅读张传斌
[1397.68-1398.68] 看老王的东西
[1398.68-1399.68] 密度能量密度太大
[1399.68-1403.68] 所以你没有一般的知识积累的
[1403.68-1404.68] 你接不住的
[1404.68-1407.68] 你百度或者谷歌张传斌
[1407.68-1409.68] 建行建营国际张传斌
[1409.68-1411.68] 你又能得到很多很多故事
[1411.68-1412.68] 因为他进去了
[1412.68-1413.68] 他出事了
[1413.68-1415.68] 亡灵给大家变
[1415.68-1417.68] 说我可以让我的气血
[1417.68-1419.68] 随意的运动
[1419.68-1420.68] 你们看着
[1420.68-1421.68] 我让我所有的血液
[1421.68-1423.68] 流到我左半脸
[1423.68-1424.68] 左半身
[1424.68-1428.41] 而我的右半身不会
[1428.41-1429.41] 一会儿亡灵这儿
[1429.41-1431.41] 就像一个狼人一样
[1431.41-1434.41] 左边左半的脸通红通红
[1434.41-1436.41] 就像喝酒完全喝醉的那种红
[1436.41-1439.41] 右边就像死人一样是白色的
[1439.41-1441.41] 他做成这样
[1441.41-1444.41] 然后张传斌不是不信吗
[1444.41-1445.41] 张传斌
[1445.41-1448.41] 你去站在桌子那边去
[1448.41-1449.41] 你扭过去
[1449.41-1450.41] 张传斌你扭过去
[1450.41-1452.41] 背对着桌子
[1452.41-1455.41] 亡灵还在自己这个座位上坐着
[1455.41-1459.20] 这么对着张传斌的后背
[1459.20-1460.20] 背影来了三下
[1460.20-1462.20] 他们俩离是至少5米远
[1462.20-1464.20] 因为隔着一个大桌子
[1464.20-1465.20] 然后王贵雅说
[1465.20-1467.20] 您在干什么
[1467.20-1470.20] 因为当时我们都怕
[1470.20-1472.20] 亡灵隔空拍死张传斌
[1472.20-1473.20] 因为大家都害怕了
[1473.20-1475.20] 然后说你扭过来吧
[1475.20-1476.20] 大家就问了
[1476.20-1477.20] 说传斌贵雅说传斌
[1477.20-1478.20] 你刚才感觉到什么
[1478.20-1480.20] 我感觉到他拍了我三下
[1480.20-1482.20] 真的没有人拍的
[1482.20-1483.20] 真的没有人拍的
[1483.20-1487.20] 这个时候大伙的寒毛都竖起来了
[1487.20-1489.77] 吃完饭
[1489.77-1490.77] 这里边还有一些小的戏法
[1490.77-1491.77] 我就不多讲了
[1491.77-1493.77] 你们都从网上看到
[1493.77-1494.77] 吃完饭
[1494.77-1497.77] 大家一起去昆仑饭店
[1497.77-1500.77] 亡灵的房间
[1500.77-1501.77] 这一路上
[1501.77-1502.77] 王永宏就来劲了
[1502.77-1503.77] 开始打电话摇人
[1503.77-1505.77] 摇来谁了呢
[1505.77-1508.77] 摇来了吴关正的生活秘书
[1508.77-1512.77] 吴关正生活秘书的老婆两口子
[1512.77-1514.77] 唐市长
[1514.77-1516.77] 和秦秘书长
[1516.77-1518.77] 摇来了这4个人
[1518.77-1519.77] 因为唐市长当时没走
[1519.77-1520.77] 在北京等着呢
[1520.77-1522.77] 唐市长秦秘书长
[1522.77-1524.77] 吴关正的生活秘书小两口
[1524.77-1526.77] 然后我
[1526.77-1528.77] 王林
[1528.77-1529.77] 王永宏
[1529.77-1530.77] 这么几个人
[1530.77-1531.77] 到房间聚齐
[1531.77-1533.77] 一大屋子人
[1533.77-1535.77] 然后生活秘书露了个头
[1535.77-1536.77] 下午首长找他有事
[1536.77-1537.77] 他走了
[1537.77-1539.77] 他哈尔滨记得特别漂亮的美女
[1539.77-1540.77] 特别漂亮
[1540.77-1542.77] 因为当时我很帅
[1542.77-1543.77] 特别的帅
[1543.77-1544.77] 老王当时
[1544.77-1545.77] 30岁吧
[1545.77-1546.77] 也就
[1546.77-1547.77] 哎呦
[1547.77-1548.77] 那个美女就坐我旁边
[1548.77-1549.77] 哎呦
[1549.77-1550.77] 搞得我心圆一码的一起看王林遍
[1550.77-1551.77] 遍莫术
[1551.77-1556.28] 在135是个套间商务套房
[1556.28-1557.28] 中间呢
[1557.28-1558.28] 有一大桌子
[1558.28-1559.28] 大家围着桌子坐下了
[1559.28-1561.28] 王林呢
[1561.28-1563.28] 就拿了一个杯子
[1563.28-1564.28] 就是房间里
[1564.28-1566.28] 那个昆仑饭店房间里的白色茶杯子
[1566.28-1569.28] 他拿那个旁边那个餐巾纸啊
[1569.28-1572.28] 他盖到了那个杯子口上
[1572.28-1574.28] 然后第一个就问我
[1574.28-1575.28] 他说
[1575.28-1576.28] 小王总
[1576.28-1578.28] 您平时喝酒吗
[1578.28-1579.28] 我说当然喝了
[1579.28-1580.28] 他说你喜欢喝什么
[1580.28-1582.28] 我说我喜欢喝茅台
[1582.28-1583.28] 白的我喜欢喝
[1583.28-1584.28] 他说好
[1584.28-1589.60] 口中念念有词
[1589.60-1591.60] 对着那个画了个十字
[1591.60-1595.60] 我就看见那个白色的餐巾纸
[1595.60-1598.60] 冒出来的一股哈气
[1598.60-1601.60] 然后他一拽这个纸
[1601.60-1603.60] 满满一杯的白酒
[1603.60-1605.60] 我不知道什么时候来的
[1605.60-1607.60] 那个酒杯就在我的面前
[1607.60-1609.60] 一杯白酒
[1609.60-1613.60] 然后叫他的小徒弟多找几个杯子
[1613.60-1618.60] 然后就小徒弟去里面的冰箱和厨子里面拿了很多杯子出来
[1618.60-1620.60] 每个人面前放了个杯子
[1620.60-1623.60] 把他的空杯子里面那个白酒倒到了我的杯子里
[1623.60-1626.60] 满满一杯白酒香香的
[1626.60-1630.60] 下一个下一个就是那个哈尔滨大美女
[1630.60-1631.60] 美女
[1631.60-1633.60] 你喜欢喝什么
[1633.60-1635.60] 王李一见了美女眼睛就亮了
[1635.60-1636.60] 你喜欢喝什么
[1636.60-1638.60] 美女说我喜欢喝红酒
[1638.60-1639.60] 我喝不了白的
[1639.60-1641.60] 好吧我给你变红酒
[1641.60-1642.60] 他没费劲啊
[1642.60-1643.60] 还是他这个杯子
[1643.60-1645.60] 就当着大概就这个距离
[1645.60-1647.60] 我眼睛他的杯子
[1647.60-1649.60] 美女就这个距离
[1649.60-1651.60] 红酒来他说红酒来
[1651.60-1654.60] 我看着那个红酒在他的白色瓷杯里出来
[1654.60-1657.60] 就我肉眼看着凭空出来
[1657.60-1659.60] 倒了一大杯红酒给美女
[1659.60-1660.60] 然后下一个唐市长
[1660.60-1662.60] 唐市长那时候已经傻了
[1662.60-1663.60] 完全傻了
[1663.60-1665.60] 唐市长你要喝什么
[1665.60-1666.60] 我也有白酒
[1666.60-1668.60] 白酒来一杯
[1668.60-1669.60] 清明上白酒来一杯
[1669.60-1671.60] 王贵样白酒来一杯
[1671.60-1672.60] 全傻了
[1672.60-1674.60] 王永红那时候嘚瑟
[1674.60-1675.60] 哎呦嘚瑟
[1675.60-1676.60] 真的是白酒
[1676.60-1678.60] 还真的是酱香味
[1678.60-1679.60] 变完
[1679.60-1681.60] 开始弄蛇
[1681.60-1685.60] 王丁说哎我们应该先变蛇后变酒的
[1685.60-1686.60] 因为蛇怕酒
[1686.60-1690.60] 所以我要这个我要费很大的功夫的
[1690.60-1693.60] 让他的小徒弟去昆仑饭店后厨
[1693.60-1695.60] 借了一个大铁盆
[1695.60-1697.60] 特别大的一个铁盆
[1697.60-1700.60] 他拿了一个
[1700.60-1702.60] 就是饭店房间
[1702.60-1706.60] 咖啡杯下边小拖叠
[1706.60-1708.60] 放在地毯上
[1708.60-1711.60] 又拿餐巾纸做了一个鸟
[1711.60-1714.60] 然后一打火机打着那个鸟
[1714.60-1715.60] 就像一个香一样
[1715.60-1718.60] 放到小碟上拿大盆一扣
[1718.60-1720.60] 然后围着盆走
[1720.60-1722.60] 念咒走走走走走走走
[1722.60-1723.60] 念咒
[1723.60-1724.60] 割空话
[1724.60-1725.60] 进
[1725.60-1726.60] 然后就进去了
[1726.60-1727.60] 然后就问那个美女
[1727.60-1729.60] 美女你喜欢什么小动物
[1729.60-1731.60] 美女之前没看过王林表演
[1731.60-1733.60] 说我喜欢小白兔
[1733.60-1736.60] 好啊那你伸手进去看能不能摸出小白兔来
[1736.60-1737.60] 那美女没上当
[1737.60-1739.60] 得亏没伸手进去
[1739.60-1741.60] 因为里边全是蛇
[1741.60-1743.60] 我们也都不敢伸手
[1743.60-1744.60] 就觉得这事挺玄
[1744.60-1747.60] 他不可能真有蛇吧
[1747.60-1748.60] 王林怕我们怀疑他
[1748.60-1750.60] 他可能职业素养很好
[1750.60-1752.60] 因为经常可能有人怀疑他
[1752.60-1754.60] 他他变之前脱了个大光榜子
[1754.60-1756.60] 就穿着个小裤小短裤
[1756.60-1757.60] 光着个大榜子
[1757.60-1758.60] 可热闹了
[1758.60-1760.60] 有人来疯的样子
[1760.60-1761.60] 他自己伸手进去
[1761.60-1762.60] 哗拽出来一条石子
[1762.60-1765.60] 哎呦那个就是那种草蛇
[1765.60-1767.60] 我他妈那时候傻逼
[1767.60-1768.60] 离他最近伸这个头
[1768.60-1770.60] 他夸就当个项链夸上
[1770.60-1771.60] 我当时就傻了
[1771.60-1772.60] 因为我特别怕蛇
[1772.60-1774.60] 北方人没有弄过蛇
[1774.60-1775.60] 哎呦黏黏的
[1775.60-1777.60] 凉凉的挂在那个脖子上
[1777.60-1778.60] 我一动都不敢动
[1778.60-1782.30] 不能再讲了
[1782.30-1783.30] 一晃时间到了
[1783.30-1784.30] 白护了半个小时了
[1784.30-1785.30] 哎呦
[1785.30-1787.30] 大家总是说四五十分太长了
[1787.30-1789.30] 这又又过时间了
[1789.30-1791.30] 本来说二十五分钟一期的
[1791.30-1792.30] 咱也卖个关子
[1792.30-1793.30] 预知后事如何
[1793.30-1794.30] 啪
[1794.30-1795.30] 窃听
[1795.30-1796.30] 下回分解
[1796.30-1799.30] 下回给大家填这么坑
[1799.30-1800.30] 第一
[1800.30-1802.30] 王林的这个魔术到底是怎么回事
[1802.30-1803.30] 第二
[1803.30-1806.30] 为什么王国亚看了王林就能信
[1806.30-1807.30] 第三
[1807.30-1810.30] 王国亚的建英国际到底挣了多少钱
[1810.30-1811.30] 第四
[1811.30-1815.30] 唐市长为什么会相信王林的说法
[1815.30-1817.30] 第五
[1817.30-1818.30] 不无聊啊
[1818.30-1819.30] 这事可不无聊
[1819.30-1821.30] 大家不要有罪恶感
[1821.30-1822.30] 哪有这么好的机会
[1822.30-1825.30] 参与这样的网上现实真人互动
[1825.30-1826.30] 还是大恶版的
[1826.30-1827.30] 大家明天啊
[1827.30-1828.30] 十个小时以后
[1828.30-1830.30] 这个翟山英又要直播了
[1830.30-1832.30] 大家去挖他的墙角
[1832.30-1833.30] 搬运他的粉丝
[1833.30-1835.30] 这个刺激刺激他
[1835.30-1837.30] 说翟主席
[1837.30-1839.30] 翟主席你为什么有的汽车呀
[1839.30-1841.30] 翟主席你是不是被王主席催眠了
[1841.30-1842.30] 翟主席
[1842.30-1844.30] 王主席说要六个月以后
[1844.30-1846.30] 六个月以后给你发船票啊
[1846.30-1847.30] 你害怕不害怕呀
[1847.30-1849.30] 坏可是法治社会呀
[1849.30-1850.30] 咱们刺激刺激他
[1850.30-1851.30] 吓吓他
[1851.30-1852.30] 多好玩啊
[1852.30-1853.30] 不丢人不丢人
[1853.30-1854.30] 我潜水
[1854.30-1855.30] 我得端着点
[1855.30-1857.30] 我现在也有点偶像包袱了
[1857.30-1859.30] 你们去干坏事啊
[1859.30-1860.30] 呦
[1860.30-1862.30] 刚才忘了扣扣了
[1862.30-1864.30] 嗯
[1864.30-1866.30] 再见
