[1.62-7.96] Hello,大家好,今天是老王日程非常爆满的一天
[1429.34-1429.38] 呃穿透了一次同温层
[1429.38-1429.50] 呃穿透了一次同温层
[1429.50-1429.58] 呃穿透了一次同温层
[1429.58-1429.78] 呃穿透了一次同温层
[1429.78-1431.98] 大家聊这些东西呢
[1431.98-1433.94] 本身也是我的一些
[1433.94-1436.14] 呃感悟和体会
[1436.14-1437.50] 就是我们中国人啊
[1437.50-1440.10] 呃无论在哪个世界生活
[1440.10-1442.50] 无论是在西方世界生活
[1442.50-1445.66] 还是在华夏大地生活
[1445.66-1447.82] 呃还是在日本东营土地上
[1447.82-1449.50] 台湾土地上生活
[1449.50-1451.22] 呃你只要是个Chinese啊
[1451.22-1452.98] 无论你这个中国是中华民国
[1452.98-1455.10] 还是中华人民共和国
[1455.10-1458.54] 还是文化意义上的中国
[1458.54-1459.74] 历史意义上的中国
[1459.74-1459.78] 历史意义上的中国
[1459.78-1466.38] 那你这个呃距离民主的呃都很远
[1466.38-1467.90] 距离民主的距离都很远
[1467.90-1469.98] 因为民主
[1469.98-1473.30] 呃人权这个这个概念
[1473.30-1476.74] 不是一个文化中国意义上存在的啊
[1476.74-1479.50] 就是传统中国是没有这个概念的
[1479.50-1482.06] 我们讲究传统中国讲究的是
[1482.06-1484.02] 君君臣臣父父子子
[1484.02-1486.26] 君要臣死臣不得不死
[1486.26-1488.38] 父要子王子不得不亡
[1488.38-1489.74] 这是我们在中国
[1489.74-1492.30] 传统经典上多次看到的
[1492.30-1496.42] 当然呃我们中国文化一向是二元悖论的
[1496.42-1499.94] 然后紧接着就会看到呃良臣
[1499.94-1502.02] 则主而世良鸟则母而弃
[1502.02-1503.98] 这也是在同一部经典上
[1503.98-1505.98] 也会反复出现的
[1505.98-1509.42] 所以但是无论是哪一个方面
[1509.42-1510.70] 辩证的哪一个方面
[1510.70-1512.46] 他都跟民主没有关系
[1512.46-1515.42] 都不会说呃君如果不配位
[1515.42-1517.22] 人民可以投票把他选下去
[1517.22-1522.86] 从来我从来没有在中国呃任何一个朝代的经典上看到过这种概念
[1522.86-1526.70] 这确实是西方的文明的进化瑰宝
[1526.70-1528.14] 我们要跟人家学习
[1528.14-1530.66] 要有一颗牵弓的心
[1530.66-1534.50] 这也是王志安在台湾那一期节目里边
[1534.50-1536.10] 其实他崴溺也好
[1536.10-1539.22] 他呃摔跟头也好
[1539.22-1543.98] 或者他进入漩涡中也好的真正的原因
[1543.98-1545.90] 就是他对于民主并没有敬畏的原因
[1545.90-1546.14] 就是他对于民主并没有敬畏的原因
[1546.14-1546.30] 就是他对于民主并没有敬畏的原因
[1546.30-1547.18] 就是他对于民主并没有敬畏的原因
[1547.18-1554.18] 他的位置心呃他过高的估计了自己的能力和自己的阅历
[1554.18-1556.74] 嗯我们所有的人都是没有投过票
[1556.74-1558.34] 也没有参与过民主的
[1558.34-1561.98] 所以台湾人作为文化中国意义上的这样的
[1561.98-1565.70] 离民主最近冲的最靠前的一波人
[1565.70-1568.18] 他们的经验和他们的教训
[1568.18-1571.82] 实际上是很宝贵和值得尊重和呃研究的
[1571.82-1574.90] 绝不是你在台湾走个10天
[1574.90-1576.26] 你就能懂人家
[1576.26-1578.30] 这20多年进化史的
[1578.30-1582.82] 所以如此戏谑和轻蔑的
[1582.82-1587.02] 把民进党的造势活动概括为劳民伤财
[1587.02-1588.82] 是否合适
[1588.82-1595.10] 呃是否呃真实嗯这个是要打问号的
[1595.10-1598.90] 呃因为我的水我不知道王哲安水平高到什么程度
[1598.90-1602.18] 但是作为我大老王的水平来说
[1602.18-1605.30] 我实在想不出来
[1605.30-1606.06] 作为一个
[1606.06-1609.50] 呃民主社会如果我是一个参政党
[1609.50-1615.46] 我无论是在加拿大温哥华竞选还是在台北竞选
[1615.46-1618.34] 我的第一反应都是开造势晚会
[1618.34-1621.18] 呃这个造势晚会一旦成熟
[1621.18-1626.14] 自然就会像王哲安描述的那样有主持人有明星
[1626.14-1629.26] 呃甚至有一些催票的呃身上人士啊
[1629.26-1633.50] 或者我们的一些支持者社会各界的各界的支持者推上来
[1633.50-1635.18] 有代表性的
[1635.18-1636.02] 我只能
[1636.06-1637.94] 难道不应该这样做吗
[1637.94-1639.66] 难道有更好的办法吗
[1639.66-1643.10] 有句话叫不破不立先立后破
[1643.10-1645.90] 不立不破应该是啊不立不破先立后破
[1645.90-1649.78] 如果你把它破了你又不知道该说什么难道呃
[1649.78-1653.62] 中国共产党在华夏大地上那套体制更好吗
[1653.62-1655.06] 那你王正安为什么出来呢
[1655.06-1656.50] 我大老王为什么出来呢
[1656.50-1658.18] 就是因为他体质不好
[1658.18-1661.70] 我们被冤枉了被欺负了都没有地方说理去
[1661.70-1665.18] 所以呢我们才希望有法治有民主
[1665.18-1669.82] 那当我们华人真的有了法治有了民主之后呢
[1669.82-1672.82] 我们又说啊你们这个民主没机没意思
[1672.82-1674.70] 我觉得我进错了片场
[1674.70-1677.10] 我进我看的是一场秀啊
[1677.10-1681.90] 这个有泪点有歌星啊有敲锣打鼓的
[1681.90-1684.30] 这个有群青激昂的这个没意思
[1684.30-1687.06] 这不是民主呃那什么是民主啊
[1687.06-1692.62] 嗯你告诉我王专你告诉我什么是民主呃王专
[1692.62-1695.78] 如果你是民进党的党魁也好
[1695.78-1698.16] 你是民众党的党魁
[1698.16-1702.12] 或者党内竞选的主管幕僚也好
[1702.12-1705.92] 那你去怎么设计这样的民主形式呢
[1705.92-1708.18] 你能说得出来一二三
[1708.18-1710.52] 那我们当然愿意洗耳恭听
[1710.52-1712.04] 如果你说不出来
[1712.04-1713.02] 你这是啊
[1713.02-1714.46] 拯救王毅安
[1714.46-1715.28] 你是这个的话
[1715.28-1716.50] 那你这个真的是
[1716.50-1718.76] 你栽根头不冤的
[1718.76-1723.16] 因为你在田野调查的过程中
[1723.16-1726.88] 在从事记者的行业过程中
[1726.88-1728.14] 打磨自己的
[1728.14-1729.24] 打磨克里斯之剑
[1729.24-1731.14] 打磨自己穿透社会的慧眼
[1731.14-1733.40] 你用前半生学会了
[1733.40-1735.18] 怎么去说话
[1735.18-1738.66] 但是我想我们出来之后
[1738.66-1740.92] 应该用后半生学会
[1740.92-1744.14] 不说什么话
[1744.14-1748.20] 这才是人生真正的进步
[1748.76-1750.24] 那昨天这个视频
[1750.24-1752.88] 第四个我说的要点
[1752.88-1754.08] 就是我建议王毅安
[1754.08-1756.84] 当然有人说我指导王毅安
[1756.84-1758.00] 建议指导
[1758.00-1760.78] 反正这个词意思是一样的
[1760.78-1763.48] 或者点拨或者提醒都可以
[1763.48-1765.46] 因为骂王毅安的就开始说
[1765.46-1766.88] 我说大老王你别提醒他呀
[1766.88-1768.30] 你别提醒这个孙子呀
[1768.30-1770.16] 然后挺王毅安就说
[1770.16-1771.90] 大老王你以为你是哪根葱
[1771.90-1773.18] 你他妈有什么资格
[1773.18-1775.98] 四万粉丝的指导一个一百万粉丝的
[1775.98-1777.82] 那好吧
[1777.82-1778.70] 我怎么觉得
[1778.70-1779.94] 我们是在打怪游戏
[1779.94-1782.12] 你一个四万战斗力的
[1782.12-1784.42] 你凭什么指导一个一百万战斗力的
[1784.42-1784.66] 好吧
[1784.66-1786.64] 指导也好
[1786.64-1788.18] 瞎逼逼也好
[1788.18-1791.08] 这个我觉得你应该道歉吧
[1791.08-1793.00] 这就是我的一个想法
[1793.00-1794.98] 就是我经常给大家道歉
[1794.98-1796.70] 在推特上在油管上
[1796.70-1797.60] 我经常给大家道歉
[1797.60-1799.30] 错了就道歉吧
[1799.30-1801.04] 我们中国人吧
[1801.04-1803.04] 就是文化中国人啊
[1803.04-1804.92] 不光是共产党中国的人
[1804.92-1808.10] 中国人最大的特点就是不道歉
[1808.70-1810.74] 死不认错
[1810.74-1811.94] 以共产党为代表
[1811.94-1813.26] 共产党就是伟光正党了
[1813.26-1815.98] 就是永远不会错的
[1815.98-1817.10] 天安门广场杀人了
[1817.10-1819.48] 没有没有不存在
[1819.48-1821.50] 呃迫害法轮功了
[1821.50-1824.54] 没有呃活摘器官了
[1824.54-1828.58] 扯淡擦怎么可能都是瞎编的
[1828.58-1832.22] 呃那是不是打击维吾尔人
[1832.22-1837.54] 把人给关到房子里去呃
[1837.54-1840.30] 关到房子里去上学一班去了
[1840.30-1841.34] 一派胡言
[1841.34-1842.30] 你到过中国吗
[1842.30-1847.62] 所以我们中国人就就是那个笑话吧
[1847.62-1849.34] 你有没有打老婆
[1849.34-1851.46] 那个你到过我们家吗
[1851.46-1852.66] 你了解我们家的形式吗
[1852.66-1855.14] 我问你有没有打老婆
[1855.14-1857.22] 没有呃不说
[1857.22-1859.98] 就是你有看到过打老婆吗
[1859.98-1863.10] 你怎么定义我打老婆这个方式为打呢
[1863.10-1867.02] 所以这个就是绕来绕去就不认错
[1867.02-1870.26] 呃麦子成熟了才能低下骄傲的头
[1870.26-1873.98] 不认错的根本原因是没自信
[1873.98-1878.30] 心虚心里边呢是空的啊
[1878.30-1880.18] 没有那么强大的内心
[1880.18-1883.66] 所以认错之后觉得自己又碎了
[1883.66-1887.90] 呃不打碎自己如何凤凰涅槃如何进步啊
[1887.90-1889.90] 打碎之后再重塑吗
[1889.90-1894.26] 呃赵本山说的话呃有错就改改了再犯
[1894.26-1897.86] 犯了再改改了再犯螺旋中前进吧
[1897.86-1900.22] 哎这话话糙理不糙
[1900.26-1904.06] 所以呢其实呃道歉也好认错也好
[1904.06-1906.42] 不是什么大事啊不是什么大事
[1906.42-1913.70] 该认就认该道就道
[1913.70-1917.22] 所以呢这个认错真的是没什么哎呀
[1917.22-1919.02] 认错就像处女魔
[1919.02-1922.54] 这个认了第一次之后以后就融会贯通
[1922.54-1925.22] 呃游刃有余了就经常认了
[1925.22-1927.74] 你看老王这个状态你就知道
[1927.74-1930.90] 这是我在油管上我还带着点social mask
[1930.90-1934.10] 我都这么认错这个
[1934.10-1934.86] 大家呢可以想想啊
[1934.86-1940.90] 想象一下我在生活中我在我们家这个呃得多么频繁的认错
[1940.90-1942.86] 我不是活的也挺好吗
[1942.86-1946.10] 所以所以这个认错啊
[1946.10-1950.14] 这个居然是居然是我们中国名人也好
[1950.14-1951.22] 大V也好
[1951.22-1952.90] 呃政治人物也好啊
[1952.90-1955.02] 经济上的这些大人物也好
[1955.02-1959.14] 呃认错居然是他妈的人生最大的挑战之一
[1959.14-1962.66] 我这这说起来都是悲哀我的
[1962.66-1963.82] 还有些
[1964.86-1968.38] 还有一些啊这就是跟我的观点没关系了
[1968.38-1970.06] 就是说一说观众的观点
[1970.06-1971.70] 仔细思考一下
[1971.70-1975.62] 大老王这个装逼贩子不是在中国敲鼓吸髓
[1975.62-1977.66] 挣了我们穷人的钱吗
[1977.66-1981.46] 他摇身一变到了自由世界就变成替我们说话了
[1981.46-1983.90] 是不是有机会共产党招安他
[1983.90-1988.54] 他还是第一时间会进继续回来敲鼓吸髓的
[1988.54-1990.54] 仔细思考
[1990.54-1991.30] 你有脑子吗
[1991.30-1992.62] 你个傻逼你仔细思考
[1992.62-1993.78] 你他妈先长出脑子来
[1993.78-1994.86] 你再仔细思考
[1994.86-1997.78] 你这都我都没法骂你都把我给搞笑了
[1997.78-1998.58] 我操
[1998.58-1999.22] 第一呢
[1999.22-2000.62] 我他妈敲鼓吸髓谁了
[2000.62-2002.74] 我操你得说出个道理来
[2002.74-2008.46] 呃我的本业啊嗯应该算是上市公司重组包装
[2008.46-2010.30] 然后卖给企业家
[2010.30-2011.98] 呃这玩意有点像捡破烂的
[2011.98-2013.90] 或者有点像二手车贩子
[2013.90-2017.82] 收来旧二手车从市场上捡回来这个旧车
[2017.82-2020.50] 呃东拼西凑的把这个零件装好
[2020.50-2022.86] 然后卖给这个新车主
[2022.86-2024.86] 从旧车主手里买过来卖给新车主
[2024.86-2027.02] 这是我的本行
[2027.02-2029.98] 呃如果我要是在这个过程中啊
[2029.98-2033.06] 呃用了假零件或者车毁人亡了
[2033.06-2034.46] 那你骂我应该的
[2034.46-2037.10] 但是我重组这么多次
[2037.10-2040.38] 最后大家看到每一次在卖车的过程中
[2040.38-2042.74] 我操身边的跟着起哄的
[2042.74-2043.78] 假秧子看热闹
[2043.78-2046.34] 老百姓全都翻了三倍五倍七倍
[2046.34-2048.62] 你操你这骂我
[2048.62-2049.58] 我他妈这么敲鼓
[2049.58-2051.34] 我这种敲鼓吸髓的
[2051.34-2052.98] 如果我这叫敲鼓吸髓的话
[2052.98-2054.46] 中国有一百万个
[2054.86-2055.98] 敲鼓吸髓的
[2055.98-2057.98] 那中国股市绝不是今天这个操心
[2057.98-2059.26] 我跟你们讲
[2059.26-2060.58] 你们这个傻逼我操
[2060.58-2061.66] 真他妈是个傻逼
[2061.66-2063.22] 活该你一辈子受穷
[2063.22-2064.58] 我他妈是招财猫体制
[2064.58-2068.18] 我这辈子我身边带出多少百万富翁千万富翁
[2068.18-2070.78] 甚至比我有钱的多的亿万富翁
[2070.78-2071.86] 十亿万富翁
[2071.86-2073.62] 哎呦和我他妈敲鼓吸髓
[2073.62-2076.22] 我哎你先长出脑子来吧
[2076.22-2076.78] 再说了
[2076.78-2078.58] 后来王永宏把车开沟里了
[2078.58-2080.18] 那跟我有什么关系啊
[2080.18-2081.54] 我他妈是二手车的
[2081.54-2082.70] 一手交钥匙
[2082.70-2083.82] 一手交钱
[2083.82-2084.98] 我们俩买定离手了
[2084.98-2086.86] 我又不是他董事会成员
[2086.86-2088.90] 我又不能掺和他公司运营
[2088.90-2090.70] 他把车开沟里了
[2090.70-2091.50] 嗯退市了
[2091.50-2093.22] 那跟我有个淡关系啊
[2093.22-2096.02] 反而是如果我没出国的话
[2096.02-2098.50] 你们还得寄希望我再回去
[2098.50-2099.42] 王永宏退市了
[2099.42-2101.14] 我还能给他再接回来的话
[2101.14-2102.98] 把他的壳盘不盘吗
[2102.98-2104.82] 老手串弄出煲浆来
[2104.82-2106.26] 我还能给他再卖一次
[2106.26-2107.78] 大家还有希望解套
[2107.78-2110.74] 否则的话你们就彻底完犊子啊
[2110.74-2113.78] 我操你们就是完全就是退市拉倒
[2113.78-2113.82] 嗯
[2113.82-2116.74] ,所以这就是什么思路呢
[2116.74-2118.62] 我操敲鼓吸髓
[2118.62-2122.58] 什么呃拿老百姓的这个血汗钱
[2122.58-2126.26] 利用这个权力盘剥人民
[2126.26-2129.70] 你们这你们这不是他妈的红卫兵的一套说辞
[2129.70-2131.94] 你们下一个动作就是把我捆起来
[2131.94-2132.90] 戴上高帽子
[2132.90-2137.22] 写上资资本家夸打红叉压出去枪毙了吗
[2137.22-2137.82] 操
[2137.82-2139.50] 你们这不就鸡巴的是
[2139.50-2143.78] 你们这帮要要搞我无产阶级革命搞我呀
[2143.78-2146.10] 你们去把别搞了
[2146.10-2147.90] 无产阶级革命都搞过了
[2147.90-2153.06] 1949年在华夏大地上把比我没钱的都搞过一次了
[2153.06-2157.70] 连他们有有家里有实目的都给搞了
[2157.70-2158.62] 你看结果呢
[2158.62-2161.06] 1979年你们先的开锅吗
[2161.06-2162.82] 操他们你们叫共同富裕了吧
[2162.82-2164.26] 你们叫共同贫穷
[2164.26-2167.70] 现在上面这个傻逼带着你们在走共同贫穷之路
[2167.70-2169.78] 历史他妈逼在重演
[2169.78-2173.74] 你们这帮大傻逼别以为把我们这样的人赶到国外来
[2173.74-2174.94] 你们就能富起来
[2174.94-2177.02] 1949年他们赶了一波了
[2177.02-2179.98] 我他妈说的那期节目好好去看看去
[2179.98-2181.42] 潦草的中国人
[2181.42-2186.74] 到他们1989年还家里什么都没有买东西还要票呢
[2186.74-2189.26] 你们吃饱了饭吃饱了几天
[2189.26-2192.34] 就以为他妈世界就是他妈无产阶级的了
[2192.34-2199.02] 你们正确的长脑子的办法应该是自己尽快变成不是无产阶级的小资产阶级
[2199.02-2200.74] 至少是中产阶级
[2200.74-2203.14] 你们他妈的下边有点立锥之地
[2203.14-2205.70] 上面有点遮头织瓦
[2205.70-2208.06] 你们才能知道礼义廉耻
[2208.06-2211.34] 才能真正的静下心来用脑子想
[2211.34-2214.22] 否则的话就是别人一鼓捣就就开始革命去了
[2215.22-2216.58] 我不怕你们骂我啊
[2216.58-2217.66] 我也不怪你们毛病
[2217.66-2220.34] 你们就是傻逼说这话的
[2220.34-2223.86] 傻逼这个词简直是为你们领了量身打造的
[2227.14-2227.34] 哎
[2227.34-2228.74] 我现在在大桥上了啊
[2228.74-2232.78] 我今天开车去码头
[2232.78-2233.14] 看看
[2233.14-2234.26] 我的船啊
[2234.26-2235.70] 这个好多天没去了
[2238.26-2240.22] 大家顺道聊聊天啊
[2240.22-2243.42] 没有什么正经事
[2243.42-2244.74] 就是跟大家聊聊天啊
[2244.74-2248.82] 如果大家想知道冷知识的话
[2248.82-2251.18] 我为什么冬天去船上呢
[2251.18-2253.06] 我把所有的这个房东都做好了
[2253.06-2255.42] 我忘了一件事
[2255.42-2257.42] 我跟大家说一句老王也崴移了
[2257.42-2258.38] 忘什么事
[2258.38-2262.78] 大家知道我在船上床上下一步在床上做直播啊
[2262.78-2264.10] 跟我老婆在船上做直播
[2264.10-2265.22] 你们就不质疑我了
[2265.22-2267.66] 那个我在船上做直播的时候
[2267.66-2270.78] 我后边不是摆着一堆那个意大利的那个起泡水吗
[2270.78-2272.90] 绿瓶的那种
[2272.90-2277.50] 我操我他妈的忘了把那水啊
[2277.50-2278.62] 从船上拿回家去了
[2278.62-2280.30] 这冬天呀
[2280.30-2281.38] 我觉得也没什么
[2281.38-2285.14] 结果前几天温哥华下大雪
[2285.14-2287.74] 晚上温度低到了零下十度
[2287.74-2290.30] 我去船上一看
[2290.30-2292.18] 我那个直播间啊
[2292.18-2292.54] 就跟
[2292.54-2294.90] 用手雷炸过一次一样
[2294.90-2295.18] 呃
[2295.18-2300.26] 我后边那一排绿色意大利起泡水全他们爆炸了
[2300.26-2300.58] 呃
[2300.58-2302.54] 酒一点事没有
[2302.54-2302.98] 呃
[2302.98-2304.66] 水也一点事没有
[2304.66-2305.54] 一拉罐
[2305.54-2306.42] 可乐呀
[2306.42-2307.30] 什么果汁啊
[2307.30-2308.66] 也都没事
[2308.66-2312.18] 只有玻璃瓶装的意大利起泡水
[2312.18-2314.22] 就跟手雷炸过一模一样
[2314.22-2315.46] 得亏是零下十度
[2315.46-2316.90] 炸完之后是固体
[2316.90-2320.54] 如果要是零度以上
[2320.54-2320.98] 哎呦
[2320.98-2322.50] 那我就完了
[2322.50-2324.58] 而且我这不幸中的万幸
[2324.58-2325.14] 呃
[2325.14-2327.14] 真的跟手雷爆炸的现场一样
[2327.14-2329.62] 没崩坏我的那个船舱玻璃
[2329.62-2330.54] 如果要崩坏了
[2330.54-2331.74] 船舱玻璃
[2331.74-2333.02] 这玻璃可不好配啊
[2333.02-2335.98] 因为它都是异形的那种特制的玻璃
[2335.98-2337.10] 钢化玻璃
[2337.10-2337.78] 所以呢
[2337.78-2339.54] 这就是呃
[2339.54-2340.78] 百秘一书啊
[2340.78-2342.30] 人人都有崴泥的事儿
[2342.30-2342.90] 呃
[2342.90-2344.62] 如果大家呃
[2344.62-2348.30] 有船或者有室外房车的一定要吸取我的教训
[2348.30-2349.70] 冬季过冬之前
[2349.70-2352.34] 里边有二氧化碳成分的
[2352.34-2353.18] 水
[2353.18-2355.70] 这一定不要放玻璃瓶的放到外头
[2355.70-2356.50] 它会爆炸的
[2356.50-2357.34] 呃
[2357.34-2359.18] 金属瓶就是一拉罐瓶没事
[2359.18-2360.46] 它因为它是铝的
[2360.46-2361.54] 它延展性很好
[2361.54-2362.18] 呃
[2362.18-2363.10] 塑料瓶也没事
[2363.10-2364.06] 酒也没事
[2364.06-2366.18] 因为酒的冰点非常低
[2366.18-2368.10] 它为什么爆炸了呢
[2368.10-2371.90] 就是因为它随着温度的急剧呃下降
[2371.90-2376.98] 它水里边包容二氧化碳的能力也急剧呃降低
[2376.98-2380.02] 这时候二氧化碳就会大量的吸出形成气体
[2380.02-2380.98] 就呃
[2380.98-2382.34] 气压就会变得非常大
[2382.34-2384.34] 然后它又是个玻璃瓶
[2384.34-2385.98] 玻璃瓶就呃
[2385.98-2386.66] 耐压值
[2386.66-2387.90] 它有一个法指
[2387.90-2389.30] 一旦过了那个法指
[2389.30-2390.06] 它就爆炸了
[2390.06-2390.82] 我就说法
[2390.82-2391.78] 我就不说玉
[2391.78-2392.38] 嘿嘿
[2392.38-2392.98] 呃
[2392.98-2394.90] 你们就不要再呃
[2394.90-2395.78] 处女座
[2395.78-2401.50] 这个这一个这法指这个就像板一样的非常形象
[2401.50-2402.98] 预知算个什么玩意儿
[2402.98-2404.90] 法法门一过
[2404.90-2405.78] 啪水就出来了
[2405.78-2407.38] 或者一关水就停了
[2407.38-2408.70] 法制过了之后呢
[2408.70-2411.74] 就就这个玻璃瓶的爆炸
[2411.74-2412.30] 就跟
[2412.34-2413.54] 手雷爆炸
[2413.54-2415.74] 又扑一下
[2415.74-2416.42] 而且呢
[2416.42-2418.06] 炸的稀碎
[2418.06-2419.66] 这个玻璃渣炸碎了
[2419.66-2425.14] 这玻璃渣最小的大概只有那个小米粒大小
[2425.14-2425.42] 哎呀
[2425.42-2427.34] 幸亏它是绿色的
[2427.34-2429.62] 如果它是白色的玻璃瓶的话
[2429.62-2431.42] 我就惨了
[2431.42-2433.22] 那你就掉到地毯上
[2433.22-2433.82] 崩到桌子上
[2433.82-2434.50] 你看不出来
[2434.50-2435.78] 它透明的呀
[2435.78-2436.78] 绿色的还行
[2436.78-2438.42] 它一个一个的小绿点
[2438.42-2438.94] 这样的话
[2438.94-2440.30] 我们就呃
[2440.30-2442.10] 慢慢的给它找找出来
[2442.34-2443.42] 早上伤害
[2443.42-2444.58] 就但既是这样
[2444.58-2446.90] 你看我手一个大口子能看出来
[2446.90-2448.14] 这都一个多星期了
[2448.14-2451.62] 这口子在这个位置还能看出来的
[2451.62-2455.46] 就是上星期气温骤降
[2455.46-2456.10] 这崴子泥
[2457.46-2458.70] 最后呢
[2458.70-2459.14] 呃
[2459.14-2459.62] 最后呢
[2459.62-2460.86] 跟大家请个假啊
[2460.86-2462.74] 今天呃
[2462.74-2465.06] 下午我要去出一趟门
[2465.06-2466.70] 我去趟西雅图
[2466.70-2468.50] 在西雅图住一晚上
[2469.62-2470.18] 嗯
[2470.18-2471.58] 明天呢
[2471.58-2472.30] 回温哥华
[2472.34-2473.90] 所以这中间呢
[2473.90-2475.10] 有可能断更
[2475.10-2475.54] 呃
[2475.54-2477.30] 因为我在西雅图的时候呢
[2477.30-2480.58] 我在外边没有那么好的网络条件
[2480.58-2480.78] 嗯
[2480.78-2483.26] 这又不不如人家呃专业的记者
[2483.26-2485.30] 人家在哪都可以做全球直播
[2485.30-2485.98] 但是我呢
[2485.98-2487.90] 就是我的这个网速呢
[2487.90-2488.90] 就跟不上
[2488.90-2489.70] 呃
[2489.70-2492.78] 我上传和编辑的条件也没有了
[2492.78-2493.26] 呃
[2493.26-2494.50] 我又不直播
[2494.50-2494.70] 呃
[2494.70-2495.82] 为什么不直播
[2495.82-2497.38] 就是因为呃
[2497.38-2500.66] 我们不能嘴跑在脑子前面
[2500.66-2502.14] 这就是我不直播的原因
[2502.34-2503.62] 呃
[2503.62-2505.66] 直播往往会说错话
[2505.66-2506.66] 无论你是什么人
[2506.66-2507.62] 呃
[2507.62-2509.82] 而你一旦有了社会影响力之后啊
[2509.82-2511.30] 你有了偶像包袱之后啊
[2511.30-2512.14] 呃
[2512.14-2513.74] 你这个话呃
[2513.74-2515.54] 是他是有毒的
[2515.54-2517.14] 如果你说了好话
[2517.14-2519.02] 当然他是有营养的
[2519.02-2521.54] 那你说了错话或者你说了坏话
[2521.54-2522.94] 呃
[2522.94-2524.50] 就流毒甚广啊
[2524.50-2525.46] 谬种流传
[2525.46-2526.70] 所以呢
[2526.70-2529.22] 我们不是专业记者
[2529.22-2532.10] 我们直播一定要慎之又慎
[2532.34-2533.70] 呃
[2533.70-2535.70] 这是我严谨的一面
[2535.70-2536.82] 所以我呢
[2536.82-2539.66] 一定会把我的录下来的东西
[2539.66-2541.82] 先导到电脑上
[2541.82-2543.98] 然后再从电脑上呢
[2543.98-2544.70] 呃
[2544.70-2546.50] 再呃
[2546.50-2550.06] 剪辑把我认为不满意的口误部分啊
[2550.06-2551.82] 或者呃
[2551.82-2554.02] 观点上啊
[2554.02-2556.58] 有可能误导别人世界观的问题
[2556.58-2557.42] 呃
[2557.42-2559.14] 价值观的不好的东西
[2559.14-2560.62] 我都给他剪掉
[2560.62-2561.26] 呃
[2561.26-2562.30] 这样的话呢
[2562.34-2564.02] 嘴在脑子后边
[2564.02-2564.42] 嗯
[2564.42-2566.14] 对我的观众朋友
[2566.14-2569.14] 对我的粉丝朋友们也是一种负责啊
[2569.14-2574.66] 这是因为我的水平还不到驾驭直播一个小时
[2574.66-2577.30] 完全可以做到无漏的环节
[2577.30-2578.86] 我没有这个能力啊
[2578.86-2580.10] 而且我的观众朋友呢
[2580.10-2582.94] 也并不是跟我天天生活在一起
[2582.94-2587.98] 肉身互相坦诚相见的这样的真实的朋友关系
[2587.98-2588.46] 所以呢
[2588.46-2591.86] 很容易出现断章取义啊
[2591.86-2592.90] 或者错漏
[2592.90-2594.86] 那这样的话就不好了
[2594.86-2596.02] 嗯
[2596.02-2597.66] 所以我去西雅图呢
[2597.66-2598.18] 我看吧
[2598.18-2600.46] 今天晚上我争取在西雅图呢
[2600.46-2601.46] 呃
[2601.46-2602.74] 吃顿
[2602.74-2603.78] 当地的特色啊
[2603.78-2605.06] 我也不知道当地有什么特色
[2605.06-2607.86] 因为我让西雅图本地的朋友介绍一下吧
[2607.86-2609.34] 那个吃顿当地的特色
[2609.34-2610.34] 这样的话
[2610.34-2612.26] 给大家录个吃播啊
[2612.26-2612.98] 我看我吃播
[2612.98-2614.02] 大家都挺喜欢的
[2614.02-2615.34] 嗯
[2615.34-2617.02] 取快递大家都挺喜欢的啊
[2617.02-2618.70] 所以我就给大家录一个什么呢
[2618.70-2621.14] 是不是日本料理还是鼎泰风呢
[2621.14-2622.98] 让我想想啊
[2622.98-2624.98] 嗯
[2624.98-2626.34] 行了
[2626.34-2626.94] 就这样吧
[2626.94-2628.10] 嗯
[2628.10-2629.82] 我这快到了
[2629.82-2630.18] 嗯
[2630.18-2632.14] 跟大家一路上聊聊天
[2632.14-2633.18] 嗯
[2633.18-2633.98] 呃
[2633.98-2635.70] 让大家放放松
[2635.70-2636.34] 哈哈
[2636.34-2637.30] 没有什么主题
[2637.30-2637.98] 今天啊
[2637.98-2639.78] 就是想哪扯哪
[2639.78-2641.78] 再见啊
[2641.78-2642.02] 呃
[2642.02-2643.06] 记得评论啊
[2643.06-2643.82] 嗯
[2643.82-2644.42] 可以骂
[2644.42-2645.42] 但是骂之前呢
[2645.42-2647.18] 最好过过脑子啊
[2647.18-2648.38] 呃
[2648.38-2650.34] 骂一些有营养的东西
[2650.34-2650.90] 呃
[2650.90-2653.18] 如果大家喷和骂的话
[2653.18-2653.78] 最好呢
[2653.78-2656.00] 在我们这个评论区呢
[2656.00-2659.42] 形成这样的大家的思想的碰撞交汇
[2659.42-2661.82] 这是我们中国人一定要学会的
[2661.82-2664.94] 其实当年中国有论坛的时候
[2664.94-2666.26] 已经有这个趋势
[2666.26-2667.10] 苗头后来嘛
[2667.10-2668.96] 共产党就给大家和谐了
[2668.96-2669.66] 这个和谐
[2669.66-2671.68] 这个这个真不是习近平开始的
[2671.68-2673.94] 只不过他他登峰造极了
[2673.94-2674.48] 和谐
[2674.48-2677.40] 我记得是这个词是非典时候就有了
[2677.40-2679.22] 就是20点以前就有了
[2679.22-2680.72] 我们那个时候老网民都知道
[2680.72-2682.04] 叫和谐啊
[2682.04-2683.84] 就是合理的螃蟹
[2683.84-2685.88] 就我们就讽刺和谐
