[0.56-2.16] Hello 大家好
[2.16-3.36] 再录一小段
[1233.16-1235.24] 如果川普跟普京尿了一个壶里去了
[1235.24-1237.68] 那你所有的拜登四年
[1238.20-1239.32] 你都是个拿性
[1239.60-1240.64] 就是个小插曲
[1241.76-1244.52] 所以这就是我的一些个人观点
[1244.52-1246.80] 所以你说的这些我都同意
[1246.80-1248.48] 什么尼奇哈利
[1249.12-1249.80] 尼克哈利
[1250.32-1251.24] 蓬佩奥更好
[1251.36-1251.96] 我都同意
[1251.96-1253.48] 但是这不是事实
[1253.48-1254.36] 就这么简单
[1254.36-1255.64] 这是你的情绪
[1255.68-1257.04] 你是翟总
[1257.04-1259.36] 所以谢谢你跟我的交流
[1259.36-1260.24] 路易斯先生
[1260.36-1261.24] 我们经常交流
[1261.24-1262.44] 我喜欢这样的来信
[1262.44-1263.60] 有理有据
[1263.60-1265.92] 然后跟我进行PK
[1265.92-1267.40] 进行挑战
[1267.40-1268.64] 进行辩论
[1268.64-1270.48] 我们也不是说谁赢谁输
[1270.48-1272.00] 就说谁更有道理
[1272.00-1274.04] 观众自然就会得到提升
[1274.04-1275.56] 这才是真正的干货
[1275.56-1277.68] 今天5万粉了
[1277.68-1278.88] 太开心了
[1278.88-1279.40] 5万粉
[1279.40-1280.92] 就不做专业的
[1280.92-1282.80] 以后我也飘了
[1282.80-1283.60] 5万粉
[1283.60-1284.52] 6万粉
[1284.52-1285.64] 这个4万粉了
[1285.64-1287.80] 5万粉我也没做专门的感恩
[1288.64-1289.28] 到10万
[1289.28-1291.24] 我这不是说好了跳一辆驰
[1291.92-1292.96] 我觉得没那么快
[1293.24-1294.76] 因为最后涨粉都一天100
[1294.76-1295.12] 200
[1295.12-1296.12] 这么涨到10万
[1296.12-1297.20] 掐指一算
[1297.20-1298.08] 到年底的事了
[1298.08-1299.64] 至少是夏天剩下
[1299.64-1301.08] 我又没那么多痛苦了
[1301.08-1301.76] 跳一跳
[1302.28-1303.12] 至于裸奔
[1303.12-1303.96] 你们别瞎说
[1303.96-1305.00] 我说的一再说
[1305.00-1306.00] 裸奔是百万粉
[1306.40-1309.88] 我做金融的做事多严谨
[1310.08-1310.92] 百万粉
[1310.92-1311.72] 不可能
[1311.72-1313.00] 我太清楚自己了
[1313.20-1314.04] 这就是什么
[1314.04-1315.60] 这就是求真
[1315.64-1317.20] 这就是严谨
[1317.20-1319.48] 真相就是达不了百万粉
[1319.48-1320.68] 就是华语
[1320.68-1322.28] 普通话观众就这么多
[1322.28-1326.08] 他不可能有100万的观众粉丝
[1326.08-1327.76] 去听我这样的内容
[1327.76-1329.72] 这就是我对自己的定位
[1329.72-1334.80] 我估计大概率就是三年稳定期之后
[1334.80-1336.12] 就是20万粉左右
[1336.12-1338.24] 就是10万20万之间
[1338.24-1340.28] 破20万粉都可能性不大
[1340.28-1341.40] 遑论百万
[1341.40-1343.20] 所以这个不是说我不努力
[1343.20-1344.36] 这是事实
[1344.36-1345.24] 这是数据
[1345.64-1348.80] 这是金字塔结构的人群决定了
[1349.00-1350.36] 如果我是个厨子
[1350.36-1351.72] 或者我是一唱歌的
[1351.72-1353.68] 或者我是一个什么
[1354.16-1355.80] 拍那些什么
[1355.80-1358.24] 就是那些抖音那种小视频的
[1358.68-1359.32] 百万粉
[1359.32-1360.32] 剪剪电影
[1360.32-1361.08] 讲电影了
[1361.08-1363.00] 百万粉是可以的
[1363.28-1364.52] 但是你讲实证
[1364.68-1365.36] 你讲金融
[1365.56-1367.20] 这确实就卡在这
[1368.56-1369.20] 拜拜
