[1.68-5.82] 哈喽,大家好,今天跟大家谈一期经济学的话题
[1332.14-1334.18] 朝拜周天子的仪式中
[1334.22-1335.38] 天子您同意吗
[1335.38-1336.66] 费用我们自己出
[1336.70-1337.38] 周天子说
[1337.38-1338.38] 我管不起你们犯
[1338.38-1339.10] 犯我们
[1339.10-1341.34] 我们齐国捐赠给你
[1342.62-1344.02] 我们齐国做赞助商
[1344.06-1345.34] 他周天子当然同意了
[1345.34-1345.94] 太好了
[1345.94-1346.74] 赶紧来吧
[1347.58-1350.22] 但是来必须拿个铜弓
[1350.26-1352.50] 和一块玉币
[1353.02-1357.06] 所以所有的诸侯都没有这块玉币
[1357.54-1358.62] 于是就去找
[1358.66-1359.90] 一到了殷礼发现
[1360.26-1361.30] 有个大城
[1361.34-1363.14] 打偷都不好使
[1363.14-1364.02] 只能买
[1364.06-1365.22] 管仲和齐桓公
[1365.22-1366.54] 已经把价格定好了
[1366.54-1368.74] 所有的人按照你们的爵位
[1368.74-1370.90] 带着周天子唯一授权的logo
[1370.90-1372.50] 价格都定的倍儿高
[1372.50-1374.30] 这些哥们们着急没办法
[1374.30-1375.34] 只好付钱
[1375.58-1378.22] 这一把刨了吃喝拉撒
[1378.26-1380.74] 捐给周天子的赞助费之后
[1380.78-1381.86] 赚到的钱
[1381.90-1383.78] 省了齐国8年的税收
[1384.74-1385.94] 这就是殷礼之谋
[1386.18-1386.94] 精毛之谋
[1386.94-1388.10] 就是周天子
[1388.58-1390.06] 也就飘了膨胀了
[1390.10-1391.74] 看到这哥俩赚钱这么容易
[1391.74-1394.10] 说能不能给我周天子也赚点钱
[1394.22-1395.74] 按照古代的周礼
[1396.10-1398.34] 要天子要带着诸侯王们
[1398.38-1398.70] 去复达了周天子的赞助费
[1398.70-1399.66] 去丰善的
[1400.06-1401.74] 在丰善大会上
[1401.78-1404.22] 诸侯王入门的门票
[1404.26-1405.38] 叫精毛
[1405.42-1406.62] 草字头一个青
[1406.94-1409.22] 精毛不是天下其他地方的毛
[1409.54-1411.74] 精毛只在江淮之间
[1411.74-1412.94] 一小片地方有
[1414.30-1416.18] 精毛这根草长上去之后
[1416.18-1417.22] 有三个分叉
[1417.58-1418.86] 精毛拿上一束
[1418.90-1422.30] 才是诸侯王进入丰善大典的门票
[1422.66-1425.82] 而精毛只在那个小地方生产
[1426.22-1426.66] 所以
[1427.62-1428.34] 观众就让周天子
[1428.34-1431.42] 把这个精毛的产地给围起来了
[1432.34-1433.62] 说我们要去丰善
[1433.66-1435.78] 每个人都要带一束精毛
[1435.82-1438.02] 然后把精毛的价格抬的高高的
[1438.30-1439.98] 诸侯王为了得到门票
[1439.98-1441.18] 只能高价去买
[1441.22-1443.22] 所以周天子也发了一笔横财
[1443.42-1444.78] 视为精毛之谋
[1445.86-1446.22] 你看
[1446.22-1447.34] 观众就是这样
[1447.34-1450.34] 通过操纵天下物品的价格
[1450.38-1454.22] 来达到控制和削弱对手的目的
[1454.26-1456.34] 使得真正的战争
[1456.38-1458.30] 并不以双方
[1458.34-1461.82] 交兵的形式进行上兵伐谋
[1461.86-1464.26] 未战而对方经济先垮
[1464.94-1469.14] 这种智慧在今天你在老美山上才能找到
[1469.18-1471.46] 但是当年在春秋五霸的时代
[1471.50-1473.86] 在齐桓公和管仲的治理下
[1473.90-1476.26] 中国大量的出现了这样的案例
[1476.50-1480.62] 所以齐国的税率是当时诸侯国里面最低的
[1480.66-1484.58] 因为他中央政府有这样的经济运营手段
[1484.62-1485.98] 轻重调节手段
[1486.02-1488.22] 他不需要再收税了
[1488.86-1492.66] 也就是说他通过专营垄断资源的商品
[1492.70-1493.82] 并且抬高价格
[1493.86-1496.86] 向全天下进行了事实上的征税
[1497.02-1500.70] 盐铁专营都是从管仲的手里学的
[1500.94-1502.02] 直到今天
[1502.26-1503.34] 烟草专营
[1503.34-1504.26] 石油专营
[1504.26-1506.34] 都有着轻重论的影子
[1506.58-1508.02] 我们要扣到今天的主题
[1508.02-1510.86] 就是中国的房地产的价格走势
[1510.90-1515.22] 我在2010年那一年写过一篇文章
[1515.22-1516.50] 大家可以搜一下
[1516.62-1518.18] 叫未来20年
[1518.18-1520.30] 中国房地产价格走势预测
[1520.34-1521.54] 这篇文章很短
[1521.58-1524.22] 因为用不着写那么长的东西
[1524.86-1526.22] 几句话就讲清楚
[1526.70-1527.70] 什么意思呢
[1528.10-1531.58] 中国房地产价格为什么一直在涨
[1531.62-1534.58] 以至于中央政府和地方政府
[1534.62-1536.82] 都已经把房地产上涨
[1536.86-1539.62] 当成了太阳从东边升起
[1539.62-1540.74] 从西边降落的
[1540.74-1542.18] 这样一次自然规律
[1542.38-1544.14] 其实是完全错误的
[1544.50-1546.30] 中国房地产价格
[1546.30-1548.14] 在2020年之前
[1548.14-1550.62] 一路上涨的唯一原因
[1550.90-1553.94] 是因为中国人之前什么都没有
[1553.98-1555.18] 赤贫状态
[1555.50-1558.46] 人均住房面积只有8平方米不到
[1559.18-1561.98] 那么进入中等发达国家的过程中
[1561.98-1563.62] 一切经济都在发展
[1563.90-1565.78] 人民的生活水平急速生长
[1565.78-1570.22] 每一个家庭都产生了强大的改善住房的需求
[1570.98-1572.82] 这一轮需求之强
[1572.94-1576.90] 构成了中国经济旋转木马中最大的一匹马
[1578.14-1582.46] 1980年代的吃喝食品
[1583.06-1586.18] 1990年的耐用消费品家电
[1587.02-1588.82] 2000年初的汽车
[1589.22-1592.42] 这几大部类旋转木马升高之后
[1592.54-1596.30] 到2000至2010年之间
[1596.50-1598.70] 最大的一轮爆发增长点
[1599.06-1601.26] 就是中国人的住房需求
[1602.62-1605.50] 其中伴随着两类庞大的需求
[1606.06-1608.10] 一是城市人口
[1608.18-1610.42] 改善及新增住房的需求
[1611.78-1616.14] 二是农村进入城市的新城市人口
[1616.30-1618.06] 对住房的刚性需求
[1618.78-1620.70] 这两个刚性需求加起来
[1620.74-1623.58] 才是构成了2000年到2020年
[1623.58-1627.02] 这20年中国房地产暴涨的真正的原因
[1627.26-1628.86] 根本没有其他的原因
[1629.38-1631.30] 那么如果你看到这一点的话
[1631.34-1634.26] 你就知道真正制约房地产发展的
[1635.14-1638.10] 根本就是人口红利
[1638.46-1642.86] 当这两个刚性需求背后的人口红利消失的时候
[1643.14-1645.62] 一切都会向相反的方向发展
[1645.82-1650.66] 任何试图阻碍发展趋势的宏观调控
[1650.66-1652.06] 都是螳臂当居
[1652.78-1656.22] 就像前20年任何政策
[1656.26-1658.94] 无论是限购还是控制贷款
[1658.98-1660.98] 都不可能阻碍房地产上涨
[1661.02-1662.94] 一样正好相反
[1662.98-1667.02] 从2000年代房地产牛市的第一天起
[1667.06-1668.10] 中国的中央政府
[1668.10-1670.74] 中级政府就没有意识到
[1670.74-1672.94] 房地产的正确的管理方法
[1672.94-1675.06] 对于轻重论一无所知
[1675.06-1677.10] 天下皆轻我为重
[1677.10-1678.66] 天下皆重我为轻
[1678.66-1680.06] 完全没有概念
[1680.06-1682.38] 是天下皆重我更重
[1682.38-1684.38] 什么叫天下皆重我更重呢
[1684.38-1688.26] 就是当天下都来追逐房地产的时候
[1688.26-1693.50] 国军中国政府把房地产当成了税收的替代手段
[1693.50-1696.42] 解决地方政府及中央政府财政困难的问题
[1696.42-1697.10] 解决地方政府及中央政府财政困难的问题
[1697.10-1697.42] 解决地方政府及中央政府财政困难的问题
[1697.42-1698.54] 解决地方政府及中央政府财政困难的问题
[1698.54-1699.50] 解决地方政府及中央政府财政困难的问题
[1699.50-1701.30] 引振之可
[1701.30-1703.66] 每卖掉一块地
[1703.66-1710.70] 其中70%的收入被各级政府拿走了
[1710.70-1715.18] 房地产开发商只能赚得30%
[1715.18-1718.22] 所以在这样的红利面前
[1718.22-1722.54] 地方政府就像吸毒一样成瘾难戒
[1722.54-1725.06] 中央政府也一样成瘾难戒
[1725.06-1729.06] 既是运动员又是裁判员的市场上的赛场上
[1729.06-1730.14] 怎么可能做到真正的调整
[1730.14-1730.46] 怎么可能做到真正的调整
[1730.46-1731.62] 怎么可能做到真正的调整
[1731.62-1736.10] 那么怎么才是2000年朱镕基政府应该做的调控
[1736.10-1738.50] 老王在2010年写这篇文章的时候
[1738.50-1740.38] 其实已经精确的指出
[1740.38-1742.10] 怎么去做这个调控了
[1742.10-1744.66] 那个时候调控实际上还是来得及的
[1744.66-1746.82] 因为房地产的牛市只走了10年
[1746.82-1749.50] 还有10年差不多一翻没有翻
[1749.50-1750.94] 你那个时候及时调控
[1750.94-1755.10] 房地产断不至于走到今天的境界
[1755.10-1758.14] 怎么才能做到正确的调控呢
[1758.14-1758.18] 就是我们应该把国民经济中的所有的货币
[1758.18-1760.14] 就是我们应该把国民经济中的所有的货币
[1760.14-1762.06] 所有的几百万种商品
[1762.06-1765.22] 划分为四大门类或者四大部类
[1765.22-1767.42] 第一部类就是与国民经济
[1767.42-1772.58] 第一部类就是与国民经济息息相关的民生商品
[1772.58-1774.02] 比如说食品
[1774.02-1775.38] 比如说粮食
[1775.38-1776.58] 比如说汽油
[1776.58-1777.10] 石油
[1777.10-1778.02] 柴油
[1778.02-1780.90] 比如说基本的生产资料和生活资料
[1780.90-1784.26] 以及基本的人民居住条
[1784.26-1787.42] 满足人民基本居住条件的商品房
[1787.42-1789.06] 这是第一部类
[1789.06-1789.90] 第二部类
[1789.90-1794.50] 是与国家安全息息相关的军品及科技产品
[1794.50-1799.70] 第三部类是与普通国民生活不怎么相关的奢侈门类
[1799.70-1801.90] 比如说奢侈品
[1801.90-1802.70] 白玉
[1802.70-1803.58] 翡翠
[1803.58-1804.66] 黄金
[1804.66-1806.34] 各种工艺品
[1806.34-1807.06] 字画
[1807.06-1807.98] 文玩
[1807.98-1809.54] 金融衍生品
[1809.54-1811.38] 这些东西是第三部类
[1811.38-1814.38] 第四部类就是货币本身
[1814.38-1817.82] 那么你作为国家宏观经济治理的关键就是
[1817.82-1819.86] 把房地产放到哪一部类里
[1819.90-1825.54] 第一部类必须国家严格的控制其价格走势
[1825.54-1828.78] 通过有形之手直接干预其供求关系
[1828.78-1831.90] 你涉及到粮食
[1831.90-1834.34] 你怎么就知道粮食价格要调控呢
[1834.34-1837.06] 因为你怕老百姓吃不上饭造反
[1837.06-1839.70] 但是把粮食换成商品房
[1839.70-1840.70] 你就忘了
[1840.70-1844.38] 在人均住房面积30平方米这个限制之内
[1844.38-1849.78] 所有的商品房都应该是国家直接供给直接定价的
[1849.90-1853.06] 超过人均30平米
[1853.06-1855.66] 就是一个家庭90平方米以上的房子
[1855.66-1857.70] 你应该放任不管
[1857.70-1860.98] 也就是说房子本身要分成两类
[1860.98-1862.70] 一类是连租房
[1862.70-1863.58] 公租房
[1863.58-1865.30] 一类是大别墅
[1865.30-1868.22] 大别墅涨到天你都不要管它
[1868.22-1871.02] 因为那跟老百姓是没有关系的
[1871.02-1875.22] 而老百姓满足既体面的人生
[1875.22-1877.58] 又不至于很奢靡
[1877.58-1879.86] 这个标准就是人均30平方米
[1879.90-1881.78] 这是世界通用的标准
[1881.78-1885.26] 也是人类居住的一个生物标准
[1885.26-1886.30] 无论是日本
[1886.30-1886.82] 美国
[1886.82-1887.38] 英国
[1887.38-1889.66] 欧洲都在这个标准左右
[1889.66-1890.62] 200平方米
[1890.62-1891.34] 300平方米
[1891.34-1892.86] 500平方米的价格
[1892.86-1895.26] 你要放开它去购买
[1895.26-1896.82] 没有限制
[1896.82-1898.34] 没有贷款限制
[1898.34-1900.06] 纯粹市场调节
[1900.06-1902.34] 这一部分的房子越涨越高
[1902.34-1904.26] 对于普通老百姓不但不是坏事
[1904.26-1905.54] 反而是好事
[1905.54-1907.66] 它更有人生的动力了
[1909.90-1910.90] 另一方面
[1910.90-1913.10] 白玉 翡翠 文丸 字画
[1913.10-1915.46] 你让它炒到多高都可以
[1915.46-1917.14] 因为一旦它崩起来
[1917.14-1922.54] 也不会影响实体国民经济及国家安全的运作
[1922.54-1926.18] 所有货币对于前两个部类的商品
[1926.18-1930.66] 就是国民经济的 国际民生商品及科技军事商品
[1930.66-1935.18] 是必须完全有形之手操控供求的
[1935.18-1939.10] 这才是解决房地产问题的根本所在
[1939.10-1939.86] 而我们
[1939.90-1941.54] 而毫无疑问
[1941.54-1945.18] 20年我们没有看到三届中央政府的任何一届
[1945.18-1948.22] 做过哪怕是一点点的工作
[1948.22-1950.98] 所以到了2020年
[1950.98-1953.02] 就是我说的人口红利拐点
[1953.02-1954.50] 一定会发生在
[1954.50-1956.50] 人口学家早就告诉我们
[1956.50-1959.46] 2000年中国的人口学家就告诉我们
[1959.46-1961.30] 中国人口红利的拐点
[1961.30-1965.38] 会发生在2020到2025年的之间的某一天
[1965.38-1966.94] 从那一天开始
[1966.94-1969.10] 中国的人口就是负增长
[1969.10-1973.66] 新增人口赶不上死亡人口
[1973.66-1977.07] 因为有疫情出现
[1977.07-1978.47] 有细胞的出现
[1978.47-1981.83] 所以那一天发生在了2020年
[1981.83-1983.47] 如果没有细胞的出现
[1983.47-1985.31] 2025年也会发生
[1985.31-1986.71] 这是自然规律
[1986.71-1990.07] 真的细胞子只能在里面影响了三五年
[1990.07-1990.87] 两三年
[1990.87-1992.99] 但是放长线的规律来说
[1992.99-1994.39] 它并不能影响趋势
[1994.39-1997.39] 所以今天中国人不生孩子了
[1997.39-1999.27] 中国人舍不得生孩子
[1999.27-2000.27] 舍不得消费的时候
[2000.27-2001.75] 房地产的价格就会上升了
[2001.91-2003.35] 就会往下跌
[2003.35-2006.27] 那么跌到什么程度呢
[2006.27-2007.75] 还有多大的空间呢
[2007.75-2010.31] 这个也是有数据可查的
[2010.31-2012.23] 日本很像中国
[2012.23-2015.95] 日本的房子在1988年达到顶尖的高峰
[2015.95-2020.35] 1988年到1990年达到顶尖高峰的时候
[2020.35-2021.67] 东京都的最贵的房子
[2021.67-2025.58] 一平方米差不多是95万美元
[2025.58-2030.26] 这样的房子在日本跌了75%
[2030.26-2032.42] 平均的日本住房跌了50%
[2033.26-2036.22] 那么中国现在北京和上海的房子毫无疑问
[2036.22-2037.74] 是当时东京都的标准
[2037.74-2039.26] 北京和上海的房子
[2039.26-2043.34] 目前已经照比齐最高点跌了20%左右
[2043.34-2045.22] 20%到25%
[2045.22-2047.14] 那么你看看还有多少
[2047.14-2047.86] 没错
[2047.86-2050.06] 还有50%的下跌空间
[2050.06-2053.46] 距离北京和上海房子最高位的价值
[2053.46-2057.02] 目前还有50%的下跌空间
[2057.02-2059.42] 而且这50%的下跌空间
[2059.42-2061.50] 使任何技术调节手段
[2061.50-2062.46] 及政策控制手段
[2062.46-2063.22] 都无法改变
[2063.26-2066.58] 它的实现只是时间问题
[2066.58-2069.18] 如果国军明白
[2069.18-2070.90] 它的实现会比较慢
[2070.90-2073.28] 体现在长期的有价无市
[2073.28-2074.20] 成交地迷上
[2074.20-2075.82] 如果国军是个2B
[2075.82-2077.44] 它就会迅速的出现
[2077.44-2080.42] 所以在这个过程中
[2080.42-2082.06] 无论价格
[2082.06-2085.26] 无论价格比最高点跌了多少
[2085.26-2086.82] 只要有回调
[2086.82-2087.52] 有成交
[2087.52-2089.26] 有人来敲门买你的房子
[2089.26-2091.70] 你都应该斩钉截铁的把它买掉
[2091.70-2093.24] 因为任何一个人
[2093.26-2095.30] 任何一次上涨
[2095.30-2098.58] 都是回调给你带来的错觉
[2098.58-2103.70] 你以为还会回到黄金年代
[2103.70-2104.50] 错了
[2104.50-2108.38] 除非婴儿的出生率回到黄金年代
[2108.38-2109.14] 否则的话
[2109.14-2113.02] 如果全中国一年的婴儿出生率都不到1000万的话
[2113.02-2116.80] 永远都回不到黄金年代了
[2116.80-2118.94] 上海的核心地段的房子
[2118.94-2121.48] 大概还能撑一撑
[2121.48-2122.14] 北京
[2122.14-2128.41] 中华民族博物馆
[2128.41-2130.25] 华民国迁过都
[2130.25-2134.17] 把首都从北京迁到了南京
[2134.17-2136.45] 之后北京的房价跌了多少
[2136.45-2139.57] 历史有据可查
[2139.57-2141.69] 所以北京一旦迁都
[2141.69-2144.69] 或者中央政权出现摇摆
[2144.69-2148.45] 北京的房价是深不见底
[2148.45-2153.09] 可以参考郑州或沈阳或西安
[2153.09-2155.09] 北京和这三个城市相比
[2155.09-2157.13] 也就是教育资源好一点
[2157.13-2157.69] 但是教育资源眼看着这三个城市相比
[2157.69-2158.17] 也就是教育资源好一点
[2158.17-2158.41] 但是教育资源眼看着这三个城市相比
[2158.41-2159.85] 都要去雄安了
[2159.85-2164.53] 也会被他治理的支离破碎
[2164.53-2167.81] 所以新的国家首都确立之后
[2167.81-2170.89] 大量的教育资源会向新都靠拢
[2170.89-2173.97] 北京旧都就真成了废都
[2173.97-2176.69] 最后送给大家2010年
[2176.69-2179.01] 就是13年以前我写的一段话
[2179.01-2182.69] 首先要弄明白房价为什么涨
[2182.69-2183.97] 归根结底
[2183.97-2185.97] 市场就像自然草原
[2185.97-2187.53] 有了阳光雨露的地方
[2187.53-2188.17] 野草
[2188.17-2189.21] 自然风涨
[2189.21-2191.93] 那么房地产的阳光雨露是什么呢
[2191.93-2193.49] 是人口红利
[2193.49-2196.97] 年轻的就业人口和农村城市化的人口
[2196.97-2200.21] 构成了中国房地产价格上涨的基石
[2200.21-2201.77] 看到这里大家已经知道
[2201.77-2205.05] 我是如何预言20年后房地产的价格了
[2205.05-2206.37] 没有了新增的人口
[2206.37-2207.93] 老龄化的社会
[2207.93-2209.85] 从何而来需求
[2209.85-2211.69] 中国房地产的价格拐点
[2211.69-2213.97] 就是人口红利结束的那一天
[2213.97-2216.93] 那一年在此之前无论如何都要涨
[2216.93-2217.93] 只是涨多涨少的问题
[2217.93-2221.25] 在此之后一切反方向运行
[2221.25-2223.81] 如果一个国家金融体系健全
[2223.81-2225.61] 经济门类健康
[2225.61-2229.97] 人口红利结束之后的高房价会体现为有价无市
[2229.97-2233.29] 但不会一泻千里就像今天的日本
[2233.29-2238.93] 但是日本为此付出的代价是货币战争失利与其后失落的10年
[2238.93-2242.25] 如果这个国家经济单纯依靠房地产
[2242.25-2243.53] 就像恒山国
[2243.53-2245.57] 那么人口红利结束后
[2245.57-2247.89] 房价下跌区域
[2247.93-2251.01] 导致的金融危机与经济危机
[2251.01-2252.03] 不可避免
[2252.03-2253.81] 恒山之军是什么下场
[2253.81-2256.37] 3000年前就有答案了
[2256.37-2258.93] 那么中国人口红利到底哪一天结束呢
[2258.93-2261.25] 这个人口学家早有数据可查
[2261.25-2263.81] 2020至2025年之间的某一天
[2263.81-2265.09] 就是这个拐点
[2265.09-2266.37] 时日无多了
[2266.37-2269.69] 如果今日之国军还以为房子价格会一直涨一直涨
[2269.69-2271.73] 就像太阳每天升起一样
[2271.73-2274.81] 属于自然规律只看得到税收层面
[2274.81-2276.35] 看不到货币层面
[2276.35-2277.89] 那么国军的眼观是什么呢?
[2277.93-2279.47] 房价实在令人汗颜
[2279.47-2280.49] 房产税
[2280.49-2281.77] 除了毁灭股市
[2281.77-2284.59] 并不能压制房价10年内的上涨
[2284.59-2287.15] 只有把商品房分类
[2287.15-2289.71] 国家以重视货币的高度
[2289.71-2291.49] 重视农产品的高度
[2291.49-2292.77] 重视房地产
[2292.77-2294.05] 有所作为
[2294.05-2298.41] 彻底改变普通商品房的供应与定价模式
[2298.41-2300.71] 才是治本之策
[2300.71-2303.27] 看到这里如今美国大使馆
[2303.27-2304.55] 加拿大大使馆
[2304.55-2306.35] 澳大利亚新西兰大使馆
[2306.35-2307.89] 甚至马尔他大使馆
[2307.89-2311.99] 移民官忙的四脚朝天就不难理解
[2311.99-2313.53] 大家看馆子
[2313.53-2316.59] 楚国、戴国、恒山国的经济畸形
[2316.59-2317.37] 泡沫化
[2317.37-2319.41] 都是伴随着移民潮的
[2319.41-2321.97] 国家的精英与栋梁纷纷挟财
[2321.97-2328.21] 去了其他国家国治大难也
[2328.21-2330.25] 好了,希望老王的这一席话
[2330.25-2333.07] 能引发墙内诸位的深思
[2333.07-2333.83] 记得
[2333.83-2335.11] 关注点赞
[2335.11-2336.39] 多多评论
[2336.39-2338.95] 有什么问题给老王发邮件
[2338.95-2339.99] 老王和大家
[2339.99-2341.27] 进行实时的
[2341.27-2342.55] 积极的互动
[2342.55-2343.31] 再见
