[0.66-2.66] Hello 大家好
[2.66-4.66] 老王今天没脸见人了
[1286.50-1290.50] 我做了粉红色粉钻的蛇眼
[1290.50-1293.50] 翠绿色的蛇眼和黑色的蛇眼
[1293.50-1296.50] 他的原版只有黑色蛇眼
[1296.50-1297.50] 他看傻了
[1297.50-1298.50] 你知道吧
[1298.50-1300.50] 因为老王多有品味
[1300.50-1308.55] 看红色蛇眼
[1308.55-1309.55] 看到了
[1309.55-1310.55] 能看清楚吗
[1310.55-1313.55] 给个清楚的特性
[1313.55-1317.91] 这样吧
[1317.91-1319.91] 一会我照个照片贴上
[1319.91-1329.75] 我看到了这一点
[1329.75-1331.75] 所以我请雷波西先生
[1331.75-1332.75] 参观完了之后
[1332.75-1333.75] 我们俩回北京
[1333.75-1336.75] 在北京的银泰照的像
[1336.75-1339.75] 那个像厕所的那面墙是银泰的大堂的墙
[1339.75-1342.75] 那银泰大堂怎么用厕所的石头
[1342.75-1343.75] 我也不知道
[1343.75-1344.75] 那么是我照完了之后
[1344.75-1346.75] 有朋友们给我说
[1346.75-1348.75] 你这后边什么呢
[1348.75-1349.75] 好像是厕所
[1349.75-1350.75] 我才发现这点
[1350.75-1352.75] 这就是珠宝行业
[1352.75-1356.75] 我就讲讲珠宝行业的上升
[1356.75-1359.75] 奢侈品行业的有面有牌面
[1359.75-1361.75] 做各种珠宝大会展
[1361.75-1363.75] 做各种名流的珠宝代言
[1363.75-1366.75] 全世界的珠宝被中国全部收掉
[1366.75-1368.75] 一线品牌被我们全部收掉
[1368.75-1375.75] 这个就是我当时预计的2020年到2035年一定会发生的事情
[1375.75-1377.75] 全世界最大的珠宝品牌
[1377.75-1379.75] 有一个算一个
[1379.75-1380.75] 有一个算一个
[1380.75-1381.75] 包括爱马仕
[1381.75-1384.75] 老板全会换成中国人
[1384.75-1385.75] 当然了
[1385.75-1386.75] 现在不可能了
[1386.75-1387.75] 我们再往回走
[1387.75-1389.75] 我们会回到票证经济时代的
[1389.75-1391.75] 这些东西是老汪给你们讲讲
[1391.75-1393.75] 我的亲身所见所感
[1393.75-1395.75] 珠宝行业是怎么回事
[1395.75-1397.75] 在中国怎么发展起来的
[1397.75-1398.75] 我给大家讲透了
[1398.75-1399.75] 掰开了
[1399.75-1400.75] 揉碎了
[1400.75-1402.75] 你就是真正的这方面的专家
[1402.75-1405.75] 再也没有人能拿一个腰带扣骗你了
[1405.75-1411.67] 更没有人能拿一个假表裤当里甩出来一块假表
[1411.67-1412.67] 骗你了
[1412.67-1413.67] 是不是这牌子
[1413.67-1415.67] 是不是这个
[1415.67-1416.67] 那大象头的皮带扣
[1416.67-1417.67] 你纯金的
[1417.67-1418.67] 你纯金的个屁
[1418.67-1420.67] 这玩意能用纯金做吗
[1420.67-1422.67] 皮带扣是承受很大的压力的
[1422.67-1423.67] 因为当你吃饱了以后
[1423.67-1424.67] 你又臭美
[1424.67-1426.67] 你会把那个扣平时系的特别紧
[1426.67-1427.67] 你吃饱了以后
[1427.67-1429.67] 你的腰就像他妈米其林
[1429.67-1430.67] 轮胎人在膨胀一样
[1430.67-1434.67] 皮带扣的扣点吃力是非常大的
[1434.67-1435.67] 你要用纯金做
[1435.67-1437.67] 一天你都用不了
[1437.67-1438.67] 你还不懂
[1438.67-1439.67] 你摘山羊
[1439.67-1440.67] 你个山炮
[1440.67-1441.67] 就这个点的吃力
[1441.67-1444.67] 这点的吃力是非常大的
[1444.67-1447.67] 所以他必须用K金做
[1447.67-1449.67] 也就是说最多只能用
[1449.67-1451.67] 他必须用合金做
[1451.67-1453.67] 也就是说最多最多的
[1453.67-1455.67] 用75%的黄金
[1455.67-1457.67] 配25%的其他金属
[1457.67-1459.67] 增强其硬度
[1459.67-1460.67] 这有可能
[1460.67-1462.67] 其实K金就都有点软
[1462.67-1464.67] 必须的
[1464.67-1465.67] 真的
[1465.67-1466.67] 你要用的上的
[1466.67-1468.67] 其实是钢型的
[1468.67-1470.67] 外边给你包了一层
[1470.67-1471.67] 你个山炮
[1471.67-1472.67] 他们纯金
[1472.67-1473.67] 你是不是被骗了
[1473.67-1474.67] 摘山羊
[1474.67-1475.67] 你花多少钱买的
[1475.67-1476.67] 那腰带扣
[1476.67-1477.67] 如果超过5万
[1477.67-1478.67] 你就被骗了
[1478.67-1479.67] 3万以内正常
[1479.67-1480.67] 就你那大象头
[1480.67-1481.67] 3万以内正常
[1481.67-1482.67] 满赚的
[1482.67-1483.67] 给你上一课
[1483.67-1484.67] 好了
[1484.67-1486.67] 接着说他们怎么发展起来的
[1486.67-1488.67] 1980年代的时候
[1488.67-1489.67] 1980年代的时候
[1489.67-1490.67] 就是我们刚刚解决了
[1490.67-1492.67] 吃和穿的问题的时候
[1492.67-1495.67] 聪明的潮州佬和东莞佬
[1495.67-1496.67] 有这方面的优势
[1496.67-1498.67] 当然也有福建佬
[1498.67-1501.67] 因为福建人有大飞偷渡
[1501.67-1503.67] 所以他们往香港偷渡
[1503.67-1505.67] 福建人和这些地方的人
[1505.67-1507.67] 偷渡是他的文化
[1507.67-1509.67] 他男孩子长到十三四岁
[1509.67-1510.67] 如果还没有出过国
[1510.67-1512.67] 这个村子里都会瞧不起他的
[1512.67-1514.67] 话说他怎么出国
[1514.67-1515.67] 当然是他妈偷渡出国
[1515.67-1517.67] 难道他能拿到签证和护照吗
[1517.67-1518.67] 那时候连
[1518.67-1519.67] 连
[1519.67-1521.67] 老百姓连身份证都没有
[1521.67-1522.67] 都他们是编户齐民
[1522.67-1523.67] 只能拿户口本
[1523.67-1524.67] 粮票出个门
[1524.67-1525.67] 还要开介绍信
[1525.67-1527.67] 所以他要出国
[1527.67-1528.67] 必须是偷渡
[1528.67-1529.67] 偷渡大潮
[1529.67-1532.67] 在中国共产党治下的中国
[1532.67-1533.67] 压根就没停过
[1533.67-1535.67] 在那些偏远地区
[1535.67-1536.67] 什么福建
[1536.67-1537.67] 广东
[1537.67-1538.67] 他们是偷渡的
[1538.67-1540.67] 这些人到了香港之后
[1540.67-1541.67] 挣了点钱
[1541.67-1542.67] 往回贷的时候
[1542.67-1543.67] 贷黄金
[1543.67-1546.67] 往回贷金子
[1546.67-1548.67] 80年一改革开放的时候
[1548.67-1553.67] 这个金子在香港的价格和在内地的价格有价差
[1553.67-1557.67] 就是因为黄金在中国大陆是共产党专营
[1557.67-1558.67] 但是改革开放以后
[1558.67-1559.67] 80年代以后
[1559.67-1562.67] 毕竟老百姓都有那么一点点钱了
[1562.67-1563.67] 有那么一点点钱
[1563.67-1565.67] 人类的天性是买个金戒指
[1565.67-1569.67] 这个金戒指小得有两克吧
[1569.67-1570.67] 再小也得有两克
[1570.67-1571.67] 那怎么办
[1571.67-1575.67] 那就得找地下的打金人去偷偷的做
[1575.67-1578.67] 因为公价是不可能卖给你黄金的
[1578.67-1579.67] 黄金戒指的
[1579.67-1582.67] 因为黄金是共产党专买
[1582.67-1585.67] 他一定要拿着黄金储备去换外汇
[1585.67-1587.67] 当时中国没有什么出口
[1587.67-1588.67] 换汇产品
[1588.67-1589.67] 黄金换外汇
[1589.67-1590.67] 就跟今天的北朝鲜一样
[1590.67-1594.67] 金正恩那点钱都是朝鲜的金矿换回来的
[1594.67-1597.67] 那时候人矿还没有开采
[1597.67-1599.67] 只有金矿
[1599.67-1600.67] 所以
[1600.67-1604.67] 金子只要运到北方就翻番
[1604.67-1606.67] 北方的集散地不在北京
[1606.67-1607.67] 因为北京抓太严
[1607.67-1608.67] 北方集散地
[1608.67-1609.67] 在哪
[1609.67-1610.67] 在辽宁沈阳
[1610.67-1613.67] 所以大量的潮州佬
[1613.67-1614.67] 广东佬
[1614.67-1615.67] 福建佬
[1615.67-1617.67] 背着一口袋一口袋的金子
[1617.67-1618.67] 金项链
[1618.67-1620.67] 从香港沙头角买的金项链
[1620.67-1621.67] 运到沈阳
[1621.67-1622.67] 甩手就赚钱
[1622.67-1624.67] 甩手翻一番
[1624.67-1625.67] 100块的东西
[1625.67-1626.67] 200块
[1626.67-1627.67] 200块
[1627.67-1629.67] 甩手就翻番
[1629.67-1632.02] 所以
[1632.02-1634.02] 那个年代
[1634.02-1635.02] 就有了很多
[1635.02-1638.02] 这些黑道从业人员
[1638.02-1639.02] 他们倒卖黄金
[1639.02-1640.02] 手势
[1640.02-1642.02] 在沈阳如果被抓住
[1642.02-1643.02] 他们的罪行
[1643.02-1646.02] 和贩毒区别不大
[1646.02-1647.02] 所以
[1647.02-1648.02] 我说到这儿你就知道
[1648.02-1650.02] 中国的黄金珠宝企业老板们
[1650.02-1652.02] 有一个算一个
[1652.02-1654.02] 包括七彩云南的老赵
[1654.02-1656.02] 包括东莞今夜的老王
[1656.02-1658.02] 包括周德奋的爸爸妈妈
[1658.02-1660.49] 都是
[1660.49-1662.49] 前犯罪分子
[1662.49-1664.49] 那边开着大飞
[1664.49-1666.49] 去沙头角买东西
[1666.49-1667.49] 买完东西之后
[1667.49-1668.49] 开大飞回来
[1668.49-1669.49] 晚上登陆
[1669.49-1671.49] 晚上登陆到村口
[1671.49-1672.49] 有人打着手电
[1672.49-1673.49] 赢他们
[1673.49-1674.49] 赢他们以后
[1674.49-1676.49] 第二天买上一个绿皮火车票
[1676.49-1677.49] 藏在腰里
[1677.49-1678.49] 藏在内裤里
[1678.49-1680.49] 坐上三天三夜的火车到沈阳
[1680.49-1682.49] 见到街头人单线联系
[1682.49-1683.49] 一手交现金
[1683.49-1684.49] 一手交金子
[1684.49-1685.49] 就是这么玩
[1685.49-1688.49] 他们的第一桶金就是这样
[1688.49-1690.49] 血淋淋的捞出来的
[1690.49-1691.49] 后来
[1691.49-1693.49] 改革开放逐渐深入
[1693.49-1695.49] 香港的打金企业
[1695.49-1697.49] 制造企业也开始向内地
[1697.49-1699.49] 就是在深圳开厂了
[1699.49-1700.49] 因为深圳的劳动力成本低
[1700.49-1702.49] 这玩意也不需要什么
[1702.49-1703.49] 培训
[1703.49-1704.49] 中国人都很聪明的
[1704.49-1706.49] 比配钥匙难不了多少
[1706.49-1708.49] 因为它也有机器设备
[1708.49-1710.49] 你会开编金机
[1710.49-1711.49] 金链子就支出来了
[1711.49-1714.49] 金链子是用纺织机一样的东西支出来的
[1714.49-1716.49] 真正用手打的很少
[1716.49-1718.49] 大部分都是冲压
[1718.49-1719.49] 编织
[1719.49-1723.49] 金挂坠都一下冲出来的
[1723.49-1724.49] 所以
[1724.49-1727.49] 机械设备从香港挪到深圳
[1727.49-1728.49] 罗湖
[1728.49-1729.49] 然后
[1729.49-1732.49] 罗湖的黄金企业就一个一个的起来了
[1732.49-1733.49] 那时候还不在水背
[1733.49-1734.49] 有人说
[1734.49-1735.49] 有人挑我理
[1735.49-1736.49] 说水背也叫罗湖
[1736.49-1737.49] 对
[1737.49-1738.49] 水背也叫罗湖
[1738.49-1739.49] 但是他妈的
[1739.49-1741.49] 就像海淀也叫海淀一样
[1741.49-1743.49] 海淀去动物园也叫海淀
[1743.49-1745.49] 我说的
[1745.49-1746.49] 是海淀村
[1746.49-1747.49] 那个海淀
[1747.49-1748.49] 知道吧
[1748.49-1749.49] 是黄庄那边的海淀
[1749.49-1750.49] 这个罗湖
[1750.49-1752.49] 是罗湖的真罗湖
[1752.49-1753.49] 就是老罗湖
[1753.49-1755.49] 他们在那做了好多的黄金产业园
[1755.49-1757.49] 这是1980年代初
[1757.49-1758.49] 到1990年代
[1758.49-1759.49] 中期
[1759.49-1760.49] 不够用了
[1760.49-1762.49] 因为罗湖核心地段寸土寸金
[1762.49-1764.49] 他们就开始往水背挪
[1764.49-1765.49] 水背
[1765.49-1766.49] 田背
[1766.49-1769.49] 就是后来的黄金产业基地
[1769.49-1774.49] 世界80%以上的黄金珠宝的生产制造基地
[1774.49-1776.49] 都在水背村
[1776.49-1780.49] 因为没有国家能比水背更便宜了
[1780.49-1781.49] 就这么简单
[1781.49-1784.49] 规模化早已经形成
[1784.49-1786.49] 那我说到这你就知道了
[1786.49-1787.49] 我能把雷伯希吓成这样
[1787.49-1788.49] 因为雷伯希
[1788.49-1789.49] 是手动打造的
[1789.49-1791.49] 他都害怕成这个样子
[1791.49-1793.49] 你想想那些机械打造的珠宝品牌
[1793.49-1794.49] 卡地亚
[1794.49-1795.49] 四叶草
[1795.49-1797.49] 凡克雅宝
[1797.49-1799.49] 泰芙尼
[1799.49-1801.49] 保格力
[1801.49-1805.28] 你觉得他们会在英国生产吗
[1805.28-1806.28] 你是不是脑子有屎
[1806.28-1808.28] 汽车你都知道
[1808.28-1809.28] 宝马都要挪到中国来
[1809.28-1811.28] 特斯拉挪到中国来
[1811.28-1813.28] 手机你都知道是富士康
[1813.28-1814.28] 打螺丝打出来的
[1814.28-1816.28] 他们换上是黄金珠宝
[1816.28-1817.28] 你是不是就傻逼
[1817.28-1818.28] 你就是以为那玩意真的是法国人给你造的
[1818.28-1819.28] 我告诉你
[1819.28-1821.28] 法国人100年以前已经不会造这个东西了
[1821.28-1833.79] 这东西全是中国制造的
[1833.79-1836.55] 订单
[1836.55-1838.55] 外国厂商大厂订单
[1838.55-1840.55] 水贝制造
[1840.55-1843.55] 以我中国人聪明才智
[1843.55-1846.55] 水贝同志们做完了珠宝
[1846.55-1848.55] 做完了凡克雅宝四叶草
[1848.55-1851.55] 卡地亚的小镯子
[1851.55-1853.55] 方方正正的小镯子
[1853.55-1855.55] 你以为他们只会开一版吗
[1855.55-1861.18] 看老王长知识
[1861.18-1864.18] 以后送妞泡妞送首饰
[1864.18-1867.18] 千万别在卡地亚和蒂芙尼买了
[1867.18-1870.18] 真的是2200美金卖你一个戒指
[1870.18-1873.18] 同样的价格2200人民币
[1873.18-1876.18] 你可以在水贝柜台上挑同款
[1876.18-1877.18] 同一个机器造出来的
[1877.18-1879.18] 连盒都一样
[1879.18-1882.18] 我都不知道是水贝的还是真的
[1882.18-1884.18] 因为我既有水贝的也有真的
[1884.18-1886.18] 因为我老婆非得让我买真的
[1886.18-1888.18] 所以我也买了不少真的
[1888.18-1890.18] 我不知道哪个是水贝的哪个是真的
[1890.18-1891.18] 我真的混了
[1891.18-1893.18] 因为它真的是一个生产线出来的
[1893.18-1895.18] 基本上没有什么区别
[1895.18-1898.18] 凡克雅宝四叶草都烂大街了
[1898.18-1900.18] 卡地亚烂大街了
[1900.18-1902.18] 蒂芙尼烂大街了
[1902.18-1904.18] 在水贝烂大街了
[1904.18-1905.18] 但是你可不能随便买
[1905.18-1906.18] 为什么
[1906.18-1908.18] 因为工商还是要脸的
[1908.18-1909.18] 你这个随便买的话
[1909.18-1910.18] 那工商抄不抄
[1910.18-1912.18] 万一卡地亚啪拍一下
[1912.18-1913.18] 那不就是什么丑闻吗
[1913.18-1915.18] 所以你得认识几个
[1915.18-1918.65] 展厅的内相
[1918.65-1920.65] 天王盖地虎
[1920.65-1922.65] 宝塔镇河妖
[1922.65-1924.65] 你是哪个柳子的
[1924.65-1927.65] 大老王老王来了这个柳子的
[1927.65-1929.65] 戴尼
[1929.65-1930.65] 你要什么
[1930.65-1932.65] 我要卡地亚
[1932.65-1933.65] 哦
[1933.65-1935.65] 卡地亚小齿轮系列
[1935.65-1936.65] 对
[1936.65-1937.65] 四叶草我们有新的
[1937.65-1938.65] 新款的
[1938.65-1939.65] 你要吗
[1939.65-1944.93] 四叶草小项链700人民币
[1944.93-1948.30] 做的比他们原版还好
[1948.30-1952.30] 卡地亚镯子香钻的22000人民币
[1952.30-1954.30] 最好的最大的
[1954.30-1958.30] 你去卡地亚官网看看香钻的
[1958.30-1962.30] 不是圆润的镯子
[1962.30-1963.30] 是圆镯子
[1963.30-1966.30] 但是是有点像有点像一个
[1966.30-1968.30] 横截面积
[1968.30-1970.30] 横截面积是方形的
[1970.30-1971.30] 那种镯子
[1971.30-1973.30] 那是卡地亚的经典
[1973.30-1974.30] 你看多少钱
[1974.30-1978.54] 包括戒指
[1978.54-1979.54] 原版多少钱
[1979.54-1980.54] 我告诉你
[1980.54-1983.54] 天王盖地虎水被珠宝村卖了
[1983.54-1985.54] 他的十分之一的价格
[1985.54-1988.54] 翟山英那玩意全从那拿了
[1988.54-1992.54] 裤裆里的表是从广州鬼市买的
[1992.54-1996.54] 皮带扣皮带扣是从
[1996.54-1998.54] 随便自买的
[1998.54-2000.54] 接着把他屎全给扒出来
[2000.54-2002.54] 因为他老板比他有钱多了
[2002.54-2003.54] 第一代富一代
[2003.54-2004.54] 你还知道
[2004.54-2006.54] 你2017年才有钱是不是
[2006.54-2007.54] 我听你的苦主说
[2007.54-2010.54] 2017年才租的房子
[2010.54-2012.54] 你老板2017年已经退休五年了
[2012.54-2013.54] 你看
[2013.54-2014.54] 你一个山炮
[2014.54-2015.54] 跟我在这儿斗
[2015.54-2017.54] 你石虫跟王凯豆腐
[2017.54-2018.54] 你是一个livo的吗
[2018.54-2019.54] 你
[2019.54-2022.54] 所以咱们不扯这些闲片
[2022.54-2024.54] 咱说正经的
[2024.54-2026.54] 老翟以后在我这儿
[2026.54-2027.54] 浓度会越来越低
[2027.54-2029.54] 因为他已经被我扒光了
[2029.54-2030.54] 所以咱们不扯他了
[2030.54-2031.54] 咱们扯正经的
[2031.54-2034.54] 所以珠宝首饰
[2034.54-2035.54] 他这个行业
[2035.54-2038.54] 他也是某一种工业产品
[2038.54-2040.54] 他也是某一种工业产品
[2040.54-2042.54] 你完全可以把它理解成一台汽车
[2042.54-2044.54] 或者一个手机
[2044.54-2048.54] 他已经完成了工业化的过程了
[2048.54-2052.54] 除非像雷伯西这样纯手工打造大师级的
[2052.54-2054.54] 他才有一点special的地方
[2054.54-2056.54] 才有一点国际溢价的可能
[2056.54-2059.54] 否则全是made in china之后贴标
[2059.54-2062.54] 雷伯西怎么就但一被我很便宜的收购呢
[2062.54-2063.54] 我想当时我想把它放到
[2063.54-2065.54] 丘陵或者金眼珠宝里面
[2065.54-2066.54] 为什么呢
[2066.54-2068.54] 因为雷伯西他女儿
[2068.54-2070.54] 他坚决拒绝学这个
[2070.54-2071.54] 他这个手艺传不下去了
[2071.54-2073.54] 他女儿是个同性恋
[2073.54-2075.54] 所以他也不生孩子
[2075.54-2077.54] 同性恋LGBT
[2077.54-2078.54] 所以他不结婚
[2078.54-2082.18] 是不是说错了
[2082.18-2083.18] 所以老雷手艺
[2083.18-2085.18] 老雷如果没了就没了
[2085.18-2087.18] 这就是西方的悲哀
[2087.18-2090.18] 所以产业轮回就是这样
[2090.18-2093.18] 你按照老王的思路思考
[2093.18-2095.18] 如果老齐老伯没有上台
[2095.18-2097.18] 中国还在原来轨道上去发展
[2097.18-2100.18] 寄托公馆世界轨道发展的话
[2100.18-2102.18] 你收购这些珠宝品牌
[2102.18-2104.18] 你一定要去那些老牌发达国家
[2104.18-2105.18] 没有革命过的国家
[2105.18-2106.18] 比如说法国
[2106.18-2107.18] 意大利
[2107.18-2108.18] 英国
[2108.18-2109.18] 西班牙
[2109.18-2112.18] 都有这样的老家老家伙事
[2112.18-2115.18] 瑞士当然也会有去收他们的东西
[2115.18-2118.18] 然后接以中国制造的低成本
[2118.18-2120.18] 继续卖高价
[2120.18-2122.18] 你就会获得暴利
[2122.18-2123.18] 不要多生产
[2123.18-2124.18] 还是生产那么多
[2124.18-2126.18] 但是价格还那么高
[2126.18-2128.18] 但是生产基地给他挪到中国来
[2128.18-2130.18] 你的利润空间一下就出来了
[2130.18-2131.18] 这就是当时我们的
[2131.18-2132.18] 布局
[2132.18-2133.18] 这多轻松
[2133.18-2134.18] 这正的无烟工业
[2134.18-2136.18] 雇个两三百个员工
[2136.18-2138.18] 你这个公司就是个世界级的
[2138.18-2141.18] 王室都得找你来
[2141.18-2143.18] 有钱人都围着你转
[2143.18-2146.18] 全世界的名闻望族都是你的好朋友
[2146.18-2150.18] 这就是我们当时设计的一个最后一个环节
[2150.18-2152.18] 然后之后是什么环节
[2152.18-2154.18] 咱先别说之后了
[2154.18-2157.18] 中间会办以什么翡翠
[2157.18-2159.18] 什么黄龙玉
[2159.18-2160.18] 和田玉
[2160.18-2161.18] 什么什么
[2161.18-2164.18] 各种其他的珠宝都会跟着起
[2164.18-2165.18] 包括祖母绿
[2165.18-2166.18] 全部价格都会翻翻
[2166.18-2167.18] 包括黄金
[2167.18-2169.18] 如果中国正常发展的话
[2169.18-2171.18] 全都会翻翻
[2171.18-2172.18] 迎来一次大繁荣
[2172.18-2174.18] 然后是什么
[2174.18-2176.18] 战争毁灭
[2176.18-2178.18] 人类历史莫不如此
[2178.18-2180.18] 字画会给你炒到天上去
[2180.18-2182.18] 你有幅糖银的字哪不得了了
[2182.18-2183.18] 给你看看
[2183.18-2184.18] 老王还没炫过富
[2184.18-2187.18] 给你看看老王家里边的真迹
[2187.18-2191.42] 之后
[2191.42-2192.42] 就
[2192.42-2194.42] 一切归于尘土
[2194.42-2195.42] 人类从头开始
[2195.42-2198.42] 也许是第三次世界大战爆发了
[2198.42-2201.42] 这个就是珠宝投资领域的真谛
[2201.42-2203.42] 我希望今天的这些知识
[2203.42-2204.42] 能给大家开智
[2204.42-2208.42] 让大家产生自己的思考能力
[2208.42-2211.42] 不要跟着从一个极端走到另一个极端
[2211.42-2214.42] 不要崇拜某一个人
[2214.42-2216.42] 翟山英更不值得崇拜了
[2216.42-2217.42] 郭文贵也不值得崇拜
[2217.42-2218.42] 老王也不值得崇拜
[2218.42-2220.42] 我们都是普通人
[2220.42-2221.42] 大家有了自己的
[2221.42-2223.42] 自己独立思考的能力
[2223.42-2225.42] 翻墙出来才有意义
[2225.42-2227.42] 再见
[2227.42-2228.42] 点赞
[2228.42-2229.42] 订阅
[2229.42-2232.42] 小铃铛尽可能的给我扩散出去
[2232.42-2234.42] 拜拜
