[0.40-5.20] 这就是温哥华今天的天气
[1389.60-1391.64] 原谅我了
[1391.64-1392.42] 所以我呢
[1392.42-1397.50] 再也没有打过大女儿
[1397.50-1398.52] 今天
[1398.52-1400.06] 看了你关于润的视频
[1400.06-1401.60] 完全赞同
[1401.60-1403.64] 但是我个人有个问题不能解决
[1403.64-1405.94] 还想得到你的指点或帮助
[1405.94-1408.00] 儿子在北京上的国际学校
[1408.04-1410.34] 同学大部分是官二代、富二代
[1410.34-1412.40] 毕业回国都有家族安排
[1412.40-1414.44] 我屌丝一眉无力安排
[1414.44-1417.52] 也完全看不上任何国内的工作机会
[1417.52-1420.58] 她美国上学期间最喜欢的事就是回国
[1420.58-1422.38] 与她的大部分同学一样
[1422.38-1424.68] 毕业规划后要回国发展
[1424.68-1426.98] 这与我的初中就大相径庭了
[1426.98-1429.28] 与儿子的最大争议也在这里
[1429.28-1430.82] 好在我有个神助攻
[1430.82-1432.62] 她的女友是一个浙江小女孩
[1432.62-1434.66] 女孩的家长与我想法一致
[1434.66-1436.20] 坚决让女儿在美国发展
[1436.20-1436.96] 不要回来
[1436.96-1437.48] 这样两人毕业后都在美国发展
[1437.48-1438.00] 这样两人毕业后都在美国发展
[1438.00-1439.02] 在美国工作了
[1439.02-1439.80] 疫情三年
[1439.80-1441.32] 他们也不方便回国
[1441.32-1443.38] 因为他们的工作都是远程上班
[1443.38-1444.40] 不坐办公室
[1444.40-1446.96] 最近回国了两个月
[1446.96-1448.24] 前几天与她聊
[1448.24-1451.06] 询问回国的感受
[1451.06-1453.10] 她是乐不思蜀
[1453.10-1454.90] 她的原始想法
[1454.90-1455.66] 剧烈反弹
[1455.66-1457.72] 依然感觉还是国内舒服
[1457.72-1459.50] 还是要考虑回国发展
[1459.50-1461.80] 她的女朋友也是个没主意的人
[1461.80-1463.08] 只是听她的决定
[1463.08-1464.62] 这个真是丑死我了
[1464.62-1466.16] 他们在美国待了八九年
[1466.16-1467.44] 看到的都是美国的问题
[1467.44-1468.72] 和中国的大国崛起
[1468.72-1470.26] 和生活的舒适
[1470.26-1472.30] 对我所说的关于中国的认识
[1472.30-1474.36] 都把我当成老愤青对待
[1474.36-1476.14] 对我用实力讲的道理
[1476.14-1477.68] 他们认为都是特例
[1477.68-1479.72] 与太多付出巨大代价
[1479.72-1482.04] 有可能是终生命运的一代人
[1482.04-1482.80] 一样
[1482.80-1483.56] 总是认为
[1483.56-1485.10] 这次不一样
[1485.10-1486.90] 他们与上一代不一样
[1486.90-1488.68] 当他们支付完代价
[1488.68-1490.74] 知道最终都是一样的时候
[1490.74-1492.02] 可能一切都晚了
[1492.02-1493.30] 这就是阿姨说法
[1493.30-1496.12] 过了节点就失去了选择权
[1496.12-1497.14] 他们目前都拿到了
[1497.14-1497.40] 美国钱
[1497.40-1499.44] 不存在身份问题
[1499.44-1501.76] 不知道还能从什么角度说服他们
[1501.76-1503.04] 放弃回国的想法
[1503.04-1504.56] 非常想听您的建议
[1504.56-1506.62] 或者他们明年可能要去加拿大
[1506.62-1507.90] 能有幸拜访一下你
[1507.90-1509.44] 得到你的当面指点
[1509.44-1511.48] 他山之石可以公寓
[1511.48-1513.28] 况且是你这样对中国认识
[1513.28-1515.32] 如此通透的智者
[1515.32-1516.34] 如果不嫌弃
[1516.34-1517.36] 欢迎来南非玩
[1517.36-1518.64] 一个非常有意思的地方
[1518.64-1521.20] 南非约翰斯内斯堡
[1521.20-1523.00] 这老大哥
[1523.00-1524.02] 你这个问题
[1524.02-1525.56] 其实我刚才开场白的时候
[1525.56-1527.10] 已经帮你解释了
[1527.10-1528.64] 你犯了最大的错误
[1528.64-1529.66] 我听明白了
[1529.66-1532.48] 你的孩子在北京上的国际学校
[1532.48-1533.76] 我不知道为什么
[1533.76-1536.32] 因为你既然在约翰内斯堡
[1536.32-1538.88] 你为什么不带他去约翰内斯堡上学
[1538.88-1541.70] 你为什么留他在北京上学
[1541.70-1544.76] 或者你为什么不把他送到美国加拿大来上学
[1544.76-1545.78] 在中学的时候
[1545.78-1546.82] 也许你
[1546.82-1549.88] 我看你是
[1549.88-1552.18] 你是2020年离开北京的
[1552.18-1553.22] 就刚刚离开北京
[1553.22-1555.26] 疫情之后才离开北京的
[1555.26-1556.28] 那我就理解了
[1556.28-1557.06] 所以你们家庭条件
[1557.06-1559.62] 好你在北京把他送到了国际学校
[1559.62-1561.16] 但是就像我所说的
[1561.16-1565.00] 你的孩子只要高中初中和小学高年级
[1565.00-1566.02] 是在
[1566.02-1567.04] 北京上的
[1567.04-1568.84] 哪怕他上的是国际学校
[1568.84-1571.40] 他也必然会被染红
[1571.40-1573.70] 前一段时间这个暑假
[1573.70-1574.98] 我北京的
[1574.98-1576.26] 高中同学
[1576.26-1578.82] 北京最有名的医院的
[1578.82-1580.36] ICU的主任
[1580.36-1582.40] 带着他的孩子
[1582.40-1584.96] 非常可爱的一个小男孩12岁
[1584.96-1586.24] 来温哥华
[1586.24-1587.02] 度假
[1587.06-1588.34] 孩子
[1588.34-1589.88] 见了我
[1589.88-1591.42] 真情流露
[1591.42-1593.20] 就开始说
[1593.20-1594.74] 我要往日本扔核弹
[1594.74-1595.76] 炸光小日本
[1595.76-1597.82] 杀光小日本
[1597.82-1600.12] 他刚刚下飞机还在我车上
[1600.12-1600.88] 我都shock了
[1600.88-1602.42] 因为他是个很阳光的孩子
[1602.42-1606.26] 而且他上的是北京最好的国际学校
[1606.26-1609.84] 他的老师有一半是白人
[1609.84-1611.12] 我问他
[1611.12-1613.18] 我说孩子
[1613.18-1614.46] 你见过一个日本人吗
[1614.46-1615.48] 他说没有
[1615.48-1617.02] 我说你既然没见过他
[1617.02-1618.04] 你不认识他们
[1618.04-1620.10] 为什么要往他们身上扔核弹
[1620.10-1621.38] 杀光他们呢
[1621.38-1622.40] 因为他们
[1622.40-1623.68] 在二战的时候
[1623.68-1624.44] 侵略我们
[1624.44-1625.98] 杀了我们几千万中国人
[1625.98-1630.26] 到现在他们都不道歉
[1630.26-1632.32] 这就是博恨教育
[1632.32-1633.84] 共产党
[1633.84-1634.88] 这个教育体制
[1634.88-1636.40] 毁掉中国人一代又一代
[1636.40-1637.44] 连续毁掉几代
[1637.44-1639.74] 就是他根本不做博爱教育
[1639.74-1641.52] 他不让人学会爱
[1641.52-1643.84] 他让人学会恨
[1643.84-1646.64] 博恨要比博爱容易得多
[1646.64-1648.44] 当你人生碰到任何挫折
[1648.44-1648.96] 任何不如
[1648.96-1650.76] 无意任何失败的时候
[1650.76-1652.04] 你只要学会恨
[1652.04-1655.88] 你能分分钟转移你的注意力
[1655.88-1657.16] 所以
[1657.16-1658.68] 孩子们从小
[1658.68-1661.76] 就恨美国恨西方恨日本
[1661.76-1664.58] 甚至恨越南恨菲律宾恨印度
[1664.58-1665.86] 恨一切
[1665.86-1668.94] 他们周围的国家
[1668.94-1671.50] 即使在北京最好的国际学校
[1671.50-1674.30] 也未能幸免
[1674.30-1677.12] 学校的白人老师虽然不会让他博恨
[1677.12-1679.18] 但他逃不开社会环境
[1679.18-1679.94] 爷爷奶奶
[1679.94-1681.74] 爸爸妈妈保姆
[1681.74-1682.76] 电视
[1682.76-1684.04] 手机APP
[1684.04-1685.82] 动画片小朋友
[1685.82-1688.90] 所有的环境都在告诉他要恨日本
[1688.90-1690.18] 这种孩子长大了
[1690.18-1692.48] 必然是一个小粉红
[1692.48-1694.02] 他们必然认为
[1694.02-1696.84] 中国是世界上最好的国家
[1696.84-1698.62] 他们充满了
[1698.62-1700.42] 对中国的错误认识
[1700.42-1703.24] 他们完全不知道自己所见的中国
[1703.24-1705.28] 是温室里的一朵花
[1705.28-1706.56] 而真正的中国
[1706.56-1709.38] 是温室之外的960万平方公里
[1709.38-1710.92] 中国人所受的苦难
[1710.92-1712.46] 他们一无所知
[1712.46-1714.24] 即使看到了眼里
[1714.24-1717.32] 他们也会在博恨教育的背景下认为
[1717.32-1719.62] 人分三六九等那是下等人的事
[1719.62-1720.90] 与自己无关
[1720.90-1723.46] 你儿子现在遇到的问题就是这个问题
[1723.46-1725.50] 他的高中同学在中国圈子里
[1725.50-1727.04] 非富即贵
[1727.04-1728.84] 所以他在北京在上海
[1728.84-1730.12] 他简直太舒服了
[1730.12-1731.66] 那是他的舒适区
[1731.66-1733.96] 你焉能把他叫出来呢
[1733.96-1736.00] 除非铁拳砸在他身上
[1736.00-1738.30] 你老哥一点办法都没有
[1738.30-1739.34] 你犯的人生错误了
[1739.34-1740.36] 最大的错误
[1740.36-1744.20] 就是没有让他出中之前出来
[1744.20-1747.54] 所以老王今天带给大家润学的第一个结论
[1747.54-1749.58] 如果你下定决心润
[1749.58-1752.14] 你要先把孩子放出来
[1752.14-1754.70] 你说哎呀这个孩子这么小怎么办
[1754.70-1755.98] 那就投亲靠友
[1755.98-1757.52] 作为他的照顾方
[1757.52-1759.06] 如果没有亲友
[1759.06-1762.12] 那你们就牺牲一个家长带着孩子先出来
[1762.12-1764.42] 这个比什么都重要
[1764.42-1765.20] 如果
[1765.20-1766.22] 既找不到
[1766.22-1768.02] 投亲靠友的对象
[1768.02-1769.30] 又找不到
[1769.34-1771.14] 家长带着他出来
[1771.14-1772.92] 那么就等孩子在
[1772.92-1774.20] 初中的时候
[1774.20-1777.02] 他就可以在这边找一个当地的寄宿家庭
[1777.02-1778.30] 做一个小留学生
[1778.30-1780.86] 这是他出来的最晚的时间
[1780.86-1783.94] 如果这个孩子18岁之前没有出来
[1783.94-1785.72] 几乎99%
[1785.72-1788.02] 都没有办法进行完美的适应
[1788.02-1789.56] 他们不会是美国
[1789.56-1790.58] 和加拿大人
[1790.58-1792.38] 他们会是个中国人
[1792.38-1793.40] 在留学
[1793.40-1796.48] 他们本身会变成第一代移民的心态
[1796.48-1798.02] 而我们的目的
[1798.02-1799.30] 其实就是牺牲我们
[1799.34-1800.10] 在这一代
[1800.10-1801.64] 作为种子扎下根去
[1801.64-1803.94] 让他们做第2代移民
[1803.94-1806.76] 不用经历这种文化冲突的痛苦
[1806.76-1809.32] 但是你如果13岁以后让他出来
[1809.32-1810.10] 他
[1810.10-1812.14] 和你要共同经历
[1812.14-1814.96] 文化冲突的痛苦
[1814.96-1817.00] 所以所有的人都会犯错误
[1817.00-1820.58] 所有的人都不得不为自己犯下的错误埋单
[1820.58-1821.36] 我们
[1821.36-1824.68] 肉眼凡胎总是看不到未来的东西
[1824.68-1825.46] 所以老哥
[1825.46-1827.50] 你在2020年之前
[1827.50-1829.30] 已经筑成了错误
[1829.34-1831.38] 你儿子的这个世界观的形成
[1831.38-1832.66] 已经完成了
[1832.66-1833.94] 你现在再后悔
[1833.94-1834.98] 也来不及了
[1834.98-1836.50] 所以通过老王这个节目
[1836.50-1839.06] 我希望所有看到我节目计划论
[1839.06-1841.88] 或者刚刚出来论的这些家长们
[1841.88-1843.16] 一定要把孩子
[1843.16-1844.70] 尽早的带出来
[1844.70-1845.98] 这是肺腑之言
[1845.98-1847.00] 金玉良言
[1847.00-1849.56] 不要担心什么孩子学不会中文
[1849.56-1852.90] 中文在未来的二三十年是负资产
[1852.90-1854.42] 记住敲黑板划重点
[1854.42-1856.74] 中文在西方发达国家
[1856.74-1858.02] 及文明社会
[1858.02-1859.30] 在未来的二三十年是负资产
[1859.30-1862.88] 除非你孩子
[1862.88-1865.18] 加入CIA情报局
[1865.18-1866.98] 进入中国做特工
[1866.98-1867.74] 你不愿意吧
[1867.74-1869.80] 因为分分钟有可能丢了命
[1869.80-1871.34] 因为未来的二三十年
[1871.34-1872.86] 中国会进入
[1872.86-1876.46] 跟世界对抗的这样一个冷战周期里面
[1876.46-1878.76] 甚至会发生热战
[1878.76-1880.80] 我们会讲中文
[1880.80-1883.36] 在这边占不到任何便宜
[1883.36-1884.38] 而且
[1884.38-1886.44] 因为你会讲中文的孩子
[1886.44-1889.00] 有了小粉红的社会价值观背景
[1889.00-1891.56] 你极其有可能受到本地
[1891.56-1894.64] 孩子及本地主流社会的排挤
[1894.64-1897.20] 甚至像刘阿姨说的被送进集中营
[1897.20-1898.48] 都是有可能的
[1898.48-1900.26] 因为你哪天管不住嘴
[1900.26-1902.82] 你哪天又在游行的时候
[1902.82-1904.10] 在街上
[1904.10-1905.90] 耍五星红旗
[1905.90-1909.48] 或者在人家其他的民主力量游行的时候
[1909.48-1911.52] 你去卷人家的旗子
[1911.52-1913.06] 打人家香港人
[1913.06-1914.86] 打香港学生
[1914.86-1917.16] 这不都是我们小粉红干的吗
[1917.16-1918.96] 你们以为没有报应吗
[1919.00-1922.08] 如果你们将来这些小粉红留在西方国家
[1922.08-1924.64] 一定会被清算的
[1924.64-1925.40] 这个话题呢
[1925.40-1926.68] 咱们就说到这
[1926.68-1928.72] 孩子说一口地道的日语
[1928.72-1930.00] 地道的英语
[1930.00-1931.54] 并且以日本人
[1931.54-1932.32] 和
[1932.32-1936.92] 美国人加拿大人英国人澳大利亚人本地人的世界观去思考问题
[1936.92-1940.24] 这比他妈什么都重要
[1940.24-1941.78] 接着念一段
[1941.78-1945.12] 跟老王刚才动感情那段有关系
[1945.12-1947.68] 也是孩子教育问题
[1947.68-1948.44] 继某
[1948.44-1949.46] 大老王您好
[1949.46-1950.48] 肉身国内
[1950.48-1951.52] 翻墙一载有余
[1951.52-1953.04] 从没发表过任何评论
[1953.04-1954.58] 只有默默地观看
[1954.58-1956.64] 甚至很多我认为优秀的作品
[1956.64-1958.16] 我连点赞都不敢
[1958.16-1959.70] 我是不是有点懦弱
[1959.70-1960.48] 你不懦弱
[1960.48-1962.00] 你身上这叫恐惧
[1962.00-1965.08] 恐惧是人的正常反应也是本能反应
[1965.08-1965.84] 共产党
[1965.84-1967.12] 统治下的中国
[1967.12-1969.44] 所有的人都生活在恐惧中
[1969.44-1970.96] 我们完全不知道
[1970.96-1973.02] 西方发达国家
[1973.02-1976.08] 正常民主社会宪法里边那句
[1976.08-1977.12] 让公民
[1977.12-1978.40] 有免于恐惧的自由
[1978.44-1980.24] 有多么的重要
[1980.24-1981.52] 我们中国人从小
[1981.52-1982.54] 就接受教育
[1982.54-1984.08] 包括父母给我们的教育
[1984.08-1985.36] 别瞎说
[1985.36-1986.64] 你注意自己的嘴啊
[1986.64-1987.66] 你不要乱说
[1987.66-1989.20] 这就是一种恐惧
[1989.20-1991.50] 发自内心的恐惧刻到了他们的基因里
[1991.50-1992.78] 他们又传给了下一代
[1992.78-1994.56] 所以你
[1994.56-1996.36] 感受到的恐惧说明你还是
[1996.36-1997.64] 非常正常的一个人
[1997.64-1999.94] 言归正传
[1999.94-2001.48] 我夫妻二人一儿一女
[2001.48-2002.76] 女儿今年刚刚
[2002.76-2005.32] 上小学一年级儿子幼儿园真有福啊
[2005.32-2006.60] 姚老弟你真有福
[2006.60-2008.40] 每到晚
[2008.44-2012.28] 晚饭之后就是我一天中最糟糕的时刻
[2012.28-2014.58] 因为我老婆开始辅导女儿做作业了
[2014.58-2016.38] 小学一年级
[2016.38-2018.16] 几乎每次都是鸡飞狗走
[2018.16-2019.44] 鬼哭狼嚎
[2019.44-2022.26] 我和老婆两人结婚至今有10年了
[2022.26-2024.32] 从来不会因为任何事吵架
[2024.32-2026.62] 直到这该死的小学生活开始
[2026.62-2028.92] 我不止一次的很严肃的跟他谈
[2028.92-2031.48] 你到底希望我们的孩子过怎样的生活
[2031.48-2033.52] 琴棋书画样样精通
[2033.52-2035.06] 成绩名列前茅
[2035.06-2038.40] 将来站在某个舞台上大放异彩然后感谢你
[2038.40-2042.50] 我说我只要我的孩子有一个健康的身体和健全的心智
[2042.50-2044.28] 而且以我现在
[2044.28-2045.32] 所拥有的
[2045.32-2046.60] 即使
[2046.60-2048.64] 他们将来什么也不用做
[2048.64-2050.44] 都可以过上不错的生活
[2050.44-2053.50] 何必在他们活泼开朗的年纪扼杀他们的天真
[2053.50-2055.56] 把他们变成磨盘上的驴一样
[2055.56-2057.34] 成绩差就差点吧
[2057.34-2058.88] 老实说就说两句吧
[2058.88-2060.92] 这和孩子幸福相比不值一提
[2060.92-2062.20] 可是啊可是
[2062.20-2062.98] 呵呵
[2062.98-2064.76] 每次我都以为他听进去了
[2064.76-2067.58] 但第二天我仍然能听到打骂声
[2067.58-2068.10] 从我
[2068.10-2069.90] 儿女的房间传出来
[2069.90-2071.42] 那不是辅导作业
[2071.42-2073.48] 那在我看来就是虐待
[2073.48-2076.04] 从肉体到精神的双重虐待
[2076.04-2079.10] 每每长达几个小时
[2079.10-2080.14] 你可能会想
[2080.14-2080.90] 为什么你
[2080.90-2082.18] 不自己教
[2082.18-2083.98] 让他离孩子远点
[2083.98-2086.28] 第一我就是个学渣初中毕业
[2086.28-2089.10] 第二我的工作基本都在8小时之外
[2089.10-2090.12] 时间完成
[2090.12-2093.70] 准确的说就是我的时间我自己做不了主
[2093.70-2095.74] 这个做生意应该都能理解
[2095.74-2097.80] 我曾经有一次听到一声惨叫
[2097.80-2100.36] 立马冲了过去抱着我抽气的女儿
[2100.36-2101.38] 指着他说
[2101.38-2104.20] 刑警队行训逼供也不过如此
[2104.20-2107.02] 至此我们已经不能再沟通孩子的问题了
[2107.02-2108.30] 尤其是教育
[2108.30-2112.14] 我清楚的知道再往前走一步就是婚姻的终点
[2112.14-2116.48] 我不知道他到底要一个什么样的生活什么样的家什么样的孩子
[2116.48-2118.28] 尤其连他自己也不知道吧
[2118.28-2122.38] 他就像党一样不遗余力的要把人改造成他想要的样子
[2122.38-2125.44] 为了不将负能量留在家里我只能想
[2125.44-2127.50] 这可能是教育体制问题
[2127.50-2129.80] 他们希望家庭矛盾的产生
[2129.80-2132.10] 并将矛盾留在群众当中
[2132.10-2134.42] 这样想我会稍微舒服一点
[2134.42-2135.18] 大老王
[2135.18-2138.50] 如果你的夫人打着教育子女的名义对你的子女实施
[2138.50-2141.06] 伤害式教育恐吓吼叫打骂
[2141.06-2143.62] 你若阻止婚姻结束你若不阻止
[2143.62-2146.18] 孩子每天都会从地狱走一个来回
[2146.18-2149.26] 你若交流抗议无效你该怎么样
[2149.26-2150.80] 这个局怎么破
[2150.80-2155.11] 或许他们都是我今生的缘也是债呀
[2155.11-2156.91] 这个是一个非常重要的问题
[2156.91-2158.45] 所以我今天特意拿出来
[2158.45-2160.75] 放在儿童教育这个专题里面
[2160.75-2163.57] 跟大家讲一讲
[2163.57-2166.89] 首先你老婆的精神是有疾病
[2166.89-2167.93] 你别不爱听
[2167.93-2169.71] 你老婆是个神经病
[2169.71-2172.79] 这种神经病在中国非常常见
[2172.79-2174.33] 因为精神上的疾病
[2174.33-2176.37] 你从外观上你看不出来
[2176.37-2177.91] 他比较正常
[2177.91-2180.21] 这种精神病咱们看不出来的
[2180.21-2183.29] 但是他体现在他的记点上他就会瞬间爆发
[2183.29-2185.07] 你老婆的这种精神病
[2185.07-2187.63] 在中国的家长里面大量的存在
[2187.63-2188.15] 他们
[2188.15-2190.71] 从小熟读二十四史
[2190.71-2193.01] 他们从小熟读二十四校
[2193.01-2194.29] 认为孩子
[2194.29-2196.09] 是自己生命的延续
[2196.09-2198.39] 孩子是自己的一部分
[2198.39-2202.23] 尤其是母亲认为孩子是自己娘身上割下来的肉
[2202.23-2205.31] 他没有把孩子当成一个平等的灵魂
[2205.31-2207.61] 他人生不能实现的
[2207.61-2210.67] 他一定让他的儿子女儿实现
[2210.67-2213.49] 他自己站不到清华园站不到北大
[2213.49-2217.85] 他让他的儿子女儿站到清华园站到北大
[2217.85-2219.65] 他自己成不了世界冠军
[2219.65-2222.45] 他想让他的儿子女儿替他成为世界冠军
[2222.45-2224.51] 这其实归根结底的
[2224.51-2227.83] 说就是一种极度的自私
[2227.83-2229.11] 我为什么跟你
[2229.11-2230.39] 说的这么严重呢
[2230.39-2232.19] 因为他的这种行为
[2232.19-2233.73] 你必须高度重视
[2233.73-2238.07] 他这种行为在西方文明国家是犯罪行为
[2238.07-2239.87] 他打孩子这样辱骂孩子
[2239.87-2240.89] 这个
[2240.89-2242.69] 在西方发达国家
[2242.69-2244.47] 都是犯罪行为
[2244.47-2247.29] 你分文中可以打911
[2247.29-2249.33] 警察会立马登门
[2249.33-2250.87] 把他抓走
[2250.87-2252.41] 对他进行训诫
[2252.41-2256.51] 并且让他在多长时间内不能接触这个孩子
[2256.51-2260.09] 如果他改不了屡教不改像你老婆这样
[2260.09-2261.11] 公家
[2261.11-2262.39] 就会把孩子
[2262.39-2263.67] 抓走
[2263.67-2264.69] 放到一个
[2264.69-2266.23] 寄宿家庭里面去
[2266.23-2267.51] 不让你们家养了
[2267.51-2271.87] 你们家这个标准在加拿大绝对是不能养孩子的
[2271.87-2273.15] 你是正常的
[2273.15-2274.69] 你不欠任何人的债
[2274.69-2275.45] 你不要
[2275.45-2277.25] 把这个矛盾转移到共产党身上去
[2277.29-2279.85] 共产党跟你们家没关系
[2279.85-2281.89] 是你们家自己出了问题
[2281.89-2282.67] yes
[2282.67-2284.21] 教育资源不对
[2284.21-2286.25] 但是你家的房牙之下
[2286.25-2288.81] 变态你是可以抵抗这个变态制度
[2288.81-2290.09] 你作为父亲
[2290.09-2291.89] 你是家里的阿尔法
[2291.89-2293.41] 你不能躲起来
[2293.41-2294.69] 你该干的事
[2294.69-2299.31] 该扮演的角色你必须勇敢的去扮演勇敢的去做
[2299.31-2301.61] 必须制止这种对儿童的
[2301.61-2304.69] 伤害和犯罪
[2304.69-2305.97] 我话说到这份上
[2305.97-2307.25] 你也知道老王的
[2307.29-2308.31] 意思了
[2308.31-2310.11] 离婚就离婚
[2310.11-2311.39] 这种女人
[2311.39-2313.17] 这种病态
[2313.17-2314.97] 你不给他雷霆一棒
[2314.97-2316.25] 根本醒不了
[2316.25-2317.53] 你给他雷霆一棒
[2317.53-2319.33] 他可能都未必能完全醒
[2319.33-2322.91] 所以你如果是个爷们赶紧离婚
[2322.91-2324.69] 带着两个孩子出去
[2324.69-2328.79] 晚上该做作业让孩子做一个小时的家庭作业
[2328.79-2329.81] 能辅导
[2329.81-2330.59] 辅导
[2330.59-2331.61] 不能辅导
[2331.61-2333.41] 带着孩子出去玩一玩
[2333.41-2335.45] 孩子都快快乐乐的长大
[2335.45-2336.47] 比什么都强
[2336.47-2337.25] 记住我这句话
[2337.29-2339.59] 棍棒底下出不来孝子
[2339.59-2342.67] 棍棒底下出来的是18岁以后20岁以后
[2342.67-2344.71] 孩子对你们永远的恨
[2344.71-2346.77] 如果有朝一日他真的有了出血
[2346.77-2347.79] 出国留学
[2347.79-2349.33] 他都不愿意给你打电话
[2349.33-2352.35] 不愿意再见你
[2352.35-2353.39] 我有个推友
[2353.39-2355.17] 是个美国的德州的大美女
[2355.17-2356.71] 他就是这样的呀
[2356.71-2360.29] 他在他的推特上写过他从小怎么被他妈妈虐待
[2360.29-2361.31] 爸爸殴打
[2361.31-2362.85] 所以他现在就是逃跑
[2362.85-2364.13] 逃避
[2364.13-2365.15] 恨
[2365.15-2367.71] 你愿意让这种悲剧在你们家重演吗
[2367.71-2368.75] 而且你有一儿一女
[2368.79-2370.33] 你多幸福啊
[2370.33-2371.87] 哇又传真了
[2371.87-2374.17] 你多幸福啊
[2374.17-2375.71] 大陆货轮又开过去了
[2375.71-2379.06] 老王好幸福
[2379.06-2381.88] 好正好宽松宽松我们的气氛
[2381.88-2383.16] 刚才老王说激动了
[2383.16-2384.44] 因为不能提孩子
[2384.44-2387.50] 孩子对我们来说是最大的福报
[2387.50-2389.82] 这才是我心里最柔软的部分
[2389.82-2391.34] 咱们
[2391.34-2393.66] 改变不了这个世界
[2393.66-2395.70] 因为我们没有文达到
[2395.70-2397.50] 奸计天下的状态
[2397.50-2400.06] 但是我们完全可以独善其身
[2400.06-2402.36] 独善我家
[2402.36-2405.44] 你必须像个丈夫像个父亲一样
[2405.44-2407.74] 保护你的女儿和你的儿子
[2407.74-2409.54] 你女儿才小学一年级
[2409.54-2412.60] 如果每天都要在一两个小时两三个小时的
[2412.60-2414.14] 噩梦中成长
[2414.14-2417.72] 他可还要过到18岁才能离开家庭
[2417.72-2418.74] 天呐
[2418.74-2421.06] 11年的时间在等着他
[2421.06-2422.34] 这不是地狱这是什么
[2422.34-2424.64] 这是对儿童赤裸裸的犯罪
[2424.64-2426.68] 绝对不能这样的
[2426.68-2429.24] 必须从苦海里从地狱里把他拔出来
[2429.24-2429.92] 你是爸爸
[2429.92-2431.72] 你要做事你要有所作为
[2431.72-2433.00] 你不能无所作为啊
[2433.00-2436.23] 老弟
[2436.23-2437.77] 好了
[2437.77-2439.05] 希望你能听进去
[2439.05-2441.09] 你要是说服不了你老婆
[2441.09-2443.13] 你就让他看我这段视频
[2443.13-2444.41] 你老婆
[2444.41-2448.25] 是个被中华传统文化糟粕彻底洗脑了的疯婆子
[2448.25-2452.09] 他在文明社会普世价值社会下他就是个罪犯
[2452.09-2453.89] 他是个虐待儿童的犯人
[2453.89-2455.69] 所以他庆幸
[2455.69-2458.75] 他没有在加拿大美国这种文明国家
[2458.75-2462.09] 所以他才能逃出法律的制裁
[2462.13-2466.23] 他之所以不重视跟你谈完了之后还去打还去虐待
[2466.23-2468.53] 他就认为自己没有在犯罪
[2468.53-2470.57] 他意识不到他无知者无畏
[2470.57-2474.67] 他以为自己最多就是个性格上的缺陷
[2474.67-2479.03] 他完全不知道自己实际上是在犯罪
[2479.03-2481.07] 让你老婆看这段视频
[2481.07-2482.35] 信就改
[2482.35-2483.63] 不信就离婚
[2483.63-2485.17] 因为孩子未来的11年
[2485.17-2486.71] 在这样的地狱里长大
[2486.71-2488.75] 将来一定不会正常
[2488.75-2491.05] 一定是性格扭曲心理扭曲的
[2491.05-2494.56] 好了
[2494.60-2498.18] 今天给大家讲个日语学教育专场
[2498.18-2501.26] 希望老王现身说法抛砖引玉
[2501.26-2504.84] 用我这一点点浅薄的经验
[2504.84-2506.38] 引起大家的思考
[2506.38-2510.40] 让大家的智慧
[2510.40-2512.96] 让大家获得般若智慧
[2512.96-2516.26] 看完之后顺手点个赞
[2516.26-2518.56] 做人要厚道
[2518.56-2522.40] 8000订阅了老王好开心20多天
[2522.40-2523.42] 加油
[2523.42-2525.22] 干事干好
[2525.22-2525.98] 再见
