[1.74-3.74] 哈喽 大家好
[3.74-5.74] 大家好 大家好
[5.74-7.74] 牙缝王又来了
[1327.71-1328.67] 那无所谓了
[1328.67-1329.99] 庄家这边几个亿的身家
[1329.99-1330.59] 你慢慢玩
[1330.59-1331.51] 玩100次
[1331.55-1333.71] 49对51的规律就出来了
[1333.75-1334.55] 懂吧
[1335.03-1338.51] 所以庄家在赌场里面不怕你赢钱
[1338.51-1339.71] 就怕你不来
[1340.19-1343.19] 因为你的筹码被庄家压得很小
[1343.23-1344.23] 庄家是一个亿
[1344.23-1345.03] 两个亿的规模
[1345.03-1346.91] 你是1万2万的规模
[1346.91-1349.99] 你们差100倍的实力
[1350.03-1350.63] 这样的话
[1351.07-1351.87] 只要多次
[1351.87-1352.79] 扔硬币
[1352.83-1354.11] 多次扔硬币
[1354.15-1356.91] 硬币一定是50%正面朝上
[1356.91-1359.31] 50%反面朝上
[1359.71-1361.95] 但是如果只扔一次或者两次
[1361.95-1363.51] 真有可能连着都是正面
[1364.51-1364.87] 懂吧
[1364.87-1365.99] 这就是赌场
[1365.99-1368.87] 一定要让你大树园里有机会出现
[1368.91-1371.83] 一定要让你的概率论有机会显灵
[1372.43-1373.19] 有机会显灵
[1373.19-1374.43] 就是多次重复概率
[1374.43-1375.51] 才有机会显灵
[1376.19-1378.23] 而宅宅鹰那种东西
[1378.39-1379.71] 就是偷看底牌
[1379.87-1381.39] 你妈永远你赢不了
[1381.43-1381.71] 所以
[1381.71-1381.87] 这时候
[1381.87-1382.79] 这种是骗局
[1382.79-1383.51] 大家不要去
[1383.91-1386.23] 他们弄足够多的钱以后
[1386.23-1388.19] 他们甚至会关了盘子跑路的
[1388.31-1390.55] 就像他现在普华云河一关
[1390.55-1391.63] 他跑了
[1393.15-1395.75] 得亏是太监把他的钱给拐走了
[1395.75-1396.55] 要不然的话
[1396.55-1398.83] 我估计是行李书把他的钱给骗走了
[1398.95-1402.07] 要不然他跟张萌在迪拜不至于那么惨
[1402.15-1403.11] 还要拉皮条
[1403.11-1404.59] 从重操就业
[1405.63-1407.03] 拉皮条什么本行
[1408.47-1409.51] 我又捂嘴了
[1409.51-1410.27] 山英
[1410.27-1411.71] 我现在不想抖落你家里的
[1411.71-1412.15] 脏事
[1412.15-1413.75] 我要看你抖落我了
[1414.75-1416.71] 你喷我牙缝
[1416.71-1417.83] 喷我爷爷河北人
[1417.83-1418.63] 我就喷你
[1418.63-1421.15] 喷你家张萌一句话
[1421.15-1421.87] 如果你再喷
[1421.87-1423.63] 我就把张萌事都抖了出来
[1423.79-1424.75] 我把谦谦也请来
[1424.75-1426.63] 我给谦谦买个头等舱机票
[1426.63-1427.87] 让他让他坐在我这
[1428.43-1428.75] 哭
[1430.07-1431.19] 我看你怎么收场
[1433.85-1435.17] 互联网可喜欢这了
[1436.33-1437.01] 又提他了
[1437.01-1437.41] 不提他了
[1437.41-1437.97] 不提他了
[1438.21-1439.13] 咱们说正经的
[1439.37-1441.01] 因为我们现在正经人很多
[1441.01-1442.85] 我们有点
[1442.85-1443.45] 偶像包袱
[1443.45-1444.33] 要说点正经事
[1445.33-1446.05] 那么
[1446.89-1448.45] 国际五大金商
[1448.73-1450.09] 国际原油盘
[1450.25-1451.45] 澳元盘
[1451.49-1452.49] 加元盘
[1452.49-1453.37] 这些
[1453.89-1455.33] 国际金融市场
[1455.37-1456.05] 你放心
[1456.05-1457.13] 它一般情况下
[1457.13-1459.41] 不会对散户出杀手锏
[1459.57-1461.21] 它真的是概率论
[1461.21-1462.57] 跟普京娱乐场
[1462.73-1464.89] 和永利娱乐场是一样的
[1466.70-1468.42] 张伟兴为什么爆仓
[1468.74-1471.70] 因为张伟兴跟国际五大金商
[1471.70-1473.06] 直接做对手盘
[1473.10-1473.90] 拿25倍
[1473.90-1474.18] 50倍
[1474.18-1475.46] 50倍杠杆
[1475.50-1477.78] 他自己带着10个亿的现金过去
[1477.82-1479.46] 你想想成50个亿杠杆
[1479.46-1480.70] 他是他多少钱
[1480.74-1482.90] 而且他有好多的马仔
[1482.90-1483.50] 雍顿
[1483.50-1484.58] 在香港也有
[1484.62-1485.86] 这些人都做死多
[1485.86-1487.22] 这些华人的力量
[1487.22-1488.50] 全团聚在一起
[1488.54-1489.46] 2008年
[1489.46-1490.74] 在格鲁吉亚战争之前
[1490.74-1492.02] 压黄金暴涨
[1492.06-1493.22] 如果他们赢了的话
[1493.22-1494.18] 国际五大金商
[1494.18-1495.22] 他吐血了就
[1495.22-1496.26] 就相当于你在
[1496.30-1497.66] 何鸿升永利赌场
[1497.70-1498.38] 你他们脱台
[1498.38-1499.34] 你压了100个亿
[1499.34-1500.42] 何鸿升一定要看牌了
[1500.42-1500.90] 那次
[1501.78-1503.42] 这种是小概率事件
[1503.42-1506.42] 而且这种概率发生的机会极低
[1506.42-1508.34] 只有张卫星这种疯子出现
[1508.62-1511.14] 他去挑战世界行情
[1511.18-1513.82] 他才会出现这种黑天鹅事件
[1513.82-1514.54] 出一次
[1514.58-1516.10] 就是上帝都得显灵了
[1516.10-1517.82] 要不然按不住你老习
[1517.86-1519.22] 老川这些人了
[1519.78-1520.26] 为什么
[1520.54-1521.14] 你们胡来
[1521.26-1521.78] 操
[1521.86-1523.82] 所以这种概率非常小
[1523.82-1525.34] 对于普通老百姓来说
[1525.38-1526.82] 你这一辈子都不会碰见的
[1527.02-1527.70] 你不会碰见
[1527.70-1529.10] 就你那仨瓜俩枣
[1529.10-1530.02] 撑死了一个亿
[1531.02-1532.18] 没准连一个亿都没有
[1532.22-1533.38] 只有几十万
[1533.42-1536.06] 你还想让国际五大金商出千干
[1536.06-1536.38] 你
[1536.38-1537.70] 你想太多了
[1537.70-1538.54] 你真你想的
[1538.54-1539.58] 你咖太小了
[1539.62-1540.42] 你轮不着
[1540.42-1541.78] 所以你们不用担心
[1542.18-1543.14] 黄金
[1543.18-1544.26] 投资
[1544.30-1545.38] 原油投资
[1545.38-1546.62] 外汇投资
[1546.74-1548.30] 他虽然是庄家
[1548.30-1550.70] 但是他的庄家吃相没有那么难看
[1551.30-1553.18] 天下金融一大片
[1553.18-1554.74] 天下金融一大堵
[1555.02-1556.82] 天下金融皆是局
[1556.82-1557.86] 这话没错
[1557.90-1561.02] 但是要看庄家的吃相
[1561.46-1563.10] 关键字敲黑板话中讲
[1563.10-1564.38] 吃相难不难看
[1564.38-1565.38] 很重要
[1565.90-1566.90] 你说美国黑不黑
[1566.90-1568.22] 美国当然黑了
[1568.26-1569.46] 美国没有深层政府吗
[1569.50-1570.58] 他当然有了
[1570.62-1572.54] 但是人家都是老红博五代
[1572.54-1573.86] 四代的这种贵族
[1573.90-1575.54] 人家吃相很好看
[1575.58-1577.94] 人家绝对不会把他们的政治
[1578.06-1579.54] 敌人和潜在对手
[1579.58-1580.74] 直接灌个小药片
[1580.74-1583.62] 让你在游泳池里游泳就死了
[1583.62-1584.74] 绝对不会干这种事
[1584.74-1586.38] 吃相太难看了
[1586.42-1589.66] 绝对不会把前总统从全国代表大会上
[1589.66-1590.54] 给架下去
[1590.54-1592.30] 这吃相太难看了
[1592.34-1593.06] 所以
[1593.10-1596.22] 全世界的金融赌不赌
[1597.18-1599.50] 看他的庄家吃相难不难看
[1599.54-1601.38] 翟山英这种小咖小骗子
[1601.38-1602.22] 吃相太难看了
[1602.22-1603.18] 别进他们的盘子
[1603.70-1604.66] 你们真的想赌
[1604.66-1606.22] 真的觉得我有颗不安分的心
[1606.22-1607.74] 我觉得我是天才
[1607.78-1609.62] 我可以看透世界什么密码
[1609.62-1610.58] 比特币密码
[1610.62-1611.14] 绝对可以
[1611.14-1612.34] 比特币你们绝对可以赌
[1612.34-1613.58] 没人能操得了盘
[1613.62-1615.90] 比特币绝对不好操盘的
[1615.94-1617.70] 他只能用大量的算力
[1617.70-1619.22] 大量的金钱去操盘
[1619.22-1620.78] 那基本上就不叫操盘了
[1620.82-1621.82] 那叫真的
[1622.70-1623.06] 对不对
[1623.06-1626.94] 所以大家放心的去投
[1626.94-1628.70] 放心的去分析
[1628.74-1631.30] 你那点还不至于碰到黑天鹅
[1631.70-1633.62] 你那点还不至于碰到庄家
[1633.62-1635.46] 直接放出黑天鹅
[1635.46-1636.50] 好吗
[1636.62-1639.06] 所以不要看老王的金融揭灭
[1639.10-1641.06] 看到另一个走火入魔的极端
[1641.06-1641.42] 不要
[1642.50-1643.94] 我希望大家开智
[1644.06-1644.94] 一定要注意
[1644.94-1646.82] 我今天给大家传递的重点
[1646.82-1649.86] 就是庄家的吃相问题
[1650.42-1651.14] 你要玩
[1651.14-1652.62] 你玩那些主流庄家
[1652.62-1652.98] 吃相
[1652.98-1653.82] 好的那些
[1654.10-1655.50] 你真的可能挣到钱
[1655.50-1657.22] 而且一定记住挣钱就走
[1657.22-1658.22] 买定离手
[1658.26-1660.30] 不要在这里边徘徊
[1660.58-1661.42] 荡漾
[1661.46-1662.94] 久赌必输
[1663.18-1664.86] 没有人能赢得了庄家
[1666.85-1667.33] 好吧
[1667.33-1669.65] 今天我们正经话就说这么多
[1669.73-1672.93] 今天老王说过吗
[1672.93-1673.73] 这有一个班
[1673.73-1674.09] 看到吗
[1674.09-1674.73] 这有个班
[1674.73-1675.69] 这也有个班
[1676.85-1678.17] 我上次去这两块班
[1678.57-1681.17] 还是在田永成美利汇掐指一算
[1681.17-1682.17] 都快10年了
[1683.37-1684.45] 一过10年之后
[1684.49-1685.61] 78年的时候
[1685.61-1686.89] 他就慢慢又涨出来了
[1686.89-1688.77] 这边温文华的美容医师
[1688.77-1691.37] 已经勾引了我三年了
[1691.37-1692.13] 说你赶紧做
[1692.13-1693.57] 你再不做的话
[1694.29-1696.21] 你长太后一次都去不了
[1696.21-1697.05] 得去两次
[1697.05-1698.25] 那两次挺疼的
[1698.25-1699.37] 叫皮秒激光
[1700.05-1702.81] 我今天我本来是10月15号约的
[1702.81-1704.81] 结果人家太多了
[1704.81-1706.01] 有钱人太多了
[1706.29-1707.69] 医生忙不过来
[1707.69-1709.01] 给我推到了10月30号
[1709.01-1710.69] 就是今天一会我就去做了
[1710.69-1712.73] 做完了之后
[1712.81-1713.77] 我就没脸见人了
[1713.77-1714.45] 我就会
[1714.49-1716.05] 挡着点跟大家聊
[1719.07-1720.07] 这么跟大家聊
[1723.43-1725.19] 下午去做美容
[1725.63-1726.83] 不是美牙
[1726.83-1727.43] 想多了
[1727.43-1727.99] 不是美牙
[1727.99-1729.07] 牙这个玩意儿美不了
[1729.07-1730.31] 牙要贴片
[1730.31-1731.67] 要打掉一层牙釉纸
[1731.67-1732.79] 要贴陶瓷片
[1733.15-1734.63] 对牙绝对是要伤害的
[1734.63-1736.03] 要么就是带个菇
[1736.35-1737.27] 往里边哭
[1737.27-1738.71] 你说我都这么大岁数了
[1738.71-1740.11] 人家都是15岁小孩干的
[1740.11-1741.43] 我50岁了
[1741.43-1742.19] 干个菇
[1742.19-1743.67] 我丢不丢这个人呢
[1745.91-1746.75] 我作为皮秒
[1747.59-1748.03] 好了
[1748.03-1748.91] 今天就这样
[1748.91-1750.03] 心情很愉快
[1750.03-1752.35] 完全跟大家交交心聊聊天
[1752.35-1753.19] 点播点播
[1753.19-1754.83] 大家金融揭秘
[1754.83-1756.39] 学习金融的过程中
[1756.39-1757.59] 那个度在哪
[1757.59-1758.83] 不要从一个极端
[1759.43-1760.75] 滑到另一个极端
[1761.71-1763.23] 让大家清醒一整天
[1763.23-1764.39] 防住宅片
[1764.39-1765.43] 再骗你们的钱
[1765.55-1767.03] 再看在我功劳份上
[1767.03-1768.95] 给我们给老王点点赞
[1769.23-1770.03] 多传播
[1770.03-1771.55] 然后有一些技术高手
[1771.71-1775.15] 你们别老给我发老宅的丑徒了
[1775.63-1777.95] 咱们能不能给老王弄点正能量的事
[1777.95-1779.99] 帮我设计什么频道小广告
[1779.99-1780.03] 帮我设计什么频道小广告
[1780.03-1781.43] 我有钱
[1781.43-1784.19] 我可以在YouTube上发广告
[1784.19-1785.07] 我有钱
[1785.23-1786.87] 我可以在YouTube上直接投广告
[1786.87-1788.31] 我找什么王剑
[1788.31-1789.23] 王志安采访我
[1789.23-1791.75] 大老王在YouTube直接投广告
[1791.75-1792.27] 嗨
[1792.27-1793.31] 我是大老王
[1793.31-1795.39] 包括给我弄AI的英文
[1796.11-1797.07] 我是大老王
[1798.03-1800.31] 我是中国的资本大鳄来的
[1800.35-1801.39] 你们给我点面子
[1801.87-1802.43] 看看我
[1802.71-1805.15] 我在YouTube上放广告
[1805.15-1806.51] 但是我不会做广告
[1806.55-1807.67] 你们帮我做广告
[1807.83-1809.39] 我看YouTube有一个长得
[1809.39-1809.79] 哎呦
[1809.79-1809.99] 催
[1809.99-1811.47] 的不行的那小孩
[1811.47-1813.51] 说你们知道我是怎么成功的吗
[1813.51-1814.59] 我操
[1814.79-1815.75] 你怎么成功的
[1815.75-1816.95] 我不知道你是谁戴眼镜
[1816.95-1817.83] 你要是能够成功
[1817.83-1818.43] 你就没命了
[1818.43-1820.11] 你那面相是可能是有钱的人
[1820.71-1821.59] 你知道吧
[1821.59-1822.79] 就是中文YouTube
[1822.79-1823.95] 它如影随形
[1823.95-1825.03] 像个烂蛆一样
[1825.15-1826.19] 我要替代他
[1826.19-1827.31] 我要替代他
[1827.83-1828.99] 我美容了
[1829.03-1829.79] 我要替代他
[1829.79-1831.75] 然后我戴上漂亮的牙套
[1831.83-1833.19] 我也可以做一个这样的
[1833.55-1835.15] 大家有心人
[1835.27-1837.03] 老王拜托你们1万粉了
[1837.23-1839.31] 你们这里边一定有高手
[1839.31-1839.75] 好像有这样的
[1839.75-1840.63] 这样的高手
[1840.75-1841.91] 计算机高手
[1841.91-1843.55] 你们帮我做小片
[1844.39-1845.07] 1分钟
[1845.07-1845.71] 50秒
[1845.71-1846.31] 20秒
[1846.31-1846.91] 那种小片
[1846.91-1848.71] 咱们到YouTube上打广告
[1848.71-1849.51] 弄一把
[1849.67-1850.19] 玩一把
[1850.19-1850.91] 哈哈
[1850.91-1852.31] 再见
[1852.43-1852.99] 再见
[1852.99-1853.67] 点赞
[1853.67-1854.91] 关注小铃铛
[1854.95-1856.63] 突破共产党对我的围堵
[1856.63-1857.35] 拜拜
