[0.00-0.76] 大家好
[1407.68-1412.06] 这就要扯到方金圣上的治国理念
[1412.06-1415.24] 方金圣上在一二年被众望所归
[1415.24-1417.10] 因为自己看起来最老实
[1417.10-1418.30] 最好操控
[1418.30-1420.82] 而推到这个皇上的宝座的时候
[1420.82-1422.44] 其实并没有什么权利
[1423.40-1424.36] 朱永康还在
[1425.56-1426.12] 令计划
[1426.12-1427.60] 刚亡
[1427.60-1431.52] 这个伯三在监狱里还蠢蠢欲动
[1431.52-1433.80] 无数军头放出话来
[1433.80-1435.48] 让他干了两年滚蛋
[1437.34-1441.60] 圣上从三番改编开始拿住军权
[1441.60-1443.46] 又从中纪委下刀
[1443.46-1448.74] 让王岐山这样一个能臣去拿着所有人的小辫子
[1448.74-1454.02] 就是所有人的搞完分化瓦解逐一捏爆捏爆
[1454.02-1455.04] 这个人搞完的时候
[1455.04-1456.00] 对所有人讲
[1456.12-1457.56] 我只跟他有私人恩怨
[1457.56-1458.16] 我捏爆他
[1458.16-1459.00] 你们不要插手
[1459.00-1460.20] 所有的人都不插手
[1460.20-1460.92] 觉得有道理
[1460.92-1463.92] 反正是他们的私人怨不是我的事
[1463.92-1465.30] 搞完罪了
[1465.30-1465.84] 然后呢
[1465.84-1467.76] 没想到这你你也有搞完
[1467.76-1469.38] 因为每一个人都有搞完
[1469.38-1476.46] 在这样一个三十年改革开放的这样一个腐败横行的这样一个是群群带权贵资本主义的体系下
[1476.46-1478.50] 谁不是一个大搞完
[1478.50-1479.40] 不但是有搞完
[1479.40-1480.84] 甚至你本身就是一个搞完
[1482.22-1484.02] 所以在这样一个境界下
[1484.02-1486.10] 习主席居然是无敌的存在
[1486.12-1488.46] 因为每个人都幻化成了搞完
[1490.20-1491.88] 毛主席都不如他厉害
[1491.88-1496.74] 毛主席的时代大家底下没有裤裆里没有拽拽拽着这么大的搞完啊
[1496.74-1497.86] 谁都没钱啊
[1497.86-1499.38] 省委书记也没什么钱呀
[1499.38-1502.08] 刘青山张三才摊了几个钱啊
[1502.08-1503.40] 那他们几算几万的
[1503.40-1504.24] 那不是万
[1504.24-1506.58] 那个时候人民币是必改之前的
[1506.58-1507.40] 所以说流程
[1507.40-1510.06] 刘青山张子善贪污了多少多少万
[1510.06-1512.40] 那你那个是老人民币老板
[1512.40-1514.74] 人民币没谈几个钱
[1514.74-1516.06] 赵紫阳的腐败
[1516.12-1521.34] 腐败的天花板也不过就是天天去打高尔夫
[1521.34-1522.52] 就这点事吗
[1522.52-1526.80] 打着高尔夫球接受了港商送了一套高尔夫球包
[1526.80-1529.96] 陈希同的腐败的天花板就是李亚昌送了一个好
[1531.06-1532.44] 看的照相机
[1532.44-1534.06] 这他们都算个啥
[1534.06-1539.28] 那个时代就是改革开放之前甚至改革开放初期的时代
[1539.28-1540.34] 裤裆里是没搞完的
[1540.34-1542.10] 而且这些哥们都打过仗
[1542.10-1543.34] 你这么捏是捏不住的
[1543.34-1544.38] 容易捏反了
[1544.38-1546.10] 但是承评日久
[1546.12-1549.18] 二十年改革开放江主席上海人带着水一来
[1549.18-1549.84] 哇
[1549.84-1551.16] 所有的人都发财了
[1551.16-1552.66] 所有人都发财了
[1552.66-1555.18] 那所有的人的累赘就都多了
[1555.18-1556.44] 浑身都是搞完
[1556.44-1558.02] 那喜让王岐山去捏
[1558.02-1559.74] 那不是一年一个报一年一个报
[1559.74-1560.88] 军队上流云
[1560.88-1565.74] 你这地方是王岐山所有的人都搞完全稀碎
[1565.74-1567.48] 变成了一滩搞完的海洋
[1567.48-1569.04] 所以所有的人全倒
[1569.04-1571.08] 那老习就迅速的集权
[1571.08-1572.04] 集了权之后
[1573.12-1574.52] 他在修宪之前
[1576.12-1578.40] 就说服各个山头
[1578.40-1579.78] 用这么一个理论
[1579.78-1581.16] 用这么一个理由说服
[1581.16-1585.96] 那时候老王在香港正好参加那个会议的一个老大哥
[1585.96-1588.84] 参加会议的那个老大哥在香港跟我吃饭
[1588.84-1589.74] 跟我聊起来
[1589.74-1590.70] 他怎么说服的呢
[1590.70-1591.84] 他说我有报复
[1591.84-1593.34] 你们让我多干两届
[1593.34-1594.76] 让我改一下宪法
[1594.76-1595.44] 修一下宪法
[1595.44-1596.40] 让我多干两届
[1596.40-1596.94] 干什么
[1596.94-1598.72] 我要收复台湾
[1598.72-1599.76] 完成祖国统一
[1600.72-1602.22] 我完成完了祖国统一
[1603.14-1604.68] 再把权力交给下一代
[1605.68-1605.88] 这几个军队呢
[1605.88-1610.02] 这几个重要的当时还有权力的红色家族点头了
[1610.02-1614.28] 觉得他这个报复确实是目前只有他能完成
[1614.28-1615.36] 换任何一个人
[1615.36-1618.42] 新上来都不具备他的这个基础
[1620.04-1621.12] 成功的顺利修宪
[1622.68-1624.96] 这是一个有报复的人
[1624.96-1627.54] 当时这个老大哥就用了这两个字来形容
[1627.54-1629.58] 他为他们家族为什么点头
[1629.58-1630.54] 就是报复
[1630.54-1631.98] 这是一个有报复的人
[1631.98-1633.00] 我们给他一次机会
[1633.00-1635.00] 他也请我们给他这一次机会
[1635.00-1635.88] 确确实实
[1635.88-1638.64] 两届一任
[1638.64-1641.64] 两届一任是干不了这么大的大事
[1641.64-1646.44] 收复台湾这种事不是两届能干得了的事
[1646.44-1647.88] 必须更长的任期
[1647.88-1648.96] 更大的权威
[1648.96-1652.56] 才能极其极力去打去打台湾
[1654.22-1656.28] 所以打台湾的下线就是2027年
[1657.30-1658.50] 就这么简单
[1658.50-1662.10] 所以2027年之前的部署全都弄完了
[1662.10-1663.96] 早都做好了
[1663.96-1665.40] 他修改宪法
[1665.40-1667.08] 实现连任的那一天
[1667.08-1670.40] 筹码就是在2027年以前处理完一切
[1671.72-1672.72] 那以我党的作风
[1672.72-1675.00] 2027年是最后线实现
[1675.00-1677.10] 那怎么可能2027年去打了
[1677.10-1678.56] 他一定往前提了
[1678.58-1683.64] 这也就是老王一再强调的是2024他会打台湾
[1683.64-1687.42] 本来我以为他2020就会打台湾
[1687.42-1689.88] 后来出现了疫情
[1689.88-1691.38] 顺延到了2024
[1691.38-1694.86] 疫情也助力老习迅速的完成了军管一点零
[1695.40-1698.44] 大家可能注意到一个细节
[1698.44-1704.88] 老习在他接任总书记拿到大权的前期前半场
[1704.88-1707.30] 他并没有去北朝鲜
[1707.30-1712.14] 也没有跟金三进行过任何的友谊和互动
[1712.14-1715.50] 实际上他跟金三当时是互相不睬对方
[1715.50-1717.60] 中国和北朝鲜的关系非常的僵
[1719.08-1722.58] 因为所有的人都以为他要沿着他爹的路线走
[1722.58-1723.68] 继续改革开放之路
[1723.68-1724.26] 那样的话
[1724.26-1725.40] 中国和韩国
[1725.40-1728.88] 就会研究彻底解决北朝鲜的问题
[1728.88-1734.46] 所以金三和这样的一个日益走向西方民主化的中国是不可能尿到一个壶里的
[1735.48-1739.26] 但是随着金三去北戴河
[1739.26-1741.60] 见了习总书记之后
[1741.60-1743.46] 两个人的感情迅速升温
[1744.84-1746.88] 以至于在后期
[1746.88-1748.24] 最近这两年
[1748.24-1754.74] 最近这两年老习开会一再强调我们的经济建设比北朝鲜同志们做得好
[1754.74-1755.28] 但是
[1755.40-1756.60] 我们的政治建设
[1756.60-1757.56] 我们的国家建设
[1757.56-1759.36] 照人家朝鲜同志差得远
[1759.36-1760.02] 这他原话
[1760.02-1761.66] 他真的这么想
[1761.66-1765.78] 他的陕西梁家河扛麦郎的小学思维
[1765.78-1769.32] 文革思维在执政的后半期
[1769.32-1770.70] 大权在手之后
[1770.70-1772.08] 失去制约之后
[1772.08-1773.46] 彻底的放飞自我
[1773.46-1778.12] 回归了原始本尊
[1778.12-1779.80] 他非常羡慕金三怕
[1780.70-1782.28] 他在回党造谎
[1782.30-1784.00] 而且是有意的回党造谎
[1785.44-1787.06] 毫无疑问
[1787.06-1790.48] 他这么干会把共产党的统治基础全部都毁掉
[1791.74-1793.68] 现在普天之下
[1793.68-1797.92] 整个中国960万平方公里哪个老百姓不骂共产党
[1797.92-1800.50] 以前骂共产党的老百姓其实并不多的
[1800.50-1804.76] 因为改革开放的红利每个人都拿到了骂也是抱怨几句
[1804.76-1806.32] 就像老婆骂老公一样
[1806.32-1807.84] 不是真要跟你翻脸
[1807.84-1810.76] 但是疫情之后老习军管一点零之后
[1810.76-1812.62] 到今天我是没见过
[1812.62-1815.56] 没见过没有发自内心骂共产党的中国老百姓
[1817.06-1822.24] 也许我去过多年有发自内心的支持共产党的
[1823.30-1828.58] 大家请在评论区告诉我们这儿的人有20%或者30%支持共产党
[1828.58-1829.30] 支持习近平
[1830.14-1834.10] 我认为没有习近平这样毁了共产党
[1834.46-1837.90] 但是回党对习近平是有利的
[1838.90-1840.10] 就像刘阿姨讲的
[1841.14-1844.74] 蒋介石的生态位当时是非常被动的
[1845.10-1846.82] 蒋介石一意孤行的挑起
[1846.82-1847.04] 对
[1847.04-1848.96] 我认为是一个很严峻的战争
[1848.96-1851.24] 毁了国民党丢了整个中国大陆
[1851.24-1853.28] 但是对蒋家可不是坏事
[1853.28-1857.12] 如果不丢中国大陆不会不退守台湾
[1857.12-1859.28] 老蒋怎么能把政权交给小蒋呢
[1859.28-1862.28] 孙柯还活着呢
[1862.28-1863.00] 李宗仁还在
[1863.00-1865.28] 王靖渭也没死
[1865.28-1869.28] 从哪个角度他都轮不着蒋经国上台
[1869.28-1872.54] 但是随着党国的盘子全碎
[1872.54-1876.80] 核心骨干跑回跑到台湾
[1876.80-1879.08] 只剩下蒋家独大
[1880.46-1883.30] 老习打台湾是报复
[1883.30-1885.92] 打得赢打不赢是结果
[1885.92-1888.50] 无论打得赢还是打不赢
[1888.50-1893.48] 都对老习家这个造皇造帝的过程是有利无害
[1893.48-1896.30] 对于党国肯定是有害的
[1896.30-1899.54] 对于党国的其他大佬们
[1899.54-1901.94] 在海外放了那么多钱的大佬们
[1901.94-1904.46] 那简直是有百害而无一利的
[1904.46-1906.56] 但是他们现在就像一个一个被阉割的
[1906.56-1908.38] 公猪毫无力量可言
[1909.68-1912.14] 只能眼睁睁地看着开打之后
[1912.14-1913.40] 美国进行制裁
[1913.40-1918.62] 他们存在瑞士银行存在美国银行的巨额财富化为乌有
[1918.62-1920.12] 因为你已经没有军队了
[1920.12-1922.12] 你已经没有强力力量了
[1922.14-1925.22] 你们在改革开放的大潮中把强力力量上交
[1925.22-1928.10] 换取了自己庞大的经济力量
[1928.10-1930.08] 但是老习回过头来
[1930.08-1934.16] 但玩这么一招回党造党一意孤行就打台湾
[1934.16-1936.54] 打不赢也要打就是这么来的
[1936.56-1938.48] 没错
[1938.48-1941.00] 所有的台湾人都犯了个错误
[1941.00-1943.94] 说老习这仨瓜俩枣真的打台湾的话
[1943.94-1945.08] 他真的打得下来吗
[1945.08-1945.98] 所以他不会打
[1947.12-1948.56] 不会开战
[1948.56-1949.80] 你们犯什么错误
[1949.80-1955.16] 你们把打台湾和打下台湾这两件事搞混了
[1955.16-1960.20] 老习要的是打台湾老习要的未必是打下台湾
[1960.20-1961.76] 打下台湾当然好
[1961.76-1964.76] 打下台湾习主席就是汉武帝
[1964.76-1964.80] 他上看下午汉武帝
[1964.80-1964.82] 他上看下午汉武帝
[1964.82-1964.88] 他上看下午汉武帝
[1964.88-1964.92] 他上看下午汉武帝
[1964.92-1964.96] 他上看下午汉武帝
[1964.96-1965.00] 他上看下午汉武帝
[1965.00-1967.04] 他上看下午汉武帝
[1967.04-1970.24] 他上看下午汉武帝下踢金三胖
[1970.24-1970.94] 打下来台湾
[1971.96-1973.52] 打不下台湾
[1973.52-1975.86] 他把国门一闭铁幕一锤
[1975.86-1978.08] 他也上看不了汉武帝
[1978.08-1985.22] 但是能下看金三胖习家的习家的王朝那是铁桶一样
[1985.22-1987.02] 铁幕落得越死
[1987.02-1988.82] 封锁封得越严
[1988.82-1992.18] 习在国内的政权才越稳固
[1992.18-1993.34] 你们想是不是这个道理
[1994.58-1994.94] 所以
[1994.94-1997.52] 军管2.0势在必行
[1998.54-2000.38] 台湾健在弦上
[2001.38-2003.52] 在这样的一个大背景下
[2003.52-2006.32] 北京上海深圳的房价还用问吗
[2006.32-2007.54] 还有人给我发现说
[2007.54-2009.64] 王老师我这个房子怎么办
[2009.64-2012.72] 我还是想我还想趁低去抄个底
[2012.72-2014.98] 我觉得现在是一个入手的好时机
[2014.98-2016.60] 你现在就租吧
[2016.60-2018.46] 你好歹等他打完了台湾再说
[2018.46-2020.08] 他不说2027年吗
[2020.08-2021.18] 那你就听老王的话
[2021.18-2024.04] 你等到2026年2026年还没打台湾
[2024.04-2024.82] 你再买房子
[2024.82-2024.92] 不准打台湾了
[2024.94-2029.26] 你觉得2023年底到2026年
[2029.26-2031.12] 这几年房子会出现暴涨吗
[2031.12-2033.34] 你告诉我暴涨的理由在哪
[2033.34-2035.40] 中国印中国造了多少房子
[2035.42-2037.06] 你心里没个B数吗
[2037.06-2038.34] 那房子住的过来吗
[2038.36-2039.52] 根本住不过来
[2039.52-2041.44] 所有的房子空置有多高啊
[2041.44-2043.18] 现在的烂尾量有多大呀
[2044.20-2046.30] 雄安盖了多少新楼盘呀
[2046.30-2048.96] 北京签过一半去人去雄安
[2048.96-2050.50] 北京的房子卖给谁
[2050.50-2052.10] 你着急抄什么底呢
[2052.10-2053.26] 北京房子起不来
[2053.26-2054.52] 上海的房子能起来吗
[2054.52-2056.68] 外企在哪呢
[2056.68-2057.82] 外企在哪呢
[2057.82-2060.26] 外企如果真的要回来的话
[2060.26-2062.68] 马斯克能不跟习近平一起吃饭吗
[2062.68-2065.68] 马斯克一看那个大桌跟你们吃个屁呀
[2065.68-2066.78] 我跟你吃个屁呀
[2066.78-2068.80] 我得他妈赶紧退呀
[2068.80-2071.50] 黑石不是吃完饭马上就卖股票了
[2071.50-2073.18] 马上就要退了
[2073.18-2074.14] 老外走了
[2074.14-2075.28] 上海的房子卖给谁
[2076.66-2079.84] 所以京沪房子不往上涨
[2079.84-2081.64] 那全国的房子都会往下跌的
[2083.20-2084.16] 人民币
[2084.16-2085.72] 年底之前破不了吧
[2085.72-2087.34] 翟山英这个他就不懂
[2087.34-2090.76] 从第一天起我就鼓励徐晓冬可以给他打这个赌
[2090.76-2091.78] 徐晓冬心里没底
[2091.78-2094.14] 不敢打
[2094.14-2096.54] 因为人民币汇率体系是另一个体系
[2096.54-2097.50] 他是青海湖
[2097.50-2098.40] 他不是太平洋
[2098.40-2099.72] 太平洋波涛汹涌
[2099.72-2100.68] 青海湖也没事
[2100.68-2102.82] 他唯一一个阀门当时拧乱了
[2102.82-2105.72] 就是拧到阿根廷去了
[2105.72-2107.22] 委内瑞拉他拧错了一次阀门
[2107.22-2108.68] 但现在他已经关上了
[2108.68-2112.92] 所以保一个名义汇率的相对稳定缓跌
[2112.92-2114.24] 他是能做得到的啊
[2114.24-2115.32] 大家不用着急
[2115.44-2117.30] 年底肯定破不了吧
[2117.30-2119.16] 翟山英吃屎是一定的
[2119.16-2120.28] 他会用巧克力做个屎
[2120.28-2121.30] 假装自己吃了
[2121.30-2124.28] 今天就聊这么多吧
[2124.28-2125.62] 又聊了半个多小时了
[2125.62-2127.26] 祝大家过个愉快的周末
[2127.26-2130.00] 然后明天后天我忙点事
[2130.00-2132.06] 争取给大家做一次
[2132.06-2133.70] 这一星期的来信访谈
[2133.70-2135.18] 再见
[2135.18-2140.95] 记得关注点赞
[2140.95-2142.07] 拜拜
