[0.14-11.42] 好
[1257.05-1257.95] 要大
[1257.95-1260.63] 这个才是一个正常的性爱过程
[1260.63-1262.73] 这个就是床上绅士
[1262.73-1264.57] 男性床上
[1264.57-1267.73] 老王来了
[1267.73-1268.21] 急速版
[1268.21-1269.27] 这是拔出来
[1269.27-1270.09] 想想老王
[1270.09-1271.41] 直接就不设了
[1271.41-1272.15] 我有那么
[1272.15-1273.39] 我有那么他妈的
[1273.39-1274.33] 催情吗
[1274.33-1274.71] 你认识
[1274.71-1275.11] 你认识
[1275.11-1276.73] 这帮同情点啊
[1276.73-1277.67] 啊
[1277.67-1279.33] 可以想想老王在门缝里
[1279.33-1280.39] 两眼歪斜的偷看
[1280.39-1280.59] 对
[1280.59-1282.15] 然后你们一下就冷静下来了
[1282.15-1282.59] 对不对
[1282.59-1283.31] 呃
[1283.31-1283.93] Turkey Killer
[1283.93-1284.79] 祝你发大财
[1284.79-1284.89] 谢谢
[1284.91-1285.51] 幸福愉快
[1285.51-1285.83] 啊
[1285.83-1286.29] 这个
[1286.29-1287.77] 呃
[1287.77-1289.07] 对
[1289.07-1289.83] 呃
[1289.83-1291.85] 女的在上面会画圈就更厉害了
[1291.85-1292.21] 呃
[1292.21-1293.27] 一般的女的不会
[1293.27-1293.73] 啊
[1293.73-1294.27] 这个你不
[1294.27-1294.81] 这个你
[1294.81-1296.95] 呃
[1296.95-1297.77] 女的在上面
[1297.77-1299.31] 比男的在上面要是厉害的
[1299.31-1299.93] 那真厉害
[1299.93-1301.65] 男的就完全没有抵抗力
[1301.65-1302.65] 三分钟交枪啊
[1302.65-1303.91] 但是那都是职业女性
[1303.91-1304.65] 呃
[1304.65-1306.53] 就是练过肚皮舞的
[1306.53-1307.35] 那个女
[1307.35-1308.67] 女生如果爬在你上面
[1308.67-1309.25] 哒哒哒哒
[1309.25-1310.35] 那个电臀马达一来
[1310.35-1310.71] 哇擦
[1310.71-1311.11] 你完了
[1311.11-1312.41] 你这时候你赶紧
[1312.41-1313.59] 你赶紧把他压下去
[1313.59-1313.99] 就是
[1313.99-1314.79] 如果
[1314.79-1315.63]  uh
[1315.63-1315.87] 对
[1315.87-1316.63] 我刚才忘了说
[1316.63-1317.25] 如果你
[1317.25-1318.69] 你的女伴是练舞蹈的
[1318.69-1320.03] 尤其是练肚皮舞的
[1320.03-1321.27] 你可千万别让他在上面
[1321.27-1323.71] 那你必输无疑
[1323.71-1324.83] 你根本控制不住
[1324.83-1327.45] 那因为女生一旦会电臀马达画圈
[1327.45-1327.97] 我去
[1327.97-1331.43] 男的在底下就是瞬间进入天堂
[1331.43-1331.63] 啊
[1331.63-1333.13] 就是那拿捏的死死的
[1333.13-1334.57] 但是好在是以
[1334.57-1336.67] 以我对中国女性的了解
[1336.67-1336.85] 那
[1336.85-1338.59] 实力无一
[1338.59-1339.19] 嗯
[1339.19-1339.85] 百里有一
[1339.85-1341.87] 百里挑一二吧
[1341.87-1342.07] 呃
[1342.07-1343.69] 就具备电臀马达能力的
[1343.69-1344.67] 要么就是
[1344.67-1345.97] 小的时候当过运动员
[1345.97-1346.63] 啊
[1346.63-1348.51] 就是长跑运动员之类的
[1348.51-1350.31] 要么就是跳过肚皮舞
[1350.31-1350.79] 啊
[1350.79-1351.91] 呃
[1351.91-1352.25] 好了
[1352.25-1352.99] 这个
[1352.99-1354.61] 对男的要
[1354.61-1356.53] 要要有有氧运动的基础啊
[1356.53-1358.75] 就是男性要吃醋搞通的药
[1358.75-1359.11] 然后
[1359.11-1360.55] 尤其中年男性啊
[1360.55-1361.33] 要有氧运动
[1361.33-1362.33] 有氧运动就很简单
[1362.33-1363.13] 就是不要弄
[1363.13-1363.95] 呃
[1363.95-1364.95] 跑太快啊
[1364.95-1365.77] 就是小慢跑
[1365.77-1367.21] 或者是骑自行车
[1367.21-1367.95] 或者游泳
[1367.95-1369.07] 或者是椭圆肌
[1369.07-1369.29] 哎
[1369.29-1369.85] 一个小时
[1369.85-1371.25] 奔45分钟往上
[1371.25-1372.41] 45分钟以上
[1372.41-1374.19] 才叫有氧运动啊
[1374.19-1374.65] 45分钟
[1374.67-1376.15] 以下不叫有氧运动啊
[1376.15-1376.71] 好了
[1376.71-1377.49] 那么
[1377.49-1379.09] 也就是说
[1379.09-1380.07] 刚才说完了
[1380.07-1381.91] 这个这个男性的高潮点了
[1381.91-1382.19] 好了
[1382.19-1383.01] 现在我们
[1383.01-1385.13] 看看我们这个教友啊
[1385.13-1386.55] 天生大镖客
[1386.55-1387.83] 在他从
[1387.83-1389.03] 呃
[1389.03-1390.21] 傻逼小男人
[1390.21-1391.09] 愣头青
[1391.09-1391.55] 到
[1391.55-1392.83] 呃
[1392.83-1394.49] 床上性能力爆棚的
[1394.49-1395.93] 这么一个床上身世
[1395.93-1397.31] 这么一个修行过程
[1397.31-1398.51] 这十几年
[1398.51-1398.77] 哎
[1398.77-1399.61] 他的心路历程
[1399.61-1400.51] 我们看看啊
[1400.51-1402.71] 我不是天生性能力爆棚的人
[1402.71-1403.11] 啊
[1403.11-1404.47] 我是在19岁破的出
[1404.47-1404.65] 呃
[1404.67-1404.91] 啊
[1404.91-1406.03] 这个人19岁
[1406.03-1408.07] 第一次跟女孩睡觉啊
[1408.07-1410.07] 也是五分钟草草结束
[1410.07-1411.39] 这不也早泄了
[1411.39-1413.07] 期间换过很多女朋友
[1413.07-1414.15] 几个女朋友
[1414.15-1416.63] 每次最多也就是15分钟结束
[1416.63-1417.11] 而且呢
[1417.11-1418.79] 因为看了太多的黄色录像
[1418.79-1419.51] AV
[1419.51-1421.39] 所以恨不得一分钟换一个姿势
[1421.39-1423.27] 因为AV里边一会传教室
[1423.27-1424.11] 一会小狗
[1424.11-1425.07] 一会老汉推车
[1425.07-1427.27] 我操这就得弄齐了
[1427.27-1428.27] 显得男性厉害
[1428.27-1429.47] 显得自己男朋友
[1429.47-1430.35] 我作为男朋友
[1430.35-1433.03] 我操我我有面我会啊
[1433.03-1433.71] 哼
[1433.71-1434.47] 就是一分钟
[1434.47-1435.07] 换一个姿势
[1435.07-1437.63] 结果是根本无法让女朋友达到高潮
[1437.63-1439.11] 而且呢
[1439.11-1440.91] 问题是我为什么跟您讲
[1440.91-1442.93] 中国女性达不到高潮
[1442.93-1443.99] 就是这些男人啊
[1443.99-1447.43] 这些中国的男人以为你已经是高潮了
[1447.43-1451.61] 这个就是最大的可悲
[1451.61-1453.61] 傻逼不知道自己不知道
[1453.61-1454.91] 这是最大的傻逼
[1454.91-1457.17] 多大的傻逼
[1457.17-1459.03] 傻逼是不知道自己不知道
[1459.03-1460.33] 我操
[1460.33-1461.31] 无知者无畏
[1461.31-1462.59] 这是中国男性
[1462.59-1463.45] 如果是中国女性
[1463.45-1465.79] 百分之七十没有没有过性高潮
[1465.79-1465.97] 那么
[1465.97-1468.41] 对应的百分之七十的中国男人
[1468.41-1469.09] 就是傻逼
[1469.09-1470.93] 不知道自己是吧
[1470.93-1471.49] 性无能
[1471.49-1473.65] 还觉得自己看我多厉害啊
[1473.65-1475.97] 我操就跟吴亦凡似的
[1475.97-1477.81] 我很大啊
[1477.81-1479.55] 你要忍着点啊
[1479.55-1481.45] 就是不知道自己是个牙签
[1481.45-1483.25] 为什么呢
[1483.25-1484.73] 就是因为这个原因
[1484.73-1488.71] 他以为女性在跟你做爱的时候
[1488.71-1491.45] 发出很淫荡的叫声
[1491.45-1493.05] 然后说想尿尿
[1493.05-1494.81] 然后腿抖几下抖一抖
[1494.81-1495.95] 他就以为是个傻逼
[1495.97-1496.81] 就是高潮了
[1496.81-1498.17] 不是啊
[1498.17-1499.81] 真不是
[1499.81-1501.35] 他只是舒服了
[1501.35-1503.69] 舒服距离高潮还很远啊
[1503.69-1506.41] 所以根本无法让女朋友达到高潮
[1506.41-1507.85] 直到二十二岁的时候
[1507.85-1510.31] 第一次和某一个女友同居的时候
[1510.31-1511.57] 因为同居不着急了嘛
[1511.57-1513.79] 所以有充分的实践机会的时候
[1513.79-1514.73] 阴错阳差
[1514.73-1518.21] 第一次让女性女朋友达到了性高潮
[1518.21-1521.07] 那时候的策略是蛮力打桩一小时
[1521.07-1524.25] 这个哥们给我写信一定蛮了东西啊
[1524.25-1525.61] 我告诉你们他蛮了什么东西
[1525.61-1525.97] 他吃药
[1525.97-1529.15] 他吃什么七非地纳
[1529.15-1529.55] 什么地
[1529.55-1530.73] 什么七非纳丁啊
[1530.73-1532.41] 什么就是伪歌类的
[1532.41-1533.63] 他能持续一小时
[1533.63-1534.67] 蛮力打桩
[1534.67-1536.21] 否则蛮力打桩一小时
[1536.21-1537.61] 女生也受伤
[1537.61-1538.19] 你也受伤
[1538.19-1541.61] 所以蛮力打桩
[1541.61-1544.05] 让女生第一次达到了性高潮
[1544.05-1545.67] 但是他后来发现
[1545.67-1547.43] 即使蛮力打桩一小时
[1547.43-1549.35] 成功概率也只有百分之三十
[1549.35-1551.79] 就是蛮力打桩一小时
[1551.79-1552.91] 吃了伪歌之后
[1552.91-1555.25] 女生三次里边只有一次是高潮
[1555.61-1558.95] 剩下的两次还是到不了高潮
[1558.95-1560.71] 直到二十九岁
[1560.71-1562.21] 他又换了女朋友
[1562.21-1564.19] 他才终于顿悟啊
[1564.19-1564.97] 终于醒悟
[1564.97-1566.71] 蛮力打桩根本不再奏效
[1566.71-1568.69] 因为这个女朋友顿感力更强
[1570.19-1571.09] 就是这个女朋友
[1571.09-1571.57] 我跟你说
[1571.57-1574.65] 女生蛮力打桩一小时到高潮的很少
[1574.65-1576.15] 这只不过他这个新女朋友
[1576.15-1578.59] 二十九岁的新女朋友就是一个正常的女性
[1578.59-1579.83] 就是正常的女性
[1579.83-1581.29] 你蛮力打桩俩小时
[1581.29-1582.63] 你就把她弄死
[1582.63-1583.57] 他也高潮不了
[1583.57-1584.29] 为什么
[1584.29-1585.61] 他完全被你破坏了
[1585.61-1586.81] 他感觉了
[1586.81-1587.49] 就什么
[1587.49-1588.65] 我给你举个例子
[1588.65-1591.19] 就相当于拿一个老鼠夹子
[1591.19-1592.87] 不停的打你的小鸡鸡啊
[1592.87-1593.83] 你的小火箭起来
[1593.83-1595.17] 拿个老鼠夹子
[1595.17-1595.65] 咔一桶
[1595.65-1596.41] 啪一下
[1596.41-1597.35] 然后啪一下
[1597.35-1600.89] 那你说老鼠夹子抽你小鸡鸡
[1600.89-1602.01] 夹你小鸡鸡一千下
[1602.01-1602.65] 你能射精
[1602.65-1603.75] 能高潮吗
[1603.75-1604.37] 不可能啊
[1604.37-1605.53] 你你妈肿了
[1605.53-1606.69] 破了
[1606.69-1609.31] 这就是蛮力打桩打桩一小时
[1609.31-1610.71] 女朋友到不了高潮
[1610.71-1612.29] 然后他没办法呀
[1612.29-1614.65] 有一次他干了一个半小时
[1614.65-1615.49] 蛮力打桩
[1615.61-1617.87] 女朋友仍然达不到高潮
[1617.87-1618.27] 他就
[1618.27-1619.75] 他觉得不对呀
[1619.75-1620.97] 没有女生达不到高潮
[1620.97-1621.27] 为什么
[1621.27-1623.51] 他就只好去重新学习
[1623.51-1624.69] 然后呢
[1624.69-1625.89] 终于发现了秘密
[1625.89-1627.73] 不但可以让这个女朋友高潮了
[1627.73-1629.37] 而可以让他多次高潮
[1629.37-1630.25] 然后呢
[1630.25-1631.47] 他就发现啊
[1631.47-1634.59] 原来所谓的一小时啪啪啪的时长
[1634.59-1637.21] 是能轻松达到不需要吃药的
[1637.21-1638.97] 那么呃
[1638.97-1640.91] 我在我只有15分钟的时候
[1640.91-1641.49] 他写的信
[1641.49-1642.97] 我也会觉得那些吹牛
[1642.97-1645.59] 说自己干一小时的人是在吹牛逼
[1645.61-1648.67] 但是后来我的最长记录是一小时40分钟
[1648.67-1648.97] 啊
[1648.97-1649.89] 就是这个写信的人
[1649.89-1651.25] 大家不相信
[1651.25-1654.45] 本质实际上是你做不到啊
[1654.45-1656.37] 也就是说你做不到收放自如
[1656.37-1656.93] 这四个字
[1656.93-1658.91] 如果做到收放自如
[1658.91-1661.11] 那你别说一小时40分钟
[1661.11-1663.73] 就翟山英说的四小时都是可以的
[1663.73-1666.39] 只要双方有足够的体能
[1666.39-1667.49] 不困
[1667.49-1668.31] 啊
[1668.31-1669.47] 又足足够的放松
[1669.47-1670.31] 真的是四个
[1670.31-1671.27] 四个小时
[1671.27-1672.67] 你说可以永远持续下去
[1672.67-1673.91] 因为叫收放自如
[1673.91-1675.59] 那中间可以吃顿饭啊
[1675.61-1677.41] 你中间可以喝一杯咖啡都可以
[1677.41-1678.35] 还可以继续干
[1678.35-1680.41] 这个过程是可以很长的
[1680.41-1682.41] 为什么能做到收放自如
[1682.41-1683.45] 就是那个爬坡理论
[1683.45-1687.47] 就是男性存在的一个错误知识点
[1687.47-1688.99] 就是开始爬的太快
[1688.99-1690.37] 正好相反
[1690.37-1692.89] 男性开始的时候要爬慢点
[1692.89-1693.91] 要等女性
[1693.91-1695.65] 听明白吗
[1695.65-1697.49] 如果夫妻双方
[1697.49-1697.95] 呃
[1697.95-1698.51] 夫妻生活
[1698.51-1699.97] 它是一个共同爬山
[1699.97-1702.63] 在山顶见证奇迹的过程的话
[1702.63-1704.07] 而不是某一个人先到了
[1704.07-1705.59] 另一个人就被扔下去了
[1705.61-1706.17] 啊
[1706.17-1707.59] 那如果是个共同
[1707.59-1709.09] 那么前10到15分钟啊
[1709.09-1711.51] 前15%一定是男生啊
[1711.51-1713.03] 要跑慢一点啊
[1713.03-1714.31] 要等女生啊
[1714.31-1715.39] 因为女生体能不好
[1715.39-1716.63] 女生那个小妹妹
[1716.63-1717.55] 她反应很慢
[1717.55-1718.51] 她跟男生不一样
[1718.51-1719.57] 她是属阴的
[1719.57-1721.43] 男性血脉喷张
[1721.43-1723.71] 一上来就是急速冲刺跑
[1723.71-1726.47] 女性她属阴的正好相反
[1726.47-1729.53] 她开始那个那个鲍鱼没有张开
[1729.53-1731.95] 你在这里边冲个屁啊
[1731.95-1733.39] 你那冲什么冲伤了
[1733.39-1734.19] 所以呢
[1734.19-1735.55] 那女性
[1735.61-1736.31] 又没有张开
[1736.31-1737.75] 又没有充分打滑
[1737.75-1739.63] 又没有充分骚起来的时候
[1739.63-1741.03] 你咔咔咔咔
[1741.03-1742.19] 干到80%了
[1742.19-1744.37] 然后一脚就一脚油
[1744.37-1745.59] 就到山峰去了
[1745.59-1748.71] 那女性在这个过程中
[1748.71-1749.55] 因为疼也好
[1749.55-1750.31] 因为什么也好
[1750.31-1752.87] 就是叫了几声
[1752.87-1754.03] 你以为到高潮了
[1754.03-1756.13] 这个就大部分男人的错误
[1756.13-1756.59] 然后呢
[1756.59-1759.05] 就留下的歧视是一脸怨念的女生
[1759.05-1760.49] 为什么
[1760.49-1761.71] 你结束了吗
[1761.71-1761.95] 啊
[1761.95-1762.97] 这就结束了
[1762.97-1764.53] 出来了
[1764.53-1765.35] 这就
[1765.61-1769.31] 女生就很很其实是很失望
[1769.31-1770.31] 如果女生说
[1770.31-1772.41] 如果你的女女朋友在这个过程中
[1772.41-1775.27] 和你老婆在这个过程会问你一句说结束了
[1775.27-1776.95] 这就这么快啊
[1776.95-1778.15] 或者女性在
[1779.21-1780.67] 过程中
[1780.67-1782.25] 他在喊不要设
[1782.25-1782.83] 不要设
[1784.69-1786.61] 你就是这个人啊
[1786.61-1789.13] 你一定要改改进自己的方式啊
[1789.13-1791.01] 要知道自己功夫要练啊
[1791.01-1792.61] 你现在他妈的是一段
[1792.61-1795.01] 你要往九段去努力啊
[1795.61-1796.21] 为什么
[1796.21-1798.37] 因为真正的女性到了那个状态
[1798.37-1799.53] 她是让你设给她的
[1799.53-1802.17] 哪怕她就怕怀孕
[1802.17-1803.65] 那个时候她都会让你设进去
[1803.65-1807.29] 因为她根本受不了那个高潮对她的刺激
[1807.29-1808.25] 所以呢
[1808.25-1810.95] 第一个阶段再重复啊
[1810.95-1811.75] 就是男性的视角
[1811.75-1814.19] 第一个阶段就是前五到十五分钟啊
[1814.19-1815.45] 不要太兴奋啊
[1815.45-1817.43] 一定要慢跑啊
[1817.43-1819.17] 龟兔慢龟兔慢跑
[1819.17-1820.97] 慢慢麻木自己
[1820.97-1822.31] 然后第二个阶段呢
[1822.31-1822.61] 就是
[1822.61-1825.59] 那么在中间呢
[1825.61-1827.29] 的过程中要收放自如啊
[1827.29-1828.33] 要不停的换姿势
[1828.33-1831.85] 要不要让自己到那个百分之八十的不可回头点啊
[1831.85-1832.25] 然后呢
[1832.25-1834.61] 我们第一女生这边的重点
[1834.61-1837.29] 从女性的视角来看啊
[1837.29-1841.57] 那么女性的舒服和女性的高潮是完全不一样的啊
[1841.57-1844.53] 所有的我的女性观众此时此刻里面注意到啊
[1844.53-1846.89] 如果你们只是在性爱的过程中舒服
[1846.89-1850.78] 你们没有到过高潮
[1850.78-1854.22] 什么叫舒服啊
[1854.22-1856.36] 就是突然你叫床叫的特浪啊
[1856.36-1857.24] 我是个小妓女啊
[1857.24-1857.64] 我是你的肉质啊
[1857.66-1857.98] 我变气
[1857.98-1858.72] 那不叫高潮
[1858.72-1859.56] 哎
[1859.56-1860.06] 不对啊
[1860.06-1860.62] 老王叔
[1860.62-1862.58] 我在平时我是一个
[1862.58-1863.96] 我是个白领
[1863.96-1865.06] 我是个
[1865.06-1865.80] 对吧
[1865.80-1866.30] 我是一个
[1866.30-1869.22] 很很正经的女人
[1869.22-1871.48] 我怎么我都我都叫我是个妓女了
[1871.48-1872.60] 我怎么能没高潮
[1872.60-1873.80] 那不叫高潮啊
[1873.80-1875.30] 那咱们在半路上呢啊
[1875.30-1876.94] 然后忽然出水了
[1876.94-1877.48] 哎
[1877.48-1879.00] 水都流到床上去了
[1879.00-1880.16] 那也不叫高潮
[1880.16-1881.98] 然后双腿抽搐
[1881.98-1882.44] 啊
[1882.44-1883.62] 不叫高潮
[1883.62-1885.78] 然后说我要起来
[1885.78-1886.54] 必须再尿尿
[1886.54-1887.34] 那也不叫高潮
[1887.34-1887.64] 然后说我要起来
[1887.66-1888.96] 那是舒服
[1888.96-1889.92] 真正的高潮
[1889.92-1892.54] 就是跟男性是一样的
[1892.54-1893.82] 女性的真正高潮
[1893.82-1894.44] 跟男性一样
[1894.44-1895.14] 就是过电
[1895.14-1898.30] 你可以对电棒子
[1898.30-1899.76] 电棍给你怼到身上
[1899.76-1900.36] 你那表情
[1900.36-1902.04] 那就是真正高潮的表情
[1902.04-1904.32] 就是为什么王叔老说口眼歪斜呢
[1904.32-1905.88] 就是你被电棍电下
[1905.88-1906.32] 啊
[1906.32-1907.58] 那种口眼歪斜啊
[1907.58-1908.98] 那是实际的啊
[1908.98-1909.88] 而且在这个过程中
[1909.88-1910.34] 记住啊
[1910.34-1911.78] 女性在这个高潮过程中
[1911.78-1912.94] 至少可以20秒
[1912.94-1913.38] 至少
[1913.38-1915.56] 甚至有可能持续一分钟以上
[1915.56-1917.12] 女性高潮
[1917.12-1917.64] 如果她是
[1917.66-1919.62] 因为男性这个时候掌握好技巧
[1919.62-1921.42] 可以连续让女性在高潮的位置
[1921.42-1922.08] 一直待着
[1922.08-1924.36] 两三分钟都是可能的
[1924.36-1926.64] 但是男性大家很遗憾
[1926.64-1928.04] 男性像我这样修行
[1928.04-1929.42] 也只能二三十秒
[1929.42-1930.28] 三四十秒
[1930.28-1931.90] 一分钟都很难
[1931.90-1932.54] 比如说
[1932.54-1933.92] 而且我修行很多年了
[1933.92-1935.38] 我也只能大概
[1935.38-1937.76] 就是我停住在高潮的状态
[1937.76-1938.48] 大概也只能
[1938.48-1941.28] 30秒到一分钟之间
[1941.28-1942.94] 我还突破不了一分钟
[1942.94-1945.76] 所以这个就是造物主非常公平
[1945.76-1946.98] 女人高潮
[1946.98-1947.44] 虽然难
[1947.44-1947.64] 难
[1947.64-1948.66] 男人高潮虽然容易
[1948.66-1949.96] 但是女人的高潮的质量
[1949.96-1951.26] 远远超过男人
[1951.26-1952.64] 所以造物主非常公平
[1952.64-1954.32] 那就是
[1954.32-1958.41] 蛮干是不可取的
[1958.41-1959.31] 要巧干
[1959.31-1962.97] 那么女性的性爱
[1962.97-1965.31] 怎么去分析她的性爱性分度
[1965.31-1966.37] 如果男性爬坡
[1966.37-1967.89] 分析的非常清楚了
[1967.89-1969.23] 是开始要缓走
[1969.23-1970.85] 然后要拨风走
[1970.85-1971.49] 拨浪走
[1971.49-1972.97] 最后冲刺是
[1972.97-1975.05] 看到女朋友高潮以后
[1975.05-1977.21] 看到她口眼歪斜了
[1977.21-1978.95] 看到她浑身抽搐
[1978.95-1981.11] 看到她浑身大汗了
[1981.11-1982.79] 看到她要喊
[1982.79-1984.71] 明明是危险期
[1984.71-1986.05] 而且你们俩是在偷情
[1986.05-1987.19] 她根本不敢怀孕的时候
[1987.19-1988.79] 她让你射进去的
[1988.79-1990.01] 这个时候她是真高潮了
[1990.01-1992.29] 这个时候她大声喊
[1992.29-1994.05] 大喊大叫
[1994.05-1994.43] 有的时候
[1994.43-1995.05] 就是有的
[1995.05-1997.35] 就是我见过一上海女生
[1997.35-1997.65] 我就是
[1997.65-2000.13] 我得拿枕头捂她的嘴
[2000.13-2000.51] 为什么
[2000.51-2001.37] 因为那个酒店
[2001.37-2003.05] 她喊的声音太大了
[2003.05-2003.85] 就是可以
[2003.85-2005.51] 我毫不夸张的讲
[2005.51-2006.89] 她高潮的时候
[2006.89-2008.93] 声音是可以把隔壁的邻居吵醒的
[2008.95-2010.97] 所以这个时候
[2010.97-2014.61] 你再进入到真正的冲刺阶段
[2014.61-2015.63] 男性在这个时候
[2015.63-2016.55] 在真正冲刺
[2016.55-2018.25] 就是那种像A片那样
[2018.25-2019.49] 打打打打那种打桩
[2019.49-2020.91] 是在这个时候来打桩的
[2020.91-2023.65] 一下子就把女朋友送走了
[2023.65-2025.11] 就是听明白了
[2025.11-2026.39] 男性这样走
[2026.39-2027.29] 然后这样走
[2027.29-2028.87] 然后女性高潮完了以后
[2028.87-2029.67] 再这样走
[2029.67-2032.47] 而不是傻逼男性
[2032.47-2033.53] 就是就这样走
[2033.53-2035.43] 然后就没了
[2035.43-2036.97] 那女生根本没开始
[2036.97-2038.81] 所以女性的
[2038.81-2040.25] 性爱的视角
[2040.25-2041.29] 生理分析
[2041.29-2041.91] 心理分析
[2041.91-2042.81] 我们开始
[2042.81-2045.11] 第一次出现这种女性视角分析
[2045.11-2047.41] 女性因为她属阴
[2047.41-2049.59] 她跟男性过程正好相反
[2049.59-2052.19] 所以女性的开始的阶段
[2052.19-2053.51] 是不血脉喷张的
[2053.51-2054.81] 她给你摁到
[2054.81-2055.93] 不是她给你
[2055.93-2057.53] 你给她摁到床上的时候
[2057.53-2059.35] 女性是很羞躁的
[2059.35-2060.27] 很推抗的
[2060.27-2060.69] 哎呀不要
[2060.69-2062.33] 外边有人之类的
[2062.33-2062.67] 你看了
[2062.67-2063.75] 她都是这样的
[2063.75-2065.05] 那男的说去你妈
[2065.05-2065.79] 跟什么友人
[2065.79-2067.09] 没人
[2067.09-2068.13] 我偏浪
[2068.13-2068.79] 但是
[2068.81-2069.41] 女性不是
[2069.41-2070.47] 所以女性呢
[2070.47-2072.27] 正好跟男性相反
[2072.27-2073.85] 开始这个阶段
[2073.85-2074.43] 就是爬坡
[2074.43-2074.93] 这个开始
[2074.93-2075.87] 这个山腰以下
[2075.87-2077.23] 这个上山的阶段
[2077.23-2078.85] 开始是慢热的
[2078.85-2080.43] 女性都是慢热的
[2080.43-2082.45] 兴奋点是慢慢的点燃的
[2082.45-2082.95] 她跟男性
[2082.95-2085.17] 男性一开始就是血脉喷张
[2085.17-2086.33] 进入女性体内
[2086.33-2087.11] 温润的
[2087.11-2088.47] 一下就拼了
[2088.47-2089.45] 不是
[2089.45-2092.65] 所以男人在这个时候
[2092.65-2092.97] 不要
[2092.97-2094.77] 我就呼应了
[2094.77-2095.63] 我刚才教给你们
[2095.63-2096.65] 就是男性在开始
[2096.65-2097.83] 一直蠕动
[2097.83-2098.65] 不打装
[2098.81-2099.17] 为什么
[2099.17-2100.99] 他他没有感觉
[2100.99-2102.37] 你打装你浪费了
[2102.37-2104.51] 你那个好钢要用在刀刃上
[2104.51-2105.65] 刀刃在他最后
[2105.65-2109.07] 所以男性在这个时候打装
[2109.07-2111.55] 就是女性刚分开
[2111.55-2112.15] M字开腿
[2112.15-2113.41] 让你进来的时候
[2113.41-2114.61] 你这个时候去打装
[2114.61-2116.39] 你十下
[2116.39-2117.85] 冲击十下的
[2117.85-2120.35] 就是起到的作用
[2120.35-2121.67] 在女人身上起到作用
[2121.67-2123.67] 不如你在他高潮的时候
[2123.67-2124.83] 那一下的作用
[2124.83-2126.49] 一点都不夸张
[2126.49-2128.41] 一下超过
[2128.41-2129.73] 你现在十下
[2129.73-2131.87] 甚至超过你现在一百下
[2131.87-2135.53] 所以你上来打装是非常傻逼的
[2135.53-2137.41] 这种傻逼行为
[2137.41-2140.17] 那女性刚热热身的时候
[2140.17-2141.17] 他开始交船
[2141.17-2143.47] 他开始发骚的时候
[2143.47-2145.09] 你这个时候要配合
[2145.09-2145.69] 你要不然的话
[2145.69-2146.83] 你这时候就设了我操
[2146.83-2149.35] 那这个女生嫁给你好惨
[2149.35-2153.47] 所以所以这个时候女生就容易变成性冷淡
[2153.47-2154.51] 这么多女生
[2154.51-2156.01] 这么多女生说
[2156.01-2157.45] 我们好包括我们
[2158.41-2160.27] 身边的一些成年妇女
[2160.27-2162.59] 甚至老年妇女
[2162.59-2164.89] 她说性爱这东西没有也挺好的
[2164.89-2167.07] 因为温哥华有好多这种大奶
[2167.07-2168.61] 他们不觉得自己是
[2168.61-2170.57] 他们不觉得自己吃亏了
[2170.57-2172.59] 老公在国内做生意
[2172.59-2173.63] 他们不觉得自己是
[2173.63-2174.11] 哎
[2174.11-2175.37] 那玩意有什么意思
[2175.37-2176.53] 还有妇科病
[2176.53-2178.23] 就是有没有都行
[2178.23-2178.83] 为什么
[2178.83-2180.55] 因为他们就是性冷淡了
[2180.55-2181.09] 老是这样
[2181.09-2182.37] 他当然就性冷淡了
[2182.37-2185.63] 所以开始小伙乱顿
[2185.63-2186.73] 小伙慢顿
[2186.73-2188.09] 那也就是说
[2188.09-2189.17] 拍一篇不好看
[2189.17-2191.75] 五分钟到十分钟是必须这样的
[2191.75-2196.31] 然后第二个阶段就是女性开始往80%爬坡的阶段
[2196.31-2198.05] 那么在这个阶段
[2198.05-2202.25] 这个就是跟男性一样
[2202.25-2204.23] 就是要收放自如
[2204.23-2205.87] 这个时候双方是可以合拍的
[2205.87-2211.41] 就是你不要到最后的80%不可回头点
[2211.41-2213.57] 这个时候你女孩就能追上你
[2213.57-2214.95] 你俩就完全合拍了
[2214.95-2216.17] 合拍了之后就好玩了
[2216.17-2217.31] 那可好玩了
[2217.31-2218.07] 女生在那边
[2218.09-2223.05] 80%点之间的过程特别美
[2223.05-2223.89] 那媚态
[2223.89-2226.69] 那个肤色是粉的
[2226.69-2228.17] 好了
[2228.17-2233.11] 然后到80%到100%的过程
[2233.11-2236.01] 就是冲击高峰点的高潮点的过程
[2236.01-2237.59] 男女又有区别了
[2237.59-2238.09] 注意
[2238.09-2239.85] 开始男女有区别
[2239.85-2241.61] 最后男女也有区别
[2241.61-2243.99] 80%到100%男性叫什么
[2243.99-2245.09] 叫不可回头点
[2245.09-2246.11] 就过了那儿
[2246.11-2247.67] 当当当当就喷了
[2248.09-2249.03] 必高潮无疑
[2249.03-2252.53] 但是女性在这个阶段反而是最难的
[2252.53-2253.33] 最难的
[2253.33-2257.81] 就是女性80%大部分女性得卡在这
[2257.81-2259.71] 中国女人之所以没有到高潮
[2259.71-2262.59] 不是说中国女人没有到过80%
[2262.59-2264.89] 所有的女人都能到80%
[2264.89-2267.55] 就是80%到100%的真正高潮
