[0.00-1.52] 下一位 这个特别有意思
[1.56-3.36] 我就把他的信整个念一下
[1116.56-1120.24] 房地产就会一飞冲天的往地下砸
[1120.24-1121.20] 正好相反
[1121.44-1123.92] 因为限购是最后一块遮羞布
[1123.96-1125.00] 所有的卖盘
[1125.00-1126.88] 就是因为限购没放开
[1126.92-1128.56] 大家还hold着
[1129.12-1131.80] 就像B掉经济学最后男子
[1132.08-1133.24] 本来是个早漏男
[1133.24-1133.92] 早漏男
[1133.92-1134.60] 就是哎呀
[1134.60-1135.24] 忍着呢
[1135.24-1139.36] 但是夸遮羞布一撩开
[1139.36-1139.64] 哎呀
[1139.64-1141.04] 美女的同体一露出来
[1141.04-1143.24] 就完了
[1143.24-1145.20] 所以这一见真章就完
[1145.76-1148.04] 北京上海这种大城市
[1148.04-1149.92] 一线城市的房地产限购政策
[1149.96-1154.04] 是那块美女身上的最后一点遮羞布
[1154.88-1157.04] 这个货是个早泄男
[1157.04-1157.44] 你知道吧
[1157.44-1159.08] 他只要看到那块遮羞布
[1159.08-1161.28] 他就已经兴奋的难以自食了
[1161.32-1162.36] 你咔一拖
[1162.36-1163.56] 你让他不要说蹭了
[1163.56-1164.52] 他往上一顶
[1164.60-1165.96] 哗就没了
[1165.96-1169.28] 所以因为就是老王上期做的节目
[1169.28-1171.48] 整个中国房地产形势是往下走的
[1171.48-1173.36] 因为这是人口红利决定的
[1173.36-1174.68] 这跟印币印钱什么的
[1174.68-1176.32] 都没有任何关系
[1176.32-1177.84] 老王之所以能在2010年
[1177.84-1180.00] 就准确的说到哪一天哪一年
[1180.00-1183.00] 就是因为根本原因底层代码是人口
[1183.00-1184.76] 人就这么简单
[1184.76-1186.08] 没有人什么都没有
[1186.08-1186.84] 这地球上没有人
[1186.84-1187.44] 谁买房子
[1188.60-1189.48] 没有新增人口
[1189.48-1190.84] 哪有人房地产的牛市
[1191.40-1192.92] 所以人口一旦缩减
[1192.96-1194.00] 那房地产一定是熊
[1194.00-1194.24] 是吧
[1194.24-1195.32] 这是一定的
[1195.36-1196.12] 明白吧
[1196.16-1197.28] 尤其是北京
[1197.32-1198.36] 北京是首当其冲
[1198.36-1198.72] 为什么
[1198.72-1200.16] 因为习近平这个猪头
[1200.16-1201.52] 在往外挤人口
[1201.56-1204.96] 他要让所有的人都要去迁到雄安
[1205.00-1206.92] 你看雄安盖了多大一个城市
[1206.92-1208.68] 他妈把雄安要住买的话
[1208.68-1210.40] 北京得空出多少房子来
[1210.44-1212.96] 哪他妈还有市场承接能力呢
[1213.12-1215.48] 所以一旦放开限购那一天
[1215.52-1216.96] 哗就完蛋了
[1216.96-1218.52] 所以你趁那天你赶紧卖了
[1218.84-1220.44] 你说什么
[1221.04-1222.84] 放水人民币进入房地产市场
[1222.84-1223.64] 你想多了
[1223.64-1224.20] 那个人民币
[1224.20-1227.16] 放水的进不了你的兜
[1227.20-1228.92] 人民币放水100万亿也好
[1228.92-1229.76] 200万亿也好
[1229.76-1233.28] 全部都是在国内的共产党的债务体系
[1233.28-1234.08] 之内运作的
[1234.08-1235.52] 它是它解困解债的
[1235.52-1236.52] 跟你有什么关系
[1236.60-1237.72] 你一个普通老百姓
[1237.76-1239.04] 你无论是买房子
[1239.04-1240.20] 还是买汽车
[1241.20-1243.28] 还是买你的什么油盐酱醋
[1243.28-1244.32] 柴米油盐
[1244.76-1248.12] 都跟共产党放出来的水没有关系
[1248.56-1250.64] 明天老王做一期专题
[1250.64-1252.08] 一句话给你倒播人生
[1252.08-1254.16] 为什么中国物价现在下跌
[1254.16-1255.28] 印了这么多钱
[1255.32-1257.76] 我看海拉尔青年老问我
[1257.80-1259.20] 老哥能不能讲讲
[1259.20-1260.44] 为什么是通货紧缩
[1261.00-1261.92] 印了这么多钱
[1262.40-1263.64] 我一句话给你讲清楚
[1263.96-1266.36] 这就是老王不愿意做油管的原因
[1266.36-1267.56] 操他们宅宅人
[1267.56-1268.96] 一说说一小时
[1269.32-1270.24] 哔哔啦哔哔啦
[1270.24-1271.60] 我也不知道他在说什么
[1271.64-1274.20] 大家都听着他的东西睡觉
[1274.24-1275.76] 我他们一说你们都嗨了
[1275.76-1277.48] 但是我只能说5分钟
[1277.52-1278.60] 真正的早泄男
[1278.60-1280.00] 我说我只能说5分钟
[1280.04-1280.64] 持续不了
[1280.64-1281.36] 因为5分钟以后
[1281.36-1282.76] 我就把干的说完了
[1282.76-1284.68] 你还能说说什么
[1284.96-1286.64] 最伟大的理论
[1286.64-1287.80] 最真实的真理
[1287.80-1288.96] 往往就是一句话
[1290.70-1292.42] 就像男女之间的爱情一样
[1292.70-1293.86] 哪有那么复杂
[1294.54-1295.66] 写一本爱经
[1296.18-1297.66] 都是没有搞过对象的
[1297.66-1299.58] 真正的爱就是他妈的荷尔蒙
[1299.58-1300.42] 催的
[1300.58-1301.42] 发骚了
[1301.42-1302.94] 见识以后就是他妈的
[1303.14-1304.34] 就只想着一件事了
[1304.34-1305.42] 男的女的都一样了
[1305.42-1306.54] 那就是爱情吗
[1307.06-1309.34] 然后在此基础上才有爱情
[1309.78-1312.34] 剩下的就是习以为常
[1312.74-1313.66] 然后两个人在一起
[1313.66-1313.90] 觉得
[1313.90-1314.10] 哇
[1314.10-1314.62] 那个味儿
[1314.62-1315.74] 我闻着就是荷尔蒙的
[1315.74-1316.38] 那个对
[1316.38-1316.70] 我操
[1316.70-1318.30] 没他就是怎么这么难受
[1318.82-1319.86] 这个就叫爱情
[1320.90-1322.54] 我怎么扯到爱情上去了
[1322.54-1323.70] 我要说通货紧缩
[1324.02-1326.58] 明天老王这坑明天准填
[1326.62-1327.58] 通货紧缩5分钟
[1327.58-1328.86] 给海拉尔青年讲完
[1331.65-1333.53] 海拉尔青年也是个体制内的货
[1333.53-1334.57] 整天在这装
[1335.05-1336.73] 能哪天老王喝高了
[1336.73-1337.45] 给你兜了出来
[1337.45-1338.21] 你就完蛋了
[1339.33-1339.89] 开玩笑的
[1339.89-1340.57] 吓唬吓唬
[1342.61-1343.25] 最后一个
[1343.77-1345.53] 还首先不要说出名字
[1345.53-1346.85] 和个人专业经历
[1347.17-1348.21] 也帮我隐藏
[1348.21-1348.81] 谢谢感
[1349.65-1351.09] 你还挺有偶像包袱
[1351.09-1351.73] 你算个啥
[1351.73-1353.41] 你说好好不说
[1353.41-1353.97] 不说
[1353.97-1355.09] 我直接说你的问题
[1356.89-1359.57] 首先能感谢有缘认识您的频道
[1359.57-1361.61] 我也不是从翟翔星那来的
[1361.61-1363.41] 是在推特上无意中关注您的
[1363.41-1364.05] 是个宝藏
[1364.05-1364.53] 简直
[1364.69-1367.49] 其次我一直对推特和油管的内容
[1367.49-1368.45] 比较警惕的
[1368.45-1371.05] 相当一部分在油管中的知名up主
[1371.05-1372.13] 都很难避免
[1372.13-1373.33] 是为了反而反
[1373.33-1375.29] 哪怕是您提过几次的散人
[1375.29-1376.33] 五月散人
[1376.45-1377.49] 你说的是散人
[1377.49-1378.61] 散人的内容中
[1378.61-1380.01] 我认为70%我是认同
[1380.01-1381.81] 但也有30%的角度
[1381.81-1383.49] 会牵强
[1383.53-1384.77] 略有牵强
[1384.97-1386.45] 反为反而反
[1387.01-1387.97] 没有逻辑的话
[1387.97-1389.61] 也就当情绪消遣罢了
[1389.77-1391.85] 而你并不会这样
[1391.85-1393.29] 你到目前为止的每个视频
[1393.29-1394.25] 我认为都是
[1395.09-1397.73] 足以做到了禅中说禅
[1397.85-1400.89] 禅中说禅所说的君子不相的境界了
[1401.45-1401.81] 真好
[1401.81-1403.33] 又提到禅中说禅
[1403.33-1404.89] 这个朋友又提到禅中说禅
[1405.29-1408.65] 他们人生简直是生活在禅中说禅的阴影下
[1409.21-1409.85] 好吧
[1411.37-1412.93] 我当年在新浪开博客
[1412.93-1413.85] 就不停地有人说
[1413.85-1416.33] 你是不是就禅中说禅本禅
[1416.73-1418.09] 是不是终于出来了
[1418.09-1418.65] 是不是就是你
[1418.77-1420.53] 我真不知道是谁
[1420.53-1421.73] 后来我看他的作品
[1421.73-1422.57] 确实高手
[1422.57-1423.49] 真他们是高手
[1424.49-1426.33] 我真不知道他是谁
[1427.93-1429.25] 这也是我人生以来
[1429.25-1433.21] 第一次主动给素未谋面的博主写信
[1434.77-1435.25] 如果
[1435.29-1436.49] 您开会员频道
[1436.49-1439.17] 我会拿下我上一关多年以来的付费一写
[1439.17-1440.77] 过于吹捧的话
[1440.77-1441.33] 就不说了
[1441.69-1443.45] 有机会我在加拿大拜访您
[1445.33-1447.33] 然后先说预料到的
[1447.45-1448.65] 一从历史角度看
[1448.65-1452.01] 二战后全球大体和平发展七八十年
[1452.01-1453.21] 三次工业革命
[1453.21-1454.13] 红利殆尽
[1454.17-1454.89] 国内内卷
[1454.89-1456.57] 还有全球内卷冲突加剧
[1456.61-1458.41] 这是不由主观意识所改变的
[1458.41-1460.65] 二国内其实过去十年的经济乱象
[1460.65-1461.65] 各种割韭菜
[1461.69-1462.89] 各种骗局
[1462.93-1465.41] 无代价的卷款跑路越演越烈
[1465.41-1466.69] 简直与末法时代的
[1466.69-1468.09] 末路狂欢一模一样
[1468.09-1468.73] 这种情况下
[1468.73-1470.33] 我认为国内的创业生态
[1470.37-1472.65] 早就不适合本分人参与了
[1472.69-1473.97] 三老大老二之争
[1473.97-1475.13] 抛开结局不讲
[1475.13-1476.69] 历史中休息里的陷阱
[1476.73-1477.97] 局面中的热战的比例
[1477.97-1478.57] 实在是高
[1478.69-1479.73] 我个人并不相信
[1479.73-1480.61] 这次会有例外
[1480.61-1482.09] 就说中美之间要打一仗
[1482.25-1483.45] 再说始料不及的
[1483.45-1485.53] 一没想到国内倒车会这么严重
[1485.93-1488.01] 许多我原来认为断不至于这样干
[1488.01-1488.57] 不至于
[1488.93-1490.17] 现在居然发生了
[1490.17-1491.29] 还真就不在乎
[1491.33-1492.09] 二
[1492.29-1493.93] 经济环境会这么差
[1493.93-1495.61] 以我所在的互联网行业来说
[1495.61-1496.41] 就不用说了
[1496.41-1498.17] 几代人奋斗积淀的
[1498.21-1500.53] 全社会全行业的精气神
[1500.57-1502.29] 几年完全消耗殆尽
[1502.33-1503.45] 三教育问题
[1503.45-1504.33] 在这种情况下
[1504.33-1505.57] 不开玩笑的说
[1505.61-1506.85] 搞不好我的小孩以后
[1506.85-1508.05] 真的会举报我自己
[1508.21-1509.09] 这种情况
[1509.13-1510.81] 我是完全没法设想的
[1510.85-1512.21] 与肉体的崩溃相比
[1512.21-1513.61] 来自至亲至爱的伤害
[1513.61-1514.89] 才是真正致命的
[1514.93-1515.81] 精神的崩溃
[1515.97-1517.65] 所以从去年开始
[1517.65-1518.57] 我一
[1518.61-1519.41] 从去年开始
[1519.41-1520.61] 我和我妻子
[1521.41-1522.57] 准备英语考试
[1522.57-1523.73] 目前已经拿到了几个
[1523.73-1523.89] 学习
[1523.89-1524.49] 学校offer
[1524.49-1525.61] 正在选择中
[1525.65-1527.05] 由于国内生意的缘故
[1527.05-1528.33] 我短期不会离开
[1528.33-1529.77] 由于经济条件有限
[1529.81-1531.93] 所以妻子选择读college
[1531.93-1533.01] 在拿工天这条路
[1533.01-1534.05] 这条路是对的
[1534.09-1535.45] 我好多在北京的同学
[1535.45-1536.33] 都是这么过来的
[1536.33-1537.73] 都岁数都跟我一样的
[1538.45-1539.33] 在这边
[1539.37-1540.57] 就去年前年
[1540.57-1542.61] 在这边拿college的offer
[1542.89-1545.45] 这都四十四五岁的人
[1545.65-1546.89] 拿offer一样的过来
[1546.89-1547.41] 二
[1547.45-1548.53] 为老人买好保险
[1548.53-1550.53] 房子不大
[1550.53-1551.41] 不打算卖
[1551.53-1552.81] 还是以后留给老人住
[1553.29-1553.81] 但想到
[1553.81-1553.85] 好
[1553.85-1555.17] 后面的人生换轨选择
[1555.17-1557.41] 心里还是会对父母非常愧疚
[1557.41-1558.33] 只能安慰自己
[1558.33-1559.81] 每一代人都有各自的使命
[1559.85-1560.85] 我不希望我的下一代
[1560.85-1561.57] 再走我的路
[1562.73-1563.69] 你想多了
[1563.69-1565.77] 你下一代能走你的路就不错了
[1565.81-1567.25] 你下一代能走你的路
[1567.25-1568.25] 你怎么改革开放
[1568.25-1569.53] 赶上最好的时候了
[1569.53-1571.89] 你下一代不走你的路
[1571.89-1573.13] 你下一代将走
[1573.13-1574.53] 你上一代的上一代的路
[1574.53-1576.97] 就是1949年到1969年的
[1577.01-1578.61] 那20年的青春期的
[1578.61-1579.37] 那一代人的路
[1579.37-1582.01] 就是1929年出生的那一代人
[1582.25-1583.17] 在中国的路
[1583.21-1583.77] 你下一代
[1583.77-1584.49] 下一代要走
[1585.89-1587.57] 我想请教的问题是
[1587.57-1589.01] 一像我这种情况
[1589.01-1590.81] 考虑到最近加拿大移民政策
[1590.81-1593.05] 由于民众对特鲁多的不满
[1593.21-1595.41] 带来的政策风向变化风险
[1595.41-1598.05] 我们如果未来几年能顺利的拿到
[1598.09-1599.41] 省提名PR为目标
[1599.41-1601.57] 以及考虑到未来的就业生活难易
[1601.61-1603.81] 我们应该优先考虑哪些省份和城市
[1603.81-1605.13] 不知道老王有没有建议
[1605.41-1607.21] 当然可以给你提供建议了
[1607.21-1610.05] 首先你不要担心特鲁多的下台
[1610.05-1613.53] 和让PR的上台会议
[1613.53-1613.69] 影响了特鲁多的下台会议
[1613.69-1615.29] 影响什么政策的根本走势
[1615.29-1616.45] 这不会影响的
[1616.49-1618.33] 加拿大开放移民的政策
[1618.45-1620.41] 它不是某一个政府能改变的
[1620.45-1621.97] 这是一个既定国策
[1622.17-1623.17] 这个是一个既定国策
[1623.17-1624.29] 非常难改变
[1624.33-1627.01] 所以最多也就是技术细节上改变
[1627.01-1628.41] 比如说以前的话
[1628.41-1631.01] 保丰业卡是5年住3年即可
[1631.01-1633.13] 还改成6年住4年
[1633.17-1634.25] 最多就是这种微调
[1634.25-1635.81] 不会对你有任何影响
[1635.85-1638.25] 因为你的老婆已经过来拿了offer了
[1638.65-1640.45] 学转工非常容易
[1640.49-1641.33] 学转工签
[1641.33-1642.73] 然后再转丰业卡
[1642.73-1643.29] 就是
[1643.41-1643.65] easy
[1643.69-1644.97] 到你不用看
[1645.01-1645.57] 你明白吧
[1645.57-1646.61] 你老婆走的这条路
[1646.61-1648.29] 就是加拿大最需要的路
[1648.33-1650.53] 加拿大是欢迎你老婆
[1650.57-1651.61] 双手拴脚
[1651.61-1653.57] 欢迎你老婆这条路的人进来的
[1653.57-1654.65] 因为他在这儿学了
[1654.65-1655.61] 学签之后
[1655.89-1656.57] 拿到工签
[1656.57-1658.37] 他就直接是加拿大的劳动者
[1658.37-1660.05] 这是加拿大最需要的
[1660.09-1661.61] 所以你不用担心政策变化
[1661.61-1662.29] 这不是中国
[1662.29-1663.57] 没有哪个政策变化
[1663.85-1664.53] 二
[1665.13-1666.97] 然后你问我哪个城市
[1667.01-1668.05] 那看你有多少钱
[1668.05-1668.85] 特别简单
[1668.89-1669.73] 如果你没有钱
[1669.73-1670.85] 需要工作去多伦多
[1670.85-1672.97] 多伦多是个真正的大城市
[1673.01-1673.65] 它的商业
[1673.65-1675.17] 工作机会要多得多
[1675.21-1677.25] 如果你特别有钱
[1677.25-1677.85] 不用工作了
[1677.85-1678.85] 你来温哥华
[1679.41-1682.17] 如果你既不是特别有钱
[1682.17-1683.89] 又不是特别的勤勉
[1684.01-1685.33] 那你就去爱德蒙顿
[1686.01-1686.73] 卡尔加里
[1688.37-1689.85] 或者萨省的某些城市
[1690.05-1691.49] 或者魁北克
[1691.49-1692.85] 那个地方就是既休闲
[1692.85-1694.57] 生活成本又低
[1694.81-1696.09] 景色也不错
[1696.09-1697.25] 如果你是中国人的话
[1697.25-1698.77] BC也有这样的好城市
[1699.01-1701.77] 所以其实可选的东西太多了
[1701.77-1702.65] 等你们来了再说
[1703.17-1703.61] 来了之后
[1703.61-1705.81] 我先做一个加拿大还加拿大
[1705.81-1706.41] 游
[1706.57-1708.01] 开着车
[1708.37-1710.41] 从东到西
[1710.65-1711.85] 跑几个城市
[1712.05-1714.57] 有了客观的印象
[1714.85-1716.85] 我建议去列治文
[1717.01-1717.73] 待两天去
[1717.73-1718.53] 你到了列治文
[1718.53-1719.29] 你就走不了了
[1719.29-1720.33] 因为你们这种新移民
[1720.33-1720.89] 到了列治文
[1721.25-1722.13] 太好吃了
[1722.13-1723.41] 跟我们国内一模一样
[1723.45-1724.17] 中国有什么
[1724.17-1724.85] 这有什么
[1724.85-1726.53] 而且还文明了一个层次
[1726.53-1728.09] 简直是升级版的中国
[1728.13-1729.01] 过去的香港
[1729.21-1729.93] 这就是列治文
[1729.93-1731.33] 所以列治文
[1731.81-1732.65] 温哥华的列治文
[1732.65-1733.37] 是很多移民的
[1733.37-1734.01] 第一站
[1735.01-1736.73] 如果要是你们有比较强的
[1736.73-1737.57] 动手能力的话
[1737.57-1738.81] 列治文也是
[1738.81-1739.29] 就是温哥华
[1739.29-1740.29] 也是个不错的选择
[1740.29-1741.61] 因为有很多有钱人
[1741.65-1742.33] 来这里以后
[1742.33-1743.49] 他需要服务
[1744.29-1745.53] 需要各种服务
[1745.69-1746.61] 从扫树叶
[1746.61-1747.25] 捡草坪
[1747.25-1748.77] 到装修房子
[1748.93-1750.09] 盖房子
[1750.89-1752.41] 各种工人都齐缺
[1752.41-1755.77] 所以超市招工岗位
[1755.77-1756.97] 常年招工
[1756.97-1758.85] 就是超市常年招工
[1758.85-1760.57] 你随时可以去超市上班去
[1761.25-1762.37] 工资不高
[1762.37-1762.89] 但是
[1762.89-1764.41] 如果两口子多工作的话
[1764.41-1766.25] 那在温哥华也没问题
[1768.88-1770.04] 最后
[1771.04-1771.76] 二
[1771.80-1773.20] 未来过去的生活方式
[1773.20-1775.80] 其实未来过去以后的生活方式
[1775.80-1777.20] 我其实很早就给自己做好
[1777.20-1777.80] 心理建设
[1777.80-1779.16] 过去就是重启人生
[1779.20-1780.80] 但是如果有可能性的准备时间
[1780.80-1783.20] 还是希望能做一些养家擅长的事
[1783.32-1784.32] 不知道有什么机会
[1784.32-1785.76] 可以在国内做一些什么
[1785.76-1786.96] 准备工作
[1786.96-1788.76] 你是互联网行业的是吧
[1788.92-1790.64] 互联网行业在这边也不错
[1790.88-1792.44] 如果你要是不想改行
[1792.48-1794.48] 你就把你的互联网行业的基础
[1794.52-1795.44] 的东西basic的东西
[1795.44-1797.00] 你如果在那边是老板的话
[1797.00-1799.12] 你就再把你的老板行再剪一剪
[1799.24-1800.40] 有很多的机会了
[1800.40-1802.24] 如果你不想再做互联网工作了
[1802.24-1804.20] 你想再做一些体力上的
[1804.20-1805.36] 那就更好了
[1805.56-1808.44] 我们BC省的Sheriff就是法警
[1808.44-1809.40] 常见招人
[1809.40-1810.72] 老爷们
[1810.72-1811.76] 如果你爱打枪
[1811.92-1812.76] 身体好
[1812.76-1813.96] 你就去当法警去吧
[1813.96-1814.80] 具有面子
[1814.80-1815.84] 就是在监狱里边
[1815.84-1817.08] 在法庭上面
[1817.24-1818.32] 穿个黑衣服
[1818.32-1820.36] 警察车都不用你买
[1820.40-1821.40] 国家给你配
[1821.40-1822.68] 衣服你也不用买了
[1822.80-1824.24] 特别漂亮的制服
[1824.24-1824.48] 大衣服
[1824.48-1825.28] 矮头靴子
[1825.28-1826.04] 手枪
[1826.04-1826.88] 你全都有
[1826.88-1827.68] 手套子
[1827.68-1828.44] 老帅了
[1828.44-1829.36] 制服诱惑
[1830.00-1830.72] 我是老了
[1830.72-1831.48] 我要35岁
[1831.48-1832.32] 我都去当警察
[1832.32-1834.08] 我肯定考rcmp
[1834.12-1835.20] 多有面儿
[1835.88-1837.76] rcmp一套制服
[1837.76-1840.76] 4500美元制服
[1841.20-1842.20] 这就是加拿大
[1842.20-1843.20] 我操什么制服
[1843.20-1844.68] 4500美金
[1848.20-1848.92] 是真是好
[1848.92-1850.32] 跟我们国内的概念
[1850.32-1852.48] 人权社会的这种高级社会
[1852.48-1853.92] 它完全不一样
[1854.48-1855.88] 一旦进入主流
[1855.88-1856.84] 它完全不一样
[1860.12-1860.84] 最后一个
[1861.00-1862.04] 这就是个孩子
[1862.04-1863.16] 我是97后的
[1863.16-1864.08] 老王你好
[1864.36-1865.24] 姓姚
[1865.24-1866.60] 因为之前做股票
[1866.60-1868.00] 对金融比较感兴趣
[1868.00-1869.28] 看了您的频道
[1869.28-1870.80] 关于电子盘和股市原理
[1870.80-1872.00] 我受益良多
[1872.52-1875.00] 我现在的情况是在等澳洲移民签证下来
[1875.04-1877.00] 正在规划到了澳洲之后的发展
[1877.00-1878.44] 望老王不吝赐教
[1878.48-1880.80] 我原来的想法是借永居的福利
[1880.80-1882.44] 以原价三分之一的学费
[1882.48-1883.68] 读一个金融的硕士
[1883.68-1884.28] 一方面是多了解金融的硕士
[1884.28-1885.08] 一方面是多了解金融
[1885.08-1888.36] 另一方面是在当地找工作是多一个选择
[1888.40-1889.76] 我原来还有个想法
[1889.76-1890.96] 就是在当地当警察
[1890.96-1892.48] 一方面收入还可以
[1892.52-1894.32] 另一方面也符合自己的兴趣
[1894.32-1895.32] 还比较稳定
[1895.36-1897.36] 还可以更好地帮助一个新移民
[1897.36-1898.44] 度过经济的寒冬
[1898.44-1900.36] 我目前是国内的律师
[1900.40-1902.92] 我家里人的想法是在当地做律师
[1902.92-1905.04] 或者读书后进入金融行业也不错
[1905.08-1907.76] 但就我对发达国家的有限人之
[1907.88-1909.12] 就收入来说
[1909.12-1910.20] 每个职业都很平均
[1910.20-1911.32] 也有晋升的空间
[1911.36-1912.48] 从事什么职业
[1912.48-1913.48] 只要不是门槛来的
[1913.48-1914.76] 也不太受影响
[1914.96-1916.84] 从这几天看您读的来信中
[1916.84-1918.04] 也说到经济不太好
[1918.04-1919.72] 目前进入投行和金融
[1919.72-1920.96] 可能不是个好时机
[1921.00-1923.00] 建议找一些踏实稳定的工作
[1923.04-1925.16] 这让我觉得是否再去规划
[1925.16-1926.56] 进入当地律师
[1926.56-1927.64] 进入这一行业
[1927.68-1929.00] 需要三思而后行
[1929.00-1930.76] 因为我实在是比较年轻
[1930.80-1931.72] 社会经验不足
[1931.72-1933.48] 希望听一下您的意见
[1935.40-1937.04] 当警察在澳洲应该不错
[1937.24-1939.12] 刚才我提到在加拿大当警察
[1939.12-1942.52] RCMP法警待遇都是好的不得了
[1942.60-1942.92] 嗯
[1942.92-1943.36] 就是
[1943.36-1945.36] 真的是跟在国内当警察
[1945.40-1946.60] 完全不是一个概念
[1946.60-1948.00] 也没有什么贪污腐败
[1948.20-1950.52] 没有什么坑蒙拐骗
[1950.52-1952.00] 没有这些东西
[1952.24-1955.32] 所以他确实服役
[1955.44-1957.16] 他就等于当兵服役是一样
[1957.20-1959.32] 他确实进入一个武德充沛
[1959.32-1960.16] 武德充沛的
[1960.16-1961.36] 安格鲁萨克逊
[1961.40-1963.60] 社会的主流的最快车道
[1964.20-1965.40] 所以我对所有的
[1965.40-1967.04] 我的朋友的男孩子
[1967.08-1968.52] 家里边有男孩小伙子的
[1968.52-1969.40] 我会推荐
[1969.44-1970.52] 不要去当马农
[1970.52-1971.80] 不要去什么长春藤
[1972.28-1973.28] 抛掉那些
[1973.36-1974.44] 不切实际的东西
[1974.56-1977.68] 因为你们这些一个一个的大loser的IQ
[1977.68-1979.32] 你们都不是长春藤的料
[1979.36-1982.92] 你们应该做的不是替你们的爸爸妈妈去念长春藤
[1982.92-1984.44] 而是过好你们自己的人生
[1984.48-1986.92] 就是成为加拿大或者美国的主流社会
[1986.96-1987.96] 如果在美国的话
[1987.96-1989.68] 你又应该去读西点军校
[1989.72-1991.00] 如果是在加拿大的话
[1991.00-1992.64] 你不愿意去读皇家军校的话
[1992.80-1994.60] 你也可以去RCMP
[1994.64-1995.76] 去当一个警察
[1995.76-1996.60] 服务社会
[1996.60-1997.88] 服务8年之后
[1997.92-1998.80] 你退役之后
[1998.80-1999.76] 你是个少数族裔
[1999.76-2000.68] 你又会讲英语
[2000.68-2002.52] 你又有这么好的背景
[2002.52-2004.44] 你就是主流了
[2004.48-2006.24] 那个时候你要再去律所
[2006.24-2007.32] 找一个律师的工作
[2007.32-2009.52] 因为你拿到律师执照之后
[2009.52-2012.00] 那简直就是海阔平一跃
[2012.00-2012.92] 天高任地飞
[2013.72-2015.44] 你有了服役的经验
[2015.44-2016.64] 无论是警察还是军人
[2016.64-2018.28] 社会服务的经验
[2018.56-2019.32] 武德充沛
[2019.32-2021.56] 你又有律师的几年的经验
[2021.56-2022.60] 然后你在中年之后
[2022.60-2023.36] 你从政
[2023.40-2025.36] 你就是妥妥的华人的代表
[2025.60-2026.24] 我跟你讲
[2026.24-2027.36] 中国的中国人
[2027.36-2028.52] 华人在加拿大
[2028.52-2030.88] 美国和澳大利亚都有共同的问题
[2030.88-2031.44] 就是
[2031.44-2032.48] 华人参政
[2032.52-2033.92] 意义意愿不高
[2033.96-2035.72] 华人的投票的比例
[2035.72-2036.80] 和被投票的比例
[2036.80-2038.28] 完全不成正比
[2038.32-2040.20] 甚至连投票的比例
[2040.20-2041.76] 都跟其他族裔不成正比
[2042.76-2043.76] 什么叫投票比例
[2043.76-2045.24] 和被投票比例
[2045.36-2046.92] 就是华人候选人
[2046.92-2048.36] 和华人投票人的比例
[2048.36-2048.84] 不成正比
[2048.84-2050.56] 比如说我们有100万个华人
[2050.76-2054.08] 但是我们同时又有100万个印度人
[2054.12-2055.20] 但是人家印度人那边
[2055.20-2056.72] 有30个候选人
[2056.72-2058.64] 华人那边连三个都没凑出来
[2059.00-2060.56] 这就是华人的问题
[2060.56-2062.16] 而且还有一个
[2062.16-2063.00] 特别细节的问题
[2063.00-2065.52] 就是华人都他妈对联邦议员感兴趣
[2065.52-2067.64] 就那三个都去选联邦
[2067.96-2068.60] 省
[2068.60-2070.80] 都是去高高官去了
[2070.80-2072.04] 他对于市
[2072.08-2073.20] 完全没有兴趣
[2073.20-2076.80] 所以市一级的华裔的参政
[2076.80-2077.96] 从政人员
[2078.00-2079.48] 特别的稀有
[2080.12-2082.52] 而这个需求是客观存在的
[2082.56-2085.60] 我们需要市一级的议员
[2086.00-2088.12] 出现更多的华裔面孔
[2088.32-2089.56] 因为你华人的比例
[2089.56-2090.32] 在这个城市
[2090.32-2092.12] 其实都已经是主流了
[2092.16-2093.84] 你不能是一群白人
[2093.84-2096.12] 在决定华人的社会的方向
[2096.12-2098.88] 所以你真正成为二代中国人
[2098.88-2101.00] 就是你已经到这边是第二代
[2101.00-2102.48] 你这个年龄就是第二代的年龄
[2102.48-2106.20] 你们应该是尽快的切入主流社会
[2106.20-2108.76] 不要在洗盘子刷碗的那一代
[2108.76-2111.84] 华人的脑子里边活着了
[2111.84-2113.00] 什么王启明北京人
[2113.00-2114.08] 在纽约那一代
[2114.08-2115.84] 他们是黑户落下来的
[2115.84-2117.20] 所以他们一定要让自己的孩子
[2117.20-2118.16] 去读哈佛
[2118.16-2118.80] 读耶鲁
[2118.80-2121.12] 去读他妈的计算机
[2121.12-2122.16] 去读
[2122.16-2123.00] 有法律医生
[2123.00-2125.68] 这是很苦逼的这么一代人
[2125.68-2126.08] 你知道吧
[2126.08-2129.68] 因为他们分分钟钟有可能被遣返
[2129.68-2132.12] 所以他们有留下了一个被遣返综合证
[2132.48-2135.56] 而你是一个从有钱的地方过来的
[2135.56-2136.64] 从发达国家过来的
[2136.64-2138.76] 或者说你在本地长大的这么孩子
[2138.76-2140.64] 其实你完全可以摒弃他们这些东西
[2140.64-2141.96] 你想干什么干什么
[2141.96-2143.08] 爱干什么干什么
[2143.08-2144.40] 喜欢什么
[2144.72-2145.16] 干什么
[2145.16-2147.80] 这个社会需要什么你去干什么
[2147.80-2149.76] 这才是正确的主流的想法
[2150.64-2151.56] 我们
