[7.73-11.19] 又要到饭了 兄弟们 又要到饭了 兄弟们
[11.19-15.87] 今天又到我们的心理按摩时间
[1333.14-1336.14] 倔强的出逃就是空间上的改变
[1336.14-1338.14] 如果没有这些空间的改变
[1338.14-1341.14] 我想我一辈子都会待在那个小县城
[1341.14-1344.14] 最后就是离婚带个娃鸡飞狗走
[1344.14-1346.14] 那么现在我想问您
[1346.14-1349.14] 这算不算通过空间改变达到改变命运
[1349.14-1350.14] 这当然算了
[1350.14-1352.14] 这就是典型的
[1352.14-1354.14] 你开局什么都不是
[1354.14-1355.14] 空白面板
[1355.14-1358.14] 你只能通过改变空间来改变你的命运
[1358.14-1359.14] 这当然是了
[1359.14-1361.14] 丁胖子金牌讲师
[1361.14-1362.14] 我一再喊那个
[1362.14-1364.14] 又要犯了弟兄们
[1364.14-1366.14] 就是典型的改变空间
[1366.14-1368.14] 改变命运的一个极端案例
[1368.14-1370.14] 所以我拿出来鼓励大家
[1370.14-1371.14] 你像这个姑娘
[1371.14-1372.14] 我念信的这个姑娘
[1372.14-1374.14] 84年的
[1374.14-1375.14] 她除了长得漂亮
[1375.14-1377.14] 她什么都没有开局的时候
[1377.14-1380.14] 这整天被酒蒙子爸爸家家暴的
[1380.14-1383.14] 东北酒蒙子要喝死自己的那个状态
[1383.14-1385.14] 所以你说生活在这么一个家里
[1385.14-1386.14] 我没念她
[1386.14-1390.14] 在家里边挨她爸爸收拾的那个过程
[1390.14-1391.14] 太惨了
[1391.14-1394.14] 因为我不想把今天的主题又弄成潦草的中国人
[1394.14-1395.14] 就是其中一个细节
[1395.14-1396.14] 就是她爸爸
[1396.14-1398.14] 打她眼睛封着
[1398.14-1399.14] 封着眼睛去上课
[1399.14-1400.14] 你像一个姑娘家
[1400.14-1402.14] 十来岁的小姑娘
[1402.14-1403.14] 封着眼睛去上课
[1403.14-1406.14] 那老师同学肯定是要问她是怎么回事
[1406.14-1408.14] 她不能说爸爸打我她丢人
[1408.14-1411.14] 她说家里面那个门弹簧弹的
[1411.14-1415.14] 然后就引起学生同学们的哄笑和歧视
[1415.14-1417.14] 你说那样的一个小姑娘
[1417.14-1419.14] 经历这样的环境是一种什么
[1419.14-1420.14] 是一种历练
[1420.14-1423.14] 所以她第一次改变人生的境遇
[1423.14-1425.14] 就是跑省城找她妈去了
[1425.14-1427.14] 找到她妈
[1427.14-1428.14] 她就换了学校
[1428.14-1430.14] 真真正正能读几天书
[1430.14-1432.14] 第二次变化就是跑到韩国去了
[1432.14-1434.14] 跑到韩国彻底改变了自己
[1434.14-1438.14] 第三次变化就是跑到深圳
[1438.14-1440.14] 打工去挣点钱
[1440.14-1442.14] 就是我说反了
[1442.14-1443.14] 第三次第四次
[1443.14-1444.14] 然后从韩国回来
[1444.14-1447.14] 这就正式走上了人生的流光大道
[1447.14-1449.14] 现在她又要面临空间的改变
[1449.14-1450.14] 移民
[1450.14-1453.14] 22年因为上海封城
[1453.14-1455.14] 二是在朋友的反复推荐期间
[1455.14-1457.14] 下我学会了翻墙
[1457.14-1459.14] 知道了我许多以前不知道的事
[1459.14-1461.14] 我的历史知识太欠缺了
[1461.14-1464.14] 当看到一幕幕惨绝人寰的事件后
[1464.14-1465.14] 世界观崩塌了
[1465.14-1467.14] 你看这就是郁闷的地方
[1467.14-1471.14] 就是大部分中国人是一样的
[1471.14-1473.14] 真的我们觉得每个人都会知道的
[1473.14-1475.14] 什么60年的事
[1475.14-1477.14] 就是70年代的事
[1477.14-1479.14] 这个没有人知道
[1479.14-1482.14] 8964他们真不知道
[1482.14-1485.14] 还好封城让你们又体验了一次
[1485.14-1489.14] 也让我及早的认识到了中国房地产的情况
[1489.14-1490.14] 这是应该感谢老翟
[1490.14-1491.14] 感谢翟山英
[1491.14-1494.14] 通过我自己去楼盘以及中介的打探
[1494.14-1496.14] 我感觉到了寒气
[1496.14-1498.14] 于是我于2022年下半年
[1498.14-1499.14] 低于市场
[1499.14-1502.14] 价20万卖掉了我的房子
[1502.14-1503.14] 总体上还赚了一些
[1503.14-1505.14] 小城市的房子不值钱
[1505.14-1507.14] 但至少我现在移民心里不慌了
[1507.14-1511.14] 就是没有什么高学历高文化的人
[1511.14-1513.14] 反而会走对齐
[1513.14-1514.14] 因为你为什么
[1514.14-1516.14] 因为你不想那么多嘛
[1516.14-1518.14] 干就是了弟兄们
[1518.14-1519.14] 对不对
[1519.14-1521.14] 2023年生意差
[1521.14-1523.14] 我把其他员工都辞了
[1523.14-1524.14] 只留了一个打杂
[1524.14-1527.14] 我自己申请加拿大联邦自雇移民
[1527.14-1529.14] 我天天研究移民局官网
[1529.14-1530.14] 弟兄们不要忘了
[1530.14-1532.14] 这个女士以前不会说英语
[1532.14-1535.14] 她是通过大学外边的语言补习班
[1535.14-1536.14] 自己考的四六级
[1536.14-1539.14] 她天天研究加拿大移民局的官网
[1539.14-1540.14] 国内外信息检索
[1540.14-1542.14] 甚至跑到加拿大官网
[1542.14-1544.14] 法律文书裁判网去研究
[1544.14-1546.14] 被移民拒签的案例
[1546.14-1547.14] 总共花了半年时间
[1547.14-1549.14] 六个月才提交了申请
[1549.14-1551.14] 我总共花了两万人民币
[1551.14-1553.14] 这个项目需要在国内等三年
[1553.14-1557.14] 23年我还拿到了美国加拿大的旅游签证
[1557.14-1559.14] 日本的五年签证
[1559.14-1560.14] 日本签证为了我妈
[1560.14-1561.14] 她是负申请人
[1561.14-1562.14] 我想往后
[1562.14-1564.14] 国内医疗不行的话
[1564.14-1565.14] 带她去日本看病
[1565.14-1567.14] 我计划24年底去菲律宾
[1567.14-1569.14] 连带学考雅思
[1569.14-1571.14] 我给自己定的目标是7分
[1571.14-1572.14] 现在国内的生意
[1572.14-1574.14] 我逐渐在做收缩的同行
[1574.14-1576.14] 同时在研究去国外后的生计
[1576.14-1577.14] 我的目标非常明确
[1577.14-1579.14] 也没给自己留后路
[1579.14-1581.14] 23年初就把国内社保停了
[1581.14-1582.14] 就像您说的
[1582.14-1584.14] 每个人对自由的定义不一样
[1584.14-1586.14] 我感觉前半生坎坎坷坷
[1586.14-1588.14] 都是在为了追求自由
[1588.14-1590.14] 你说的太对了
[1590.14-1594.14] 就是像你这样的做微商
[1594.14-1595.14] 有韩国经验
[1595.14-1597.14] 有中国淘宝经验的
[1597.14-1598.14] 你到美国加拿大
[1598.14-1600.14] 你做电商做微商
[1600.14-1602.14] 你都不用改行
[1602.14-1604.14] 因为国内有大量的小商品
[1604.14-1606.14] 在这儿是有强劲的需求的
[1606.14-1607.14] 你只要找对了方向
[1607.14-1608.14] 找对了项目
[1608.14-1610.14] 那真的是很舒服的
[1610.14-1612.14] 你第三次和第四次
[1612.14-1613.14] 我都数不过来了
[1613.14-1616.14] 因为你这个人生开局实在是太低了
[1616.14-1618.14] 所以你转变了很多次空间
[1618.14-1621.14] 所以你这又要有一次上升了
[1621.14-1623.14] 我都已经看到了你在上升
[1623.14-1626.38] 我现在也在研究美国的移民项目
[1626.38-1628.38] 其实我更想去美国
[1628.38-1629.38] 也想听您的建议
[1629.38-1632.38] 当然了美国的市场更繁荣更大
[1632.38-1634.38] 10倍于加拿大
[1634.38-1635.38] 我
[1635.38-1637.38] 但是你能不能去就要想好
[1637.38-1639.38] 因为美国的移民还是挺难的
[1639.38-1640.38] 我虽然已经40岁了
[1640.38-1642.38] 但是活力和好奇心都非常的旺盛
[1642.38-1645.38] 我对于我的事业和爱情还是有期待的
[1645.38-1646.38] 就像您讲过的
[1646.38-1649.38] 过了40岁没结婚的女人都是满身冷脚
[1649.38-1652.38] 对于大部分事我也看得透想得开
[1652.38-1653.38] 我的事我自己定
[1653.38-1656.38] 我身边没有明智的长辈朋友能给我建议
[1656.38-1658.38] 我的层次和认知有很大的局限性
[1658.38-1660.38] 特别想听听您的看法
[1660.38-1662.38] 你已经成熟了
[1662.38-1664.38] 不用我的看法了
[1664.38-1665.38] 干吧
[1665.38-1667.38] 又要到饭了兄弟们
[1667.38-1669.38] 就干就是了
[1669.38-1672.38] 另外您视频里不少人咨询移民项目
[1672.38-1674.38] 我觉得您大方向说的都没错
[1674.38-1676.38] 但是有些细节会有误差
[1676.38-1678.38] 前几天有个博士咨询
[1678.38-1681.38] 就我对美加移民项目的了解
[1681.38-1684.38] 他是可以尝试美国EBA1
[1684.38-1685.38] EB1A
[1685.38-1687.38] 或者NIW的
[1687.38-1690.38] 是NIW还NEW我看不清楚
[1690.38-1692.38] 并且不过也不影响什么
[1692.38-1693.38] 当然这是指他自己有能力
[1693.38-1696.38] 至少做到半DIY的情况下
[1696.38-1697.38] NIW这个项目
[1697.38-1699.38] 国内报价50到80万人民币
[1699.38-1701.38] 美国当地利语师出文书
[1701.38-1702.38] 只要8000美金
[1702.38-1705.38] 信息差大到离谱
[1705.38-1707.38] 我也将强烈建议
[1707.38-1708.38] 确定要移民的
[1708.38-1710.38] 你们至少去移民局官网
[1710.38-1711.38] 自己看一下规则
[1711.38-1713.38] 自己尝试评估一下自己
[1713.38-1715.38] 浏览器现在都有自动翻译
[1715.38-1717.38] 中介会夸大每个项目的难度
[1717.38-1720.82] 你看这个女士说的多对
[1720.82-1722.82] 虽然她的文化层次
[1722.82-1724.82] 照比咨询文章
[1724.82-1726.82] 跟我的那些博士硕士
[1726.82-1729.82] 985211差很多
[1729.82-1731.82] 开局面板属性差了太多
[1731.82-1734.82] 但是她的能力真的比你们强太多了
[1734.82-1735.82] 因为什么
[1735.82-1736.82] 因为她行万里路
[1736.82-1739.82] 她具备走出舒适圈的勇气
[1739.82-1741.82] 当然开始是她被迫的
[1741.82-1743.82] 但是她一旦走出了第一次
[1743.82-1746.82] 她就根本不把走出舒适圈当回事了
[1746.82-1748.82] 因为她压根没当过学霸
[1748.82-1750.82] 所以她一点都不在乎自己学渣
[1750.82-1752.82] 慢慢的熬夜学
[1752.82-1753.82] 考试对她来说
[1753.82-1755.82] 只是一个过场
[1755.82-1756.82] 根本不是目的
[1756.82-1760.82] 所以她从来不把一个考试当成自己的最终的目标
[1760.82-1764.82] 所以人家这个效率要比你们强太多了
[1764.82-1765.82] 我在国外生活过
[1765.82-1767.82] 我的观念就是英语好
[1767.82-1768.82] 走遍天下都不怕
[1768.82-1770.82] 特别钱不多的同学
[1770.82-1771.82] 你把英语学好
[1771.82-1773.82] 你就会发现路突然就宽了
[1773.82-1774.82] 老王之前就提过
[1774.82-1776.82] 菲律宾学英语更便宜
[1776.82-1779.82] 在国内各大平台都有授口语练习
[1779.82-1781.82] 和飞轿老师聊半小时
[1781.82-1782.82] 只有十五到十十分钟
[1782.82-1785.82] 十五到十八元人民币的成本
[1785.82-1788.82] 很多一穷二百印度人和菲律宾人到美国加拿大
[1788.82-1790.82] 落地就能抱金币
[1790.82-1792.82] 女士你怎么说的那么对
[1792.82-1794.82] 啰啰嗦嗦说了这么多
[1794.82-1795.82] 暂时讲到这儿
[1795.82-1797.82] 再说就有妈味了
[1797.82-1798.82] 还有很多关于意识形态
[1798.82-1800.82] 子女教育等好多想法想问你
[1800.82-1802.82] 下次有时间给你写信
[1802.82-1803.82] 期待你的回复
[1803.82-1805.82] 我就在网上直接回复你了
[1805.82-1807.82] 我就不单独写信回复你了
[1807.82-1808.82] 欢迎你给我来信
[1808.82-1810.82] 你是一个非常有代表性的案例
[1810.82-1812.82] 我希望我们能够深入的交流
[1812.82-1813.82] 到了加拿大
[1813.82-1816.82] 我们甚至可以面对面的交流
[1816.82-1818.82] 你说的这些事儿
[1818.82-1819.82] 尤其是英语这部分
[1819.82-1821.82] 我给你做一个补充
[1821.82-1824.82] 英语太重要了
[1824.82-1826.82] 如果想论什么呢
[1826.82-1827.82] 英语是重中之重
[1827.82-1829.82] 你们看丁胖子金牌讲师
[1829.82-1831.82] 他最近他都会说英语了
[1831.82-1833.82] 连郭大总统那种文化程度
[1833.82-1836.82] 他最后他都会用英语直接
[1836.82-1838.82] 跟班农交流做直播
[1838.82-1839.82] 这就是英语的重要性
[1839.82-1842.82] 因为这个世界是英语的世界
[1842.82-1844.82] 这个世界的有效信息
[1844.82-1847.82] 和知识以及书籍
[1847.82-1851.82] 人类社会人类这个文明的知识储存
[1851.82-1854.82] 绝大部分是用英语形成的
[1854.82-1856.82] 如果你只读中文的话
[1856.82-1858.82] 你的路会越走越窄
[1858.82-1860.82] 但是你会英文的话
[1860.82-1862.82] 路会越走越宽
[1862.82-1866.82] 你会超级高效率的提升自己的知识维度
[1866.82-1868.82] 和认知空间
[1868.82-1871.82] 但是现在还有个特别方便的法门
[1871.82-1873.82] 就是所有的网页都有自动翻译
[1873.82-1876.82] AI自动翻译现在做的太方便了
[1876.82-1878.82] 夸一下都给你网页抓平
[1878.82-1880.82] 整个都给你翻译出来
[1880.82-1883.82] 你几乎就是只要有一点点的英语语法
[1883.82-1885.82] 和基础词汇概念
[1885.82-1888.82] 你就可以阅读无障碍
[1888.82-1891.82] 所以一定要学会使用英语
[1891.82-1893.82] 获取信息的能力
[1893.82-1897.82] 这是移民润的第一步
[1897.82-1898.82] 没那么难
[1898.82-1899.82] 他都行
[1899.82-1900.82] 你们有啥不行
[1900.82-1901.82] 对不对
[1901.82-1902.82] 我老王这种人
[1902.82-1904.82] 我都能在加拿大说英语
[1904.82-1905.82] 你们再挑
[1905.82-1908.82] 我也不承认我英语不好
[1908.82-1910.82] 我那英语杠杠
[1910.82-1911.82] 我像罗考雅思
[1911.82-1914.82] 我没准都能统一到7
[1914.82-1915.82] 就是真的是
[1915.82-1917.82] 就是你要走出去
[1917.82-1918.82] 王老师您好
[1918.82-1920.82] 我前两周发现了您的YouTube频道
[1920.82-1922.82] 就开始狂补您之前的视频
[1922.82-1923.82] 非常入心
[1923.82-1924.82] 我就在温哥华
[1924.82-1925.82] 来自北京
[1925.82-1926.82] 在这20多年了
[1926.82-1928.82] 是个国内毕业的理工女
[1928.82-1929.82] 应该是因为头脑僵化
[1929.82-1930.82] 在这里没找到生活的方向
[1930.82-1932.82] 非常仰慕您的智慧才华
[1932.82-1934.82] 希望得到您的点拨
[1934.82-1935.82] 我信佛
[1935.82-1937.82] 并没了悟生活
[1937.82-1938.82] 我上大学
[1938.82-1941.82] 并没用之于服务社会
[1941.82-1943.82] 生活也是一粒鸡毛
[1943.82-1944.82] 疲于打工还贷
[1944.82-1945.82] 最近又失业
[1945.82-1947.82] 我想人与人之间的区别
[1947.82-1949.82] 应该是头脑思想的差别造成的
[1949.82-1952.82] 我觉得您看个开悟的人
[1952.82-1956.82] 希望我能像您一样智慧大开
[1956.82-1958.82] 我可以请求您不公开我的信
[1958.82-1959.82] 和情况的
[1959.82-1962.82] 不公开我的信和情况
[1962.82-1964.82] 在公开场合
[1964.82-1966.82] 非常感谢您的配合
[1966.82-1969.82] 我就公开你的信
[1969.82-1970.82] 就你这个破信
[1970.82-1972.82] 没有任何信息在里边
[1972.82-1975.82] 你有什么不好意思公开的呢
[1975.82-1976.82] 就你的人生
[1976.82-1978.82] 已经过得一粒鸡毛了
[1978.82-1982.82] 从北京过来的北京牛
[1982.82-1984.82] 你还20多年
[1984.82-1986.82] 还找不着人生的方向
[1986.82-1987.82] 在温哥华天堂的地方
[1987.82-1989.82] 你生活的一粒鸡毛
[1989.82-1990.82] 你还信佛
[1990.82-1991.82] 你信的那个不叫佛
[1991.82-1993.82] 你没有读经
[1993.82-1994.82] 你让经读了你
[1994.82-1996.82] 你快别信佛了
[1996.82-1998.82] 你信佛只能是副作用
[1998.82-2001.82] 麻醉你已经已然非常麻木的心灵
[2001.82-2004.82] 你的自我偶像包袱有多重
[2004.82-2005.82] 我都不能想象
[2005.82-2008.82] 你当时上小学中学和大学的时候
[2008.82-2009.82] 你学习成绩有多好
[2009.82-2010.82] 我没说错吧
[2010.82-2011.82] 我是不是开悟了
[2011.82-2013.82] 我是不是隔着屏幕看透你了
[2013.82-2014.82] 你是不是个好学生
[2014.82-2016.82] 当时你他妈到现在
[2016.82-2019.82] 你还没有从你大学和中学里边走出来呢
[2019.82-2021.82] 你考虑问题
[2021.82-2022.82] 你见到朋友
[2022.82-2025.82] 还要比试人家一下是不是211毕业的
[2025.82-2026.82] 对不对
[2026.82-2028.82] 还要看一下人家是哪个大学来的
[2028.82-2032.49] 放下吧
[2032.49-2034.49] 你连个开Uber的司机都不如
[2034.49-2038.49] 所以你一定要打碎自己才能重新
[2038.49-2039.49] 重塑三观
[2039.49-2040.49] 彻底开悟
[2040.49-2043.49] 正是因为你这种人家庭条件太好
[2043.49-2045.49] 你才什么都不是
[2045.49-2046.49] 越活越缩缩
[2046.49-2048.49] 你这种人在我身边也有
[2048.49-2050.49] 家庭条件好的不得了
[2050.49-2051.49] 可以说
[2051.49-2052.49] 那个开局面板
[2052.49-2054.49] 如果刚才那位女士是地狱的话
[2054.49-2056.49] 我身边就有些人开局面板
[2056.49-2058.49] 那简直就是天堂
[2058.49-2060.49] 我说的那些小说那些苦
[2060.49-2062.49] 他们压根都没见过
[2062.49-2065.49] 真的是什么家里边都有
[2065.49-2067.49] 身手都不沾阳春水
[2067.49-2069.49] 都是怎么警卫员给干了
[2069.49-2070.49] 但是人生越走越低
[2070.49-2071.49] 越活越傻逼
[2071.49-2072.49] 都恨不得自杀了
[2072.49-2074.49] 为什么不到20年
[2074.49-2075.49] 差距这么大
[2075.49-2077.49] 为什么就是走不出舒适圈
[2077.49-2078.49] 打不碎自己
[2078.49-2080.49] 必须打碎自己
[2080.49-2082.49] 像你这种人事实证明
[2082.49-2084.49] 你之前的三观全是错误的
[2084.49-2085.49] 无论你考试成绩多好
[2085.49-2086.49] 什么都不能说明
[2086.49-2088.49] 只能说明你是个答题家
[2088.49-2090.49] 北京来的答题家而已
[2090.49-2092.49] 全是富自产
[2092.49-2094.49] 因为你不能走万里路
[2094.49-2096.49] 你这样的家庭背景能来温哥华
[2096.49-2099.49] 你家庭背景绝对差不了20年
[2099.49-2100.49] 对不对
[2100.49-2101.49] 我是不是开悟了
[2101.49-2102.49] 你还有偶像包袱
[2102.49-2103.49] 老黄能不能不念我的信
[2103.49-2104.49] 不说我的情话
[2104.49-2107.49] 谁知道你是谁呀
[2107.49-2110.49] 我们都对你那点烂事不感兴趣
[2110.49-2112.49] 连你屁股上的花纹都不想看
[2112.49-2115.49] 不要有那么强的偶像包袱
[2115.49-2116.49] 我都没有偶像包袱
[2116.49-2118.49] 你有什么偶像包袱
[2118.49-2119.49] 我那点烂事
[2119.49-2120.49] 我自己都说
[2120.49-2122.49] 我河北牙凤王
[2122.49-2123.49] 我祖籍河北的
[2123.49-2125.49] 我小时候都看死孩子
[2125.49-2127.49] 都看见狮子下沟腔
[2127.49-2129.49] 晚上在那熬夜
[2129.49-2130.49] 死熬
[2130.49-2131.49] 那有啥的
[2131.49-2133.49] 这东西有什么丢人呢
[2133.49-2134.49] 我出差
[2134.49-2136.49] 我爸我妈一样拿小肥皂小牙膏
[2136.49-2137.49] 拿一抽屉
[2137.49-2139.49] 最后都放黄了
[2139.49-2142.49] 我们家那个电瓶箱里全是剩菜
[2142.49-2143.49] 一开一股味
[2143.49-2145.49] 这有什么呢
[2145.49-2146.49] 真实
[2146.49-2147.49] 真一点OK
[2147.49-2149.49] 知道他妈什么叫真吗
[2149.49-2150.49] social mask
[2150.49-2152.49] 你们脸上那个social mask
[2152.49-2154.49] 厚的都不用化妆
[2154.49-2158.49] 所以你们人生才越活越缩瘦才会抑郁
[2158.49-2160.49] 我不知道我能不能骂醒你
[2160.49-2161.49] 骂不醒你
[2161.49-2162.49] 你再写封信
[2162.49-2163.49] 我接着骂你
[2163.49-2164.49] 真的能骂醒你
[2164.49-2166.49] 小刀给你把那个mask拉开
[2166.49-2168.49] 你才知道自己是谁
[2168.49-2169.49] 别以为是女士
[2169.49-2172.47] 对了
[2172.47-2174.47] 他的名字叫Daisy
[2174.47-2175.47] 就不给你留面子
[2175.47-2177.47] 他咋定告我
[2177.47-2178.47] 老王您好
[2178.47-2179.47] 很喜欢你的视频
[2179.47-2182.47] 从第一期开始就用下载保存
[2182.47-2184.47] 并且给周围的朋友安利
[2184.47-2185.47] 这是铁粉
[2185.47-2187.47] 也给自己父母安利了
[2187.47-2189.47] 关注了很多中文博主
[2189.47-2190.47] 您是第一位
[2190.47-2192.47] 我向别人安利的
[2192.47-2194.47] 可能就是因为你不吃这口饭图个乐
[2194.47-2196.47] 所以敢做真实的自我
[2196.47-2197.47] 敢怼敢骂也敢道歉
[2197.47-2199.47] 之后省略1万字的彩虹屁
[2199.47-2200.47] 可以写啊
[2200.47-2202.47] 我就不念了
[2202.47-2204.47] 但是我我我读起来很爽
[2204.47-2206.47] 两个问题想请教
[2206.47-2209.47] 一我是16年办理了1B5去美国
[2209.47-2212.47] 但是排期优先日在17年的8月
[2212.47-2213.47] 可能还要等好几年
[2213.47-2215.47] 可能会错过孩子的锁铃
[2215.47-2217.47] 或是到时孩子无法获得身份
[2217.47-2219.47] 所以现在很彷徨
[2219.47-2221.47] 自己干了十多年的公司裁员了
[2221.47-2223.47] 03年就开始做程序员
[2223.47-2225.47] 但是15年后进入管理层
[2225.47-2227.47] 已经有快10年没写代码了
[2227.47-2228.47] 最近在家自学
[2228.47-2229.47] 想捡回来重新当马农
[2229.47-2231.47] 不知道40多岁的程序员
[2231.47-2234.47] 是否有机会办理加拿大技术移民或公签
[2234.47-2236.47] 主要是为了孩子和父母
[2236.47-2238.47] 扩幅
[2238.47-2239.47] 我父母和您父母很像
[2239.47-2240.47] 也是有点粉红
[2240.47-2241.47] 但不是很红
[2241.47-2243.47] 只是现在中文短视频
[2243.47-2244.47] 对他们洗脑太严重了
[2244.47-2246.47] 整天转发欧美要完蛋
[2246.47-2247.47] 大国要崛起的视频
[2247.47-2248.47] 我也不堪忍受
[2248.47-2251.47] 非常希望尽快带全家逃出去
[2251.47-2253.47] 你看你这个问题
[2253.47-2255.47] 你有这么强的能力
[2255.47-2258.47] 你都这么好的这个基础
[2258.47-2259.47] 背景
[2259.47-2262.47] 你问我40多岁的程序员
[2262.47-2265.47] 是否有机会办理加拿大的技术移民
[2265.47-2266.47] 或者公签
[2266.47-2267.47] 你问我
[2267.47-2269.47] 我怎么会知道啊
[2269.47-2270.47] 我又不是移民部
[2270.47-2272.47] 我又不是移民顾问
[2272.47-2274.47] 我只是人在加拿大周围的
[2274.47-2275.47] 见的朋友邻居多一些
[2275.47-2277.47] 所以你问我这些细节
[2277.47-2278.47] 你为什么不自己去
[2278.47-2280.47] 加拿大的移民部网站
[2280.47-2282.47] 看一看去加拿大的移民公司
[2282.47-2283.47] 去看一看
[2283.47-2285.47] 你都有了1B5去美国的身份了
[2285.47-2286.47] 都办下来了
[2286.47-2287.47] 在排气候
[2287.47-2288.47] 在排气候
[2288.47-2290.47] 你能力不差呀
[2290.47-2293.47] 你为什么不肯自己去DIY一下
[2293.47-2294.47] 为什么要问呢
[2294.47-2296.47] 所以我就是不是我怼你
[2296.47-2297.47] 就是其实
[2297.47-2300.47] 你真的应该去丁胖子的广场
[2300.47-2303.47] 跟丁胖子金牌讲师要饭要半年
[2303.47-2307.47] 你帮他拉着那个人力车走半年美国
[2307.47-2308.47] 你就清醒了
[2308.47-2309.47] 你知道吧
[2309.47-2310.47] 你就这问题就没有了
[2310.47-2311.47] 二
[2311.47-2312.47] 关于A股的技术问题
[2312.47-2313.47] 如果A股的指数
[2313.47-2315.47] 如您所说是人为化出来的
[2315.47-2317.47] 为什么在目前经济压力下
[2317.47-2319.47] 他们不把A股越划越高
[2319.47-2320.47] 一路跌到2000点的话
[2320.47-2322.47] 对交易所也没有利益吧
[2322.47-2323.47] 如果逐步划出一个牛市
[2323.47-2326.47] 可以吸引更多韭菜进来哥不是更好吗
[2326.47-2328.47] 这点让我一直疑惑不解
[2328.47-2329.47] 球次教是这样的
[2329.47-2331.47] 它虽然是人力化出来的
[2331.47-2333.47] 但是当时我那一期讲的时候
[2333.47-2335.47] 你们没仔细听明白吧
[2335.47-2336.47] 或者是
[2336.47-2338.47] 那就相当于足球场上11个人
[2338.47-2339.47] 对11个人的足球场上
[2339.47-2341.47] 涌进去了1万个人
[2341.47-2342.47] 再跟1万个人踢
[2342.47-2344.47] 挤来挤去的球在哪找不到
[2344.47-2346.47] 所以他才借此机会
[2346.47-2348.47] 可以手工绘制球路
[2348.47-2350.47] 但是我当时有一句话
[2350.47-2352.47] 就是这个球路也不能超过
[2352.47-2355.47] 红蓝双方的这个混杂阵营
[2355.47-2358.47] 就是当这个大趋势混杂在一起的时候
[2358.47-2360.47] 他划线他划不过大势
[2360.47-2361.47] 明白吧
[2361.47-2363.47] 神通不敌造化
[2363.47-2365.47] 神通不敌业力
[2365.47-2368.47] 整个大势所有的卖单
[2368.47-2370.47] 总量上超过了买单的时候
[2370.47-2371.47] 他往上划
[2371.47-2372.47] 他最多就是划一个波
[2372.47-2374.47] 但是他绝对不能划个趋势
[2374.47-2375.47] 你明白吧
[2375.47-2376.47] 那他改不改
[2376.47-2377.47] 改不了的
[2377.47-2379.47] 就相当于1万个人对1万个人红队
[2379.47-2381.47] 对1万个人的蓝队踢足球
[2381.47-2383.47] 他可以说足球在红蓝交界的地方
[2383.47-2385.47] 他不可能说红队在球门那边
[2385.47-2386.47] 明白吧
[2386.47-2390.47] 如果要是红队整正在对蓝队进行进攻
[2390.47-2392.47] 都压到蓝队的这个足球场的
[2392.47-2394.47] 那个门框附近去了
[2394.47-2397.47] 他不可能说那个球在红队足球场那边
[2397.47-2398.47] 呃球门那边
[2398.47-2403.32] 这个他做不到的
[2403.32-2404.32] 下一位啊
[2404.32-2405.32] 老王你好
[2405.32-2406.32] 我是个90后女生
[2406.32-2408.32] 也算是个北京大妞了
[2408.32-2409.32] 我出生于江南
[2409.32-2412.32] 父母是当年的小镇做答题家
[2412.32-2414.32] 从外地考入北京某大学
[2414.32-2415.32] 进而走入体制内
[2415.32-2417.32] 虽然不是生在北京
[2417.32-2419.32] 但是我从幼儿园开始就在北京了
[2419.32-2421.32] 看了你的频道感觉很感慨
[2421.32-2424.32] 因为家族里边都是体制内的
[2424.32-2425.32] 我对你的经历很好奇
[2425.32-2426.32] 我也很佩服你
[2426.32-2429.32] 能冲出体制寻找自我
[2429.32-2432.32] 我觉得你的说的很多话都很有道理
[2432.32-2433.32] 我从你这里学到很多
[2433.32-2434.32] 也释怀很多
[2434.32-2435.32] 这次给你写信
[2435.32-2437.32] 主要是听了你海外孝子那期
[2437.32-2438.32] 很有感触
[2438.32-2440.32] 我也有我的困惑
[2440.32-2441.32] 希望你能帮我解惑
[2441.32-2444.32] 当然你要骂我我也不介意
[2444.32-2446.32] 先简单说说我自己
[2446.32-2448.32] 我有那么没有涵养吗
[2448.32-2452.32] 为什么所有的我的观众都要先打个埋伏
[2452.32-2454.32] 就是你要骂我也不在乎呢
[2454.32-2455.32] 我当年18岁时
[2455.32-2460.32] 因为父母要求考入中国某知名大学新闻系
[2460.32-2462.32] 后来在北京的媒体做了几天
[2462.32-2464.32] 感觉自己实在受不了这个氛围
[2464.32-2466.32] 于是忤逆父母的要求毅然出国
[2466.32-2468.32] 父母希望我一个女孩子
[2468.32-2469.32] 就稳稳当当
[2469.32-2471.32] 电台或者报社找份工作
[2471.32-2472.32] 但是我实在受不了
[2472.32-2474.32] 中年油腻男看我的眼光
[2474.32-2476.32] 也不喜欢陪他们应酬喝酒吃饭
[2476.32-2478.32] 更不喜欢写一些言不由衷的稿子
[2478.32-2480.32] 所以我出国了
[2480.32-2482.32] 由于没有父母的支持
[2482.32-2483.32] 也没有什么存款
[2483.32-2486.32] 我只能去某些便宜的北欧国家
[2486.32-2488.32] 我刚刚开始去读的传媒的硕士
[2488.32-2490.32] 后来实在没办法留下
[2490.32-2492.32] 又去当地高中上了几天学
[2492.32-2494.32] 还参加了当地的高考
