[0.18-2.82] 哈喽 大家好 又见面了
[2.82-7.74] 晚上又无心睡眠 继续给大家录一期
[7.74-14.34] 今天白天比较忙 跑到列治文去跟考拉喝杯酒
[14.34-18.52] 网友见了一面 吃了个老北京铜锅涮肉
[18.52-22.82] 非常爽 喝了两杯啤酒 这就是温华的慢生活
[22.82-27.24] 结果这杯啤酒下肚 今儿一天基本上啥事没干
[27.24-31.84] 到半夜三更了 天黑了 你看这灯只要是亮着
[31.84-35.60] 就是晚上给大家录 聊聊天 放放松
[35.60-39.94] 老王的频道一晃一百多期了
[1318.46-1321.26] 你从来没有接受过这种历练
[1321.74-1325.34] 人家从四年级就开始独立的发表
[1325.62-1326.74] 社会学
[1326.74-1329.34] 历史学这样的见解的时候
[1329.34-1332.02] 你一个高一高二的中国小学生
[1332.02-1332.58] 你过来
[1332.58-1334.78] 你是不是像个傻瓜一样
[1335.26-1337.62] 老师和同学们会nice你吗
[1337.82-1339.18] 就算加拿大人来说
[1339.18-1339.70] 他也有
[1339.70-1340.66] 青春期的状态
[1341.46-1343.70] 高一高二的孩子在加拿大
[1343.70-1344.98] 也是脾气最大的时候
[1345.46-1347.94] 小白妞小滑妞ABC CBC
[1347.94-1349.02] 都脾气不好
[1349.02-1350.46] 他会瞧不起你的
[1350.46-1351.66] 因为你穿的衣服
[1351.66-1353.62] 你说的追的剧
[1353.62-1355.66] 歌星全都不是一回事
[1355.66-1356.66] 那怎么办
[1356.66-1358.02] 你就没有朋友
[1358.26-1360.02] 然后你上课又听不懂
[1360.62-1361.58] 考试多少分
[1361.58-1362.58] 你们猜猜
[1363.26-1364.30] 从国内转过来
[1364.30-1366.42] 进入IB课的这孩子们的分
[1366.42-1367.46] 60分
[1368.30-1369.38] 甚至不及格
[1369.70-1370.38] 65
[1371.26-1373.50] 你三门主课60分65
[1373.50-1374.86] 你考什么大学
[1374.86-1377.74] 你什么大学都不会屌你
[1377.94-1380.10] 所以高中过来
[1380.10-1380.82] 真的是晚了
[1380.82-1382.02] 你把孩子毁了
[1382.02-1383.86] 真的是应该越早越好
[1383.86-1385.42] 既然想留学
[1385.42-1386.18] 越早越好
[1386.18-1388.30] 孩子的心理问题就越小
[1388.86-1391.46] 因为中国的小孩早会早熟
[1391.46-1392.58] 因为他社会压力大
[1392.70-1394.02] 他没有童真
[1395.34-1396.74] 一个一个都是小大人
[1396.86-1398.70] 从小就夸这孩子都真懂事
[1398.70-1399.58] 其实这孩子
[1399.70-1401.54] 在说大人想说的话
[1401.90-1402.74] 这样的孩子
[1403.14-1405.22] 他特别难以适应家的大
[1405.22-1407.94] 因为他有偶像包袱
[1408.38-1409.46] 你别看他人很小
[1409.46-1409.74] 他对吧
[1409.74-1410.98] 有偶像包袱很重
[1410.98-1413.38] 他来了外国人的班里以后
[1413.38-1414.94] 他有防备
[1414.94-1415.50] 有戒心
[1415.50-1416.46] 有龟壳
[1416.46-1417.54] 他不愿意钻出来
[1417.74-1420.10] 人家也可能也不会太惯着你
[1420.10-1422.46] 所以就很容易出现不说话了
[1423.02-1423.70] 沉默了
[1423.82-1424.66] 没有朋友了
[1424.66-1425.54] 不快乐
[1425.54-1427.94] 很容易出现儿童的这种
[1427.94-1429.66] 儿童抑郁症的这种状态
[1429.70-1434.22] 所以我的朋友的孩子过来不到一年
[1434.22-1435.78] 父母都辞职了
[1435.78-1437.50] 从北京过来陪他都不行
[1437.50-1440.94] 现在不得不研究再转学
[1440.94-1442.38] 不得不研究再转学
[1442.38-1445.62] 其实就是已经有点来不及了
[1445.62-1448.46] 其实我建议他干脆蹲一班
[1448.46-1451.10] 你再读一次十年级
[1451.10-1454.06] 转学的同时再蹲一班
[1454.06-1456.54] 可能你的学业才能跟得上
[1456.54-1459.22] 你不要再觉得你是什么尖子
[1459.22-1460.82] 什么清华妇的尖子
[1460.94-1462.38] 什么人大妇的尖子
[1462.38-1463.30] 没有用
[1463.30-1464.06] 没有用
[1464.06-1464.94] 跟不上
[1464.94-1465.82] 不一样
[1466.46-1468.90] 所以这是儿童的问题
[1468.90-1469.54] 儿童问题
[1469.54-1471.66] 中小学的问题特别的严重
[1471.66-1472.82] 大学反而无所谓了
[1472.82-1474.58] 因为大学粉红就粉红
[1474.90-1476.02] 粉红就粉红的圈了
[1476.02-1476.50] 对不对
[1476.50-1478.98] 但是中小学的儿童心理
[1478.98-1480.78] 在这边发展的特别严重
[1480.98-1483.10] 有的是父母激他
[1483.10-1484.62] 因为父母都是名校的
[1484.74-1485.66] 就是我昨天讲的
[1486.02-1486.82] 你不好好学
[1486.82-1488.26] 你就对不起我们
[1488.30-1489.18] 你就是人渣
[1489.22-1489.98] 中的人渣
[1489.98-1491.22] 败类中的败类
[1491.22-1492.94] 因为你爷爷给我的是什么条件
[1492.94-1493.98] 我什么都没有
[1493.98-1495.78] 但是我现在给你的是什么条件
[1495.78-1496.50] 你在加拿大
[1496.90-1498.50] 衣不绸穿不绸
[1498.50-1499.66] 你住在别墅里
[1499.66-1501.42] 上着这样的快乐教育的学校
[1501.42-1503.18] 你也考不上长春藤
[1503.18-1504.46] 考不上加州大学
[1504.70-1505.54] 你废了
[1505.58-1506.38] 你考不上多大
[1506.38-1507.06] 你废了
[1507.06-1509.78] 这个就是华人家长
[1509.78-1510.86] 你像刘思慕的家长
[1511.06-1513.54] 我老拿刘思慕出来说事
[1514.02-1515.14] 他是因为他是代表
[1515.46-1517.30] 给孩子特别大的心理压力
[1517.30-1518.54] 还有的一种情况
[1518.54-1519.18] 就是孩子
[1519.22-1520.58] 来的时候比较晚
[1520.58-1522.26] 哪怕是7岁8岁来
[1522.26-1523.82] 因为尤其是小女孩
[1523.82-1524.78] 他早会
[1524.78-1525.54] 他过来之后
[1525.54-1526.42] 他不张嘴
[1526.46-1528.30] 这个时候除非他命好
[1528.90-1529.90] 有一个班里
[1529.90-1531.54] 还有一个同样文化背景的
[1531.54-1532.70] 说中文的
[1532.74-1534.38] 愿意跟他玩的小女孩
[1534.66-1535.66] 带着他玩
[1535.70-1537.18] 他能快速的融入进来
[1537.18-1539.38] 如果没有全是个吸引包
[1539.98-1541.10] 你孩子毁了
[1541.34-1543.30] 所以我诚恳的建议大家
[1543.34-1544.86] 不要说拖枝拖枝
[1544.86-1546.94] 我要远离中国人的人群
[1547.14-1548.30] 我要远离中国人
[1548.30-1549.18] 中国人最
[1549.22-1550.10] 排斥的就是中国人
[1550.10-1551.46] 所以我来温哥华
[1551.46-1552.62] 我一定要搬开
[1552.62-1553.82] 搬离列治文
[1556.14-1557.42] 你就是中国人
[1557.94-1558.90] 你别不爱听
[1559.18-1561.34] 你就是别人想远离的对象
[1561.34-1562.22] 你还远离谁
[1562.22-1563.18] 你刚从北京来
[1563.18-1564.38] 刚从上海来的
[1564.42-1565.74] 你在列治文
[1565.78-1567.14] 可能是你小孩
[1567.14-1568.54] 能够进入加拿大的
[1568.54-1570.18] 最简单的阶梯
[1570.22-1572.54] 你别一下不卖的太大
[1572.66-1573.98] 扯着了蛋
[1574.02-1575.54] 因为每个孩子不一样
[1575.58-1576.98] 有的孩子很阳光
[1576.98-1577.62] 很自信
[1577.62-1578.54] 那没问题
[1578.58-1579.98] 一步给他扔到栏里
[1579.98-1580.86] 扔到丰树岭去
[1580.86-1583.26] 他还要跟老外打成一片
[1583.26-1584.74] 他得是开朗的
[1585.14-1587.14] 长得阳光帅气高大
[1587.18-1588.74] 他从小没有受过气
[1588.74-1589.82] 没有自卑心
[1589.82-1590.46] 他可以
[1590.50-1592.18] 如果他长得又黑又瘦
[1592.18-1594.46] 从小就是个丑小鸭的形象
[1595.58-1597.62] 在中国都不特别爱说话
[1597.74-1599.62] 你想他要是来了
[1600.22-1601.02] 加拿大
[1601.02-1602.50] 一下子给他扔到了一个
[1602.50-1603.58] 西人的环境里
[1603.62-1605.46] 他未必能适应
[1605.50-1606.38] 当然我不否认
[1606.38-1607.78] 可能有的人能适应
[1607.82-1609.98] 但是可能还有很多人
[1609.98-1610.86] 他就适应不了
[1610.86-1611.70] 适应不了
[1611.70-1612.78] 你就要考虑一下
[1612.78-1614.78] 是不是过渡一下
[1614.82-1616.02] 在列治文过渡一下
[1616.02-1618.50] 列治文是全世界最好的华人城
[1618.50-1619.22] 没有第二
[1619.22-1619.86] 没有第二
[1620.02-1620.42] 列治文
[1620.42-1621.42] 我给大家证明
[1621.78-1623.02] 你们来温哥华一趟
[1623.02-1624.62] 去列治文看就知道了
[1624.66-1626.38] 城市干净整洁
[1626.42-1627.90] 非常高端
[1627.90-1629.38] 大气上档次
[1631.22-1634.22] 纽约的什么布鲁克林
[1634.22-1635.34] 什么法拉盛
[1636.62-1638.26] 洛杉矶的丁胖子广场
[1638.26-1639.50] 那就是跟着一比
[1639.50-1640.74] 就是拿行
[1640.86-1642.62] 所以温哥华的列治文
[1642.62-1643.74] 如果你们来加拿大
[1643.74-1644.82] 选择在温哥华定居
[1644.82-1646.22] 温哥华列治文是很好的
[1648.30-1649.86] 如果你们的孩子适应不了
[1649.86-1651.18] 纯西人的环境
[1651.74-1654.02] 列治文就是很好的选择
[1654.26-1655.66] 如果他适应得了
[1655.94-1657.14] 当然最好了
[1657.14-1658.58] 一步托之一步到位了
[1659.62-1661.34] 我想除非他学前班就来
[1661.82-1664.10] 他上学幼儿园的时候
[1664.10-1666.42] 大家小白孩还说不利策划
[1666.42-1668.22] 还女儿性的时候
[1668.58-1670.38] 他的同学们都是这个水平
[1670.86-1672.90] 那可以
[1673.18-1674.74] 如果不是这样的话
[1674.74-1676.22] 内心又不够强大的话
[1676.22-1678.02] 很可能会出问题
[1678.22-1681.86] 然后有的家长又急于让孩子融入
[1682.38-1684.26] 就给孩子抱很多
[1684.50-1687.62] 西方文化背景的运动和团体
[1687.62-1688.46] 比如说KD
[1688.46-1689.86] 就是童子军
[1690.14-1693.22] 比如说冰球
[1693.26-1694.78] 比如说Lacrosse
[1694.98-1697.26] 就是王曲棍球
[1697.30-1700.34] 这些运动不是中国人擅长的
[1700.86-1702.90] 你的孩子在里面一定是垫底的
[1702.90-1704.34] 因为人家你看看
[1704.34-1705.66] 比如说我女儿
[1705.82-1707.10] 大女儿打Lacrosse
[1707.86-1710.58] 人家每个爸爸都可以当教练
[1710.58-1711.50] 就这么牛逼
[1711.50-1712.98] 就是教练今天
[1712.98-1715.34] 因为这个教练也是某个人的爸爸
[1715.34-1716.70] 这的这些全民运动
[1716.70-1718.06] 不像中国是专业的
[1718.06-1718.78] 这没有专业
[1718.78-1719.74] 全是这个是律师
[1719.74-1720.42] 那个是医生
[1720.42-1721.22] 然后组队
[1721.22-1722.22] 然后就去参加奥运会
[1722.22-1722.94] 真的是这样
[1723.42-1724.42] 长曲棍球也是这样
[1724.42-1725.90] 这个社区这个城市
[1725.90-1727.26] 有一个高中的队
[1727.26-1728.98] 这个年龄一个队
[1728.98-1730.82] 上一岁就是每一岁一个队
[1730.86-1733.98] 这个队每个队的教练副教练
[1734.22-1737.34] 助教全都是家长
[1737.86-1738.66] 人家打得特别好
[1738.66-1741.70] 像我们这样虽然比较聪明
[1741.70-1742.74] 但是你这个东西
[1742.74-1743.86] 你没有1万次挥杆
[1743.86-1745.10] 你根本接不住
[1745.10-1746.50] 你玩不了
[1746.54-1747.82] 你以为这是羽毛球
[1747.82-1748.26] 乒乓球
[1748.26-1749.42] 你中国人有优势吗
[1749.46-1750.74] 一点优势都没有
[1750.74-1752.10] 所以你的孩子进去之后
[1752.10-1753.58] 他一定垫底
[1754.34-1756.46] 尤其是不是从5岁6岁进去的
[1756.46-1757.02] 他一定垫
[1757.02-1759.42] 你想人家都5、6岁组队
[1759.46-1760.50] 本身人家爸爸
[1760.50-1762.22] 就天天在家跟人家跟你玩
[1762.22-1763.14] 打冰球
[1763.18-1764.14] 打网球
[1764.38-1766.62] 然后到12、13岁
[1766.62-1768.10] 你孩子去插队
[1768.10-1770.42] 那就简直就是他妈的
[1770.42-1771.74] loser中的loser
[1771.86-1772.34] 拿性
[1772.50-1774.86] 所以更不利于他适应
[1774.86-1775.70] 不是利于
[1775.70-1776.94] 而是更不利于
[1776.94-1779.06] 所以除非特别优秀的孩子
[1779.06-1780.50] 特别优秀孩子没有问题
[1781.22-1782.54] 那就是特别棒
[1782.54-1785.50] 就像英达他儿子特别棒
[1785.50-1788.86] 但是还有很多孩子不适应
[1788.86-1790.46] 家长要及时发现
[1790.50-1792.22] 及时发现不要逼他
[1792.22-1793.50] 他受不了
[1793.50-1794.54] 他还没有准备好
[1794.54-1796.26] 你不要把他推到舞台上
[1796.26-1797.30] 他没有准备好
[1797.30-1798.82] 他有盛开的时候
[1798.82-1801.10] 有的人40岁才盛开
