[11.12-13.18] 哈喽大家好又见面了
[1464.89-1470.27] 那它出现这种情况呢我们真的是外行人闻所未闻
[1470.27-1473.33] 听所未听
[1473.33-1476.41] 查了一下之后呢原来是怎么回事呢
[1476.41-1478.21] 原来是这个
[1478.21-1481.79] 电击取经它不是中国人发明的
[1481.79-1484.09] 它是老外发明的
[1484.09-1487.93] 老外在好几十年以前就有这个技术
[1487.93-1489.97] 主要用在这个
[1489.97-1492.53] 野生难以驯化的动物身上
[1492.53-1494.85] 用电击的方式
[1494.85-1496.13] 刺激
[1496.13-1498.43] 雄性动物的经囊收缩
[1498.43-1499.71] 排精
[1499.71-1501.25] 因为这些动物呢
[1501.25-1502.77] 不是馴养动物
[1502.77-1506.61] 比如说最早是通过这个手段来取
[1506.61-1508.67] 野生的飞禽
[1508.67-1509.95] 身上的这个
[1509.95-1510.97] 精液
[1510.97-1511.73] 那
[1511.73-1513.27] 非常残忍
[1513.27-1515.07] 后来呢
[1515.07-1515.83] 被
[1515.83-1517.89] 动物养殖行业呢加以
[1517.93-1518.69] 忍辱
[1518.69-1521.77] 对于什么羊啊什么的
[1521.77-1524.07] 熊啊都开始用同样的方式
[1524.07-1526.37] 那毫无疑问呢就是喉咙呢
[1526.37-1528.69] 受到了这个启发之后呢
[1528.69-1530.21] 在大熊猫身上
[1530.21-1533.03] 进行了尝试并且取得了成功
[1533.03-1536.61] 这也并不意外因为别人想尝试没有大熊猫
[1536.61-1540.21] 你养猪养羊你可以尝试你养熊猫你得有熊猫
[1540.21-1541.49] 喉咙
[1541.49-1543.27] 进水楼台先得猫
[1543.27-1546.35] 它是成都大熊猫繁育基地的
[1546.35-1547.63] 这个主人
[1547.63-1550.95] 所以呢它有的是大熊猫它就把那个公大熊猫呢
[1550.95-1551.99] 捆起来呢
[1551.99-1553.51] 奠基
[1553.51-1556.07] 我查了一下因为我也咱们要谨慎啊
[1556.07-1556.85] 谨慎
[1556.85-1558.89] 取证
[1558.89-1560.17] 背不住这个
[1560.17-1564.53] 它是一个那种大家知道的充气娃娃一样的大熊猫公大熊猫很happy
[1564.53-1568.37] 这个比母大熊猫更好用
[1568.37-1571.95] 结果一查可不是这样为什么呢
[1571.95-1574.25] 大家看网上有一个
[1574.25-1576.81] 奠基取经器的这个照片
[1576.81-1578.09] 那就是个电棍
[1578.09-1579.37] 一模一样
[1579.37-1583.47] 我们想多了我们以为大熊猫取经是把那个
[1583.47-1587.31] 奠基它的大熊猫的阴境就是大熊猫的小鸡鸡
[1587.31-1588.33] 不是
[1588.33-1590.89] 它是把这个奠基取经器呀
[1590.89-1593.19] 插到大熊猫的屁眼里边去
[1593.19-1595.25] 插进去25厘米
[1595.25-1596.77] 将近一尺
[1596.77-1598.05] 半尺多长
[1598.05-1599.33] 然后通电
[1599.33-1602.67] 电大熊猫的消化到就电大熊猫的肠子
[1602.67-1604.21] 然后因为那个地方
[1604.21-1606.51] 接近大熊猫藏精液的那个
[1606.51-1608.05] 蓄精的那个
[1608.05-1609.83] 那个叫精壶
[1609.83-1613.17] 那叫精管壶腹
[1613.17-1615.21] 它用电流不停的刺激
[1615.21-1618.03] 刺激刺激刺激刺激而且时间很长
[1618.03-1622.63] 然后呢大熊猫呢或者任何动物我估计人也可以用这个方法
[1622.63-1623.91] 就是它就会
[1623.91-1626.23] 人工造成这个阴境勃起
[1626.23-1626.99] 射精
[1626.99-1629.81] 就是完成动物在自然界野生
[1629.81-1631.85] 雌雄交配的这个过程
[1631.85-1634.67] 但是这个过程中动物非常痛苦
[1634.67-1636.47] 那在为了取得效果呢
[1636.51-1639.59] 它们开始是给动物打麻药的
[1639.59-1642.91] 但是发现打了麻药之后呢效果不好
[1642.91-1644.95] 所以后来呢它们就不打麻药
[1644.95-1647.77] 直接绑上就直接嘎嘎干
[1647.77-1650.07] 干多长时间呢可不是电一下就出来
[1650.07-1651.87] 最长的六个小时
[1651.87-1655.97] 来回电来回电就是把这个
[1655.97-1658.01] 真的是像731一样
[1658.01-1663.13] 因为它不打麻药啊就是嘴上绑着棍子之类的这个有可能
[1663.13-1664.93] 我没见把棍子的这个照片
[1664.93-1666.47] 但是呢因为它们在
[1666.51-1668.81] 这个里面说了
[1668.81-1671.11] 不上麻药上麻药的效果不好
[1671.11-1672.65] 所以呢这个
[1672.65-1675.73] 我给大家念念这个流程啊
[1675.73-1678.55] 这是侯荣写的这个论文
[1678.55-1682.63] 论文对电磁极采精流程有较为详细的描述
[1682.63-1686.47] 麻醉固定后用温肥皂水灌肠
[1686.47-1689.55] 清除积粪保持直肠通肠
[1689.55-1693.65] 刮净剥皮周围的毛发用温水清洗采精部位
[1693.65-1695.43] 就是小积极洗干净
[1695.43-1696.47] 再用灭菌水
[1696.47-1698.01] 胜利盐水冲洗干净
[1698.01-1699.03] 采精时
[1699.03-1700.57] 积精人员两个
[1700.57-1702.87] 一个站在一侧一手持
[1702.87-1705.17] 积精杯另一手握住
[1705.17-1706.97] 小积极就是采精部位
[1706.97-1711.07] 采精操作者就另一个人将涂有石蜡油的电棒
[1711.07-1714.65] 缓慢插入直肠内达到靠近输精管
[1714.65-1719.25] 虎腹部的直肠底壁约15-25厘米深
[1719.25-1722.07] 打开电磁器采精器的电源开关
[1722.07-1726.43] 输出电流由弱至强强度由小到大逐步升高一个周期结束后
[1726.47-1729.03] 休息两分钟进行第二个周期
[1729.03-1732.61] 一般每头熊猫采样三个周期每个周期刺激
[1732.87-1734.41] 50-80次
[1736.64-1737.92] 射精后将精液
[1738.18-1739.46] 收集于积精杯内
[1740.48-1743.82] 我开始还以为是动物保护人是过敏
[1744.08-1745.86] 咱们看完这个过程之后
[1747.40-1748.94] 真的是活久见
[1748.94-1751.24] 这个喉咙这是什么玩意儿啊
[1751.76-1752.78] 怎么不
[1753.04-1753.54] 不怕
[1753.80-1755.08] 这玩意给你老公
[1755.60-1758.16] 熊猫之父插到屁儿里给你老公采精
[1758.46-1759.74] 你老公能舒服吗
[1760.76-1763.58] 在西方如果你这么对狗都不行
[1763.84-1766.40] 动物保护组织马上会过来给你弄走
[1766.90-1767.42] 抓起来
[1767.92-1768.70] 所以
[1768.96-1771.00] 喉咙干这个事真的是伤天害理
[1771.26-1775.10] 这也证明了中国人现在这个社会五浊乱世五浊恶世
[1775.60-1776.88] 没有底线
[1777.14-1779.70] 干什么事情没有底线为达目的是不罢休
[1780.22-1782.78] 我也在网上看了喉咙的演讲
[1783.04-1785.08] 得意洋洋说在他手里
[1785.60-1788.16] 四川成都大熊猫发育基地的人工
[1788.46-1790.00] 工繁育大熊猫有多少多少只
[1790.24-1792.56] 十几年下来变成了几百只
[1793.32-1794.86] 有几十只变成了几百只
[1795.12-1796.90] 就是他发明了这种方法
[1797.42-1798.44] 效果好极了
[1799.20-1802.54] 可是大熊猫被喉咙垫的都已经
[1803.56-1805.36] 失去生活兴趣了
[1805.60-1808.42] 真的我看网上有很多网友知情网友
[1808.94-1813.54] 也在评论区在中国网上评论区说大熊猫都想自杀了
[1814.32-1816.36] 就是公大熊猫
[1816.62-1818.16] 一看见这事一想着这事
[1818.46-1820.50] 公熊猫只想把自己撞死算了
[1821.02-1823.06] 我原来以为
[1823.32-1825.88] 这都是精神病院的方法呀
[1826.40-1829.98] 怎么给大熊猫弄到精神病院的这个手段去了
[1830.24-1831.76] 所以这个喉咙啊这是
[1833.30-1834.32] 为达目的
[1834.58-1835.10] 不择手段
[1836.38-1837.66] 客观的讲
[1837.92-1839.96] 如果大熊猫真的是要灭绝了
[1840.22-1841.50] 那就应该让它灭绝
[1842.00-1845.60] 地球地质历史上生物历史上灭绝了的动物
[1846.10-1847.38] 好如烟海
[1847.64-1849.68] 也不多一个大熊猫不少一个大熊猫的
[1850.20-1856.34] 那如果你不想让大熊猫灭绝的话那你应该采用人道的和动物的
[1856.60-1858.38] 动物道的这个手段
[1858.64-1859.42] 来让它
[1859.92-1860.44] 繁衍
[1860.70-1863.50] 甚至是高科技手段比如说你用
[1864.28-1865.04] 克隆技术
[1866.06-1867.34] 你不能用这种
[1867.60-1869.40] 给它通电上电刑啊
[1869.90-1871.18] 你这不就是电刑吗
[1871.44-1872.72] 插到屁眼里电
[1872.98-1874.26] 太残忍了
[1874.52-1876.30] 那电刑我看他们说
[1876.56-1877.34] 什么电法轮功能
[1877.64-1878.14] 女学员
[1878.40-1879.18] 电乳头
[1879.68-1883.02] 这就已经够残忍的了说这个缅北的电诈
[1883.26-1886.34] 园区虐待电诈人员说拿电棍电机
[1887.36-1890.18] 你们可好把电棍插到屁眼里电职场
[1890.44-1892.22] 我操这个喉咙啊
[1892.48-1893.76] 你也不怕遭报应
[1894.02-1894.78] 操这个
[1895.30-1896.32] 这个
[1896.58-1901.18] 观众朋友谢谢你给我开了眼界你不给我发这信我都不知道有这回事
[1901.70-1902.46] 真的是
[1902.72-1903.24] 我不温
[1903.74-1905.28] 贫穷限制了我的想象力
[1905.80-1907.08] 这个
[1907.64-1908.66] 人性限制了我们
[1908.92-1910.96] 所有人的想象力我们想不到
[1911.22-1912.24] 你知道我们想不到
[1912.50-1916.08] 但是聪明的喉咙就想到了我操而且他实施了而且他更牛逼
[1916.34-1918.64] 他连麻药都不给大熊猫打
[1918.90-1919.42] 我操直接
[1919.66-1920.94] 干大熊猫为了效果
[1921.72-1922.74] 所以这个
[1923.00-1923.76] 哎呀真的是
[1924.02-1924.54] 挺shock的
[1924.78-1926.32] 说什么好啊没什么
[1926.58-1927.10] 可说的
[1927.86-1930.16] 那我也不是说你想象的猪那么厉害的人
[1930.42-1933.24] 我一个加拿大退休老头我人脉再广
[1933.74-1937.34] 仅限于金融圈我哪认识成都大熊猫繁育基地
[1937.64-1940.96] 但是呢我会尽我所能在我的博客里
[1941.22-1941.98] 在我的博客里
[1942.50-1944.30] 在我的推特和在我的这个
[1944.80-1946.08] 油管上喊这件事
[1946.34-1949.66] 大家就都知道了我这几万个粉丝至少
[1949.92-1953.00] 这期节目看的这两三万人肯定都知道大熊猫被
[1953.50-1954.02] 垫屁眼
[1954.28-1955.30] 取经的这个
[1955.56-1956.06] 残酷过程
[1956.58-1958.62] 并且大熊猫被折磨得奄奄一息
[1959.14-1961.96] 所有的公熊猫现在都想自杀见着喉咙就跑
[1962.46-1964.52] 这个是一个客观事实所以
[1964.78-1966.56] 用这种手段使
[1966.82-1968.60] 熊猫种群增加
[1968.86-1972.44] 熊猫数量增加到底值不值得到底
[1972.70-1974.50] 有没有这个必要
[1974.76-1976.54] 那对于熊猫本身来说
[1977.06-1978.34] 这是一个好事吗
[1978.60-1982.68] 希望大家三思也希望引发大家的讨论和热议
[1982.94-1985.00] 只有把眼球
[1985.24-1987.80] 吸引过来热议起来可能这个事才有
[1989.34-1990.62] 改善的可能
[1991.14-1996.52] 并且给喉咙这个女魔头以压力可能下次呢他在垫大熊猫
[1996.82-1997.32] 的时候呢
[1997.58-2001.16] 他能给大熊猫的电压放低点然后给大熊猫打打麻药
[2001.42-2002.44] 我操这个别
[2002.70-2003.22] 别这么猛
[2003.48-2005.52] 这个老娘们他也就不狠了
[2005.78-2008.34] 戴个小眼镜金丝边眼镜就是最骚的那种
[2008.60-2009.62] 哎呀就是那种面相
[2009.88-2010.64] 不知道这个
[2011.16-2012.68] 他是不是平时给
[2013.20-2014.74] 大熊猫之父晚上他也
[2015.00-2016.28] 干他老公用这个手段
[2016.52-2017.30] 太残忍了
[2018.58-2022.16] 好了今天就先聊这么多先聊这两个话题
[2022.42-2024.20] 一会咱们接着聊
[2024.72-2026.00] 点赞评论
[2026.56-2027.32] 再见
