[1.65-3.33] 哈喽 大家好
[3.33-6.13] 这两天我被一个新闻吸引
[1399.74-1401.24] 结束之后
[1401.24-1403.64] 故事就平复了
[1403.64-1405.68] 所有的问题都解决
[1405.68-1407.54] 所有的问题都解决了
[1407.54-1410.94] 因为全民14亿承担了这个恶果
[1410.94-1411.96] 那个
[1412.52-1413.66] 人家买了房子10倍
[1413.66-1414.56] 人家卖了
[1414.56-1415.28] 润出去了
[1415.28-1416.78] 换成美元跑了的
[1416.78-1418.62] 就是偷了驴
[1418.62-1420.26] 把驴牵走了
[1420.26-1422.60] 剩下的这14亿人就跟着拔卷
[1422.60-1423.38] 最后定到地上
[1423.38-1424.22] 谁也跑不了
[1424.22-1425.48] 大家一起承担一下
[1425.48-1427.66] 最后人民币再加个零
[1427.66-1429.76] 所以问题都解决了
[1429.76-1434.00] 亮亮和立军原来欠银行100万贷款
[1434.00-1435.26] 心里边好难受
[1435.26-1437.90] 加个零你就相当于欠了10万贷款嘛
[1437.90-1441.38] 因为你的工资以后已经不再是一个月
[1441.38-1442.34] 2000人民币了
[1442.52-1444.20] 那个小女孩立军吧
[1444.20-1445.22] 在哭还是亮亮哭
[1445.22-1448.26] 我一个月只能挣2000块钱
[1448.26-1450.08] 你看本来想给你买一块肉
[1450.08-1451.28] 只能给你买个豆腐
[1451.28-1451.58] 没事
[1451.58-1452.12] 你不用哭了
[1452.12-1453.98] 以后你2万块钱
[1453.98-1455.08] 你可以找一份工作
[1455.08-1457.34] 你工作会给你发2万块钱
[1457.34-1459.62] 但是那块豆腐可能也
[1459.62-1461.42] 你还是只能买一块豆腐
[1461.42-1465.00] 因为肉的价格和豆腐价格也跟着加了个零
[1465.00-1467.40] 但是通过这样一次金融游戏呢
[1467.40-1468.74] 问题能够解决
[1468.74-1470.80] 不是过不去的坎
[1470.80-1472.34] 所以我们能看到
[1472.34-1472.94] 这样的新闻
[1472.94-1474.74] 我给你们念一下
[1474.74-1476.06] 11月17日
[1477.20-1481.60] 中国人民银行新成立的金管局和证监会开会
[1481.60-1487.34] 紧急出台了所有的商业银行向房地产优先大规模倾斜贷款的
[1487.34-1490.88] 三个不低于的中央精神
[1490.88-1493.46] 三个不低于那个金融化
[1493.46-1494.10] 你弯弯绕
[1494.10-1494.82] 你们可能听不懂
[1494.82-1495.86] 三个不低于什么意思呢
[1495.86-1497.98] 第一个不低于就是翻译成人话
[1497.98-1500.90] 就是优先给房地产公司贷款
[1500.90-1501.78] 不要再
[1501.78-1503.16] 不给房地产公司贷款了
[1503.16-1504.78] 不要说房地产有风险
[1504.78-1505.86] 我们要给实业贷款
[1505.86-1506.76] 我们要给企业贷款
[1506.76-1508.80] 不能给房地产贷款不行
[1508.80-1510.80] 要优先给房地产贷款
[1510.80-1511.80] 这叫第一个不低于
[1511.80-1513.90] 所谓的不低于就是高于啊
[1513.90-1517.26] 这是中国的中国的中央文件的话术
[1517.26-1519.56] 老王当年在国家提案委干了很多年啊
[1519.56-1522.56] 有这个这个有话术的说我不同意
[1522.56-1525.42] 就是我好想这个这壶好想
[1525.42-1527.04] 这我不是不喜欢你
[1527.04-1528.48] 就是我爱死你了
[1528.48-1528.96] 所以呢
[1528.96-1531.48] 一个不低于就是要高于
[1531.48-1534.32] 要优先要把这事放在第一位
[1534.32-1536.10] 对房地产企业倾泻贷款
[1536.10-1538.80] 然后细化这个政策就是这次就拿出来
[1538.80-1540.88] 二十号的时候拿出来了五十家企业
[1540.88-1541.66] 做白名单
[1541.66-1542.60] 白名单试点
[1542.60-1544.62] 什么叫白名单试点就无抵押贷款
[1544.62-1545.88] 你只要是房地产企业
[1545.88-1547.68] 你也不用抵押物了
[1547.68-1548.88] 什么土地证房产证
[1548.88-1550.62] 我都知道你都抵的烂了
[1550.62-1552.72] 所以你也不用盖萝卜窗造假了
[1552.72-1554.70] 我直接给你钱够不够
[1554.70-1556.80] 你说你这个房子保交楼
[1556.80-1558.36] 你欠施工队多少钱
[1558.36-1559.50] 你欠专业公司多少钱
[1559.50-1560.88] 欠金螳螂多少钱
[1560.88-1561.56] 好了
[1561.56-1562.60] 我一次拨给你
[1562.60-1565.04] 所以不但可以解决交流问题
[1565.04-1566.46] 还会带过来一波小牛市
[1566.46-1567.06] 小高潮
[1567.06-1569.50] 因为金螳螂终于能拿到回款了
[1569.50-1571.26] 什么鲁班建设队
[1571.26-1572.88] 终于不用再吃抗厌菜了
[1572.88-1574.84] 可以给民工们拿钱回家了
[1574.84-1576.02] 这是第一个不低于
[1576.02-1578.72] 优先给房地产贷款
[1578.72-1580.94] 而且是全社会性的
[1580.94-1583.22] 这可不是2008年那次四万亿
[1583.22-1584.92] 这比那个大的多
[1584.92-1585.78] 第二
[1585.78-1588.62] 优先给私营房地产贷款
[1588.62-1589.38] 就是不低于
[1589.38-1590.72] 还是不低于那个话说
[1590.72-1591.80] 但是翻译成人话
[1591.80-1594.86] 就是优先给私营房地产公司贷款
[1594.86-1598.42] 就是不要说我只给中央的央企贷款
[1598.42-1600.12] 房地产企业贷款
[1600.12-1602.20] 我现在是个人的房地产公司
[1602.20-1602.82] 小房地产
[1602.82-1604.22] 二三线城市的
[1604.22-1605.16] 哪怕是最小房地产
[1605.16-1606.52] 我也要优先给你贷款
[1606.52-1609.16] 紧接着出台的新的政策
[1609.16-1611.08] 就是以前银行行长不敢
[1611.08-1612.92] 我给你贷款了之后
[1612.92-1613.86] 倒查20年
[1613.86-1614.68] 又把我给抓起来
[1614.68-1615.40] 现在不是了
[1615.40-1616.86] 银行免责
[1616.86-1617.46] 行长免责
[1617.46-1619.38] 只要是按照这个政策干的
[1619.38-1620.18] 你就去给他贷去
[1620.18-1621.38] 无抵押贷款
[1621.38-1623.58] 第三个不低于是
[1623.58-1625.70] 不低于个人房地产
[1625.70-1627.32] 买卖房地产
[1627.32-1628.24] 就是个人买家
[1628.24-1629.46] 亮亮和立军贷款
[1629.46-1630.02] 不要低于
[1630.02-1630.98] 就是优先
[1630.98-1632.98] 优先重点
[1632.98-1636.00] 大笔的把贷款给亮亮和立军
[1636.00-1637.20] 让他们去扛
[1637.20-1639.16] 鼓励大家去买
[1639.16-1640.28] 以前还是什么首付
[1640.28-1641.56] 不能低于百分之多少
[1641.56-1643.42] 贷款不能高于百分之多少
[1643.42-1645.04] 首付不能低于百分之多少
[1645.04-1645.74] 以后都没有了
[1645.74-1646.98] 只要你贷
[1646.98-1647.44] 我看
[1647.44-1648.28] 赶紧给你
[1648.28-1650.38] 只要你按时还利息就行
[1650.38-1651.58] 低息优惠
[1651.58-1653.68] 这是第三个不低于
[1653.68-1655.42] 翻译成人话就这样
[1655.42-1656.92] 这个力度大不大
[1656.92-1659.50] 这个不是2008年的力度
[1659.50-1661.90] 这一波潮水是天亮的力度
[1661.90-1663.88] 我都不知道最后要给多少钱
[1663.88-1665.32] 野村证券猜了一下
[1667.06-1668.32] 是三万亿人民币
[1668.32-1669.82] 野村证券日本人还是那句话
[1669.82-1670.98] 他们比较保守
[1670.98-1673.68] 老王猜是三十万亿人民币
[1673.68-1675.36] 要干这件事
[1675.36-1676.96] 这一波大水漫灌
[1676.96-1678.46] 是直接到口袋里了
[1679.72-1681.92] 那各位听众朋友说
[1681.92-1683.08] 那老王我是不是应该买房
[1683.08-1684.78] 你千万别买
[1684.78-1686.08] 为什么千万别买
[1686.08-1688.72] 因为房价撑不住啊
[1688.72-1689.58] 房价撑不住
[1689.58-1691.20] 他这么玩的话
[1691.20-1693.28] 他事实上是玩数字游戏
[1693.28-1695.74] 在玩人民币印钞游戏
[1695.74-1698.62] 虽然这个房价没有跌
[1698.62-1700.92] 比如说亮亮立军是两万六买的
[1700.92-1702.40] 房价没有跌
[1702.40-1704.14] 但是人民币可多了十倍
[1705.68-1706.96] 房价没有跌
[1706.96-1708.48] 肉价涨十倍
[1708.48-1709.52] 菜价涨十倍
[1709.52-1710.52] 蛋价涨十倍
[1710.52-1712.28] 奶价涨十倍
[1712.28-1714.20] 他妈房价没有跌跟你没关系
[1714.20-1717.80] 你不要把你的资金和信用卡在这个事上
[1717.80-1720.08] 而且这是一个反常识的
[1720.08-1721.08] 反物理逻辑的
[1721.08-1723.96] 它等于是让你平地飞升的
[1723.96-1724.64] 你信吗
[1725.92-1731.02] 以我烂尾地金上圣上的一贯作风
[1731.02-1733.72] 他很可能在这个过程中他出雷
[1733.72-1735.16] 他又烂了
[1735.16-1736.46] 所以这个事呢
[1736.46-1736.76] 大家
[1736.76-1737.92] 大家笑一笑
[1737.92-1742.12] 就跟周星驰和白晶晶在悬崖边上互相扒对方的裤子
[1742.12-1743.24] 解裤腰带一样
[1743.24-1746.00] 然后白晶晶忽然清醒了
[1746.00-1746.88] 兴郁旺盛的说
[1746.88-1747.80] 你要干什么
[1747.80-1748.76] 周星驰说
[1748.76-1749.84] 我看你好投入
[1749.84-1750.98] 我配合你一下
[1750.98-1752.42] 你可千万不要有偶像包袱
[1752.42-1753.86] 千万不要带入自己啊
[1753.86-1755.06] 你不要配合他
[1755.06-1756.32] 你假装解一下就行了
[1756.32-1757.22] 不要解开啊
[1757.22-1760.00] 你不要真的解开解开就被动的就是你
[1761.00-1761.80] 那个时候
[1761.80-1764.54] 催收应收账款的时候就有力度了
[1764.54-1766.74] 因为他那个危机过去
[1766.76-1769.46] 他就有时间收拾你了
[1769.46-1770.66] 因为只有你一个人违约
[1770.66-1771.44] 那就坏了
[1771.44-1774.34] 所以这个情况呢
[1774.34-1778.22] 我给大家的建议是反其道而行之啊
[1778.22-1780.52] 这是真金白银的建议
[1780.52-1784.88] 如果真的来小牛市赶紧把房子卖了
[1784.88-1787.54] 操别跟他们在他妈在这里边玩这个游戏
[1787.54-1791.00] 我操拿到真金白银换成美元才是真的
[1792.02-1794.88] 因为现在我会下一期做节目
[1794.88-1796.44] 就是美元为什么出小牛市
[1796.44-1798.12] 山英为什么必须吃屎
[1798.12-1800.20] 山英是不是跟许晓冬打赌
[1800.20-1802.26] 年底美元不到8
[1802.26-1803.24] 他吃屎
[1803.24-1804.24] 他必须吃屎
[1804.24-1806.70] 我不知道翟山英要用什么做这个屎
[1806.70-1808.80] 但是肯定到不了8
[1808.80-1810.08] 我会做一期非常简单
[1810.08-1810.68] 就告诉大家
[1810.68-1812.64] 人民币的汇率是完全可控的
[1812.64-1814.68] 操作的一个傀儡汇率
[1814.68-1816.36] 它不是个真的市场经济汇率
[1816.36-1818.64] 这个不在今天的话题之内啊
[1818.64-1825.78] 就是说如果中央出台这么大的30万亿规模的救市的房地产直接救市政策
[1825.78-1826.42] 所有的房地产直接救市政策
[1826.44-1829.20] 地产企业毫无疑问都会活都不会死
[1829.20-1832.74] 所有的烂尾工程都会交楼毫无疑问都不会死
[1832.74-1837.54] 所有的装修公司呃什么建筑队都能收的回来自己的应收款了
[1837.54-1838.14] 好开心
[1839.46-1840.60] 这是真的会发生
[1840.60-1841.70] 未来一年会发生
[1841.70-1842.58] 但是呢
[1842.58-1843.68] 你可别开心
[1843.68-1845.38] 你可别在这里边真的去买了
[1845.38-1848.12] 我操为什么还是那句话呀
[1848.12-1851.54] 人口人口人口没有新增人口了
[1851.54-1854.22] 整个经济全部都在往下走
[1854.22-1856.20] 整个中国的人人矿
[1856.44-1858.44] 他挖光了
[1858.44-1861.00] 他就像那个当年那个小岛上的鸟粪
[1861.00-1863.04] 有一个太平洋的小岛吧
[1863.04-1864.32] 他能卖鸟粪的吗
[1864.32-1864.82] 海地吧
[1864.82-1866.16] 还是哪要负的流油
[1866.16-1869.28] 因为那个鸟粪都十几米厚是最棒的肥料啊
[1869.28-1870.66] 各个国家都开着大轮船
[1870.66-1871.62] 高价去买鸟粪
[1871.62-1872.04] 你哎呀
[1872.04-1873.52] 所有的人就像皇帝一样啊
[1873.52-1874.38] 我傻逼了
[1874.38-1875.94] 鸟粪挖完了
[1875.94-1878.94] 那他们变成傻逼不就是时间问题
[1878.94-1880.38] 脑子木的就不走
[1880.38-1881.88] 还住在那结果50年以后
[1881.88-1883.38] 他们真的是变成穷光蛋
[1883.38-1883.92] 大傻逼了
[1883.92-1885.66] 为什么脑子活泛的
[1885.66-1888.36] 就趁着那个鸟粪已经已经看到地皮了
[1888.36-1889.70] 赶紧趁着手里有钱
[1890.60-1891.60] 搬到美国去
[1891.60-1893.40] 搬到西方发达国家去舒服了
[1893.40-1893.88] 移民了
[1895.34-1897.84] 现在中国就是人矿见底了
[1897.84-1899.42] 已经看到地皮了
[1899.42-1902.38] 你可千万别以为那人矿还有十几米厚
[1902.38-1904.02] 如果人矿还有十几米厚
[1904.02-1905.52] 那你当然可以玩这个
[1905.52-1908.28] 我毫不怀疑中国房地产再会double
[1908.28-1910.34] 但是因为人矿已经见底了
[1910.34-1912.30] 我不相信北京房子还能涨一倍
[1912.30-1913.44] 上海房子涨一倍
[1913.44-1914.76] 不可能
[1914.76-1915.26] 相当
[1915.26-1915.64] 相对
[1915.64-1916.32] 对于美金来说
[1916.32-1921.64] 它跌一倍的可能性远远高于它涨15%的可能性
[1921.64-1924.34] 所以不要再跟着这个风
[1924.34-1927.94] 而要借着这个机赶紧把房子卖了
[1927.94-1929.26] 咱租房
[1929.26-1929.98] 咱租房
[1929.98-1932.08] 以后中国是个租房的天堂
[1932.08-1934.08] 因为有的是房子精装修的
[1934.08-1935.86] 任你选任你租
[1935.86-1937.06] 你在上海买房子
[1937.06-1938.12] 你的脑子有屎
[1938.12-1939.28] 上海最核心的地段
[1939.28-1939.90] 你去租屋去
[1939.90-1941.08] 因为外企都走了
[1941.08-1942.10] 老外都搬走了
[1942.10-1944.38] 那些老外住的高品质社区
[1944.38-1945.40] 一两万人民币
[1945.40-1946.64] 你就能租一个月的房子
[1946.64-1948.36] 你花几亿人民币买
[1948.36-1949.90] 你是不是脑子进水
[1949.90-1951.70] 上大几千万去买
[1951.70-1953.38] 你不是脑子进屎
[1953.38-1957.52] 所以你咱们就一个月给他两万人民币租着这个房子
[1957.52-1958.84] 你不用承担任何责任
[1958.84-1959.50] 多好啊
[1960.94-1963.72] 房地产牛市永远不在
[1963.72-1968.96] 所有共产党的措施都是在熊市到来之前
[1968.96-1970.30] 雷暴之前
[1970.30-1973.18] 他在岛上小时候玩过那个混豆罗嘛
[1973.18-1975.36] 那个玩混豆罗的时候
[1975.36-1976.26] 接近官委的时候
[1976.26-1978.44] 你有多手忙脚乱
[1978.44-1979.02] 哎呀
[1979.02-1979.92] 这儿出来一个雷
[1979.92-1980.34] 哎呀
[1980.34-1981.80] 那儿出来一串机枪子弹
[1981.80-1983.30] 我操我跳也不是
[1983.30-1984.60] 我滚也不是
[1984.60-1986.16] 我四面八方都是雷
[1987.48-1989.36] 现在习主席正在干这个
[1989.36-1991.82] 习主席已经走到混豆罗最后一关了
[1991.82-1996.86] 他在想的不是如何顺利通关走向人生康庄大道
[1996.86-1997.74] 你想多了
[1997.74-2001.52] 他在想的是怎么不死
[2001.52-2002.84] 怎么不马上死
[2003.76-2005.24] 能活多一口
[2005.36-2006.38] 是一口
[2006.38-2012.50] 所以央行这种什么无抵押贷款就是喘一口气
[2012.50-2013.40] 蓄一口命
[2013.40-2014.66] 不要马上死
[2014.66-2015.44] 说白了就是这样
[2016.94-2019.34] 那荣创孙宏斌这个王八蛋
[2020.26-2021.26] 这些都是网吧
[2021.26-2023.06] 他们的大型犯罪现场
[2023.06-2025.46] 他们为什么坑亮亮和李军呢
[2026.36-2029.42] 就是他们所有的东西全是他们王八蛋政策
[2029.42-2031.02] 就是他是老王讲过
[2031.02-2033.76] 中国房地产市场是个大型共谋犯罪现场
[2033.76-2035.34] 这个里边的货力
[2035.36-2037.40] 最大的就是地方政府
[2037.40-2039.56] 地方政府拿了卖了地的钱
[2039.56-2042.14] 各种养肥自己
[2042.14-2044.42] 过去这十五年二十年肥的流油
[2044.42-2047.48] 一个县政府恨不得他他妈有上千人
[2047.48-2049.12] 不都是卖地的钱吗
[2049.12-2051.38] 各市政府他们以前哪有这么多人
[2051.38-2056.00] 为什么各个局各个各个科各个处人满为患
[2056.00-2058.08] 大家都是大型共谋犯罪现场
[2058.08-2059.66] 吃的都是那房地产的红利
[2061.16-2063.88] 房地产房价非常红利
[2063.88-2064.28] 那你现在这个红利是什么呢
[2064.28-2064.30] 你现在这个红利是什么呢
[2064.30-2064.40] 你现在这个红利是什么呢
[2064.40-2064.50] 你现在这个红利是什么呢
[2064.50-2064.70] 你现在这个红利是什么呢
[2064.70-2064.80] 你现在这个红利是什么呢
[2064.80-2066.90] 你现在这个红利吃不下去了
[2066.90-2068.40] 那你大型犯罪现场里边
[2068.40-2070.44] 你地方政府不不得负责任吗
[2070.44-2071.56] 你只骂宋宏斌
[2071.56-2073.86] 只骂王石行吗
[2073.86-2075.14] 那不公平啊
[2075.14-2076.26] 所以所以呢
[2076.26-2080.46] 这个房地产企业买地的这个钱土地出让金
[2080.46-2083.16] 那地方政府全他妈的走了
[2083.16-2086.22] 肥的流油大头是他们的
[2086.22-2088.14] 房地产开发商是拿小头
[2088.14-2092.10] 所以房地产开发商为了他妈的实现自己的人生理想
[2092.10-2093.84] 像什么许家印支流的
[2093.84-2094.14] 像什么许家印支流的
[2094.14-2096.00] 孙宏斌支流的
[2096.00-2098.60] 他们就预售
[2098.60-2099.64] 预售完了之后
[2099.64-2101.46] 根本达不到预售许可标准
[2101.46-2102.72] 就就全卖了
[2102.72-2105.54] 全卖了之后才出现这目前这个靓凉一军这种悲剧
[2107.22-2111.00] 那先进的发达国家怎么去管理这个问题
[2111.00-2112.44] 怎么去处理这个问题呢
[2112.44-2115.80] 有没有这种扎个纸扎
[2115.80-2117.60] 做一个沙盘就卖房呢
[2117.60-2118.24] 也有
[2118.24-2119.52] 你比如说我们加拿大吧
[2119.52-2121.12] 其他国家我没有发言权
[2121.12-2123.42] 加拿大温哥华我非常有发言权啊
[2123.42-2124.02] 加拿大温哥华
[2124.02-2124.12] 我没有发言权
[2124.14-2124.20] 加拿大温哥华我非常有发言权啊
[2124.20-2124.32] 加拿大温哥华我非常有发言权啊
[2124.32-2126.24] 这个叫楼花
[2126.24-2127.32] 就是七房
[2127.32-2128.58] 就是挖了个坑
[2128.58-2129.64] 甚至连坑都没有
[2129.64-2131.16] 咱们就是凭了个地
[2131.16-2133.08] 一围弄个收楼处
[2133.08-2134.82] 弄个小纸扎
[2134.82-2137.70] 也是小小房子
[2138.78-2141.00] 小模型也可以卖
[2141.00-2142.74] 怎么卖呢
[2142.74-2148.02] 西方发达国家的这种楼花只能负10%到15%
[2148.02-2150.78] 就是这个楼如果是100万加元
[2150.78-2152.88] 你要买这个楼的七房
[2152.88-2154.02] 你最多可以
[2154.02-2155.40] 是负10%到15%
[2155.40-2157.68] 你也不能多付
[2157.68-2158.10] 为什么呢
[2158.10-2161.46] 国家规定的它这个制度非常健全
[2161.46-2163.74] 而且这个时候你不能DIY
[2163.74-2164.52] 你不能像中国
[2164.52-2165.64] 中国全DIY了
[2165.64-2167.52] 中国这方面中国又DIY了
[2167.52-2168.12] 咱们买房子
[2168.12-2170.82] 中国一定是你直接找宋洪滨
[2170.82-2173.94] 亮亮和丽君直接找顺池去买房子去了
[2173.94-2174.54] 荣创啊
[2174.54-2175.86] 一直说顺池去了
[2175.86-2176.88] 荣创去买房子去了
[2178.44-2179.64] 亮亮丽君是荣创吗
[2179.64-2180.42] 我不太清楚
[2180.42-2181.26] 反正就是类似吧
[2181.26-2182.40] 都一样
[2182.40-2183.00] 这个
[2184.02-2187.32] 加拿大你买这个楼花
[2188.52-2192.30] 你必须不能直接在建房地产开发商
[2192.30-2194.04] 你必须通过一个经纪人
[2194.04-2195.66] 经纪人是真正的中介
[2195.66-2196.92] 他是有license的
[2196.92-2199.14] 是加拿大政府发的license
[2199.14-2201.48] 就是加拿大这个行业协会发的license
[2201.48-2203.46] 他是严格的考虑
[2203.46-2206.34] 严格的考试通过的持牌经纪人
[2206.34-2208.56] 知识和专业度都不用说
[2208.56-2209.78] 他能考的下来
[2209.78-2211.62] 他都是专业人士了
[2211.62-2213.86] 你必须通过他去买这个楼花了
[2214.02-2217.08] 而且这个持牌经纪人不能是个人
[2217.08-2219.12] 他说个人跟你干这事不行
[2219.12-2224.16] 他必须挂靠一个房地产经纪公司
[2224.16-2228.48] 而房地产经纪公司的这个经纪人有很多
[2228.48-2229.02] 你可以选
[2229.02-2231.96] 然后帮你买了这个楼花之后
[2231.96-2234.06] 帮你买了个期房之后
[2234.06-2235.82] 你是付的这15万
[2235.82-2239.28] 前期这个钱开发商拿不到
[2239.28-2243.90] 这个钱只能存在这个经纪公司的信托账户里
[2244.02-2246.12] 全程监管第三方
[2246.12-2248.12] 这钱开发商根本拿不走
[2248.12-2251.82] 那开发商说这钱存我这边行不行
[2251.82-2252.42] 也行
[2252.42-2254.12] 另外一个选择
[2254.12-2255.36] 只有这两个选择
[2255.36-2260.92] 另外一个选择是存在开发商的律师楼的监管第三方信托账号里
[2260.92-2262.12] 他还是拿不走
[2262.12-2267.82] 在律所要么在开发商的律师的信托账号里放你的首款
[2267.82-2273.12] 要么在你找的这个持证经纪人的
[2274.02-2277.42] 经纪公司的信托账户里边放着
[2277.42-2282.42] 你根本就双方的资金是完全安全的
[2282.42-2284.82] 你不用担心量量力军这种情况出现
[2284.82-2287.34] 那等他比如说两年以后
[2287.34-2288.08] 这房子盖好了
[2288.08-2289.46] 你付了15万
[2289.46-2290.72] 你不还剩85万吗
[2290.72-2293.16] 那个时候房子盖好了的时候
[2293.16-2295.34] 他达到交流标准的时候
[2295.34-2297.22] 你再去银行办贷款
[2297.22-2298.84] 你左手拿钥匙
[2298.84-2300.54] 右手付银行利息
[2300.54-2302.72] 不会出现中国的这些可怜人
[2302.72-2303.44] 就是
[2304.02-2305.52] 房子他妈烂尾了
[2305.52-2307.50] 他已经付了三年的利息了
[2307.50-2310.14] 这在加拿大是绝对不会出现的
[2310.14-2311.46] 再问问我们问个话
[2311.46-2313.56] 只有一家银行
[2313.56-2314.58] 这么多加拿大的银行
[2314.58-2320.14] 只有一家RBC银行是可以在付楼花那天就给你贷款额度的
[2321.14-2324.56] 他是唯一的一个提前两年就可以给你下贷款额度
[2324.56-2325.26] 但是呢
[2325.26-2326.46] 你不用还贷
[2326.46-2328.10] 他只是给你个授权书
[2328.10-2331.74] 就是你有权利按照今天给你的这个贷款利息
[2331.74-2333.54] 浮动利息不能是固定的
[2333.54-2335.76] 浮动利息给你放贷款
[2335.76-2338.42] 你随时两年之后拿钥匙
[2338.42-2340.32] 随时找RBC拿出来这张纸
[2340.32-2341.70] 你就可以拿贷款去
[2341.70-2343.56] 这个只是一个提前授权书
[2343.56-2344.76] 你回家睡觉去
[2344.76-2346.82] 为什么RBC提供这种服务呢
[2346.82-2349.02] 因为加拿大的银行非常保守
[2349.02-2352.32] 不像中国银行可以跟房地产开发商共谋犯罪
[2352.32-2353.16] 做好萝卜章
[2354.24-2356.04] 找那个白本户口本
[2356.04-2357.84] 找个身份证
[2357.84-2359.54] 就帮你去做假贷款
[2359.54-2360.72] 加拿大银行绝对不会
[2360.72-2363.14] 所以加拿大银行审贷很严
[2363.14-2364.10] 你买了楼花
[2364.10-2367.52] 可能在两年以后你找工作丢工作了
[2367.52-2368.64] 当然有可能出现意外
[2368.64-2369.16] 对不对
[2369.16-2371.18] 你那个时候你就贷不下来款了
[2371.18-2371.78] 怎么办
[2371.78-2373.76] 那你不就违约了吗
[2373.76-2376.04] 你这买方亮亮和立军就违约了
[2376.04-2377.00] 那怎么办呢
[2377.00-2378.76] 所以你现在可以选RBC
[2378.76-2381.02] RBC给你授权之后的
[2381.02-2382.82] 你不用担心未来出现意外
[2383.78-2385.52] RBC提供这样的服务
[2385.52-2386.84] 只有RBC提供这样服务
[2386.84-2387.46] 赞美文化
[2387.46-2388.62] 其他什么BIMO
[2388.62-2389.92] 什么CIBC
[2389.92-2390.38] TDE
[2390.38-2392.00] 它是不提供这个服务的
[2392.00-2392.90] 那就是
[2392.90-2393.14] 人家
[2393.14-2393.90] 人家非常保守
[2393.90-2395.72] 人家就是你到时候你交楼的时候
[2395.72-2397.22] 你给我来办个贷款
[2397.22-2398.82] 一般周期一个月两个月
[2398.82-2401.44] 我给你贷下来
[2401.44-2405.64] 所以这是成熟的发达国家应该做的事情
[2405.64-2407.20] 是政府应该做的事情
[2407.20-2408.76] 管理者层应该做的事情
[2408.76-2410.44] 你看中国管理层做吗
[2410.44-2411.22] 这跟习主席
[2411.22-2412.06] 再给习主席啊
[2412.06-2412.56] 我天天骂他
[2412.56-2415.18] 但是这个事给习主席平反啊
[2416.76-2417.60] 跟他没关系
[2418.60-2421.24] 这王八蛋事是朱镕基和江泽民埋下的雷
[2421.24-2423.30] 他们俩当时就应该干这个事
[2423.30-2424.08] 朱镕基还号称
[2424.08-2424.62] 懂经济
[2424.62-2425.22] 你呸
[2425.22-2425.94] 你懂个屁
[2425.94-2426.42] 朱镕基
[2426.42-2427.54] 你他妈是命好
[2427.54-2428.36] 你是一头猪
[2428.36-2429.48] 你也是一头猪
[2429.48-2431.42] 你是在一个上升电梯里边
[2431.42-2433.88] 你是他妈吃了人家克林顿的红利了
[2433.88-2435.64] 克林顿给你他妈的订单
[2435.64-2437.90] 你可以让老百姓打螺丝
[2437.90-2439.26] 另外大量的人口
[2439.26-2442.38] 张献忠人口进入城市要买房子
[2442.38-2445.32] 出生率的高峰出生率也都他妈长大了
[2445.32-2445.84] 大学毕业
[2445.84-2448.86] 像我们这拨人70后60后都他妈大学毕业了
[2448.86-2450.44] 都挣点钱要买房子
[2450.44-2452.16] 要改善住房
[2452.16-2453.72] 你他妈经济一片繁荣
[2453.72-2455.10] 跟你朱镕基有个蛋关系
[2455.10-2456.66] 你还整天嘚瑟
[2456.66-2457.74] 觉得我伟大
[2457.74-2458.70] 你呸你
[2458.70-2461.66] 那好多雷都是你埋的
[2461.66-2468.00] 所以房地产的这种期房预售
[2468.00-2472.92] 监管体制是应该在30年以前中国实施的
[2472.92-2474.96] 你什么都抄美国
[2474.96-2476.44] 你这就不抄了
[2476.44-2479.10] 你30年没实施
[2479.10-2480.98] 你20年以前你应该实施
[2480.98-2481.60] 就是温家宝
[2481.60-2483.36] 温家宝2008年
[2483.36-2484.68] 你放四万亿的时候
[2484.68-2486.86] 你整个房地产被你催起来的时候
[2486.86-2491.90] 你是不是应该搞这个类似于加拿大这种房地产经纪公司
[2491.90-2494.08] 就是二手房什么练家呀
[2494.08-2494.88] 我爱我家呀
[2494.88-2497.16] 在北京上海如雨后春
[2497.16-2499.04] 21世纪都出现的时候
[2499.04-2500.64] 你是不是应该给他们发license
[2500.64-2502.16] 发持牌经纪人
[2502.16-2502.86] 对不对
[2502.86-2505.20] 然后所有的房地产公司不能直接销售
[2505.20-2506.42] 必须通过练家
[2506.42-2507.48] 我爱我家销售
[2508.38-2512.04] 销售的资金只能存在练家和我爱我家的账户里
[2512.04-2513.34] 不能存在房地产公司
[2513.36-2515.52] 这个银行放款之后
[2515.52-2517.50] 不能给房地产公司直接拿走
[2517.50-2518.46] 什么时候交了钥匙
[2518.46-2519.90] 什么时候再让他们拿走
[2519.90-2520.60] 你为什么不做
[2520.60-2522.96] 你只把二手房子做起来了
[2522.96-2524.16] 一手房你为什么不做
[2524.16-2526.26] 一手房才是他妈的大头
[2526.26-2528.30] 一手房是为什么不做
[2528.30-2530.42] 不是政府想拿卖地的钱吗
[2530.42-2531.30] 想瓜分吗
[2531.30-2532.26] 分赃吗
[2532.26-2533.46] 你他们是什么好人吗
[2533.46-2534.36] 你不是好东西
[2534.36-2535.74] 装他们什么
[2535.74-2537.36] 他民主什么的
[2537.36-2539.00] 那温哥会重演
[2539.00-2540.78] 你他妈人事你不做
[2540.78-2541.98] 现在好了
[2541.98-2544.71] 爆雷了
