[3.28-4.48] 哈喽 大家好
[4.48-6.20] 又到周末读信时间了
[1322.83-1324.55] 如何在未来乱世离身
[1324.55-1325.67] 希望你给些建议
[1325.67-1327.71] 二我有计划在女儿高二
[1327.71-1330.23] 就去美加澳读书
[1330.27-1331.15] 我既是偷渡
[1331.15-1332.15] 也要争取去陪读
[1332.15-1333.83] 请问这种方式是否可行
[1333.87-1336.03] 三如果我从事正规途径的移民
[1336.03-1337.55] 请问以加拿大为例
[1337.55-1338.47] 经过培训后
[1338.47-1339.75] 从事健身教练
[1339.75-1341.03] 军事教员等
[1341.07-1342.87] 专门为华人服务的细分行业
[1342.87-1344.03] 是否有前途
[1344.43-1345.75] 四能否讲一下
[1346.07-1348.11] 四邀部队和上海军刀楼的风水局
[1348.67-1349.99] 先说你移民这事
[1350.15-1352.23] 我觉得这个事对你来说有意义
[1353.55-1355.03] 军刀一会再讲
[1355.07-1358.03] 我个人觉得你这种条件
[1358.03-1359.11] 你这个家底
[1359.15-1360.75] 就一个小女儿和你的年龄
[1360.75-1362.23] 完全可以正规途径移民
[1362.67-1364.19] 你学签过来行
[1364.19-1366.55] 你申请一个college过来
[1366.55-1367.67] 都完全可以
[1367.71-1369.07] 你一早不一迟
[1369.11-1371.39] 先把你的英语抓起来
[1371.43-1373.35] 因为无论如何
[1373.47-1374.63] 脱职也好
[1374.63-1375.75] 逃避大洪水也好
[1375.75-1376.03] 英文也好
[1376.03-1376.07] 英文也好
[1376.07-1377.83] 英语是第一重要的要务
[1377.95-1378.91] 说句不好听的
[1378.91-1380.79] 你既是去日本移民
[1380.79-1383.39] 那你也得学会学日语
[1383.39-1385.47] 所以英语我们还好
[1385.47-1386.39] 我们这一代中国人
[1386.39-1387.79] 都有英语的底子基础
[1387.79-1389.11] 初中高中都学过
[1389.91-1391.27] 不是从零开始
[1391.31-1393.11] 不用入门
[1393.11-1394.11] 只是提高
[1394.67-1396.47] 所以多看美剧
[1397.47-1398.23] 打开字幕
[1398.23-1399.63] 后来争取不看字幕
[1399.63-1401.27] 沉浸式的往里边看
[1401.27-1402.75] 一篇美剧感兴趣的
[1402.75-1403.75] 反复看
[1404.59-1405.75] YouTube现在有了
[1405.75-1406.03] YouTube
[1406.03-1409.47] 有大量的原生态的英语
[1409.47-1411.79] 你听着听着就听懂了
[1411.99-1414.51] 所以你过来之后
[1414.95-1416.51] 从事的健身教练什么的
[1416.51-1417.11] 这些工作
[1417.51-1418.51] 我给你推荐一个
[1418.51-1420.03] 我的观众朋友里边
[1420.03-1420.75] 有大量的
[1420.75-1422.11] 好几个这样的工作了
[1422.11-1423.43] 叫Sheriff
[1423.43-1424.47] 加拿大叫Sheriff
[1424.47-1425.79] 其实什么叫罚警
[1426.43-1428.47] 加拿大的警察有两类
[1428.47-1429.99] 一类是RCMP
[1429.99-1431.31] 就是皇家骑警
[1431.43-1434.91] 那个是国家养的正式警察
[1435.07-1435.99] 他抓人的
[1435.99-1437.11] 维持职安的
[1438.95-1441.51] 就相当于对应我们中国的派出所
[1441.75-1443.03] 或者交警
[1443.15-1444.23] 这都是RCMP
[1444.75-1447.35] 然后各个城市可以自己决定
[1447.35-1448.75] 市议会可以自己决定
[1448.75-1450.91] 我是用RCMP做警察
[1450.91-1452.87] 还是我跟RCMP
[1452.87-1454.79] RCMP像个保安公司一样
[1454.79-1455.83] 我就不跟他签约了
[1455.83-1457.75] 我自己建立自己的警察队伍
[1457.75-1458.71] 就是城市警察
[1458.71-1460.75] 它的性质跟RCMP是一样的
[1460.75-1462.43] 但是它服务本城市
[1462.43-1464.07] 除了城市没有执法权了
[1464.99-1465.35] 那
[1465.99-1467.99] 这个警察你是可以考的
[1468.43-1469.99] 条件稍微难一点
[1469.99-1471.23] 因为RCMP和市警
[1471.39-1472.87] 因为经常要动手
[1473.79-1475.03] 比较门槛低的
[1475.03-1476.03] 大量缺人的
[1476.03-1477.15] 没人愿意去的
[1477.27-1479.99] 因为待遇也是照RCMP差一点的
[1479.99-1481.03] 叫Sheriff
[1481.03-1482.03] 就是预警
[1482.55-1483.87] 或者叫罚警
[1484.03-1485.75] 他也是穿黑制服
[1485.75-1487.11] 很帅的
[1487.91-1488.95] 美国的是有枪
[1488.95-1490.19] 加拿大的据我所知
[1490.19-1490.91] 好像没有枪
[1490.91-1492.03] 只有辣椒粉
[1492.07-1495.95] 因为加拿大屌国家太平和了
[1495.99-1498.03] RCMP已经把前端
[1498.03-1499.67] 呲毛的全处理完了
[1499.67-1501.35] 所以送到罚警这儿了
[1501.35-1505.75] 去罚警负责把犯人从看守所看住
[1505.75-1507.23] 然后从看守所提审出来
[1507.23-1508.51] 去法院过堂
[1508.51-1509.43] 过完堂之后
[1509.43-1510.11] 判完了之后
[1510.11-1511.39] 扔到监狱里
[1511.39-1512.71] 在监狱里继续看住
[1512.71-1515.03] 这是Sheriff罚警的工作职能
[1515.63-1518.27] 所以罚警大量的缺罚警
[1518.27-1521.23] 尤其是一些比较小的中小型城市
[1521.23-1522.07] 因为老龄化了
[1522.39-1523.31] 没有那么多罚警
[1523.43-1525.07] 你的英语只要过关
[1525.07-1525.75] 体能
[1525.75-1526.71] 太简单了
[1526.71-1528.03] 就像你这样的庭
[1528.07-1529.71] 你到55岁都可以过关
[1529.75-1530.95] 就做25个俯卧撑
[1531.15-1531.87] 大概就是
[1531.99-1533.91] 然后跑一点障碍跑
[1533.91-1534.63] 那障碍跑
[1534.63-1535.91] 可不是你想的跑一公里
[1536.19-1537.59] 是在一个gym里
[1537.59-1539.71] 就是在一个大室内
[1539.75-1541.19] 田径馆里边
[1541.19-1543.67] 就是像大概室内网球场
[1543.67-1544.91] 那么大的一田径馆里边
[1544.91-1545.99] 让你跑跑障碍赛的
[1546.71-1548.39] 你只要不忽视带转的就行了
[1548.55-1551.43] 所以Sheriff真的是
[1551.43-1552.91] 基本上你只要想干
[1553.19-1554.23] 一年之内
[1554.23-1554.83] 两年之内
[1554.83-1556.23] 你都能找到他的工作
[1556.87-1557.87] 但是可有一条
[1557.87-1559.39] 你就算入伍了
[1559.43-1560.75] 他有可能给你派到一个
[1560.75-1561.91] 你不想去的城市
[1561.95-1564.43] 比如你女儿在温哥华上学
[1564.43-1566.67] 他可能给你派到Tofino去
[1566.71-1567.67] 就是都是BC省
[1567.79-1569.59] 因为罚警是以省为单位招募的
[1569.63-1571.31] 或者他可以给你派到
[1572.03-1573.27] 鲁伯特王子岛
[1573.27-1574.27] 或者Prince
[1575.95-1576.79] Prince Robert
[1576.79-1578.55] 或者Prince Edward
[1578.55-1579.63] 这样的
[1581.11-1582.67] 反正就是这些岛里去
[1582.95-1584.11] 离温哥华
[1584.11-1584.79] 大概就得
[1584.83-1585.55] 开车的话
[1585.55-1586.91] 得开八九个小时
[1587.15-1587.95] 坐飞机
[1587.95-1588.79] 但是有小飞机
[1588.79-1590.31] 坐飞机飞一个小时
[1591.31-1593.11] 你得接受
[1593.11-1594.47] 因为没有机要又要
[1594.95-1596.31] 你穿着制服
[1596.35-1598.67] 有领着俸禄
[1598.67-1599.75] 坐着秦叔宝
[1600.15-1602.19] 那你还要他妈的要舒服
[1602.19-1604.31] 要在海边上退休养老
[1604.31-1605.11] 怎么可能
[1605.31-1607.67] Sheriff一年的薪水的话
[1607.67-1609.15] 大概是6万加币左右
[1610.11-1611.15] 各种保险
[1611.19-1612.55] 各种待遇
[1612.55-1613.31] 各种免费的
[1613.63-1614.79] 免费那个都有
[1614.83-1615.75] 就是拿到手里的钱
[1615.75-1616.67] 大概6万加币
[1616.67-1617.87] 足够养一个家庭
[1618.03-1619.79] 加拿大的家庭综会数收入
[1619.79-1620.43] 不是很高
[1620.43-1621.43] 因为不是美国
[1621.51-1622.83] 因为这什么都免费
[1622.99-1624.43] 你们上学也不收你钱
[1624.43-1625.59] 看病也是免费
[1625.59-1627.27] 你要是罚警的话
[1627.27-1629.39] 还有各种什么带薪假期之类的
[1629.39-1630.63] 带薪集训之类的
[1630.83-1635.63] 所以6万基本上就是吃
[1636.43-1637.91] 你妈一年吃6万加币
[1637.91-1638.83] 你吃什么
[1638.95-1640.47] 你天天吃帝王蟹
[1640.63-1642.83] 所以肯定够
[1642.83-1644.79] 缩风水
[1644.83-1646.91] 这个风水
[1646.91-1648.59] 上海军刀楼这个风水
[1649.07-1649.83] 我没研究过
[1649.83-1651.03] 但是我给你举个例子
[1651.11-1652.79] 这个风水是绝对存在的
[1652.79-1654.87] 如果各位有沈阳人
[1654.87-1655.83] 像我这岁数的
[1655.83-1656.87] 或者比我小几岁
[1656.87-1657.87] 可能也都赶上了
[1658.03-1660.39] 知道沈阳有个市长叫沐隋鑫
[1660.87-1662.75] 他那副市长叫马向东
[1663.39-1665.07] 沐马岸就是他俩
[1665.11-1668.19] 沐隋鑫当时是沈阳最牛逼的市长
[1668.23-1670.11] 沈阳由始以来
[1670.11-1672.55] 最积极肯干的市长就是沐隋鑫
[1672.59-1674.79] 所以沐隋鑫虽然有黑社会的霸气
[1674.83-1677.59] 但是沐隋鑫在东北那个地方
[1677.59-1679.15] 或者说在中国这片洼地里
[1679.15-1681.11] 没有霸气能干成市长吗
[1682.27-1683.19] 那就是金尚
[1683.51-1684.91] 金尚当上海市长
[1685.11-1687.99] 当浙江省长的时候倒是没霸气
[1687.99-1688.95] 就是什么也不干
[1690.75-1691.75] 沐隋鑫不是沐隋鑫
[1691.75-1692.79] 他干实事
[1693.11-1694.75] 因此得罪了很多人
[1694.79-1696.47] 沐隋鑫在沈阳
[1696.47-1697.75] 我记得
[1697.75-1699.99] 因为这都是20多年以前的事了
[1700.11-1702.03] 我的记忆很可能混乱了
[1702.27-1703.27] 如果错了
[1703.27-1704.59] 大家辅证我
[1704.59-1706.71] 就是在沈阳浑河
[1707.63-1709.83] 接近沈阳市区的地方
[1709.95-1712.23] 大概其是在沈阳的南边
[1712.23-1713.11] 浑河
[1713.47-1716.99] 他当时他弄了一个特别漂亮的开发区
[1717.03-1718.47] 什么东大软件园
[1718.67-1720.71] 什么各种高新产业区
[1720.79-1721.95] 都在那个位置
[1722.79-1724.11] 沈阳经济技术开发区
[1724.51-1727.39] 然后他在那做了一个新城一样的东西
[1727.39-1728.51] 这沐隋鑫干的
[1728.67-1730.83] 然后那有一个大厦
[1731.39-1733.79] 就是他开发区管委会的大楼
[1733.79-1734.75] 特别高
[1734.75-1736.95] 因为那个时候从桃仙机场进沈阳市
[1736.95-1739.51] 毕竟桃仙机场在南边
[1739.95-1741.79] 那进市往北开
[1741.79-1743.75] 你毕竟他新开发区
[1744.27-1745.07] 过了浑河
[1745.07-1746.79] 好像是还没过浑河就看见了
[1746.95-1748.63] 那个时候沈阳没什么高楼
[1748.63-1750.39] 所以一下就能看到那两个大楼
[1750.39-1751.39] 特别显眼
[1752.55-1755.39] 那两个大楼是他做的一个双子楼
[1755.39-1756.31] 这双子塔
[1756.59-1757.55] 20多层
[1757.55-1759.19] 大概两个对着的
[1759.19-1761.87] 然后这两个对着的大楼有造型
[1761.91-1762.63] 每个大楼上面有两个特别高的大楼
[1762.63-1763.63] 每个大楼上面有两个特别高的大楼
[1763.63-1764.67] 每个大楼上面有两个特别高的天线
[1764.67-1767.95] 然后这个天线还不在方形大楼的正中间
[1767.95-1769.83] 它在相对远端
[1769.83-1773.07] 就这两个大楼的外侧有两个天线
[1773.07-1773.87] 特别大的
[1773.87-1775.59] 每个大楼上面有两根天线
[1776.15-1778.83] 然后大楼的中间还挖了一个圆
[1778.95-1781.67] 就是这大楼不是直上直下一筒
[1781.67-1783.43] 而是在相对的位置
[1783.43-1784.87] 挖了一个在半空中
[1784.87-1785.95] 十几楼高的地方
[1785.95-1786.59] 有两个
[1786.75-1787.47] 窝口
[1787.47-1789.31] 圆形的半圆形的窝口对着
[1790.51-1793.59] 当时沈阳经济技术开发区
[1793.59-1796.35] 的副主任姓岳
[1796.35-1797.11] 老岳
[1797.23-1799.47] 现在也不知道还在不在
[1799.47-1800.07] 都20多岁
[1800.07-1801.91] 那个时候他60多
[1802.07-1803.67] 岳飞的岳
[1803.67-1808.70] 岳副主任当时跟我是好朋友
[1808.70-1809.70] 他经常跟我聊天
[1809.70-1811.94] 后来他去了沈阳协和制药厂
[1812.26-1813.18] 生物制药厂
[1815.06-1816.06] 他说
[1816.82-1818.54] 吉州你看那个楼了吗
[1818.90-1819.82] 这事还没发生
[1820.06-1821.34] 就是他刚盖好的时候
[1821.34-1822.42] 他说那个楼
[1822.70-1824.86] 他妈的叫两犬
[1824.90-1825.50] 对岩
[1825.50-1826.42] 你看像不像
[1826.46-1827.50] 他一说我一看
[1827.66-1828.50] 真他妈像
[1828.54-1829.86] 就像两只小狗一样
[1830.38-1832.22] 每一个都有两个大天线
[1832.82-1835.42] 然后两个小狗面对面的坐着
[1835.46-1837.22] 然后为什么叫两犬对岩
[1837.30-1838.34] 因为那中间的祸口
[1838.34-1839.70] 特别像张着的嘴
[1839.98-1841.34] 就是两犬
[1841.34-1842.62] 两只犬对岩
[1842.62-1843.86] 中间一个张着嘴
[1843.86-1844.78] 在说话
[1845.22-1846.66] 像两只狗在对话
[1846.66-1848.42] 两犬对岩是一个字
[1848.46-1849.70] 是一个谕字
[1849.74-1851.34] 就是繁体字的监狱的谕
[1851.34-1852.62] 就是两犬对岩
[1852.66-1853.86] 他说这个楼
[1853.86-1856.14] 两犬对岩是个狱
[1856.14-1857.14] 他有牢狱之灾
[1857.26-1858.34] 我说谁有牢狱之灾
[1858.34-1860.06] 他说你看是谁选的楼吗
[1860.10-1861.58] 我说谁方案
[1861.58-1863.02] 十几个方案谁选的吗
[1863.38-1864.98] 我说大哥谁选的
[1865.02-1866.82] 他说我们沈阳还能谁选
[1866.82-1867.86] 肯定一把手选
[1867.86-1868.90] 老牧选的
[1868.94-1870.22] 然后我去穆遂新
[1870.46-1872.86] 然后我就去他楼前面有个广场
[1872.90-1875.02] 就是像中心花园一样一个广场
[1875.06-1877.34] 那广场叫21世纪广场
[1877.34-1877.98] 还叫什么广场
[1877.98-1878.66] 我忘了
[1879.50-1880.54] 反正就是
[1880.82-1882.50] 那广场有一堆的
[1883.86-1884.70] 世界各地
[1884.70-1886.30] 包括中国的先哲们
[1886.34-1887.62] 有什么孔子
[1887.94-1888.82] 有孟子
[1888.98-1890.30] 有什么苏格拉底
[1890.42-1891.34] 有柏拉图
[1891.38-1893.50] 就人类的各种流派
[1893.50-1896.50] 各种文明的这些科学家
[1896.54-1897.58] 哲学家
[1897.90-1899.30] 站这广场站一圈
[1899.34-1900.26] 做的雕塑
[1901.10-1903.22] 然后中间有一个大球
[1903.22-1904.38] 这球是地球
[1904.42-1906.54] 然后地球下面一轮的书
[1906.58-1908.62] 书籍象征着地球文明
[1909.02-1912.34] 这球中间这些人都为人类雕塑
[1912.34-1912.78] 都围着
[1912.78-1914.14] 这个伟人雕塑
[1914.14-1915.18] 围着这个球
[1915.22-1916.22] 底下是一罗书
[1916.26-1918.06] 书底下据说挖了一个大坑
[1918.06-1919.42] 埋了个时间胶囊
[1919.54-1921.18] 这差不多我说这话
[1921.18-1922.54] 大概是2000年前后
[1922.58-1923.74] 2000年前后
[1923.74-1924.82] 人类不光是中国
[1924.82-1926.54] 美国到处都流行
[1926.58-1928.22] 埋一个时间胶囊
[1928.26-1929.78] 就是弄一个像高压锅一样
[1929.78-1930.42] 密不透风的
[1930.42-1931.58] 这样一个金属容器
[1931.62-1934.10] 里边放点当时的最牛逼的东西
[1934.10-1934.74] 放进去之后
[1934.74-1936.02] 然后在那写封信
[1936.06-1938.22] 埋到一个坑里
[1938.22-1939.74] 然后说好100年挖出来
[1940.62-1942.50] 里边就埋了当时
[1942.78-1944.58] 杨氏最牛逼的一些东西
[1945.62-1947.06] 特产之类的东西
[1947.22-1948.62] 包括高科技类的东西
[1948.62-1949.54] 包括软件类的东西
[1949.58-1950.18] 是沈阳都有
[1950.62-1952.98] 然后穆遂钦写了一封信
[1953.02-1954.06] 埋进去了
[1955.10-1956.46] 当时我的感觉
[1956.46-1957.30] 这不是老岳说的
[1957.30-1959.10] 我感觉他犯忌讳
[1959.10-1960.14] 首先他姓穆
[1960.30-1962.10] 穆就是坟墓的墓
[1962.58-1964.42] 他又在这儿挖了个坑
[1964.90-1967.22] 周围做了一堆相声
[1967.82-1970.06] 这些伟人的雕塑
[1970.06-1971.54] 这不就是石像声吗
[1971.58-1972.54] 他妥妥的
[1972.54-1972.70] 做了一堆像声
[1972.70-1972.74] 这不就是石像声吗
[1972.74-1972.78] 他妥妥的做了一堆像声
[1972.78-1973.90] 这个墓局
[1974.14-1975.14] 然后他在上面
[1975.14-1977.22] 还有压了一大锣子的书
[1977.26-1978.66] 书就是你书
[1980.55-1981.83] 上面还顶一球
[1982.51-1984.07] 也就是说你他妈书定了
[1984.07-1985.27] 你算个球
[1986.03-1988.51] 所以底下埋了个什么时间交囊
[1988.51-1989.31] 时间交囊里边
[1989.31-1990.43] 还写了一封信
[1990.47-1992.47] 是沈阳市现任市长穆遂钦
[1992.47-1993.99] 给100年后的沈阳市长
[1994.03-1994.95] 写那封信
[1994.99-1997.51] 活人把自己的手书埋到里边
[1997.51-1998.31] 你又姓穆
[1998.35-1999.99] 美国人也许无所谓
[2000.03-2002.35] 他那套国家风水局不在乎
[2002.35-2003.63] 但你中国绝对不行
[2003.63-2006.03] 然后果然他就出事了
[2006.03-2008.11] 这些事都是提前发生的
[2008.11-2009.31] 我们提前聊的
[2009.31-2010.03] 酒桌上聊的
[2011.51-2012.83] 所以你说有没有风水
[2012.83-2013.59] 绝对是有
[2014.67-2015.47] 好了
[2016.03-2017.35] 又神神叨叨了
[2018.03-2018.79] 下一个
[2026.69-2027.37] 王总
[2027.37-2028.49] 我您好
[2028.49-2029.17] 文笔不好
[2029.17-2029.73] 莫见怪
[2029.73-2031.53] 发送email给您
[2031.53-2034.53] 是感谢您给我开了一扇大天窗
[2034.57-2035.57] 从您的频道
[2035.57-2037.33] 学了大量的底层的知识
[2037.37-2040.05] 我也把您的频道分享给了身边
[2040.05-2040.69] 墙内能看到的
[2040.69-2040.73] 能看到的
[2040.73-2041.85] 能看视频的朋友
[2041.93-2044.17] 不过不知道墙内给您发邮件
[2044.17-2045.25] 是不是有风险
[2045.29-2046.77] 只是表达对您的敬意
[2046.77-2048.85] 希望您的节目能一直办下去
[2048.97-2050.89] 如果您后边开会员频道
[2050.89-2052.09] 我希望能够加入
[2052.73-2054.73] 我暂时没有开会员的可能
[2055.17-2056.73] 往期的有些节目
[2056.73-2057.77] 我会下载下来
[2057.77-2059.29] 导出字幕做好整理
[2059.33-2060.45] 在整理的过程中
[2060.45-2063.09] 对您的内容有了更深层次的了解
[2063.21-2065.21] 当然到不了您的水平
[2065.21-2066.17] 有个一二层理解
[2066.17-2067.01] 对普通人来说
[2067.01-2068.29] 可是已经不错了
[2068.33-2070.53] 您讲的那一期寒门子弟
[2070.53-2071.61] 能成功的法门
[2071.61-2072.81] 真的深有体会
[2072.85-2074.93] 最重要的一条就是远行
[2075.09-2076.33] 我个人就是这样
[2076.37-2077.49] 对我的改变特别大
[2077.49-2078.81] 不过在当前的环境下
[2078.81-2079.97] 难免有些迷茫
[2080.17-2081.33] 听了您的节目
[2081.33-2082.85] 让我内心安定了下来
[2082.85-2083.81] 对我的个人规划
[2083.81-2085.37] 有了重新的变化
[2085.37-2086.61] 希望您能赐教
[2086.65-2087.89] 个人背景27岁
[2087.89-2088.61] 北漂5年
[2088.61-2090.33] 年入50万家未婚
[2091.25-2094.09] 一我是做TOB软件销售的
[2094.13-2097.25] 能否赚钱与市场需求高度相关
[2097.29-2098.49] 既然赚钱困难
[2098.49-2099.49] 去加拿大留学
[2099.49-2100.41] 是不是一个很好的
[2100.41-2100.45] 选择
[2100.45-2102.69] 因为既点原因
[2102.73-2105.01] 只能申请MBA或college
[2105.05-2107.77] 我理解是不是
[2108.29-2109.37] 申请college
[2109.37-2110.89] 对我后边留在加拿大
[2110.89-2111.85] 好处更大
[2111.89-2113.41] 对于我这个阶段的年轻人
[2113.41-2114.69] 还是非常多的
[2114.73-2116.65] 感觉现在年纪还能抢救
[2116.65-2117.01] 抢救
[2117.01-2119.33] 希望王叔给我一些意见
[2119.33-2120.01] 是啊
[2120.09-2121.29] 你这个年龄多好
[2121.29-2122.21] 27岁
[2122.21-2124.09] 北漂5年又有收入
[2124.09-2125.85] 又有家底积累了
[2125.85-2126.89] 又没结婚
[2126.89-2127.73] 太牛逼了
[2127.73-2130.29] 你就申请加拿大大学或college
[2130.29-2131.37] 同时申请
[2131.37-2132.73] 因为不一定都要你
[2133.25-2135.17] 越实用的college越好
[2135.45-2138.93] 越有实操性的越好
[2138.93-2140.33] 你是学软件的吗
[2140.57-2141.97] 你就继续学软件
[2141.97-2144.13] 因为加拿大对于软件工程师
[2144.13-2145.21] 大量的需求
[2145.21-2146.49] 尤其是温哥华地区
[2146.53-2148.09] 就像我刚才讲的
[2148.09-2148.73] 温哥华地区
[2148.73-2151.29] 它不能发展有烟工业
[2151.29-2154.05] 所以它对无烟工业重视度特别高
[2154.17-2156.73] 你查一下加拿大移民部网站的
[2156.73-2158.05] 紧缺职业类表
[2158.09-2160.25] 那里边有详细的职业类别
[2160.45-2161.69] 你就照那玩意来
[2161.97-2163.09] 报大学也好
[2163.09-2164.21] 报college也好
[2164.73-2166.01] 抓紧说干就干
[2166.17-2168.01] 谋定不能私动
[2168.85-2171.45] 白谋不如一勇
[2171.65-2172.65] 所以你就赶紧干
[2173.13-2176.45] 这是老王大哥对你的建议
[2176.53-2178.05] 对看您的视频
[2178.05-2178.77] 尤其前几集
[2178.77-2180.65] 我能感受到当地的孤独
[2180.81-2181.89] 您有这么多资产
[2181.89-2183.65] 身边有很多朋友都尚且如此
[2183.65-2184.85] 难免有些担心
[2185.13-2186.85] 这种东西你就多虑了
[2187.37-2188.73] 强大的人不孤独
[2188.77-2189.81] 内心坚强
[2189.81-2190.25] 才能不孤独
[2190.33-2191.69] 你那内心脆弱
[2191.69-2193.01] 你在北京一样抑郁
[2193.45-2194.85] 所以得了抑郁症的人
[2194.85-2196.13] 都是要么是惊了事
[2196.13-2197.73] 要么就是内心太脆弱了
[2197.89-2199.81] 我见的身边得了抑郁症的朋友
[2199.81-2202.45] 几乎都是家庭特别好的人
[2202.85-2205.09] 就是父母养在温室里
[2205.09-2206.85] 还要继承这个继承那个
[2206.89-2208.45] 然后就抑郁症了
[2209.53-2211.33] 你我觉得你不会抑郁症
[2211.53-2213.25] 你个北漂啥也没有
[2213.25-2214.21] 远行到北京的
[2214.21-2216.01] 你孤独关早都过了
[2216.05-2217.85] 你到加拿大你找个爱好
[2217.85-2219.09] 北京你可能没有的爱好
[2219.09-2219.93] 比如说爬山
[2219.93-2220.25] 呀
[2220.29-2222.61] 比如说出海
[2223.05-2225.09] 比如说骑摩托
[2226.57-2229.53] 比如说学飞机
[2229.93-2230.93] 你找一个爱好
[2230.93-2232.41] 你一点都不孤独
[2232.41-2236.21] 你迅速能找到跟你有相同气味的
[2236.21-2236.93] 年轻人
[2237.93-2239.17] 在这边结社自由
[2239.57-2241.37] 你就加入他们的组织就行了
[2241.57-2243.57] 所以你信教也行
[2243.81-2244.41] 你英语好
[2244.41-2245.73] 你可以信个白人的教
[2245.85-2247.13] 没准还能找个老婆
[2247.29-2248.53] 三观一致的老婆
[2249.45-2250.05] 好吧
[2250.05-2250.25] 那
[2250.29-2252.61] ,就传道授业
[2252.77-2254.73] 祝您门徒兴旺
[2254.93-2256.73] 传道授业解惑谈不上
[2256.93-2260.61] 我就是其实我就是开一个油管频道
[2262.41-2264.01] 打发一下qtime
[2264.13-2268.17] 治疗一下我的孤独的问题
[2268.97-2273.77] 其实就是解放我内心深处的表演型人格
[2273.81-2275.25] 因为当过老板的人
[2275.25-2276.93] 都他妈有表演型人格
[2277.21-2278.57] 开了YouTube
[2279.05-2279.89] 感觉好急了
[2279.89-2280.45] 我操
[2280.97-2282.61] 尤其是跟大家做对话的时候
[2283.17-2283.97] 你问我答
[2283.97-2285.13] 我操
[2285.25-2286.29] 这不就是
[2286.33-2287.89] 太他妈的有成就感了吗
[2287.89-2289.09] 就是我是老师
[2289.65-2290.81] 我也是师傅
[2292.01-2293.49] 我也是教授了
[2294.69-2296.13] 徐荣鑫得到充足满足
[2296.13-2297.21] 所以我没有那么高尚
[2297.73-2301.17] 所以大家聊聊天
[2301.17-2302.05] 其实有的时候
[2302.05-2303.45] 我也不是行行都懂
[2303.45-2305.49] 大量的漏漏窃的地方
[2305.77-2306.89] 漏窃的地方
[2306.89-2308.09] 好多观众朋友
[2308.09-2308.61] 就是
[2308.61-2309.01] 咔
[2309.01-2309.57] 咔
[2309.57-2310.53] 长吻指出我
[2310.53-2311.45] 我也不要脸
[2311.45-2312.81] 我也不删你们的评论
[2312.81-2313.61] 绝对不会删
[2313.61-2314.53] 没没事
[2314.93-2317.05] 大家这样不就提高了吗
[2317.05-2318.45] 这样不就切磋了吗
[2318.45-2319.65] 你想不明白的事
[2319.65-2320.81] 通过讨论
[2320.85-2321.61] 不破不立
[2321.61-2322.49] 然后就明白了
[2322.49-2322.89] 明白了
[2322.89-2323.77] 就提高了
[2325.09-2325.77] 抓紧时间
[2325.93-2327.01] 今天时间不够了
[2327.77-2329.57] 下一个大老王你好
[2329.61-2331.41] 首先感谢您的分享
[2331.41-2333.37] 我们家下个月就去办美国签证了
[2333.41-2334.93] 春节后就去美国发展了
[2334.93-2335.85] 恭喜
[2335.85-2337.01] 你们家真牛逼
[2337.21-2338.29] 现在有个问题
[2338.29-2339.45] 我做黄金很多年了
[2339.45-2340.37] 自己也做交易
[2340.37-2341.85] 但只能阶段性赚钱
[2341.89-2343.49] 感觉自己下场交易的话
[2343.49-2347.57] 还是很难克服到自己的欲望和贪婪
[2348.01-2349.97] 做到稳定盈利做不到
[2350.01-2351.85] 所以自己也开了代理
[2351.85-2352.69] 赚手续费
[2352.69-2353.65] 一年被动收入
[2353.65-2355.69] 大概能有个60到80万人民币
[2355.69-2357.41] 但自己经常看后台
[2357.45-2358.89] 看到客户经常亏损
[2358.89-2360.09] 心里有些难受
[2360.13-2362.05] 感觉是我把他们带进赌场的
[2362.05-2362.97] 但又想
[2363.85-2365.45] 黄金不亏钱
[2365.45-2368.21] 也会被股市彩票或者赌球亏掉
[2368.21-2369.41] 反正总要被收割
[2369.41-2371.21] 做黄金还相对公平些
[2371.21-2371.97] 你说的对
[2371.97-2373.05] 黄金的价格
[2373.05-2375.33] 至少是国际五大金商划的
[2375.37-2377.09] 这他妈的股市
[2377.13-2378.41] 这他妈的钱
[2378.45-2380.93] 就是他们一群诈骗犯干的
[2381.21-2382.89] 这个彩票
[2382.89-2384.21] 纯诈骗犯
[2384.29-2385.05] 彩票
[2385.05-2385.89] 中国的彩票
[2385.89-2388.01] 等我讲一期
[2388.37-2389.25] 我跟你们讲完之后
[2389.25-2391.25] 你们就是叹为观止
[2391.45-2394.13] 不过我事先打个预防针
[2394.25-2396.33] 因为中国彩票的老板
[2396.61-2397.65] 跟我个人是朋友
[2397.65-2398.09] 你放心
[2398.09-2399.37] 我绝对不会提你
[2399.41-2401.13] 我只是说彩票这个行业
[2401.13-2402.33] 跟你们个人没关系
[2403.33-2404.45] 不要那么紧张
[2405.61-2408.93] 赌球相对来说也公平
[2408.97-2410.21] 是意大利赌盘划的
[2410.81-2411.93] 黑手党划的
[2411.93-2414.89] 反正总要被收割
[2414.89-2416.41] 做黄金相对公平些
[2416.41-2417.21] 我的问题是
[2417.21-2419.65] 我这样不断发展客户来做黄金
[2419.69-2420.85] 然后赚取手续费
[2420.85-2422.81] 在灵界会不会有大的影响
[2422.85-2423.73] 因果方面
[2423.73-2425.29] 我这算不算在害人
[2425.33-2427.09] 因为我也没有本事
