[2.16-4.16] Hello 大家好
[4.16-6.16] 我太激动了
[1304.97-1306.97] 房地产市场是个大市场
[1306.97-1308.97] 它不会就像汇率一样
[1308.97-1309.97] 它不会是这样跌的
[1309.97-1311.97] 它一定是这样跌的
[1311.97-1314.97] 所以你在这样跌的
[1314.97-1315.97] 这个点你卖
[1315.97-1316.97] 那是最好的
[1316.97-1318.97] 所以你心里边留这个心眼就行了
[1318.97-1320.97] 留这个心眼就行了
[1320.97-1323.97] 我会在下周慢慢的给大家讲
[1323.97-1325.97] 怎么在中国卖房子
[1325.97-1327.97] 怎么在中国
[1327.97-1328.97] 经济进入下行周期
[1328.97-1330.97] 但是党和国家
[1330.97-1333.97] 我们金上在救市的过程中
[1333.97-1337.97] 利用金上给大家的金融宽松放水的过程中
[1337.97-1339.97] 抓它的漏洞
[1339.97-1341.97] 寻它的商机
[1341.97-1342.97] 挣一把
[1342.97-1345.97] 争取在最后来个回马枪
[1345.97-1347.97] 来个回马枪
[1347.97-1348.97] 挣一把
[1348.97-1350.97] 完成人生的原始积累
[1350.97-1351.97] 第一桶金
[1351.97-1354.97] 顺利的来温哥华来找我
[1354.97-1356.97] 或者去洛杉矶找我的朋友们去
[1356.97-1357.97] 都可以
[1357.97-1358.97] 再见
[1358.97-1360.97] 点赞关注小铃铛
[1360.97-1362.97] 突破共产党对我的封锁
[1362.97-1363.97] 再见
