[1.97-3.85] 哈喽 大家好 又见面了
[3.85-8.61] 今天我们就不再聊那么难懂的专业的话题
[1303.60-1305.36] 因为他没有门诊
[1305.36-1307.44] 他的所有的门诊的功能
[1307.44-1309.04] 都被家庭医生替代了
[1309.04-1310.48] 和专科医生替代了
[1310.48-1314.36] 他是专科医生和家庭医生给你转诊进去
[1314.36-1316.76] 所以你进去的时候都是拿着介绍信进去的
[1316.76-1317.60] 人家都知道
[1317.60-1318.48] 某个专业科室
[1318.64-1319.52] 都知道你要来了
[1319.52-1322.48] 因为他们内网就已经收到你家庭医生
[1322.48-1325.08] 或者专科医生给你转诊过来的病人
[1325.08-1326.52] 就知道你要来了
[1326.52-1331.60] 而不会让你在医院大门前台去给你分诊
[1331.60-1332.60] 没有这个概念
[1332.60-1334.00] 而且你要是想去干这个
[1334.00-1335.68] 他还不配合你
[1335.68-1336.88] 就会给你一种
[1336.88-1338.72] 操监人命的感觉
[1338.72-1341.32] 其实是他分级医疗体制造成的
[1341.32-1344.88] 这种分级医疗体制就造成你不是急病
[1344.88-1345.96] 不是急救
[1345.96-1347.44] 你不要自己往医院跑
[1347.44-1348.40] 或者打911
[1348.64-1350.20] 你的慢性病
[1350.20-1352.88] 你要自己去治疗
[1352.88-1353.60] 什么叫自己去
[1353.60-1354.68] 不是说你自己扎针
[1354.68-1355.88] 就是你自己有意识
[1355.88-1357.84] 你要跟自己的家庭医生说
[1357.84-1358.88] 我有高血压
[1358.88-1360.12] 或者我有什么病
[1360.12-1361.28] 我有肾结石
[1361.28-1362.76] 请给我检查一下
[1362.76-1364.52] 并且在我还没有发病的时候
[1364.52-1366.60] 就给我转到专科医院去
[1366.60-1369.16] 专科医生也会及时给你转诊
[1369.16-1372.72] 就不会造成误诊和耽误诊
[1372.72-1373.92] 但如果你不这么干
[1373.92-1376.52] 你还是用我们中国的方式思维
[1376.52-1377.32] 就是说
[1377.32-1378.40] 我平时
[1378.64-1380.60] 我身体给我一些警告
[1380.60-1382.36] 我能忍则忍
[1382.36-1383.88] 小病我就扛过去了
[1383.88-1386.04] 然后忍不住就轰然而倒
[1386.04-1387.48] 然后就去医院
[1387.48-1388.60] 自己去挂个水
[1388.60-1389.92] 去挂个号
[1389.92-1390.80] 不好使
[1390.80-1394.16] 你很可能会晾在那个急诊室
[1394.16-1396.16] 10个小时没人搭个你
[1396.16-1397.32] 除非你头破血流
[1397.32-1399.64] 因为急诊室它是有门诊台的
[1399.64-1402.72] 急诊室的门诊台的护士和值班医生
[1402.72-1404.40] 会根据你的病情
[1404.40-1407.04] 直接给你决定你的治疗的速度
[1407.04-1408.08] 如果你是
[1408.08-1409.28] 你交通事故
[1409.28-1410.44] 投课血流
[1410.44-1411.52] 中枪了
[1411.52-1413.72] 你一秒钟都不会被耽误
[1413.72-1418.00] 进去之后马上就会给你分诊治疗
[1418.00-1420.84] 但如果你是什么肾结石
[1420.84-1421.92] 你是什么
[1421.92-1423.24] 或者值班医生
[1423.24-1425.32] 你是很严重的内出血
[1425.32-1426.92] 但是值班医生他是个庸医
[1426.92-1427.60] 他没看出来
[1427.60-1429.96] 他不够专业
[1429.96-1431.12] 他不知道你是内出血
[1431.12-1434.20] 他还以为你是什么在那儿飘虚的自己
[1434.20-1435.64] 自己是个飘虚公子
[1435.64-1437.28] 他就会让你在那儿等
[1437.28-1438.04] 这个时候就会出现了
[1438.04-1439.24] 就会出现风险
[1439.24-1440.40] 就会出现风险
[1440.40-1444.48] 这也是加拿大的医疗体系的一大怪
[1444.48-1447.36] 这就是老王总结的加拿大十大怪
[1447.36-1448.44] 跟我们中国来说
[1448.44-1449.44] 相比来说
[1449.44-1451.28] 加拿大的一个Strange怪
[1451.28-1452.76] 这个怪不是贬义词
[1452.76-1453.88] 也不是包义词
[1453.88-1455.20] 就是不一样
[1455.20-1458.92] 就是我们要接受一个开放的世界观
[1458.92-1460.60] 有意思的东西呢
[1460.60-1462.72] 既然不能走万里路
[1462.72-1465.44] 那就听老王白活白活的替大家走
[1465.44-1466.72] 不一样的地方还有很多
[1466.72-1467.92] 比如说
[1468.04-1472.48] 我今天上午忽然纠结了一下
[1472.48-1475.80] 因为我们家小孩老师又要通知我们
[1475.80-1477.80] 要开家长座谈会
[1477.80-1478.68] 我能躲就躲
[1478.68-1479.20] 为什么呢
[1479.20-1480.60] 因为这儿的家长座谈会
[1480.60-1481.76] 无论是公校还是私校
[1481.76-1483.36] 全他们是一对一的
[1483.36-1484.16] 就是老师
[1484.16-1486.04] 你你又知道第三大怪
[1486.04-1488.72] 就是他们是个爱聊天的民族
[1488.72-1490.80] 这老师他就跟你聊上了
[1490.80-1492.80] 你们也不是说
[1492.80-1494.32] 怎么有什么好聊的呀
[1494.32-1495.44] 尬聊什么玩意儿
[1495.44-1497.24] 不就是rano的那那那那那俩屁事儿
[1497.24-1498.04] 不就是rano的那那那那那俩屁事儿
[1498.04-1498.28] 不就是rano的那那那那俩屁事儿
[1498.28-1499.16] 彩虹屁啊
[1499.16-1502.24] 然后没有25分钟20分钟
[1502.24-1503.88] 他不放我走
[1503.88-1506.60] 就是所有的公校私校全是如此
[1506.60-1508.68] 那我们中国的家长座谈会的简单
[1508.68-1509.44] 简单多了
[1509.44-1511.40] 除了小孩打架了
[1511.40-1513.48] 叫校长叫家长一个一的话
[1513.48-1514.76] 基本上那个家长座谈会
[1514.76-1517.08] 都所有的家长都坐在教室里
[1517.08-1518.60] 坐在自己孩子的座位上
[1518.60-1520.40] 老师在前面巴拉巴拉讲
[1520.40-1521.80] 基本上都是一对多的
[1521.80-1522.88] 这样压力很小
[1524.24-1526.84] 不像这儿不是这儿什么一对一的压力蛮大的
[1526.84-1528.00] 尤其如果你英语不
[1528.04-1528.68] 不过关
[1528.68-1530.00] 家长英语不过关
[1530.00-1531.96] 新移民的话你可想而知
[1531.96-1533.72] 你这个家长座谈会
[1533.72-1535.80] 其实还是一次听力风暴啊
[1535.80-1537.20] 和口语风暴
[1537.20-1538.32] 对不对
[1538.32-1538.68] 好吧
[1538.68-1539.88] 今天就来点轻松的
[1539.88-1540.60] 就讲讲这个
[1540.60-1543.28] 跟大家轻轻松松聊聊天啊
[1543.28-1544.92] 呃记得点赞
[1544.92-1546.40] 那个小小铃铛
[1546.40-1548.32] 他就他就会提示你
[1548.32-1549.84] 我更新了
[1549.84-1554.12] 然后呃为什么我决定就是最近
[1554.12-1555.20] 先没放松一点
[1555.20-1556.24] 因为我一个好朋友啊
[1556.24-1557.08] 就是又死了
[1557.08-1558.04] 其实我在
[1558.04-1562.32] 呃当年我刚刚解开推特还没有上油管的时候
[1562.32-1565.00] 我我回忆我一和资本的一些奇人奇事
[1565.00-1566.80] 呃翟山英肯定是第一位的
[1566.80-1568.32] 第二位的叫丁
[1568.32-1568.96] 姓丁
[1568.96-1570.20] 丁总上海人
[1570.20-1572.60] 呃跟我莫逆之交
[1572.60-1576.60] 呃听说我了以后就直接去北京一和资本敲门
[1576.60-1578.16] 我叫丁某某
[1578.16-1580.56] 我是你的仰慕仰慕者
[1580.56-1581.80] 你能不能给我个机会
[1581.80-1582.92] 我不要工资都可以
[1582.92-1584.16] 我想在你这个位置
[1584.16-1586.00] 呃在你的公司某一个位置
[1586.00-1587.48] 呃跟你学习
[1587.48-1588.00] 他说你这个位置是你的公司的
[1588.04-1589.60] 他就这么成为我公司的副总
[1589.60-1591.04] 因为他比我大一轮
[1591.04-1592.08] 12岁
[1592.08-1594.48] 他也属兔了
[1594.48-1599.00] 呃这个人最大的特点就是他是佛法的积极爱好者
[1599.00-1600.48] 他是真双修
[1600.48-1601.92] 他真双修
[1601.92-1605.80] 呃这个女朋友永远25岁
[1605.80-1607.80] 就是十几年以前
[1607.80-1608.84] 十五六年以前
[1608.84-1610.60] 他敲我办公室门的时候
[1610.60-1613.44] 他那个时候大概应该是四十四五岁
[1613.44-1615.80] 他的女朋友就是25岁
[1615.80-1617.84] 然后他现在60岁
[1617.84-1619.36] 他女朋友还是二十五六岁
[1619.36-1620.04] 二十七八岁
[1620.04-1621.84] 就是都是25岁跟他
[1621.84-1623.04] 然后二十八九岁
[1623.04-1623.88] 他也不耽误人家
[1623.88-1626.08] 他就给人一笔钱让人家那个放生了
[1626.08-1628.52] 就然后他再去呃泡一个25岁
[1628.52-1630.40] 他就老这样就是双修
[1630.40-1633.76] 他的理理念就是保持这么一个年轻的心态
[1633.76-1635.88] 所以新东西他都会听歌
[1635.88-1638.48] 他永远都会唱
[1638.48-1639.96] 他的头发比我还黑
[1639.96-1640.96] 他比我大12岁
[1640.96-1642.32] 他没有白头发
[1642.32-1643.24] 而且他是真没有
[1643.24-1644.16] 我还是仔细看
[1644.16-1645.52] 还是有一点点白头发
[1645.52-1647.12] 他一点白头发都没有
[1647.12-1647.68] 而且眼睛也不见了
[1647.68-1649.04] 眼睛也不花
[1649.04-1650.20] 然后前几天啊
[1650.20-1651.52] 他在他在北京混吧
[1651.52-1652.24] 因为我走了之后
[1652.24-1653.60] 他他特别喜欢北京
[1653.60-1654.92] 他还在北京混
[1655.72-1657.28] 呃整天戴个毛线帽
[1657.28-1658.88] 在北京这个冬天啊
[1658.88-1660.24] 逛来逛去的跟他小女朋友
[1660.24-1662.16] 他就突发脑溢血霉了
[1662.16-1664.48] 就是令我唏嘘
[1664.48-1664.92] 所以呢
[1664.92-1666.96] 我觉得我不能把自己累死
[1666.96-1667.76] 呵呵
[1667.76-1669.08] 呃我就飘嘘一下
[1669.08-1670.80] 飘嘘公子附身一下
[1670.80-1672.08] 呃以我的操行
[1672.08-1673.08] 以我的秉性啊
[1673.08-1674.40] 大家不用担心啊
[1674.40-1676.40] 就是过不了三天我就把事忘了
[1676.40-1677.20] 我也就是
[1677.68-1679.00] 好像自己不会死的状态
[1679.00-1679.76] 就又开始了
[1679.76-1681.60] 完了开始卷卷卷卷
[1681.60-1683.04] 一天一更一天两更
[1684.12-1685.84] 猪妖不简单
[1685.84-1688.56] 绿云之夜就更难对付了
[1688.56-1693.36] 所以我试问谁能降他呢
[1693.36-1695.40] 我还以为谁这么大口气了
[1695.40-1697.08] 原来是空虚公子啊
[1697.08-1701.80] 人说空虚公子的空虚剑法天下无双
[1701.80-1703.16] 我天参角
[1703.16-1705.96] 是时候要跟你比比高地了
[1705.96-1707.36] 不用比了啊
[1707.36-1710.36] 我的第一就送给你们
[1710.36-1713.32] 做第一是很空虚
[1713.32-1715.04] 很寂寞
[1715.04-1717.04] 呵呵
[1717.04-1721.04] 你们凡人又怎么能明白呢
[1721.04-1722.24] 低调点
[1722.24-1724.24] 花别扔啊
