[2.99-4.99] Hello 大家好
[4.99-6.99] 我回来了
[1236.48-1240.48] 在拥挤的人群中
[1240.48-1243.48] 我终于失去了你
[1243.48-1247.48] 当我的人生第一次感到光荣
[1247.48-1248.48] 就是这句话
[1248.48-1249.48] 这首歌
[1249.48-1251.48] 我现在人生又感到光荣了
[1251.48-1253.48] 我曾经失去了你
[1253.48-1255.48] 现在我又感觉找回了你
[1255.48-1257.48] 这就是让我出来的原因
[1257.48-1259.48] 这么单纯的原因
[1259.48-1262.79] 为什么中国人不信呢
[1262.79-1263.79] 哎
[1263.79-1264.79] 好了
[1264.79-1265.79] 又跟大家水了
[1265.79-1266.79] 20分钟了
[1266.79-1267.79] 又该骂我水了
[1267.79-1268.79] 又说我这东西水
[1268.79-1270.79] 你们带着目的性就别来了
[1270.79-1272.79] 如果带着情绪价值就来
[1272.79-1275.79] 因为我是给你们提供精神四号的
[1275.79-1276.79] 精神鸦片
[1276.79-1277.79] 给你们提供情绪价值
[1277.79-1278.79] 让你们听完
[1278.79-1279.79] 我会把资本大老
[1279.79-1280.79] 资本大恶
[1280.79-1281.79] 不过如此
[1281.79-1283.79] 就是个隔壁骂街的老头
[1283.79-1284.79] 不过如此
[1284.79-1285.79] 你们不就放下了吗
[1285.79-1286.79] 还有什么东西放不下的
[1286.79-1289.79] 不就骗了你300万吗
[1289.79-1290.79] 骗我3000万的
[1290.79-1291.79] 拿我3个亿的
[1291.79-1292.79] 不给我的有的是
[1292.79-1293.79] 你看我疯了吗
[1293.79-1295.79] 30个亿给我拿走
[1295.79-1296.79] 我也没疯
[1296.79-1298.79] 我不是还活的挺好的
[1298.79-1302.79] 所以我的故事会慢慢讲给你们听
[1302.79-1305.79] 那些害过我的人可能会鼓励于多
[1305.79-1307.79] 没事你们派杀手杀我来吧
[1307.79-1309.79] 我可这有家伙
[1309.79-1313.79] 我2008年写的二元文化的这套东西
[1313.79-1315.79] 我是做过笔记的
[1315.79-1316.79] 今天我真的给找出来了
[1316.79-1318.79] 就是当年我博客笔记
[1318.79-1319.79] 我有个老电脑
[1319.79-1320.79] 我找出来了
[1320.79-1321.79] 所以我给大家
[1321.79-1323.79] 边念我的原文
[1323.79-1325.79] 边解释
[1325.79-1328.79] 这样的话让大家感到干度足够
[1328.79-1330.79] 诗不存在
[1330.79-1331.79] 干
[1331.79-1333.79] 也让大家觉得
[1333.79-1336.79] 发现2008年15年以前的
[1336.79-1340.79] 老王有多么的纯情
[1340.79-1341.79] 有多么的认真
[1341.79-1343.79] 有多么的完事之功
[1343.79-1346.79] 而不是今天这样嘻嘻哈哈完事不功
[1346.79-1348.79] 因为那时候我还认认真真的做事
[1348.79-1351.79] 还对国家那片土地及那些人
[1351.79-1354.79] 那些人民充满了希望
[1354.79-1357.79] 才会有这样的文章
[1357.79-1359.79] 从表面上看
[1359.79-1363.79] 武侠似乎与我们所谈论的话题
[1363.79-1365.79] 资本市场不相干
[1365.79-1367.79] 但实际上我认为非常相干
[1367.79-1368.79] 很要紧
[1368.79-1372.30] 众所周知
[1372.30-1378.30] 资本市场的合约乃是关键所在
[1378.30-1381.30] 而自古以来合约权益纠纷
[1381.30-1383.30] 解决机制无非有三类
[1383.30-1386.30] 一正式的司法体制
[1386.30-1388.30] 二社会的伦理道德
[1388.30-1391.30] 三民间的暴力方式
[1391.30-1396.30] 而司法方式在中国从来没有实现过
[1396.30-1399.30] 第一中国的司法是不独立的
[1399.30-1402.30] 中国自古以来有人又挑
[1402.30-1404.30] 我上下五千年不存在
[1404.30-1405.30] 我滚你妈的
[1405.30-1407.30] 你脱口就来不就是上下五千年吗
[1407.30-1409.30] 那你跟我说中国多少年
[1409.30-1411.30] 你是不是得查一下谷歌
[1411.30-1413.30] 你才说中国3325年
[1413.30-1415.30] 我去有这么说话有这么说书的吗
[1415.30-1417.30] 这不都是上下五千年吗
[1417.30-1420.30] 这也挑别看了滚
[1420.30-1424.30] 因为中国的司法与行政自古以来
[1424.30-1425.30] 就没有独立过
[1425.30-1430.30] 正法一体没有独立司法
[1430.30-1433.30] 官员同时又是法官
[1433.30-1436.30] 直到今天依然有这个影子
[1436.30-1438.30] 今天就是党管一切嘛
[1438.30-1443.58] 所以中国的公正司法在官法一体
[1443.58-1445.58] 人治社会是不存在的
[1445.58-1446.58] 这是第一
[1446.58-1448.58] 第二中国的法治传统
[1448.58-1450.58] 法律条文传统
[1450.58-1454.58] 法条传统一向是重刑轻民
[1454.58-1455.58] 而民间纠纷
[1455.58-1458.58] 更多的是经济法和民法
[1458.58-1461.58] 在这一方面中国是一片荒芜
[1461.58-1463.58] 重刑轻民这个问题我当时意识到了
[1463.58-1466.58] 但是我没有意识到它的根源是什么
[1466.58-1469.58] 为什么这么重视刑法而轻视民法
[1469.58-1471.58] 直到刘仲敬啪一讲
[1471.58-1472.58] 卧槽这个建筑体制
[1472.58-1474.58] 和他妈的内亚征服者体制
[1474.58-1475.58] 我全明白了
[1475.58-1478.58] 这他妈就是一个总督压着一群的费拉
[1478.58-1479.58] 一群奴隶
[1479.58-1480.58] 上面一奴隶主
[1480.58-1482.58] 那你让奴隶主跟奴隶之间的法律
[1482.58-1484.58] 还讲什么民法呀
[1484.58-1485.58] 就是刑法
[1485.58-1487.58] 换句话说就是砍你脑袋
[1487.58-1488.58] 砍你手用的
[1488.58-1489.58] 所以重刑轻民
[1489.58-1492.58] 是这样的一个不平等的奴隶主
[1492.58-1494.58] 及奴隶社会的必然现象
[1494.58-1496.58] 也使我豁然开朗
[1496.58-1498.58] 为什么习近平一旦集权
[1498.58-1499.58] 集权之前
[1499.58-1502.58] 习近平是可以去清风包子铺吃包子
[1502.58-1504.58] 只带两个人开一辆丰田车
[1504.58-1505.58] 只带两个人
[1505.58-1507.58] 一个警卫秘书
[1507.58-1508.58] 一个生活秘书
[1508.58-1510.58] 他就带他们两个人就去吃包子去了
[1510.58-1511.58] 那个时候他敢
[1511.58-1512.58] 因为他没有集权
[1512.58-1514.58] 而一旦集权成为皇帝
[1514.58-1515.58] 无论是习近平
[1515.58-1517.58] 李近平还是王近平
[1517.58-1521.58] 他必然像生活在敌国的皇帝一样
[1521.58-1523.58] 这也是历史以来就现象
[1523.58-1524.58] 不是老习开始的
[1524.58-1526.58] 是中国所有的皇帝
[1526.58-1528.58] 他在自己本国出行的过程中
[1528.58-1530.58] 全是老习今天这个状态
[1530.58-1532.58] 周围五公里不能有活人
[1532.58-1533.58] 只能是锦衣卫
[1533.58-1536.58] 换上自己的老百姓的衣服假装欢迎
[1536.58-1537.58] 建筑体制
[1537.58-1539.58] 这确实是刘仲敬给我点透的
[1539.58-1541.58] 但是我当时认识到就是
[1541.58-1543.58] 刑法是中国的法本
[1543.58-1544.58] 而民法
[1544.58-1546.58] 中国一直是发育不起来
[1546.58-1547.58] 我没想到为什么
[1547.58-1548.58] 但是我看到了现象
[1548.58-1552.53] 不知道本质
[1552.53-1553.53] 这是08年
[1553.53-1554.53] 第三
[1554.53-1555.53] 中国的交通不发达
[1555.53-1558.53] 而中央财政收入又有限
[1558.53-1562.53] 使得中国的中央集权的司法体制
[1562.53-1565.53] 无法延伸到县令以下的级别
[1565.53-1570.53] 这跟刘阿一后来讲的也是遥相呼应的
[1570.53-1572.53] 就是大一统的中国一定会遇到
[1572.53-1575.53] 它的财政难关造成崩溃
[1575.53-1579.53] 就是说我们今天习主席推行风桥经验
[1579.53-1580.53] 也是因为这个原因
[1580.53-1582.53] 就是你要高压维稳
[1582.53-1584.53] 你要行使你的政权的有效性
[1584.53-1587.53] 你就必须有充足的财政收入来源
[1587.53-1590.53] 而你只有在跟美国人做生意
[1590.53-1591.53] 做G2模式的时候
[1591.53-1593.53] 你才有充足的财政来源
[1593.53-1594.53] 否则的话
[1594.53-1598.53] 你一定会掉回到中国所有的封建王朝的老路子上去
[1598.53-1599.53] 就是明末
[1599.53-1600.53] 宋末
[1600.53-1602.53] 就是老百姓有钱
[1602.53-1603.53] 地主有钱
[1603.53-1604.53] 但是皇帝没钱
[1604.53-1607.53] 所以李自成就要出来
[1607.53-1609.53] 张献忠就要起义
[1609.53-1612.53] 因为你公务员底层工资就发不出来了
[1612.53-1614.53] 秦叔保的工资都没有了
[1614.53-1616.53] 秦叔保就当贼去了
[1616.53-1618.53] 去瓦罡寨了
[1618.53-1621.53] 所以我们在小的时候
[1621.53-1623.53] 就是我们在小的时候
[1623.53-1626.53] 在中国的边远乡村是没见到警察
[1626.53-1628.53] 是没见过警察的
[1628.53-1631.53] 我在德国留学的时候
[1631.53-1633.53] 我在德国留学的时候
[1633.53-1635.53] 我们家孩子他妈在德国留学的时候
[1635.53-1636.53] 住在一个宿舍里
[1636.53-1638.53] 那时候20来岁嘛
[1638.53-1640.53] 那时候德国小朋友
[1640.53-1641.53] 小同学就问我
[1641.53-1644.53] 你们中国是不是一个警察国家
[1644.53-1645.53] 到处都是警察
[1645.53-1647.53] 我当时实话实说
[1647.53-1648.53] no no no
[1648.53-1649.53] on the country
[1649.53-1650.53] 正好相反
[1650.53-1651.53] on the country
[1651.53-1652.53] 中国没有警察
[1652.53-1654.53] 我在小的时候
[1654.53-1656.53] 在乡村里面没见过警察
[1656.53-1658.53] 警察是在电视里才有的
[1658.53-1663.53] 因为你在中国的五六十年代
[1663.53-1664.53] 六七十年代的乡村
[1664.53-1666.53] 包括八十年代乡村旅游
[1666.53-1668.53] 你还真见不着警察
[1668.53-1670.53] 因为没有工资能发到乡里边
[1670.53-1673.53] 村里边去雇用警察服务
[1673.53-1676.53] 那这样的社会如何维持
[1676.53-1680.53] 广大基层群众的安全和公平呢
[1680.53-1684.53] 那不就是暴力和宗族的道德吗
[1684.53-1685.53] 好了
[1685.53-1687.53] 当正式的司法不可用时
[1687.53-1691.53] 民间就会产生替代的产物
[1691.53-1693.53] 而这种替代的解决机制
[1693.53-1697.53] 就是遍布中国的武侠机制
[1697.53-1699.53] 换句话说
[1699.53-1701.53] 武侠建立的社会基础
[1701.53-1706.53] 正是被不可靠的正式司法体制逼出来的
[1706.53-1708.53] 金庸的武侠小说
[1708.53-1713.53] 往往不提这些侠客们的生活收入来源
[1713.53-1715.53] 飞来飞去就有烧鸡齿
[1715.53-1716.53] 而事实上
[1716.53-1718.53] 这些侠客的服务并不是免费的
[1718.53-1722.53] 而是由整个社会体系提供的收费服务
[1722.53-1724.53] 这些侠客的收费服务
[1724.53-1729.53] 就是中国传统意义上的黑社会的收入来源
[1729.53-1731.53] 2008年的记录
[1731.53-1732.53] 不吃了吧
[1732.53-1734.53] 不说我水了吧
[1734.53-1737.53] 中国的合法暴力控制者
[1737.53-1738.53] 长期缺位
[1738.53-1741.53] 导致了这个社会公平问题日益严重
[1741.53-1743.53] 当一个人营养不良的时候
[1743.53-1746.53] 他就会大口的吃替代食品
[1746.53-1749.53] 所以我们中国人就特别需要
[1749.53-1751.53] 在幻觉中吞食
[1751.53-1756.53] 代表着公平与正义的武侠文学
[1756.53-1760.22] 长此以往
[1760.22-1762.22] 依靠武侠维持秩序
[1762.22-1768.22] 人们必然会自发的形成宗族与家族势力
[1768.22-1772.22] 自顾黑帮打手与家丁
[1772.22-1775.22] 而你作为社会的一份子
[1775.22-1778.22] 如果你依附到了一个强势的家族
[1778.22-1781.22] 你的所谓的公平问题
[1781.22-1784.22] 甚至还没有发生就解决了一半
[1784.22-1785.22] 就是你跟别人打
[1785.22-1786.22] 你有家族
[1786.22-1787.22] 后边罩着
[1787.22-1788.22] 他没有
[1788.22-1789.22] 你不用跟他打
[1789.22-1790.22] 你已经赢了
[1790.22-1793.22] 甚至在你想欺负对方的时候
[1793.22-1795.22] 你也可以战斗上风
[1795.22-1799.98] 而跟一个完全没有家族背景
[1799.98-1803.98] 没有势力群体做依靠的个人无政府状态相比
[1803.98-1805.98] 你占尽了优势
[1805.98-1807.98] 这也就是说
[1807.98-1809.98] 这也就是解释了
[1809.98-1814.98] 有宗族与家族势力范围的中国的边缘地区
[1815.98-1821.98] 往往比王朝中心地区经济更加发达
[1821.98-1828.98] 社会契约更容易实施及执行的根源所在
[1828.98-1830.98] 这种武力的宗族彼此威胁
[1830.98-1834.98] 可以迫使当事交易的双方不违约
[1834.98-1837.98] 不侵占彼此的产权与权益
[1837.98-1838.98] 因此
[1838.98-1842.98] 人民自然就乐于进行经济活动
[1842.98-1844.98] 这一地区的经济就更加的发达
[1845.98-1849.98] 秦晖教授考据数据显示
[1849.98-1851.98] 土改之前
[1851.98-1855.98] 珠三角的足田比重在50%
[1855.98-1860.98] 而浙江南部的足田比重则高达80%
[1860.98-1862.98] 相比之下
[1862.98-1865.98] 王朝中心地区的关中地区
[1865.98-1869.98] 中原地区足产不到总地产的1%
[1869.98-1875.61] 那么这种中国不通区域间的多级秩序
[1875.61-1877.61] 就是多层次秩序
[1877.61-1880.61] 到处都是宗族势力家族黑帮势力的
[1880.61-1881.61] 这样多级社会
[1881.61-1884.61] 所谓的封建凝结合的社会
[1884.61-1885.61] 有利于经济发展呢
[1885.61-1888.61] 还是中国中央集权大一统时代
[1888.61-1890.61] 中央集权刚刚建立的时代
[1890.61-1891.61] 有利于经济发展呢
[1891.61-1893.61] 因为中国经济数据的缺失
[1893.61-1897.61] 无法从中国本身的历史中找到证据
[1897.61-1901.61] 但是我们可以在世界的历史中找到证据
[1901.61-1906.61] 找到证据的原理和原因就是
[1906.61-1908.61] 1714年之后
[1908.61-1911.61] 英帝国建立的第一次全球化
[1911.61-1916.61] 就是大英日不落帝国的时代的将近200年的全球化
[1916.61-1918.61] 是英国主导的单极世界
[1918.61-1922.61] 而在英国主导的单极社会世界这200年
[1922.61-1926.61] 有发达的经济记录与历史数据
[1926.61-1928.61] 1913年
[1928.61-1934.61] 全球外贸外资50%流向了当时的穷国
[1934.61-1935.61] 不发达国家
[1936.61-1941.61] 只有46%流向了发达国家
[1941.61-1947.61] 流向发展中国家的资金比现在远远为高
[1947.61-1953.66] 而著名经济学家凯恩斯认为
[1953.66-1956.66] 19世纪殖民地国家的公司
[1956.66-1959.66] 不仅能像英国本土的公司一样在英国融资
[1959.66-1962.66] 而且它所需要支付的融资成本
[1962.66-1965.66] 并不比英国本土公司融资成本大多少
[1965.66-1966.66] 那时候的资本
[1966.66-1968.66] 在贫穷国家
[1968.66-1974.66] 英联邦的殖民地与发达国家之间相对平衡的流动
[1974.66-1981.66] 因为英联邦的殖民地采用的是英联邦本身的法律与经济制度
[1981.66-1983.66] 再加上大英帝国海军的保护
[1983.66-1986.66] 使得任何的英国的投资者
[1986.66-1991.66] 对他们进行的海外投资的履约与安全充满了自信
[1991.66-1992.66] 相应的
[1992.66-1997.66] 法国以及其他欧洲列强也采取了同样的手段
[1997.66-2001.66] 使他们的殖民地的海外投资充满了安全
[2001.66-2003.66] 这是凯恩斯说的
[2003.66-2004.66] 不是我说的
[2004.66-2007.66] 而第二次世界大战结束之后
[2007.66-2010.66] 在美国的施压下
[2010.66-2013.66] 英国、法国、德国纷纷放弃了殖民地
[2013.66-2016.66] 各个殖民地国家纷纷独立
[2016.66-2018.66] 加入了联合国
[2018.66-2021.66] 联合国成为了实行国际法
[2021.66-2024.66] 以及主持国际关系的新的平台
[2024.66-2026.66] 代替了英国、法国的殖民地的经济
[2026.66-2031.66] 这就造成了联合国大会联大一开
[2031.66-2032.66] 一国一票
[2032.66-2034.66] 大部分的国家又都是穷国
[2034.66-2037.66] 使得联大变成了站在穷国立场上
[2037.66-2041.66] 偏袒发展中国家的这么一个集体
[2041.66-2044.66] 要求发达国家在海外交易中
[2044.66-2045.66] 步步让步
[2045.66-2050.66] 这逼的海外的投资者及聪明的资金
[2050.66-2054.66] 放弃了不安全的发展中国家的法律环境
[2054.66-2055.66] 而回到了
[2055.66-2062.66] 海外产权和合约纠纷相对不存在的本国本土
[2062.66-2063.66] 结果是
[2063.66-2066.66] 发达国家的投资者不愿意将大量的资金
[2066.66-2069.66] 放到法制与合同履行不规范
[2069.66-2072.66] 产权保护不到位的国家
[2072.66-2074.66] 而多级事件
[2074.66-2079.66] 习近平、金尚倡导的多级事件
[2079.66-2081.66] 有没有历史数据可查
[2081.66-2083.66] 有,真的有
[2083.66-2085.66] 习主席、金尚、习皇帝
[2085.66-2088.66] 我皇亲上想造的多级事件
[2088.66-2090.66] 其实他造过
[2090.66-2091.66] 人类造过
[2091.66-2092.66] 不是他第一次
[2092.66-2094.66] 他可能以为他第一次
[2094.66-2095.66] 什么时间呢
[2095.66-2098.66] 就是第一次世界大战之后
[2098.66-2100.66] 1918年第一次世界大战之后
[2100.66-2102.66] 第二次世界大战之前
[2102.66-2104.66] 那个世界是一个三级世界
[2104.66-2109.66] 第一个级就是法西斯势力的德意日三级
[2109.66-2113.66] 第二个级就是英美老牌资本主义的第二级
[2113.66-2115.66] 第三级就是新兴的苏维埃
[2115.66-2117.66] 苏联、东欧这一级
[2117.66-2120.66] 一战二战之前是一个三级世界体制
[2120.66-2123.66] 三级世界体制的数据是这样的
[2123.66-2125.66] 在三级之间
[2125.66-2128.66] 互相独立、互相战争
[2128.66-2130.66] 不利于国际贸易
[2130.66-2132.66] 使得跨国交易的成本大大增加
[2132.66-2136.66] 当时贸易保护主义在全球纷纷出现
[2136.66-2138.66] 各国关税壁垒
[2138.66-2141.66] 甚至各国高建关税壁垒
[2141.66-2144.66] 甚至英国都开始制造关税壁垒
[2144.66-2147.66] 这在1914年之前的英国是不可想象的
[2147.66-2151.66] 英国将某些商品的关税提高到了80%
[2151.66-2155.66] 这在当时的历史上是第一次出现
[2155.66-2157.66] 这个三级世界
[2157.66-2161.66] 那么这个三四十年代地球上的三级世界
[2161.66-2165.66] 和之前英联邦的单级世界
[2165.66-2169.66] 和二战之后美国主导的所谓的单级世界相比
[2169.66-2172.66] 毫无疑问是效率最低的一段时间
[2172.66-2175.66] 天亮造了二次大战的苦果
[2175.66-2177.66] 而在二次大战之后
[2177.66-2179.66] 其实也不是马上进入了一级世界
[2179.66-2180.66] 而是有两级世界
[2180.66-2183.66] 当时的前苏联那一级并没有被抹掉
[2183.66-2186.66] 也是彼此之间有关税壁垒
[2186.66-2187.66] 各种贸易壁垒
[2187.66-2188.66] 各种法律壁垒
[2188.66-2189.66] 外交壁垒
[2189.66-2190.66] 军事壁垒
[2190.66-2191.66] 各种冷战
[2191.66-2194.66] 甚至小规模的摩擦热战和代理人战争
[2194.66-2195.66] 有记忆的都知道
[2195.66-2199.66] 那个时候的全球贸易体系是分两块的
[2199.66-2200.66] 彼此之间并不互串的
[2200.66-2202.66] 就是东方和西方
[2202.66-2205.66] 华约国家和北约国家
[2205.66-2208.66] 社会主义和资本主义
[2208.66-2216.35] 那么中国只要法治体系没有建立健全
[2216.35-2221.35] 没有跟上人家昂格鲁萨克逊的800年的进化
[2221.35-2224.35] 昂格鲁萨克逊的法治体系
[2224.35-2227.35] 他根在一二几几年
[2227.35-2228.35] 光荣大宪章
[2228.35-2229.35] 一二五几年
[2229.35-2230.35] 我记得
[2230.35-2231.35] 光荣革命
[2232.35-2233.35] 英国大宪章
[2233.35-2234.35] 人治
[2234.35-2235.35] 就开始向法治过渡
[2235.35-2237.35] 一步一步的走到今天
[2237.35-2240.35] 积累了800年的法治经验
[2240.35-2242.35] 你今天还不跪服
[2242.35-2244.35] 好好学习人家的先进经验
[2244.35-2246.35] 还搞什么三级经验
[2246.35-2248.35] 还搞什么党管一切
[2248.35-2249.35] 你还搞什么封建王朝
[2249.35-2250.35] 历史多次证明
[2250.35-2252.35] 这个东西行不通的
[2252.35-2255.35] 只要法治还没有进步
[2255.35-2259.35] 只要武侠还是我们中国流行文化的主要元素
[2259.35-2261.35] 就说明正式的司法体制
[2261.35-2263.35] 路漫漫其修远
[2263.35-2266.79] 什么时候真正的法治
[2266.79-2268.79] 真正的公平能够建立起来
[2268.79-2271.79] 武侠文化自然就没有土壤
[2271.79-2272.79] 你看美国西部就是
[2272.79-2274.79] 美国西部大开发的时候
[2274.79-2275.79] 到处都是牛仔武侠文化
[2275.79-2277.79] 它现在怎么没有西部文化
[2277.79-2278.79] 没有西部片了
[2278.79-2279.79] 因为不好使了
[2279.79-2280.79] 有法律了
[2280.79-2281.79] 有法治了
[2281.79-2282.79] 有律师了
[2282.79-2284.79] 你他妈拿个左轮手枪
[2284.79-2287.79] 你再耍流氓试试
[2287.79-2289.79] 你用暴力解决问题
[2289.79-2290.79] 你试一试
[2290.79-2291.79] 你在今天的加州
[2291.79-2292.79] 你把枪掏出来了
[2292.79-2293.79] 解决问题
[2293.79-2294.79] 不要开枪
[2294.79-2296.79] 你只要把枪在街上掏出来一下
[2296.79-2297.79] 你试试
[2297.79-2300.79] 你比要抢你的人的罪还要严重
[2300.79-2302.79] 因为有了法治
[2302.79-2303.79] 有了规矩
[2303.79-2304.79] 武侠文化的土壤
[2304.79-2306.79] 无论是中是西
[2306.79-2307.79] 都是一样的
[2307.79-2308.79] 它自会消失
[2308.79-2309.79] 而没有法治
[2309.79-2310.79] 没有公平
[2310.79-2313.79] 武侠文化的土壤就自会生成
[2313.79-2317.79] 它是一个互补的自然替代过程
[2317.79-2318.79] 我们今年
[2318.79-2319.79] 我们近期
[2319.79-2322.79] 中国出现了大量的以中华文明
[2322.79-2325.79] 以中国五千年的历史积累
[2325.79-2328.79] 以中国儒士道的这种传统
[2328.79-2330.79] 优秀道德品质
[2330.79-2331.79] 征服世界
[2331.79-2333.79] 为世界发展指明方向
[2333.79-2334.79] 这真的吗
[2334.79-2336.79] 这是真的吗
[2336.79-2338.79] 今上吹牛逼的那些东西
[2338.79-2339.79] 他真的相信吗
[2339.79-2340.79] 大家想一想
[2340.79-2342.79] 我们自己的文明
[2342.79-2344.79] 我们中国的自己文明
[2344.79-2347.79] 是不是真的像四书五经描述的那样
[2347.79-2348.79] 温文尔雅
[2348.79-2350.79] 温情默默
[2350.79-2351.79] 那么的儒雅
[2351.79-2352.79] 那么的儒雅
[2352.79-2353.79] 那么的以和为贵
[2353.79-2355.79] 那么的中庸之道呢
[2355.79-2358.79] 是真的吗
[2358.79-2359.79] 如果是真的
[2359.79-2363.79] 为什么武侠文化在中国那么发达呢
[2363.79-2365.79] 有史以来
[2365.79-2366.79] 有史以来
[2366.79-2368.79] 他就没有不发达过呢
[2368.79-2370.79] 在社会层面
[2370.79-2372.79] 在人民群众内部
[2372.79-2373.79] 武侠文化
[2373.79-2374.79] 武侠小说
[2374.79-2377.79] 武侠题材的高度繁荣
[2377.79-2380.79] 是否从另一侧面印证了中国的法治
[2380.79-2382.79] 以及中国的所谓的世界
[2382.79-2383.79] 武侠的大历史
[2383.79-2385.79] 大夫的人一理直信
[2385.79-2389.33] 完全是虚伪的表皮呢
[2389.33-2391.33] 请我的观众们深入的思考
[2391.33-2397.33] 再说这个话题水还是不水
[2397.33-2399.33] 好了
[2399.33-2401.33] 希望大家都跟老王多聊聊天
[2401.33-2402.33] 多扯扯蛋
[2402.33-2403.33] 多点赞
[2403.33-2404.33] 多订阅
[2404.33-2407.33] 突破共产党对我的封锁
[2407.33-2409.33] 把我捧成网红
[2409.33-2410.33] 谢谢大家
[2410.33-2411.33] 再见
[2411.33-2412.33] 江湖不远
[2412.33-2413.33] 遲早相见
[2414.33-2416.33] 我们江湖见
[2416.33-2418.29] 在武侠的世界里
[2418.29-2421.09] 国内的人民群众
[2421.09-2422.53] 大洪水时代
[2422.53-2424.01] 不是每个人都能润
[2424.01-2425.39] 如果没有润的话
[2425.39-2426.97] 你囤粮食
[2426.97-2427.93] 囤金条
[2427.93-2429.85] 同时你还要锻炼身体
[2429.85-2431.35] 多学武功
[2431.35-2435.07] 多学一些暴力
[2435.07-2436.93] 有的用
[2436.93-2437.57] 用得着
[2437.57-2439.41] 这是五千年老祖宗
[2439.41-2440.75] 留下来的智慧
[2440.75-2441.53] 再见
