[3.44-5.08] 哈喽大家好啊
[1323.42-1326.74] 从小在郊外长大被姥姥姥爷一手带大
[1327.00-1330.58] 对他的感情非常深从小我就生活在大家庭的概念里
[1330.84-1334.16] 我和妈一起生活父母在我10岁时离婚了说实话
[1334.42-1336.72] 我现在基本记不太清楚我爸爸的样子
[1336.98-1340.06] 虽然我是在单亲家庭长大但是我有四个舅舅
[1340.30-1343.64] 舅舅和舅妈们都对我非常好我的姥姥姥爷对我更好
[1343.90-1346.46] 实际生活里我一直称呼他们为爷爷奶奶
[1346.70-1348.50] 小时候我一直不知道自己是外孙子
[1348.50-1350.30] 全家人都护着我宠着我
[1350.80-1354.90] 表姐表妹们都围着我我是一个妥妥的土皇帝我特别感谢他们
[1355.16-1356.70] 我才有了一个正常的三观
[1356.94-1358.48] 你属于在挖地大费拉
[1358.74-1362.84] 这个潦草的世界里面的奇葩我操你这太拉筋了你
[1363.60-1365.90] 我是02年参加的高考感谢高考
[1366.16-1370.78] 让我有机会去到了上海大老王形容自己第一次见识到香港夜景的繁华
[1371.02-1374.36] 被震惊到的时候也让我想到了自己第一次
[1374.62-1377.42] 见到南京路步行街和外滩时的那种震撼
[1377.42-1380.50] 我只能用震撼来形容自己当时的感受
[1380.74-1383.56] 因为高考之前我从来没离开过自己的家乡
[1384.58-1386.90] 我至今还记得站在外滩的人流里
[1387.14-1388.94] 迎面一个又高又俊的男人
[1389.20-1392.26] 穿着类似许文强同款的大衣带着无线耳机
[1392.52-1395.34] 仿佛目视我而来又擦肩而过
[1395.60-1399.44] 整个过程中他那口流利的英语给我留下了一辈子的印象
[1399.70-1403.28] 那时我在心里反复的告诉自己你真的来上海了
[1404.04-1404.82] 幸亏
[1405.06-1406.10] 你还比较坚定
[1406.34-1407.38] 要不然你就被掰弯了
[1407.68-1409.98] 那一年
[1411.26-1413.06] 搞不好就是我吧那个男人
[1413.56-1417.92] 我记得我同样的时间穿着许文强同款的米色的大衣
[1418.18-1419.70] 在外滩走来走去
[1419.96-1423.04] 搞不好你见过的是我年轻的时候那个版本的大佬
[1424.58-1426.62] 毕业后弯弯绕绕始终坚守在上海
[1426.88-1428.42] 并且去到一家不错的企业
[1428.66-1431.22] 不是说工资有多高而是有机会可以看世界
[1431.48-1433.02] 同时可以打磨自己的专业
[1433.28-1437.38] 我和许多外国的工程师一起工作过也出差去过一些国家因为工作的
[1437.68-1437.94] 关系
[1438.18-1443.06] 过去的几年里我和老婆一起在国外居住生活最近又刚刚迁徙到欧洲某国
[1443.56-1446.12] 如果说我过去几年有什么收获那就是
[1446.38-1448.42] 我和老婆在国外一起受
[1448.68-1449.20] 沁了
[1449.46-1449.96] 就是
[1450.22-1451.24] 板一
[1451.50-1452.52] 我鸡
[1452.78-1454.06] 板一我噎了
[1455.08-1456.62] 我觉得也是
[1456.88-1457.64] 从那时候起
[1457.90-1459.94] 我开始以不同的角度看待生活
[1460.20-1463.02] 借助主的帮助我明白了基督徒要逃离
[1463.28-1466.10] 尤其是要逃离老王所说的五浊乱世的地方
[1466.34-1467.38] 要向罗德那边
[1467.68-1469.22] 一无反顾的逃离索多玛
[1469.72-1470.24] 不要回头
[1470.50-1471.78] 你真的是
[1472.02-1476.12] 通过基督教证悟
[1476.64-1479.20] 其实老王开这个流氓频道
[1479.46-1480.22] 说书频道
[1480.74-1482.26] 也是有点那个意思
[1482.52-1484.82] 但是我没有人家基督那么伟大
[1485.08-1485.86] 我会
[1486.62-1488.16] 把一些
[1488.66-1490.20] 所谓的深刻的道理用
[1490.46-1493.02] 特别容易懂的方式给大家
[1493.28-1497.12] 散播出去这就是我要粉丝的真正原因其实
[1497.68-1499.72] 就是我一定告诉海外的孝子
[1499.98-1500.74] 孝女们
[1501.00-1502.02] 你们不要抑郁
[1502.28-1505.86] 你们不要垫着老回国养你们的父母
[1506.12-1507.14] 24孝那个是
[1507.66-1509.20] 那个是糟糕
[1509.70-1511.76] 其实和罗德
[1512.02-1514.06] 一家逃离索多玛的时候
[1514.32-1516.88] 天使告诉他不要回头是一个道理
[1517.38-1519.44] 就是真的不要回头
[1519.70-1521.22] 因为你们的未来
[1521.48-1523.02] 在远方在前方
[1523.28-1524.04] 你们回头
[1524.30-1526.34] 犹犹豫豫犹豫不决
[1527.42-1528.44] 摇摆不定
[1529.22-1532.28] 最后的结果是你们会被吸回索多玛变成
[1532.54-1535.36] 炎柱永远的矗立在那个山坡上
[1535.62-1536.38] 供人评调
[1537.14-1537.92] 所以
[1538.18-1540.22] 当我们都知道中国的趋势的时候
[1540.74-1541.76] 勇敢的
[1542.02-1544.58] 决绝的甚至是残酷无情的截断
[1544.82-1548.66] 与侮辱恶势的一切联系实际上是最棒的正道
[1548.92-1550.72] 就像我昨天晚上念的那个
[1550.98-1554.56] 小姑娘北欧的那个小姑娘江南小城的父母
[1554.82-1555.84] 进了北京
[1556.10-1557.12] 大机关
[1557.94-1559.22] 自私为所
[1559.46-1560.50] 就这么一个独生女儿
[1560.74-1564.08] 女儿要去北欧还拆人家的台不给人家经济资助
[1564.34-1566.90] 然后女儿现在成了家想回去看他们
[1567.40-1570.48] 他们还怕人家艾滋病传染自己
[1570.74-1572.78] 怕人家他们是国外的身份
[1573.04-1576.36] 影响自己的前程一个已经退休的老求老太太
[1576.62-1579.94] 影响自己的前程有多么的自私那个就是索罗马大家不要回头看
[1580.20-1581.48] 就是这个意思
[1582.76-1585.84] 大老王说到自己第一次在台北桃园机场经历
[1586.10-1587.38] 说自己忍了很久不哭
[1587.68-1589.72] 其实当你在回忆那几句话的时候
[1589.98-1592.80] 屏幕前的我也是一直忍着不流泪
[1593.06-1596.12] 总之莫名其妙的感动因为台湾人向世界证明了
[1596.38-1598.94] 我们这个族群也是可以成为文明人的
[1599.46-1602.26] 原来我们这个族群也是可以遵守游戏规则的
[1602.52-1604.58] 原来我们这个族群也有契约的精神
[1604.82-1606.36] 台湾的存在本身就打破了
[1606.62-1608.42] 对岸所有的谎言没错
[1609.44-1610.98] 我敬佩台湾的一种人
[1611.48-1612.50] 就是台湾
[1612.76-1614.04] 坚定的为中华民国
[1614.30-1616.34] 哪怕是中华民国在台湾打拼
[1616.60-1618.38] 争取他们生存空间
[1618.64-1619.42] 这我敬佩他们
[1619.92-1620.70] 敢喊
[1620.94-1621.98] 中华民国万岁
[1622.22-1623.00] 中华民国万岁
[1623.26-1624.02] 我佩服你们
[1624.28-1624.78] 是条汉子
[1626.06-1628.62] 真正想台独的那些人
[1628.88-1633.74] 发明字母文字做台语彻底割裂出去的人
[1634.00-1635.02] 你们要真正敢喊
[1635.28-1636.82] 台湾独立万岁我也佩服你们
[1637.08-1638.36] 虽然我不同意你们
[1638.86-1640.40] 但是我生活在这片土地上
[1640.66-1642.20] 你们生活在那片土地上
[1642.46-1643.98] 我也没有权利干扰你们
[1644.24-1646.04] 你们就像魁北克一样想说话
[1646.34-1649.42] 我想独立那加拿大其他省没有任何理由去干扰你们
[1649.66-1652.22] 虽然我在心里面骂你们一句傻逼
[1652.48-1653.76] 我鄙视你们但是你们可以
[1654.02-1656.58] 跟我们互道傻逼交错而过
[1656.84-1657.86] 从此人生
[1658.12-1659.14] 和国家
[1659.40-1663.50] 文明不沾任何的关系我们走我们的路你们走你们的路
[1663.74-1664.78] 其实都挺好
[1665.02-1665.54] 都可以
[1665.80-1667.34] 但是我最鄙视的就是
[1667.84-1669.38] 心里想着这样
[1669.64-1670.92] 但是嘴上又说
[1671.42-1675.02] 又不敢说中华民国是个屎
[1675.26-1676.04] 扔进垃圾框
[1676.34-1678.14] 台湾独立万岁你们又不敢喊
[1678.38-1680.70] 我真的是很鄙视这些人
[1680.94-1682.22] 这些孙子
[1682.48-1685.30] 就是在台湾岛里面当然我相信是小部分
[1685.56-1686.32] 是真正的
[1686.58-1687.34] 就是真的是
[1687.60-1688.12] 猥琐
[1688.88-1692.22] 在台湾岛上的这种人就是不承认自己是中国人
[1692.46-1695.02] 甚至在基因上否定自己是中国人的人
[1695.54-1696.30] 其实
[1696.56-1697.34] 在北美
[1697.84-1699.64] 在加拿大在美国也有
[1699.90-1700.66] 而且很多
[1700.92-1702.20] 所谓的知黑
[1702.46-1705.02] 就是说我跟基因上我就不是中国人
[1705.02-1706.82] 就不要提文化了
[1707.06-1708.60] 我就把中国的一切都要否定
[1708.86-1711.16] 这种人其实是特别自私的
[1711.68-1712.96] 他本质上是什么呢
[1713.22-1714.24] 我跟你一语道破
[1714.50-1717.30] 他本质上就是泰坦尼克号下沉了以后啊
[1717.56-1720.12] 在救生艇上打别人的手的人
[1720.64-1723.96] 泰坦尼克沉了以后救生艇上好多人掉到水里
[1724.22-1725.24] 往救生艇上扒
[1725.50-1728.32] 他不是把别人从水里捞出来
[1728.58-1729.86] 他是怕别人占了他的位置
[1730.62-1731.14] 他拿
[1731.90-1734.72] 那个奖他把人家手给人打
[1735.02-1736.56] 打坏了把人给推到水里去
[1737.32-1738.86] 尽快把救生艇划走
[1739.12-1740.14] 不等着新的人
[1740.66-1744.24] 这些人实际上是顶级极端自私的人
[1744.50-1745.78] 是上屋抽屉
[1746.54-1747.56] 过河柴桥
[1747.82-1750.64] 他自己逃出来了他不在中国了
[1750.90-1753.46] 然后他就恨不得中国的一切都沉没
[1753.70-1755.24] 中国的一切都和平
[1755.76-1757.80] 动不动就是大洪水全部消灭
[1758.06-1760.88] 最好是那片土地上的人全部死光
[1761.14-1764.46] 费拉这些人跟大陆的小粉红二级管
[1764.46-1765.22] 是一种人
[1767.54-1770.10] 被主带领我们来到欧洲一个星期
[1770.60-1773.16] 就被一对台湾老夫妻带入当地教会
[1773.42-1775.72] 认识了很多的美国人和台湾人
[1775.98-1777.52] 台湾人给我的感觉真的很好
[1777.78-1781.10] 他们来欧洲求学多是艺术类专业
[1781.36-1785.96] 不论他们生活中做什么几乎都会以两个乐器吉他钢琴精通音律
[1786.22-1789.56] 和他们一比我觉得自己只是一个可以会挣钱会吃
[1789.80-1790.58] 喝的动物
[1791.60-1792.36] 我和老婆
[1792.62-1794.68] 目前都在学当地的语言
[1794.92-1795.96] 学成之后我希望换
[1796.26-1798.30] 工作彻底和现在的工作分离
[1798.56-1800.10] 哪怕去超市我都愿意
[1800.36-1804.70] 然后努力的工作努力留下来对于我们来说有一份养家糊口的收入
[1805.22-1807.52] 可周末可以在教会里唱歌
[1807.78-1808.54] 度过主日
[1808.80-1812.12] 身边有台湾美国的兄弟姐妹感觉真是最大的恩典
[1812.38-1815.46] 由于我正在逃离索多玛的路上所以不方便
[1815.72-1817.76] 不方便公开自己公司的信息
[1818.02-1820.84] 一旦成功的逃离了索多玛我会再给大老王写信
[1821.08-1823.14] 向大老王道声平安
[1823.40-1825.96] 也向所有在逃离路上的有缘人道声平安
[1826.26-1831.12] 再次感谢大老王愿你的频道成为自由之灯塔黎明之曙光
[1831.38-1835.98] 照亮更多人的信心愿神的爱主的恩典基督的救赎与我们同在
[1836.24-1840.60] 好啊我盼望着你尽早给我发来这封信这封信读起来好轻松
[1842.90-1847.24] 盼望着你彻底逃离索多玛的好消息拿到当地的身份
[1848.02-1850.32] 教会是
[1850.58-1851.60] 主和
[1851.86-1854.16] 基督给我们
[1854.42-1855.96] 凡人提供的方便
[1856.26-1858.56] 提供的救赎的
[1858.82-1859.58] 法子
[1859.84-1861.64] 救赎的救生艇
[1862.14-1865.48] 虽然我不是基督徒但是我特别能
[1865.72-1866.50] 领悟
[1866.76-1868.80] 和感受到
[1869.06-1872.90] 主与基督这些圣人在打造
[1874.18-1876.48] 三宝在打造那是佛家的
[1876.74-1879.56] 但是这边也一样在打造
[1879.80-1883.40] 三位一体的这个基督教的体系的时候的
[1883.64-1884.92] 良苦用心
[1886.26-1886.76] 凡人
[1887.02-1889.58] 通过这样的一个一个的小法子
[1890.10-1891.88] 能够按着
[1892.40-1896.50] 圣经的指引在圣徒的路上行善事
[1896.76-1897.52] 不作恶
[1898.80-1901.88] 这个是帮助人类生为的最简单的办法
[1902.38-1905.20] 那你说神到底是真的还是假的
[1905.72-1909.30] 上帝到底真的是用了七天造世界是不是真是不是假
[1909.56-1911.08] 其实这个其实都不重要
[1911.86-1914.42] 已经不重要了因为什么只要你到了这个
[1914.68-1915.70] 救赎的法子上
[1916.00-1917.28] 你至少不作恶了
[1917.54-1918.82] 至少不堕落了
[1919.08-1920.60] 你要知道人类
[1920.86-1924.96] 平均看人类有多么的可悲有多么的苗草
[1925.98-1927.00] 不光是中国人
[1927.52-1930.60] 任何一个国家任何一个民族的人类都是有共性的
[1930.84-1934.18] 就是只要不持时勤赴事勿施染尘埃
[1934.44-1938.02] 他就会堕入恶道五浊落世这是一种本能
[1938.28-1939.80] 就是所谓基督讲的原罪
[1940.06-1940.84] 就是我们
[1941.08-1942.62] 我们往堕落上
[1942.88-1943.64] 就是一种
[1943.90-1945.44] 不可阻止的趋势
[1946.00-1948.04] 所以智者是极其少的
[1948.56-1949.84] 有智慧的人特别少
[1950.10-1950.60] 怎么办
[1951.64-1953.94] 我们的先贤就发明了宗教
[1954.44-1955.72] 用教会
[1955.98-1958.54] 用这种一个一个的小法子用佛法
[1958.80-1959.82] 用僧团
[1960.08-1962.38] 保持着尽可能多的人
[1962.64-1964.68] 保持善念虽然他很傻
[1965.20-1968.02] 虽然他可能不能达到基督和
[1968.28-1969.56] 释迦摩尼同样的
[1969.80-1970.84] 级别领悟
[1971.08-1973.64] 世界的真谛但是至少他不堕落
[1974.42-1975.70] 那在这个过程中
[1976.00-1977.28] 漫长的历史时间
[1977.54-1979.32] 会让新的圣徒
[1979.84-1980.60] 脱颖而出
[1980.86-1983.16] 只要不堕入到新的五浊恶世里面
[1983.42-1984.96] 圣徒的出现
[1985.72-1986.76] 人类的生为
[1987.00-1988.28] 就只是一个时间的问题
[1988.80-1990.34] 至少人类不会
[1990.60-1991.10] 毁灭
[1991.36-1993.40] 我相信以前地球上如果有
[1993.92-1995.46] 有前代文明的话
[1995.72-1997.24] 他们毁于河寨也好毁于
[1998.28-1999.04] 大的灾难也好
[1999.56-2001.86] 一定是因为他们没有这样的宗教
[2002.12-2004.42] 没有博爱没有劝人向善的宗教
[2004.68-2005.70] 所以从这个角度去看
[2006.00-2007.28] 宗教才是
[2007.54-2008.30] 真正的
[2008.82-2009.32] 法眼
[2009.58-2009.84] 慧眼
[2010.60-2012.40] 只要这个宗教教人向善
[2013.42-2014.70] 教人证悟菩提
[2014.96-2017.26] 教人做善事不做恶事
[2018.28-2019.32] 教人爱
[2019.56-2020.60] 不是教人恨
[2020.84-2023.66] 教人养而不是教人杀的话
[2024.44-2025.72] 这个宗教就不是邪教
[2026.74-2028.52] 无论这个宗教有多么的
[2028.78-2029.30] 心
[2029.80-2030.84] 有多么的
[2031.08-2031.86] 刚出现
[2032.12-2034.68] 他的教主离你多么的近你多么的看不起他
[2034.92-2035.70] 因为他的教主
[2036.00-2037.28] 他也扣皮屎
[2037.80-2039.08] 他也
[2040.10-2041.12] 拉屎擦屁股
[2041.64-2042.92] 他也打扑克牌
[2043.16-2044.96] 但是你不要小看他
[2045.22-2048.54] 他只要教给大家的是真实的善良的
[2048.80-2049.56] 忍耐的
[2049.82-2050.84] 是爱的
[2051.88-2052.90] 就不要剿灭他
[2053.92-2055.20] 这个就是一个法子
[2056.22-2058.52] 尽可能多的人上这个法子之后啊
[2059.04-2061.08] 五浊恶事才会离我们越来越远
[2061.60-2063.40] 最可怕的是什么最可怕的是
[2064.42-2065.96] 不信宗教什么都不信
[2066.26-2067.28] 心无
[2067.80-2068.30] 敬畏
[2068.56-2070.10] 这才是最恐怖的
[2070.36-2073.68] 就共产党的一套唯物主义这最恐怖的什么都不信
[2073.94-2074.70] 没有灵魂
[2074.96-2079.32] 没有转世没有报应什么都不信物质决定一切物质没什么都没
[2079.56-2081.36] 干起坏事来太可怕了
[2082.90-2084.18] 什么坏事都能干出来
[2084.44-2090.32] 很快就滑入五浊恶世了所以现在中国的这些领导人就是这一拨人起来的
[2090.58-2091.86] 50年代出生的
[2092.12-2095.18] 这都红卫兵根本不信佛不信鬼
[2095.44-2095.96] 虽然他们也
[2096.22-2096.72] 也败
[2096.98-2098.26] 但是他们那种败
[2098.52-2099.54] 不是信
[2099.80-2100.32] 信仰
[2100.56-2101.34] 他是交易
[2101.84-2103.38] 他是要贿赂
[2103.64-2104.40] 鬼神
[2105.44-2106.46] 贿赂高危生命
[2106.72-2110.56] 买自己的一个什么东西我付出什么东西他跟买东西是一样的
[2110.80-2112.08] 他不是发自你心的信仰
[2112.60-2114.14] 所以基督教在这方面
[2114.40-2117.20] 是最棒如果人类宗教排序的话
[2117.46-2118.48] 基督教是最棒的
[2118.74-2121.82] 因为基督教这套体系特别的合理它即使
[2122.32-2125.92] 即使得人类不忘五浊恶世滑的能量很强
[2126.22-2128.78] 又使得人类能够钻研世界
[2129.04-2130.56] 能够发明那么多好东西
[2130.82-2131.60] 发明法律
[2132.36-2135.18] 严守法律所以基督教真的是一个很好的宗教
[2135.44-2136.96] 如果我们有机会皈依的话
[2137.22-2138.24] 百依的话
[2138.50-2139.52] 百依我耶
[2139.78-2141.58] 那是我觉得是上策
[2142.60-2144.14] 当然百依我佛也可以
[2144.40-2146.18] 百依我佛是中策
[2147.46-2149.52] 下策我就不说了
[2149.76-2154.38] 省了引发宗教的人士的愤恨
[2154.88-2155.92] 所以这个
[2156.22-2157.76] 佛教也很好
[2158.00-2158.78] 佛教的
[2159.28-2162.36] 一些智慧真的也是璀璨的人类的光华
[2163.64-2165.68] 但是我觉得佛教的僧团体制
[2165.94-2167.22] 和教会体制
[2167.48-2170.04] 照比基督教来说的还差点事
[2170.56-2173.62] 真的还差点事基督教几乎是公私性质的
[2174.14-2176.18] 董事会呀什么监事会呀
[2176.44-2177.72] 这个东西人家都有
[2177.98-2180.02] 佛教
[2180.28-2181.04] 还比较初级
[2181.30-2184.88] 是不是能够我们在这方面努力
[2185.14-2185.92] 得了
[2186.22-2188.78] 都有人叫我王大总统了别再叫我王大教主了
[2189.28-2190.32] 好吧今天就这样吧
[2190.56-2192.88] 大家过一个好的周末拜拜
[2193.12-2197.22] 明天看情况吧明天有可能我就不更新新的了我把
[2197.48-2198.76] 旧的再剪辑剪辑
[2200.56-2202.60] 经纬一下再放上来一些
[2202.86-2204.14] 再见
