[4.62-6.88] 就是还有很多孩子不适应
[1288.92-1290.20] 如果我们调整好心态
[1290.20-1291.52] 调整好自己的这个精神
[1291.56-1293.44] 状态和肉体状态
[1293.44-1295.32] 你盛年而死的概率
[1295.32-1297.80] 从物理学和科学讲是不高的
[1297.80-1300.60] 正是因为你常年处于这个病病央央的
[1300.60-1304.08] 这种免疫力低下的这样一个状态
[1304.08-1305.64] 那是因为你心理不正常
[1305.64-1307.00] 心理不健康
[1307.00-1307.44] 哎呀
[1307.44-1308.32] 弱不禁风
[1308.32-1309.84] 那你你又不运动
[1309.84-1311.08] 你在天然之国
[1311.08-1312.36] 你一不打球
[1312.36-1313.68] 二不户外
[1313.68-1318.60] 那你家里连他妈的做饭
[1318.60-1319.36] 起切菜
[1319.36-1321.04] 你还要雇个保姆
[1321.04-1321.28] 那
[1321.28-1323.04] 你最后就像林黛玉一样
[1323.04-1324.36] 那个早邀了
[1324.36-1325.12] 没办法
[1325.12-1326.24] 你没有那么大的福报
[1326.24-1327.24] 你让这么多人伺候你
[1327.24-1328.68] 你就挂了
[1328.68-1330.68] 所以大家一定要平衡
[1330.68-1331.28] 要平衡
[1331.28-1333.12] 要作自己
[1333.12-1334.20] 每个人都知道
[1334.20-1336.56] 最后我们结个尾
[1336.56-1338.12] 上帝给我们开一扇门
[1338.12-1339.64] 一定会关一扇窗
[1339.64-1341.24] 给我们关一扇窗
[1341.24-1342.80] 同样会开一扇门
[1342.80-1344.56] 当上帝给你左手
[1344.56-1348.64] 装满了钱和金钱美女的时候
[1348.64-1350.52] 上帝一定在你的右手
[1350.52-1351.16] 放了
[1351.16-1351.96] 刀组
[1351.96-1353.84] 放了他妈的火药
[1353.84-1356.16] 所以你一定要认识到这一点
[1356.16-1357.88] 没有十全十美
[1357.88-1360.28] 所以当你觉得你的人生十全十美的时候
[1360.28-1362.28] 你要有意识的作自己一下
[1362.28-1363.88] 作自己一下
[1363.88-1367.36] 你要给自己设计挑战
[1367.36-1368.56] 新的挑战
[1368.56-1370.16] 难苦
[1370.16-1372.16] 要么去回去上学
[1372.16-1373.96] 要么去回去学手艺
[1373.96-1376.36] 就是一定要给自己学手艺
[1376.36-1377.28] 挑战起来
[1377.28-1380.76] 要么就是给自己去做苦行
[1380.76-1383.32] 你才能够人为的平衡改命
[1383.32-1384.08] 否则的话
[1384.08-1386.40] 真的有可能
[1386.40-1389.96] 那福报是你承受不了的
[1389.96-1390.48] 好了
[1390.48-1391.64] 今天就说这么多
[1391.64-1394.16] 老王跟大家又聊了一期
[1394.16-1395.16] 你不要怪我水
[1395.16-1396.40] 我真的不水
[1396.40-1398.52] 我经历的东西太多了
[1398.52-1399.80] 我这样的人
[1399.80-1401.16] 在中国做资本市场
[1401.16-1402.76] 比我做的好的人
[1402.76-1403.88] 真比我做的好的
[1403.88-1405.52] 不是说talker
[1405.52-1408.08] 要么就进去了
[1408.08-1409.40] 文火烤屁眼
[1409.40-1410.60] 要么就自杀了
[1410.76-1413.08] 要么就躲起来
[1413.08-1414.08] 藏起来了
[1414.08-1415.20] 谁也找不着了
[1415.20-1416.40] 愿意开油管
[1416.40-1417.68] 跟大家聊天的
[1417.68-1419.56] 我肯定不是最高水平
[1419.56-1421.28] 但是我是愿意出来的
[1421.28-1422.28] 最高水平
[1422.28-1425.04] 所以我看到的这些东西
[1425.04-1426.28] 给大家讲一讲
[1426.28-1428.48] 抑郁症离大家有多近
[1428.48-1430.08] 有多么可怕
[1430.08-1432.76] 其实这不是没有用的东西
[1432.76-1435.60] 大家学一些东西之后才能招财
[1435.60-1439.92] 比如说我的一个老大哥叫魏东
[1439.92-1440.44] 魏东
[1440.76-1442.88] 魏东其实他最后跳楼
[1442.88-1444.48] 就是因为抑郁症
[1444.48-1446.36] 我当时年轻
[1446.36-1447.76] 因为那时候我30岁
[1447.76-1449.68] 大家看我的面相就知道了
[1449.68-1451.28] 一副贪官污吏
[1451.28-1452.68] 满脸的酒色才气
[1452.68-1454.48] 一看就是那种对党不忠诚
[1454.48-1456.68] 然后在会议室里
[1456.68-1458.32] 开着直播摄像头
[1458.32-1460.24] 就干女学生的教授的样子
[1460.24-1462.44] 我标准照大家都见过
[1462.44-1463.80] 一看就是王主席
[1463.80-1465.16] 确实像政协会王主席
[1465.16-1469.56] 那个时候魏东有个什么习惯
[1469.56-1470.68] 就是我们当时
[1470.76-1472.00] 不知道这叫抑郁症
[1472.00-1475.40] 就是他老是回去看看自己
[1475.40-1476.84] 有没有把门锁好
[1476.84-1477.80] 或者把车锁好
[1477.80-1479.52] 就是大家约好吃饭
[1479.52-1481.40] 都坐下了
[1481.40-1482.88] 老魏要回自己车里
[1482.88-1485.48] 看看是不是把车门锁好了
[1485.48-1487.24] 其实他肯定锁好了
[1487.24-1489.64] 而且现在的车都是自动锁了
[1489.64-1489.96] 他不行
[1489.96-1491.56] 他一定要回去看一眼
[1491.56-1492.96] 我们当时不知道
[1492.96-1495.20] 这是他妈的病
[1495.20-1496.60] 我以为他是
[1496.60-1498.04] 这是有点问题
[1498.04-1499.84] 有点他妈的个性
[1499.84-1500.72] 当时还是没有
[1500.76-1502.00] 这个概念
[1502.00-1503.84] 就是有的时候
[1503.84-1507.48] 他家住在紫竹桥那边
[1507.48-1509.52] 紫鱼山庄
[1509.52-1510.84] 就是他都已经
[1510.84-1511.68] 那楼很高
[1511.68-1512.96] 我说错了
[1512.96-1513.96] 紫鱼山庄在亚运村
[1513.96-1514.52] 我操
[1514.52-1516.68] 那个人际山庄
[1516.68-1517.84] 紫竹桥人际山庄
[1517.84-1520.88] 就是他都下楼了之后
[1520.88-1522.96] 几十层楼
[1522.96-1524.72] 大家都在楼底下车里等
[1524.72-1526.36] 他还要再按电梯回去
[1526.36-1527.96] 看看是不是把门锁
[1527.96-1529.04] 就是抑郁症
[1529.04-1530.60] 就是精神病
[1530.76-1534.20] 后来他遇到他事业上的问题的时候
[1534.20-1536.60] 他就一走了
[1536.60-1537.56] 一了百了了
[1537.56-1537.84] 就是
[1537.84-1540.96] 就是那句话
[1540.96-1541.92] 就是你福报
[1541.92-1543.40] 就是他爸爸是财政部长
[1543.64-1546.88] 他爸爸正部级
[1546.88-1549.16] 所以你给你这样的一个
[1550.00-1552.28] 老百姓是叹为观止的
[1552.28-1554.20] 这样一个投胎的机遇
[1554.20-1555.88] 但是你为什么把握不了
[1555.88-1557.88] 你要跳楼死这么难受
[1557.88-1559.84] 你摔的过程都好疼
[1559.84-1560.72] 就想想
[1560.76-1561.88] 都觉得不值
[1561.88-1563.48] 咱有那个勇气
[1563.48-1565.72] 咱去拿炸药包
[1565.72-1567.92] 咱们把某个地方给他轰了
[1567.92-1569.08] 反正要死吗
[1569.08-1569.44] 我操
[1569.44-1570.68] 死得轰轰烈烈
[1570.68-1571.88] 老百姓还记住你
[1571.88-1575.96] 至少比杨家还要他们的有面
[1575.96-1582.91] 这人死不就是他们的虎死游流皮一张吗
[1582.91-1584.23] 你跳楼了
[1584.23-1585.95] 你说你这算个啥
[1585.95-1587.35] 就不理解
[1587.35-1589.63] 就是这个就是抑郁症
[1589.63-1590.87] 所以我们来加拿大以后
[1590.87-1591.99] 就是哎呀
[1592.11-1593.47] 我不能讲名字
[1593.47-1594.15] 我要讲名字
[1594.15-1595.23] 就又报款了
[1595.23-1596.51] 因为你们都认识
[1597.39-1598.63] 就是这种死
[1598.63-1600.87] 就是死得非常荒唐
[1600.87-1602.91] 就是完全hold不住
[1602.91-1604.83] 加拿大给你的福报
[1604.83-1606.15] 免费医疗
[1606.15-1610.59] 免费给你他们一个月
[1610.59-1612.91] 还2000多块钱的打车钱
[1612.91-1614.79] 洗牙政府都给你报了
[1614.79-1616.47] 你就是因为你在中国
[1616.47-1617.39] 你这个有功
[1617.39-1619.15] 你这个民主有功
[1619.15-1620.15] 结果一两年就挂了
[1620.15-1621.23] 结果一两年就挂了
[1621.23-1622.07] 结果一两年就挂了
[1622.11-1625.23] 其实就是这个道理
[1625.23-1626.35] 都是一个道理
[1626.35-1628.67] 所以一定要放空自己
[1628.67-1630.23] 无论你在中国干了什么
[1630.23-1631.59] 把这个态度放下
[1631.59-1633.67] 以踏踏实实的心
[1633.67-1634.35] 作自己
[1634.35-1635.27] 作自己
[1635.27-1637.79] 我不是说咱们去滑
[1637.79-1641.19] 双黑滑雪跳牙去
[1641.19-1641.87] 那个叫作自己
[1641.87-1642.59] 那不叫作自己
[1642.59-1643.31] 那叫作死
[1643.31-1645.79] 就是说苦行自己
[1645.79-1646.75] 历练自己
[1646.75-1647.63] 长本事
[1647.63-1648.91] 长本事
[1648.91-1650.27] 你想我这个年龄
[1650.27-1651.83] 我都要去避
[1652.11-1654.35] BCIT学船用发动机
[1654.35-1656.31] 及航空柴油发动机维修
[1656.31-1658.07] 我真的去报了
[1658.07-1658.47] 他妈的
[1658.47-1659.11] 他们不要我
[1659.11-1659.75] 他们嫌我老
[1659.75-1661.67] 我明天还要去报
[1661.67-1663.63] 你必须这样
[1663.63-1666.07] 你才能balance你的人生平衡
[1666.07-1666.87] 人生平衡
[1666.87-1667.95] 如果谁想认识我
[1667.95-1668.87] 可以去BCIT
[1668.87-1670.15] 跟我做同学
[1670.15-1671.39] 船用重型柴油机
[1671.39-1674.91] 及航空柴油机学习修理
[1674.91-1677.19] 那个叫机械维修师
[1677.19-1677.83] 那个专业
[1677.83-1681.54] 我去报名了
[1681.54-1682.58] 再见
[1682.58-1683.02] 再见
[1683.02-1683.26] 啊
[1683.26-1685.10] 招财猫跟大家再见
[1685.10-1687.18] money money home
[1687.18-1688.54] 钱去你家
[1688.54-1689.66] 钱去你家
[1689.66-1690.54] 拜拜
