[2.58-3.78] 哈喽 大家好
[3.78-5.58] 长夜漫漫无心睡眠
[1312.44-1314.36] 一觉醒来
[1314.36-1316.28] 死之前一口气喘不过来
[1316.28-1316.88] 醒来
[1316.88-1319.48] 汉中离给他做的米饭还没熟
[1319.48-1322.68] 一抹黄粱
[1322.68-1327.28] 所以吕东斌从此大彻大悟就放下了
[1327.28-1328.20] 因为他经历过了
[1328.20-1328.68] 玩过了
[1328.68-1329.00] 吃过了
[1329.00-1329.60] 看过了
[1329.60-1331.52] 知道这玩意不是真的
[1331.52-1334.60] 汉中离说的人生目标可能才是真的
[1334.60-1340.20] 所以就像追求人生奥义和生命的本质
[1340.20-1342.32] 往前走了
[1342.44-1346.20] 而不再去追求那些俗世的繁华了
[1346.20-1346.84] 追求什么
[1347.08-1347.88] 我从哪来
[1347.88-1348.44] 我是谁
[1348.44-1349.48] 我要到哪去
[1349.48-1350.88] 这些最基本的问题
[1350.88-1352.68] 他跟着汉中离走
[1352.68-1355.92] 所以这就是学玄学
[1355.92-1357.80] 我的最大的收获
[1357.80-1358.76] 我最大收获
[1358.76-1360.80] 那也很有意思
[1360.80-1361.84] 在这个过程中
[1361.84-1363.52] 很多人问我看什么书
[1363.52-1366.00] 我昨天故意没说书名和人名
[1366.00-1366.48] 为什么
[1366.48-1367.60] 你看我说了高岛一段
[1367.60-1368.48] 哇操
[1368.48-1370.76] 京东当当高岛都没货了
[1370.76-1372.28] 所以我不想再让大家去说了
[1372.28-1374.52] 大家去花无意义的钱
[1374.52-1375.20] 几千块钱
[1375.20-1377.32] 几百块钱去买那么一本书
[1377.32-1380.08] 大家感兴趣的自己去误去找
[1380.08-1381.80] 一定也能找到
[1381.80-1384.12] 你这个方便法门是没有的
[1384.12-1386.80] 这个事情上没有能够投机取巧的东西
[1386.80-1388.16] 你一点一点的去看
[1388.16-1388.76] 一点一点
[1388.76-1391.56] 哪怕在门口小书店先买一本盗版书
[1391.56-1392.68] 先看着
[1392.68-1393.52] 等你入了门
[1393.52-1394.24] 什么叫八卦
[1394.24-1394.80] 什么叫周易
[1394.80-1395.52] 入了门
[1395.52-1396.68] 还感兴趣
[1396.68-1397.48] 再过两三年
[1397.48-1399.48] 没准再捡起来再看都行
[1399.48-1400.92] 一定要耐得住寂寞
[1402.28-1403.68] 就像我学玄学
[1403.68-1406.20] 我从离开中国之前
[1406.20-1407.00] 我就开始学
[1408.00-1409.04] 到今天
[1409.04-1411.04] 就到加拿大已经整整十几年了
[1411.04-1412.16] 十二三年了
[1413.08-1413.92] 在这个过程中
[1413.92-1416.32] 并不是每天都尾边三决的学
[1416.72-1419.12] 因为我们也做不到尾边三决
[1419.52-1420.48] 没有什么东西
[1420.48-1422.00] 迫使着你去尾边三决
[1422.88-1424.12] 而且这种东西
[1424.12-1425.60] 你着急急不来
[1426.04-1429.04] 当你的准备没准备好的时候
[1429.04-1431.16] 当你的人生境界没到的时候
[1431.32-1432.24] 你再着急
[1432.28-1433.40] 你也学不会
[1433.40-1435.24] 你反而把脑子学大了
[1435.24-1438.56] 就是进入到这种睡都睡不好
[1438.56-1439.44] 吃也吃不香
[1439.44-1440.64] 第二天早上起来
[1440.64-1442.04] 眼睛都是肿的
[1442.04-1443.40] 晚上熬夜看书
[1443.84-1445.36] 也学不明白的状态
[1445.36-1446.60] 这个时候你要放一放
[1446.80-1447.60] 你要放一放
[1447.60-1449.72] 从江师傅那儿得了命书的
[1449.72-1451.72] 我的一个大学同学
[1451.72-1452.68] 也在温哥华
[1452.68-1453.52] 他也看我的节目
[1453.52-1454.92] 他现在是这种状态
[1454.92-1457.08] 我觉得你差不多就要放一放
[1457.08-1458.56] 因为你不是天才
[1458.56-1459.40] 你不是董梦洁
[1459.40-1461.68] 你不可能三个月学会铁板神术
[1461.68-1462.04] 他正在学习
[1462.04-1463.36] 铁板神术
[1463.36-1466.24] 我画料在这三年能学会就不错了
[1466.24-1467.76] 所以该放下就放下
[1467.76-1468.60] 该轻松一点
[1468.60-1470.00] 轻松一点
[1470.00-1472.84] 因为我们学玄学的目的
[1472.84-1474.04] 不是学会铁板神术
[1474.04-1477.04] 去抢江师傅董师傅的饭碗
[1477.04-1477.96] 我们学的目的
[1477.96-1482.76] 真的是像汉中李点化吕洞宾一样
[1482.76-1488.36] 求自己的高我点化自己的低我
[1488.36-1489.40] 所以你着什么急
[1489.40-1491.08] 本事点不得
[1491.08-1492.04] 来事再说吗
[1492.04-1493.72] 只要根器住好了
[1493.72-1494.72] 根基住好了
[1494.72-1496.52] 还怕楼塌了
[1496.52-1497.96] 你着什么急
[1497.96-1499.28] 说到这一点
[1499.28-1500.60] 我就想
[1500.60-1502.80] 咱们中国知识分子
[1502.80-1506.08] 能做出用赤手空拳打死老婆的事来
[1506.08-1507.44] 何其的悲哀
[1507.44-1509.16] 你们何其的着急
[1509.16-1511.76] 学的那么一肚子书
[1511.76-1513.92] 学到博士硕士
[1513.92-1517.16] 学到加州大学毕业
[1517.16-1518.52] 都学到狗肚子里去了
[1518.52-1519.84] 夫妻两个
[1519.84-1521.28] 一个吉林
[1521.28-1522.64] 一个成都
[1522.64-1523.40] 都是学霸
[1523.40-1524.12] 都是清华
[1524.12-1526.24] 最近清华怎么那么热闹了
[1526.24-1529.44] 你们这个书都真的都读到狗肚子里边去了
[1529.44-1530.72] 你们虽然从清华毕业
[1530.72-1533.04] 但是你们都没有学会怎么做人
[1533.04-1534.16] 学了一肚子的知识
[1534.16-1535.28] 不会做人
[1535.28-1536.16] 这不等于
[1536.16-1538.28] 自行车的话
[1538.28-1540.76] 只有一个轱辘吗
[1540.76-1541.96] 人的话
[1541.96-1543.04] 只有一条腿
[1543.04-1544.56] 你焉能不倒
[1544.56-1547.68] 那老公一拳一拳打死老婆
[1547.68-1548.80] 老婆是个弱者
[1548.80-1549.84] 被打死了
[1549.84-1551.12] 但是老婆的
[1551.12-1553.60] 灵魂之强横
[1553.60-1554.92] 之桀骜不驯
[1554.92-1557.16] 亦可见一斑
[1557.16-1558.48] 我是站在地球
[1558.48-1559.24] 看月球
[1559.24-1560.36] 站在月球看地球
[1560.36-1561.68] 不要说我冷血
[1561.68-1563.60] 一个巴掌拍不响
[1563.60-1567.68] 为什么两夫妻一定要走到你死我活
[1567.68-1570.04] 一定要走到杀人
[1570.04-1574.52] 虽然你们两个都是
[1574.52-1577.24] 虽然你们两个是男男配配北女
[1577.24-1578.16] 但是我看呢
[1578.16-1580.60] 那个男孩也是一米九的大个子
[1580.60-1580.96] 他倒
[1580.96-1583.08] 并没有我说的那个机器太小
[1583.08-1584.08] 伺候不了
[1584.08-1585.64] 那个四川男人
[1585.64-1587.08] 伺候不了东北女人
[1587.08-1589.32] 这个性生活上的这个问题
[1589.32-1591.32] 至少气物上
[1591.32-1593.08] 我觉得应该是match的
[1593.08-1595.16] 那你们剩下的就是灵魂上
[1595.16-1597.84] 和你们的这个道行上的差距了
[1597.84-1600.08] 现在说是没碗了
[1600.08-1603.68] 但是要看明白自己的执着
[1603.68-1604.44] 放下
[1604.44-1608.24] 就是清华大学的人做不到的
[1608.24-1610.44] 而且这个学校学的越好
[1610.44-1611.92] 这个人的学历越高
[1611.92-1614.72] 他就越放不下自己对自己的执着
[1614.72-1618.08] 当两个对自己的执着都那么强的人碰在一起的时候
[1618.08-1623.48] 就看最后就是居然这么有文化的人比赛的是谁拳头硬
[1623.48-1626.12] 谁拳头大能把谁打死
[1626.12-1627.28] 我看那个男孩写了
[1627.28-1629.40] 也写了他的网上日记
[1629.40-1634.40] 说那个老婆经常是搂他耳瓜子
[1634.40-1640.24] 清华大学的女士怎么能搂男人的耳瓜子呢
[1640.24-1646.48] 我可以说这方面真的是做人这方面教养是灵
[1646.48-1647.76] 然后男士呢
[1647.76-1649.08] 说我今天终于打了他
[1649.08-1650.64] 这事发生在我身上了
[1650.64-1651.28] 他报警了
[1651.28-1652.32] 警察来了
[1652.32-1653.96] 然后警告了警告我
[1653.96-1655.36] 因为我没有不良记录
[1655.36-1657.56] 就把我放了之类的
[1657.56-1662.48] 就是我难以想象夫妻两个刀兵相见
[1662.48-1663.44] 比赛拳头
[1663.44-1665.04] 这个发生的不是贩夫走卒
[1665.04-1666.20] 而是清华大学毕业的
[1666.20-1670.00] 在加州大学读研之后的这样的高级知识分子
[1670.24-1673.56] 这些人为什么发生这些事
[1673.56-1676.00] 又让我想起我身边另一个清华大学毕业的
[1676.00-1677.20] 一个英年早逝的人
[1677.20-1679.60] 和前天我读那封信
[1679.60-1681.40] 有一个高级知识分子
[1681.40-1683.12] 就是让我给他臭骂了一顿
[1683.12-1684.60] 他想当硕士
[1684.60-1686.52] 他在北欧已经过得很爽了
[1686.52-1687.88] 他不是想当硕士
[1687.88-1688.56] 他想当教授
[1688.56-1690.40] 他说他人生的一个缺憾
[1690.40-1692.08] 就是不能回国当教授
[1692.08-1694.92] 他给我说了一个案例
[1694.92-1696.20] 就是一个叫陈晓的博士
[1696.20-1697.24] 他在美国
[1697.24-1698.28] 社会学博士
[1698.28-1699.68] 然后也是英年早逝
[1699.68-1700.20] 然后
[1700.24-1702.80] 如何如何的在死之前
[1702.80-1706.36] 还放不下自己的论文
[1706.36-1708.24] 然后他老婆写了悼词
[1708.24-1710.48] 他老婆跟他之间的关系也不和谐
[1710.48-1713.12] 也是南加州
[1713.12-1717.72] 北加州旧金山用拳头打死的类似那种关系
[1717.72-1720.88] 只不过他们没有进展到那一步
[1720.88-1721.84] 他们走的是另一步
[1721.84-1723.84] 就是女的把男的磕死了
[1723.84-1724.96] 男的英年早逝
[1724.96-1726.80] 得了癌症死了
[1726.80-1728.40] 然后女的整天以泪洗面
[1728.40-1729.12] 写了一个悼文
[1729.12-1730.20] 我一看这个悼文
[1730.20-1733.28] 就是两个强横难以调和的
[1733.28-1736.16] 不能放下的灵魂碰在一起了
[1736.16-1737.84] 二虎相争
[1737.84-1738.80] 怎么讲
[1738.80-1740.92] 必有一伤
[1740.92-1742.48] 为什么二虎相争
[1742.48-1744.64] 双方皆为强
[1744.64-1746.00] 难以驯服
[1746.00-1747.76] 为什么灵魂难以驯服
[1747.76-1749.28] 自以为是
[1749.28-1750.48] 无知无畏
[1750.48-1752.96] 以为自己全部的知识都有了
[1752.96-1753.80] 避逆天下
[1753.80-1754.52] 我都清华了
[1754.52-1755.12] 我都加州了
[1755.12-1756.40] 我都博士了
[1756.40-1757.76] 我都是行业专家了
[1757.76-1759.16] 我什么不知道啊
[1759.16-1760.16] 这就难以调伏了
[1760.20-1761.56] 其实你知道的
[1761.56-1764.84] 和他妈的世界的全知全能的上帝也好
[1764.84-1767.92] 佛讲的十方慧眼也好
[1767.92-1769.84] 你就是个拿性
[1769.84-1770.92] 真的是个拿性
[1770.92-1772.04] 不是拿性的话
[1772.04-1773.32] 你难道
[1773.32-1774.20] 你不是拿性
[1774.20-1776.16] 你能用拳头打死老婆
[1776.16-1776.80] 不是拿性
[1776.80-1778.48] 你难道跟老公吵架的时候
[1778.48-1779.72] 斩过老公
[1779.72-1780.92] 不是拿性的时候
[1780.92-1787.44] 你死之前处于回光返照的状态之下
[1787.44-1790.16] 还在开学术报告会
[1790.20-1792.44] 那个时候还在开学术报告会
[1792.44-1794.24] 你有多么的愚蠢
[1794.24-1794.96] 你虽然死了
[1794.96-1795.92] 但是你蠢死了
[1795.92-1796.68] 你知道吗
[1796.68-1798.68] 不是拿性的话
[1798.68-1800.36] 老婆以泪洗面
[1800.36-1802.60] 写这样的道词
[1802.60-1803.88] PO到网上的时候
[1803.88-1807.54] 还不能做到幡然会悟
[1807.54-1810.74] 就是我们高级知识分子
[1810.74-1813.42] 反而更加难以调伏
[1813.42-1815.50] 还不如一个泛佛走卒
[1815.50-1817.54] 倒头变败
[1817.54-1818.90] 能够认识上帝
[1818.90-1821.30] 能够认识佛祖的智慧
[1821.30-1822.46] 这些高级知识分子
[1822.46-1824.94] 真的在这方面我账太强了
[1824.94-1826.94] 我账成魔
[1826.94-1829.58] 最后做出杀妻的事
[1829.58-1833.44] 做出英年早逝之前
[1833.44-1835.48] 回光返照之际
[1835.48-1837.56] 不想自己这么年轻
[1837.56-1838.76] 得了这么大的癌症
[1838.76-1842.64] 有多少冤亲债主来索命
[1842.64-1844.88] 不想自己怎么去得到不若智慧
[1844.88-1846.40] 能够在投胎的时候
[1846.40-1847.28] 把握好方向
[1847.28-1848.28] 来世不要再走
[1848.28-1851.16] 这样的痛苦过程
[1851.16-1852.76] 而在召开
[1852.80-1854.64] 学术报告会
[1854.64-1858.12] 在关心自己最后的这篇论文
[1858.12-1859.48] 没有被期刊收录
[1859.48-1862.24] 一定是编辑知道我得癌症了
[1862.24-1863.48] 就故意不收录我的
[1863.48-1864.48] 我恨死他了
[1864.48-1867.84] 全部都是没有了脱生死的状态
[1867.84-1869.64] 就去死了
[1869.64-1872.00] 如果能够做到没死之前
[1872.00-1873.28] 准备好死
[1873.28-1874.68] 甚至没病之前
[1874.68-1876.72] 就准备好了脱生死的状态的时候
[1876.72-1879.32] 我相信你就没有那么恐惧了
[1879.32-1883.81] 能几个中国人能做到
[1885.17-1886.65] 健健康康的时候
[1886.65-1888.49] 为什么不把自己的坟买了
[1888.49-1892.69] 自己的墓地买了
[1892.69-1894.41] 我如果说来温哥华
[1894.41-1895.49] 最大的一点收获
[1895.49-1898.41] 就是我找了一个风水很好的墓地
[1898.41-1904.29] 我给自己和我老婆买了两块墓地
[1904.29-1905.21] 并不豪华
[1905.21-1905.97] 很简单
[1905.97-1910.01] 放一个棺材那么大的两块墓地挨着的
[1910.01-1911.41] 很便宜在温哥华
[1911.41-1913.05] 不信我告诉你们价格
[1913.05-1917.01] 你们一定信5万加元一块
[1917.01-1918.73] 两块不到10万加元
[1918.73-1920.05] 因为我还活着
[1920.05-1921.09] 而且我很健康
[1921.09-1924.13] 所以给我打大折
[1924.13-1925.37] 因为死了再去买
[1925.37-1926.73] 也不给打折了
[1926.73-1929.49] 所以我不忌讳这些东西
[1929.49-1931.41] 为什么我不忌讳
[1931.41-1934.37] 因为我发现我们中国人特别奇怪
[1934.37-1935.73] 我们中国人活着的时候
[1935.73-1937.81] 似乎自己永远都不会死
[1937.81-1940.69] 从来不会思考自己死亡
[1940.69-1941.57] 自己有死那天
[1941.57-1942.69] 从来不提
[1942.69-1943.57] 提都不能提
[1943.57-1944.29] 不要说思考
[1944.29-1944.73] 为什么
[1944.73-1945.37] 忌讳
[1947.01-1948.45] 你的我职业太强了
[1948.45-1949.65] 你这傻逼NPC
[1949.65-1950.53] 你是个男性
[1950.53-1953.78] 你记回个灯
[1953.78-1957.38] 所以我亲眼看着我这边清华大学的朋友
[1957.38-1958.90] 死得那么仓促
[1958.90-1960.74] 得了急性白血病死了
[1960.74-1963.30] 死了之后连个木都没有
[1963.30-1964.18] 骨灰盒
[1964.18-1966.82] 骨灰坛就放在自己家的卧室里
[1966.82-1968.66] 放了半年
[1968.66-1972.34] 弄得全家的人都得了抑郁症
[1972.34-1974.02] 我知道这个事之后
[1974.02-1978.46] 我第一件事就带着他们家的胃王人去买一个骨灰磡
[1978.46-1979.86] 把骨灰拿出去
[1979.86-1981.78] 阴阳要两隔
[1981.78-1983.46] 生死要分开
[1983.46-1986.38] 世界要讲规矩
[1986.38-1989.18] 就像人不能跟猴结婚
[1989.18-1993.58] 生也不能跟死同屋的
[1993.58-1995.02] 所以这个不是迷信
[1995.02-1995.94] 这叫规矩
[1995.94-1998.98] 凡事都要有规矩
[1998.98-2000.54] 所以你说中国人的这种特点
[2000.54-2002.46] 就是活着死后永远不会死
[2002.46-2006.18] 而死了之后又如此的仓皇潦草
[2006.18-2008.42] 难道不是我们民族的悲哀吗
[2008.42-2010.30] 当我走在墓园里边
[2010.30-2012.70] 看着一个一个的墓碑的时候
[2012.70-2013.78] 有老有少
[2013.78-2015.10] 有男有女
[2015.10-2016.62] 有大有小
[2016.62-2018.02] 老外的墓碑
[2018.02-2019.94] 简简单单的一个名字
[2019.94-2020.90] 一个时间
[2020.90-2022.34] 剩下的什么都没有
[2022.34-2025.78] 最多就是一个love你的什么孩子的名字
[2025.78-2028.06] 或者是他是一个爸爸
[2028.06-2031.66] 这就是名闻
[2031.66-2034.70] 而中国人的名闻
[2034.70-2037.14] 恨不得在上面刻个二维码
[2037.14-2037.58] 真的
[2037.58-2038.26] 就是把他
[2038.26-2039.70] 这一生牛逼的事全
[2039.70-2042.34] 那个墓碑已经放不下了
[2042.34-2044.38] 就是发表过多少篇论文
[2044.38-2046.10] 干过什么牛逼的事
[2046.10-2048.34] 多少红小兵奖账
[2048.34-2050.02] 多少三好学生
[2050.02-2050.98] 优秀少年队员
[2050.98-2052.94] 全他们贴到墳上
[2052.94-2054.06] 干脆弄一二维码
[2054.06-2054.98] 他上川道云
[2054.98-2056.26] 他也放不下了
[2056.26-2056.98] 活着放不下
[2056.98-2058.62] 死了还放不下
[2058.62-2060.50] 你真正的社会角色
[2060.50-2062.86] 不就是一个儿子
[2062.86-2063.54] 一个父亲
[2063.54-2065.30] 一个丈夫吗
[2065.30-2066.86] 或者一个快乐的灵魂
[2066.86-2067.74] 快乐的老头
[2067.74-2069.66] 或者快乐的老太太吗
[2069.66-2070.18] 一个母亲
[2070.18-2073.22] 一个妻子和一个女儿吗
[2073.22-2074.66] 你还有什么东西
[2074.66-2078.78] 比重要要写那么多呢
[2078.78-2079.94] 还死之前
[2079.94-2081.90] 还要发表论文呢
[2081.90-2085.59] 真的是
[2085.59-2086.83] 没得好讲
[2086.83-2090.11] 这些人是最积极主动
[2090.11-2093.35] 骂我跟大家讲玄学的人
[2093.35-2094.19] 就这些人
[2094.19-2095.19] 我讲玄学
[2095.19-2096.51] 就是这些人骂的最狠
[2096.51-2097.07] 一个傻逼
[2097.07-2097.95] 一个大傻逼
[2097.95-2098.55] 你骗子
[2098.55-2099.51] 你是不是要骗人
[2099.51-2100.63] 你是不是想骗钱
[2100.63-2102.55] 这些人最积极
[2102.55-2104.71] 那是愚昧哥的脑袋
[2104.71-2106.11] 佛法虽好
[2106.11-2108.95] 也难入无根之木
[2108.95-2113.67] 所以今天就是感慨这些东西
[2113.67-2115.79] 算是玄学感慨
[2115.79-2117.87] 也算是今天跟大家聊聊天
[2117.87-2119.31] 放放松
[2119.31-2121.19] 清醒一整天
[2121.19-2122.23] 清醒一整晚
[2122.23-2123.15] 睡个好觉
[2123.15-2124.23] 再见
[2124.23-2126.15] 然后我再弄一期虚的
[2126.15-2127.15] 我争取把我以前的
[2127.15-2129.39] 我自己认为还不错的视频
[2129.51-2130.99] 再重新打包装计
[2130.99-2131.79] 再上一个
[2131.79-2132.23] 再上
[2132.23-2132.87] 大家别骂我
[2132.87-2133.55] 为什么
[2133.55-2134.95] 就是好东西
[2134.95-2135.79] 也怕巷子深
[2136.31-2138.83] 现在社会武装恶势
[2138.83-2141.47] 谁有兴趣一点给你翻
[2141.59-2142.03] 再说了
[2142.03-2144.11] 你作为一个摆摊卖货的货廊
[2144.11-2146.31] 你不把好东西摆到前面
[2146.95-2147.63] 那也是你
[2147.63-2149.55] 是我作为卖货人
[2149.55-2150.55] 我的失职不是
[2150.55-2151.23] 对不对
[2151.59-2152.23] 好了
[2152.51-2153.27] 就这样
[2153.83-2155.51] 记得大家点赞
[2155.51-2156.67] 订阅小铃铛
[2156.67-2158.83] 然后给我写信
[2159.51-2160.55] 写的不好的
[2160.55-2161.39] 我就喷你们
[2161.75-2162.51] 说了负能量
[2162.51-2163.51] 我就给你们改正
[2164.07-2165.55] 然后我有什么说的不退
[2165.55-2166.23] 你们也可以喷我
[2166.23-2167.03] 骂我没事
[2167.03-2167.51] 骂我的
[2167.51-2168.67] 我真的所有都不删
[2168.67-2170.19] 我怎么骂我都行
[2170.19-2170.87] 为什么
[2170.87-2173.07] 如果你骂我真生气了
[2173.07-2174.43] 那不就说明我还是有我执
[2174.43-2175.43] 我执还是太强
[2175.71-2176.59] 我们就互相改正
[2176.79-2177.59] 就互骂傻逼
[2177.59-2178.19] 互喷傻逼
[2178.19-2179.75] 然后我们就在消磨中
[2179.75-2180.47] 打磨中
[2180.47-2181.47] 共同进步
[2181.47-2182.11] 再见
