[1.97-4.45] 哈喽大家好又见面了啊
[1302.27-1305.27] 你这个东西用任何理由说
[1305.27-1307.27] 哪怕一个理由你都不能想
[1307.27-1309.27] 即使他真的有理由也不能说
[1309.27-1310.27] 为什么
[1310.27-1311.27] 这个事没有
[1311.27-1313.27] 灰色地带
[1313.27-1315.27] 要么支持要么反对
[1315.27-1317.27] 支持你就不是人性
[1317.27-1318.27] 明白吧
[1318.27-1320.27] 说这个事上王志安没有人性
[1320.27-1322.27] 这就是我对他的盖棺定论
[1322.27-1326.27] 所以后来我开始对二大爷还是挺赞的傻的
[1326.27-1328.27] 刑警出来这么一个人
[1328.27-1330.27] 后来二大爷跟王志安走到一起
[1330.27-1332.27] 被王志安捧红了
[1332.27-1334.27] 跟王志安没来远去的
[1334.27-1336.27] 我也知道这二大爷这个人
[1336.27-1339.27] 也是为了他妈的五斗米折腰的这么一货
[1339.27-1341.27] 也没有什么稳定的价值观
[1341.27-1342.27] 所以大家了解我
[1342.27-1344.27] 老王是有稳定价值观的
[1344.27-1345.27] 就王志安这个问题上
[1345.27-1347.27] 就是他铁链女这一件事情
[1347.27-1348.27] 就不可饶恕
[1348.27-1349.27] 拐卖妇女
[1349.27-1351.27] 拐卖儿童的这个话题
[1351.27-1353.27] 什么人类得以延续
[1353.27-1355.27] 这就是一片歪理邪说
[1355.27-1356.27] 如果都这么说的话
[1356.27-1358.27] 人类就应该回到树上去
[1358.27-1359.27] 这样的话对地球
[1359.27-1361.27] 对宇宙的伤害还小一点
[1361.27-1363.27] 你人类有了枪有了炮
[1363.27-1365.27] 有了飞机有了飞船
[1365.27-1366.27] 你的责任越来越大
[1366.27-1367.27] 能造出来核武器了
[1367.27-1369.27] 你能毁灭一个行星
[1369.27-1371.27] 人类必须有正面
[1371.27-1372.27] 如果都是王志安
[1372.27-1374.27] 都是为了目的不择手段
[1374.27-1375.27] 以目的为导向
[1375.27-1377.27] 而不是以过程正义为导向的话
[1377.27-1380.27] 人类必灭无疑
[1380.27-1382.27] 过程正义重要
[1382.27-1384.27] 还是结果正义重要
[1384.27-1385.27] 这就是根本的区别
[1385.27-1387.27] 哲学逻辑的区别
[1387.27-1388.27] 就当你知道
[1388.27-1390.27] 当你有了神力的时候
[1390.27-1393.27] 过程正义要超过结果正义
[1393.27-1395.27] 是保证人类这个种族
[1395.27-1397.27] 获得神级能力之后
[1397.27-1400.27] 继续延续的正途
[1400.27-1401.27] 那不是逻辑
[1401.27-1404.27] 就像罗马抢劫萨宾妇女的时代了
[1404.27-1406.27] 罗马人抢劫萨宾妇女的时代
[1406.27-1408.27] 是他妈三千年以前
[1408.27-1410.27] 人类刚刚走出蛮荒
[1410.27-1412.27] 使用铜器的时代
[1412.27-1415.27] 人心像魔鬼一样肮脏的地区
[1415.27-1417.27] 你让他繁衍的越少越好
[1417.27-1419.27] 铁链女生的这九个孩子
[1419.27-1421.27] 如果不离开他的故土
[1421.27-1422.27] 不走的越远越好
[1422.27-1423.27] 这九个孩子长大了
[1423.27-1425.27] 八成都是铁链女铁链男
[1425.27-1427.27] 所谓的结果正义
[1427.27-1428.27] 这是要打引号的
[1428.27-1430.27] 这种外衣
[1430.27-1434.27] 而掩饰自己内心的肮脏与自私
[1434.27-1437.27] 为什么结果正义能够当外衣呢
[1437.27-1439.27] 因为结果很遥远
[1439.27-1443.27] 而过程正义是要你付出每一天
[1443.27-1445.27] 每一分钟的精力和代价
[1445.27-1448.27] 所以最简单的就是扯结果正义
[1448.27-1449.27] 家国情怀
[1449.27-1451.27] 宏观
[1451.27-1452.27] 民族
[1452.27-1454.27] 这个就是结果正义
[1454.27-1456.27] 为了中华民族的崛起和复兴
[1456.27-1458.27] 我现在可以关起来吗
[1458.27-1459.27] 我现在可以
[1459.27-1460.27] 呃
[1460.27-1461.27] 捅你的嗓子眼
[1461.27-1464.27] 我可以把一个三个月的小孩跟他妈妈分开
[1464.27-1465.27] 为了什么
[1465.27-1466.27] 为了民族
[1466.27-1467.27] 哼
[1467.27-1468.27] 这就是过呃
[1468.27-1470.27] 过程正义的和结果正义的
[1470.27-1472.27] 在我们身身边发生的区别
[1472.27-1473.27] 过程正义
[1473.27-1474.27] 你干的了这事吗
[1474.27-1477.27] 你把小孩子从妈妈手里拿走这一刻
[1477.27-1478.27] 那过程正义吗
[1478.27-1479.27] 不争议不争议
[1479.27-1480.27] 你不能干
[1480.27-1481.27] 所以这个事呢
[1481.27-1484.27] 过程正义是我们进入西方之后
[1484.27-1485.27] 普世价值接受之后
[1485.27-1488.27] 在这样的加拿大美国这样的发达国家必须接受的
[1488.27-1489.27] 司法流程特别明显
[1489.27-1491.27] 每一步的过程必须充满正义
[1491.27-1494.27] 不能说我为了把坏人绳之以法
[1494.27-1495.27] 我要跳过去
[1495.27-1496.27] 过程正义
[1496.27-1500.27] 那你要承担你自己的代价
[1500.27-1503.27] 就是你不能在这个过程中啊
[1503.27-1505.27] 我要结果正义
[1505.27-1507.27] 但是我自己又不承担
[1507.27-1508.27] 代价
[1508.27-1510.27] 我用嘴让别人去做结果正义
[1510.27-1512.27] 就是我在加拿大呃
[1512.27-1514.27] 鼓励在国内的同志们
[1514.27-1515.27] 你们去四重桥上吧
[1515.27-1519.27] 你你们一人拿一个锅去共振革命吧
[1519.27-1520.27] 走上街头吧
[1520.27-1521.27] 这个叫什么王
[1521.27-1522.27] 这叫王八蛋啊
[1522.27-1523.27] 生孩子没屁眼
[1523.27-1524.27] 你知道吧
[1524.27-1526.27] 你自己要追求结果正义
[1526.27-1527.27] 不讲过程正义的话
[1527.27-1529.27] 你要承担你的结果
[1529.27-1530.27] 你带头去
[1530.27-1532.27] 你自己去天安门
[1532.27-1533.27] 你买张机票飞回北京
[1533.27-1535.27] 下去之后你你先敲锣打鼓
[1535.27-1537.27] 呃反共啊弄民主
[1537.27-1539.27] 你这你这个就你是这个
[1539.27-1540.27] 革命先驱
[1540.27-1541.27] 你是他妈的国父
[1541.27-1544.27] 你自己躲在他妈在这里边吃香的喝辣的
[1544.27-1547.27] 还领着加拿大的这个所谓政治大民救济
[1547.27-1549.27] 然后你鼓励国内人
[1549.27-1551.27] 你的同胞们去他妈的炮头楼散热血
[1551.27-1553.27] 你是不是有人性吗
[1553.27-1555.27] 所以这也就回答你第三个问题
[1555.27-1559.27] 就是我们要改变的是中国那个体制
[1559.27-1561.27] 所以在推翻他们之前
[1561.27-1563.27] 首先要立不立不破啊
[1563.27-1565.27] 你不要呀呀呀
[1565.27-1566.27] 不要推翻推翻再说
[1566.27-1568.27] 推翻零零又更好的
[1568.27-1570.27] 咋别别扯了五千年以来
[1570.27-1571.27] 都是推翻了再说
[1571.27-1573.27] 每一次都上了一个更恶劣的
[1573.27-1576.27] 那所以呢咱们就呃哎咱们又变反对频道
[1576.27-1578.27] 不说这个啊
[1578.27-1579.27] 哎
[1579.27-1580.27] 对对好
[1580.27-1581.27] 进入正题
[1581.27-1583.27] 我的女孩女孩女女孩找出来啊
[1583.27-1585.27] 王哥你好
[1585.27-1588.27] 我是杨小妹河南人来加拿大二十年了
[1588.27-1592.27] 我不认同地域歧视或国家人种歧视
[1592.27-1595.27] 我认为天生的东西不能作为评判一个人的标准
[1595.27-1598.27] 无奈我潜意识一直为自己是河南人而自卑
[1598.27-1601.27] 在你的视频里也经常听你说起河南
[1601.27-1603.27] 但你的能量中完全没有歧视
[1603.27-1604.27] 我深感不那么局促了
[1604.27-1607.27] 这个内心的变化我用语言表达不出来
[1607.27-1608.27] 哎对呀
[1608.27-1609.27] 我一点不歧视河南人
[1609.27-1610.27] 虽然我不是河南人
[1610.27-1611.27] 我是河北人
[1611.27-1613.27] 但是我骂展山英是河南人
[1613.27-1617.27] 完全是因为他先骂我是河北人
[1617.27-1618.27] 我不但不歧视河南人
[1618.27-1620.27] 而因为我有很多河南朋友啊
[1620.27-1624.27] 我可以说是生活在河南人的这个呃人群中
[1624.27-1625.27] 因为河北被河南包围
[1625.27-1627.27] 北京也被河南包围
[1627.27-1630.27] 北京有很多号称是山东人的
[1630.27-1631.27] 其实他们都是河南人
[1631.27-1632.27] 嗯
[1632.27-1634.27] 好像大总统也是呃
[1634.27-1637.27] 我也不认为哪个地方的人有什么区别
[1637.27-1638.27] 呃
[1638.27-1640.27] 那个地方的人种基因很好啊
[1640.27-1642.27] 河南人长的男的女的都很好看
[1642.27-1643.27] 呃
[1643.27-1644.27] 也大啊
[1644.27-1645.27] 高高大大的呃
[1645.27-1646.27] 人种基因挺好
[1646.27-1648.27] 就是他的当地的文化有问题
[1648.27-1650.27] 但是就像我说的
[1650.27-1652.27] 如果你离开河南离开了那个文化
[1652.27-1655.27] 你这么一天一天的就变变好了
[1655.27-1660.27] 不要在他那个宗族文化儒家的那种毒毒害呃
[1660.27-1662.27] 螃蟹互相钳制的那种文化里面生存
[1662.27-1664.27] 不会受他影响
[1664.27-1667.27] 所以我很排斥对河南人的
[1667.27-1668.27] 呃
[1668.27-1669.27] 侮辱和呃
[1669.27-1671.27] 歧视这个在北京特别明显
[1671.27-1673.27] 我开第一家公司的时候
[1673.27-1677.27] 当时在三一庙租了一个小办公室
[1677.27-1680.27] 那时候刚刚离开理工大学不久嘛
[1680.27-1681.27] 呃
[1681.27-1683.27] 那我们那个呃
[1683.27-1686.27] 过年的时候那个片景在各个公司敲门
[1686.27-1687.27] 呃
[1687.27-1688.27] 过来呃
[1688.27-1692.27] 讲一些春节期间你公司的安全消防隐患
[1692.27-1693.27] 因为人都走了嘛
[1693.27-1694.27] 消防隐患呀
[1694.27-1695.27] 什么这个防盗隐患啊
[1695.27-1696.27] 然后那个片景
[1696.27-1697.27] 就随口就走
[1697.27-1699.27] 就说有没有河南人啊
[1699.27-1700.27] 你们小心点啊
[1700.27-1701.27] 这个呃
[1701.27-1703.27] 如果要是你们公司是过了河南人
[1703.27-1705.27] 我们不负责你们的安全啊
[1705.27-1706.27] 这北京片景
[1706.27-1708.27] 因为他们他看我们都不是河南人
[1708.27-1710.27] 他在开这个玩笑
[1710.27-1711.27] 我当时就
[1711.27-1713.27] 我那时候才二十呃
[1713.27-1715.27] 我想我们第一个公司注册两千年
[1715.27-1716.27] 我才二十五岁
[1716.27-1718.27] 我当时我就不干
[1718.27-1719.27] 我说河南人怎么
[1719.27-1721.27] 你怎么能这么说话呢
[1721.27-1724.27] 就是我不认为河南人
[1724.27-1726.27] 只是因为他是河南人
[1726.27-1728.27] 你就不负责我的他妈的
[1728.27-1729.27] 治安
[1729.27-1730.27] 你的妈咪是个片景
[1730.27-1731.27] 派出所的
[1731.27-1733.27] 你负责治安是你的本职工作
[1733.27-1735.27] 我怎么愿意顾河南人顾河南人
[1735.27-1737.27] 我我都顾河南人都管不着
[1737.27-1738.27] 怎么出事你得管
[1738.27-1741.27] 哎不是这意思不是这开个玩笑就走了
[1741.27-1742.27] 但是呢
[1742.27-1745.27] 就是真的是对于河南人的鄙视和歧视
[1745.27-1747.27] 就是尽自在呃
[1747.27-1749.27] 这种北京的这种
[1749.27-1752.27] 你像片景这种层次的人口
[1752.27-1754.27] 心里面内心深处他其实和他人
[1754.27-1756.27] 所以你的这种自卑
[1756.27-1757.27] 可以理解嗯
[1757.27-1758.27] 30岁以前
[1758.27-1761.27] 我的人生全部都在给父母交满意的答卷
[1761.27-1764.27] 你看这就是我说必须离开河南的原因
[1764.27-1766.27] 我没有独立思想
[1766.27-1768.27] 根本不知道自己是谁想要什么
[1768.27-1770.27] 5年前我有幸遇到良师
[1770.27-1772.27] 我的认知开始了彻底的改变
[1772.27-1774.27] 哎呀那这个来有点晚
[1774.27-1775.27] 来加拿大到20年
[1775.27-1777.27] 至少有快40岁了
[1777.27-1779.27] 你这35岁才改变
[1779.27-1780.27] 这是有点晚
[1780.27-1781.27] 晚了10年至少
[1781.27-1784.27] 我发现我之前三观有多么扭曲
[1784.27-1785.27] 我一直深信的
[1785.27-1787.27] 很多都是谎言
[1787.27-1790.27] 呃我之前还是个小粉红
[1790.27-1792.27] 三年前我选择了离婚
[1792.27-1795.27] 现在和孩子爸和平育儿
[1795.27-1797.27] 两年前我选择宣誓入籍
[1797.27-1800.27] 当大法官说加拿大是一个民主国家
[1800.27-1802.27] 每个人平等有选举权势
[1802.27-1803.27] 我流泪了
[1803.27-1805.27] 今年我开始新的事业
[1805.27-1806.27] 恭喜你啊
[1806.27-1809.27] 这个加拿大入籍的这个过程
[1809.27-1813.27] 包括他那本书叫加拿大认识加拿大
[1813.27-1814.27] discovery
[1814.27-1815.27] 加拿大
[1815.27-1818.27] 这本书呃要认认真真的看啊
[1818.27-1823.27] 我们所有的要入籍加拿大的人都要认认真真的学加拿大小学历史
[1823.27-1826.27] 就是加拿大小学那学的那个历史
[1826.27-1827.27] 我们要学啊
[1827.27-1831.27] 真的是你才能够真正理解和爱上这个国家
[1831.27-1834.27] 绝不能把加拿大国籍蓝本护照当成一张船票啊
[1834.27-1835.27] 花点钱买了
[1835.27-1838.27] 你这个这个从心里边就是歪的啊
[1838.27-1839.27] 就是邪的
[1839.27-1840.27] 以后的人生
[1840.27-1842.27] 我完全可以接受不再结婚
[1842.27-1843.27] 因为我很能自洽
[1843.27-1844.27] 同时
[1844.27-1847.27] 我也很希望体验和相爱的人相濡以沫
[1847.27-1848.27] 互唱互随的幸福
[1848.27-1850.27] 过后我以前从没体会过
[1850.27-1852.27] 你说过男人的品位看两样东西
[1852.27-1854.27] 身边的女人和吃的东西
[1854.27-1855.27] 我的问题是
[1855.27-1857.27] 据你自己的体会和你的观察
[1857.27-1859.27] 你们这类通透心中有善
[1859.27-1860.27] 懂爱和懂生活的男人
[1860.27-1861.27] 选女人
[1861.27-1862.27] 你们看什么
[1862.27-1863.27] 住一切都好
[1863.27-1864.27] 哎呀
[1864.27-1866.27] 你这个问到专家了
[1866.27-1868.27] 这个
[1868.27-1869.27] 呃
[1869.27-1872.27] 如果首先回答你婚姻的问题吧
[1872.27-1873.27] 你今年如果你是四十岁了
[1873.27-1875.27] 你就不要想这个问题了
[1875.27-1876.27] 呃
[1876.27-1879.27] 我们在人生过程中结婚
[1879.27-1883.27] 是一定一定这个动作一定发生在自己头脑不清醒的时候
[1883.27-1886.27] 就是你在二十五岁之前结婚
[1886.27-1887.27] 或者三十岁之前
[1887.27-1889.27] 你人生观还不太清醒的时候
[1889.27-1892.27] 你这时候才能全身心的投入爱情
[1892.27-1893.27] 呃
[1893.27-1895.27] 全身心的投入婚姻
[1895.27-1897.27] 然后这种婚姻呢
[1897.27-1900.27] 实际上是是因为两个人都是傻逼
[1900.27-1901.27] 事实就是这样
[1901.27-1902.27] 呃
[1902.27-1906.27] 两个人都是只有一个翅膀的天使
[1906.27-1908.27] 天使就是内心单纯吧
[1908.27-1910.27] 其实就是没活明白吧
[1910.27-1912.27] 当你活明白了后
[1912.27-1914.27] 就说你刚才那句话叫你很能独处和自洽
[1914.27-1917.27] 到了这个阶段时候人结不了婚
[1917.27-1920.27] 因为你再也容忍不了
[1920.27-1925.27] 当当你习惯了一个人的安静和自由的时候
[1925.27-1927.27] 你再也无法容忍
[1927.27-1929.27] 你旁床旁边睡着另一个人
[1929.27-1931.27] 而这个人会影响你的生活
[1931.27-1933.27] 为什么这么说呢
[1933.27-1937.27] 因为婚姻意味着两个人搬到一个房子里面去生活
[1937.27-1939.27] 两个人的生活习惯必须要合一
[1939.27-1940.27] 变成一个人
[1940.27-1942.27] 同样的生活习惯
[1942.27-1944.27] 你这个婚姻才有意义
[1944.27-1947.27] 而作为两个40岁以上的成年人来说
[1947.27-1950.27] 他已经完全形成了自己的生活习惯
[1950.27-1952.27] 就完全成型了
[1952.27-1953.27] 换句话说
[1953.27-1955.27] 成型就意味着你有棱角
[1955.27-1957.27] 你有自己的形状
[1957.27-1959.27] 一个三角形一个圆形放在一起
[1959.27-1960.27] 一定磕磕碰碰
[1960.27-1963.27] 只有在你25岁以前
[1963.27-1964.27] 你很单纯的时候
[1964.27-1967.27] 你磕碰的过程你觉得好甜蜜
[1967.27-1969.27] 我愿意为了他改变
[1969.27-1970.27] 到40岁以上
[1970.27-1973.27] 尤其是40岁以上的女人
[1973.27-1975.27] 不愿意改变
[1975.27-1976.27] 不愿意改变自己
[1976.27-1978.27] 就变得非常倔强
[1978.27-1979.27] 因为40岁了
[1979.27-1981.27] 如果这个女人还是单身的
[1981.27-1984.27] 他一定有很多的棱角形成了自己的形状
[1984.27-1986.27] 你这个时候你让他去磕碰
[1986.27-1987.27] 他会流血
[1987.27-1989.27] 他会感到痛苦
[1989.27-1991.27] 所以40岁以上的女人
[1991.27-1993.27] 有自理生活能力的
[1993.27-1994.27] 活明白了
[1994.27-1997.27] 几乎不可能再次进入婚姻的殿堂
[1997.27-2000.27] 因为你肯定不会找一个比你差很多的
[2000.27-2002.27] 我们所有的人类社会
[2002.27-2004.27] 基因就是这么设计的
[2004.27-2006.27] 就是女人要找比自己岁数大的
[2006.27-2007.27] 为什么
[2007.27-2008.27] 就是要比自己强大的
[2008.27-2011.27] 因为女人需要被保护被呵护
[2011.27-2012.27] 而男人要保护和呵护
[2012.27-2014.27] 你想你都40岁了
[2014.27-2015.27] 符合你这个要求的
[2015.27-2018.27] 那男的那都是45岁50岁了
[2018.27-2020.27] 这样的男人没结婚的
[2020.27-2023.27] 又能够跟你般配的
[2023.27-2024.27] 那叫凤毛麟角
[2024.27-2028.27] 那真的是太稀缺的钻石级资源了
[2028.27-2029.27] 所以呢
[2029.27-2035.27] 你就等着马斯克给你做那个肉体温暖的AI男性
[2035.27-2036.27] 大脚机器人吧
[2036.27-2038.27] 否则的话真的是
[2038.27-2039.27] 这个问题解决不了
[2039.27-2041.27] 所以把这个问题放下吧
[2041.27-2045.27] 就是把一定要结婚这个问题放下吧
[2045.27-2046.27] 一定要结婚
[2046.27-2048.27] 和我有一个男人之间
[2048.27-2050.27] 是完全不同的两个空间
[2050.27-2053.27] 如果一个一定要结婚是原子核的话
[2053.27-2056.27] 我有一个男人就是原子本身
[2056.27-2057.27] 就是特别大
[2057.27-2058.27] 太阳系那么大
[2058.27-2059.27] 一定要结婚
[2059.27-2062.27] 那个婚姻殿堂大概是太阳本身那么大
[2062.27-2065.27] 所以这个你不一定能碰到太阳
[2065.27-2067.27] 但是你进入太阳系的控制范围
[2067.27-2070.27] 那简直就是你只要想就行
[2070.27-2072.27] 找男人很容易
[2072.27-2073.27] 男女之间
[2073.27-2077.27] 我的视角男女之间分三个层次
[2077.27-2078.27] 男女之间的空间
[2078.27-2079.27] 关系
[2079.27-2080.27] 分为三个层次
[2080.27-2082.27] 如果第一个层次都没到
[2082.27-2083.27] 就不要考虑了
[2083.27-2085.27] 第一个层次叫逼屌经济学
[2085.27-2086.27] 就是逼屌学
[2086.27-2087.27] 就是什么呢
[2087.27-2089.27] 就是相当于你买一个鞋
[2089.27-2090.27] 你买鞋
[2090.27-2091.27] 你要干什么
[2091.27-2092.27] 第一件事
[2092.27-2093.27] 你要两脚
[2093.27-2094.27] 对不对
[2094.27-2096.68] 你要试一下
[2096.68-2098.68] 大小不合适就不行
[2098.68-2100.68] 比如说你40号的脚
[2100.68-2102.68] 你他买了一个38号的鞋
[2102.68-2104.68] 或者你买了个45号的鞋
[2104.68-2106.68] 那你能走路吗
[2106.68-2107.68] 你只能站在那不动
[2107.68-2108.68] 对不对
[2108.68-2109.68] 合不合脚
[2109.68-2110.68] 只有脚知道
[2110.68-2112.68] 你以后把哑巴被驴操有股说不出
[2112.68-2116.68] 所以这个事就是第一步
[2116.68-2118.68] 因为物理说
[2118.68-2119.68] 科学说
[2119.68-2120.68] 咱们都是活明白
[2120.68-2121.68] 都40岁了
[2121.68-2123.68] 就不是小孩儿童不宜
[2123.68-2125.68] 咱们就别让儿童看一事
[2125.68-2126.68] 那什么呢
[2126.68-2132.68] 人种身材大小真的不一样
[2132.68-2134.68] 如果你能看到
[2134.68-2135.68] 大家都脱了
[2135.68-2138.68] 而且男性处于雄起状态
[2138.68-2140.68] 女性处于潮湿状态的话
[2140.68-2144.68] 区别是一目了然
[2144.68-2147.68] 男性的东西的形状有9款
[2147.68-2149.68] 女性的东西的形状也有
[2149.68-2151.68] 大类上来说也有3到4款
[2151.68-2152.68] 当然也有分成9款
[2152.68-2155.68] 但是好多是重合的
[2155.68-2157.68] 不是每一款都适合每一个人
[2157.68-2160.68] 这只是形状还有大小
[2160.68-2162.68] 有粗细有体能
[2162.68-2163.68] 有人种
[2163.68-2167.68] 所以真正适合自己的只有试过才知道
[2167.68-2170.68] 哪一款鞋配哪一款脚
[2170.68-2171.68] 哪一个钥匙
[2171.68-2172.68] 还有哪一个锁
[2172.68-2174.68] 这个东西不能强求
[2174.68-2176.68] 不舒服就是不舒服
[2176.68-2178.68] 那什么情况下你能接受呢
[2178.68-2180.68] 就是这个世界上只有一把钥匙
[2180.68-2182.68] 那你就别挑了
[2182.68-2185.68] 或者这世界上只有一个锁
[2185.68-2187.68] 或者你只有一双鞋
[2187.68-2190.68] 全村的人都只能穿这双鞋了
[2190.68-2192.68] 因为大家要么就光脚了
[2192.68-2196.68] 但如果都是很多双鞋和很多只脚
[2196.68-2198.68] 很多钥匙很多锁的时候
[2198.68-2201.68] 大家必须要试到至少是
[2201.68-2203.68] 差不离八九不离十的一款
[2203.68-2205.68] 所以这个为什么我要鼓励
[2205.68-2207.68] 就是同种种族结婚
[2207.68-2210.68] 就是或者向上兼容
[2210.68-2212.68] 这样婚姻就幸福
[2212.68-2214.68] 比如说亚裔的女性
[2214.68-2216.68] 你找一个白人的男性
[2216.68-2217.68] 这样婚姻特别的幸福
[2217.68-2218.68] 幸福度特别高
[2218.68-2220.68] 因为白人男性里面他有
[2220.68-2221.68] 怎么讲呢
[2221.68-2224.68] 有那个叫yellow fever
[2224.68-2225.68] 就是黄热病
[2225.68-2227.68] 白人男性里面有个百分之几
[2227.68-2229.68] 百分之几十的比例还挺高的
[2229.68-2231.68] 他们认为东北亚女人
[2231.68-2232.68] 就是中国日本韩国女人
[2232.68-2233.68] 才是真正的女人
[2233.68-2235.68] 就这样
[2235.68-2237.68] 所以就是我就认识一个
[2237.68-2240.68] 我大女儿小孩同学
[2240.68-2241.68] 她叫阿莎
[2241.68-2242.68] 阿莎的爸就是
[2242.68-2245.68] John没事就拿一杯星巴克咖啡
[2245.68-2247.68] 就蹲在这个小学门口
[2247.68-2248.68] 跟所有的亚裔妈妈
[2248.68-2249.68] 中国妈妈日本妈妈
[2249.68-2251.68] 有话没话哔哩哩
[2251.68-2252.68] 就是他就是一个黄热病
[2252.68-2253.68] 后来他跟他老婆离婚了
[2253.68-2254.68] 他老婆是个白人嘛
[2254.68-2255.68] 离婚了之后
[2255.68-2258.68] 他找的女朋友就全是亚裔
[2258.68-2260.68] 这我觉得就像同性恋一样
[2260.68-2261.68] 他是性取向问题
[2261.68-2263.68] 那亚女配白男
[2263.68-2265.68] 婚姻幸福的多
[2265.68-2267.68] 因为白男的个人素质
[2267.68-2269.68] 卫生习惯和绅士程度
[2269.68-2273.68] 要比华男的水平要高一个层次
[2273.68-2274.68] 当然跟我这样华男
[2274.68-2275.68] 他们还是没法比的
[2275.68-2277.68] 但是我说的是平均啊
[2277.68-2280.68] 然后那华女对华男
[2280.68-2282.68] 就是东北亚女对东北亚男
[2282.68-2283.68] 这也可以啊
[2283.68-2284.68] 就是我我就不忘记
[2284.68-2285.68] 往下说了
[2285.68-2287.68] 往下说就容易引起这个
[2287.68-2289.68] 这个种族歧视的这个纷争啊
[2289.68-2290.68] 就是说为什么
[2290.68-2292.68] 就是同一种族的
[2292.68-2294.68] 尽可能互相交配的
[2294.68-2297.68] 他这个match的可能性更大
[2297.68-2301.68] 但是如果你要是东北的男人
[2301.68-2303.68] 你娶四川的女人
[2303.68-2306.68] 你这个婚姻就容易幸福
[2306.68-2307.68] 你四川的男人
[2307.68-2308.68] 娶东三省的女人
[2308.68-2310.68] 你婚姻就不容易幸福
[2310.68-2312.68] 就说我说的这个斜和角的区别啊
[2312.68-2313.68] 就是向上兼容
[2313.68-2314.68] 懂吧
[2314.68-2318.68] 就是白男的那个和华男的那个
[2318.68-2319.68] 懂吧
[2319.68-2321.68] 就是东北男的那个和四川男的那个
[2321.68-2325.68] 但是这个女性的这个容忍度的就比较高
[2325.68-2327.68] 而在这个男女关系里面
[2327.68-2328.68] 女性先进入高潮
[2328.68-2331.68] 就是女性先反复高潮
[2331.68-2332.68] 爽的就是
[2332.68-2336.68] 哎呀就是已经就是就进入癫狂状态了
[2336.68-2337.68] 就是胡说八道
[2337.68-2338.68] 在那乱叫的时候
[2338.68-2342.68] 这个时候男人的征服欲和这个保护欲就达到了极致
[2342.68-2344.68] 这个时候男人进行释放之后
[2344.68-2346.68] 就是你们生的小孩都特别棒
[2346.68-2349.68] 这就是我刚才讲的就是向上兼容的原理啊
[2349.68-2352.68] 最次是同种族兼容
[2352.68-2353.68] 当然更好是向上兼容
[2353.68-2354.68] 就是女的呢
[2354.68-2355.68] 就是能力稍差一点
[2355.68-2357.68] 男的能力稍高一点
[2357.68-2361.68] 这样配的婚姻就是特别的稳定
[2361.68-2363.68] 这是物理基础
[2363.68-2366.68] 如果物理基础不行的话
[2366.68-2371.68] 那婚姻很难不发生cheating
[2371.68-2373.68] 就是背叛很难不发生
[2373.68-2375.68] 因为这个婚姻过程很长啊几十年
[2375.68-2377.68] 那你脚一直不舒服
[2377.68-2379.68] 或者鞋一直不舒服
[2379.68-2380.68] 他碰到一个舒服的
[2380.68-2381.68] 他能不吹叮吗
[2381.68-2382.68] 这是什么
[2382.68-2383.68] 这个是可以理解的
[2383.68-2384.68] 这跟道德毫无关系
[2384.68-2388.68] 那道德都是他妈的人类给你后边弄的枷锁
[2388.68-2390.68] 那如果野性解放的话
[2390.68-2391.68] 那就是啊
[2391.68-2393.68] 这个进去之后他就是舒服
[2393.68-2395.68] 那个进去之后他就是不舒服
[2395.68-2396.68] 这个东西他妈的
[2396.68-2399.68] 这他他这个他骗不了别人
[2399.68-2400.68] 他他骗得了别人
[2400.68-2401.68] 他骗不了别人
[2401.68-2402.68] 他骗不了自己
[2402.68-2403.68] 他试过他就知道
[2403.68-2406.68] 所以很多我们不理解的婚姻
[2406.68-2407.68] 为什么那么幸福
[2407.68-2410.68] 就明明看这俩根本不配呀
[2410.68-2412.68] 为什么这俩这么甜蜜呀
[2412.68-2414.68] 或者很多大家觉得应该很般配的婚姻
[2414.68-2415.68] 为什么保持不住
[2415.68-2417.68] 为什么要离婚
[2417.68-2418.68] 就是这层原因
[2418.68-2420.68] 因为这层原因虽然是基础物理原因
[2420.68-2423.68] 但是在中国的所谓儒家文化体系下
[2423.68-2425.68] 他反而不足为外人道
[2425.68-2428.68] 所以这个鲁迅讲赵姨娘
[2428.68-2430.68] 赵姨娘有赵姨娘的优势
[2430.68-2433.68] 那赵姨娘的优势就是对不对
[2433.68-2434.68] 他逼合适
[2434.68-2436.68] 他跟他妈的老爷他就喜欢
[2436.68-2439.68] 那款正好套套用一下正好合适
[2439.68-2441.68] 小和谐合适
[2441.68-2443.68] 所以这是第一层
[2443.68-2445.68] 如果这一层满足了
[2445.68-2447.68] 其实你男女之间的健康问题
[2447.68-2451.68] 和这个生活的质量就已经有保证了
[2451.68-2452.68] 就已经OK了
[2452.68-2455.68] 就是那个太阳系的范围就已经进去了
[2455.68-2457.68] 你就不要去撞击那个太阳核心去了
[2457.68-2458.68] 对不对
[2458.68-2459.68] 那再往上一个层次
[2459.68-2460.68] 再往上一个层次
[2460.68-2461.68] 是什么呢
[2461.68-2463.68] 就是三观要合
[2463.68-2465.68] 如果夫妻两个
[2465.68-2466.68] 或者男女双方
[2466.68-2467.68] 三观不一致
[2467.68-2468.68] 那他妈的
[2468.68-2470.68] 虽然底下可能钥匙开锁正合适
