[0.91-2.21] 哈喽,大家好
[1154.69-1155.69] 对是
[1155.69-1156.69] 就是说你套住了
[1156.69-1157.69] 你别看了
[1157.69-1158.69] 其实你没赔钱
[1158.69-1160.69] 但是你一卖就赔钱了
[1160.69-1161.69] 反过来也一样
[1161.69-1162.69] 我涨了10倍
[1162.69-1163.69] 你卖了吗
[1163.69-1164.69] 你没卖
[1164.69-1165.69] 你没挣钱
[1165.69-1166.69] 忘了这个事
[1166.69-1167.69] 汇率涨了而已
[1167.69-1169.69] 你卖了你才挣了钱
[1169.69-1171.69] 告诉你一个秘密
[1171.69-1173.69] 我是中国第一代业余股民
[1173.69-1175.69] 最喜欢投资的是2000人民币
[1175.69-1176.69] 增值万倍
[1176.69-1177.69] 我2000万了
[1177.69-1179.69] 一直战斗到现在
[1179.69-1180.69] 你信吗
[1180.69-1184.04] 我也告诉你一个秘密
[1184.04-1187.04] 我是上帝派来拯救银河系
[1187.04-1190.04] 抵抗五大猩猩侵略者的超人
[1190.04-1192.04] 今天只告诉你一个人
[1192.04-1193.04] 你信吗
[1193.04-1195.04] 你把股票当成一种货币
[1195.04-1196.04] 这种货币
[1196.04-1197.04] 说从某个方面讲是对的
[1197.04-1198.04] 也不是
[1198.04-1199.04] 也是不全面的
[1199.04-1200.04] 不好意思
[1200.04-1201.04] 我的体会更深更多
[1201.04-1202.04] 现行装逼犯
[1202.04-1203.04] 我不信
[1203.04-1205.04] 因为老王看着股市成长起来
[1205.04-1209.04] 你你要是能做到
[1209.04-1210.04] 你是我师傅
[1210.04-1211.04] 就这么简单
[1211.04-1212.04] 我不信
[1212.04-1213.04] 为什么
[1213.04-1214.04] 做不到
[1214.04-1216.04] 因为说达到你刚才说的2000元人民币
[1216.04-1217.04] 干到2000万
[1217.04-1218.04] 而且就哎呦
[1218.04-1219.04] 我操股神
[1219.04-1220.04] 在中国A股
[1220.04-1222.04] 你就等于跟我说
[1222.04-1224.04] 你可以拽着自己的头发
[1224.04-1225.04] 平地飞升
[1225.04-1226.04] 我操
[1226.04-1227.04] 我见耶稣了
[1227.04-1228.04] 我不信
[1228.04-1230.04] 我也耶稣派来的
[1230.04-1231.04] 不信
[1231.04-1232.04] 下一个
[1232.04-1234.04] 穿着村炮的衣服
[1234.04-1235.04] 说股市
[1235.04-1236.04] 只能说大老王
[1236.04-1237.04] 你太接地气了
[1237.04-1240.04] 你不能这么羞辱我
[1240.04-1242.04] 那个衣服很贵的
[1242.04-1243.04] 那个衣服真的很贵
[1243.04-1245.04] 那是我十多年以前最装逼的时候
[1245.04-1247.04] 现行装逼犯的时候
[1247.04-1248.04] 弄的私人定制
[1248.04-1251.04] 全是袖口上写的我的名字的
[1251.04-1252.04] 哎呀
[1252.04-1253.04] 意大利毛料
[1253.04-1254.04] 意大利设计师弄的
[1254.04-1255.04] 怎么就叫村炮
[1255.04-1257.04] 那是我能把那个意大利
[1257.04-1260.04] 设计师的定制西装穿成村炮
[1260.04-1263.04] 而不是我的西装本身是村炮
[1263.04-1264.04] 那是我的问题
[1264.04-1266.04] 不是衣服的问题好吗
[1266.04-1267.04] 我现在膨胀了
[1267.04-1269.04] 我我装不进去了
[1269.04-1271.04] 所以我就变成村炮了
[1271.04-1274.04] 谁没有帅的时候
[1274.04-1276.04] 强烈支持王主席讲干货
[1276.04-1279.04] 记得之前新浪博客里浑浊的水晶球系列
[1279.04-1280.04] 可惜没了
[1280.04-1281.04] 真的是
[1281.04-1282.04] 又是个老退友
[1282.04-1284.04] 跟了我至少15年了吧
[1284.04-1286.04] 浑浊的水晶球系列
[1286.04-1287.04] 浑浊的水晶球系列
[1287.04-1289.04] 是我在探讨股市哲学的层面上
[1289.04-1292.04] 我自己认为不亚于禅宗说禅的水平的
[1292.04-1294.04] 跟它是一个level的
[1294.04-1296.04] 哲学层面探讨
[1296.04-1301.04] 股市中多维波动和高斯中心曲线分布的
[1301.04-1304.04] 基础代码的这么一个
[1304.04-1305.04] 可以说半解天书的文章
[1305.04-1306.04] 没敢多写
[1306.04-1309.04] 因为我也怕我跟禅宗说禅似的挂了
[1309.04-1310.04] 为什么
[1310.04-1311.04] 你不能泄露天机
[1311.04-1312.04] 这是泄露天机的事
[1312.04-1313.04] 你知道吧
[1313.04-1315.04] 因为你把东西都说了
[1315.04-1316.04] 上帝干嘛去
[1316.04-1317.04] 过来吧
[1317.04-1318.04] 就乔布斯似的
[1318.04-1319.04] 手机那么好使
[1319.04-1321.04] 上帝不会
[1321.04-1322.04] iOS
[1322.04-1323.04] iPad
[1323.04-1324.04] 上帝开始不会
[1324.04-1325.04] 我操
[1325.04-1326.04] 把它给弄过来
[1326.04-1327.04] 教我怎么用
[1327.04-1328.04] 完了
[1328.04-1330.57] 60多岁死了
[1330.57-1331.57] 建阳
[1331.57-1335.57] 从3000元买认购证开始进入股市
[1335.57-1336.57] 第一次听老王的解释
[1336.57-1337.57] 确实有道理
[1337.57-1338.57] 高伦佩服
[1338.57-1339.57] 还有这么个老公
[1339.57-1340.57] 老王加油厉害
[1340.57-1342.57] 想起当年红白蓝带子
[1342.57-1343.57] 装钱去上海
[1343.57-1344.57] 住云峰剧院招待所
[1344.57-1346.57] 一早去对门买认购证的股市
[1346.57-1349.57] 这都是绝对的老股市老前辈
[1349.57-1350.57] 卧槽
[1350.57-1352.57] 你们知道什么叫红白蓝带子吗
[1352.57-1353.57] 你们这帮小年轻人
[1353.57-1354.57] 肯定不知道红白蓝带子吧
[1354.57-1355.57] 我告诉你
[1355.57-1357.57] 就是农民工用的编织蛋
[1357.57-1359.57] 红的白的蓝的
[1359.57-1360.57] 还做的小方格
[1360.57-1362.57] 好像苏格兰格似的
[1362.57-1363.57] 那是红白蓝
[1363.57-1364.57] 那可结实了
[1364.57-1367.57] 那一袋子里能装100万人民币
[1367.57-1369.57] 那个时候1990年
[1369.57-1370.57] 他跑来住云峰宾馆
[1370.57-1371.57] 这绝对是真的
[1371.57-1372.57] 这个我信
[1372.57-1373.57] 为什么
[1373.57-1374.57] 就是在云峰宾馆对面商交所
[1374.57-1375.57] 他去买认购证去了
[1375.57-1376.57] 认购证
[1376.57-1377.57] 炒到3000块
[1377.57-1379.57] 这个老股民应该说的也是真的
[1379.57-1381.57] 真的是那么炒的吗
[1381.57-1382.57] 所以这些老股民
[1382.57-1383.57] 像1990年
[1383.57-1387.57] 他们能扛着袋子去买认购证
[1387.57-1390.57] 那时候他们至少应该有30岁了吧
[1390.57-1391.57] 甚至更高
[1391.57-1392.57] 他们现在应该都是前辈
[1392.57-1393.57] 比我的岁数大了
[1393.57-1396.57] 那应该都是60岁往上的人
[1396.57-1399.57] 甚至70岁往上的人了
[1399.57-1401.57] 红白蓝带子那时候是大款的必备
[1401.57-1402.57] 装钱最好使
[1402.57-1403.57] 白宝山知道吧
[1403.57-1405.57] 白宝山中华第一汉匪
[1405.57-1406.57] 那是
[1406.57-1407.57] 拿他们AK47
[1407.57-1409.57] 跑到乌鲁木齐
[1409.57-1412.57] 抢维吾尔老汉的人民币
[1412.57-1413.57] 一抢抢几百万
[1413.57-1415.57] 都是红白蓝带子
[1415.57-1416.57] 装的
[1416.57-1417.57] 老炮这都是
[1417.57-1418.57] 比我有钱
[1418.57-1419.57] 我那时候拿不出
[1419.57-1420.57] 我那时候还上学呢
[1420.57-1422.57] 90年我还上学
[1422.57-1423.57] 安妮
[1423.57-1424.57] 哇塞
[1424.57-1425.57] 你果然聪明
[1425.57-1427.57] 这个世界上最聪明的人都应该去当老师
[1427.57-1428.57] 亚里士多德说的
[1428.57-1431.57] 亚里士多德真的说过这个
[1431.57-1432.57] 那不能吧
[1432.57-1434.57] 是不是你亚里士多德安妮说的
[1434.57-1435.57] 不如老郭
[1435.57-1436.57] 草根
[1436.57-1437.57] 是英雄
[1437.57-1438.57] 是能力
[1438.57-1439.57] 嗯
[1439.57-1442.57] 蛀虫只是碰巧落在了米缸中
[1442.57-1443.57] 哎
[1443.57-1444.57] 这慢慢
[1444.57-1445.57] 慢慢我讲
[1445.57-1447.57] 我就让你知道我不是蛀虫
[1447.57-1448.57] 我也有
[1448.57-1449.57] 我不跟老郭比
[1449.57-1450.57] 人家的成就比我大得多
[1450.57-1451.57] 人家能把
[1451.57-1453.57] 那么大的楼盘坐起来
[1453.57-1455.57] 能把阿布扎比的基金登进来
[1455.57-1457.57] 那人家的格局比我大得多
[1457.57-1459.57] 格局比班农坐旁边当跟班
[1459.57-1461.57] 人家lady妹比我这船大
[1461.57-1462.57] 他们10倍20倍
[1462.57-1463.57] 所以
[1463.57-1465.57] 我不能确实不能跟人家比
[1465.57-1467.57] 你要说我是坐在米缸里的蛀虫
[1467.57-1469.57] 那你也是不了解我
[1469.57-1470.57] 我会慢慢的告诉你
[1470.57-1473.57] 我在金融领域的所有的创新的故事
[1473.57-1474.57] 你听完你就知道
[1474.57-1476.57] 这个人成功不是偶然的啊
[1476.57-1477.57] 不是米缸
[1477.57-1478.57] 我操米缸
[1478.57-1479.57] 我哪有米缸啊
[1479.57-1480.57] 我爸又不是什么的
[1480.57-1481.57] 猪蠢鸡
[1481.57-1483.57] 老王你搞脑梗是结尾
[1483.57-1484.57] 拔掉就走
[1484.57-1485.57] 对
[1485.57-1486.57] 以后都是这个
[1486.57-1487.57] 为啥
[1487.57-1488.57] 我一看时间
[1488.57-1489.57] 我操怎么也这么长时间
[1489.57-1490.57] 又臭又长
[1490.57-1491.57] 赶紧走
[1491.57-1493.57] 没有时间说片儿谈话了
[1493.57-1494.57] 嗯
[1494.57-1495.57] 好了
[1495.57-1497.57] 今天有25分钟了
[1497.57-1498.57] 说重点
[1498.57-1499.57] 巴以战争啊
[1499.57-1500.57] 巴勒斯坦
[1500.57-1501.57] 加沙地带
[1501.57-1502.57] 忽然干起以色列来了
[1502.57-1504.57] 然后就是大家都逆愤填膺
[1504.57-1506.57] 因为就是开篇说的
[1506.57-1508.57] 看的那些女人的尸体被羞辱
[1508.57-1511.57] 小孩子被关在狗笼子里
[1511.57-1512.57] 像他妈的
[1512.57-1513.57] 真的是好惨
[1513.57-1515.57] 你说我们都有恻隐之心
[1515.57-1517.57] 把狗关在狗笼子里
[1517.57-1518.57] 要杀
[1518.57-1519.57] 你都要流眼泪
[1519.57-1520.57] 何况是孩子呀
[1520.57-1523.57] 那个孩子好可怜
[1523.57-1524.57] 哎呀
[1524.57-1525.57] 我自己也有孩子
[1525.57-1526.57] 也是那个也有那么大年龄的
[1526.57-1527.57] 我就看不了这些画面
[1527.57-1528.57] 我义愤填膺
[1528.57-1531.57] 真的是非常的生气
[1531.57-1533.57] 但是是不是就应该
[1533.57-1534.57] 就就哎呦疯了
[1534.57-1535.57] 我弄死他妈
[1535.57-1537.57] 我把他妈逼的巴勒斯坦人全部途径
[1537.57-1539.57] 绿绿就是他妈地球的毒瘤
[1539.57-1540.57] 咱们这话不能说
[1540.57-1541.57] 为什么不能说的
[1541.57-1543.57] 你听今天老王给你讲一个故事
[1543.57-1544.57] 讲完故事之后
[1544.57-1546.57] 你再决定绿绿树是不是毒瘤
[1546.57-1548.57] 呃杀不杀干净他们啊
[1548.57-1550.57] 涂不涂干净他们
[1550.57-1554.17] 呃
[1554.17-1555.17] 呃
[1555.17-1556.17] 我曾经
[1556.17-1558.17] 收购过一个上市公司主板的
[1558.17-1560.17] 叫哈尔滨秋林股份
[1560.17-1562.17] 我从我这个故事呢
[1562.17-1563.17] 巴以战争的故事
[1563.17-1565.17] 从这个巴以战争的事
[1565.17-1567.17] 从这个故事讲起
[1567.17-1569.17] 秋林股份
[1569.17-1571.17] 不是中国公司
[1571.17-1573.17] 他叫秋天的秋
[1573.17-1574.17] 森林的林
[1574.17-1576.17] 秋林是个俄罗斯人的名字
[1576.17-1578.17] 确切的说他是个姓
[1578.17-1579.17] 秋林
[1579.17-1581.17] 他这个全名叫伊万
[1581.17-1582.17] 亚克列维奇
[1582.17-1583.17] 秋林
[1583.17-1585.17] 这个人是一个大清时代的
[1585.17-1586.17] 呃
[1612.81-1615.17] 尤其是俄籍的犹太人
[1615.17-1617.17] 在那势力是非常大的
[1617.17-1619.17] 中国人在那的势力
[1619.17-1621.17] 并没有今天这么强
[1621.17-1623.17] 他那是日本人
[1623.17-1625.17] 朝鲜人
[1625.17-1627.17] 俄罗斯人和中国人
[1627.17-1629.17] 多族混居的这么一个地方
[1629.17-1631.17] 所以呢秋林在那个地方呢
[1631.17-1633.17] 就是大展拳脚
[1633.17-1635.17] 呃做了秋林百货
[1635.17-1637.17] 这秋林百货有多牛逼呢
[1637.17-1639.17] 这个秋林百货是整个远东
[1639.17-1641.17] 包括东京和北京
[1641.17-1643.17] 呃和上海
[1643.17-1644.17] 第一个使用了
[1644.17-1646.17] 电灯的百货公司
[1646.17-1650.17] 基本上只只慢于巴黎的老佛爷
[1650.17-1654.17] 然后秋林当时的服务员一水的全是白俄
[1654.17-1655.17] 小娘们儿
[1655.17-1657.17] 特别漂亮
[1657.17-1659.17] 而且他牛逼到
[1659.17-1664.17] 他在在这个店里面使用俄罗斯旧卢布
[1664.17-1666.17] 一直到前苏联
[1666.17-1668.17] 列宁建立苏联之后
[1668.17-1669.17] 1911年之后
[1669.17-1670.17] 他继续使用
[1670.17-1673.17] 白俄的贵族几十万人
[1673.17-1674.17] 带着家眷
[1674.17-1676.17] 带着钱和金手势
[1676.17-1678.17] 跑到东北避难
[1678.17-1680.17] 全部都以秋林为据点
[1680.17-1682.17] 居住
[1682.17-1684.17] 他就这么牛逼啊秋林
[1684.17-1686.17] 所以他呢
[1686.17-1688.17] 是可以整个
[1688.17-1690.17] 控制物流和商品的这么个集散的
[1690.17-1691.17] 这样一个公司
[1691.17-1693.17] 他不光是商业百货
[1693.17-1694.17] 连啤酒啊
[1694.17-1695.17] 什么面包啊
[1695.17-1696.17] 火腿肠啊
[1696.17-1697.17] 猎枪啊
[1697.17-1698.17] 他什么都干皮大衣
[1698.17-1700.17] 他是个真正的集团公司啊
[1700.17-1701.17] 秋林
[1701.17-1702.17] 后来俄罗斯
[1702.17-1706.17] 前苏联起来之后呢
[1706.17-1708.17] 这秋林老爷子呢
[1708.17-1709.17] 就犯了个小错误
[1709.17-1710.17] 你知道吧
[1710.17-1713.17] 他又想回跟列宁商量商量
[1713.17-1715.17] 看看能不能
[1715.17-1718.17] 被蓝金黄一下
[1718.17-1719.17] 列宁呢
[1719.17-1720.17] 就给他写了一封信
[1720.17-1721.17] 听说他想回来
[1721.17-1724.17] 因为他是远东首富秋林
[1724.17-1725.17] 给他一个许诺
[1725.17-1727.17] 就让他回去做政协副主席
[1727.17-1730.17] 就是前苏联的那个
[1730.17-1732.17] 对应的那种职位
[1732.17-1733.17] 国家领导人
[1733.17-1734.17] 他可高兴了
[1734.17-1735.17] 他可高兴了
[1735.17-1737.17] 他就想回去
[1737.17-1739.17] 可是你不要忘了
[1739.17-1745.17] 他是资助白俄的逃亡政权
[1745.17-1748.17] 和逃亡人士的主要的赞助商
[1748.17-1751.17] 资助了20年
[1751.17-1752.17] 10多年
[1752.17-1753.17] 这些人啊
[1753.17-1754.17] 从他手里拿了不少钱
[1754.17-1756.17] 也带给他了无数的金银珠宝
[1756.17-1758.17] 这些人知道了以后啊
[1758.17-1760.17] 你小时候看过
[1760.17-1761.17] 钢铁是怎样炼成的
[1761.17-1764.17] 这里边有保尔科沙金主人公
[1764.17-1765.17] 他经常骂的就是
[1765.17-1769.17] 匪帮邓尼金和匪帮戈尔查克
[1769.17-1771.17] 戈尔查克就在哈尔滨
[1771.17-1773.17] 戈尔查克将军就
[1773.17-1775.17] 就给他弄了一个
[1775.17-1776.17] 圣诞节了
[1776.17-1778.17] 就给他弄了一个邮包
[1778.17-1779.17] 给他寄到办公室了
[1779.17-1781.17] 就今天哈尔滨多纳之街
[1781.17-1782.17] 他那办公室
[1782.17-1783.17] 老楼的办公室
[1783.17-1784.17] 哪时候就那么高
[1784.17-1785.17] 他很高兴的打开
[1785.17-1786.17] 呼
[1786.17-1787.17] 人就死了
[1787.17-1788.17] 炸死了
[1788.17-1790.17] 是不是戈尔查克匪帮
[1790.17-1791.17] 寄的邮件
[1791.17-1792.17] 我不知道
[1792.17-1793.17] 这是我猜的
[1793.17-1794.17] 因为我收购的时候
[1794.17-1796.17] 看他公司历史
[1796.17-1797.17] 我心想
[1797.17-1799.17] 这事应该是这拨人干的
[1799.17-1801.17] 不是戈尔查克的人干的
[1801.17-1803.17] 也是白俄的那些军官们干的
[1803.17-1805.17] 这案子到今天也没破
[1805.17-1807.17] 谁炸死他到今天也没破
[1807.17-1808.17] 他一死
[1808.17-1809.17] 日本人就起来了
[1809.17-1811.17] 日本人当时占了东三省了
[1811.17-1814.17] 日本人就把丘陵改成了大河洋行
[1814.17-1815.17] 后来
[1815.17-1817.17] 我说错了
[1817.17-1818.17] 英国人起来
[1818.17-1819.17] 那时候英国人说了算
[1819.17-1820.17] 英国人就说了算
[1820.17-1822.17] 英国人就改成了叫汇丰洋行
[1822.17-1824.17] 后来日本人马上就来了
[1824.17-1826.17] 汇丰洋行没几年就改成了大河洋行
[1826.17-1827.17] 日本人也接过来了
[1827.17-1830.17] 然后前苏联打关东军
[1830.17-1831.17] 打完二战之后
[1831.17-1833.17] 又收归了苏联国有
[1833.17-1836.17] 然后周恩来跑去见赫鲁晓夫
[1836.17-1838.17] 说你给我援建156个项目
[1838.17-1839.17] 但是还有一个项目
[1839.17-1840.17] 我得给你掰扯掰扯
[1840.17-1842.17] 那个东西你应该给我
[1842.17-1843.17] 赫鲁晓夫说
[1843.17-1844.17] 这个事我知道
[1844.17-1845.17] 这是我们俄罗斯人的
[1845.17-1847.17] 跟你们中国人没关系
[1847.17-1849.17] 然后周总理就说
[1849.17-1850.17] 你还不够意思吗
[1850.17-1852.17] 然后赫鲁晓夫就给你了
[1852.17-1854.17] 邱琳这样回到共产党的手里
[1854.17-1855.17] 变成了国有企业
[1855.17-1857.17] 我给你讲个历史严格
[1857.17-1859.17] 讲这段是什么意思呢
[1859.17-1861.17] 讲这段是告诉你一个
[1861.17-1863.17] 你不知道的故事
[1863.17-1866.17] 我们都知道犹太复国主义
[1866.17-1868.17] 它可不是说这几十年的事
[1868.17-1872.17] 它是从以色列出埃及之后
[1872.17-1874.17] 上帝就给了他们名士
[1874.17-1875.17] 就告诉他们
[1875.17-1877.17] 第一圣殿第二圣殿第三圣殿
[1877.17-1878.17] 整个过程
[1878.17-1879.17] 然后你们都要
[1879.17-1880.17] 受苦
[1880.17-1881.17] 然后你受苦之后
[1881.17-1883.17] 你会找到一个应许之地
[1883.17-1885.17] 重新复国以色列
[1885.17-1888.17] 建造第三圣殿之后迎接审判
[1888.17-1890.17] 整个的基督徒
[1890.17-1893.17] 传统的基督徒和犹太教徒
[1893.17-1898.17] 都是非常信上帝的预言的
[1898.17-1900.17] 那么他们管
[1900.17-1903.17] 未来的建国复国的应许之地
[1903.17-1905.17] 叫西安
[1905.17-1906.17] 中文的话就是
[1906.17-1907.17] 金银铜铁西的西
[1907.17-1909.17] 安全的安ZN
[1909.17-1912.17] ZN在罗马语和英语里面
[1912.17-1913.17] 是子宫的意思
[1913.17-1915.17] 子宫就是母体
[1915.17-1917.17] 就是黑客帝国里面
[1917.17-1919.17] 西安地下城堡
[1919.17-1921.17] 人类的最后的防守的地方
[1921.17-1923.17] 就是西安
[1923.17-1926.17] 以色列人穷尽几百年
[1926.17-1928.17] 在地球上找西安
[1928.17-1931.17] 在他们看到复国有望的时候
[1931.17-1933.17] 他们之前找了两个地方
[1933.17-1936.17] 一个就是今天的耶路撒冷
[1936.17-1938.17] 就是今天的以色列
[1938.17-1939.17] 中东
[1939.17-1941.17] 那是上帝最后最初
[1941.17-1943.17] 许给他们奶喝蜜的地方
[1943.17-1946.17] 还有一个地方就是哈尔滨
[1946.17-1947.17] 就是哈尔滨
[1947.17-1948.17] 为什么说
[1948.17-1950.17] 哈尔滨有可能成为西安呢
[1950.17-1953.17] 差一点点成为以色列呢
[1953.17-1954.17] 就是因为
[1954.17-1956.17] 哈尔滨在当时的地球版图上
[1956.17-1958.17] 它属于一个三不管地带
[1958.17-1959.17] 俄罗斯
[1959.17-1960.17] 苏联
[1960.17-1961.17] 日本
[1961.17-1962.17] 中国三强鼎立
[1962.17-1963.17] 在那个地方
[1963.17-1966.17] 恰恰形成了个零重力状态
[1966.17-1967.17] 任何一个列强
[1967.17-1970.17] 都不能影响哈尔滨的绝对优势
[1970.17-1972.17] 都不能有拥有哈尔滨的绝对优势
[1972.17-1974.17] 所以以色列人在那反而
[1974.17-1975.17] 犹太人在那
[1975.17-1979.17] 反而有机会建立它的根据地
[1979.17-1980.17] 所以直到今天
[1980.17-1983.17] 你还能在哈尔滨看到犹太坟
[1983.17-1985.17] 很多犹太人死了葬在那
[1985.17-1988.17] 你也可以看到犹太教堂
[1988.17-1992.17] 这些都是犹太人对哈尔滨的感情
[1992.17-1994.17] 好几代人的感情
[1994.17-1996.17] 一两代人在那生活发展
[1997.17-1999.17] 最后他们回到以色列之后
[1999.17-2001.17] 他们依旧忘不了哈尔滨
[2001.17-2004.17] 忘不了上帝曾经许给他们的第二
[2004.17-2007.17] 可能plan b的应许之地
[2007.17-2008.17] 就是哈尔滨
[2008.17-2010.17] 所以以色列人
[2010.17-2011.17] 直到今天
[2011.17-2012.17] 对于哈尔滨
[2012.17-2014.17] 是有很大的感情的
[2014.17-2015.17] 姚大校
[2015.17-2016.17] 姚城
[2016.17-2017.17] 姚将军也现在
[2017.17-2018.17] 你要是不走
[2018.17-2019.17] 你肯定是将军了
[2019.17-2020.17] 姚将军
[2020.17-2021.17] 你开飞机回来
[2021.17-2022.17] 哈尔滨有什么
[2022.17-2023.17] 哈尔滨有飞机制造厂吗
[2023.17-2024.17] 直升飞机制造厂吗
[2024.17-2025.17] 对不对
[2025.17-2026.17] 哈菲嘛
[2026.17-2027.17] 你要是哈菲的人
[2027.17-2028.17] 你去以色列
[2028.17-2030.17] 以色列人是经历久的
[2030.17-2031.17] 经历久的大哥
[2031.17-2033.17] 因为这段以色列人
[2033.17-2036.17] 是藏在心底的感恩
[2036.17-2038.17] 哈尔滨曾经给他们提供了庇护所
[2038.17-2040.17] 保护了他们整整50年
[2040.17-2043.17] 所以
[2043.17-2044.17] 这段历史
[2044.17-2046.17] 基本上没有什么人知道
[2046.17-2048.17] 那是我说过丘陵的时候
[2048.17-2049.17] 我翻出来了
[2049.17-2051.17] 当然你今天百度谷歌
[2051.17-2053.17] 可能能够在
[2053.17-2054.17] 扩展阅读
[2054.17-2056.17] 把我说的这件事圆起来
[2056.17-2057.17] 可能我说的一些人
[2057.17-2058.17] 也未必就那么准确
[2058.17-2059.17] 因为我的记忆都是
[2059.17-2061.17] 我是随口就来
[2061.17-2062.17] 我没有整理
[2062.17-2064.17] 那
[2064.17-2066.17] 我说这段话的意思就是
[2066.17-2068.17] 如果
[2068.17-2070.17] 你假设
[2070.17-2073.17] 以色列人当时不是在中东耶路撒冷
[2073.17-2075.17] 建立起来了以色列
[2075.17-2077.17] 没有打历次石油战争
[2077.17-2078.17] 他干起来了
[2078.17-2080.17] 而是在
[2080.17-2082.17] 二战没有发生
[2082.17-2085.17] 中苏日真的在那个地方
[2085.17-2086.17] 形成一个真空地带
[2086.17-2089.17] 需要一个缓冲国
[2089.17-2092.17] 那他真的在黑龙江
[2092.17-2093.17] 哈尔滨周围
[2093.17-2096.17] 建立起来了一个以色列
[2096.17-2098.17] 列为中国人
[2098.17-2100.17] 你们感受是不是就是今天的
[2100.17-2102.17] 加沙巴勒斯坦人
[2102.17-2104.17] 这些大鼻子白皮肤
[2104.17-2105.17] 凭空出现
[2105.17-2106.17] 拿着上帝给他们的
[2106.17-2108.17] 他们的上帝给他们的圣经
[2108.17-2110.17] 就告诉你这是他们的地儿
[2110.17-2111.17] 然后呢就
[2111.17-2112.17] 你同意吗
[2112.17-2113.17] 你不同意
[2113.17-2114.17] 一顿乱打
[2114.17-2115.17] 他们还好厉害啊
[2115.17-2117.17] 他们打不过他们打几次
[2117.17-2118.17] 团结起来
[2118.17-2120.17] 从内关内调兵打
[2120.17-2122.17] 蒙古人来
[2122.17-2123.17] 满洲人来
[2123.17-2125.17] 汉人来
[2125.17-2126.17] 都来
[2126.17-2127.17] 山河四省一起打
[2127.17-2129.17] 一下被打得满地找牙
[2129.17-2131.17] 最后呢
[2131.17-2133.17] 以色列人很够意思
[2133.17-2134.17] 说再这么着吧
[2134.17-2135.17] 也不欺负你
[2135.17-2136.17] 再什么伊春啊
[2136.17-2137.17] 隋芬河啊
[2137.17-2138.17] 给你画几个地儿
[2138.17-2139.17] 你当定居点吧
[2139.17-2141.17] 我们拿警察看着你们
[2141.17-2142.17] 他们三个人只要在一起
[2142.17-2144.17] 去去去去去去
[2144.17-2145.17] 要干什么呢
[2145.17-2146.17] 干什么
[2146.17-2149.17] 要干什么造反是吧
[2149.17-2153.17] 我描述的就是过去这几十年
[2153.17-2156.17] 曾经发生在加沙定居点的故事
[2156.17-2158.17] 以色列士兵和警察军警
[2158.17-2159.17] 对巴勒斯坦人
[2159.17-2160.17] 并没有你们想象的
[2160.17-2161.17] 那么文明和客气
[2161.17-2162.17] 不要忘了
[2162.17-2164.17] 好多犹太人是老毛子过去的
[2164.17-2165.17] 所以呢
[2165.17-2166.17] 巴勒斯坦人
[2166.17-2169.17] 对以色列人充满了仇恨
[2169.17-2171.17] 这种仇恨是刻到了基因里了
[2171.17-2173.17] 刻到血脉里了
[2173.17-2174.17] 而以色列人
[2174.17-2175.17] 对巴勒斯坦人
[2175.17-2176.17] 这种隔离和封锁
[2176.17-2179.17] 又使得巴勒斯坦变得极其的
[2179.17-2182.17] 加沙地带变得极其的贫穷和封闭
[2182.17-2184.17] 一旦贫穷和封闭之后
[2184.17-2186.17] 没有什么没有知识
[2186.17-2188.17] 知识不但不会进化
[2188.17-2189.17] 还会退化
[2189.17-2190.17] 你看看今天中国就知道了
[2190.17-2193.17] 我们这一代大学生是有想法
[2193.17-2194.17] open mind
[2194.17-2195.17] 就是开放的
[2195.17-2196.17] 想学英语
[2196.17-2197.17] 想去了解世界的
[2197.17-2198.17] 你看看现在的小粉红
[2198.17-2200.17] 他想了解世界吗
[2200.17-2202.17] 知识是可以退化的
[2202.17-2203.17] 960万平方公里
[2203.17-2204.17] 14亿人口的大国
[2204.17-2206.17] 一旦封闭都会退化
[2206.17-2209.17] 你想想区区几百万定居点
[2209.17-2211.17] 那么几个小城市
[2211.17-2213.17] 他给你封闭起来
[2213.17-2214.17] 一封闭几十年
[2214.17-2216.17] 你说这个地方的年轻人长大了
[2216.17-2217.17] 现在都长大了
[2217.17-2218.17] 还贼能生
[2218.17-2219.17] 一家六七个五六个
[2219.17-2220.17] 他们长大了
[2220.17-2222.17] 他们不就是活牲口吗
[2222.17-2224.17] 他们什么事都能干得出来
[2224.17-2229.45] 他们把小孩子关到笼子里
[2229.45-2232.45] 他们把女人那么羞辱
[2232.45-2234.45] 他们不觉得丢脸
[2234.45-2236.45] 因为他们不知道丢脸
[2236.45-2238.45] 他们不懂
[2238.45-2239.45] 耶稣说过原谅他们
[2239.45-2242.45] 他们都不知道自己在做什么
[2242.45-2243.45] 就说到这儿
[2243.45-2245.45] 真的是
[2245.45-2248.45] 这就是common sense
[2248.45-2251.45] 因为我有孩子
[2251.45-2256.45] 所以我们是不是真的应该恨巴勒斯坦人
[2256.45-2259.45] 是不是真的应该把他们屠杀干净
[2259.45-2261.45] 这个事你听完这个故事
[2261.45-2263.45] 你带入一下哈尔滨黑龙江
[2263.45-2265.45] 你自己再想好吧
