[2.29-3.31] Hello大家好
[1482.42-1485.24] 我们还要让台湾人民享受跟我们一样的待遇吗
[1485.50-1487.04] 我们有没有良心呀
[1487.30-1489.86] 我们读的五千年圣贤书都进了
[1490.36-1491.38] 屎脑子了吗
[1491.64-1492.16] 所以
[1492.92-1494.20] 从这个角度来说
[1495.22-1497.02] 我们真的应该
[1497.28-1499.32] 对台湾独立网开一面
[1499.84-1501.62] 人家能划着小山板走
[1502.14-1503.42] 至少在
[1503.92-1505.72] 地球上在这个舞台上
[1505.98-1507.50] 讲中文的
[1508.28-1509.82] 认识炎黄的
[1511.10-1511.86] 这样的一个
[1512.38-1512.88] 国家
[1513.14-1514.16] 还存在
[1515.44-1516.46] 真的被统一了
[1516.72-1518.00] 真的变成特首了
[1518.26-1519.28] 那不就是香港
[1519.54-1520.30] 又他妈完了
[1520.56-1524.40] 中国人的社会地位在国际全球村里面又往下走一截
[1524.92-1526.96] 幸亏有台湾人我们还可以
[1527.22-1528.24] 蹭一蹭
[1528.50-1530.54] 说其实你看跟老外说你看
[1530.80-1531.32] 我们也是
[1531.32-1532.60] 跟自己一样的吧你看
[1532.86-1534.40] 台湾这么好台湾护照这么好使
[1534.90-1537.98] 台湾人你们觉得这么健康我们一样的只是因为共产党不好
[1538.24-1538.74] 对不对
[1539.00-1541.82] 如果台湾连这张牌都没有了我操我们
[1542.08-1542.58] 百口莫辩
[1543.36-1544.88] 我们简直跟黑非洲一个待遇
[1545.40-1546.68] 一个low b德行
[1547.70-1548.22] 所以
[1549.50-1550.52] 作为一个
[1550.78-1553.84] 我也跳船跑了划船出来的加拿大人来
[1554.10-1555.38] 我现在是加拿大公民
[1556.16-1558.20] 那华裔加拿大公民来说
[1558.72-1559.74] 我相信
[1560.24-1561.28] 所有的
[1561.58-1564.64] 华裔加拿大公民只要脑子正常
[1565.42-1566.70] 只要不是天天
[1566.96-1568.74] 看他们什么抖音小红书的
[1569.26-1570.02] 今日头条的
[1571.30-1574.38] 只要是在加拿大生活了一段时间的
[1575.40-1576.94] 都对台湾独立
[1577.96-1578.72] 采取
[1578.98-1581.54] 支持或暗中支持的态度
[1582.06-1583.34] 真正反对的人
[1583.60-1585.12] 我估计没有我身边没有
[1585.64-1587.94] 我身边所有的加拿大华裔都是
[1588.20-1589.48] 几乎都是从大陆来了
[1589.74-1591.02] 除了我们家
[1591.02-1592.04] 小朋友的钢琴老师
[1592.56-1593.58] 小朋友钢琴在这
[1594.10-1596.66] 小朋友的钢琴老师这两天不在为什么
[1596.90-1597.94] 回去投票了
[1598.18-1599.72] 还没回来他下周就回来了
[1599.98-1601.26] 我要问问他投的谁
[1601.52-1603.06] 这个小姑娘
[1603.30-1605.36] 我曾经在以前的视频里讲了
[1605.86-1607.92] 这个小姑娘温文尔雅是台北人
[1608.18-1608.68] 蓝营的
[1608.94-1611.76] 但我猜他这次回去投的是柯文哲
[1613.04-1613.80] 小姑娘是
[1614.06-1615.34] 真的是买了机票
[1615.60-1617.64] 回去投票
[1617.90-1618.92] 等他回来我问问他
[1619.94-1620.46] 嗯
[1621.78-1624.86] 我们身边的除了这个钢琴小老师之外
[1625.12-1626.14] 全部都是大陆的华人
[1627.68-1630.50] 逐步的慢慢的都跟我同频
[1630.74-1631.26] 同步了
[1631.78-1632.54] 大家都觉得
[1633.30-1634.34] 台湾独立挺好
[1634.84-1636.38] 至少我们思念母国了
[1636.64-1638.94] 不单因为我们成为行走的50万
[1639.20-1641.24] 我们还可以去台湾享受享受
[1641.76-1643.04] 华语文化
[1643.30-1645.34] 享受享受那嘈杂的街景
[1645.60-1649.18] 那个不守交通规矩的人流和
[1649.44-1650.46] 和
[1651.02-1653.06] 车这个电动车流
[1653.32-1654.10] 这个
[1654.34-1655.38] 哎哟我觉得好亲切
[1655.62-1657.68] 那就是应该是中国事情应该有的样子
[1658.18-1660.50] 如果台湾真的被
[1660.74-1662.28] 金上给统一了
[1662.54-1664.84] 那我们恐怕真的是没地儿可去了
[1665.10-1665.86] 去哪啊
[1666.12-1667.14] 铁幕一拉下来
[1667.40-1668.68] 谁敢再回去啊
[1668.94-1669.46] 就像
[1669.70-1670.22] 那个
[1670.48-1673.04] 五月老先生说的别他妈回去了
[1673.30-1675.60] 回去之后你甭管你送生不送生
[1675.86-1677.64] 你都可能成为行走的50万
[1677.90-1678.42] 所以
[1679.94-1680.98] 这就是
[1681.28-1682.56] 加拿大华人的心态
[1682.82-1685.12] 我估计美国华人应该也差不多
[1685.88-1689.22] 我们感恩还有地球上还有这么一个
[1689.46-1692.02] 不受共产党集权操纵
[1692.54-1695.62] 还有着这个中华传统文化土壤
[1695.86-1698.18] 这样的一个岛国的存在
[1698.42-1701.24] 所以祝福台湾我不是台湾人
[1702.26-1704.32] 但是我支持台湾独立你们可以打我了
[1705.08-1706.36] 所以呢
[1706.62-1708.42] 这就是老王的心路历程
[1708.92-1709.70] 自己的感受
[1709.96-1711.74] 我走在台北街头的感受
[1712.00-1713.28] 我走在台北街头
[1713.54-1715.84] 我真的害怕他变成一个
[1716.36-1717.12] 下一个香港
[1717.64-1718.40] 我真的害怕
[1718.66-1719.18] 所以
[1719.68-1720.96] 我没有什么
[1721.98-1724.80] 123、36G、108法没有
[1725.06-1725.82] 就是
[1726.34-1726.86] 感觉
[1727.62-1728.38] 就是这种感觉
[1729.66-1730.44] 非常淳朴
[1730.94-1731.72] 非常单纯
[1731.98-1732.48] 不能变
[1732.74-1733.50] 变了就完蛋
[1734.54-1735.30] 真的变成那样
[1735.82-1737.60] 我们都是从那个地方出来的
[1737.86-1739.66] 他妈什么样我们心里不清楚嘛
[1740.22-1742.26] 老百姓全完了
[1742.52-1744.06] 你们他们老百姓你们这些
[1744.30-1746.86] 尤其是我看现在一些蓝营深蓝的这些
[1747.64-1750.46] 老头老太太们因为反对民进党
[1751.48-1752.24] 而变得
[1752.50-1753.02] 发狂
[1753.52-1754.30] 甚至
[1754.54-1756.86] 张开双臂拥抱共产党
[1757.36-1759.92] 只要能够维持所谓的中国统一
[1760.18-1761.98] 无所不用其极
[1762.48-1763.00] 快醒醒吧
[1763.76-1764.78] 共产党真去了
[1765.04-1766.06] 你们就是他妈人矿
[1766.84-1769.14] 民进党再操弹再无能
[1769.70-1770.98] 也比共产党强
[1771.74-1773.80] 毕竟台湾它是个民主政体
[1774.30-1775.34] 没有党进
[1775.58-1776.62] 没有暴进
[1776.86-1778.40] 可以自由的说话
[1778.66-1781.48] 我相信这一波台湾人
[1781.98-1783.78] 老东西们很快都会死光
[1784.30-1785.58] 死完了之后
[1786.08-1787.10] 这波耗炼费了
[1787.62-1788.64] 过去之后
[1788.90-1790.94] 新生成的这些台湾人
[1792.48-1794.02] 能够把台湾建设得更好
[1795.04-1795.56] 而且
[1795.82-1797.34] 铁幕一旦落下
[1797.86-1798.38] 如果
[1798.88-1799.40] 习
[1800.46-1801.74] 能力依然
[1802.00-1803.54] 表现为正常发挥
[1803.80-1804.30] 那么
[1804.82-1805.58] 一番
[1805.84-1806.86] 争斗之后
[1807.12-1808.40] 台湾并不会
[1808.66-1810.70] 变成中国的一个省
[1811.22-1811.98] 一个特区
[1813.02-1813.78] 我相信台湾
[1814.04-1816.86] 台湾的未来还至少有50%的光明
[1820.37-1821.65] 好了今天就说到这吧
[1821.91-1823.95] 今天晚上就跟大家聊聊天
[1824.47-1827.29] 让大家真的是放放松了
[1827.79-1829.59] 明天我们接着聊
[1829.85-1830.35] 再见
