[2.00-3.48] hello 大家好
[3.48-5.80] 今天给大家彻底解密
[1383.69-1384.33] 我给你们类比一下
[1385.37-1386.57] 你们想象一下
[1387.13-1388.09] 话说
[1388.45-1389.45] 青海
[1390.17-1391.21] 游牧民族
[1392.45-1393.89] 个个养牛都有了钱
[1393.89-1395.05] 养羊都有了钱
[1395.05-1397.17] 个个存款都上百万上千万
[1397.17-1400.05] 他们太想买上海A股了
[1400.09-1400.65] 假设
[1400.89-1401.77] 当然他们不会了
[1401.77-1403.77] 但是假设上海A股天天涨
[1403.77-1404.89] 他们太想炒股了
[1404.89-1407.57] 他们听说炒股是一个很有前途的职业
[1407.85-1409.81] 于是他们想在自己的帐篷里
[1409.81-1411.69] 粘房里安一台电脑
[1411.69-1413.49] 安上乾隆炒股软件
[1413.49-1414.65] 炒股对不对
[1414.65-1415.41] 那个时候叫乾隆
[1415.57-1416.97] 后来才有什么
[1417.01-1419.97] 杭州的老郭
[1420.17-1421.57] 我帮他上市叫什么来着
[1424.69-1429.25] 杭州炒股的软件公司
[1432.23-1433.07] 忘了
[1435.15-1436.27] 后来才有国内的
[1436.27-1437.47] 那个时候都叫乾隆
[1437.47-1438.47] 都是从台湾过来的
[1438.47-1439.35] 乾隆炒股软件
[1439.35-1439.87] 好
[1440.31-1443.31] 然后有两个青海的牧民
[1443.31-1444.47] 飞到了上海
[1444.59-1447.47] 找到了国泰军安的
[1447.47-1448.27] 营业部
[1448.59-1449.59] 开了个户
[1449.59-1452.19] 然后拿着国泰军安的乾隆炒股软件
[1452.19-1454.55] 和自己的账户
[1454.55-1456.19] 飞回了蒙古粘房
[1456.19-1458.43] 竖了一个小电脑
[1458.43-1459.91] 所有的村民们
[1459.91-1460.75] 你们牧民们
[1460.75-1461.95] 你们都可以来这开户了
[1462.11-1463.43] 用我们的账号就行了
[1463.43-1465.19] 我们找了个小朋友
[1465.19-1466.59] 多开了100个分户
[1466.59-1467.99] 你们也都可以在这用
[1468.15-1469.47] 你们都可以用免费的
[1469.47-1471.51] 然后咱们一起炒上海的股票
[1472.99-1474.99] 这样他们事实上就变成了
[1475.39-1476.43] 国泰军安
[1476.71-1477.43] 住草原
[1477.47-1478.55] 营业部的一个分点
[1478.55-1479.31] 当然非法的
[1479.31-1481.23] 国泰军安并不知道他们在这干这的
[1483.13-1485.65] 然后牧民们有的人买
[1485.65-1486.37] 有的人卖
[1486.37-1488.85] 然后他们哥俩就在这个粘房里
[1488.85-1490.05] 帮大家下单
[1490.77-1492.41] 根据着上海的走势
[1492.61-1493.85] 大家的钱存进来
[1494.09-1495.09] 买了股票赚了钱
[1495.25-1496.77] 反正你要提走就给你钱
[1496.77-1498.01] 你要买输了
[1498.01-1498.97] 反正你也得认
[1498.97-1499.81] 这你自己输了
[1499.81-1500.49] 有什么办法
[1500.65-1502.09] 我都只是替你下个单
[1502.09-1503.65] 收你个茶水手续费
[1503.65-1504.61] 如果咱俩是亲戚
[1504.61-1506.25] 我连手续费都不收你
[1506.25-1506.97] 对不对
[1506.97-1508.09] 有一天
[1508.09-1510.13] 有一天
[1511.01-1512.65] 弟弟喝多了
[1512.65-1515.53] 一脚把底下网线给踢断了
[1515.65-1516.65] 没发现
[1517.29-1518.73] 哥俩还在那玩呢
[1519.01-1521.97] 只能看见交易市场的行情
[1522.01-1525.53] 但是交易的数据给提掉了
[1525.65-1527.17] 就是说你能看到行情
[1527.17-1529.05] 你做不了交易操作了
[1529.05-1530.09] 但是哥哥不知道
[1530.09-1531.33] 还在那收钱记账
[1531.33-1532.17] 收钱记账
[1532.17-1533.77] 如此运作了一个月
[1533.77-1534.73] 才发现
[1536.01-1537.21] 把数据怎么断了
[1537.33-1538.05] 这根本就没记到
[1538.05-1538.09] 这根本就没记到
[1538.09-1539.41] 你下单怎么办
[1539.41-1542.06] 怎么办
[1542.06-1543.42] 惊喜的发现
[1543.42-1544.50] 没事
[1545.18-1546.46] 没事
[1546.46-1548.26] 没有人来找他
[1548.26-1549.18] 为什么
[1549.94-1551.62] 因为在他这开户的牧民
[1551.90-1552.86] 人的本性
[1553.86-1555.46] 挣了钱不会提走
[1555.46-1556.82] 因为在账上钱多了
[1556.98-1557.98] 好开心
[1557.98-1558.98] 他又不缺吃的
[1558.98-1559.54] 不缺穿的
[1559.54-1560.70] 他家不是死了人
[1560.70-1561.78] 不是出了破产的事
[1561.78-1563.26] 他不会把钱都提走的
[1563.26-1564.62] 还在你家存着的
[1564.82-1566.54] 但是赔了钱的
[1566.90-1567.98] 买了中国石油的
[1567.98-1569.74] 从17块钱跌到7块钱的
[1569.74-1571.46] 钱他也就不要了
[1571.46-1573.34] 因为他觉得我自己赔了10块
[1574.82-1575.94] 钱在谁那
[1577.02-1577.86] 哥俩那
[1579.06-1582.98] 今天老王就讲到了电子盘的冰山一鱼
[1583.26-1585.38] 预知后事如何
[1585.42-1588.06] 且听下回分解
[1588.10-1589.26] 明天接着讲
[1589.38-1590.42] 今天太累了
[1591.02-1591.82] 再见
