[0.00-3.64] 哈喽,大家好,欢迎又来听老王讲故事
[1357.72-1359.52] 我忘了南京那个名字我忘了
[1359.52-1361.56] 挺大的那个
[1361.56-1364.38] 他收了这么一大堆的这个品牌
[1364.38-1367.72] 他给自己编了一个升级版的故事2.0
[1367.72-1369.76] 又打着他态在香港去讲
[1369.76-1370.52] 我要干什么
[1370.52-1371.80] 我要干什么
[1371.80-1373.34] 这个人特别爱献
[1373.34-1374.88] 跟翟主席特别爱讲
[1374.88-1376.16] 特别爱讲
[1376.16-1378.20] 记者们来采访我吧
[1378.20-1382.82] 我就是改变人类历史的科学家
[1382.82-1384.10] 又有钱
[1384.10-1387.94] 又能做实业的科学家他真的把自己人设当时定位成那样子
[1387.94-1388.96] 原来打着黑色的领带在那讲话
[1388.96-1389.48] 又能做实业的科学家他真的把自己人设当时定位成那样子
[1389.48-1390.24] 又能做实业的科学家他真的把自己人设当时定位成那样子
[1390.24-1390.76] 又能做实业的科学家他真的把自己人设当时定位成那样子
[1390.76-1391.52] 讲什么呢
[1391.52-1393.32] 给大家讲了一个科学怪人的故事
[1393.32-1394.86] 因为他简史简的特别多嘛
[1394.86-1395.88] 讲了个科学怪人
[1395.88-1396.90] 他说是这样的
[1396.90-1399.20] 未来中国一定是国际制造业基地
[1399.20-1399.98] 你们服不服啊
[1399.98-1401.26] 所有的人都服服服
[1401.26-1402.02] 好了
[1402.02-1403.82] 现在呢我科隆要干什么呢
[1403.82-1404.84] 我把这么多品牌
[1404.84-1405.86] 这么多生产资源
[1405.86-1406.88] 这么多产业
[1406.88-1408.16] 产业制造基地
[1408.16-1409.44] 整合在一起
[1409.44-1410.48] 我形成一个
[1410.48-1412.00] 年产能力
[1412.00-1414.82] 产能1000万台冰箱
[1414.82-1416.86] 的这样一个生产能力
[1416.86-1418.14] 1000万台
[1418.14-1419.18] 全世界的
[1419.18-1419.94] 差不多
[1419.94-1421.22] 然后我要干什么
[1421.22-1424.54] 我要跟这些世界大鳄们PK
[1424.54-1427.88] 惠尔普LG三星西门泽
[1427.88-1428.90] 他们
[1428.90-1430.94] 都要跟我来好好谈
[1430.94-1431.98] 否则的话
[1431.98-1433.50] 我就给LG生产
[1433.50-1435.82] LG你不好好跟我谈我就给三星生产
[1435.82-1438.62] 三星你不好好谈我就跟惠尔普代工
[1438.62-1441.44] 总之我要跟这些人平等博弈
[1441.44-1442.46] 因为我拿了
[1442.46-1443.74] 所有人都要
[1443.74-1444.52] 基于
[1444.52-1444.78] 三分之一的
[1444.78-1445.54] 三分的
[1445.54-1446.32] 庞大的产能
[1446.32-1447.60] 我给你们谁代工
[1447.60-1449.14] 你们的成本一下子降下来了
[1449.14-1451.70] 因为我有一千万台的产能
[1451.70-1452.98] 我每台只挣
[1452.98-1455.28] 150人民币你下不下的话
[1455.28-1456.56] 150人民币呀
[1456.56-1460.40] 30$不到啊那个时候一笔7点几
[1460.40-1461.68] 我挣20美元
[1461.68-1465.78] 我给你生产一台冰箱我挣20美元
[1465.78-1467.06] 跪下
[1467.06-1469.10] 叫爹
[1469.10-1470.64] 叫的好听一点
[1470.64-1472.42] 否则那还有一个大鳄
[1472.42-1474.48] 国际大牌在等着我叫爷爷呢
[1474.48-1475.50] 好吗
[1475.50-1476.78] 他就讲了这么一个故事
[1476.78-1480.88] 太性感了漂亮
[1480.88-1484.34] 正在这个过程中
[1484.34-1486.12] 克星来了
[1486.12-1487.92] 就是王主席来了
[1487.92-1489.70] 蹦迪蹦的这么欢呢
[1489.70-1492.78] 棺材扒开来爬出来了个王主席
[1492.78-1494.32] 完了
[1494.32-1495.86] 老顾
[1495.86-1497.64] 正欢是吗
[1497.64-1499.44] 狼贤平来了
[1499.44-1500.98] 狼贤平来了
[1500.98-1502.76] 狼贤平在美国混不下去
[1502.76-1505.06] 然后回中国
[1505.06-1506.10] 回中国干嘛呢
[1506.10-1507.12] 大鹏证券
[1507.12-1508.40] 首席经济学家
[1508.40-1510.46] 但是大鹏证券先生有点瞧不起他
[1510.46-1512.50] 因为老狼太高了太飘了
[1512.50-1514.04] 整天狼教授狼教授的
[1514.04-1515.06] 人家不爱理他
[1515.06-1516.60] 老狼一怒之下就辞职了
[1516.60-1518.38] 老狼当时没事干
[1518.38-1519.66] 属于失业状态
[1519.66-1521.20] 老狼必须要再就业
[1521.20-1521.98] 诶
[1521.98-1524.28] 我擦这有个坟头蹦迪的
[1524.28-1526.58] 老狼是懂这些微观经济的
[1526.58-1529.90] 老狼上公司财务报表水平不比张化桥低
[1529.90-1533.50] 老狼还可以看张化桥还可以抄张化桥的研究成果吗
[1533.50-1535.80] 就像他后来抄我的研究成果是一样的
[1535.80-1538.36] 老狼抄我的作业嘛
[1538.36-1539.64] 向我道歉嘛
[1539.64-1540.42] 所以呢
[1540.42-1541.94] 老狼那就抄了
[1541.94-1543.48] 张化桥的研究成果
[1543.48-1544.76] 写了一篇
[1544.76-1546.04] 重磅文章
[1546.04-1548.10] 重磅中的重磅
[1548.10-1549.12] 叫
[1549.12-1550.40] 克隆电器
[1550.40-1553.98] 在国退民进的盛宴中狂欢
[1553.98-1556.02] 发表在国内的权威期刊上
[1556.02-1557.06] 这可不得了了
[1557.06-1557.82] 我操
[1557.82-1560.12] 因为他不像香港张化桥
[1560.12-1561.40] 他没有领导
[1561.40-1562.18] 他没有单位
[1562.18-1563.46] 他没有老板呀
[1563.46-1564.74] 他是个孤狼啊
[1564.74-1566.02] 他就像马保国一样
[1566.02-1567.04] 可以放飞自我
[1567.04-1568.58] 闪电五连鞭
[1568.58-1570.88] 只要有人请我去我就闪电五连鞭
[1570.88-1572.68] 没人请我去我自己花钱买门票
[1572.68-1573.70] 我也在家里
[1573.70-1577.80] 表演闪电五连鞭
[1577.80-1580.10] 张化桥虽然是真正武林高手
[1580.10-1581.38] 但是张化桥有领导
[1581.38-1582.40] 捆住手脚
[1582.40-1583.94] 十八般兵器都不让你用
[1583.94-1584.96] 你只能挨打
[1584.96-1587.78] 啪啪挨打
[1587.78-1589.06] 郎贤平孤狼一个
[1589.06-1590.34] 闪电五连鞭
[1590.34-1592.38] 抽得老顾脸都肿了
[1592.38-1593.42] 老顾这时候
[1593.42-1594.70] 犯了他人生最大的错误
[1594.70-1597.26] 他最大的错误就是不要去缠送
[1597.26-1598.80] 翟山英听好啊
[1598.80-1602.12] 老顾犯的最大的错误就是不会妥协
[1602.12-1603.14] 不会低头
[1603.14-1605.46] 你低个头认个怂
[1605.46-1606.98] 你这事就过去了
[1606.98-1607.76] 因为
[1607.76-1609.54] 郎贤平也在二次创业呀
[1609.54-1611.60] 也在二次创业呀
[1611.60-1613.90] 也从棺材里爬出来二次创业了
[1613.90-1616.20] 郎贤平不就是想要点名气
[1616.20-1617.48] 想要点
[1617.48-1618.76] 吃喝嫖赌的嫖资吗
[1618.76-1619.54] 他爱玩吗
[1619.54-1621.58] 爱泡妞吗
[1621.58-1623.38] 你说老顾你当时那么多钱
[1623.38-1625.18] 几百亿人民币的调动能力
[1625.18-1626.96] 几十亿的现金在你身上趴着
[1626.96-1628.24] 你说老顾这样
[1628.24-1632.08] 我给你成立个郎贤平经济研究所
[1632.08-1633.62] 贤平经济研究所
[1633.62-1634.64] 你做所长
[1634.64-1636.70] 你自己选研究员去
[1636.70-1638.48] 聘五到十个研究员
[1638.48-1640.28] 每年年薪五十万我给你付着
[1640.28-1642.58] 郎总我每年给你打过来
[1642.58-1644.12] 一千万的
[1644.12-1644.62] 费用
[1644.62-1646.68] 每年一千万我给你签二十年
[1646.68-1648.98] 你看郎贤平说yes还是说no
[1648.98-1650.52] 这事就过去了
[1650.52-1653.08] 郎贤平就会接着写一篇文章
[1653.08-1656.66] 在国退民进的盛宴中狂欢
[1656.66-1660.50] 是救国救民的最佳两策
[1660.50-1662.30] 但是老顾
[1662.30-1663.84] 摁死张化桥之后
[1663.84-1665.12] 他是诉讼性人格
[1665.12-1666.40] 他是表演性人格
[1666.40-1670.20] 他不能输啊
[1670.20-1671.48] 告郎贤平
[1671.48-1673.28] 狼雇之争就这么开始了
[1673.28-1675.06] 这玩意只包不住火
[1675.06-1676.08] 你真的就是真的
[1676.08-1676.86] 假的就是假的
[1676.86-1677.88] 你做没做假账
[1677.88-1680.44] 那玩意用计算器小学数学都能算出来
[1680.44-1682.24] 大哥你有省那么多的电吗
[1682.24-1683.52] 几百亿度
[1683.52-1684.54] 几十亿度的电
[1684.54-1685.56] 怎么可能呢
[1685.56-1686.34] 所以
[1686.34-1688.38] 狼雇之争的
[1688.38-1688.90] 结果
[1688.90-1689.92] 不用问
[1689.92-1692.98] 本来老百姓和社会舆论就不站在企业家这边
[1692.98-1694.78] 就觉得你们这都是一些蛀虫
[1694.78-1696.58] 都是掉到米缸里的蛀虫
[1696.58-1698.62] 民脂民膏都让你们给吃了
[1698.62-1701.18] 你还牛逼了你还告来了
[1701.18-1703.74] 你还告来了
[1703.74-1705.28] 那
[1705.28-1707.06] 郎贤平
[1707.06-1709.12] 成功的引起了中国证监会
[1709.12-1710.14] 国资委
[1710.14-1711.42] 地方政府
[1711.42-1713.22] 及税务总局
[1713.22-1714.24] 的注意
[1714.24-1715.26] 人家一出来
[1715.26-1716.04] 一联合办案
[1716.04-1716.80] 老顾进去了
[1716.80-1717.82] 老顾进去了
[1717.82-1718.34] 判了
[1718.34-1719.10] 刚出来吧
[1719.10-1721.16] 这家老顾出来又继续告
[1721.16-1722.18] 我要告证监会
[1722.18-1723.20] 我要告范富春
[1723.20-1724.22] 我要告地方政府
[1724.22-1725.24] 又继续告
[1725.24-1726.28] 所以
[1726.28-1727.56] 他告范富春的
[1727.56-1728.06] 结果
[1728.06-1730.88] 不用问
[1730.88-1732.16] 告成了就
[1732.16-1734.72] 告赢了的可能就基本上就是
[1734.72-1736.76] 零
[1736.76-1737.80] 告输了
[1737.80-1739.32] 搞不好他还得再进去一回
[1739.32-1741.64] 哎呀那个账我们还没算对
[1741.64-1742.92] 原来不是这么多钱
[1742.92-1744.20] 是你做的是这么多钱
[1744.24-1746.80] 少给你算了一零
[1746.80-1747.82] 所以这个
[1747.82-1748.60] 咱们
[1748.60-1749.62] 不说他的未来
[1749.62-1751.16] 总之就是
[1751.16-1753.20] 接着说
[1753.20-1754.74] 他把郎贤平给得罪了以后
[1754.74-1755.76] 他就给弄输了
[1755.76-1758.06] 弄输了以后他就树倒湖村散
[1758.06-1759.60] 东西就全没了
[1759.60-1762.42] 好假这时候所有的人都敢出来评
[1762.42-1763.44] 顾初军了
[1763.44-1764.72] 所有的人都在评他
[1764.72-1766.76] 这冷剂是假的吧
[1766.76-1768.04] 那配方在哪呢
[1768.04-1770.10] 怎么都不知道你这玩意呢
[1770.10-1771.64] 你那125家公司
[1771.64-1773.68] 谁给你做过德勤也说
[1773.68-1775.22] 我们好像最近比较忙
[1775.22-1776.76] 我们已经不再做
[1776.76-1778.54] 他的审计和评估了
[1778.54-1780.84] 然后这个人民大会堂也出来
[1780.84-1781.88] 钓鱼台国宾馆也出来
[1781.88-1782.90] 我们从来没用过
[1782.90-1784.44] 他那个客户平台有我们
[1784.44-1786.48] 我们不知道为什么
[1786.48-1788.02] 老顾呢就是
[1788.02-1790.06] 小楼昨夜又东风
[1790.06-1791.60] 顾国不堪回首
[1791.60-1793.40] 月明中就在
[1793.40-1795.70] 监狱里度过了这么多年的寒窗
[1795.70-1797.24] 也算是吃尽了苦头
[1797.24-1799.80] 没度过这一劫
[1799.80-1801.32] 所以他出来以后啊
[1801.32-1803.64] 他其实应该去找郎贤平的麻烦
[1803.68-1805.48] 他不应该去找范福春的麻烦
[1805.48-1806.24] 他找错人了
[1806.24-1808.04] 老顾给你隔空喊话大哥
[1808.04-1809.32] 你应该找郎贤平
[1809.32-1811.36] 郎贤平是他们那个
[1811.36-1813.92] 哎大家快看啊他没穿裤子
[1813.92-1815.96] 那个人人家范福春是警察
[1815.96-1818.28] 既然有人在通街喊你没穿裤子
[1818.28-1819.80] 警察能不来抓你吗
[1819.80-1821.08] 警察得出警啊
[1821.08-1823.14] 所以老顾呢就是
[1823.14-1825.18] 这次我也不知道他怎么想的
[1825.18-1828.00] 他去告证监会去了
[1828.00-1829.54] 老顾呢
[1829.54-1832.36] 这个人呢他就是这么一种爱线的性格
[1832.36-1833.64] 他跟黄光玉可以对比着什么
[1833.68-1834.70] 你看
[1834.70-1837.52] 黄光玉是一个典型的从底层
[1837.52-1840.84] 干一家店干一家店干起来的实业家
[1840.84-1842.64] 老顾是一个典型的
[1842.64-1846.48] 哇啦哇啦教授的资本家
[1846.48-1849.30] 实业家和资本家就是一上一下一阴一阳
[1849.30-1851.34] 是完全的两个极端
[1851.34-1852.88] 资本家做事
[1852.88-1856.20] 讲究的是大开大合的煽动性
[1856.20-1858.76] 企业家做事讲究的是踏踏实实
[1858.76-1859.54] 脚踏实地
[1859.54-1861.32] 资助必较的实用性
[1861.32-1863.38] 你这个两类人
[1863.38-1864.92] 很难找到通才
[1864.92-1869.02] 你从一个方向人生成功以后很难再进入另一个方向
[1869.02-1870.30] 所以这个人呢
[1870.30-1872.34] 你知道自己能做什么
[1872.34-1873.62] 并不伟大
[1873.62-1875.42] 最难能可贵的是
[1875.42-1877.98] 你知道自己不能做什么
[1877.98-1881.04] 一个资本家是绝对不能去碰实业的
[1881.04-1883.10] 这是资本家第一条军规
[1883.10-1884.62] 你根本搞不好
[1884.62-1888.22] 为什么呢说狼先平喊了老顾
[1888.22-1890.78] 说没穿裤子然后老顾锒锒入狱之后
[1890.78-1893.34] 老顾并不冤的
[1893.38-1896.70] 因为你老顾根本就是不是干实业的料
[1896.70-1900.30] 你给大家讲的那个1000万台产能那个故事
[1900.30-1902.08] 那个里边是有死穴的
[1902.08-1905.16] 老王今天给大家简简单单点出他的死穴
[1905.16-1907.98] 1000万台产能为什么是不可能的故事
[1907.98-1910.28] 为什么
[1910.28-1913.34] 巨鲨能成塔吗
[1913.34-1916.16] 巨猫能成虎吗
[1916.16-1917.70] 一个实业
[1917.70-1920.26] 像国美那样实业要长成真正的国美电器
[1920.26-1922.06] 它必须是从第一家店开始
[1922.06-1923.34] 老板开始干起来的
[1923.38-1926.46] 它叫内生型的骨骼
[1926.46-1927.98] 它才是结实的
[1927.98-1929.26] 它才是有生命力的
[1929.26-1930.30] 你
[1930.30-1933.10] 科学怪人捡到尸体缝起来的
[1933.10-1934.90] 那个玩意是站不起来的
[1934.90-1935.66] 你怎么通电
[1935.66-1937.46] 通电它也站不起来
[1937.46-1939.50] 所以巨猫不能成虎
[1939.50-1941.04] 巨鲨不能成塔
[1941.04-1944.62] 老顾在半路上碰到狼先平埋伏他
[1944.62-1945.40] 进去了
[1945.40-1947.18] 其实并不是坏事
[1947.18-1948.72] 因为这个时间很短
[1948.72-1950.78] 他在监狱里没待几年他又出来了
[1950.78-1952.82] 如果没有碰上狼先平
[1952.82-1955.38] 真的让他给弄成了1000万台产能
[1955.38-1958.96] 一定会在半路上杀出个李先平王先平来伏击他
[1958.96-1959.98] 他那个时候
[1959.98-1962.04] 娄子就会捅得更大
[1962.04-1963.58] 他出都出不来
[1963.58-1965.62] 都有可能活都活不了
[1965.62-1966.38] 为什么呢
[1966.38-1967.92] 因为你这种资本家
[1967.92-1969.46] 做的这种企业
[1969.46-1970.48] 有一句话
[1970.48-1971.76] 一说你们就明白
[1971.76-1973.56] 叫他们泥球钻豆腐
[1973.56-1975.34] 这泥球看起来有多大
[1975.34-1978.16] 掉下来之后豆腐后边的洞就有多大
[1978.16-1979.44] 所以科隆也好
[1979.44-1981.24] 他收的那四家
[1981.24-1982.78] 主板上市公司也好
[1982.78-1987.64] 那个洞啊老顾进去之后到今天其实都不好填
[1987.64-1990.46] 因为你资本家你老老实实做你资本运作
[1990.46-1993.02] 你不要干你不擅长的企业整合
[1993.02-1994.56] 你干不了的
[1994.56-1996.34] 没有一个能干成的
[1996.34-1997.88] 所以老顾的悲剧
[1997.88-2000.18] 是个必然发生的过程
[2000.18-2003.52] 跟老狼喊不喊他当然有直接的因素
[2003.52-2006.08] 但是从根本上来说老狼喊他
[2006.08-2007.62] 只是一个外因
[2007.62-2011.20] 他的内因本身就是不健康的
[2011.20-2011.96] 今天
[2011.96-2012.74] 老王就给你们
[2012.74-2016.32] 简简单单讲完老顾的故事
[2016.32-2017.86] 他的前世今生
[2017.86-2019.90] 他为什么走上了这条路
[2019.90-2020.94] 为什么
[2020.94-2022.72] 走不通这条路
[2022.72-2024.78] 大家听完了就清清楚楚
[2024.78-2025.80] 对不对
[2025.80-2026.56] 好了
[2026.56-2029.12] 偷我们的扎夫主席的一句话
[2029.12-2030.66] 听老王白货
[2030.66-2032.46] 快乐一整天
[2032.46-2033.74] 放松一整天
[2033.74-2035.52] 醒醒脑提提神
[2035.52-2036.30] 再见
