[1.84-2.76] 哈喽 大家好
[2.76-5.40] 今天将是一期悲伤的节目
[1508.42-1512.26] 锁定易普拉辛之后警方直接传唤易普拉辛要你DNA
[1512.26-1513.02] 怀疑你
[1513.02-1514.82] 与一次凶杀案有关
[1514.82-1518.66] 这个时候警方就有理由了因为已经有证据了
[1518.66-1521.48] 检方和警方就把他给抓起来了
[1521.48-1522.76] 一验血
[1522.76-1527.88] 一验DNA跟留在沈小宇体内的一模一样就是他
[1527.88-1530.44] 就这样易普拉辛被抓住了
[1530.44-1531.46] 但是
[1531.46-1533.76] 在这个过程中又出了幺蛾子
[1533.76-1535.30] 什么幺蛾子
[1535.30-1536.58] 疫情
[1536.58-1539.40] 所以本来预定2020年
[1539.40-1541.96] 初进行结案的终审
[1541.96-1544.00] 法庭无法组织
[1544.00-1546.06] 无法组织陪审团
[1546.06-1547.34] 而易普拉辛
[1547.34-1548.62] 家里边
[1548.66-1550.46] 甚至我怀疑
[1550.46-1552.76] 有这个教会的资助
[1552.76-1555.82] 请了温哥华最好的最狼性的律师
[1555.82-1557.88] 这个律师是个白人
[1557.88-1561.20] 非常臭名昭露非常敬业
[1561.20-1564.02] 他专门擅长打性侵案
[1564.02-1568.62] 这个律师一次又一次拖延法庭审理
[1568.62-1573.24] 找各种理由给易普拉辛争取时间
[1573.24-1575.54] 以至于他
[1575.54-1578.10] 教易普拉辛你不会说英语
[1578.10-1580.40] 你也不会说阿拉伯语
[1580.40-1581.42] 这一定是他教的
[1581.42-1582.46] 否则易普拉辛
[1582.46-1583.74] 不会知道这些东西
[1583.74-1585.26] 易普拉辛说
[1585.26-1588.86] 我只能说和听库尔德语
[1588.86-1590.38] 我既不懂阿拉伯语
[1590.38-1592.44] 也不懂英语
[1592.44-1593.98] 这是实话还是假话
[1593.98-1596.02] 在加拿大人权法庭上
[1596.02-1597.30] 讲人权的法庭上
[1597.30-1600.62] 法官无法强迫易普拉辛
[1600.62-1604.46] 进行阿拉伯语或者英语的测试
[1604.46-1605.50] 因为
[1605.50-1607.02] 这是人权
[1607.02-1608.06] 那
[1608.10-1609.64] 这个
[1609.64-1612.46] 凶险之处在于何地呢
[1612.46-1614.76] 整个加拿大整个温哥华
[1614.76-1618.86] 具有法律翻译能力和牌照的
[1618.86-1622.44] 库尔德语翻译没有
[1622.44-1624.74] 所以你开不了庭
[1624.74-1627.04] 即使找到一个可能
[1627.04-1628.58] 也只有他一个
[1628.58-1630.88] 就是还没有法律的这个牌照
[1630.88-1632.16] 只是一个翻译
[1632.16-1633.44] 那这个翻译
[1633.44-1634.72] 如果病了
[1634.72-1635.74] 如果家里边
[1635.74-1636.78] 有事了
[1636.78-1638.06] 人家没有时间出庭
[1638.10-1641.42] 你这个法庭就得往后延
[1641.42-1642.96] 各种类似的理由
[1642.96-1644.50] 一次又一次的延期
[1644.50-1647.58] 一直延到2023年
[1647.58-1650.38] 易普拉辛作为无罪之身
[1650.38-1652.70] 居然
[1652.70-1654.74] 从18年抓住他
[1654.74-1658.06] 拖到了二三年五年的时间
[1658.06-1659.34] 如果沈小宇还活着
[1659.34-1661.90] 沈小宇长大成人了这五年时间
[1661.90-1662.94] 这就是
[1662.94-1665.74] 我们西方的文明国家
[1665.74-1669.32] 讲究无罪推定的法庭
[1669.32-1671.88] 它的负面因素
[1671.88-1674.44] 不会冤枉一个好人的同时
[1674.44-1677.78] 也极其有可能放过一个坏人
[1677.78-1679.56] 所以易普拉辛在这个过程中
[1679.56-1681.62] 一次又一次的逃脱
[1681.62-1683.66] 陪审团解散重组
[1683.66-1685.46] 解散重组
[1685.46-1686.22] 终于
[1686.22-1688.78] 2023年法官人吴克仁
[1688.78-1692.62] 当庭怒斥他的这个郎姓律师
[1692.62-1693.38] 不行
[1693.38-1694.42] 而在最
[1694.42-1695.70] 不能再拖了
[1695.74-1697.28] 你的理由不成立
[1697.28-1698.30] 他又说
[1698.30-1699.32] 陪审团
[1699.32-1701.88] 有过多的亚裔
[1701.88-1703.94] 最新的陪审团里有过多的亚裔
[1703.94-1706.24] 他们会带着种族眼镜
[1706.24-1707.26] 歧视易普拉辛
[1707.26-1710.34] 因为易普拉辛的被害人
[1710.34-1711.86] 是一个亚裔小姑娘
[1711.86-1714.18] 所以我要求重新解散陪审团
[1714.18-1715.96] 法官说滚你妈逼蛋
[1715.96-1717.76] 我人已经很久了
[1717.76-1721.08] 我就开始说脏话了
[1722.88-1724.66] 强行开庭
[1724.66-1725.70] 在开庭之前
[1725.74-1727.78] 出了这么一档子事
[1727.78-1731.62] 差一点点又再次解散
[1731.62-1732.90] 又是半年一年
[1732.90-1734.44] 什么事
[1734.44-1736.50] 作为重要证人的
[1736.50-1737.78] 申晓宇的
[1737.78-1740.08] 法医老太太白人
[1740.08-1742.38] 在开庭之前两天
[1742.38-1744.42] 诡异自杀
[1744.42-1745.46] 没有任何征兆
[1745.46-1747.24] 全家人都不相信他自杀了
[1747.24-1749.04] 但是他真的就自杀了
[1749.04-1750.06] 为什么自杀
[1750.06-1751.34] 没有人知道
[1751.34-1752.10] 那
[1752.10-1755.70] 易普拉辛的律师说作为重要证人的法医无法出庭
[1755.70-1758.26] 他大量的证词也无法宣读
[1758.26-1759.28] 所以
[1759.28-1760.82] 宣布休庭
[1760.82-1762.62] 申请延期
[1762.62-1764.92] 重新审理
[1764.92-1766.46] 法官说
[1766.46-1767.98] 我已经忍你很久了
[1767.98-1769.26] 即使他自杀了
[1769.26-1770.54] 但与本案无关
[1770.54-1773.10] 他的所有的证词从我的法庭卷宗里
[1773.10-1774.38] 全部delete
[1774.38-1777.20] 继续开庭 强行开庭
[1777.20-1779.76] 开庭之后
[1779.76-1781.04] 律师说
[1781.04-1782.58] 这个律师说
[1782.58-1784.12] 申晓宇的
[1784.12-1786.42] 现场有没有避孕套
[1786.42-1787.70] 申晓宇
[1787.70-1789.24] 为什么作为一个小姑娘
[1789.24-1792.06] 这么晚天黑了才回家
[1792.06-1793.08] 申晓宇
[1793.08-1794.86] 是不是一个问题少女
[1794.86-1796.92] 他的父母离婚了
[1796.92-1798.96] 他只有一个单亲妈妈
[1798.96-1800.76] 在一个西方的家庭里面
[1800.76-1802.80] 单亲妈妈带着单亲女儿
[1802.80-1803.82] 往往
[1803.82-1806.14] 是卖淫的小少女
[1806.14-1807.92] 他是不是在卖淫
[1807.92-1810.22] 他的零钱钱包
[1810.22-1811.50] 遗落在现场的
[1811.50-1813.56] 里面几乎没有钱
[1813.56-1815.10] 他是不是缺钱
[1815.10-1817.66] 要跟易普拉辛做性交易
[1817.66-1820.22] 而在交易过程中
[1820.22-1821.76] 易普拉辛走了
[1821.76-1824.32] 申晓宇死跟易普拉辛没有关系
[1824.32-1826.36] 是在被
[1826.36-1827.14] 陌生的
[1827.14-1830.72] 莫名其妙来的第三人掐死的
[1830.72-1834.04] 这是律师的最新版本
[1834.04-1838.66] 在场的所有的 包括陪审团和听众
[1838.66-1840.96] 都发出嘘声
[1840.96-1842.74] 就是我们不能想象
[1842.74-1844.28] 因为我们都有女儿
[1844.28-1846.08] 我们都是亚裔华裔
[1846.08-1848.12] 我们有13岁的女儿
[1848.12-1851.44] 我们有13岁的女儿的女同学们
[1851.44-1854.00] 没有 我老王敢这么说
[1854.00-1857.34] 没有任何一个温哥华的华裔家庭的
[1857.34-1858.62] 13岁的女孩
[1858.62-1860.16] 去卖淫
[1860.16-1861.94] 我不敢说别的种族
[1861.94-1864.76] 但是华裔大陆来的第一代移民的孩子
[1864.76-1867.06] 都被卷成鸡丸了
[1867.06-1869.12] 卖你妈的逼淫呀
[1869.12-1870.14] 怎么可能
[1870.14-1874.24] 你怎么能把那个稀土白人家庭里面出现的那个个案
[1874.28-1876.32] 放申小宇身上套 你说
[1876.32-1878.12] 你说是不是其心可诛
[1878.12-1879.66] 没错
[1879.66-1881.44] 其心可诛之后
[1881.44-1882.98] 陪审团没给他面子
[1882.98-1884.26] 就认为他有
[1884.26-1885.80] 当庭裁定
[1885.80-1888.62] 一级谋杀罪成
[1888.62-1891.68] 25年监禁
[1891.68-1893.48] 加拿大没有死刑
[1893.48-1895.28] 25年监禁
[1895.28-1896.80] 各位
[1896.80-1899.12] 监禁的牢房
[1899.12-1902.18] 大概是儒家的标准
[1902.18-1904.24] 按中国标准来说话
[1904.28-1907.36] 三线城市的三星级酒店
[1907.36-1908.64] 比不上我们
[1908.64-1910.94] 温哥华的牢房
[1910.94-1912.72] 真的是这样
[1912.72-1915.80] 易普拉辛在那个牢房里面
[1915.80-1917.34] 坐25年的牢
[1917.34-1918.62] 易普拉辛
[1918.62-1921.68] 20岁坐牢 45岁就会出来
[1921.68-1926.10] 这个就是加拿大法治
[1926.10-1927.38] 你说
[1927.38-1929.44] 人类的悲哀
[1929.44-1930.46] 当我们
[1930.46-1932.76] 制造出来最仁慈
[1932.76-1935.06] 最善良的体制之后
[1935.06-1936.60] 就有这些苍蝇
[1936.60-1937.36] 蚊子
[1937.36-1939.66] 利用这个体制
[1939.66-1943.00] 说这时候是不是还是共产党好啊
[1943.00-1946.32] 共产党那个体制下易普拉辛早被枪毙了
[1946.32-1947.34] 这个肯定的
[1947.34-1948.62] 但是呢
[1948.62-1949.90] 有可能
[1949.90-1951.18] 有更多的
[1951.18-1952.22] 易普拉辛
[1952.22-1954.52] 是冤枉的也被枪毙了
[1954.52-1955.54] 这个就是
[1955.54-1958.62] 如何能够衡量法律的
[1958.62-1959.90] 体系的这种
[1959.90-1962.20] 绝对公平和正义呢
[1962.20-1964.50] 是摆在我们所有人面前
[1964.50-1966.30] 所有社会制度面前的
[1966.30-1970.16] 一个大的挑战
[1970.16-1971.20] 然后
[1971.20-1975.04] 郎性律师又整腰蛾子了
[1975.04-1978.62] 说有一个成年男性带了一把上了堂的枪
[1978.62-1980.16] 出席了
[1980.16-1981.44] 最后一次的
[1981.44-1983.22] 有罪认定的一个终审
[1983.22-1985.52] 开庭仪式
[1985.52-1987.06] 那个人是谁
[1987.06-1988.08] 是申爸爸
[1988.08-1990.14] 他从北京过来
[1990.14-1994.08] 怀里揣着上了堂的枪
[1994.08-1997.26] 参加这个庭审仪式
[1997.26-1998.80] 一不小心
[1998.80-1999.58] 被金属探测器
[1999.62-2001.92] 给探出来了
[2001.92-2002.94] 被当场
[2002.94-2004.22] 警察给摁住拿走了
[2004.22-2006.02] 抓走了
[2006.02-2007.82] 作为我老王来说
[2007.82-2010.88] 我是两个女儿一个儿子的父亲
[2010.88-2012.68] 我为申小宇的父亲
[2012.68-2014.22] 拍案叫绝
[2014.22-2014.72] 叫好
[2014.72-2016.26] 我理解你
[2016.26-2018.82] 而且我非常尊敬你
[2018.82-2021.64] 我想这也正是这么大的一次
[2021.64-2023.42] 这真的是刑事犯罪
[2023.42-2026.24] 这么大的一次犯罪
[2026.24-2029.06] 皇家骑警没有起诉
[2029.62-2030.90] 真正原因
[2030.90-2032.18] 所有的骑警
[2032.18-2034.22] 所有的检察官
[2034.22-2036.28] 都有女儿
[2036.28-2038.32] 虽然他们是白人
[2038.32-2040.38] 或者他们是其他种族裔的人
[2040.38-2041.66] 他们是黑人
[2041.66-2042.94] 他们是
[2042.94-2043.96] 其他
[2043.96-2046.52] 国家的亚裔
[2046.52-2050.86] 但是我们所有的人都有个东西叫common sense
[2050.86-2052.40] 就是共同的
[2052.40-2054.20] 感觉
[2054.20-2057.62] 通用的价值取向
[2057.62-2059.92] 我们遇到这种情况
[2059.92-2060.70] 我们
[2060.70-2064.02] 难免不带入自己的感情
[2064.02-2065.82] 可能那个罚警想
[2065.82-2066.84] 要是他妈我
[2066.84-2069.40] 我早他妈把他们全家都给崩了
[2069.40-2070.42] 我他妈还在这等
[2070.42-2071.46] 等五年
[2071.46-2072.22] 心里面
[2072.22-2075.30] 内心那个声音一定是这么想的
[2075.30-2078.68] 宝云岛也不远
[2078.68-2081.50] 我觉得易普拉辛一个人
[2081.50-2082.26] 可能都
[2082.26-2083.80] 不足以
[2083.80-2085.60] 抵偿我女儿的命
[2085.60-2087.14] 如果发生在我身上
[2087.14-2089.18] 这就是我内心深处的独白
[2089.18-2091.22] 我就是这么想
[2091.22-2092.26] 所以当我看到这个
[2092.30-2094.34] 新闻的时候我第一反应就是
[2094.34-2098.70] 这是一个有血性有弹子有尬词的爹干的
[2098.70-2101.26] 虽然那个新闻没有说是谁
[2101.26-2102.28] 但是
[2102.28-2103.82] 大家屁股猜也知道是谁
[2103.82-2108.42] 因为真的里边这个是让我们看到了华人之光
[2108.42-2110.22] 有爷们
[2110.22-2112.52] 有爷们所以这个事也就过去了
[2112.52-2117.64] 真的呀这么重的事没有后门把这个狼性律师气得
[2117.64-2119.70] 直跺脚啊他气得直跺脚
[2119.70-2122.00] 但是你跺脚也没有用
[2122.30-2123.32] 那个
[2123.32-2124.86] 这是我们加拿大
[2124.86-2126.90] 法律虽然有些
[2126.90-2129.22] 放纵坏人但是你看
[2129.22-2131.26] 他也不冤枉好人
[2131.26-2134.84] 这个加拿大这个法律在这一点上又给我一个新的refresh
[2134.84-2137.92] 就沈小宇这个案子不停的refresh我的脑子
[2137.92-2141.50] 哇哗哗哗哗这样还到这样
[2141.50-2143.54] 还真带枪去了
[2143.54-2146.36] 真带枪去了真的是像那个德国妈妈一样
[2146.36-2147.38] 卧槽如果
[2147.38-2148.66] 当庭宣布他无罪
[2148.66-2150.98] 爸爸就已经做好准备了掏出枪
[2150.98-2152.26] 就是挤枪
[2152.30-2156.90] 而且这个狼性律师啊这个白人狼性律师说
[2156.90-2157.94] 他要杀我
[2157.94-2159.46] 他要杀我
[2159.46-2164.34] 他不光杀伊卜拉辛他妈逼我也在死亡名单上
[2164.34-2165.62] 法官说
[2165.62-2166.90] 这与本案无关
[2166.90-2169.20] 意思就是杀了你再说
[2169.20-2171.50] 我给你主持公道
[2171.50-2172.78] 真的是
[2172.78-2173.54] 就是因为他
[2173.54-2175.60] 惹了众目了
[2175.60-2176.62] 所以
[2176.62-2179.44] 我今天讲完了这个故事之后呢
[2179.44-2181.22] 心里面非常沉重
[2181.22-2182.26] 呃
[2182.30-2184.60] 我一直在控制我的情绪
[2184.60-2187.42] 尽可能以我第一人称视角
[2187.42-2190.24] 亲历这个整个案子的一个过程
[2190.24-2194.84] 呃我看的这些呃新闻媒体当然在我记忆里我不是那种
[2194.84-2196.38] 复读式的那种
[2196.38-2198.94] 讲案情的频道所以我呢
[2198.94-2200.22] 可能讲的不是那么的
[2200.22-2202.02] 准确但是这不重要
[2202.02-2207.38] 我讲的情绪以及我讲的过程的大面绝对都不会错
[2207.38-2210.46] 我在我们呃校友的这个
[2210.46-2212.26] 群里面啊就我们
[2212.26-2214.30] 在这有个校友会我曾经
[2214.30-2216.10] 倡议过我说
[2216.10-2217.64] 我想带头捐款
[2217.64-2219.18] 干什么呢
[2219.18-2221.98] 带头捐款捐一个申小宇的
[2221.98-2223.26] 嗯雕像
[2223.26-2226.34] 树立在出事的那个本拿比公园门口
[2226.34-2227.62] 如果可以的话
[2227.62-2229.66] 我们也试图树立在
[2229.66-2231.20] BC法院附近的
[2231.20-2232.74] 公园门口
[2232.74-2235.04] 提醒所有的
[2235.04-2236.32] 有女儿和有
[2236.32-2237.86] 未成年子女的
[2237.86-2239.90] 父母们
[2239.90-2241.44] 今天的加拿大
[2241.44-2243.74] 不再是昨天的加拿大
[2243.74-2245.28] 随着我们
[2245.28-2248.10] 各个族裔各个层次的这个
[2248.10-2250.40] 新移民的到来
[2250.40-2253.48] 很难以一个原来的那个安全
[2253.48-2256.28] 尺度去衡量新的安全
[2256.28-2259.36] 我们没有必要因为这个事把所有的难民的门都关上
[2259.36-2262.68] 因为世界上真的是有很多受苦受难的人
[2262.68-2264.22] 易卜拉辛也有他的哥哥
[2264.22-2265.50] 也有他的嫂子
[2265.50-2268.06] 也有哥哥嫂子带过来的那些小宝宝们
[2268.06-2269.34] 他们是无辜的
[2269.34-2271.40] 我相信他们干不出这个事来
[2271.44-2273.74] 主要是在加拿大教育体系长大的孩子
[2273.74-2275.54] 长大了都像小宇一样的
[2275.54-2276.04] 好人
[2276.04-2277.08] 但是呢
[2277.08-2278.60] 我们要知道
[2278.60-2279.88] 在这种体制下
[2279.88-2281.42] 在这种新的环境下
[2281.42-2283.72] 我们一定要提醒我们未成年的子女
[2283.72-2285.52] 注意保护自己
[2285.52-2288.34] 不要自己走小公园的小路
[2288.34-2289.88] 要避开你觉得
[2289.88-2291.40] 行迹可疑的人
[2291.40-2293.46] 怪叔叔
[2293.46-2295.76] 要有自我保护的意识
[2295.76-2297.80] 这是我们作为一个为人父母
[2297.80-2298.84] 能做的
[2298.84-2300.62] 最简单的事情
[2300.62-2301.40] 我相信这个
[2301.44-2302.20] 信息
[2302.20-2304.26] 不光是对温哥华有效
[2304.26-2305.54] 对于整个北美大陆
[2305.54-2306.82] 甚至对于国内的
[2306.82-2307.58] 父母来说
[2307.58-2308.86] 都是有效的
[2308.86-2310.66] 乱世要来了
[2310.66-2312.96] Golden Times就是那个黄金时代
[2312.96-2316.04] 80年代的美国和加拿大一去不复返
[2316.04-2318.08] 整个地球都会变得越来越乱
[2318.08-2322.44] 所以不要以为那个街星公园、中央公园、Stanley公园
[2322.44-2324.74] 还是安全的
[2324.74-2327.56] Anyway确实在过去50年它都是安全的
[2327.56-2332.51] 但是未来的50年它会变得越来越不安全
[2332.51-2333.29] 好吧
[2333.33-2338.71] 如果要是小宇爸爸或者小宇妈妈有机会看到我们这个视频的话
[2338.71-2342.55] 感兴趣的话可以给我写email联系
[2342.55-2344.85] 我们真的愿意
[2344.85-2346.13] 站出来
[2346.13-2346.89] 集资
[2346.89-2349.71] 为小宇树立这个雕像
[2349.71-2351.77] 当然前提是争取
[2351.77-2354.57] 争得你们全家的同意
[2354.57-2355.61] 好吧今天就这样了
[2355.61-2356.63] 这是一个非常
[2356.63-2358.17] 非常沉重的话题
