[0.40-2.00] 哈喽 大家好
[2.00-4.64] 三万粉感恩专场小段
[1337.44-1339.44] 但是我觉得呃
[1339.44-1340.80] 如果我心情不好的话
[1340.80-1342.28] 或者你跟我关系特别近
[1342.28-1343.12] 我会骂你
[1343.12-1343.68] 我会骂你
[1343.68-1344.92] 严肃的骂你
[1344.92-1348.00] 就是你像不像个男人样
[1348.00-1349.60] 去异国大他乡
[1349.60-1350.56] 在中国失业了
[1350.56-1352.96] 两口子要去异国他乡去发展的时候
[1352.96-1355.32] 为什么不是你先上啊
[1355.32-1356.88] 为什么伺候别人
[1356.88-1357.00] 呃
[1357.00-1358.04] 体力劳动
[1358.04-1360.08] 你他妈让你老婆先上啊
[1360.08-1361.44] 这有这个道理吗
[1361.44-1362.28] 你是个爷们
[1362.28-1364.76] 你那把裤裆里边有没有那两根蛋呢
[1364.76-1367.76] 你你就他妈喝酒打老婆吗
[1367.76-1369.28] 所以这个事儿
[1369.28-1370.60] 我们必须要
[1370.80-1372.28] 重新思索
[1372.28-1376.32] 一定要把女人和孩子排到前面
[1376.32-1377.20] 看一个民族
[1377.20-1378.00] 看一个家庭
[1378.00-1379.68] 看一个男人是否文明
[1379.68-1382.92] 就看他是欺负比自己弱的
[1382.92-1386.92] 还是把比自己弱的保护起来
[1386.92-1387.60] 捧起来
[1387.60-1389.28] 呵护起来啊
[1389.28-1391.96] 你不是说一动不动就民族啊
[1391.96-1393.04] 你就是国家
[1393.04-1394.84] 你你别扯那么远
[1394.84-1395.36] 扯那么远
[1395.36-1397.20] 他们只需要付出口水
[1397.20-1398.36] 你要付出你的时间
[1398.36-1399.36] 你的精力
[1399.36-1400.76] 你的体能
[1400.80-1401.68] 你的金钱
[1401.68-1402.68] 就在你身边
[1402.68-1404.68] 就是你怎么对你孩子
[1404.68-1406.56] 你怎么对你老婆
[1406.56-1409.24] 一定要从根上学会文明
[1409.24-1411.60] 这种文明不光是语言上的
[1411.60-1413.04] 温文尔雅
[1413.04-1415.64] 更是自己内心深处的转变
[1415.64-1416.92] 好了
[1416.92-1419.52] 最后说点有意思的事儿
[1419.52-1423.68] 昨天我说有一个北京飞儿俱乐部的大哥
[1423.68-1426.96] 开着滑翔伞去天安门着陆去了
[1426.96-1428.92] 那哥们叫高兴者
[1428.92-1430.56] 高兴的高兴
[1430.80-1431.60] 哲学的哲
[1431.60-1433.08] 这是那个张总
[1433.08-1434.56] 多伦多那个张总
[1434.56-1436.60] 今天给我补充的啊
[1436.60-1437.84] 就叫高兴者
[1437.84-1439.48] 真的是北京飞儿俱乐部
[1439.48-1441.24] 从昌平十三岭水库
[1441.24-1442.80] 莽山上起飞
[1442.80-1445.08] 我昨天脱口而出是动力滑翔伞
[1445.08-1446.68] 因为我不会玩滑翔伞
[1446.68-1448.72] 我以为飞那么远得是动力的
[1448.72-1450.20] 闹半天就是滑翔伞
[1450.20-1450.72] 没有动力
[1450.72-1451.64] 那天是顺风
[1451.64-1453.40] 这大哥顺顺风
[1453.40-1454.36] 从莽山
[1454.36-1454.88] 呜
[1454.88-1456.24] 一直飞到了天安门广场
[1456.24-1457.08] 落在那儿
[1457.08-1458.08] 呃
[1458.08-1459.60] 我说的是真事啊
[1459.60-1460.48] 真是那个时代
[1460.48-1460.68] 真是
[1460.80-1461.84] 太好玩了
[1461.84-1462.56] 改革开放
[1462.56-1464.20] 一切都是新鲜的
[1464.20-1467.64] 连江泽民和朱镕基都第一次见到滑翔伞
[1467.64-1467.84] 呃
[1467.84-1470.84] 落在自己这个范围五公里之内
[1470.84-1472.60] 他们长这么大都第一次见
[1472.60-1473.20] 呃
[1473.20-1474.44] 不用说天安门派出所
[1474.44-1475.92] 那些警察也第一次见了
[1475.92-1480.00] 所以那哥们高兴者也没有受什么大的处罚
[1480.00-1481.68] 就是顽皮
[1481.68-1483.80] 那是一个黄金时代
[1483.80-1485.40] 还能容忍顽皮
[1485.40-1485.68] 嗯
[1485.68-1487.68] 现在连圣诞都不能容忍了
[1487.68-1488.68] 何止顽皮啊
[1488.68-1489.32] 好吧
[1489.32-1489.60] 呃
[1489.60-1490.48] 今天是纯水一期
[1490.48-1490.68] 呃
[1490.68-1493.32] 跟大家聊一聊呃
[1493.32-1494.04] 哲学
[1494.04-1495.96] 聊一聊频道利益
[1495.96-1496.36] 呃
[1496.36-1497.64] 聊一聊我的收获
[1497.64-1498.68] 我的感悟
[1498.68-1499.80] 呃
[1499.80-1501.20] 希望大家多多点赞
[1501.20-1502.44] 看完点一下赞
[1502.44-1502.80] 呃
[1502.80-1504.24] 我们不妨来试一试
[1504.24-1507.08] 看看到底最高点赞能点赞出多少来
[1507.08-1507.80] 好吧
[1507.80-1508.44] 呃
[1508.44-1510.48] 突破油管对我的封锁
[1510.48-1513.88] 然后我们周一正式开讲啊
[1513.88-1516.04] 咱们再正式讲呃
[1516.04-1517.20] 正式的内容
[1517.20-1517.72] 好吧
[1517.72-1518.12] 嗯
[1518.12-1519.28] 再见啊
[1519.28-1519.56] 呃
[1519.56-1520.36] 祝大家过个好年
[1520.36-1521.20] 啊
[1521.20-1522.12] 过个好圣诞
[1522.12-1522.76] 过个好年
[1522.76-1523.36] 拜拜
