[1.17-3.83] 哈喽 大家好 今天讲干货
[3.83-7.25] 企业家点评 第一人黄光玉
[7.25-9.75] 先来一首定场诗
[1435.93-1437.01] 原形毕露
[1437.01-1438.63] 所以香港股市有好多仙股
[1438.63-1440.43] 有一分钱send仙股
[1441.21-1442.95] 您呢
[1442.95-1444.55] 金花子动画是您的
[1444.55-1445.11] 0493
[1445.11-1446.07] 您自己停牌
[1446.07-1447.47] 停了牌之后呢
[1447.47-1448.35] 你用停牌价
[1448.35-1449.63] 参考一下停牌价
[1449.63-1451.99] 你发好多好多好多的股票
[1451.99-1455.21] 然后你买你88亿平估资产
[1455.21-1457.27] 是你的自由
[1457.27-1459.13] 你没有犯任何法律
[1459.13-1460.79] 这就是好赌的地方
[1460.79-1463.69] 如果是今天他就真傻逼了
[1463.69-1465.07] 88亿真没人理他
[1465.07-1465.81] 那他哎呀
[1465.81-1466.51] 我说好有钱
[1466.51-1467.67] 你好有钱自己玩吧
[1467.67-1469.49] 你你你痞老板
[1469.49-1470.73] 没有人来
[1470.73-1472.53] 没有客人上上门
[1472.53-1475.73] 那老黄赌什么
[1475.73-1478.17] 老黄赌全香港资本市场
[1478.17-1480.63] 睁一只眼闭一只眼
[1480.63-1483.93] 并不在乎他是不是吹了泡泡
[1483.93-1485.67] 是不是做了财务手段
[1485.67-1488.37] 是不是把人家车货变真的了
[1488.37-1491.13] 他只赌香港的一些伟大的投资银行
[1491.13-1492.69] 高盛摩根斯坦利
[1492.69-1496.89] 都觉得中国白色家电零售行业的崛起是个先机
[1496.89-1499.65] 他们要在这里边拿牌跑马圈地
[1500.73-1502.59] 只要你有牌
[1502.59-1505.37] 有马有地人家就来了
[1505.37-1508.79] 因为你别的公司你还要你再牛逼
[1508.79-1513.35] 你说我也要干你蔡白你你你你也要干
[1513.35-1514.97] 你有你你有股票吗
[1514.97-1515.95] 你有香港股票吗
[1515.95-1518.55] 你有符合香港规范的国际规范的
[1519.67-1520.87] 这些材料吗
[1520.87-1521.97] 审计报告你有吗
[1521.97-1524.85] 没有老黄全都有
[1524.85-1527.25] 承销商是第一流的承销商
[1527.25-1529.25] 所以赌赢了
[1529.25-1530.57] 第二次好赌赌赢了
[1530.57-1532.13] 第一次去农村赌赢了
[1532.13-1538.01] 第二次把资产吹成无限大的泡泡
[1538.01-1540.23] 变现居然变赢了
[1540.23-1546.77] 那88亿港币的这个股票被著名的国际大投行一抢而空
[1546.77-1547.91] 洛阳只贵
[1549.19-1550.73] 老黄就成了首富
[1551.65-1553.13] 就认识了我
[1553.13-1554.43] 除了詹培忠
[1554.43-1555.41] 詹培忠是个装逼犯
[1555.41-1556.67] 装逼犯可有意思老头
[1558.17-1560.39] 刚插一段这么多有意思啊
[1560.57-1562.13] 刚出来见着我
[1562.13-1566.57] 我有机会把我弄住之后弄好的大陆表叔的企业找他上市
[1568.13-1569.21] 端着穿着
[1570.95-1572.77] 特别漂亮的西装打着泰
[1574.69-1575.19] 我跟他讲
[1575.19-1576.47] 因为我不太会讲粤语
[1576.47-1577.39] 我就讲普通话
[1580.11-1580.55] 对不起
[1580.55-1581.87] 我不会
[1581.87-1583.91] 我不会普通话
[1583.91-1585.19] 我不会国语
[1585.19-1586.81] 我只讲广东话
[1587.75-1588.35] 没办法
[1588.35-1589.67] 我就坑吃别的
[1589.67-1590.21] 坑吃别的
[1590.21-1590.53] 讲
[1590.57-1591.81] 广东话
[1591.81-1593.45] 都没干广东话
[1594.89-1598.36] 好辛苦啊
[1598.36-1600.52] 因为我广东话是塑料的嘛
[1602.44-1607.06] 每次开会也都没干粤语啊
[1607.06-1607.82] 不懂啊
[1609.32-1612.01] 感动完了
[1612.01-1612.75] 后来呢
[1612.75-1613.57] 我给他打电话
[1613.57-1614.39] 他有一个助理
[1614.39-1616.01] 他说他有个助理
[1616.01-1616.77] 通了
[1616.77-1617.49] 自证枪员
[1617.49-1618.03] 你好
[1618.03-1618.93] 你找哪位
[1618.93-1619.95] 男的
[1619.95-1621.93] 我说找詹培忠先生
[1621.93-1622.53] 我就是
[1626.14-1627.80] 比汇联也操
[1627.80-1628.84] 他偷渡去的
[1628.84-1630.18] 他六十年代他游泳过去
[1630.18-1631.60] 他当然会讲普通话了
[1631.60-1633.52] 他们长老大他去去香港
[1633.52-1636.20] 他也把我当表叔唬了好几年啊
[1636.20-1636.64] 所以呢
[1636.64-1639.34] 咱们呃不插这点小字
[1639.34-1641.14] 老詹现在又又有钱了
[1641.14-1643.42] 因为他人家就是科网
[1643.42-1644.26] 没没没办法
[1644.26-1646.53] 没办法
[1646.53-1650.43] 所以他现在这个他现在可以真的不会讲普通话了
[1650.43-1653.07] 但是那时候他是真的是装不会讲普通话
[1654.07-1655.05] 詹培忠呢
[1655.05-1656.67] 把把壳卖给黄荣渝
[1656.67-1657.33] 然后黄荣渝
[1657.33-1660.65] 发了以后黄荣渝开始写自传
[1660.65-1662.77] 写自传请了一个特别好的枪手
[1662.77-1665.39] 特别厉害的这个财经作家叫吴阿伦
[1665.39-1666.01] 吴阿伦
[1666.01-1668.05] 口天吴阿伦
[1668.05-1668.69] 他用林阿伦
[1668.69-1669.19] 吴阿伦
[1670.29-1672.81] 吴阿伦妙笔生花
[1672.81-1673.95] 写到资本运作卡住了
[1673.95-1675.69] 吴阿伦不会
[1675.69-1677.91] 吴阿伦也不会呀
[1677.91-1679.25] 这东西谁懂啊
[1679.25-1680.95] 怎么国民电器怎么借颗
[1680.95-1682.29] 吴阿伦哪懂啊
[1683.93-1685.21] 吴阿伦就找黄荣渝
[1685.21-1687.21] 找黄荣渝那样的资本运作的那些
[1687.33-1688.05] 他们也不懂
[1688.05-1689.37] 黄荣渝也不懂
[1689.37-1690.51] 黄荣渝自己说的
[1690.51-1692.49] 说你找王岐收去吧
[1692.49-1693.39] 他不在香港干了
[1693.39-1694.71] 他回中国了
[1694.71-1695.91] 他在北京
[1695.91-1697.53] 他什么都懂
[1697.53-1698.07] 当时都是
[1699.49-1700.59] 他insider
[1700.59-1701.37] 他是里边的人
[1703.41-1704.37] 我非常尊重他
[1704.37-1705.75] 因为他这个东西眼花缭乱
[1705.75-1707.37] 我是佩服五体投机
[1707.37-1710.01] 我认认真真的给国美
[1710.01-1712.29] 黄荣渝写上自传写的资本运作部分
[1712.29-1712.85] 我写的
[1712.85-1713.65] 后来吴阿伦说
[1713.65-1714.33] 给你搞筹啊
[1714.33-1714.81] 什么给你
[1714.81-1715.35] 不要啊
[1715.35-1716.31] 免费免费的
[1717.33-1719.51] 那个我景仰他
[1720.51-1722.45] 而且我觉得他做的漂亮
[1722.47-1723.45] 他虽然不懂
[1723.45-1724.23] 他虽然不懂
[1724.23-1725.65] 但是我懂
[1725.65-1726.33] 我给他写
[1726.33-1727.83] 写完之后黄荣渝又感动哭了
[1727.83-1728.25] 你知道吧
[1728.25-1729.69] 他就是他原话
[1729.69-1733.17] 他说你好像比我还了解我在干什么
[1734.65-1736.59] 就是这么缘分嘛
[1736.59-1738.21] 但那个时候我攀不上人家啊
[1738.21-1739.23] 黄大老板
[1739.23-1741.51] 你说时间跟你说两句话也不得了
[1741.51-1742.41] 大办公室
[1742.41-1743.85] 好大办公室
[1743.85-1745.33] 那个办公室里边还有个大鱼缸
[1745.33-1747.17] 那鱼缸能把人放进去养
[1747.17-1747.21] 那大鱼缸能把人放进去养
[1747.21-1747.31] 那大鱼缸能把人放进去养
[1747.31-1749.17] 鱼缸不是那种鱼缸
[1749.17-1749.77] 不是东莞
[1749.77-1750.49] 不是太子鱼缸
[1750.49-1751.33] 就是真的鱼缸
[1751.33-1752.71] 里边是很多热带鱼
[1752.71-1753.37] 大金龙鱼
[1753.37-1753.87] 大热带鱼
[1753.87-1754.27] 各种鱼
[1755.35-1756.67] 黄祖在鱼缸后面
[1758.43-1761.44] 就一个办公桌
[1761.44-1763.18] 我们都要坐在见他的人啊
[1763.18-1763.94] 包括部长啊
[1763.94-1766.30] 领导都得坐在远处的一个沙发上
[1766.30-1766.54] 这样
[1769.02-1770.48] 外边外边还有套间
[1770.48-1772.06] 外面套间是漂亮的女秘书
[1772.06-1773.16] 常年女秘书坐着
[1774.36-1775.78] 那女秘书到一半
[1775.78-1777.40] 那胃口
[1777.40-1778.24] 对他老婆厉害
[1778.24-1778.72] 所以他
[1778.72-1779.44] 你秘书很一般
[1779.44-1781.00] 不如我的秘书好
[1781.96-1782.48] 腿也很
[1784.72-1784.96] 对
[1784.96-1785.92] 咱们不不说这个
[1785.92-1788.32] 不今天是正经了
[1788.32-1789.04] 不开车啊
[1789.94-1790.54] 秘书
[1791.80-1793.78] 让你在那坐着等
[1793.78-1794.40] 那几个沙发
[1794.40-1794.96] 你一看
[1794.96-1795.82] 北京商委主任
[1795.82-1798.22] 北京商委主任在那坐着等了
[1798.22-1799.90] 主管夫人长坐着等
[1799.90-1802.48] 等见黄老板票成这样
[1802.48-1803.56] 牛逼成这个样子
[1803.56-1804.88] 你知道
[1804.88-1806.02] 做总理也认识
[1806.02-1806.74] 大队堂吃饭
[1806.74-1807.58] 去开自己的
[1808.72-1810.76] 1400万的车开去
[1810.76-1811.52] 大队堂
[1811.52-1813.48] 胡锦涛看见了
[1813.48-1814.16] 这谁的车
[1814.16-1817.44] 说这黄老板的中汇首富
[1817.44-1818.60] 黄光宇国民老板的
[1818.60-1820.24] 他怎么在这吃饭
[1820.24-1821.36] 大队堂管理部
[1821.36-1822.20] 现在您不知道
[1822.20-1825.04] 也有对外经营功能
[1825.04-1825.80] 三产功能
[1825.80-1826.72] 补充点流动资金
[1826.72-1829.24] 他车多少钱
[1829.24-1831.52] 不贵1400万
[1831.52-1834.96] 老胡比我的车贵多了
[1834.96-1835.44] 他妈的
[1835.44-1837.16] 我的车也没有1400万
[1837.16-1837.76] 要出事了
[1837.76-1838.72] 要出事了
[1838.72-1839.80] 要出事
[1839.80-1840.52] 这是中国
[1840.52-1842.02] 你当时美国吗
[1842.02-1843.00] 你可以高调
[1843.00-1843.64] 你妈的
[1843.64-1845.92] 这个文化是不一样的
[1845.92-1851.68] 所以老黄顺风顺水
[1851.68-1858.46] 从98年开到2004年买的车
[1858.46-1860.20] 这6年是他最顺的6年
[1861.82-1863.56] 7年一大运
[1863.56-1866.86] 07年08年黄老板转运
[1868.72-1871.36] 黄老板顺风顺水一定有身边一些瞎
[1871.36-1872.10] 擦抹烂干事
[1872.10-1872.84] 给他出主意
[1872.84-1874.00] 觉得您是神
[1874.00-1877.00] 您今天吞并了A大陆
[1877.00-1879.64] 明天一定能在B大陆再创回我
[1879.64-1883.19] 一想有道理
[1883.19-1884.91] 回A股折腾来了
[1884.91-1887.05] 买壳买谁呢
[1887.05-1887.97] 找我就对了
[1887.97-1888.61] 他跟他说
[1888.61-1889.45] 他看不起我
[1889.45-1891.79] 他觉得我小年轻比他还小
[1891.79-1894.31] 他一定要找老胖
[1894.31-1895.49] 找了段永基
[1895.49-1898.03] 中关村村长段永基
[1898.03-1899.25] 段村长手里有一颗叫就叫中关村村长
[1899.25-1899.27] 就叫中关村村长段永基
[1899.27-1899.47] 就叫中关村村长段永基
[1899.47-1899.99] 就叫中关村村长段永基
[1899.99-1902.05] 中关村主板的
[1903.31-1904.01] 他信他
[1905.23-1906.53] 段老板云山雾罩
[1906.53-1908.45] 我这坑如何如何好
[1908.45-1910.13] 老黄掉掉坑里去了
[1910.13-1911.15] 这不怪别人啊
[1911.15-1912.05] 他自己没有经验
[1912.05-1913.05] 他他资本运作这块
[1913.05-1913.73] 他确实不懂
[1915.11-1916.07] 他犯了几个错误
[1917.39-1918.65] 也是我们今天要讲的干货
[1918.65-1921.53] 在中国买壳一定要注意这几这几个错误
[1921.53-1921.83] 第一
[1921.83-1923.73] 你不要找名人的名颗
[1923.73-1924.75] 段永基太有名了
[1924.75-1927.41] 你黄光玉首富更他妈有名
[1927.41-1928.85] 那你们俩在一起开会
[1928.85-1929.33] 放个屁
[1929.33-1937.65] 外边人都告诉你个发财的机会
[1937.65-1940.83] 刚才在那小屋里边是首富们在开会
[1940.83-1943.17] 首富们说了中关村中关村啊
[1943.17-1947.34] 别搞别人啊
[1947.34-1953.75] 这股票这俩货开会的时候就开始往上涨
[1953.75-1955.15] 所以呢
[1955.15-1956.71] 借壳上是第一条军规
[1956.71-1957.97] 不要买名人名颗
[1959.55-1960.79] 借壳上是第二条军规
[1960.79-1962.83] 不要买两亿股总顾本以上的口
[1962.83-1963.91] 不是香港搜不了股
[1965.01-1967.03] 段永基的股中关村有多少股呢
[1967.75-1968.75] 不小六亿股吧
[1968.75-1970.51] 哎呀太大了
[1971.99-1975.11] 为什么说股本越小股价越低越好呢
[1975.11-1977.95] 因为你有多少净资产优质资产往里装
[1977.95-1979.63] 你评估值你再吹气球
[1979.63-1982.21] 评估值是个定数是个常量
[1982.21-1983.95] 而股票价格是变量
[1984.99-1987.73] 你比如说你这个壳一亿股总股本
[1987.73-1989.07] 你股票停牌的时候
[1989.07-1990.99] 股票价格是两块钱
[1990.99-1991.57] 对不对
[1991.57-1992.41] 他的市值呢
[1992.41-1993.61] 就流通市值呢
[1993.61-1995.35] 就是两块钱乘以一亿股
[1995.35-1996.55] 就是两亿人民币
[1997.75-2000.31] 如果这边有个四亿人民币的资产
[2000.31-2001.31] 你增发新股
[2001.31-2002.79] 你就能换出两亿股来
[2002.79-2003.87] 原来是一股
[2003.87-2005.07] 你两亿股进去
[2005.07-2005.99] 三分之二是你的
[2005.99-2008.35] 你就是66%的绝对控股股东
[2008.35-2010.03] 你一个人就可以开股东大会
[2010.03-2010.83] 一个人说都算
[2011.83-2012.33] 对不对
[2013.51-2015.35] 但是如果你走漏了消息
[2015.35-2015.87] 他妈的
[2015.87-2017.23] 昨天还一块钱
[2017.23-2018.83] 蹭蹭蹭蹭上去了
[2018.83-2019.87] 涨到了十块钱
[2019.87-2020.71] 你傻逼了
[2020.71-2023.31] 你还是那四亿的评估值
[2023.31-2026.43] 你是个很小的很弱势的控股股东
[2026.43-2027.67] 很容易被人家推翻
[2027.67-2029.03] 对不对
[2029.03-2030.31] 所以呢
[2030.31-2031.87] 股本要小
[2031.87-2032.83] 股价要低
[2032.83-2036.07] 这两条咱们老黄同志都没有控制好
[2037.23-2040.27] 这还算是人力后天
[2041.63-2044.23] 先天更倒霉了
[2045.47-2048.43] 先天怎么倒霉了
[2048.43-2050.11] 你得能大势熊势的时候
[2050.11-2052.07] 你再买颗牛市的时候
[2052.07-2053.31] 你可千万别买
[2053.31-2053.99] 为什么
[2053.99-2054.91] 哎呀
[2054.91-2057.03] 欲望的高的不得了
[2057.03-2058.35] 那个时候是你发股票
[2058.35-2058.95] 你走
[2058.95-2059.87] 走人的时候
[2059.87-2061.71] 那个时候可不是你
[2061.71-2062.07] 呃
[2062.07-2063.15] 我说的发不是发行
[2063.15-2064.75] 就是把股票派发给大家
[2064.75-2065.19] 你走人
[2065.19-2066.39] 你拿现金走人的时候
[2066.39-2070.11] 那个时候可不是你去增发股票的好时机
[2070.11-2071.39] 但是你想零七年
[2071.39-2072.27] 零八年
[2072.27-2074.19] 零七年是个什么什么年
[2074.19-2076.55] 零七年是什么年啊
[2076.55-2078.47] 老黄谈断机是零七点谈
[2078.47-2080.63] 零七年什么年
[2080.63-2085.19] 零七年是中国股权分支最火的时候
[2085.19-2088.83] 零五年一波高潮就过来了
[2088.83-2090.15] 哎哟
[2090.15-2091.43] 股权分支我我做的
[2091.43-2092.31] 我是发明人之一
[2092.31-2093.95] 我张文兴
[2093.95-2095.99] 我会我将来会给大家开专题
[2095.99-2099.63] 讲股权分支的前世今生
[2099.63-2101.43] 那股权分支直接结果
[2101.43-2104.19] 就是让中国股市进入场大牛市
[2104.19-2106.23] 一直涨到6100点
[2106.23-2108.11] 老黄同志又不知道
[2108.11-2108.95] 哎
[2108.95-2109.79] 太高调了
[2109.79-2110.95] 还喜欢聚光灯
[2110.95-2113.43] 他他都觉得聚光灯还不够亮
[2113.43-2116.59] 全世界都在传他买买股票
[2116.59-2118.67] 买壳叫那个叫中关村
[2118.83-2123.80] 炒到了从2块钱炒到了14块钱
[2123.80-2124.92] 翻了7倍
[2124.92-2126.68] 那黄光宇傻逼了
[2126.68-2128.92] 因为大盘本身就往上涨牛市嘛
[2128.92-2130.44] 那时候奔着1万点
[2130.44-2134.32] 我记得当时好多呃专家
[2134.32-2135.72] 比如说金年时还说
[2135.72-2137.00] 股市马上涨1万点
[2137.00-2137.52] 这不丢人
[2137.52-2138.96] 因为那时候贪婪恐惧
[2138.96-2140.64] 都把大家的脑子
[2140.64-2141.56] 搅乱了
[2141.56-2142.44] 都是贪婪了
[2142.44-2143.80] 越是牛市越贪婪
[2143.80-2145.64] 6000点奔着1万点去吗
[2145.64-2147.48] 后来竟然是耍流氓
[2147.48-2149.12] 说我说的是深市涨1万点
[2149.12-2150.12] 呵呵
[2150.12-2150.64] 呵呵
[2150.68-2152.28] 我们都知道说
[2152.28-2154.32] 平时是股市涨1000点
[2154.32-2154.88] 3000点
[2154.88-2155.36] 5000点
[2155.36-2156.80] 是指的是护士大盘
[2156.80-2158.44] 他把他说的深是你有病了
[2158.44-2160.72] 你那太虚伪了
[2160.72-2161.88] 像我这么真实
[2161.88-2162.60] 我操错了
[2162.60-2163.56] 就傻逼了呗
[2163.56-2164.44] 人人都是傻逼
[2164.44-2166.08] 你怎么就那么偶像包袱那么重
[2166.08-2167.76] 再说你胖的跟猪头似的
[2167.76-2168.76] 谁他们知道你是谁
[2168.76-2169.64] 他呢
[2169.64-2172.00] 赶上了一个完整的大牛市
[2172.00-2173.44] 并且大家都炒的股票
[2173.44-2174.88] 股票涨了7倍
[2174.88-2176.52] 这为他后来的覆灭
[2176.52-2178.48] 买下了一个重大的定势
[2178.48-2178.56] 啊
[2178.56-2178.92] 的
[2180.12-2180.64] 那么
[2180.64-2182.48] ,结果上是第三条军规
[2182.48-2183.16] 他也弄错了
[2183.16-2184.32] 就是债务重组
[2184.32-2186.60] 所有的中国的壳都不是金壳
[2186.60-2187.08] 所以呢
[2187.08-2188.92] 你清除银行的债务
[2188.92-2190.72] 这个是你必须做的
[2190.72-2192.56] 而且你欠政府的一些税金
[2192.56-2194.40] 你也是不能够免的
[2194.40-2195.28] 老百姓的工资
[2195.28-2196.68] 你是必须要付的
[2196.68-2199.72] 剩下的一些上游下游的一些企业之间的债
[2199.72-2201.28] 你是可以谈的
[2201.28-2202.68] 但是有一条
[2202.68-2204.40] 你必须提前干
[2204.40-2205.36] 而且低调干
[2205.36-2206.32] 悄悄进存
[2206.32-2207.68] 打枪都不要
[2207.68-2209.04] 如果你弄得全世界都知道
[2209.04-2210.64] 你黄光玉大首富要来了
[2210.64-2212.52] 那您觉得这个债主们
[2212.52-2214.04] 他能同意打折吗
[2214.04-2215.24] 他不但不同意打折
[2215.24-2218.24] 还要连本带利的要还给他
[2218.24-2221.16] 动计给了他多少银行的金融负债呢
[2221.16-2223.44] 这就是不能免的呢
[2223.44-2224.40] 呃
[2224.40-2225.36] 5.9亿
[2225.36-2227.68] 就是6个亿的贷款
[2227.68-2229.60] 加30多个亿的担保
[2229.60-2230.64] 担保加贷款
[2230.64-2232.48] 他将近还40个亿
[2232.48-2233.80] 认识铁打的罗汉
[2233.80-2236.52] 也扛不住这40个亿的债主
[2236.52-2237.28] 嗷嗷逮捕
[2237.28-2239.36] 而且这些债主都知道黄光玉来
[2239.36-2240.08] 说什么也不同意
[2240.08-2240.32] 说什么也不同意
[2240.64-2242.64] 打折必须还钱
[2242.64-2244.52] 否则你做不了债务重组协议
[2244.52-2245.80] 你你这事没法干
[2247.48-2249.52] 老黄在诸多的不顺
[2249.52-2254.11] 一连串的这个错误之下
[2254.11-2256.27] 他犯了他人生最大的错误
[2256.27-2257.91] 黄光玉之所以出事
[2257.91-2262.71] 我全网第一个纰漏是因为以下这段话
[2262.71-2265.51] 黄光玉因为犯了战略性错误
[2265.51-2268.19] 判断中国股市要涨到1万点
[2268.19-2271.43] 所以他用香港精华自动化
[2271.43-2273.15] 他当时做老鼠仓
[2273.15-2275.03] 买股票涨高了
[2275.03-2277.63] 卖出去的同样的套路
[2277.63-2279.91] 他开始建仓
[2279.91-2284.68] 买他自己要重组的中关村的股票
[2284.68-2288.04] 我们知道中关村股票已经涨到14块钱一股了
[2288.04-2289.80] 黄老板为了吸筹码
[2289.80-2293.32] 他是按14块钱一股的成本价往回吸呀
[2293.32-2294.56] 而且不停的打压
[2294.56-2295.68] 不停的放利空
[2295.68-2298.00] 中关村当时不停的出利空消息
[2298.00-2301.36] 但是广大人民群众都已经知道真相了
[2301.36-2303.84] 都相信黄老板的伟大能力
[2303.84-2304.52] 谁不卖
[2304.68-2306.32] 越炒越高
[2306.32-2307.40] 证监会都知道了
[2307.40-2308.92] 说你这个真相太难看了
[2308.92-2311.48] 黄老板你这一会放假消息
[2311.48-2312.36] 打压股票
[2312.36-2313.40] 一会你从底下抄
[2313.40-2317.52] 你能不能给我们证监会一点点薄面
[2317.52-2319.88] 你当我们是死的吗
[2319.88-2321.96] 黄老板说我不知道
[2321.96-2322.88] 我不知道
[2322.88-2324.60] 谁干的
[2324.60-2325.60] 我哪知道
[2325.60-2326.44] 好
[2326.44-2328.92] 证监会拿你没办法
[2328.92-2330.12] 但是市场在那儿
[2330.12-2332.84] 2008年市场急转直下
[2332.84-2334.64] 市场急转直下
[2334.68-2336.56] 大家可以算算一算
[2336.56-2338.96] 刘东谷一股14块钱一股
[2338.96-2340.16] 你买了你花了多少钱
[2340.16-2340.92] 你花了多少钱
[2340.92-2342.08] 10块钱就算你牛逼
[2342.08-2343.84] 你会捯仓10块钱
[2343.84-2346.00] 你是不是现金砸进去了
[2346.00-2350.40] 但是你以为你的牛逼之处和党的牛逼处合体
[2350.40-2351.52] 能涨到1万点
[2351.52-2353.16] 你这100个亿能变300个亿
[2353.16-2358.32] 可是08年往下跌
[2358.32-2361.00] 跌到了1400点
[2361.00-2362.64] 急转直下
[2362.64-2363.80] 中关村股票
[2363.80-2365.56] 从14块钱一股
[2365.56-2370.80] 黄老板建仓的点位跌到了跌回了两块钱一股
[2370.80-2372.64] 因为大厦将轻全倒了
[2372.64-2376.14] 你这个时候再吵也扛不住
[2376.14-2377.66] 庄家的劣势这时候出来了
[2377.66-2378.90] 散户大不了就不看了
[2378.90-2380.18] 或者割肉走人了
[2380.18-2382.94] 庄家的钱是金融操作过来的钱
[2384.14-2385.46] 咱们都说了吧
[2385.46-2387.66] 黄老板他上边还欠着好多钱呢
[2387.66-2391.14] 下边他是收着老板买电器的钱
[2391.14-2392.70] 上面欠人家上游的钱
[2392.70-2394.34] 他紧呀
[2394.34-2394.70] 他紧
[2394.70-2395.86] 他怎么办呢
[2395.86-2398.26] 他只能倒腾新的钱进来填坑
[2399.82-2402.26] 他把他中国所有的流动资金全填了之后
[2402.26-2403.14] 填不住这个坑
[2403.14-2405.94] 他只能从香港他卖掉股票
[2405.94-2408.46] 从香港往回倒钱
[2408.46-2411.02] 伟大的企业家总是跟别人动作相反
[2411.02-2414.42] 所有的人都是把中国贪官污物利益们
[2414.42-2416.46] 都把钱从中国往境外搬
[2416.46-2419.83] 黄王宇同志往里搬
[2419.83-2421.51] 他这一搬啊
[2421.51-2423.51] 就引起了反洗钱当局的注意
[2423.51-2424.99] 这可不是中国中国证监会
[2424.99-2425.91] 反洗钱当局
[2425.95-2427.87] 是带枪的啊
[2427.87-2429.95] 是是警方啊
[2429.95-2432.03] 你从澳门往这边大量的赌场
[2432.03-2433.67] 往这边洗钱洗了多少钱
[2433.67-2436.23] 八十个亿八十个亿
[2436.23-2438.91] 所以人家肯定要找他问啊
[2438.91-2440.63] 公安部肯定给你立案啊
[2440.63-2442.15] 要找你问啊
[2442.15-2443.15] 但是黄王玉呢
[2443.15-2445.23] 当时又犯了个小错误
[2445.23-2446.11] 犯了个小错误
[2446.11-2447.11] 人一是背了
[2447.11-2447.75] 他就什么错误
[2447.75-2450.31] 他都是他都一定会去犯那个错误去
[2450.31-2451.43] 他找郑少东
[2451.43-2452.91] 郑少东就是公安部副部长
[2452.91-2454.63] 那是他兄弟
[2454.63-2455.91] 郑少东就
[2455.95-2457.27] 就找
[2457.27-2458.51] 经侦那几个
[2458.51-2461.55] 找黄王玉了解这个洗钱案子的那几个小警察了
[2461.55-2463.07] 打电话
[2463.07-2463.67] 别瞎弄啊
[2463.67-2465.79] 那也是自己人
[2465.79-2468.79] 这几个警察警察是普通人
[2468.79-2472.83] 这几个警察马上意识到自己在摁着一个大鳄鱼
[2472.83-2475.63] 我问你摁住鳄鱼脑袋的普通人
[2475.63-2477.67] 他保命的策略是什么
[2477.67-2478.59] 本能是什么
[2478.59-2479.87] 难道是放开鳄鱼
[2479.87-2480.95] 跟鳄鱼说sorry吗
[2482.47-2484.59] 他的第一反应是不一定要把这鳄鱼摁死
[2484.59-2485.79] 否则死就是自己
[2485.95-2486.95] 四个警察
[2486.95-2489.39] 四个警察全得托制服
[2489.39-2489.79] 金建宁
[2491.75-2494.15] 所以他一定要把这案子查上铁案
[2494.15-2495.07] 一来二去的
[2495.07-2495.83] 阴错阳差
[2495.83-2496.79] 这里边很多故事
[2496.79-2497.99] 我就不讲了啊
[2497.99-2498.59] 不爆料
[2498.59-2500.27] 要不然很多人人头落地睡不着觉
[2500.27-2501.35] 就是总之anyway
[2501.35-2502.31] 总之
[2502.31-2503.91] 黄总还是错了
[2503.91-2504.99] 怪他
[2504.99-2506.35] 瞎找人
[2506.35-2507.51] 能用钱摆平的事
[2507.51-2508.95] 他不用钱摆平
[2508.95-2512.47] 他就相当于觉得自己是超人的一个普通人
[2512.47-2513.43] 他觉得自己是超人
[2513.43-2514.75] 是因为他怀里有一只手枪
[2514.75-2515.51] 在长安街上
[2515.51-2516.43] 他觉得我是超人
[2516.43-2517.31] 我好厉害
[2517.31-2519.35] 跟人家汽车追尾了之后
[2519.35-2520.03] 拔出枪来
[2520.03-2520.91] 对空来一枪
[2520.91-2522.35] 证明自己确实是超人
[2524.11-2525.63] 一个有枪
[2525.63-2526.55] 往天上开一枪
[2526.55-2529.03] 想证明自己超人的普通人的唯一结果
[2529.03-2531.07] 就是你比普通人死的还快
[2531.07-2531.47] 所以呢
[2532.83-2534.03] 大厦开始
[2534.03-2537.19] 青岛把黄总给压进去了
[2537.19-2537.63] 还行
[2537.63-2538.79] 只判了14年
[2538.79-2539.47] 只判14年
[2539.47-2540.59] 并不高
[2540.59-2542.59] 黄总在监狱里待了14年
[2542.59-2545.11] 因为他有一个好老婆
[2545.11-2545.67] 非常好
[2545.67-2547.23] 老婆杜鹃非常好
[2547.23-2548.19] 虽然有内鬼
[2548.19-2550.67] 什么陈晓之类的要造反都给摁住了
[2550.67-2551.11] 而且呢
[2551.11-2551.71] 他企业呢
[2551.71-2553.27] 是在香港上市
[2553.27-2555.67] 香港当时还是讲理的地方啊
[2555.67-2556.35] 讲法的地方
[2556.35-2558.87] 所以没有办法去把东西全抢了
[2558.87-2559.59] 还是他的
[2559.59-2564.35] 他在监狱里签董事会纪要股东会决议
[2564.35-2566.91] 预长们也都懂事啊
[2566.91-2570.07] 只要这关着你大老板
[2570.07-2570.67] 黄总啊
[2570.67-2572.55] 将来出去一定要照着我
[2572.55-2574.87] 所以老黄在监狱里过得很舒服
[2575.11-2575.91] 天天上网
[2575.91-2577.03] 天天学习
[2577.03-2578.35] 就学名为黄金了
[2578.35-2578.71] 完了
[2578.71-2579.11] 哎
[2579.11-2580.07] 还挺好奇
[2580.07-2581.67] 吉州在干什么
[2581.67-2581.91] 哎呀
[2581.91-2583.27] 他就中中毒了
[2583.27-2584.19] 他旋转木马
[2584.19-2585.91] 你去你旋转木马
[2585.91-2586.79] 你旋到
[2587.95-2589.35] 习主席了
[2589.35-2590.87] 习主席他不信邪
