[0.37-1.45] Hello 大家好
[1.45-2.69] 老王又来了
[1433.71-1434.87] 你如果有100万
[1434.87-1436.83] 你每年能拿回5万的分红
[1436.83-1438.19] 够你花销了
[1438.71-1442.43] 所以这才是价值投资
[1443.95-1445.27] 中国股市有吗
[1445.31-1446.59] 这样的公司有吗
[1446.63-1449.71] 你贵州茅台一年挣那么多的现金
[1449.75-1451.75] 你拿出来一分钱分红了吗
[1451.87-1454.31] 中国石油你为什么都赔掉了呢
[1454.51-1456.99] 你等于是印钱抢钱的机器
[1457.03-1459.51] 你为什么不给大家分红呢
[1460.75-1462.43] 你可以做得到5%
[1462.43-1463.95] 60%的分红的话
[1463.99-1466.15] 你中国石油的股票涨还是跌
[1466.15-1467.75] 你用屁股想你都知道啊
[1468.47-1469.23] 为什么
[1469.43-1470.99] 一毛不拔铁公鸡
[1471.55-1473.71] 因为分红对他们没有好处
[1474.27-1476.95] 不分红对他们也没有惩罚
[1477.35-1478.91] 他们当时做的承诺
[1478.95-1480.55] 就跟放了屁一样
[1480.59-1481.83] 全是诈骗
[1481.87-1482.39] 犯
[1482.67-1484.51] 如果说翟山英是小骗子
[1484.55-1486.03] 他们都是大骗子
[1486.07-1488.03] 老翟才骗了你们多少钱
[1488.03-1489.35] 抽死了20个亿
[1489.35-1490.83] 可能还给他添热加醋
[1490.87-1492.47] 估计也就七八个亿
[1492.95-1494.07] 这些上市公司
[1494.07-1495.23] 每一个IPO的时候
[1495.23-1496.35] 都骗你们七八个亿
[1496.39-1497.71] 增发又是七八个亿
[1497.75-1498.91] 上市20年
[1498.95-1501.03] 骗你们每一家都有几十个亿
[1501.07-1502.91] 有几千家上市公司
[1502.95-1504.39] 是不是全是诈骗犯
[1504.43-1505.51] 你不能远离股市
[1505.51-1506.47] 不远离毒品
[1506.51-1507.43] 你怎么办
[1508.39-1510.39] 你在这样的股市中讲什么
[1510.39-1511.51] 中国巴菲特
[1511.51-1513.31] 跳楼就对了
[1513.31-1514.95] 不跳楼说明
[1514.99-1517.15] 你根本就没有玩真的
[1517.43-1519.47] 玩真的下场一定是跳楼
[1520.03-1521.23] 所以老王讲
[1521.27-1522.51] 远离股市
[1522.55-1523.67] 远离毒品
[1529.58-1530.42] 讲到A股
[1530.46-1531.18] 价值投资
[1531.18-1532.30] 我这伙就来了
[1533.34-1534.54] 因为在加拿大
[1534.58-1536.98] 有大量的非常好的公司
[1537.38-1539.50] 都是非常主流的
[1539.50-1540.90] 非常头部的公司
[1540.94-1543.46] 比如说输油管道公司
[1543.50-1545.90] 比如说石油天然气公司
[1546.42-1546.98] 比如说
[1546.98-1549.58] 银行加拿大的银行保险公司
[1549.58-1551.38] 都是世界最顶级的保险公司
[1551.38-1552.74] 大股东都是李嘉诚
[1552.78-1553.94] 李嘉诚投资的
[1554.82-1556.22] 哈士奇石油的大股东
[1556.22-1557.22] 也是李嘉诚
[1557.26-1559.94] 所以这些公司非常稳定
[1560.30-1563.34] 这些公司每一年拿出来的现金分红
[1563.38-1564.50] 5.8%
[1564.54-1565.30] 6%
[1565.30-1567.78] 大把的业绩非常好的公司
[1567.82-1569.18] 市盈率16倍
[1569.22-1570.14] 12倍
[1572.30-1573.70] 你看到这样的企业
[1573.70-1574.86] 看到这样的公司
[1574.86-1577.02] 你再回头看看A股
[1577.22-1578.54] A股不就是垃圾厂
[1578.54-1581.10] 里边哪有价值投资
[1581.10-1583.22] 好端端的股市
[1583.26-1585.50] 好端端的中国
[1586.06-1589.50] 一片大好的中国经济发展形势
[1589.86-1591.38] 黄金30年
[1591.42-1594.50] 就被这些王八蛋完全错过
[1594.54-1596.14] 完全葬纵
[1596.98-1600.94] 这比晚清政府输一个甲午战争
[1601.22-1603.06] 严重的多的多
[1604.58-1607.94] 中国股市本来是能产生几十万亿
[1607.94-1610.06] 几百万亿市值的
[1610.06-1612.02] 这样一个主要的发动机
[1612.06-1615.18] 它应该是替代房地产市场的
[1615.22-1617.62] 经济发动机的引擎之一
[1618.82-1620.10] 沪深股指
[1620.14-1623.34] 应该是仅次于是指超过
[1623.54-1625.46] 纽约道指的
[1625.46-1627.94] 这样一个强劲的世界经济指标
[1628.42-1629.50] 今天是什么
[1629.54-1631.82] 跌穿了3000点
[1631.86-1637.10] 应该枪毙吗
[1637.70-1641.04] 应该活寡了他们
[1641.08-1642.84] 你李克强在做什么
[1643.00-1644.52] 你还席下礼尚
[1644.56-1646.24] 李克强你是明白人吗
[1646.72-1648.84] 李克强这些东西你懂吗
[1648.84-1650.08] 你什么都不懂
[1650.56-1652.52] 温家宝完全不懂
[1652.76-1653.64] 好了
[1653.68-1655.80] 温家宝10年混了10年
[1655.80-1657.36] 李克强上来这10年
[1657.80-1658.92] 股市又跌
[1660.00-1662.24] 12年13年14年又不好
[1662.24-1663.52] 李克强怎么就是
[1663.56-1664.72] 我给你们讲讲
[1665.08-1666.92] 咱们克强经济学怎么就是
[1667.96-1669.24] 他让公安部
[1669.56-1672.52] 把所有卖出股票的基金经理
[1672.52-1672.96] 全部
[1672.96-1673.68] 抓起来
[1674.36-1675.52] 我没有造谣
[1675.56-1676.84] 内行人全知道
[1676.84-1678.04] 全内人全知道
[1678.08-1679.64] 2015年发生了什么
[1681.00-1683.64] 上海的关在崇明岛武警招待所
[1683.68-1688.04] 深圳的关在大梅沙武警招待所
[1689.24-1690.56] 没有罪名
[1691.04-1692.40] 事件没有
[1692.44-1695.00] 公安部提枪救市
[1695.32-1696.96] 这不是荒唐吗
[1697.04-1698.16] 你他妈这样
[1698.16-1700.12] 你不是堵大家的嘴吗
[1700.92-1702.52] 你这东西是救市的方法吗
[1702.52-1704.52] 这是明白人干的事吗
[1704.56-1705.64] 这样的人
[1705.84-1708.48] 你指望着他能做出什么人事来呢
[1710.04-1711.92] 关在大梅沙里的
[1711.96-1715.72] 其中有一个是香港赌王家族的
[1715.88-1718.36] 大陆A股投资基金的基金经理
[1718.76-1721.88] 台湾人也在里边关着没有罪名
[1722.04-1724.12] 家属着急来救
[1724.40-1727.96] 托人请托找到了我们提开委的老领导
[1727.96-1728.60] 王岐山
[1728.60-1729.64] 当时王岐山牛逼
[1729.80-1730.64] 八王爷
[1732.78-1733.82] 王岐山说什么
[1734.06-1735.14] 说算了
[1736.02-1737.62] 找我现在我也没办法
[1737.62-1739.46] 因为这一摊不归我管
[1739.90-1743.42] 而且常委班子已经定了这个事了
[1743.62-1745.38] 但是我可以保证你一点
[1745.42-1746.62] 第一不会受罪
[1746.62-1748.66] 只是关着让他们学习
[1748.74-1750.78] 第二三个月以后准放人
[1750.82-1751.66] 都放人
[1751.70-1752.94] 就说了这么两句话
[1753.30-1753.74] 为什么
[1755.18-1756.18] 因为没有罪名
[1757.30-1758.58] 人家唯一的错误
[1758.58-1761.26] 可能就是在熊市的时候卖鬼票了
[1761.82-1763.42] 你以为这个给人判刑吗
[1763.42-1763.82] 那不可能
[1763.82-1767.10] 所以当时公安部的主要负责领导也很头疼
[1767.58-1769.30] 哪能就这么胡来
[1769.94-1771.86] 但是领导又说了必须胡来
[1771.86-1772.46] 那就忽来
[1772.46-1773.18] 那就应付应付
[1773.18-1775.34] 关了三个月放了
[1775.34-1777.98] 股市当然没救助了
[1777.98-1778.62] 哈哈哈哈
[1778.62-1779.50] 继续往下跌
[1780.94-1782.06] 4000点保不住
[1782.06-1783.06] 3000点保不住
[1783.06-1784.02] 1800点
[1784.02-1786.22] 当时叫1800点保卫战
[1786.74-1789.26] 后来股市跌到底
[1789.38-1790.58] 又往回弹
[1790.86-1793.38] 谈到了今天的3300 3600
[1793.38-1796.34] 然后习主席一开一带一路
[1796.34-1798.02] 又回到3000
[1798.02-1799.30] 回到3000
[1799.30-1801.18] 胡锡进要去抄底救市
[1801.18-1802.10] 还在那吹牛逼
[1802.10-1803.66] 我看刘继鹏还在这跟他对话
[1803.66-1804.98] 刘继鹏还在那混
[1805.34-1806.66] 一点出息都没有
[1808.72-1811.48] 都快成了活化石了
[1812.24-1814.28] 还在那还是那个水平
[1814.56-1817.04] 问题的根本完全看不见
[1817.88-1820.00] 居然混到跟胡锡进去对话
[1820.28-1822.48] 两个人在聊A股的价值投资
[1822.68-1824.08] 要聊相信国运
[1824.08-1824.80] 相信A股
[1824.80-1826.52] 你说刘继鹏是不是丢人
[1826.96-1829.84] 所以我跟你们话聊着
[1829.96-1831.76] 3000点根本不是底
[1831.76-1834.36] 因为2015年提枪救市的时候
[1834.36-1836.64] 是1900点1800点
[1837.00-1839.48] 到现在肯定没有任何理由
[1839.48-1841.56] 掉不到1800点1900点
[1841.84-1844.24] 你觉得今天的中国经济基本面
[1844.24-1846.80] 及今天中国股市上市公司的管制
[1846.80-1851.20] 及证监会的监督水准
[1852.52-1854.20] 和2015年
[1854.20-1856.00] 有什么质的区别吗
[1856.00-1857.40] 完全没有区别
[1857.40-1858.68] 甚至更糟糕了
[1858.68-1859.36] 对不对
[1859.36-1862.40] 所以继续往下跌了
[1863.16-1866.32] 跳楼的可是一一切都是刚刚开始
[1866.32-1867.00] 跳楼的
[1867.00-1869.32] 现在只是第一波
[1869.32-1870.28] 第二波第三波
[1870.28-1871.84] 第四波都得接着往下跳
[1871.84-1873.00] 必须是这样的
[1873.00-1874.44] 不是这样的不正常
[1875.00-1877.32] 股市奔着2000点去一定是趋势
[1879.08-1880.80] 所以整个中国A股
[1881.00-1883.24] 就是个荒诞的垃圾场
[1883.24-1885.04] 远离股市
[1885.04-1886.44] 远离毒品
[1886.44-1890.16] 就是老王今天给大家最重要的建议
[1890.16-1892.20] 再见
[1892.20-1892.92] 记得点赞
[1893.28-1894.52] 点赞率不高了
[1894.52-1895.52] 拜拜
