[1.30-6.96] 哈喽,大家好,又见面了,长夜漫漫无心睡眠
[1297.02-1299.00] 你这个时候叫当塞进
[1299.00-1301.06] 当塞进就是收缩
[1302.06-1305.12] 你这时候其实应该搬到一个城里边的汤浩子
[1305.12-1307.78] 或者公寓老年联排里边
[1307.78-1310.10] 就是搬到这么一个小房子去
[1310.10-1312.26] 但是你手里又有很多的钱
[1312.26-1314.12] 你也有很好的健康
[1314.12-1316.50] 这个时候你会发现蓝本护照的优势
[1316.50-1321.02] 就是整个世界几乎都是你家的后花园
[1321.02-1324.52] 就是不用不用再刻意的追求走那么远
[1324.52-1326.46] 你想去哪儿玩去哪儿玩
[1326.46-1327.08] 就这么简单
[1327.08-1328.16] 你想比如说
[1329.26-1330.02] 你想去德州
[1330.02-1332.30] 你买张票就去德州了
[1332.30-1333.38] 不是山东啊
[1333.38-1334.98] 你想去东南亚泰国
[1334.98-1336.86] 你买张票去泰国了
[1336.86-1338.90] 你想去夏威夷
[1338.90-1339.74] 你可以去啊
[1339.74-1340.46] 你去加州
[1340.46-1342.22] 你可以去你去多伦多
[1342.26-1344.66] 蒙特利尔欧洲随便啊
[1344.66-1346.82] 这个这个就是第三个阶段了
[1346.82-1349.98] 而且你一旦有了这种国际视野
[1349.98-1350.90] 你有英语基础
[1350.90-1353.00] 你也懂国际规矩的话
[1353.00-1356.08] 其实去无论是去日本还是去欧洲
[1356.08-1359.78] 你这种玩耍和旅游的体验感都特别的强
[1359.78-1364.64] 你不会那种就是像我们国内的那些土豹子
[1364.64-1366.44] 新新加坡刚刚免签
[1366.44-1368.06] 然后他们去新加坡过新年
[1368.06-1372.16] 被人家罚的裤衩都给罚惨了什么
[1372.26-1373.14] 在地铁里喝水
[1373.14-1374.26] 这是他们干的事吧
[1374.26-1375.42] 出门就抽个烟
[1375.42-1376.34] 觉得出门了
[1376.34-1377.90] 我说出门了
[1377.90-1378.70] 被罚惨了吧
[1378.70-1380.14] 就是这些规矩呢
[1380.14-1382.98] 因为你毕竟没有在文明世界生活过嘛
[1382.98-1385.70] 所以你就有的时候就你得罪人
[1385.70-1387.50] 你都不知道为什么
[1387.50-1389.50] 就是人家对你有意见
[1389.50-1390.14] 那不知道为什么
[1390.14-1390.82] 他歧视我
[1390.82-1391.46] 其实不是
[1391.46-1393.90] 其实就是一些生活上的细枝末节
[1393.90-1397.06] 你需要漫长的移民生活去润生活
[1397.06-1400.30] 去修改修改修正
[1400.30-1400.98] 就是有的时候
[1400.98-1402.26] 你看一个人的表现
[1402.26-1403.78] 你知道他是从中国大陆来的
[1403.78-1406.26] 甚至你知道他来了多久
[1406.26-1409.94] 因为刚从大陆来的大部分人身上是有力气的
[1409.94-1410.74] 包括我啊
[1410.74-1412.50] 每一个人都有力气的
[1412.50-1413.94] 就是维权意识特强
[1413.94-1415.62] 就是我到餐厅吃饭什么的
[1415.62-1417.26] 上菜上饭了什么的
[1417.26-1418.38] 催的
[1418.38-1420.18] 然后不耐烦的
[1420.18-1424.82] 基本上都是我们中国大陆的新移民或者旅游者
[1424.82-1427.58] 至于开车乱按喇叭的
[1427.58-1429.38] 不遵守停牌规则的
[1429.38-1430.18] 这就不用说了
[1430.18-1431.02] 乱变现的
[1431.02-1432.22] 这就
[1432.22-1434.22] 特别的明显
[1434.22-1437.34] 所以这就是我们移民的三个心理阶段
[1437.34-1438.34] 三个心理阶段
[1438.34-1440.06] 这三个心理阶段
[1440.06-1441.46] 目前我在第二阶段
[1441.46-1442.78] 我就是走走野了
[1442.78-1446.06] 但是我已经认识到我的物理限制了
[1446.06-1449.18] 所以我原来嚷嚷着要去萨省买农地种麦子
[1449.18-1450.34] 我现在不嚷嚷了
[1450.34-1451.50] 为什么
[1451.50-1452.26] 我没问题
[1452.26-1454.06] 但我儿子太小了
[1454.06-1457.18] 而且罗纳德是那种城市的少爷的那种style
[1457.18-1458.14] 他长大了
[1458.14-1461.34] 他至少在35岁以前是压根不会有兴趣
[1461.34-1462.18] 跟我一起过去的
[1462.22-1463.06] 归隐田园的
[1463.06-1465.54] 所以他一定是属于一个什么大城市
[1465.54-1468.26] 一个什么繁华的地方
[1468.26-1470.50] 所以我也就心里明白了
[1470.50-1472.22] 然后剩下的俩闺女
[1472.22-1473.58] 你指望他们干体力活吗
[1473.58-1478.18] 所以我就是一个温哥华周边的小小的农场
[1478.18-1478.78] 种点花
[1478.78-1480.70] 种点菜
[1480.70-1481.58] 养两只鸡
[1481.58-1482.38] 养五只羊
[1482.38-1483.82] 我已经谢天谢地了
[1483.82-1484.34] 明白吧
[1484.34-1485.50] 就是有一个玩具拖拉机
[1485.50-1486.98] 我就谢天谢地了
[1486.98-1488.34] 为什么
[1488.34-1488.98] 这就叫命
[1488.98-1490.06] 你没命
[1490.06-1491.14] 你认命
[1491.14-1491.50] 你说
[1491.50-1493.10] 我要是有三个儿子
[1493.10-1494.90] 老大19
[1494.90-1496.98] 老三14
[1496.98-1498.74] 而且三个人都不学无术
[1498.74-1500.70] 就是进了课堂就睡觉
[1500.70-1502.38] 但是都特粗壮
[1502.38-1504.10] 我操那老王的人生
[1504.10-1505.42] 那就到达一个
[1505.42-1506.82] another level
[1506.82-1507.82] 到达一个新境界
[1507.82-1509.78] 我就要奔萨省去了
[1509.78-1512.14] 我去种麦子去了
[1512.14-1513.82] 打狼去了
[1513.82-1515.26] 至少也得去AB
[1515.26-1516.58] 谁还在BC窝着
[1516.58-1517.78] BC一个农场
[1517.78-1520.14] 他们100克的农场
[1520.14-1521.02] 100英亩农场
[1521.02-1522.42] 在萨城能买1000
[1522.42-1525.10] 能买2000英亩的A级小麦地
[1525.10-1527.26] 所以那么傻子才1000英亩
[1527.26-1528.26] 2000英亩什么概念
[1528.26-1528.86] 弟兄们
[1529.62-1531.10] 你站在你家院里边
[1531.10-1533.38] 往4个方向开枪
[1533.38-1535.02] 而且是远程狙击步枪
[1535.02-1536.06] 打不死别人
[1536.06-1537.90] 打死人一定是你家自己人
[1537.90-1539.74] 就是你家的院就这么大
[1540.50-1542.66] 一切可以说一眼望不到别
[1542.66-1544.50] 地平线都是你们家的
[1545.86-1547.74] 那个是每一个男人
[1547.74-1550.10] 野男人心里边的梦想
[1550.10-1550.70] 我想
[1551.02-1552.82] 但是城市难除外
[1552.90-1553.98] 城市文科难除外
[1555.14-1556.30] 然后给大家念念
[1556.30-1557.50] 给我写信的
[1557.50-1559.26] 这一个上海老哥可有意思了
[1559.70-1561.78] 他显然在人生的第一阶段
[1561.78-1562.70] 等我念完这信
[1562.70-1563.38] 我不加一评论
[1563.38-1565.62] 你们看是不是他在试图复制机
[1565.62-1567.30] 升级他熟悉的环境
[1567.30-1568.42] 他在人生第一阶段
[1568.70-1569.50] 他不自知
[1569.50-1571.54] 您好大老王
[1571.54-1573.26] 我的文笔并不是很好
[1573.26-1575.02] 从来没有这样给人写过信
[1575.02-1577.02] 至少20年以上没写过作文了
[1577.02-1578.94] 只能用很通俗的语句
[1578.94-1579.94] 来表达我的想法
[1579.94-1580.78] 请您包涵
[1581.02-1583.26] 我自认为算是您半个江东铁粉
[1583.26-1585.78] 虽然不是您索推前就关注您
[1585.78-1587.90] 但也算是从推特开始转到油管
[1587.90-1588.86] 每一期不落
[1588.90-1590.98] 你的世界观我非常认同
[1590.98-1592.74] 有些观点就像灯塔一样
[1592.74-1594.02] 让我豁然开朗
[1594.34-1596.42] 有时候真的有直接买张机票
[1596.42-1598.58] 到加拿大来找你面积的冲动
[1600.22-1600.82] 算了
[1600.82-1601.26] 弟兄
[1603.46-1605.22] 你会让我很紧张的
[1605.22-1606.18] 你说你又不是女的
[1606.18-1607.42] 你这个大老爷们
[1607.94-1608.98] 你给我面积啥
[1608.98-1609.62] 咱俩
[1610.46-1612.22] 我其实很多次都想
[1612.26-1612.98] 给您写信
[1612.98-1615.98] 但是始终都只停留在点赞和留言的阶段
[1615.98-1617.62] 都没有勇气跨下这一步
[1618.22-1618.58] 兄弟
[1618.58-1619.46] 你是不是同性恋
[1619.46-1620.50] 我操我有点怀疑
[1621.14-1623.74] 直到今天早上读到您说日本灭亡
[1623.74-1624.10] 这一篇
[1624.10-1625.06] 我实在忍不住了
[1625.06-1627.46] 刺激到思绪喷涌而出
[1627.46-1628.82] 想和您讨论玄学
[1628.82-1629.46] 润血
[1629.46-1630.38] 子女教育
[1630.38-1631.50] 五方拉手杖
[1631.50-1632.82] 但是不知从何说起
[1632.82-1633.90] 先说说我的情况
[1634.34-1636.02] 我想尽可能多一些我的信息
[1636.02-1638.26] 方便您对我进行人格的剖析
[1638.26-1639.70] 我是一名85后
[1639.70-1640.78] 出生在上海
[1640.78-1642.10] 大学毕业后
[1642.26-1645.02] 再从安永两年跳到了中投
[1645.02-1646.46] 中投证券两年
[1647.34-1649.98] 然后到中国银联一干就是十几年
[1649.98-1651.14] 这些就不多赘述了
[1651.58-1653.50] 以后如果有幸能见到您的话
[1653.50-1654.82] 我们再聊家常
[1655.18-1657.30] 我们全家目前已经移居到了东京
[1657.30-1658.26] 一妻一女
[1658.26-1659.78] 妻子是我初恋的高中
[1660.22-1662.46] 同学也是土生土长上上海年
[1663.26-1663.90] 上海宁
[1664.62-1666.98] 女儿目前6岁出生在尔湾
[1666.98-1668.70] 离开上海的原因有三
[1669.18-1671.82] 一是厌倦了体制内的勾心斗角
[1671.82-1672.22] 二是
[1672.26-1673.02] 上海封城
[1673.02-1675.22] 不过最重要的还是由于女儿的教育问题
[1675.74-1677.82] 6年前我不顾家里所有人的反对
[1677.82-1678.54] 包括妻子
[1678.54-1680.82] 毅然决然把女儿生在了美国
[1681.22-1683.82] 现在回头看当时的坚持是多么的明智
[1683.82-1684.26] 牛逼
[1684.70-1686.14] 两年前上海一解封
[1686.14-1688.10] 7月我就独自一人来到了东京
[1688.10-1689.86] 过户当时和日本银联
[1690.30-1691.74] 以及当时的华人
[1691.74-1692.98] 当地的华人有合作
[1692.98-1695.26] 所以通过当地的公司办了工作签证
[1696.70-1697.90] 因为有类似工作经验
[1697.90-1699.70] 顺利的拿到了三年计
[1700.34-1702.22] 日三年纪人国签证
[1702.26-1705.02] 三天纪人国签就是技术
[1705.94-1706.70] 公签就是
[1707.34-1708.82] 目前从事换汇工作
[1709.26-1711.66] 关于工作我又能跟您唠嗑唠一天
[1711.66-1712.98] 这里就先不啰嗦了
[1713.86-1716.22] 妻子和女儿是10月份搬来的东京
[1716.22-1717.54] 全家到了东京后
[1717.54-1719.34] 第一件重要的事情就是
[1719.70-1720.90] 解决女儿的小学问题
[1720.90-1723.22] 我找遍了首都圈所有的一线国际学校
[1723.22-1724.54] 因为我们来的不算晚
[1724.94-1726.30] 再加上我女儿是美国籍
[1726.30-1727.86] 终于顺利的入住了一个
[1727.86-1729.06] 我们理想的国际学校
[1729.58-1731.46] 从此心中的大石头总算放下
[1731.46-1732.22] 我跟我
[1732.26-1734.14] 妻子并没有出国留学的经验
[1734.58-1736.06] 见到了正式的世界后
[1736.06-1737.38] 慢慢学会了DIY
[1737.38-1739.30] 过号上海人脱职速度
[1739.30-1740.70] 估计是大陆最快的了吧
[1740.70-1741.62] 不自觉
[1743.70-1744.14] 行吧
[1744.14-1745.22] 就是给你点面子
[1745.22-1746.10] 上海人是最快的
[1746.50-1746.82] 好
[1746.82-1748.66] 下面开始进入正题
[1749.86-1752.26] 首选我很敬佩日本灭亡论的作者
[1752.26-1754.06] 因为他做了极多的数据分析
[1754.46-1756.10] 这些目前我还没有能力去做
[1756.10-1757.70] 只能通过我直接和看到的
[1757.70-1759.78] 和感到的一些表象来说说我的看法
[1760.58-1761.46] 我还没贴他的链接上
[1761.46-1762.18] 我还没贴他的链接上
[1762.18-1762.54] 我还没贴他的链接数据
[1762.66-1763.54] 他都给我发过来了
[1763.54-1766.34] 因为我觉得大家可能也不会真想知道
[1767.42-1770.18] 我想给这位从东京移民到美国的前辈
[1770.18-1772.54] 前辈先定个姓
[1772.98-1774.10] 因为他看空日本
[1774.10-1775.18] 所以他所有的数据
[1775.18-1777.42] 都是站在看空日本的立场上分析的
[1778.06-1780.06] 老一辈移民当时来日本的时候
[1780.06-1781.50] 日本是远远高于中国
[1781.50-1783.90] 所以一下子从中国跳跃到日本
[1783.90-1785.38] 难免会很苦很累
[1785.86-1786.98] 同时他们又错过了
[1786.98-1788.94] 中国改开非速发展的30年
[1788.94-1789.90] 在30年中
[1790.30-1791.98] 他们在日本的生活一成不变
[1791.98-1793.86] 从而导致了心理上的落差
[1794.86-1797.02] 最终变成了看空日本的这一派
[1797.02-1801.02] 而我们这些新移民生活在北上广的中产
[1801.02-1803.54] 来到东京后发现遍地是黄金
[1803.54-1806.94] 我们可以花远低于上海的生活成本
[1806.94-1809.34] 享受到远高于上海的生活质量
[1809.34-1811.86] 我认为东京是一个下限很高
[1811.86-1813.78] 但是上限很低的城市
[1813.78-1815.74] 特别适合中产移居
[1817.74-1819.98] 温哥华和洛杉矶可能也是这样的
[1820.30-1821.50] 一医疗
[1821.50-1821.94] 这点
[1821.98-1823.14] 发达国家都一样
[1823.14-1824.78] 但是在国内我们感受不到
[1824.78-1828.22] 在上海我们只能花昂贵的隐形和险性的费用
[1828.22-1829.90] 去享受优质的医疗服务
[1829.90-1832.66] 但是在日本你只需用基本的国民保险
[1832.66-1834.26] 就能体验到极致的服务
[1834.26-1835.26] 我太同意了
[1835.26-1836.42] 因为在北京
[1836.74-1838.18] 你要是不认识人
[1838.18-1839.42] 你在北京的大医院
[1839.42-1840.34] 你就排队排去
[1842.74-1843.70] 虽然我认识人
[1843.70-1845.78] 但是我这种感觉特别不好
[1845.78-1846.54] 因为我的朋友
[1846.66-1848.38] 我的亲属来了北京治病
[1848.42-1849.30] 都要找我
[1849.30-1851.74] 通过我来去找相关的认识的人
[1851.98-1854.94] 所以北京形成了医疗资源挤兑
[1854.94-1856.18] 这样的一个局面
[1857.70-1859.78] 我这边的好多温哥华的邻居
[1859.78-1863.18] 有些是小城市
[1863.18-1865.26] 甚至农村学霸
[1865.26-1866.14] 考到北京
[1866.14-1866.90] 考到清华
[1866.90-1869.70] 甚至那些很好的院校
[1869.70-1871.18] 然后到华为
[1871.30-1873.58] 到这些外企工作之后
[1873.58-1875.14] 他们为什么赚了钱之后
[1875.14-1875.66] 10年之后
[1875.66-1877.06] 他们来加拿大
[1877.34-1878.06] 去美国
[1878.06-1880.62] 就是因为他们在北京可不认识人
[1880.62-1881.62] 你别看他在三星
[1881.62-1881.94] 西门子
[1881.98-1883.54] 在什么爱立信工作
[1883.54-1885.14] 你想他们怎么可能认识人
[1885.14-1887.26] 因为他们一直是一种技术工作
[1888.10-1889.14] 工程师类的工作
[1889.14-1890.58] 所以他们没有社会网络
[1890.58-1892.26] 所以他们一旦生一次病
[1892.26-1894.66] 他们就斩钉截铁的就移民了
[1894.74-1895.78] 有的是生一次病
[1895.78-1897.50] 有的是像你一样有孩子了
[1897.50-1898.78] 你就觉得这样不行
[1898.78-1900.74] 找人什么去中关村急消
[1900.74-1902.26] 去不了怎么办
[1902.30-1903.34] 就寻求公平
[1903.34-1903.90] 人家出来
[1903.90-1904.78] 反正人家有技术
[1905.22-1907.34] 走哪人家都能活得下去
[1907.98-1908.98] 二教育
[1909.10-1910.02] 就是这两个问题
[1910.02-1910.98] 医疗和教育
[1911.14-1911.62] 目前
[1911.62-1914.38] 日本移居出台了很多新的政策
[1915.22-1916.02] 有些地方
[1916.42-1919.02] 大学甚至私立学校已经开始免费
[1919.54-1921.02] 关于我女儿国际学校的问题
[1921.02-1922.26] 我特别有发言言权
[1922.26-1924.70] 根据最新的全世界国际学校的
[1925.06-1925.94] 学费排名
[1926.82-1928.18] 最贵的是纽约马哈顿
[1928.18-1929.30] 其次北上广深
[1929.66-1930.90] 再次瑞士新加坡
[1930.90-1932.62] 日本连前十都排不进去
[1932.98-1934.02] 横向的对比
[1934.02-1935.34] 上海的美国人学校
[1935.34-1936.54] 不算其他隐形费用
[1936.54-1937.30] 一年学费
[1937.78-1938.66] 30万人民币
[1939.06-1939.74] 你说错了
[1939.74-1940.26] 弟兄
[1940.26-1941.70] 我有好多朋友
[1941.70-1942.66] 在上海上国际学校
[1942.66-1943.94] 那可不是30万人民币
[1944.90-1947.06] 上海的鲍宇刚最便宜
[1947.06-1947.78] 大概30万
[1948.54-1950.18] 稍微好一点的30万下不来
[1951.62-1954.62] 而东京的美国人学校
[1954.62-1957.06] 一年学费是300万日元
[1957.46-1959.14] 学费方面就差了整整一倍
[1959.14-1960.86] 学费贵也就算了
[1960.86-1963.38] 师资和生源的质量越差越大
[1963.38-1964.26] 你说的没错
[1964.62-1966.22] 到中国教书的外国人
[1966.22-1967.78] 现在素质要远远低于
[1967.78-1969.18] 在日本教书的外国人
[1970.26-1971.66] 外国人我指的是洋人
[1972.22-1973.14] 另外别人都说
[1973.14-1974.98] 日本的大学排名世界不高
[1974.98-1976.82] 但是日本的教育水平并不一般
[1976.82-1978.94] 我觉得不能片面的看排名
[1978.94-1980.42] 日本人有自己一套的
[1980.42-1982.50] 独立的人才培养体系
[1982.50-1984.10] 不然不会有那么多诺贝尔奖
[1984.10-1984.70] 出在日本
[1985.46-1986.78] 三餐饮
[1986.78-1989.34] 到了日本我才发现什么叫国际化大都市
[1989.34-1991.26] 原来上海真的什么都不算
[1991.26-1992.94] 日本人下班后不回家
[1992.94-1995.14] 喜欢聚集在居酒屋吃饭聊天
[1995.14-1997.14] 经常能发现小小一个街区
[1997.14-1999.34] 挤着几百家饭店餐厅
[1999.34-2000.10] 而且质量都负责了
[2000.10-2000.14] 而且质量都负责了
[2000.14-2000.78] 质量都非常高
[2000.78-2002.02] 我常常就骑自行车
[2002.02-2003.14] 到处找寄药嘎拉
[2003.14-2005.14] 那些不起眼的米其林小店
[2005.14-2006.18] 每次都能体验到
[2006.18-2008.54] 新史感所带来的幸福感
[2008.54-2009.66] 只有这一点
[2009.66-2011.74] 那真的是全世界都比不了东京
[2012.26-2013.26] 4CBD
[2013.66-2015.50] 今年新竣工的麻布台之丘
[2015.50-2016.74] 作为一个标志性
[2016.74-2018.86] 东京大型城市综合开发项目
[2019.30-2021.34] 开启了日本城市开发的新时代
[2021.66-2023.94] 而相比临近在旁边20年开发
[2023.94-2025.10] 20年前开发的
[2025.66-2026.46] 六本木之丘
[2026.46-2028.10] 其开发水平已经提升了
[2028.10-2029.18] 至少两个等级
[2029.78-2029.98] 日本
[2029.98-2031.82] 最近公布了新的百年计划
[2032.14-2033.14] 日本几处副都
[2033.54-2034.70] 都在飞速发展
[2034.70-2036.78] 类似麻布之丘新住的
[2037.10-2039.90] 塔楼和商业建设比比皆是
[2040.26-2041.94] 设计水平不断的刷新
[2042.82-2044.30] 我又日吹要说
[2044.30-2046.02] 东京的城市发展速度
[2046.46-2048.26] 过去的100年和未来的100年
[2048.26-2049.58] 地球上任何一个地方
[2049.58-2050.94] 都无法与之比拟
[2051.98-2052.70] 5其他
[2052.70-2055.22] 我从我在日本东京生活后
[2055.22-2057.06] 我会发现其他国家
[2057.58-2058.02] 旅游
[2058.02-2059.70] 我会发现到其他国家旅游
[2059.70-2059.74] 我会发现到其他国家旅游
[2059.74-2059.94] 不信
[2059.94-2059.98] 不信
[2059.98-2061.38] 不像以前在国内的时候
[2061.38-2062.10] 那么新鲜了
[2062.50-2064.06] 在日本一年四季都有活动
[2064.06-2064.86] 春天樱花
[2064.86-2065.70] 夏天烟火
[2065.70-2066.38] 秋天红叶
[2066.38-2067.14] 冬天滑雪
[2067.50-2068.94] 想去看海就去冲绳
[2068.94-2070.58] 想去滑雪就去长野
[2071.14-2072.54] 日本的学场实在太多
[2072.54-2073.86] 到了日本学了单板
[2073.86-2075.94] 以每年夏季都要去各种学场
[2076.34-2078.58] 无聊了去京都奈良做一整天
[2078.58-2080.78] 我在东京都住了一年半
[2081.10-2083.02] 到现在还有很多地方没去打卡
[2083.02-2084.58] 到处都是公园和博物馆
[2084.90-2085.94] 到处都是美术馆
[2086.26-2088.66] 到处都是各种期限定制的活动
[2089.46-2089.94] 生活风格
[2089.94-2090.86] 丰富多彩程度
[2090.86-2093.34] 我日垂敢说是全地球第一
[2093.34-2094.74] 而且远超第二
[2094.74-2097.26] 你看上海人好玩
[2097.42-2099.94] 他在复制和升级他熟悉的环境
[2101.22-2102.62] 因为他这样他有安全感
[2104.74-2106.06] 通过上面这几点
[2106.30-2109.22] 正因为有这种稳定且丰富多彩的社会环境
[2109.22-2110.74] 日本人民才能安居乐业
[2111.14-2114.30] 关于前辈提到的许多关于GDP数据的问题
[2114.30-2115.98] 无非就是想说日本不行了
[2116.30-2117.22] 日本经济要崩了
[2117.22-2118.10] 日元要贬了
[2118.10-2119.42] 我作为一个外行人觉得
[2119.42-2119.90] 我们不能
[2119.90-2121.66] 光看一个排名来判断好坏
[2122.02-2124.06] 就像我之前说的大学排名一样
[2124.38-2126.82] 日本是个各方面都做到了极致的国家
[2126.82-2128.26] 包括他们那些经济学家
[2128.26-2129.38] 也不一定是草包
[2129.70-2131.18] 他们不会看不到这些问题
[2131.18-2133.06] 而是他们早就意识到了
[2133.34-2134.22] 并且采取了
[2134.54-2135.90] 对应的宏观调控政策
[2135.90-2137.14] 所以我们才会看到
[2137.46-2139.82] 全世界最奇葩的富利率国家
[2139.82-2142.02] 而正是在这种宏观政策下
[2142.34-2144.94] 日本的物价括乎除了房地产泡沫问题
[2144.94-2145.90] 我们不展开谈
[2146.30-2147.30] 几十年如一日
[2147.30-2149.30] 一碗拉面几十年前几百日元
[2149.30-2150.86] 到现在还是几百日元
[2151.22-2153.34] 我认为全世界物价水平最稳定的国家
[2153.34-2154.58] 就是就属日本了
[2154.86-2156.98] 所以我相信未来日本人的生活成本
[2156.98-2158.94] 依旧会维持在一个稳定的水平
[2160.58-2162.18] 我对日本的房地产有信心
[2162.18-2163.26] 就像老王所说的
[2163.58-2166.42] 只要有人源源不断的进入到这个城市
[2166.42-2168.78] 这个城市的房价就会节节攀升
[2169.18-2171.42] 目前东京就会是这样的情况
[2171.42-2173.46] 全世界的投资人都发现了
[2173.78-2174.74] 日本这个洼地
[2175.14-2176.94] 东京的房产已经连年增长
[2176.94-2178.34] 每年10%到20%
[2178.34-2179.18] 我甚至开始
[2179.18-2182.42] 有了经历上海房价上涨的同样感觉
[2183.10-2184.02] 关于劳工问题
[2184.02-2186.26] 日本政府引进了大量的尼泊尔人
[2186.26-2188.86] 来弥补日本社会的一些底层工作
[2189.26-2191.22] 对于民族相对封闭的日本
[2191.22-2193.42] 尼泊尔人任劳任怨素质也不低
[2193.42-2196.74] 甚至比几十年前的中国劳工性价比更高
[2197.10-2199.62] 且不会对日本的种族和文化产生冲击
[2200.02-2201.74] 我认为这是解决日本现阶段
[2201.74-2203.58] 劳动力不足的最优解决方案
[2204.22-2206.22] 但是为什么这个社会需要那么多劳工
[2206.22-2209.10] 不知道老王您是否有考虑过
[2209.18-2211.94] 是因为日本的工作岗位需求量太高了
[2211.94-2213.10] 到处都是便利店
[2213.10-2214.26] 到处都是餐饮店
[2214.26-2215.46] 甚至一个工地
[2215.46-2217.42] 一个停车场都要放好几个人
[2217.42-2219.10] 在那里边挥红色的棒子
[2219.54-2222.22] 我一开始从国内过来很不理解
[2222.22-2223.90] 这些工作岗位根本没有必要
[2225.50-2226.58] 就像老王之前说的
[2226.58-2228.30] 很多残疾人在外面那期
[2228.30-2230.10] 我到了日本也有同样的疑问
[2230.10-2231.46] 后来一下子恍然大悟
[2231.46-2232.10] 想明白了
[2232.10-2233.82] 这就跟劳工问题是一样的
[2234.30-2235.30] 但是正因为这样
[2235.30-2238.02] 所以日本的就业率才会全世界最高
[2238.42-2239.06] 这里我必须
[2239.18-2241.22] 引进小红鸟之前有一期分析的
[2241.82-2243.82] 判断一个国家的社会发达程度
[2243.82-2244.74] 不是看GDP
[2244.74-2245.78] 而是看就业率
[2246.26-2247.46] 只有就业率高了
[2247.46-2248.70] 所有人都有工作了
[2249.06-2250.86] 老百姓有钱了才会去消费
[2250.86-2251.94] 良性循环
[2251.94-2253.18] 社会才能稳定发展
[2253.74-2254.82] 关于能源的问题
[2254.82-2257.06] 自古以来就是困扰日本人的心头大患
[2257.46-2258.38] 就如老王所说
[2258.38-2259.30] 日本的核电站
[2259.70-2261.46] 导致现在日本政府非常被动
[2261.46-2263.86] 所以日本那些专家一直在研究新能源
[2264.30-2265.86] 比如电动汽车的固态电池
[2265.86-2266.66] 以及氢能源
[2266.66-2268.26] 不知老王是否知道
[2268.26-2269.14] 东京奥运村
[2269.18-2270.66] 有个地方叫做秦海
[2271.02-2271.90] 我就住在这附近
[2271.90-2274.98] 有幸见证了全世界第一个氢能源社区的建成
[2275.54-2277.38] 有机会你一定要到现场来看看
[2277.38-2280.14] 我认为这可能才是人类发展的一个里程碑
[2281.58-2283.26] 关于地震问题真的无解
[2283.26-2283.98] 刚来的时候
[2283.98-2286.10] 每次半夜被地震警报吵醒
[2286.50-2287.58] 心里担惊受怕
[2287.58-2288.86] 不过现在我已经习惯了
[2288.86-2289.66] 只能安慰自己
[2289.66-2291.10] 天灾人祸无法避免
[2291.10-2292.06] 有得必有失
[2292.46-2293.78] 没有一个地方是完美的
[2293.78-2295.10] 有时候我一直在想
[2295.10-2297.18] 为什么老王对日本的评价非常高
[2297.62-2298.94] 但是始终透露出了
[2298.94-2299.18] 一点
[2299.18-2300.94] 对于东京和加拿大的比较
[2300.94-2302.18] 还是加拿大更好
[2302.54-2304.14] 我觉得有两个原因
[2304.14-2306.42] 一是老王其实出生在乡下
[2306.82-2307.18] 阔胡
[2307.18-2309.66] 我们上海人说上海以外的地方都是乡下
[2309.98-2310.94] 哈哈你别介意
[2311.26-2312.86] 我就是把我真实的想法说出来
[2312.86-2314.26] 有助于您对我的剖析
[2314.78-2315.98] 然后到北京工作
[2316.30-2319.06] 其实老王一直没有长期国际化大城市的
[2319.58-2320.82] 生活经验
[2321.22-2322.74] 所以才选择了加拿大
[2323.06-2326.50] 而对于我们这些从小在高楼大厦下长大的80后
[2326.90-2328.94] 我们无法完成180度转变
[2328.94-2330.70] 直接去大农村过日子
[2330.70-2333.70] 所以东京对于我们来说是最好的选择
[2334.22-2336.06] 二是日本这个民族非常保守
[2336.42-2338.06] 加上日语的天然屏蔽
[2338.38-2341.22] 所以也会把很多新移民挡在了门外
[2341.22-2343.38] 就好比我现在的一些长辈
[2343.38-2345.26] 他们移民首选就是新加坡
[2345.26-2346.14] 而不是东京
[2347.54-2348.54] 最后我说了个尾
[2348.54-2350.02] 写了三个多小时太累了
[2350.02-2351.26] 很久没有这样过
[2351.70-2352.34] 懒得复读
[2352.34-2353.22] 可能会有病剧
[2353.22-2354.06] 老王别介意
[2354.06-2355.22] 到哪里生活都一样
[2355.22-2356.58] 人生有各个阶段
[2356.98-2358.70] 可能我们老了就来加拿大养老
[2358.70-2360.18] 大家只要找到合适的自己
[2360.18-2360.86] 就是最好的
[2360.86-2362.02] 跳出地球看人生
[2362.02-2362.86] 其实也是这样
[2363.18-2365.42] 这是老王您教会我的价值观提升
[2365.42-2366.26] 说了那么多
[2366.26-2368.78] 还有很多想和老王讨论的问题
[2368.78-2371.02] 不知道下次什么时候会再给您写信
[2371.30-2372.26] 万事开头难
[2372.26-2374.06] 有一次肯定会有第二次
[2374.06-2374.58] 第三次
[2375.54-2376.22] 为了鼓励你
[2376.22-2377.94] 我把你全文今天都念了
[2378.30-2380.10] 就是怕你受到打击
[2380.10-2380.78] 写了这么多
[2380.78-2382.22] 30年20年都没写
[2382.22-2382.94] 写了一次
[2383.22-2384.70] 居然石山大海那还行
[2386.78-2388.02] 日本和加拿大对比
[2388.02-2388.66] 是我
[2388.70-2389.70] 不自觉的
[2389.70-2391.46] 因为我非常喜欢日本
[2391.46-2392.58] 我有多喜欢日本
