[2.22-4.14] 哈喽 大家好 又见面了
[4.14-6.04] 昨天跟大家聊了聊钻石
[1371.32-1376.44] 我们有大量的钻石存货那可不是告实那真的是钻石啊而且那个时候没有培养钻石
[1376.74-1379.04] 全是天然的所以我们当时是想
[1379.30-1380.06] 抵押给银行
[1380.32-1383.14] 发一些理财产品或者发一些信托产品
[1383.64-1384.92] 把人民币现金
[1385.44-1387.74] 给周转回来的但是不行为什么呢
[1388.00-1389.54] 一倒茶
[1389.80-1391.84] 因为达尔曼04年的案子
[1392.10-1393.12] 弄的这个事
[1393.38-1395.16] 04年他把路走绝了
[1395.42-1397.72] 导致我们在6年以后的10年
[1397.98-1400.04] 我们没有办法再往前走任何一步
[1402.08-1403.88] 那与达尔曼
[1404.38-1406.18] 抵押钙石骗银行
[1406.48-1407.24] 相应的
[1407.50-1408.02] 那
[1408.28-1409.04] 翡翠
[1409.56-1410.84] 和其他宝玉石
[1411.08-1414.42] 在银行的这种抵押也进入黑名单
[1414.68-1415.70] 银行不做这种事
[1416.46-1417.24] 非常谨慎
[1417.74-1418.26] 那
[1418.52-1422.10] 唯独银行认的当时印的就是黄金
[1422.36-1423.38] 银行认金子
[1423.64-1424.14] 那个
[1424.40-1425.42] 当时还没有
[1425.68-1427.48] 武汉金黄的那个丑闻
[1427.72-1430.54] 大家说黄金能不能造假抵押给银行
[1430.80-1431.56] 当然了
[1431.82-1432.34] 有的是
[1432.84-1434.38] 不造假是不可能的但是
[1434.90-1436.44] 就是这个事啊就是这么玩的
[1436.74-1437.50] 就是你别穿帮
[1438.02-1440.58] 你给银行比如抵押了10吨的金子
[1440.84-1444.68] 但是你到期你把人民币还给银行银行把这个抵押的金子还给你
[1444.92-1447.24] 你这金子是真是假并没有人太care
[1447.48-1451.08] 但是你他妈要撩鸭子就跑那不行那这事不就穿帮了吗
[1451.32-1452.60] 就跟达尔曼或者
[1452.86-1454.66] 武汉金黄一样了吗这不就是
[1454.92-1455.94] 大白于天下
[1456.20-1457.98] 所以到底有多少人在用
[1458.24-1461.32] 假金子抵押给银行去贷款
[1461.56-1463.10] 这个我不知道啊我不知道
[1463.36-1465.40] 那大家可以发挥我的想象
[1465.66-1466.44] 按照大老王
[1466.74-1468.28] 进入书厂的一贯的这个
[1469.56-1470.06] 阴谋论
[1470.32-1471.34] 你想
[1471.86-1472.62] 我觉得
[1472.88-1473.90] 中国的上市公司
[1474.42-1476.20] 黄金珠宝类的有一个算一个
[1476.46-1480.04] 只要他有黄金库存他只要干了
[1480.30-1486.44] 抵押贷款或者发理财那你说他都是真的吗我们要打一个大大的问号
[1488.50-1491.06] 今天呢就是讲
[1491.82-1494.38] 讲了讲王中会的故事
[1494.64-1495.40] 毕立军的故事
[1495.92-1496.44] 和
[1496.74-1497.76] 张蓓莉的故事
[1498.52-1499.56] 那张蓓莉的
[1499.80-1502.12] 也是受温家宝的这个拖累
[1502.62-1504.92] 把他做的好好的这么一个
[1505.18-1506.98] 钻石平台彻底打碎
[1507.24-1510.82] 使得中国没有崛起一个能够跟戴比尔斯
[1511.08-1512.36] 相同
[1512.60-1514.92] 级别抗衡的这样一个国家队
[1515.42-1517.48] 或者是类似于淘宝这样的
[1517.72-1519.52] 准的国家级的
[1519.78-1522.34] 虽然是私企但是是主国家队没有
[1522.60-1524.12] 所以造成了后来
[1524.38-1526.44] 河南人培育出来这个
[1526.74-1527.76] 培养钻石之后呢
[1529.04-1532.62] 无法可依也没人作为供主
[1532.88-1535.70] 变成了一盘散沙真的是按金卖就是
[1535.96-1539.28] 其实是可以把这个事包装起来做成一个很大的买卖的
[1539.80-1542.60] 你只要控制住这个技术源头不要
[1542.86-1544.14] 不要为了面包
[1544.40-1548.76] 几口饭就大家都贱卖了而保持这样一个钻石的相对
[1549.00-1549.78] 高价位
[1550.04-1554.12] 其实对于戴比尔斯有好处对于中国的钻石行业也是有好处的
[1554.64-1555.92] 但是那是怎么办呢
[1556.18-1557.72] 当然要惠民了
[1557.96-1559.00] 广大人民群众
[1559.24-1560.78] 你快别买天然钻石了
[1561.04-1562.06] 听我老王一句话
[1562.32-1564.36] 老王的天然钻石库存
[1564.62-1566.68] 我相信是中国企业家里面最多的
[1566.92-1567.96] 我都说实话了
[1568.20-1568.98] 主打一个真字
[1569.48-1571.54] 都留给我闺女留给我
[1572.30-1572.82] 儿子了
[1573.08-1573.58] 卖不出去了
[1573.84-1575.64] 你们就别在那硬挺了
[1575.88-1577.16] 天然钻石的
[1577.42-1581.78] 蜘蛛网重拾是无法复制的它才有价值
[1582.04-1584.84] 一派胡言
[1585.10-1585.62] 就是说
[1586.18-1587.20] AI美女
[1587.46-1588.48] 之所以没有
[1588.74-1589.76] 替代人工美女
[1590.28-1593.86] 唯一原因是AI美女是2D的它是在手机里的
[1594.36-1595.40] 它还不能
[1595.64-1597.18] 出现在我旁边
[1597.44-1600.52] 是一个AI美女有血有肉一摸还能用
[1601.54-1603.32] 谁要
[1604.10-1608.20] 真美女真美女又放屁又发脾气的对不对
[1608.44-1613.32] AI美女人道的那如果要是真的是有人工智能机器人能做到
[1613.56-1615.10] 以假乱真那你看看
[1615.10-1618.94] 女人是不是就没有这么大的性别优势了
[1619.20-1621.50] 可以骑在男人头上输出了
[1621.76-1622.78] 所以
[1623.04-1628.16] 一样的我不是性别骑士当然也可以有AI俊男出来
[1628.42-1630.72] 女士们也不用再看男人的
[1630.98-1632.26] 脸色了
[1633.02-1634.30] 所以呢就是
[1634.56-1637.88] 人造钻石和天然钻石相比
[1638.40-1640.18] 天然钻石所有的拥立者
[1641.22-1643.00] 你们的理由是站不住脚的
[1643.26-1644.02] 你们理由
[1644.02-1648.12] 我不能同意当然你可以保持你的观点
[1650.16-1653.50] 好吧今天钻石的故事我觉得我就聊完了吧
[1653.74-1656.30] 河南三摩尔索的这个
[1656.56-1658.36] 窑我也给自己辟了
[1658.62-1660.40] 这个
[1660.66-1662.70] 戛然而止的这个典故咱们也立住了
[1662.96-1665.02] 张蓓莉咱们也都给她说清楚了
[1665.26-1668.34] 戴孟德的前世今生我连山水宾馆都给抖了出来了
[1668.86-1672.18] 所以这事也就过去了
[1672.44-1673.98] 大家
[1674.28-1678.12] 继续听老王瞎白话今天这个跟大家聊聊天
[1678.38-1680.68] 大家来了好多好玩的信
[1681.18-1682.22] 看吧一会有
[1682.46-1683.50] 时间我给大家读一读
[1683.74-1684.78] 非常有意思
[1685.28-1687.34] 多点赞多订阅
[1687.84-1689.90] 突破黑暗世界对我的封锁
[1690.14-1690.66] 再见
