[10.58-15.58] 君子以自强不息 君子以厚德载悟
[15.58-18.58] 自强不息是我们干好事的时候的状态
[1373.95-1376.95] 如果没有的话就集中到一个集中营里
[1376.95-1378.95] 那是联合国做的集中营
[1378.95-1381.95] 在瑞士和德国边界上有那么一个大的集中营
[1381.95-1383.95] 所有的伊朗难民在这里面集中
[1383.95-1384.95] 集中以后干什么
[1384.95-1385.95] 联合国给他们分配
[1385.95-1390.95] 要的最多的接受他们最多的就是加拿大
[1390.95-1393.95] 所以知道今天他们还感恩
[1393.95-1395.95] 加拿大的这种仁慈和感恩
[1395.95-1396.95] 和慷慨
[1396.95-1399.95] 所以他们伊朗人来了加拿大以后呢
[1399.95-1400.95] 就这一代伊朗人
[1400.95-1401.95] 他们那么聪明
[1401.95-1402.95] 都是贵族嘛
[1402.95-1405.95] 所以他们很快的就学会了英语
[1405.95-1407.95] 很快的就拿到了当地的这个
[1407.95-1408.95] 加拿大的学位
[1408.95-1409.95] 找到了工作
[1409.95-1411.95] 所以他们就是感恩
[1411.95-1412.95] 感恩戴德
[1412.95-1416.95] 他们中甚至出现了加拿大的国防部长
[1416.95-1417.95] 加拿大的国防部部长
[1417.95-1418.95] 加拿大的参议员
[1418.95-1420.95] 我们加拿大300多个参议员
[1420.95-1421.95] 我们都知道
[1421.95-1423.95] 那伊朗裔的参议员有很多呀
[1423.95-1425.95] 几十个人呀
[1425.95-1426.95] 为什么
[1426.95-1427.95] 完全融入到加拿大
[1427.95-1429.95] 成为加拿大的一部分
[1429.95-1431.95] 你想政策是什么人制定的
[1431.95-1433.95] 政策就是参议员们制定的
[1433.95-1435.95] 300多个参议员
[1435.95-1436.95] 有这样背景的伊朗人
[1436.95-1438.95] 我还没说别的地方的难民
[1438.95-1439.95] 第二代
[1439.95-1442.95] 第一代伊朗人就有几十位
[1442.95-1444.95] 所以他们当然知道
[1444.95-1446.95] 难民政策对于一个国家
[1446.95-1450.95] 对于一群遭受苦难的人意味着什么
[1450.95-1453.95] 所以当你知道了这些知识的时候
[1453.95-1454.95] 当你的知识程度
[1454.95-1456.95] 有了这个维度的时候
[1456.95-1460.95] 你就会对难民政策完全放下
[1460.95-1463.95] 而且充分的接纳支持
[1463.95-1465.95] 但是你会在这个过程中
[1465.95-1467.95] 尽可能的完善
[1467.95-1469.95] 支持难民政策中的细节
[1469.95-1471.95] 比如说难民犯罪问题呀
[1471.95-1472.95] 比如说心理辅导问题
[1472.95-1474.95] 你会跟上
[1474.95-1477.95] 但是你绝对不会反对难民政策
[1477.95-1478.95] 你更不会说
[1478.95-1480.95] 加拿大难民接受的太多了
[1480.95-1481.95] no no no
[1481.95-1483.95] 每一个国家都应该和加拿大这样
[1483.95-1486.95] 而不是说加拿大接受的太多了
[1486.95-1489.95] 是别的国家做的不够
[1489.95-1490.95] 所以呢
[1490.95-1492.95] 这就是加拿大对难民的
[1492.95-1494.95] 我对加拿大难民的认识
[1494.95-1495.95] 我希望呢
[1495.95-1496.95] 我的回答呢
[1496.95-1499.95] 能够给在座的各位的带来新的知识
[1499.95-1501.95] 我们中国人还没有沦落到
[1501.95-1504.95] 战争难民跑到加拿大的那一天
[1504.95-1506.95] 但是你们相信我的话
[1506.95-1508.95] 知道我的这种知识之后
[1508.95-1510.95] 你们一定会相信我的结论
[1510.95-1512.95] 就是中国真的发生大洪水
[1512.95-1513.95] 发生大洪水
[1513.95-1514.95] 当张献忠屠城的时候
[1514.95-1516.95] 你们往北京上海跑
[1516.95-1519.95] 加拿大政府一定会去接你们
[1519.95-1520.95] 加拿大政府
[1520.95-1521.95] 澳洲政府这样的
[1521.95-1522.95] 仁慈的
[1522.95-1524.95] 有难民经历的
[1524.95-1528.95] 有天涯沦落人经历的这种
[1528.95-1529.95] 文明国家
[1529.95-1532.95] 西方文明国家一定会推动这联合国
[1532.95-1536.95] 率先去接纳来自中国的战争难民
[1536.95-1538.95] 所以我们要维持这个体制
[1538.95-1540.95] 只有这个体制存在
[1540.95-1542.95] 地球才有文明可言
[1542.95-1545.95] 否则的话五浊厄世不是饿透了吗
[1545.95-1546.95] 对不对
[1546.95-1548.95] 所以这就是不要那么排斥难民
[1548.95-1550.95] 我们中国尤其是华裔
[1550.95-1551.95] 你不要排斥难民
[1551.95-1554.95] 你可能都未必有难民第二代融入的好
[1554.95-1555.95] 你别看你牛逼
[1555.95-1556.95] 你是投资移民
[1556.95-1557.95] 技术移民过来
[1557.95-1561.95] 你的后代都不一定有现在的乌克兰难民
[1561.95-1564.95] 和叙利亚难民的第二代混的好
[1564.95-1567.95] 所以大家要保持一个谦卑之心
[1567.95-1571.95] 不要有什么中国就是中原中土的概念
[1571.95-1573.95] 你批你就是地球的一个角落
[1573.95-1575.95] 而且是一个far east的远东
[1575.95-1577.95] 这样一个边缘的洼地角落
[1577.95-1582.95] 所以我们要有包容之心
[1582.95-1584.95] 这也是我们中国传统文化
[1584.95-1586.95] 最根上其实是有这些东西的
[1586.95-1589.95] 就是春秋之前我们是讲包容的
[1589.95-1593.95] 只不过后来它越来越黑了厚了厚黑了
[1593.95-1596.95] 所以这些东西就不讲究了
[1596.95-1597.95] 好了今天就讲这么多吧
[1597.95-1598.95] 又一个小时了
[1598.95-1600.95] 今天就不再给大家提诉了
[1600.95-1603.95] 提诉了以后大家说听的效果不好
[1603.95-1606.95] 让大家嫌慢的就自己提诉吧
[1606.95-1607.95] 再见
[1607.95-1611.95] 记得点赞订阅小铃铛不迷路拜拜
