[0.37-1.39] 哈喽大家好
[1151.94-1155.57] 你瞧了
[1155.61-1156.57] 后边都是屏幕
[1156.57-1158.01] 我不行
[1158.01-1158.81] 我那一挖了
[1158.81-1160.61] 一忘词了
[1160.61-1160.89] 我操
[1160.89-1162.97] 因为全注意在这些方面了
[1162.97-1164.25] 你不是听内容吗
[1164.25-1166.21] 我给你上字幕
[1166.21-1166.61] 啊
[1166.61-1167.33] 上字幕
[1168.93-1169.69] 讲光
[1169.69-1170.69] 光与伟大的一面
[1170.69-1171.25] 也可以讲
[1171.25-1172.13] 其令人汗颜
[1172.13-1173.21] 甚至不耻的事
[1173.21-1175.01] 把一个真实的人分给大家
[1175.01-1176.53] 这样吸引效果更好
[1176.53-1177.89] 导致黄俊奇的事
[1177.89-1180.09] 是中共专制机器内部的潜规则
[1180.09-1180.49] 造成的
[1180.49-1181.33] 这里面的环节
[1181.33-1182.45] 及涉疑的人物
[1182.45-1184.09] 刚好都是我熟悉的朋友
[1184.09-1185.41] 说出来让人咋舌
[1185.41-1186.81] 且为黄遗憾不已
[1186.81-1187.29] 啊
[1187.29-1187.81] Sir
[1187.81-1188.69] 懂点
[1188.69-1189.89] 知道点事
[1190.45-1191.25] 你这不是害我吗
[1191.25-1191.85] 你怎么不说
[1191.85-1193.13] 好
[1193.13-1193.73] 哼
[1194.01-1195.45] 你是让我上红通吗
[1195.45-1197.65] 他们现在都挺小心眼的
[1197.65-1199.53] 现在这帮领导不是江主席
[1199.53-1199.73] 啊
[1199.73-1200.29] 江主席
[1200.29-1203.17] 江主席跟宋古英在床上的秘闻
[1203.17-1204.97] 你是可以在中华书店随便买
[1204.97-1206.41] 江主席很大方
[1206.41-1207.37] 说江主席死了
[1207.37-1207.93] 好几次
[1207.93-1209.73] 江泽民死了
[1210.01-1211.53] 人老江小小子
[1212.37-1214.45] 现在不一样了
[1214.45-1215.17] 那新新新
[1215.17-1215.81] 心眼不大
[1215.81-1217.21] 我这不是上海人
[1217.81-1218.77] 给你弄回去
[1218.77-1220.73] 你以为你以为
[1221.25-1222.53] 海外机器不厉害吗
[1222.53-1224.13] 海外机器那针对一个人
[1224.13-1225.49] 那你不是躺地挡车
[1225.49-1226.81] 就是我枪多
[1226.81-1228.21] 我也打不过他们呀
[1228.21-1228.93] 对不对
[1228.93-1229.73] 我是有枪
[1229.73-1230.61] 那怎么办
[1230.89-1233.89] 那皇家骑警也不会过来支援我
[1233.89-1235.37] 买他们来个突袭
[1235.37-1235.97] 我操
[1235.97-1237.09] 这个你别害我
[1237.49-1238.13] 不能乱说
[1238.13-1241.49] 我这一股几股眼
[1241.49-1243.21] 这就是暗号
[1243.21-1244.13] 我说谁
[1244.13-1245.13] 你们自己猜
[1245.17-1246.25] 都在
[1246.25-1247.73] 还不是说那个什么
[1247.73-1248.65] 没在位
[1248.65-1251.33] 所以就这么地啊
[1252.21-1254.37] 感觉全是干货
[1254.37-1255.73] 公共
[1255.73-1257.45] 真行
[1257.49-1258.61] 你比老国还厉害
[1259.13-1260.57] 感觉全是干货
[1260.57-1261.73] 反而效果没那么好
[1261.73-1262.73] 老宅做过老师
[1262.73-1264.57] 这方面经验比老王多点
[1264.57-1267.37] 人家45分钟集中精力很累的
[1267.37-1268.65] 你得讲点干货
[1268.65-1269.45] 扯点闲片
[1269.45-1270.05] 实在不行
[1270.09-1271.01] 来两个黄段子
[1271.01-1271.93] 以前上课
[1271.97-1273.25] 老师不都这么干吗
[1273.65-1274.73] 你太坏了吧
[1274.73-1274.85] 你不教我
[1274.85-1275.09] 你不教我
[1275.09-1277.05] 教老王学坏了
[1277.25-1278.29] 你说的很有道理
[1278.29-1280.17] 但是老王这个人做事
[1280.17-1281.17] 翟主席
[1281.21-1282.29] 翟副主席说过
[1282.29-1283.05] 就是王金忠说话
[1283.05-1283.65] 他插不上嘴
[1283.65-1284.97] 这是事实
[1285.13-1285.57] 我说话
[1285.57-1287.57] 他确实是他没有机会插嘴
[1288.01-1288.77] 他插什么
[1288.97-1290.37] 他只能听
[1290.57-1291.45] 他得学
[1292.37-1292.81] 对不对
[1292.81-1294.33] 他拿个小本门记还来不及呢
[1294.33-1296.33] 所以他确实插不上嘴
[1296.33-1297.53] 所以我有一个特点
[1297.53-1299.17] 就是我喜欢说话一气呵成
[1300.25-1301.81] 我不是老师
[1301.81-1302.65] 你还真说对了
[1302.65-1304.65] 我不会把它拆成五段
[1304.65-1307.49] 黄光宇明明45分钟讲干货全讲完
[1307.49-1308.69] 然后大家看我一遍
[1308.69-1309.53] 慢慢琢磨
[1309.53-1311.61] 我给他拆成10分钟一段
[1311.61-1314.17] 然后再加上20分钟的片儿汤话
[1314.17-1316.97] 和5分钟的广告词
[1316.97-1319.97] 及5分钟的黄色小故事
[1320.37-1322.01] 逼屌经济学
[1322.05-1325.57] 大家这不是我擅长的
[1325.57-1327.49] 我尽量吧
[1327.49-1329.29] 但是我可能会
[1329.77-1332.09] 尽量保持故事的完整性
[1332.09-1334.05] 一个话题尽量一次说完
[1334.05-1334.61] 除非特别难
[1334.61-1336.57] 我会在这边严肃的话题
[1336.57-1338.61] 我会一点一点的加量
[1338.61-1339.97] 给大家一点一点的
[1340.29-1342.49] 一点一点的炫的弄进去
[1342.89-1344.93] 开始我就深入浅出
[1345.93-1348.89] 等我们粉丝大概到10万以上
[1348.89-1351.57] 我这儿弄个小银牌牌的时候
[1352.69-1354.01] 我就不怕掉粉了
[1354.01-1355.93] 这个时候我也不怕给大家催眠了
[1355.93-1357.81] 我会真讲资本运作
[1357.81-1359.13] 比如说咱们
[1359.13-1360.85] 比如说拿黄老板做例子
[1360.85-1362.77] 我可能会真的讲
[1362.77-1363.37] 在香港
[1363.37-1364.37] 他怎么一步二步
[1364.61-1366.21] 那个财务技术怎么做
[1366.21-1367.37] 你学会这个东西
[1367.57-1368.61] 你可能没有用
[1368.61-1370.17] 但是如果你想去新加坡
[1370.17-1371.01] 借个上市
[1371.17-1372.77] 或者你想去大斯达克
[1372.77-1373.17] 美国
[1373.17-1374.49] 它都是一样的
[1374.49-1376.01] 全部的西方国家
[1376.01-1377.13] 伦敦什么的
[1377.13-1378.37] 它全部的资本市场
[1378.37-1380.21] 它的规则基本上大同小异
[1380.21-1380.97] 都是一样的
[1381.21-1382.57] 所以我会讲
[1382.57-1383.57] 但这样讲的话
[1383.57-1385.97] 那真的是要5克10克
[1385.97-1386.41] 都有可能
[1386.41-1388.01] 每克可能都要一个小时
[1388.29-1391.01] 那个就没有什么逼屌经济学
[1391.01-1392.65] 没有什么开车的段子
[1392.65-1394.57] 全是他妈来真的了
[1394.61-1395.53] 打开财务报表
[1395.53-1397.25] 告诉你这一行要做到这
[1397.25-1399.01] 这一行为什么这么吹
[1399.01-1399.89] 这种内容
[1399.89-1402.25] 我会给大家弄什么一次
[1402.25-1404.93] 但是一定到我粉丝特别多的时候才弄
[1405.57-1410.71] 因为这个东西太干了
[1410.71-1411.63] 我要现在的
[1411.63-1413.31] 大家就都大出血了
[1413.31-1415.19] 现在才3000人
[1415.19-1416.03] 5000人
[1416.03-1417.15] 咔这么干
[1417.15-1418.43] 小处女
[1418.43-1423.49] 你这也完了
[1423.49-1424.81] 你这
[1425.33-1426.77] 凡事不能急
[1426.77-1427.89] 不能操之过急
[1428.41-1429.53] 讲黄光玉
[1429.53-1430.69] 这念过了
[1431.17-1432.29] 我几个人会借克上市
[1432.45-1433.85] 不要说借就一颗
[1434.21-1435.73] 所以寿终有多少
[1435.93-1437.73] 这个不用担心
[1437.73-1439.21] 看电影
[1439.21-1439.93] 哎呦
[1439.93-1441.33] 那就是杀人放火的
[1441.33-1442.01] 有几个人干的
[1442.13-1443.13] 你为什么那么喜欢看
[1443.13-1444.09] 看热闹
[1444.29-1445.45] 这是人之常情
[1445.45-1446.93] 这个人血拼不打地
[1448.93-1455.17] 你得想想别把娱乐性忘了
[1455.17-1456.33] 这里边是有娱乐性的
[1456.77-1458.37] 给大家看看资本运作
[1458.37-1461.13] 资本运作是商业里面最高的段位的
[1461.17-1462.05] 好玩的事
[1462.05-1463.93] 就是亲身经历的好玩的事
[1464.73-1466.97] 王主席你截图报名字
[1466.97-1467.73] 打个马赛克
[1467.73-1469.29] 老宅见了该不高兴了
[1469.29-1470.57] 自媒体创业
[1470.57-1474.05] 你还挺有偶像包袱
[1474.05-1475.29] 他们谁知道你是谁
[1475.29-1477.65] 自媒体创业
[1477.65-1478.57] 我就点你名了
[1478.57-1480.37] 老宅他跟我有一腿
[1480.37-1482.33] 没人在乎你
[1482.33-1484.57] 他把自己当回事
[1484.57-1485.97] 就跟周滇说
[1485.97-1486.37] 哎呀
[1486.37-1488.01] 杀我
[1488.01-1488.53] 在菲律宾
[1488.53-1490.77] 杀你个屁
[1491.17-1491.93] 杀你
[1491.93-1493.93] 杀你浪费子弹
[1493.93-1496.41] 当年老郭横空出世的震撼
[1496.41-1497.53] 应该比较难复制了
[1497.53-1499.65] 除非政治局的老同志出来开直播
[1500.41-1502.85] 老王再三再四的央求点赞
[1502.85-1504.33] 实在有失身份
[1504.33-1505.93] 剑客的绝高境界是手中无剑
[1505.93-1506.53] 碰巧先
[1506.53-1508.45] 首先谢谢你这么尊重我
[1508.77-1510.41] 我没想复制老郭
[1510.41-1511.37] 老郭是有目的的
[1511.37-1513.41] 保财保命什么报酬
[1513.93-1517.77] 我就是被翟副主席给刺激出来
[1517.77-1519.37] 按不住棺材板出来一下
[1519.37-1519.97] 那
[1520.41-1521.05] 我不想
[1521.05-1521.81] 复制人家
[1521.81-1524.41] 我的成就和我的经历也复制不了人家
[1524.41-1526.25] 人家哪有多大盘鼓
[1526.25-1526.69] 我操
[1526.69-1528.21] 你把刘志华送进去
[1528.73-1529.61] 北京市副市长
[1529.61-1530.93] 他能给干进去
[1530.93-1533.01] 人家老郭确实有一手
[1533.01-1533.93] 班农坐旁边
[1533.93-1535.29] 跟他摆活
[1535.29-1535.57] 我操
[1535.57-1539.05] 把班农弄得跟个小跟班似的
[1539.05-1540.45] 那这不是一般的人
[1540.45-1541.77] 咱们不能复制人家
[1541.77-1543.33] 该尊重人家还是尊重人家
[1543.33-1544.85] 人家对于成就在这摆着
[1545.29-1547.05] 除非政治局的老同志
[1547.05-1549.89] 再三什么要求订阅实在有失身份
[1549.89-1551.01] 我有什么身份
[1551.05-1553.57] 我不就是一个傻逼
[1553.57-1555.85] 我这退休好头
[1555.85-1557.69] 我这么端着什么
[1557.69-1558.89] 我可没有偶像包袱
[1558.89-1560.17] 我可没有
[1560.17-1561.73] 我说我不是同性恋
[1561.73-1563.37] 我是真的不是同性恋
[1563.37-1564.57] 这闹了并根了
[1564.57-1565.37] 刚我老爸在这
[1565.37-1567.41] 现在变成梗了
[1567.41-1568.17] 我们家的梗
[1568.17-1569.53] 我老婆就动不动就说
[1569.53-1570.85] 你跟张杉江是不是有一腿
[1570.85-1571.69] 你们俩谁在上
[1571.69-1576.80] 我这个是有梗
[1576.80-1578.92] 但是偶像包袱我没有梗
[1578.92-1582.08] 剑客的最高境界
[1582.08-1582.80] 剑客的最高境界
[1582.80-1585.12] 一个是剑一个被子旁一个那个是剑
[1585.12-1587.92] 那个剑刀子旁的剑不是我
[1587.92-1590.56] 剑客的最高境界就是剑
[1590.56-1591.56] 就是发剑
[1591.56-1594.32] 大家点赞订阅别光耍
[1594.32-1595.84] 说老王太好玩了
[1595.84-1598.72] 操没想到资本大厄这么几分的斗逼
[1598.72-1604.13] 点赞订阅按小铃铛
[1604.13-1606.37] 突破共产党对我的封锁
[1606.37-1610.29] 填大家油管给大家的调查文
[1610.29-1611.05] 编不下去了
[1611.05-1612.25] 只有山英能编
[1612.25-1613.57] 看翟山英那一段
[1614.21-1615.81] 他说的就是我想说的
[1615.81-1617.29] 就是他替我编完了
[1617.29-1618.81] 点赞订阅别光爽
[1618.81-1621.05] 翟夫只有被摩擦的份
[1621.05-1624.46] 那倒是
[1624.46-1627.74] 希望老翟不计前嫌联手做一期节目
[1627.74-1630.58] 可以等我到20万吧
[1630.58-1631.34] 等我到20万
[1631.34-1633.26] 能不能跟他比翼齐飞
[1633.26-1635.30] 你现在一两千一二十万人家
[1635.30-1636.90] 你不是安康鱼了吗
[1636.90-1637.50] 同龄链里边
[1637.50-1639.06] 安康鱼大母鱼那么大
[1639.06-1640.06] 小公鱼那么点
[1640.06-1640.86] 不行
[1640.86-1642.86] 我得在上面
[1642.86-1644.34] 就风格而言
[1644.34-1645.58] 王主席第一期也说过
[1645.58-1647.18] 副主席是相当的愤怒
[1647.18-1647.82] 在这一点上
[1647.82-1648.74] 他刚出来的时候
[1648.74-1649.46] 那是加分价
[1649.46-1650.06] 可一年多了
[1650.06-1651.94] 副主席还是那么愤怒
[1652.94-1654.02] 这我就不评了
[1654.02-1654.66] 这什么玩意
[1654.66-1656.14] 被河南政府榨干的
[1656.14-1657.38] 村镇银行矿渣
[1657.38-1658.46] 哎呦
[1658.46-1659.90] 大哥
[1659.90-1661.46] 你上我这来申冤来了是吧
[1661.46-1663.30] 你们是挺冤的
[1663.30-1664.38] 村镇银行这个事
[1664.38-1665.58] 这个是太冤了
[1665.58-1668.22] 不像翟主席卖那个小机顶盒
[1668.22-1671.22] 买一个机顶盒的
[1671.22-1672.30] 我可以给你们申冤
[1672.30-1673.46] 因为你们只有5万块钱
[1673.46-1674.14] 你们信了他
[1674.14-1674.78] 你买了
[1675.58-1677.30] 副主席今天的遭遇
[1677.30-1679.22] 他遭这些不好的东西
[1679.22-1681.86] 他跟这是有关系的人报应
[1681.86-1683.30] 买了50个的
[1683.30-1684.66] 你他妈一点都不冤
[1684.66-1685.98] 你基本就是个小骗子
[1685.98-1687.18] 被大骗子骗了
[1687.18-1688.70] 你他妈买100个机顶盒
[1688.70-1689.94] 你有病了
[1689.94-1693.38] 你肯定有计划
[1693.38-1694.14] 对不对
[1694.14-1695.50] 你计划赶不上人家的变化
[1695.50-1696.30] 人家给你兜进去了
[1696.30-1697.10] 对不对
[1697.10-1697.74] 所以这个事
[1697.74-1700.10] 我觉得我不同情你
[1700.10-1701.54] 但是买了一个两个机顶盒
[1701.54-1702.50] 我同情你
[1702.50-1703.66] 还有河南村镇银行
[1703.66-1704.94] 我们绝对同情你们
[1704.94-1705.54] 为什么
[1705.58-1708.26] 那帮王八蛋全是王八蛋
[1708.26-1709.34] 村镇银行怎么来的
[1709.34-1710.46] 到时候我告诉你
[1710.46-1713.54] 我太了解了
[1713.54-1715.14] 因为我有些下属企业
[1715.14-1717.02] 是村镇银行的大股东
[1717.02-1718.62] 他们怎么玩老百姓
[1718.62-1719.58] 哇操
[1719.58-1722.30] 等我有机会再填坑
[1722.30-1724.02] 坑王老王
[1724.02-1724.86] 坑王老王
[1724.86-1726.30] 弄干货村镇银行
[1726.30-1729.99] 下一个
[1729.99-1735.52] 张磊
[1735.52-1736.16] 张总
[1736.16-1737.88] 话说黄光玉的办公室
[1737.88-1739.08] 棚上大厦窗户掉了
[1739.08-1740.48] 砸了车风的车
[1740.48-1741.48] 老黄不赔
[1741.48-1742.32] 让找无业
[1742.32-1743.72] 真是狂到谁的面子不给
[1743.72-1744.88] 被整也是自找的
[1744.88-1746.28] 他就是狂
[1746.28-1748.68] 我砸车风那时候也没有太厉害
[1748.68-1749.96] 砸车风车
[1749.96-1751.40] 别说砸车风
[1751.40-1753.40] 我亲眼见北京市商委主任
[1753.40-1754.48] 副市长在外边等着
[1754.48-1755.12] 大沙发等着
[1755.12-1755.72] 小秘书呢
[1755.72-1756.64] 把长腿对着
[1756.64-1758.00] 在那等黄总接见
[1758.00-1759.28] 是飘了
[1759.28-1760.48] 这人都是人
[1760.68-1761.40] 可以理解
[1761.40-1762.32] 人都有人性
[1762.32-1764.60] 摔了跟头才能成熟
[1764.60-1766.24] 也不是自找的
[1766.24-1769.76] 咱们也没比他强哪去
[1769.76-1772.28] 给你100个亿人民币
[1772.28-1773.36] 2004年
[1773.36-1774.68] 你可能也那么飘
[1774.68-1775.24] 嗯
[1775.24-1776.96] 耕的好勤快
[1776.96-1777.24] 呀
[1777.24-1779.44] 离赶超老高就差一个小沫
[1780.44-1782.08] 有10%的概率
[1782.08-1783.80] 炸裂性的王小沫会出现
[1783.80-1783.88] 啊
[1783.88-1784.76] 10%概率
[1784.76-1786.16] 我现在就是概率很小
[1786.16-1788.72] 但是真的有可能出现一个王小沫
[1788.72-1789.92] 已经有点眉目
[1789.92-1790.72] 10%
[1790.72-1791.24] 呃
[1791.24-1792.68] 如果真出现了
[1793.04-1794.28] 您肯定想不到
[1794.28-1794.72] 我靠
[1794.72-1796.28] 你这太牛逼了
[1796.28-1798.20] 简直我靠这出现这个
[1799.44-1800.56] 女神
[1801.64-1802.24] 女神
[1802.28-1803.24] 哈哈哈哈
[1803.24-1803.76] 操
[1804.08-1805.40] 那台海震动了
[1805.40-1805.80] 我操
[1806.20-1806.96] 不说啊
[1806.96-1808.04] 天机不可泄露
[1808.04-1810.08] 我希望10%变成100%
[1811.44-1812.92] 那我就肯定500万了
[1813.40-1814.72] 我就啥也不说
[1814.72-1815.64] 我就在这装
[1815.96-1816.64] 嗯嗯
[1816.80-1818.00] 跟女神挤两个眼
[1818.00-1818.72] 女神在这
[1818.72-1819.88] 女神自带粉啊
[1821.04-1821.48] 精彩
[1821.48-1822.32] 真正的实力派
[1822.32-1823.28] 不用磨皮
[1823.68-1824.32] 我也不想磨
[1824.32-1825.24] 我不磨了
[1825.56-1827.16] 太他妈的慢了
[1827.16-1828.56] 说到最后大运都过去了
[1828.56-1828.80] 啊
[1828.80-1829.56] 那是我自己啊
[1829.56-1830.64] 我又在这动感情了
[1830.64-1831.32] 操妈的
[1831.32-1831.84] 这个
[1832.28-1833.08] 丢人
[1833.08-1834.32] 大佬辛苦
[1834.32-1838.33] 辛苦倒是真辛苦点
[1838.65-1842.75] 但是做事既然一开始不能停下来
[1842.75-1844.39] 今天挖了个王林大坑
[1844.39-1845.39] 挖坑多了去了
[1845.39-1847.31] 王林我肯定给你们填100%填
[1847.31-1848.07] 还没录呢
[1848.07-1849.83] 但是那个辽阳那个王大师
[1849.83-1850.55] 我已经录完了
[1850.55-1850.71] 啊
[1850.71-1851.75] 一个一个给你填
[1852.11-1854.11] 还想听少子神说还听啥
[1854.11-1854.27] 呀
[1854.27-1855.39] 不讲完了
[1855.39-1857.23] 再听就是这种片儿汤话
[1857.23-1859.03] 这种直播我可以给你再听啊
[1859.55-1860.91] 牛逼实讲
[1860.91-1863.11] 过几天没准能追上石头记
[1864.19-1864.63] 哎
[1864.63-1865.39] 谢谢你的祝福
[1865.39-1866.67] 故事100分
[1866.67-1867.63] 我给101分
[1867.63-1869.11] 让王主席多一分交啊
[1869.11-1869.71] 实力派
[1869.71-1870.71] 谢谢星辰大汗
[1870.71-1871.07] 谢谢
[1871.07-1871.55] 谢谢
[1871.99-1873.67] 观看了44分钟里
[1873.67-1874.87] 没有走失过一个片刻
[1874.87-1875.47] 十足精彩
[1875.47-1876.31] 谢谢分享
[1876.43-1878.83] CNCYNL
[1878.83-1879.35] 谢谢你
[1879.35-1880.03] 谢谢你
[1880.07-1881.07] 知音
[1881.07-1882.03] 知音难觅
[1882.03-1882.47] 余伯牙
[1882.47-1883.35] 钟子七
[1883.35-1884.95] 你就是我的钟子七
[1886.35-1887.79] 顾个留学生当助理
[1887.79-1888.51] 多好
[1888.51-1889.39] 开玩笑的
[1889.39-1890.27] 留学生
[1890.99-1891.55] 哎
[1891.55-1892.43] 留学生
[1892.79-1893.27] 哎
[1893.27-1894.67] 我都说他们在干什么了
[1894.67-1895.03] 嗯
[1895.03-1896.99] 你留女留学生
[1896.99-1897.75] 我顾过来
[1897.75-1899.11] 我找事了
[1899.91-1901.03] 自争枪员加油
[1901.03-1901.79] 来自欧洲武力
[1901.79-1902.63] 谢谢
[1903.03-1904.79] 评论里已经有秘书做了字幕
[1904.79-1905.71] 谢谢
[1905.71-1907.67] 他的老婆也不是一般人
[1908.07-1909.23] 好像是北京人吧
[1909.23-1912.55] 让我想起老王提过的张伟兴的首婚老婆
[1912.55-1914.27] 什么叫张伟兴的首婚老婆
[1914.27-1915.59] 张伟兴没离婚
[1916.19-1917.59] 原配老婆
[1918.79-1919.83] 杨梅梅
[1920.63-1921.51] 好人
[1921.87-1922.79] 杜鹃是好人
[1922.79-1924.35] 杜鹃已经和北京银行出去
[1925.03-1926.79] 帮了老黄不少忙
[1926.79-1930.63] 老王我可以帮你免费帮忙做中文字幕工具齐全
[1930.63-1930.95] 嗯
[1930.95-1931.59] 谢谢你
[1931.59-1934.11] 我觉得不必不需要吧
[1934.11-1934.71] 那
[1935.23-1935.55] 哦
[1935.55-1935.83] 对
[1935.83-1937.23] 有有先忙人
[1938.71-1939.07] 嗯
[1939.07-1940.63] 港国语
[1941.03-1941.87] 嗯
[1942.87-1943.71] 那
[1943.99-1946.51] 哪得学国语
[1946.75-1947.23] 好吧
[1947.23-1948.27] 你们学学国语吧
[1948.27-1950.07] 我尽量加字幕啊
[1951.07-1952.59] 老王的声音不用字母
[1952.59-1953.71] 听得很清楚
[1953.71-1954.91] 仔细听来有
[1955.03-1955.99] 天津口音
[1957.67-1960.23] 哪跟哪啊
[1960.23-1961.79] 这是天津口音
[1962.43-1963.67] 我没在天津混过
[1963.67-1963.83] 啊
[1963.83-1965.91] 天津麻痹的李建新弄我
[1966.43-1967.63] 给我绑架了到天津
[1967.63-1969.11] 当时我再挖个坑啊
[1969.11-1970.63] 我跟李建新的故事
[1970.63-1971.55] 看刘德华被绑架
[1971.55-1973.55] 那个电影叫拯救吴先生
[1973.99-1974.75] 刘德华演的
[1974.75-1975.75] 那是啊
[1975.75-1976.75] 不是刘德华被绑架
[1976.75-1978.35] 刘德华在里边演那个吴先生
[1978.35-1979.47] 吴先生是
[1980.03-1980.91] 呃
[1980.91-1982.39] 是谁电话
[1982.39-1983.03] 这时候来
[1983.71-1984.87] 吴先生说的是吴若文啊
[1984.87-1986.35] 吴若浦
[1986.35-1988.35] 吴若浦是这个专门演警察的一个
[1988.35-1989.91] 北京的这么一个老演员
[1990.39-1991.63] 跟我现在岁数差不多的时候
[1991.63-1992.31] 被
[1992.31-1993.95] 被一帮江洋大盗给绑了
[1993.95-1994.51] 我操
[1994.51-1996.11] 那这是惊心动魄
[1996.27-1997.71] 全北京的公安就他
[1997.71-1999.79] 因为他天天演警察
[1999.95-2001.19] 他跟警察老熟了
[2001.19-2003.15] 北京市公安局好多人
[2003.19-2004.35] 你就香港港片
[2004.35-2005.47] 你老老眼警察
[2005.47-2006.35] 你像林大华什么的
[2006.35-2009.11] 他就是警察的亲兄弟一样
[2009.27-2009.67] 呃
[2009.67-2010.79] 都有公共关系科吗
[2010.79-2011.99] 北京警察也一样的
[2011.99-2012.67] 我操吧
[2012.67-2014.55] 我扶这帮孙子从三里头给他顶上了
[2014.55-2015.83] 他顶着个枪给绑走了
[2015.83-2016.39] 我操
[2016.67-2017.35] 找啊
[2017.35-2019.11] 幸亏给找到吴若浦命大
[2019.11-2021.07] 所以拍了个电影叫拯救吴先生
[2021.11-2022.95] 天津李建新王八蛋把我给绑下
[2022.95-2024.27] 把我老王给绑架了
[2024.27-2025.55] 我操绑到天津去了
[2025.55-2026.71] 所以别跟我提天津啊
[2026.71-2027.71] 别跟我提天津人
[2027.71-2028.23] 我操
[2028.39-2029.35] 我为什么说
[2029.71-2031.07] 我原来说过天津口音
[2031.07-2031.67] 我吐
[2031.67-2032.95] 有梗
[2032.95-2033.23] 你吧
[2033.23-2034.51] 心里边有创伤
[2035.07-2035.35] 哎呀
[2035.35-2036.15] 我一听天津
[2036.15-2036.71] 我哎呀
[2036.71-2037.79] 我也想起绑匪来了
[2037.79-2038.19] 我操
[2038.19-2040.55] 给我幸亏天津警察够意思了
[2040.55-2041.31] 天津警察
[2041.83-2042.99] 王菊真够意思
[2044.55-2046.03] 当时我给大家讲
[2046.03-2047.91] 公安部一级英雄模范
[2048.27-2051.99] 天津市公安局的一个主要领导之一
[2051.99-2053.47] 把我救了
[2053.47-2054.79] 我们俩后来结为至交
[2054.79-2055.27] 哎
[2055.27-2056.71] 后来他光荣牺牲了
[2057.47-2058.67] 在战斗岗位上
[2058.67-2058.91] 啊
[2058.91-2060.91] 那个警察也有好人啊
[2060.91-2061.71] 就是帮着你的
[2061.71-2062.59] 就是好人嘛
[2062.87-2063.75] 嗯哼
[2064.03-2064.75] 老王
[2064.75-2066.15] 你这分有点太俗了吧
[2066.15-2066.71] 我跟你说
[2066.71-2068.95] 正义不分善恶
[2069.99-2073.53] 正义只分彼无
[2073.53-2074.29] 是我现实
[2074.29-2075.53] 是天道如此
[2075.61-2076.37] 老子说
[2076.41-2079.37] 天地不仁以万物为出狗
[2079.37-2080.81] 仔细品这句话
[2082.33-2084.81] 老王的声音
[2084.81-2086.41] 宅老师校园风
[2086.41-2087.25] 大老王邻居风
[2087.25-2088.05] 十分精彩
[2088.05-2088.89] 意犹未尽
[2089.53-2090.25] 周滇说
[2090.25-2091.57] 您有普通话的先天优势
[2091.57-2092.13] 谢谢了
[2092.49-2093.17] 谢谢了
[2093.17-2093.65] 小周
[2093.65-2094.37] 还比我小
[2094.81-2095.09] 好的
[2095.09-2096.05] 很悄悄坚持
[2096.05-2097.69] 下班路上听个精妙绝伦
[2097.69-2098.45] 引人入胜
[2098.45-2099.41] 好好开车
[2099.41-2100.53] 是不是开车听的
[2100.93-2102.05] 别急着撞个车
[2102.05-2102.53] 我操
[2102.53-2103.77] 你能不能回家听啊
[2103.77-2105.86] 哎呦
[2105.86-2106.70] 您真的帅
[2106.70-2107.94] 比宅老师精神
[2107.98-2110.38] 这是实话
[2110.66-2112.46] 我是比他帅
[2112.98-2113.82] 比他精神
[2113.82-2114.38] 哎
[2114.38-2117.90] 刨出就是心不一样
[2117.90-2119.58] 心态不一样
[2119.78-2121.06] 因为我很放松
[2121.06-2122.14] 我没有目的
[2122.38-2123.74] 我也没有那么愤怒
[2123.90-2125.10] 我们俩的状态不一样
[2125.10-2126.06] 他是你知道吧
[2126.06-2128.06] 他那边天天追他
[2128.06-2130.38] 他有压力
[2130.38-2133.18] 所以他就显得衰相出来了
[2133.18-2134.58] 叫衰相
[2134.58-2136.42] 你看我这浮象
[2136.42-2137.14] 这大老王
[2137.14-2137.90] 红光满面的
[2137.90-2139.42] 我没有什么灯
[2139.54-2140.14] 什么都没有灯
[2140.42-2142.86] 那个什么经过光环圣母灯
[2142.86-2143.42] 没有
[2143.42-2144.34] 我这不买
[2144.34-2146.74] 我就是手机家加了个架子
[2146.74-2148.18] 大家说仰视我
[2148.18-2149.86] 今天那个架子快递到了
[2149.86-2150.98] 我用了个架子
[2150.98-2152.06] 你看咱们平视了
[2152.06-2154.02] 没有任何东西
[2154.02-2155.14] 就是自然光
[2155.30-2156.38] 就是自然光
[2157.94-2159.66] 用剪用剪里边有自动生成
[2159.66-2161.42] 是不是我会试试的
[2161.42-2163.30] 我下一个看看
[2164.02-2166.30] 我可以免费给王若曦做中英文字幕
[2166.30-2167.66] 私信不了大佬
[2167.90-2168.78] 英文字幕
[2168.78-2170.34] 你可以免费帮我做吗
[2170.34-2172.74] 你这操我没看错吗
[2172.74-2174.14] 这世界上真的有活泪方吗
[2174.14-2174.90] 谢尔顿
[2175.18-2176.54] 谢谢你谢尔顿良
[2176.54-2177.54] 如果要试的话
[2177.54-2179.02] 我会给你私信的
[2179.26-2181.26] 我会给你私信的
[2181.26-2182.94] 因为我有好多国外的朋友
[2182.94-2184.42] 他们听说我开了
[2184.42-2185.38] 就是白人
[2185.38-2186.66] 他们听说我开了YouTube
[2186.66-2187.70] 全他们去看
[2187.70-2189.22] 还在那看好长时间
[2189.22-2189.86] 我说你妈
[2189.86-2190.98] 你们什么时候会说中文
