[0.53-2.53] Hello 大家好
[2.53-4.53] 老汪又换了一身
[1147.74-1148.74] 他就说没谈成
[1148.74-1149.74] 然后呢
[1149.74-1150.74] 50万不还人家了
[1150.74-1151.74] 钱去费用
[1151.74-1152.74] 他那合同肯定早就成熟了嘛
[1152.74-1153.74] 他也不算是
[1153.74-1154.74] 不算诈骗
[1154.74-1156.74] 他就拿这个科院小双肩背包
[1156.74-1157.74] 在上海什么钓鱼
[1157.74-1158.74] 钓了好几年了
[1158.74-1159.74] 你知道吗
[1159.74-1161.74] 每次他都签一个
[1161.74-1162.74] 每次他都签一个
[1162.74-1163.74] 我之前
[1163.74-1165.74] 把他摸的清清楚楚
[1165.74-1166.74] 他在上海
[1166.74-1168.74] 钓小鱼
[1168.74-1169.74] 卖了几次
[1169.74-1170.74] 找的哪个券商
[1170.74-1172.74] 签的哪一家
[1172.74-1173.74] 这个合同
[1173.74-1174.74] 公告了个几次
[1174.74-1175.74] 没公告了的几次
[1175.74-1176.74] 每次他收50万
[1176.74-1177.74] 他装到哪去了
[1177.74-1178.74] 我都知道
[1178.74-1180.74] 他肯定不上交嘛
[1180.74-1182.74] 都留到自己兜里了嘛
[1182.74-1183.74] 我给他攒着
[1183.74-1185.74] 有备不住就有用
[1185.74-1187.74] 果然就有用
[1187.74-1189.74] 因为他一定不会配合我的
[1189.74-1191.74] 你想想他能配合我吗
[1191.74-1192.74] 我是真的大鳄
[1192.74-1193.74] 我一来
[1193.74-1194.74] 他这科院就没了
[1194.74-1196.74] 他吃饭的家伙就没了
[1196.74-1200.74] 他一定会想方设法的阻碍我往前推进
[1200.74-1202.74] 你这就叫什么
[1202.74-1203.74] 阎王好智
[1203.74-1205.74] 小鬼难缠
[1205.74-1207.74] 市长是阎王
[1207.74-1208.74] 秘书长是阎王
[1208.74-1210.74] 这小鬼不配合
[1210.74-1212.74] 那你说市长能给上交所打电话
[1212.74-1213.74] 我是市长
[1213.74-1214.74] 你给我停牌
[1214.74-1216.74] 怎么可能
[1216.74-1222.66] 我查他就是为了对付这些小鬼
[1222.66-1224.66] 我们在合肥
[1224.66-1226.66] 总政府那个酒店
[1226.66-1229.66] 我忘了叫合肥人民宾馆之类的吧
[1229.66-1230.66] 我们在那等他
[1230.66-1232.66] 他老大不愿意
[1232.66-1234.66] 但是市政府秘书长让他来
[1234.66-1236.66] 他也不敢不来
[1236.66-1237.66] 迟到了N9
[1237.66-1238.66] 他来了
[1238.66-1239.66] 屋里三个人
[1239.66-1241.66] 我秦秘书长和他
[1241.66-1242.66] 秦秘书长说
[1242.66-1243.66] 你看现在市政府
[1243.66-1244.66] 市委研究了
[1244.66-1246.66] 想把这个车卖掉
[1246.66-1247.66] 希望你过来
[1247.66-1249.66] 就是跟你谈这个事
[1249.66-1250.66] 让你配合一下
[1250.66-1251.66] 他不同意
[1251.66-1252.66] 这个东西
[1252.66-1253.66] 这个那个
[1253.66-1254.66] 找好多理由
[1254.66-1255.66] 我是内行
[1255.66-1257.66] 所以他找那些技术理由不成立
[1257.66-1258.66] 什么证件会不批
[1258.66-1259.66] 我证件会批不批
[1259.66-1260.66] 不归你管
[1260.66-1262.66] 交易所不同意
[1262.66-1263.66] 我交易所不同意
[1263.66-1264.66] 我替你打电话
[1264.66-1266.66] 他一看被我堵急了
[1266.66-1267.66] 他有点破罐子破摔
[1267.66-1270.66] 他说那这个事我不能同意
[1270.66-1271.66] 直接说了
[1271.66-1272.66] 我不能同意
[1272.66-1273.66] 不给秘书长面子了
[1273.66-1275.66] 秘书长也很意外
[1275.66-1277.66] 因为当秘书长的人
[1277.66-1278.66] 当市政府秘书长的人
[1278.66-1281.66] 这些人性格都特别绵软
[1281.66-1283.66] 他可不是那种煞发果断的云龙
[1283.66-1286.66] 他们的性格都特别的绵软
[1286.66-1292.45] 秦秘书长当时就没办法了
[1292.45-1294.45] 我呢
[1294.45-1296.45] 当时也是寸的
[1296.45-1298.45] 这楼底下停着三辆警车
[1298.45-1300.45] 正闪着警灯呢
[1300.45-1301.45] 他来之前
[1301.45-1302.45] 我就看那警车在哪
[1302.45-1303.45] 闪着警灯
[1303.45-1306.53] 我就跟他说
[1306.53-1309.53] 我说今天给你两个选择
[1309.53-1310.53] 我不是跟你吹牛逼
[1310.53-1312.53] 你也可以查查我是谁
[1312.53-1314.53] 我既然在这来请你
[1314.53-1316.53] 就是给你面子
[1316.53-1318.53] 你今天配合也得配合
[1318.53-1320.53] 不配合也得配合
[1320.53-1321.53] 为什么
[1321.53-1322.53] 楼底下停着三辆警车
[1322.53-1325.53] 不信你自己下去看看是不是
[1325.53-1327.53] 你是不是在过去的三年中
[1327.53-1329.53] 哪一天哪一天哪一天哪一天
[1329.53-1331.53] 跟哪一家签了重组协议
[1331.53-1333.53] 跟哪一家签了重组协议
[1333.53-1335.53] 钱你没上交啊
[1336.53-1339.53] 要不你就跟他们走一下
[1339.53-1340.53] 交代一下
[1340.53-1342.53] 要不呢
[1342.53-1343.53] 你配合
[1343.53-1344.53] 这事就算了
[1344.53-1346.53] 算你将功求罪
[1348.53-1350.53] 马上就同意了
[1350.53-1352.53] 第二天早上客运就停牌了
[1352.53-1354.53] 就这么停的牌
[1354.53-1356.53] 给你讲这些东西好不好啊
[1356.53-1358.53] 这就是中国的现实
[1358.53-1360.53] 为什么叫权贵资本主义呢
[1360.53-1362.53] 为什么叫公检法美好人呢
[1362.53-1364.53] 就是所有的
[1364.53-1365.53] 做的大的
[1365.53-1367.53] 无论是许家印房地产
[1367.53-1369.53] 还是资本市场
[1369.53-1371.53] 还是生产企业
[1371.53-1373.53] 你都得跟这些强力部门
[1373.53-1375.53] 有这样的联系才行
[1375.53-1377.53] 我呢是没有联系
[1377.53-1379.53] 那天正好敢抢了
[1379.53-1381.53] 所以呢你们也别往多了想
[1381.53-1383.53] 真的是命运的巧合
[1383.53-1385.53] 至于是不是真的
[1385.53-1387.53] 至于是不是真的
[1387.53-1389.53] 我能撒谎吗
[1389.53-1391.53] 老王能撒谎吗
[1391.53-1393.53] 当然是真的了
[1393.53-1395.53] 当然是真的了
[1395.53-1399.00] 然后呢
[1399.00-1401.00] 我就回北京
[1401.00-1403.00] 找王永宏
[1403.00-1405.00] 王永宏看见了之后
[1405.00-1408.38] 高兴坏了
[1408.38-1410.38] 但是呢我这电话就响了
[1410.38-1412.38] 秦秉长打过来了
[1412.38-1414.38] 秦秉长说我这儿啊
[1414.38-1416.38] 虽然给你搞定了停牌的事
[1416.38-1418.38] 搞定了这个上市公司
[1418.38-1420.38] 但是之后我搞不定了王总
[1420.38-1422.38] 我说怎么了
[1422.38-1424.38] 他说我们这市长换了个新市长
[1424.38-1426.38] 叫唐市长
[1426.38-1428.38] 唐市长呢是管工业出身
[1428.38-1430.38] 他想让一个工业企业来借壳
[1430.38-1432.38] 他最恨的就是房地产
[1432.38-1434.38] 这个老唐呢
[1434.38-1436.38] 叫唐承沛
[1436.38-1438.38] 今天应该已经退休了
[1438.38-1440.38] 应该是副部级领导
[1440.38-1442.38] 唐朝的唐承丹的承
[1442.38-1444.38] 沛工的沛
[1444.38-1447.62] 唐承沛
[1447.62-1449.62] 唐承沛市长呢
[1449.62-1451.62] 没办法呀
[1451.62-1453.62] 我就去拜山头去吧
[1453.62-1455.62] 我就去拜唐市长
[1455.62-1457.62] 还好唐市长给我面子
[1457.62-1459.62] 他就飞到北京
[1459.62-1461.62] 飞到那个飞中心
[1461.62-1463.62] 唐市长激动无比
[1463.62-1465.62] 带着唐市长看他那个大楼盘
[1465.62-1467.62] 幸亏唐市长不懂
[1467.62-1469.62] 唐市长是看热闹的人
[1469.62-1471.62] 背着小手跟秦平党在那里边转
[1471.62-1473.62] 他还觉得王永宏好有实力
[1473.62-1475.62] 这一小楼在北京啊有几百栋
[1475.62-1477.62] 已经第一期就盖了八十栋到一百栋
[1477.62-1479.62] 第二期二百栋
[1479.62-1481.62] 第三期还有一百多栋
[1481.62-1483.62] 叫飞中心
[1483.62-1485.62] 哎呀在北京朝阳区平房乡都盖好了
[1485.62-1487.62] 这个人很有实力 这么年轻有为
[1487.62-1488.86] 他真的就动心了
[1488.86-1490.88] 动心了之后
[1490.88-1493.66] 唐市长给王永红出了个难题
[1493.66-1495.30] 唐市长说
[1495.30-1496.86] 我卖科院
[1496.86-1497.78] 可以
[1497.78-1499.60] 但是我是新来的市长
[1499.60-1501.46] 我要让方方面面都摆平
[1501.46-1502.98] 那你要让我有政绩
[1502.98-1503.72] 很简单
[1503.72-1505.32] 你给我打一个亿的定金
[1505.32-1506.96] 就是任你
[1506.96-1508.28] 蹂躏这个课
[1508.28-1509.18] 全交给你了
[1509.18-1511.32] 你可以把它理解成我的亲女儿
[1511.32-1512.34] 我的聘礼
[1512.34-1513.94] 一个亿人民币定金
[1513.94-1515.66] 办不了
[1515.66-1516.38] 咱们就办
[1516.38-1516.98] 办不了
[1516.98-1517.58] 咱们就再见
[1517.58-1521.10] 王永红要是有一个亿
[1521.10-1522.38] 他还能找我吗
[1522.38-1525.20] 王永红他欠工地的钱
[1525.20-1527.14] 欠沙石公司的钱
[1527.14-1528.80] 欠工程队的钱
[1528.80-1530.60] 他焦头烂额
[1530.60-1532.02] 因为他卖不出去
[1532.02-1532.94] 他回不了款
[1532.94-1534.08] 他都急死了
[1534.08-1535.38] 中媒信托贷的款
[1535.38-1536.16] 那是高利贷
[1536.16-1539.70] 后来又找中旅信托去斩
[1539.70-1541.08] 斩这个信托
[1541.08-1541.84] 这个贷款
[1541.84-1542.50] 斩期
[1542.50-1544.14] 满脑子都是包
[1544.14-1545.06] 你让他出一个亿
[1545.06-1545.74] 他不得死
[1545.74-1548.66] 所以是真没办法
[1548.66-1549.82] 他找我
[1549.82-1550.76] 他急说怎么办
[1550.76-1552.46] 你能不能给我变出一个亿来
[1552.46-1554.92] 我说一个亿选
[1554.92-1555.98] 他说怎么讲
[1555.98-1557.82] 我说一个亿肯定给你找来
[1557.82-1560.66] 但是我说你愿不愿意让出25%的股权
[1560.66-1563.20] 你只要愿意让出25%的股权
[1563.20-1564.16] 我给你找4个亿
[1564.16-1566.42] 因为我算准了
[1566.42-1567.58] 它是10个亿的市值
[1567.58-1568.70] 4个亿
[1568.70-1570.58] 王永红说愿意
[1570.58-1571.66] 50%都行
[1571.66-1572.52] 我说去别说
[1572.52-1573.32] 25%
[1573.32-1574.50] 要卖血
[1574.50-1575.54] 惜命如金
[1575.54-1577.02] 你怎么能说50%都行
[1577.02-1578.40] 你他妈要这么说的话
[1578.66-1579.86] 别人还能信你吗
[1579.86-1581.84] 你就得说25%才行
[1581.84-1583.64] 就最多25%
[1583.64-1584.84] 最好是17%
[1584.84-1585.44] 拿个计算器
[1585.44-1585.86] 按一会儿
[1585.86-1587.30] 你说你看最多17%
[1587.30-1588.22] 这么谈
[1588.22-1589.28] 他说行
[1589.28-1590.44] 我呢
[1590.44-1593.78] 就给他叫来了王贵亚
[1593.78-1595.46] 预知后事如何
[1595.46-1596.66] 且听下个分解
[1596.66-1597.92] 25分钟了
[1597.92-1598.34] 再见
